molecula|SddssS|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|MATS7i|MATS8i|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA3|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|GeomShapeIndex|GRAV|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
47d_a18|0.0|0|0.0|0.0|0|7.03438793|1|1.251175994|0.0|-0.017398129|-0.041876322|0|0.069914568|-0.07722825|0|0|0.005144085|-0.272202025|-0.406388629|0|0.7640994990000001|0.7430748709999999|-0.002494715|0.027971797|0.773981237|0|0.836999127|-0.06394156|0.445704576|-52.14267013|-71.20388424|12.45251265|64.92967228|0.163000873|132.9229494|-0.028722356|-58.06490563|-2.182899066|-42.52098397|86.29525584|-23.42233034|64.59518279|0.481311892|3304.705347|682.5509007|1947.023498|-19.1002979|0.927940864|7780.945962999999|33.54943497|-323.1621908|2549.757058|1255.618298|1.0|0.0|1.0|2.0|0.32|-8.83|2.81|88.97|3.0|2.0|159.67|1.0|1.0|12.0|-5.74|39.0|4.0|-6.57|0.0|0.0|0.0|2.56|0.000968|5.23e-06|1.0|1.0|-1704.061013|1544.09|398.94|398.94|817.06|-0.12844|-0.17405|4.2225|8.0|8.0969|8.0969
9h_a24|0.0|0|2.916716427|0.0|1|7.153833802|0|1.428198245|1.726213624|-0.203768024|2.01e-05|2|0.078066659|-0.209618231|2|2|0.012380829|-0.02551563|-0.047269812|2|0.687815726|0.78742035|0.183289617|-0.004960317|0.859720539|0|0.883775278|-0.060337884|0.4016070679999999|-28.52000725|-32.48899638|8.724425117000001|167.2085719|0.1162247219999999|54.93613103|-0.026280957|-15.35662744|-0.8935525440000001|-13.48059881|47.51520531|-12.42226332|37.24443236|0.477589721|2062.34011|417.7355164|768.1954692|-5.871651668999999|0.914204295|4170.098082|21.70315707|-68.41568372|737.9073405|295.8603625|1.0|0.0|1.0|1.0|0.0|-6.05|2.42|72.28|0.0|0.0|82.17|0.0|1.0|3.0|-2.83|22.0|4.0|-6.85|0.0|1.0|1.0|1.97|423.0|0.000575|0.0|0.0|-945.2642633|831.92|285.43|239.63|363.48|-0.18239|-0.22593|7.7741|77.0|7.1135|7.1135
14k_a23|0.0|1|0.0|0.0|2|7.423568444|0|1.1979621459999998|3.358995671|0.070940371|-0.024758731|2|0.04479394|-0.055500851|2|2|0.009263715|-0.071484865|-0.13187015|2|0.722187957|0.800643488|0.140087361|-0.091426449|0.864845456|1|0.922397728|-0.0562483359999999|0.226547411|-37.43135588|-53.17069631|12.53019305|38.76597615|0.077602272|51.64167457|-0.033999976|-35.38329134|-1.597998852|-24.9092952|64.04991522|-22.62582822|49.96154892|0.486654314|2955.4566170000003|613.8243395|2174.886074|-15.05671972|0.948005074|6715.186162999999|28.87559227|-377.4022725|1357.152837|633.3278634|0.0|1.0|1.0|1.0|0.05|-7.99|4.0|105.02|2.0|1.0|125.29|0.0|1.0|5.0|-6.13|31.0|4.0|-6.03|0.0|0.0|0.0|3.99|0.000334|2.83e-06|0.0|0.0|-2089.524497|1179.17|340.42|340.42|552.65|-0.14784|-0.2271699999999999|8.3627|4.0|8.4123|8.4123
7a_a8|0.0|0|3.1730222510000003|0.0|1|7.535296702|1|1.4000287219999998|1.4494883790000002|-0.11821781|-0.0407248439999999|1|-0.017706371|0.004607684|1|1|0.002028046|-0.019499132|-0.032195997|1|0.7168594159999999|0.764224152|0.033708575|-0.032562221|0.831914523|0|0.718410375|-0.102174163|0.238462711|-60.00793116|-59.83546383|20.79408196|145.3710976|0.281589625|165.38046830000002|-0.042647654|-35.14198015|-1.833849114|-35.24327197|75.4573633|-25.04740346|80.80201312|0.477611327|2715.360649|421.9297638000001|1702.719465|-14.71059634|0.914283468|5907.9340090000005|34.12990316|-274.7254012|1467.585836|488.0169522|0.0|1.0|1.0|1.0|0.05|-7.27|3.96|92.93|1.0|0.0|105.83|0.0|1.0|3.0|-4.86|29.0|5.0|-6.33|0.0|0.0|1.0|3.15|0.00522|2.29e-05|0.0|0.0|-1291.313963|1031.61|403.8|270.66|494.48|-0.12889|-0.20505|12.8748|24.73|4.6068|4.6068
12bh_a36|0.0|0|3.50075137|0.0|0|7.412764017000001|2|1.297043258|0.0|-0.052761366|-0.047482048|2|0.001012669|0.075747971|1|1|0.0045625|-0.101854847|-0.169994208|1|0.902377067|0.78699829|-0.211972014|-0.0591586759999999|0.833398429|0|0.833491953|-0.070687668|0.317612728|-47.04367494|-66.28126709|11.73109101|83.08294358|0.166508047|110.81353529999998|-0.035569289|-44.11115058|-1.991880197|-31.30825225|76.46867897|-23.6718811|58.77476595|0.482052584|2773.193279|554.7010591|2437.805332|-15.75398235|0.930697921|5957.443236|30.2209316|-377.0728785|1692.3721690000002|729.1873176|1.0|0.0|0.0|2.0|0.21|-7.34|3.76|69.2|1.0|0.0|133.68|0.0|1.0|5.0|-4.54|31.0|4.0|-6.38|0.0|1.0|1.0|2.42|0.0117|2.5e-05|0.0|0.0|-1311.589612|1208.61|341.97|319.46|575.23|-0.14915|-0.20168|7.7975|14.0|7.8539|7.8539
14ad_a23|0.0|1|0.0|0.0|2|7.423568444|0|1.197962774|3.3437482860000003|-0.1101542319999999|-0.028065075|2|0.118047355|-0.05348283|2|2|0.009675528|-0.143336826|-0.253318853|2|0.7763406840000001|0.7830067820000001|0.165157698|-0.050707765|0.8356326820000001|1|0.887131635|-0.059168372|0.224009311|-42.29008971|-61.35364811|24.18091285|52.63180108|0.112868365|80.67170209999999|-0.029653934|-43.85199724|-1.630966366|-30.226481300000003|85.20135045|-21.19489662|66.47100256|0.46995189|3209.330728|634.0697778|2339.533586|-15.14887177|0.8866211979999999|7308.229822|36.80430179|-108.4705382|2024.236598|770.8206617000001|0.0|1.0|1.0|1.0|0.12|-7.6|3.48|123.48|2.0|1.0|133.27|0.0|1.0|7.0|-5.8|34.0|6.0|-6.68|0.0|0.0|0.0|3.39|0.000753|8.22e-06|0.0|0.0|-1858.957788|1287.26|366.09|366.09|618.01|-0.13734|-0.20659|6.7584|4.0|8.3595|8.3595
1f_a5|0.0|0|2.824395738|-4.398485453999999|0|6.605297921|0|1.218960329|0.0|-0.139907335|-0.31059482|2|-0.118028278|-0.174016111|1|1|-0.000700145|0.001493879|0.004923698|2|0.525406088|0.771487328|-0.060528915|-0.000969932|0.834250802|0|0.888073448|-0.091412569|0.45528118|-50.98614411|-46.77243802|4.687041957|201.7057715|0.111926552|62.42799372|-0.035639589|-26.08772825|-1.425583552|-28.43795894|57.83835135|-19.87828616|55.67318607|0.4670794829999999|2482.949545|495.3305784|979.2285994|-11.0872845|0.8764524309999999|5474.331675|26.24118632|-287.2706403|1049.647453|403.396385|1.0|0.0|1.0|1.0|0.05|-8.88|5.48|54.46|2.0|0.0|95.49|0.0|1.0|4.0|-4.79|27.0|6.0|-5.73|1.0|0.0|1.0|4.23|0.00589|1.0800000000000002e-05|0.0|0.0|-1288.353339|958.06|270.96|261.1|442.04|-0.18224|-0.2357|4.9879|0.24|6.6198|6.6198
27a_a34|-3.727789|0|0.0|0.0|1|7.412764017000001|1|0.300206665|1.963136117|0.0257175079999999|-0.456594848|1|-0.082271189|-0.026428049|1|1|-0.005234221|-0.158932197|-0.264978526|1|0.8186389829999999|0.779284547|-0.07177581|-0.012251785|0.832753533|0|0.600964267|-0.106669294|0.4305370679999999|-74.78290605|-86.36649751|18.62986903|176.4623026|0.3990357329999999|279.75296960000003|-0.043345322|-60.54917431|-2.340647376|-52.42823715|100.7752505|-30.38821209|93.41277507|0.436895447|3394.470264|421.319507|2252.433058|-21.30433911|0.7758691440000001|7104.26596|39.72721867|-371.4586403|2145.269808|718.5861133999999|1.0|1.0|1.0|2.0|0.13|-7.61|2.01|129.74|1.0|0.0|122.61|0.0|1.0|6.0|-4.96|33.0|7.0|-7.29|0.0|0.0|0.0|2.44|0.00504|3.43e-05|0.0|0.0|-1861.741982|1247.85|300.73|247.91|598.18|-0.16691|-0.20615|13.9023|0.24|6.6198|6.6198
18d_a30|0.0|0|0.0|0.0|0|7.412764017000001|2|0.6049874|0.0|0.041146136|-0.064217094|2|-0.071608958|-0.053728319|1|1|0.002064369|-0.0541804029999999|-0.120380857|1|0.669561738|0.815003426|-0.001699165|-0.149451598|0.870930234|0|0.803280262|-0.07812727|0.346980269|-49.44608411|-65.3088221|11.29282624|78.23108693|0.196719738|124.5022473|-0.037906966|-41.33339749|-1.85744132|-31.29400567|75.80070349|-23.99099587|60.73891035|0.443774287|2848.574353|508.389239|2894.162522|-15.18369704|0.797831306|6367.958933|30.62871675|-358.5765637|1500.807121|618.6004214|1.0|1.0|0.0|1.0|0.14|-6.9|4.25|81.65|2.0|0.0|127.24|0.0|1.0|5.0|-5.39|30.0|5.0|-6.02|0.0|0.0|0.0|2.92|0.00171|9.71e-06|0.0|0.0|-1675.020297|1129.46|357.49|247.35|508.7|-0.14167|-0.19673|6.2946|21.0|7.6737|7.6737
12q_a36|0.0|0|3.453150038|0.0|0|7.412764017000001|2|1.29701394|0.0|-0.0543475329999999|-0.043678703|2|0.068040097|-0.0651906459999999|1|1|0.0010871589999999|-0.103922055|-0.177407665|1|0.8941919290000001|0.828371596|-0.017640538|-0.074349074|0.8839272779999999|0|0.82911927|-0.07607684|0.324924033|-49.18227989|-68.5549152|12.00048565|82.68142965|0.17088073|110.4712541|-0.038175515|-44.31949385|-1.908775752|-31.79544084|80.15866795|-24.67976947|61.18276554|0.486620426|2786.514757|536.0103834|2380.245597|-15.95501778|0.947876484|6040.52496|32.10617123|-347.4093916|1605.308562|629.5017194000001|1.0|0.0|0.0|2.0|0.14|-7.18|3.35|69.2|1.0|0.0|128.76|0.0|1.0|5.0|-4.44|30.0|4.0|-6.49|0.0|1.0|1.0|2.34|0.0151|2.55e-05|0.0|0.0|-1692.544456|1148.35|320.77|236.72|531.58|-0.1566|-0.2126199999999999|6.4226|6.0|8.2218|8.2218
