molecula|n9FaHRing|NaasN|nARing|SaasN|AATSC1c|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|n5aRing|n5aHRing|AATSC1pe|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
12a_a50|1|2|1|4.075037557|-0.002936355|0.034845679|2.112397566|-0.126263256|0.01164808|0.014596049|2|2|0.011790103|-0.168032508|-0.247407423|1|0.699597776|0.795582575|-0.030758487|-0.2018898489999999|0.862192416|0.660148928|-0.0663902|0.29507467|0.021013336|-25.57033815|-33.44733598|10.58650394|7.457998037999999|-16.85074424|5.333473207|69.83817338|0.575218972|-0.929462803|-12.88231829|47.2792242|-12.00673599|36.15684209|0.469674946|455.4948605000001|-468.2627037|-6.048985111|0.4247810279999999|5.116970861|9.648744341|4665.239724|-235.9104193|0.027455156|-75.79052945|814.0599092|1.0|0.0|1.0|1.0|0.0|3.3|-5.49|2.59|3.42|48.53|0.0|0.0|2.0|2.0|3.0|-6.44|0.0|2.55|-3.84|0.000685|215.0|0.000144|2.5|0.0|0.00101|-0.03366|4.0783|2.47|-1006.632973|545.54|908.22|304.01|0.1807|-1006.498352|-0.16806|-0.20172|0.02648238|-1006.546706|7.1249|7.1249
22_a47|1|1|0|1.202720059|-0.010579222|0.043695652|1.016903613|-0.507802654|-0.006808306|-0.075111395|1|1|-0.004332497|-0.1049885469999999|-0.538310301|2|0.612295986|0.831122912|-0.077787113|0.004104478|0.890264057|0.591185263|-0.089280419|0.573087958|0.022154032|-47.64347429|-52.67991531|13.07198749|12.19999546|-31.08378631|7.713126784|54.21581266|0.6096864479999999|-1.42848671|-28.11203407|71.28682035|-18.73063655|60.71546178|0.4614909829999999|412.2379505|-842.8786448999999|-11.05201291|0.390313552|6.9553262170000005|12.91589555|6107.923371|-497.3405809|0.031534452|-129.440987|1382.478891|0.0|1.0|1.0|1.0|2.0|3.31|-7.69|3.07|4.85|84.73|1.0|0.0|1.0|5.0|6.0|-6.58|0.0|3.41|-4.38|3.6e-05|0.0142|4.16e-05|3.0|0.0|8.11e-06|-0.0612399999999999|4.7954|4.4|-1375.021925|605.12|1027.32|308.65|0.3367|-1374.857521|-0.16704|-0.22828|0.02840507|-1374.914437|9.0|9.0
7c_a10|0|1|1|2.1219657030000003|-0.00375251|0.039433962|1.798334646|-0.206388032|0.01006918|-0.033792245|1|1|0.0107756969999999|-0.12177839|-0.215874011|2|0.725146704|0.7928588059999999|-0.087063341|-0.105104647|0.84177174|0.6952665379999999|-0.0876410609999999|0.487148112|0.027436939|-29.66615908|-51.2378943|16.04055193|87.99694927|-29.95538587|9.377842892|58.07647902|0.52630639|-1.139333798|-17.34382833|67.01436709|-13.06063972|45.70671102|0.4675549639999999|529.8395322|-666.0926258|-7.635686595|0.47369361|6.703148323|12.58937144|6034.895823|-389.4200163|0.0269852389999999|-30.75918962|1265.598592|1.0|1.0|1.0|1.0|0.0|3.48|-7.78|4.59|4.43|62.06|1.0|0.0|1.0|4.0|5.0|-6.2|0.0|3.59|-4.69|3.59e-05|0.0139|2.05e-05|3.46|0.0|6.4e-06|-0.04004|5.4267|2.76|-1258.985004|635.47|1102.43|323.24|0.4049|-1258.744382|-0.16055|-0.20059|0.02659395|-1258.801509|5.4191|5.4191
6_a1|0|1|1|2.325221088|-0.005477033|0.039635417|0.0|-0.230035376|0.005054086|-0.00983397|1|1|0.006851583|-0.230322048|-0.353456514|1|0.781885145|0.798346291|0.13761072|-0.095907969|0.8524898329999999|0.741035199|-0.077422386|0.212044989|0.021009352|-27.63847818|-37.41011914|10.15161645|64.63457366|-18.076387|4.905211525|95.13138767|0.576759436|-0.929068634|-13.35477777|49.61122373|-11.51080589|37.79009463|0.4218263379999999|424.3707604|-448.9214297|-5.56196523|0.423240564|5.555887839|9.609375529|4061.042516|-216.916644|0.025250885|-74.17956941|778.3512535|1.0|0.0|1.0|1.0|0.0|2.94|-6.02|3.61|3.57|39.94|0.0|0.0|1.0|3.0|3.0|-6.21|0.0|2.82|-3.68|0.0007599999999999|221.0|0.00021|2.63|0.0|0.000277|-0.02214|4.0635|2.81|-935.4750982|527.41|875.29|305.12|0.3399|-935.330989|-0.16784|-0.1899799999999999|0.027384499|-935.378591|5.2924|5.2924
10_a47|0|0|0|0.0|-0.008013899|0.042276423|1.329777427|-0.384667159|-0.008120645|0.0814897|0|0|-0.0065562469999999|-0.021926603|-0.45272733|2|0.7027461220000001|0.754096463|-0.138304661|0.011239977|0.8077565520000001|0.6913602740000001|-0.0936757959999999|0.417511484|0.00951788|-40.80144983|-50.08559665|5.088920549|103.41137940000002|-26.77924406|2.720890925|0.0|0.801882632|-1.592488524|-21.81529334|57.59863288|-18.9212254|45.89037038|0.411647394|449.6950454|-851.455143|-10.11660331|0.198117368|6.277122171|10.66897998|5482.319019|-455.247149|0.014051737|-322.8149102|1061.820157|1.0|0.0|1.0|1.0|2.0|3.02|-8.85|5.12|5.92|58.04|2.0|0.0|1.0|3.0|4.0|-5.08|1.0|4.41|-5.5|1.77e-06|0.000638|3.18e-06|4.8|0.0|5.110000000000001e-07|-0.0486399999999999|5.7693|4.37|-1188.3744|579.86|997.16|332.97|231.0|-1188.1907199999998|-0.15445|-0.20309|0.03158831|-1188.244739|7.9|7.9
6e_a40|0|1|2|1.75595616|-0.0148450439999999|0.039160494|0.744550501|-0.69771706|-0.0026177839999999|0.103594243|2|2|-0.002992481|-0.020200684|-0.6319354389999999|0|0.685858263|0.8361555479999999|-0.011405885|-0.289988439|0.8988141140000001|0.648802794|-0.1164147119999999|0.376602018|0.015875595|-70.52033811|-76.50178121|10.43262695|185.1473293|-50.27304895|6.85578763|35.33106374|0.866991176|-2.095464821|-46.34235117|84.95203628|-32.02400144|80.95296505|0.441911406|490.3675161000001|-1377.032062|-21.04453212|0.133008824|6.972949117000001|12.49434084|7585.605268000001|-904.9148811|0.012858969|-482.3355765|1588.2884390000002|1.0|1.0|0.0|1.0|1.0|3.98|-4.63|5.02|3.72|173.43|2.0|2.0|2.0|5.0|5.0|-6.09|1.0|3.68|-5.58|1.74e-08|8.31e-06|2.6e-06|4.4|1.0|0.0112|-0.09682|2.9549|8.35|-2831.156883|671.95|1149.77|419.59|0.3625|-2830.986514|-0.1195799999999999|-0.2164|0.03482243|-2831.048968|7.7447|7.7447
14x_a23|1|2|0|3.101221922|-0.0065692219999999|0.04314059|0.6753138120000001|-0.335030301|0.003379755|-0.075184011|2|2|0.003906274|-0.073958723|-0.443633823|2|0.5788469970000001|0.802520527|-0.035031888|-0.035965909|0.8668730109999999|0.558482531|-0.084244058|0.229141189|0.022095943|-46.97594633|-55.83053941|14.64350681|42.44114495|-37.00022522|9.704599953|87.28077098|0.722211323|-1.6006371069999998|-31.13207597|70.40248829|-22.56979253|61.61945314|0.468120981|514.8229467|-1060.780249|-14.95753786|0.277788677|7.777802167999999|14.62325432|6989.569075|-703.0042792|0.0219879679999999|-294.5294492|1468.794817|0.0|1.0|1.0|0.0|1.0|3.42|-7.93|4.2|5.14|105.02|2.0|1.0|1.0|5.0|6.0|-6.35|0.0|4.06|-5.27|2.09e-06|0.0009369999999999|5.41e-06|3.78|0.0|5.23e-06|-0.08216|4.0641|3.97|-1828.371718|675.21|1149.42|335.63|0.3184|-1828.168422|-0.15259|-0.23475|0.02165405|-1828.228912|8.4949|8.4949
9_a47|0|0|0|0.0|-0.008501246|0.037492877|1.323246814|-0.382556052|-0.009607222|0.022031244|0|0|-0.007880155|-0.021556658|-0.4477815529999999|2|0.7033922579999999|0.792070785|0.046690958|0.075092937|0.853035126|0.689770023|-0.0969292319999999|0.492394184|0.009540986|-44.13640712|-50.70744657|4.991260197|107.3271659|-26.52703503|2.611122094|0.0|0.790651977|-1.550867715|-23.08946904|58.96976407|-19.3171225|49.12766732|0.482896681|421.2052248|-811.319145|-10.10553715|0.209348023|5.653392499|10.93281031|5212.504394|-424.4325604|0.015793737|-304.1026787|1026.1394|1.0|0.0|1.0|1.0|2.0|2.87|-8.47|4.61|5.61|58.04|1.0|0.0|1.0|3.0|4.0|-5.26|0.0|4.09|-5.2|4.29e-06|0.00148|6.3e-06|4.43|0.0|1.17e-06|-0.05037|5.7429|4.06|-1149.055456|566.1|959.59|333.44|0.2294|-1148.896866|-0.1545099999999999|-0.20488|0.03463008|-1148.949486|7.6|7.6
4p_a46|0|1|1|2.102855253|-0.004413243|0.046533816|0.0|-0.233901882|0.005152176|-0.205494852|1|1|0.004453195|0.066453878|-0.369670745|0|0.7471162309999999|0.747019097|-0.078703563|-0.1623103719999999|0.7911509609999999|0.751334374|-0.083274013|0.3352802039999999|0.007398064|-56.55658053|-47.22779946|4.195717966|175.10295019999998|-26.78464688|2.379548177|0.0|0.87420565|-1.498932241|-32.07534663|51.05047787|-17.00200781|60.7522985|0.423511708|513.8073925|-850.1003902999998|-9.642472876|0.12579435|5.828038618|10.10955243|5167.091582|-482.1236438|0.006740305|-424.4519674|972.4260993|1.0|1.0|1.0|0.0|1.0|3.89|-7.05|4.85|5.25|61.84|2.0|0.0|1.0|2.0|3.0|-5.09|0.0|4.25|-5.4|1.59e-06|0.000567|4.03e-06|4.77|0.0|3.2e-05|-0.0393|5.4796|4.89|-1129.618646|598.19|1058.54|310.28|0.2363|-1129.3914619999998|-0.16819|-0.20749|0.03979459|-1129.4459470000002|6.4672|6.4672
12ba_a36|0|0|2|0.0|-0.0075620109999999|0.040566449|0.0|-0.423472625|-0.002123045|0.003750685|1|1|-0.000621302|-0.091676619|-0.410941182|1|0.844641715|0.8256014690000001|0.041478447|-0.0202572689999999|0.890675195|0.796093405|-0.108410153|0.330220757|0.0246090489999999|-56.0578808|-73.03464847|16.57882744|100.798163|-49.20258616|11.16896162|16.1479891|0.7068957840000001|-1.951382748|-37.76553687|89.06670390000001|-25.28122447|72.63670824|0.49229954|572.4586103999999|-1314.6236720000002|-17.03166444|0.293104216|7.409667253999999|14.59456478|6722.60947|-885.6465508|0.023797439|-278.7665262|1859.713557|1.0|1.0|1.0|0.0|2.0|4.8|-6.72|2.79|1.63|116.78|1.0|0.0|1.0|5.0|6.0|-7.04|0.0|1.57|-4.25|1.6800000000000002e-05|0.0072599999999999|5.65e-05|2.67|0.0|8.240000000000001e-05|-0.08446|5.2506|2.79|-1417.426327|687.23|1187.56|411.71|0.7436|-1417.187763|-0.12587|-0.21033|0.02839417|-1417.249741|7.6778|7.6778
