molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1s|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|RASA|FNSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|Mor01p|PPSA5|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
12k_a30|0|0|0|0.0|0|2|0.604984231|0.0|-0.001755273|-0.029595542|-0.13882907|0.0|-0.44562817|0.0043261129999999|0.067265077|-0.038714845|1|0.0053380919999999|-0.240110949|-0.154412059|-0.4186541|1|0.838579475|0.830875659|-0.067714819|0.883029843|0.7933543279999999|0.815083558|-0.079026221|-52.35426525|-65.04897323|16.01752015|106.8195439|0.184916442|122.5057244|-43.09444587|10.61148425|0.0|-1.865577056|-34.68429919|-23.31944323|68.37178540000001|0.47195436|2920.279667|-1235.930491|-15.44895229|8.416930701|15.93977881|0.893775698|6393.133321|193.3575303|-818.7944715|0.0226150579999999|704.0353382000001|14.9823028|1.0|1.0|1.0|0.0|2.63|90.88|2.51|2.0|133.77|0.0|1.0|6.0|31.0|5.0|-6.19|2.57|-4.93|3.59e-06|0.00154|1.19e-05|0.0050799999999999|3.84|0.0|7.87e-05|-0.05055|5.1958|3.4715|-1690.302721|-1690.269144|1200.31|357.15|0.6864899999999999|-1690.031103|-0.14743|-0.19798|24.0|7.6144|7.6144
21_a4|0|0|0|0.0|1|1|1.399863887|2.026698554|-0.164057585|-0.014982235|0.019346682|0.0|-0.131928225|0.012362563|-0.2897937889999999|-0.104638158|1|0.012094249|0.030586117|-0.099702401|-0.228430899|1|0.6952936|0.777866961|-0.174578783|0.833191212|0.674434042|0.932146735|-0.0571545999999999|-28.99048719|-38.7880598|10.23237244|63.37635587|0.067853265|34.4171635|-19.67444009|5.190159022|66.03320922|-1.147056976|-14.70482428|-14.54552243|39.22285963|0.401240904|2045.488184|-581.8208971|-7.377915035|5.961506745|9.956436217|0.670120767|4277.396118|140.4174905|-295.1166014|0.017563978|387.240586|8.908964226|1.0|1.0|0.0|2.92|3.85|39.94|2.32|0.0|91.59|0.0|2.0|3.0|23.0|3.0|-5.76|3.23|-4.19|0.000133|0.0403|6.51e-05|0.0197|3.36|0.0|0.000352|-0.02956|5.1623|4.0245|-973.5683008|-973.5481197|916.76|308.08|0.66476|-973.400097|-0.16632|-0.19588|121.0|6.9172|6.9172
15c_a22|0|0|0|0.0|1|0|1.42291727|1.596256692|-0.134137693|-0.018518519|-0.026986769|1.568396937|-0.298463715|0.003784292|-0.023927419|0.006275578|1|0.004362505|-0.047249795|-0.160566657|-0.364626967|2|0.667111824|0.773044788|0.010828071|0.8353837409999999|0.639264982|0.8665852140000001|-0.067475429|-48.58045253|-57.66130245|17.68362419|36.22825261|0.133414786|96.05497587|-41.51455167|12.731723|78.22334636|-1.60176404|-34.97658951|-21.75898206|66.26407672|0.462157867|3079.491787|-1153.226049|-15.66586856|8.626398368|16.03890406|0.859281634|6882.442370999999|243.5126145|-830.2910335|0.0248073129999999|731.8178649|17.86058304|1.0|1.0|1.0|2.85|4.18|109.38|1.08|1.0|128.77|0.0|1.0|6.0|34.0|6.0|-6.96|2.98|-4.62|1.39e-05|0.00618|2.4e-05|0.0107|2.9|0.0|2.35e-07|-0.07399|5.7361|3674.0|-1460.602657|-1460.571156|1241.07|337.46|0.69113|-1460.324493|-0.15408|-0.22807|737.0|6.1325|6.1325
14m_a23|0|1|1|-4.405643132|2|0|1.197955072|3.1160758160000004|0.05521348|-0.272389934|0.028217372|0.665608656|-0.482182526|0.001027627|-0.034213923|-0.050626415|2|0.001951778|0.0879380709999999|-0.226146643|-0.527662006|2|0.560094237|0.798384929|-0.072906704|0.8581143859999999|0.5415996160000001|0.9258118|-0.072795329|-50.63012925|-62.09952738|12.51396625|47.23604193|0.0741882|51.59888942|-43.19105542|8.703631619|0.0|-1.964289314|-35.21393496|-27.32379205|63.1440955|0.476833897|3255.247038|-1366.189602|-19.00406438|8.595073462|16.42895711|0.911438824|7588.823133|142.0002583|-950.2032192|0.017997351|658.8108151|12.51739962|1.0|1.0|1.0|3.17|6.19|105.02|3.82|2.0|125.29|0.0|1.0|6.0|34.0|7.0|-6.06|4.41|-5.79|4.1200000000000004e-07|0.000198|1.61e-06|0.000773|4.46|0.0|2.85e-06|-0.08347|3.6774|3.6774|-1966.968005|-1966.945041|1209.21|337.15|0.65552|-1966.721362|-0.15208|-0.23555|3.0|8.5171|8.5171
13e_a6|1|0|0|0.0|0|0|1.429020445|0.0|-0.089778965|-0.008507023|0.018376555|1.643912856|-0.378539035|-0.003356527|0.0266218529999999|-0.037793156|1|-0.001446486|0.032420935|-0.223618825|-0.462344944|2|0.841211811|0.765593573|-0.067328767|0.827254552|0.790249345|0.861676601|-0.074242826|-49.62570093|-62.36320497|12.28502792|66.59852278|0.138323399|92.4587065|-41.68507499|8.211609879|0.0|-1.679379203|-33.17101912|-22.01054293|61.91072885|0.4442079679999999|2868.489025|-1122.537689|-14.71237941|7.973429837999999|14.346067199999998|0.799234143|6147.8097210000005|185.4673146|-750.3313497|0.019543118|676.2770877|13.06309302|1.0|1.0|2.0|2.79|4.53|103.17|0.92|1.0|123.82|0.0|0.0|5.0|32.0|5.0|-6.52|3.31|-4.78|7.74e-06|0.00323|1.65e-05|0.00688|3.27|0.0|2.75e-08|-0.07534|5.9885|3.2475|-1347.297639|-1347.25954|1202.5|381.78|0.7034199999999999|-1347.014564|-0.1327|-0.20804|12.0|7.9208|7.9208
17a_a6|1|0|0|0.0|0|1|1.424257628|0.0|0.101940358|-0.0265090529999999|0.04129257|0.0|-0.686067347|-0.00460563|0.078798543|-0.060774312|1|-0.00194781|0.068338372|-0.180339002|-0.5624663560000001|1|0.850080948|0.7722228729999999|-0.106323149|0.8299950709999999|0.8013954109999999|0.753082653|-0.096082495|-63.02857512|-71.75703418|20.43213226|157.13173490000003|0.2469173469999999|161.9738174|-47.07146289|13.40315088|554.1936506|-2.078379577|-41.34573382|-27.26767299|83.46070738|0.483320982|2816.084228|-1363.383649|-17.887155899999996|8.337470517|16.13665395|0.935437602|5996.580489|149.60699319999998|-894.3577948999999|0.019808023|627.4287311|12.99374518|1.0|1.0|2.0|2.88|4.32|95.85|1.7|2.0|116.79|0.0|1.0|5.0|31.0|5.0|-5.89|3.59|-5.17|1.56e-06|0.000637|6.69e-06|0.00274|4.09|0.0|4e-07|-0.05753|3.5421|2.9753|-1350.102634|-1350.078838|1167.16|416.71|0.7024|-1349.830672|-0.12425|-0.18178|24.0|7.6198|7.6198
47g_a18|0|0|0|0.0|0|1|1.251175676|0.0|-0.005500039|-0.034211867|-0.048472184|0.0|-0.477030713|0.0036509859999999|0.033759227|-0.008224928|0|0.00531392|-0.071877686|-0.3927204379999999|-0.4138670829999999|0|0.765824398|0.750610215|-0.014370598|0.780474694|0.745431271|0.834424154|-0.065225536|-55.35188184|-72.53379954|11.37505183|111.5517627|0.165575846|140.5114492|-61.55384106|9.653129118|47.07867403|-2.307753726|-46.97287277|-24.79003275|66.72693367|0.4913566339999999|3367.0578530000003|-1958.412588|-21.03738872|10.33698377|20.32265524|0.966014041|7870.887027|227.5405903|-1661.953709|0.016259076|1347.416568|13.79782369|1.0|1.0|2.0|0.0|3.6|88.97|2.79|3.0|164.47|1.0|1.0|13.0|40.0|4.0|-6.4|2.83|-5.52|7.76e-07|0.000421|3.01e-06|0.00163|4.52|1.0|3.27e-07|-0.04413|3.0965|3.0965|-1743.375845|-1743.346243|1604.37|400.4|0.69828|-1742.7686640000002|-0.12789|-0.17202|9.0|8.0458|8.0458
16d_a32|1|1|1|0.0|0|0|0.609420775|0.0|0.170838661|-0.087123461|0.0115077539999999|2.07416189|-0.7589895790000001|-0.00839148|-0.134892903|-0.0517549079999999|3|-0.005427254|0.021406827|-0.239509216|-0.68301199|0|0.816581223|0.8575664540000001|-0.0847953219999999|0.916850163|0.7689748270000001|0.7554930740000001|-0.091212351|-53.23914436|-67.07571683|18.67986534|115.2070109|0.244506926|142.7146582|-39.15098916|10.90312918|48.61700321|-1.493933474|-31.07481011|-21.26791022|71.91900971|0.4429631189999999|2588.214866|-871.9843187999999|-12.41372827|6.221435089|11.16880283|0.79521327|5768.495166|224.2805611|-508.962859|0.0332953229999999|457.7130665|19.43393087|1.0|1.0|2.0|3.01|3.82|149.27|0.65|1.0|102.33|1.0|1.0|6.0|26.0|5.0|-6.62|3.12|-4.18|2.22e-06|0.000856|6.659999999999999e-05|0.0257|2.86|0.0|9.84e-05|-0.05068|3.6271|3.6271|-1877.360551|-1877.332369|1023.44|341.83|0.70217|-1877.185022|-0.15009|-0.20077|8.0|8.1135|8.1135
8_a15|0|0|0|0.0|0|0|1.419941362|0.0|-0.208657545|-0.044406425|0.155304204|0.0|-0.5025236129999999|1.7800000000000002e-05|-0.010146469|-0.014489333|0|0.003160815|0.225620047|-0.295062413|-0.342749125|1|0.85357243|0.7059441040000001|-0.025923166|0.742680335|0.8105478740000001|0.853896482|-0.071552706|-41.7821007|-69.07571287|19.65860939|104.8781037|0.146103518|85.31489861|-40.33569847|11.47934212|55.99586988|-1.419522941|-24.39801408|-16.91650111|61.44071008|0.389723411|2393.276181|-828.9085544|-9.878130237|6.093505548|9.984825987|0.638601279|5306.2234530000005|280.62296039999995|-484.0283816000001|0.035495625|532.0914339999999|20.72712321|0.0|1.0|1.0|3.76|4.95|61.84|1.96|2.0|104.74|0.0|1.0|7.0|27.0|5.0|-5.52|3.76|-4.81|5.63e-06|0.00206|1.53e-05|0.00562|4.24|0.0|9.86e-06|-0.02723|4.4346|3.7426|-1223.704913|-1223.687714|1050.15|331.28|0.70524|-1223.463981|-0.1558|-0.18303|108.0|6.9666|6.9666
47a_a18|0|0|0|0.0|0|1|0.403918489|0.0|0.018016478|-0.18843247|0.043161338|0.0|-0.464122017|-0.005483379|-0.025401815|0.052572636|0|-0.000633273|0.066507683|-0.358939392|-0.369841706|0|0.842412605|0.766261502|0.089156939|0.7991211029999999|0.792293789|0.778790861|-0.082855697|-67.93456546|-81.42570819|11.58086543|100.7293848|0.2212091389999999|181.3725215|-66.76209701|9.49531639|110.0917322|-2.681370849|-55.70051708|-29.70938001|79.51543089|0.483193636|3612.105567|-2198.494121|-24.3591435|10.20255289|19.74153879|0.934960691|8405.670404|169.2144153|-1802.576619|0.014835962|1225.939287|12.16421601|1.0|1.0|3.0|0.0|3.35|123.06|1.85|3.0|158.24|1.0|1.0|12.0|39.0|5.0|-6.49|2.02|-5.58|1.8100000000000002e-07|9.9e-05|2.62e-06|0.00143|4.44|0.0|2.95e-06|-0.05191|3.1947|3.1947|-2098.807018|-2098.773074|1536.87|388.09|0.69508|2098.280307|-131.0|-0.18291|1.0|9.0|9.0
3a_a49|0|0|0|0.0|1|1|1.343850114|2.09865947|-0.05210989|-0.072328354|-0.044367345|1.819785|-0.337858497|-0.000349523|-0.060613765|0.00497674|1|0.000521532|-0.074886415|0.003978478|-0.421478185|2|0.775818577|0.8145214209999999|0.008391259|0.8704151529999999|0.7476073409999999|0.72890527|-0.094437035|-55.30832478|-51.82200998|9.491036042|107.4001347|0.27109473|158.77029040000002|-30.35026007|5.558553447|59.40691577|-1.504232653|-32.39206742|-17.97906469|64.79936082|0.474653816|2599.121578|-880.9741697000001|-10.52968207|6.566343333|12.49907878|0.903506738|5792.106924000001|181.6875706|-515.9544212000001|0.021141449|578.2841135|12.38177532|1.0|1.0|2.0|2.11|2.81|98.72|1.04|1.0|112.14|0.0|1.0|5.0|29.0|5.0|-7.67|2.02|-3.3|0.000878|0.3379999999999999|0.000503|193.0|1.38|0.0|2.51e-05|-0.05732|5.1647|3874.0|-1254.012043|-1253.973708|1082.21|320.04|0.66614|-1253.756918|-0.15978|-0.2171|64.0|7.1938|7.1938
13h_a6|1|0|0|0.0|0|0|1.424099498|0.0|-0.094781725|0.004767264|0.060987639|1.656132209|-0.3839567379999999|-0.002407131|-0.01698365|-0.090944829|1|-0.000644109|0.105918119|-0.215607882|-0.468842137|2|0.836982172|0.780222427|-0.164411111|0.8391892870000001|0.789769968|0.867910741|-0.074151997|-51.85624128|-64.32173453|12.1971464|77.20799814|0.132089259|92.37313621|-44.98170701|8.529752344|0.0|-1.747564296|-36.26429338|-22.63172141|64.05338768|0.461667017|2926.745635|-1222.112956|-15.82689691|9.11292243|16.928040300000003|0.8575863490000001|6302.785260000001|183.9790404|-854.6524332|0.017825256|744.1359788|12.4656221|1.0|1.0|2.0|3.03|4.79|103.17|1.13|2.0|128.63|0.0|0.0|6.0|33.0|5.0|-6.31|3.61|-5.06|2.77e-06|0.0012|8.8e-06|0.0038|3.7|0.0|1.15e-08|-0.07435|4.8701|3392.0|-1386.613707|-1386.569017|1253.92|365.52|0.69001|-1386.302668|-0.14097|-0.2153199999999999|47.0|7.3279|7.3279
2_a47|0|0|0|0.0|0|0|1.381899691|0.0|-0.002024001|-0.13117284|-0.004557357|1.454085483|-0.3581612489999999|-0.007479445|0.107297513|-0.013580367|0|-0.006079384|-0.007299676|-0.0274111779999999|-0.444853768|2|0.916092248|0.671819147|-0.0253134039999999|0.728066943|0.875463345|0.847324011|-0.083455669|-41.57671973|-47.65477123|4.240150185|99.5619537|0.152675989|76.06154148|-23.74109633|2.112397382|0.958043241|-1.4348393119999998|-20.71307621|-18.32875817|45.81686991|0.433425706|2105.761386|-714.8215685|-9.131190896|5.308758149|9.369924133|0.764993595|4559.060763|107.1215986|-356.116445|0.016376351|392.6099255|8.158522603|1.0|1.0|2.0|2.54|4.75|58.04|2.39|1.0|96.54|0.0|1.0|3.0|24.0|3.0|-5.0|3.58|-5.11|3.46e-06|0.00109|7.75e-06|0.00243|4.52|0.0|4.73e-06|-0.05285|3.7181|3.7181|-1010.540464|-1010.505024|902.07|333.46|0.69102|-1010.364507|-0.15446|-0.20731|631.0|6.2|6.2
11e_a5|1|0|0|0.0|0|1|1.338814635|0.0|-0.2114441819999999|0.038643235|-0.07965|0.0|-0.192538515|0.008268901|-0.16669151|-0.010236262|1|0.008721244|-0.127225457|-0.147721258|-0.234433859|2|0.77509232|0.775794895|-0.02059071|0.8215345|0.747366251|0.876758791|-0.062865536|-41.64560703|-52.34653881|7.986070113999999|62.84782002|0.123241209|81.64179149|-34.67724171|5.290414418|0.0|-1.580379517|-27.58835281|-18.69519243|49.63167715|0.483563144|2721.416353|-1046.930776|-12.38472918|9.387474824|18.17739133|0.936345148|5675.693973|184.4042616|-693.5448342|0.016933845|735.3048881|11.21791539|1.0|1.0|1.0|3.43|4.29|66.93|1.83|2.0|125.71|0.0|1.0|7.0|31.0|5.0|-6.28|3.63|-4.72|2.23e-05|0.00919|1.9e-05|0.00782|3.56|0.0|4.64e-07|-0.03808|4.4179|4.1036|-1316.547103|-1316.512503|1220.1|302.14|0.6505|-1316.239803|-0.16751|-0.20559|0.04|7.3979|7.3979
4S4l_a46|0|0|0|0.171853072|1|1|1.134637095|2.155247543|-0.058870177|-0.075241716|-0.067419714|0.0|-0.255755434|0.0066560469999999|-0.060895366|-0.161358058|1|0.006162668|-0.1012114369999999|0.010799648|-0.3888343979999999|1|0.7940662409999999|0.726535412|-0.229089688|0.762625193|0.7936534740000001|0.894782107|-0.090807851|-49.45536962|-46.10883478|3.888872426|178.19783940000002|0.105217893|57.30330315|-25.11158939|2.117940478|0.0|-1.523935543|-26.93416438|-16.27370639|53.34424204|0.469439238|2166.052483|-829.959026|-8.862913904|5.668394116|10.68377935|0.884798257|4920.211524|66.47624804|-452.0086091|0.006420439|579.2365607|3.496670823|1.0|1.0|1.0|3.19|5.02|50.94|3.06|1.0|105.77|0.0|1.0|3.0|26.0|3.0|-5.23|4.08|-5.11|5.25e-06|0.00182|7.78e-06|0.0027|4.49|0.0|3.47e-05|-0.02015|5.2929|4.1414|-1092.753999|-1092.727031|1040.96|299.38|0.6763600000000001|-1092.489558|-0.17632|-0.19647|261.0|6.5834|6.5834
9a_a40|0|0|0|0.0|1|0|0.604993021|1.865740741|-0.028285975|-0.020455825|0.168990628|0.921628874|-0.136162501|0.01310675|0.157704751|-0.1720337089999999|2|0.011966382|0.291102625|0.016958188|-0.449508498|0|0.624889926|0.690568477|-0.2990540869999999|0.749764251|0.61091688|0.937600185|-0.060029933|-29.02567082|-35.24260989|5.334966331|109.9916614|0.062399815|30.17155594|-17.0405052|2.579562688|51.49564873|-1.093314022|-14.03449109|-15.54821024|34.36063715|0.493941591|1971.148912|-528.6391483|-7.51786994|6.749223592000001|13.33684703|0.976056482|3991.317015|63.59419322|-255.607578|0.008714375|323.79254|4.213574358|0.0|1.0|0.0|3.28|4.43|58.43|3.57|1.0|86.7|0.0|1.0|2.0|21.0|2.0|-4.85|4.08|-5.08|3.24e-06|0.000944|8.33e-06|0.00243|4.54|0.0|0.000117|-0.06495|4.7066|3.3192|-1217.955997|-1217.9449|847.69|373.53|0.69958|-1217.825264|-0.13808|-0.20303|214.0|6.6696|6.6696
7g_a8|1|0|0|0.0|1|1|1.39137419|1.336155045|-0.092384028|-0.067360394|-0.030968098|0.0|-0.481134236|-0.00087806|-0.027838247|-0.027717137|1|0.0002620309999999|-0.065174707|0.046246982|-0.418049442|0|0.627990269|0.7363841520000001|-0.044866536|0.79995525|0.606087461|0.699376143|-0.107714754|-64.55562181|-67.26263865|19.08352484|144.290464|0.300623857|180.1699331|-40.31185423|11.43714084|56.75323443|-2.020168201|-38.68948451|-27.51653399|83.63914665|0.470618047|2802.2242920000003|-1210.7274960000002|-16.4912131|7.588498875|14.3346384|0.8889952590000001|6293.364606|115.825531|-725.6133762000001|0.018613449|509.2753308|11.15541466|1.0|0.0|1.0|3.32|4.66|80.04|3.4|2.0|108.0|0.0|1.0|3.0|30.0|5.0|-5.63|4.14|-5.44|1.67e-06|0.000667|3.59e-06|0.00143|4.38|0.0|4.92e-06|-0.06621|3.7874|3.7874|-1374.493069|-1374.4533210000002|1053.9|327.36|0.62073|-1374.291597|-0.15508|-0.22129|21.03|4.6772|4.6772
15a_a50|0|1|1|0.0|2|1|1.3530592819999998|4.126145086|-0.113976703|-0.06317118|-0.0446629609999999|2.020652006|-0.234757789|0.005366038|-0.15010386|-0.125205943|2|0.005828749|-0.072976638|-0.209259615|-0.325638639|1|0.797917311|0.821868651|-0.207610131|0.8749408470000001|0.76745052|0.837789896|-0.0783960279999999|-46.91098865|-50.56454577|10.77967103|275.287923|0.162210104|97.06405493|-30.25705388|6.450390922|0.0|-1.436529349|-28.07082095|-17.54280159|57.69065967|0.4476230879999999|2503.770258|-859.5972780999999|-10.49734522|8.095541483|14.65582885|0.8103580690000001|5401.219537|176.277812|-514.369916|0.018747341|569.5267957000001|11.21812301|1.0|1.0|1.0|2.63|3.57|68.76|1.87|1.0|110.43|0.0|1.0|5.0|28.0|4.0|-6.78|2.76|-3.92|0.000251|0.0933|0.0001189999999999|0.0444|2.51|0.0|0.0003|-0.03255|4.0408|4.0408|-1199.818129|-1199.784983|1091.64|306.83|0.66132|-1199.572081|-0.16693|-0.19948|41.0|7.3872|7.3872
5e_a40|0|0|0|0.0|1|0|0.604912776|1.661964758|-0.091305805|0.0601021459999999|-0.106497535|0.7768055559999999|-0.162528785|0.009890343|0.158430496|0.029272031|2|0.008306061|-0.184667138|0.010397494|-0.391074665|0|0.535506399|0.8092726020000001|0.0451110059999999|0.877722972|0.5087199929999999|0.864422751|-0.076883794|-36.56222854|-42.66853738|9.440323938|170.7311133|0.135577249|64.47400829|-20.29110082|4.489363277|51.7148695|-1.076691165|-17.38723451|-17.06741495|46.00255248|0.47779156|1986.384601|-512.0224486000001|-8.116440327000001|6.533857846|12.51197289|0.914944155|4158.984115|84.47727896|-243.4932098|0.012921086|264.9899736|6.144645946|0.0|0.0|0.0|2.73|3.74|75.5|2.37|1.0|79.16|0.0|2.0|3.0|20.0|3.0|-5.66|3.33|-4.25|1.66e-05|0.00505|5.56e-05|0.0169|3.51|0.0|0.00678|-0.07231|3.7138|3.7138|-1637.197299|-1637.180703|802.38|333.85|0.69675|-1637.115238|-0.14786|-0.2201699999999999|25.0|7.6021|7.6021
15_a4|0|0|0|0.0|1|1|1.399867493|1.956386054|-0.159419214|-0.061469545|0.0432718859999999|0.0|-0.077474847|0.009823083|-0.1979518539999999|0.022446689|1|0.00918585|0.097046535|-0.038707204|-0.226703465|1|0.5118792910000001|0.772721853|0.036363636|0.8347553529999999|0.509447294|0.867716376|-0.062151785|-29.80513879|-35.36161572|5.223809291|12.70877085|0.132283624|63.43714456|-16.95780525|2.505098786|86.01453643|-1.106078158|-14.29317436|-14.73400655|35.02894809|0.437696617|1973.978183|-530.4242358|-7.065752187|5.459799482|9.709704127|0.7783994009999999|4134.603400999999|74.8625551|-254.3670787|0.009743323|324.5687005|4.672449937|1.0|0.0|0.0|3.01|4.4|30.71|3.05|0.0|85.06|0.0|1.0|2.0|22.0|3.0|-5.6|3.61|-4.28|0.000152|0.0443|5.19e-05|0.0151|3.49|0.0|0.000235|-0.03539|4.5048|4.2148|-958.270023|-958.251931|848.47|294.16|0.56413|-958.147682|-0.17373|-0.2091199999999999|175.0|6757.0|6757.0
14aa_a23|0|1|1|0.0|2|0|1.19796312|3.4143268310000003|0.066582026|-0.026892547|0.031136154|0.758549568|-0.287870566|0.013012022|-0.029037128|-0.044957534|2|0.012103325|0.055934795|-0.13397874|-0.4506138879999999|2|0.725358161|0.75434493|-0.070471939|0.8072028240000001|0.693959193|0.924108042|-0.052155763|-35.51947393|-51.83122853|12.26959478|40.49537336|0.075891958|51.68445972|-35.2984572|8.355923226|83.27171526|-1.6743643259999998|-24.18971469|-21.51484958|47.78906871|0.4930525229999999|2941.302235|-1140.287028|-14.65218978|8.000512184|15.78173785|0.972590939|6651.23042|138.4803717|-776.5660584|0.013786041|733.3886349999999|9.388663605|1.0|1.0|1.0|3.68|4.63|105.02|3.45|2.0|130.22|0.0|1.0|5.0|32.0|4.0|-5.92|4.1|-5.55|5.9e-07|0.000259|2.81e-06|0.00123|4.31|0.0|3.07e-06|-0.0708299999999999|3.5934|3.5934|-1708.5626|-1708.5422620000002|1231.11|345.03|0.6805899999999999|-1708.276011|-0.1449|-0.21573|4.0|8451.0|8451.0
12ba_a36|1|0|0|0.0|0|2|1.297043659|0.0|-0.090865777|0.026411489|0.087201747|0.0|-0.423472625|-0.002123045|0.003750685|-0.011949092|1|-0.000621302|0.159880159|-0.168084618|-0.410941182|1|0.844641715|0.8256014690000001|-0.0202572689999999|0.890675195|0.796093405|0.849738126|-0.083210415|-56.0578808|-73.03464847|16.57882744|100.798163|0.150261874|101.229662|-49.20258616|11.16896162|16.1479891|-1.951382748|-37.76553687|-25.28122447|72.63670824|0.49229954|3035.390784|-1314.6236720000002|-17.03166444|7.409667253999999|14.59456478|0.969665341|6722.60947|197.4608731|-885.6465508|0.023797439|688.1986357999999|16.03205543|1.0|0.0|2.0|0.0|1.63|116.78|0.74|1.0|133.18|0.0|1.0|5.0|33.0|6.0|-7.04|1.57|-4.25|1.6800000000000002e-05|0.0072599999999999|5.65e-05|0.0244|2.67|0.0|8.240000000000001e-05|-0.08446|5.2506|3.0114|-1417.454721|-1417.426327|1187.56|411.71|0.70432|-1417.187763|-0.12587|-0.21033|21.0|7.6778|7.6778
12b_a5|0|0|0|0.0|0|2|1.189701783|0.0|-0.297319874|0.023224044|-0.021265946|0.0|-0.1214831359999999|0.0068803119999999|-0.119503073|-0.016614746|0|0.00751901|-0.033279992|-0.110182753|-0.1708042239999999|2|0.8417504029999999|0.779793078|-0.033036296|0.819417554|0.8121510009999999|0.827613693|-0.066227158|-41.76622313|-43.25430513|10.44150403|138.67264319999998|0.172386307|108.7155967|-27.27837078|6.584944956|0.0|-1.165974822|-26.33991037|-12.90040679|52.20772716|0.480419002|2602.046823|-735.3231872|-8.135654442|8.398709622|16.16438947|0.924627734|5501.255679|296.16656780000005|-463.7323032|0.025810077|727.8586176|16.27715102|1.0|1.0|1.0|0.0|0.72|50.28|1.54|1.0|123.46|0.0|1.0|5.0|30.0|6.0|-7.57|1.44|-3.45|0.00503|2.0|0.000359|143.0|1.63|0.0|8.5e-06|-0.10395|4.6156|1.4454|-1276.928859|-1276.8943800000002|1149.51|857.76|0.70615|-1276.940335|-0.06212|-0.16607|42.0|7.3768|7.3768
8e_a12|0|1|1|0.0|1|1|1.283834633|1.873617728|0.050021617|-0.049397555|0.0661362779999999|2.197856963|-0.330207456|0.005196034|-0.087658302|-0.0309579439999999|1|0.005744805|0.112673977|-0.136145064|-0.448676455|1|0.83954453|0.761892879|-0.051240735|0.815412281|0.797199175|0.939627917|-0.05202522|-29.79080011|-50.273571200000006|8.884082475|51.38557748|0.060372083|34.57040021|-28.78776717|5.0872236|0.0|-1.492520871|-17.05887601|-17.80522313|38.67488258|0.45384745|2548.979738|-854.6507103|-10.19566754|6.446557205|11.80358346|0.830990262|5490.975165|165.34017769999997|-489.392042|0.019545275|561.9859171|11.19206011|1.0|1.0|1.0|3.01|2.68|55.1|3.05|2.0|117.04|0.0|1.0|3.0|28.0|4.0|-6.03|3.12|-4.69|4.25e-05|0.0156|2.03e-05|0.00744|3.53|0.0|4.34e-06|-0.05739|5.247999999999999|3.3044|-1177.619013|-1177.593205|1048.44|375.21|0.6954899999999999|-1177.380602|-0.13599|-0.19338|588.0|6.2306|6.2306
11b_a50|0|1|1|0.0|2|1|1.3979498330000002|4.071188272|-0.154649459|-0.014702942|-0.007722567|2.114272566|-0.13377846|0.011959339|-0.218953127|-0.133073229|2|0.012037198|-0.013155246|-0.277408878|-0.266743077|1|0.701976536|0.800774662|-0.20645662|0.862408925|0.667956827|0.931316325|-0.0445367309999999|-23.23499995|-36.43643854|10.1501574|7.949039772000001|0.068683675|35.832562100000004|-19.0090431|5.295379767|86.04123302|-1.047617742|-12.12179711|-13.01301376|33.38515735|0.42907551|2286.724895|-546.5465781|-6.788943965|5.697537591000001|9.979494111|0.751545111|4884.730303|186.7429782|-285.1356465|0.021631609|439.9973344|11.28530137|1.0|1.0|0.0|2.84|3.73|48.53|2.25|0.0|99.65|0.0|2.0|2.0|25.0|3.0|-6.24|2.96|-4.16|0.000263|0.0862|6.97e-05|0.0228|2.9|0.0|0.000441|-0.02817|4.6471|3.9863|-1045.98235|-1045.961211|955.4|311.03|0.64477|-1045.798634|-0.16684|-0.19501|1.7|5.7696|5.7696
