molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1s|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|RASA|FNSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|Mor01p|PPSA5|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
5_a47|0|0|0|0.0|0|0|1.304329328|0.0|0.019688132|-0.188550227|0.003858593|1.284688504|-0.390426|-0.012670377|-0.002627182|0.045246333|0|-0.011237954|0.0083528919999999|-0.0428873159999999|-0.454659897|2|0.7063295709999999|0.795032176|0.0743193|0.861595935|0.675164258|0.807957755|-0.087763105|-46.33853208|-52.90420509|5.246458665|104.9032216|0.192042245|101.3974575|-27.93318665|2.770107005|0.0|-1.502972943|-24.46654029|-20.34777119|51.58499074|0.4736061789999999|2368.870941|-793.5630764|-10.74353333|5.861037845|11.13432113|0.8997183470000001|5501.708422|115.3294396|-418.9977997|0.017501741|416.1194472|9.240842159|1.0|1.0|2.0|2.79|5.96|58.04|3.26|2.0|101.51|0.0|1.0|3.0|26.0|4.0|-5.19|4.29|-5.5|2.25e-06|0.000824|3.18e-06|0.00116|4.7|0.0|7.590000000000001e-07|-0.05535|3.7083|3.7083|-1569.369195|-1569.333281|951.68|334.35|0.69291|-1569.20723|-0.15419|-0.20954|0.02|7.7|7.7
6g_a40|0|0|0|0.0|1|1|0.604893315|1.628664494|0.102683335|-0.261952754|-0.120745388|0.607999575|-1.09669629|-0.019683422|0.07194868|-0.251161616|2|-0.018182514|-0.221674172|0.05728593|-0.588058458|0|0.8316888240000001|0.832499949|-0.340429901|0.8917390820000001|0.808096413|0.605346707|-0.164941808|-107.2113398|-101.5916383|11.53799852|328.78166810000005|0.3946532929999999|256.5226419|-66.03405036|7.499640603|47.36081569|-2.657032782|-69.68682788|-38.37906336|118.7493383|0.425569146|3142.74733|-1727.0578510000005|-24.9461968|6.95079805|12.10032156|0.740853565|7822.892656|114.2663866|-1122.578856|0.020240097|590.1686672000001|13.1559604|0.0|1.0|3.0|2.28|2.48|213.89|0.59|1.0|124.18|1.0|3.0|5.0|31.0|7.0|-7.02|2.37|-4.71|6.049999999999999e-08|2.87e-05|1.93e-05|0.00917|3.06|1.0|0.6459999999999999|-0.08622|3.3197|2.8135|-2522.023752|-2521.990118|1144.59|440.68|0.5794199999999999|-2521.8114530000003|-0.11857|-0.20479|47.0|7.3279|7.3279
10_a27|0|0|0|0.0|2|0|1.400533489|3.383341915|0.122016352|-0.044164147|-0.184068581|1.296293777|-0.282866526|0.00991794|0.034318674|-0.000903965|1|0.010329671|-0.309727442|-0.341622797|-0.487435299|2|0.639413469|0.804375252|-0.001453596|0.862408925|0.614205449|0.8526621529999999|-0.061299064|-32.5969511|-46.27574168|9.399794974|6.0140309720000005|0.147337847|78.34972221|-24.60801194|4.998521009|49.19800605|-1.305333567|-17.33405307|-16.5270506|41.99674607|0.477162521|2270.538352|-694.1361252|-8.788575695|6.761146212000001|12.9316403|0.912640238|4894.8090170000005|135.40932969999997|-369.1201792|0.01651645|424.8821143|8.782938574|0.0|1.0|0.0|3.15|2.97|65.6|2.25|0.0|97.39|0.0|1.0|3.0|25.0|4.0|-6.51|2.74|-3.92|0.000266|0.0882|0.0001189999999999|0.0394|2.55|0.0|0.000192|-0.0498|4.1495|4.1495|-1083.137871|-1083.1151289999998|958.95|298.79|0.63894|-1082.956472|-0.16805|-0.21785|69.0|7.1612|7.1612
8b_a50|1|1|1|0.0|1|1|1.398299046|2.021915391|-0.115740384|-0.009597908|-0.096039086|1.98971238|-0.1812055289999999|0.006841944|-0.009441452|-0.0180233089999999|2|0.007057361|-0.170496134|-0.116174481|-0.332085641|1|0.753629415|0.809463375|-0.031953774|0.8836675340000001|0.71043578|0.845349082|-0.072629787|-34.79187329|-37.39727879|10.30543157|131.417573|0.154650918|74.08248511|-17.91443197|4.93661461|0.0|-1.092961836|-16.66636363|-14.54338619|45.09730487|0.428882006|2143.807599|-523.561903|-6.966723542|5.292277178|9.26652151|0.75095166|4446.001554|157.2609748|-250.8020475|0.024280552|339.5806858|11.63112165|1.0|1.0|1.0|1.69|3.41|59.39|1.79|0.0|89.78|0.0|2.0|2.0|23.0|3.0|-6.32|2.51|-3.81|0.000359|108.0|0.000154|46.0|2.55|0.0|0.000347|-0.02903|4.5256|4.1804|-967.3527447|-967.3160428|857.53|296.58|0.59283|-967.212701|-0.1724099999999999|-0.20144|68.0|7.1675|7.1675
4S4k_a46|0|0|0|0.173180233|1|1|1.134637098|2.145043462|-0.050636784|-0.088084767|-0.104665424|0.0|-0.252970193|0.006550513|-0.1149361969999999|-0.1032662209999999|1|0.006050983|-0.158788415|0.012963356|-0.3860697829999999|1|0.78837943|0.7477594870000001|-0.141706595|0.787615341|0.784722915|0.891734458|-0.089589915|-47.49082053|-45.61628327|4.1078333030000005|172.7607401|0.1082655419999999|57.39060501|-24.18078772|2.177526049|0.0|-1.46291223|-25.17446332|-16.15576699|51.59865384|0.461984953|2105.538282|-775.4768155|-8.564028983|5.523352655|10.26616763|0.858684076|4719.2906570000005|70.01975807|-411.0733912|0.007182108|519.5743695|3.807172093|1.0|1.0|1.0|3.03|4.77|50.94|2.84|1.0|100.96|0.0|1.0|2.0|25.0|3.0|-5.46|3.79|-4.83|1.5e-05|5.0|1.4800000000000002e-05|0.0049299999999999|4.05|0.0|8.28e-05|-0.02074|5.2854|4.0774|-1053.441953|-1053.415665|997.07|304.07|0.67893|-1053.202208|-0.17396|-0.1947|197.0|6.7055|6.7055
5d_a40|0|0|0|0.0|1|0|0.6049133329999999|1.601200869|-0.071479892|0.0418378229999999|-0.1031436519999999|0.716041667|-0.1868684619999999|0.007200253|0.2078052269999999|0.029272031|2|0.006642869|-0.259985037|-0.009744685|-0.399968083|0|0.496945486|0.8092726020000001|0.0451110059999999|0.877722972|0.483934049|0.754010052|-0.086193996|-39.55506228|-43.26473143|10.10860823|181.4728912|0.245989948|112.88660690000002|-19.85450535|4.638915105|53.85026982|-1.131332331|-18.15211073|-17.30589257|49.66367051|0.479931934|1974.583878|-519.1767771000001|-7.94180214|6.288958592999999|12.09256826|0.922825231|4051.712713|86.65063178|-238.2540642|0.014630084|243.4287716|6.713853887999999|0.0|0.0|0.0|2.56|3.64|75.5|2.25|0.0|74.11|0.0|2.0|3.0|20.0|4.0|-5.94|3.1|-3.82|5.9e-05|17.0|0.000152|0.0436|2.98|0.0|0.0137|-0.06796|3.7374|3.7374|-1276.833831|-1276.817151|765.69|331.74|0.69613|-1276.751174|-0.14851|-0.2164699999999999|19.0|7.7212|7.7212
17b_a50|0|1|1|0.0|2|1|1.348984601|4.35392516|-0.145258626|0.013050204|0.035558152|2.206759705|-0.144000296|0.012409091|-0.152660972|-0.15040528|2|0.012686493|0.05636897|-0.357011777|-0.237489143|1|0.7715057479999999|0.7621727979999999|-0.257646121|0.799772151|0.748900413|0.931849183|-0.047785496|-33.25475672|-52.58062823|8.976922737999999|9.9094658|0.068150817|47.42733742|-36.59177249|6.247196459|86.9549829|-1.662228695|-23.14256283|-18.65764227|42.23167946|0.4835366239999999|2765.537065|-1156.773821|-12.98417734|8.324966952|16.11918162|0.936245718|6059.076348|136.82673369999998|-805.0189948|0.010169967|862.3868512|7.077456382|1.0|1.0|0.0|3.57|4.92|51.77|2.71|3.0|131.39|0.0|1.0|8.0|32.0|4.0|-6.09|3.87|-4.91|1.7899999999999998e-05|0.00763|1.22e-05|0.0052|3.96|0.0|1.22e-05|-0.0318|4.2447|4.0418|-1337.1910779999998|-1337.164673|1300.3|306.75|0.66195|-1336.833957|-0.16699|-0.19879|122.0|6.9136|6.9136
12f_a36|1|0|0|0.0|0|2|1.297042537|0.0|-0.066269699|-0.032343041|0.10938259|0.0|-0.40641518|0.003676818|0.012286423|-0.06756661|1|0.0045625|0.182557897|-0.169994208|-0.438198895|1|0.902377067|0.821599443|-0.1188384119999999|0.8700396090000001|0.857993338|0.8435569079999999|-0.071035495|-46.86832019|-66.16123807|11.77610852|43.53853176|0.156443092|103.2191714|-43.65234724|7.769727312|0.835268043|-2.00553221|-30.92312428|-23.629013600000004|58.64442871|0.464240353|2770.818472|-1323.224761|-15.59012402|7.416874811|13.84366076|0.8665086190000001|6000.985822|144.9540437|-873.0469447999999|0.015685228|729.1873176|10.34891518|1.0|0.0|2.0|0.0|2.45|69.2|2.45|1.0|133.52|0.0|1.0|6.0|31.0|4.0|-6.33|2.4|-4.57|2.48e-05|0.0102|2.6600000000000003e-05|0.0109|3.47|0.0|1.7899999999999998e-05|-0.05035|5.2106|3.6545|-1311.57896|-1311.550167|1195.77|339.27|0.70126|-1311.285102|-0.15011|-0.20046|11.0|7.9586|7.9586
19c_a38|1|0|0|0.0|0|2|1.297043851|0.0|-0.085545751|-0.04575843|0.02192428|0.0|-0.449745181|-0.004442319|-0.0725602509999999|-0.0431896509999999|1|-0.002443797|0.04814981|-0.20848518|-0.434836855|1|0.7163622890000001|0.846765471|-0.071918235|0.908721232|0.6885713729999999|0.7591916240000001|-0.0918007669999999|-57.79749770000001|-68.18641054|15.30924906|139.1570837|0.240808376|151.612258|-42.92996714|9.638658988|4.848162625|-1.949429829|-36.38913762|-24.06579196|73.10674676|0.477803802|2967.98627|-1227.35539|-15.15175311|6.97753104|13.36189552|0.914989047|6618.350708|177.10114030000005|-772.7394084|0.023120664|640.025745|14.55670345|1.0|1.0|3.0|3.0|2.42|105.02|1.76|1.0|130.41|0.0|1.0|5.0|32.0|5.0|-7.13|2.57|-4.12|4.46e-05|19.0|7.55e-05|0.0322|2.5|0.0|5.14e-05|-0.05691|5.8832|3.8322|-1424.42734|-1424.3899310000002|1138.6|323.53|0.6279899999999999|-1424.1880119999998|-0.15612|-0.21303|9.0|8.0348|8.0348
12b_a40|0|0|0|0.0|1|0|0.604989475|1.713497417|0.084915315|-0.011794908|0.1744506639999999|0.747253086|-0.158107422|0.00779293|0.107454819|-0.1537981269999999|2|0.004452418|0.279216571|0.038336814|-0.513870527|0|0.58925219|0.7137941109999999|-0.227384615|0.7818091140000001|0.522580798|0.955647156|-0.065048707|-37.05091872|-42.67442006|6.17734692|80.72126798|0.044352844|25.26281742|-24.3068084|3.518538455|48.17000329|-1.048903063|-21.10373336|-19.27231874|43.22826564|0.494842289|2462.878448|-597.4418808999999|-10.97726831|8.132984007000001|16.09989085|0.979579799|5933.385347|81.54797734|-340.29531769999994|0.010309671|370.3261123|5.872257692000001|1.0|0.0|0.0|3.87|6.74|58.43|5.07|2.0|101.78|0.0|1.0|2.0|24.0|2.0|-4.09|5.79|-7.11|1.95e-08|8.09e-06|7.82e-08|3.2500000000000004e-05|6.68|0.0|1.7e-06|-0.08279|3407.0|3407.0|-3016.999329|-3016.9868100000003|960.94|363.91|0.69476|-3016.927883|-0.14267|-0.22546|0.04|7.3979|7.3979
