molecula|SddssS|n9FaRing|SaaNH|NaasN|nARing|BCUTs-1|SaasN|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|PBF|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|DPSA5|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|GeomShapeIndex|WNSA2|DPSA4|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
11d_a5|0.0|0|2.9590700880000003|0|0|1.388848584|0.0|-0.125546291|0.0|0.008307337|-0.138265707|10.94877952|0.01948342|1|0.008809179|-0.202307745|-0.200646773|-0.22897714|2|0.786587307|0.783891527|-0.018747485|0.036918829|0.831190148|0.755793189|0|0.359644732|0.012828514|-53.84338206|8.151092424|61.45330587|82.02685783|-0.029333375|-34.21147402|5.179111638|-1.525335513|-25.44574968|65.35645739|0.49396568|2540.78984|-969.1808771|900.3825317|0.976150552|-615.8065323|26.16587381|1360.625438|631.9206508|11.51307533|1.0|1.0|1.0|1.0|3.13|0.17|23.0|-8.64|4.14|66.93|1.42|0.0|114.29|0.0|-4.14|5.0|-6.47|385.46|0.0|1.0|3.28|7.2e-05|0.0278|5.14e-05|0.0|2.31e-09|8.909999999999999e-07|-0.03767|4.4175|2.59|4107.0|-1239.127458|-1239.093739|1154.67|301.89|507.0|594.45|0.66686|0.6533399999999999|-0.16762|-0.20529|0.03371838|3.7008|7.8239|7.8239
12y_a36|0.0|0|3.479963309|0|2|1.29704385|0.0|0.036174187|0.0|0.002782748|-0.049845887|10.94917392|-0.028440975|1|0.003724542|0.06152178|-0.1619981409999999|-0.434990282|1|0.90500247|0.820226782|0.046673879|-0.0498101409999999|0.873588247|0.856135378|0|0.424572485|0.019404665|-66.24017399|13.04507243|114.430624|109.55137340000002|-0.036493654|-44.53093547|8.769742642|-1.970657299|-34.61187706|78.8341402|0.487285656|2793.629988|-1324.80348|2304.463084|0.950403792|-890.6187094000001|32.46293206|1752.9983309999998|698.847203|12.59396622|1.0|0.0|1.0|0.0|4.88|0.12|17.0|-7.01|2.42|69.2|2.38|0.0|133.84|0.0|-4.58|4.0|-6.34|407.47|0.0|0.0|2.37|2.6e-05|0.0106|2.82e-05|0.0|9.66e-08|3.94e-05|-0.05002|3.8794|3.83|3.8794|-1310.350902|-1310.315063|1183.75|319.6|0.4358|532.91|0.66796|0.66796|-0.15671|-0.20673|0.03583863|8249.0|7.9208|7.9208
12b_a30|0.0|0|0.0|0|2|0.604984682|0.0|-0.074391852|0.0|0.001139238|-0.037209579|10.31162898|-0.072247675|1|0.002064369|-0.165287712|-0.120380857|-0.468842459|1|0.669561738|0.824373792|-0.009146339|-0.1240820219999999|0.880943609|0.64876559|0|0.383979687|0.017341789|-62.96700664|11.01246349|86.84905288|149.39744040000002|-0.038448551|-39.98560202|6.99318589|-1.883979001|-33.68855323|73.02913136|0.4676268939999999|2849.095245|-1196.373126|2347.979099|0.878381889|-759.7264385|30.57626261|1498.236868|618.6004214|10.06212472|1.0|0.0|1.0|0.0|4.63|0.14|17.0|-6.9|3.18|81.65|3.2|0.0|127.24|0.0|-5.39|5.0|-6.02|416.47|0.0|0.0|2.92|4.12e-06|0.00171|9.71e-06|0.0|1.26e-07|5.260000000000001e-05|-0.05351|5.0567|4.07|3.5207|-1675.0107779999998|-1674.977262|1130.68|352.16|0.2079|516.78|0.3159099999999999|0.68496|-0.1493799999999999|-0.20289|0.03351603|4.5545|8.1543|8.1543
14a_a25|0.0|0|0.0|1|0|1.420015394|1.667057351|0.051906412|1.975771616|0.006085806|-0.046802062|10.93106303|-0.019985937|1|0.006158124|0.085350921|-0.077269115|-0.365062041|2|0.6716839040000001|0.7385460309999999|-0.085643386|-0.035531959|0.792935475|0.653818362|1|0.326595394|0.012870836|-55.27820709|8.449104086|107.22698590000002|98.18816423|-0.033365179|-36.28756839|5.546443318|-1.76835447|-30.017374100000005|63.96772039|0.492236681|2844.993903|-1160.842349|2142.5112510000004|0.969421506|-762.0389362000001|27.14918443|1438.906775|712.1606951|8.689513304|1.0|1.0|1.0|1.0|3.43|0.08|27.0|-9.59|4.92|72.7|2.47|0.0|126.26|0.0|-5.39|4.0|-5.91|419.48|0.0|1.0|3.81|4.03e-06|0.0016899999999999|5.13e-06|0.0|2.58e-10|1.08e-07|-0.05083|5.3631|5.79|3.9479|-1352.298438|-1352.265931|1202.13|314.05|0.3529|548.29|0.42461|0.6714|-0.16347|-0.2143|0.03250632|4.1656|6684.0|6684.0
12a_a32|0.0|1|3.442930603|0|0|0.609420757|0.0|-0.0134169989999999|2.136609567|-0.003484915|-0.031249617|10.31100269|-0.074344282|3|-0.001662219|-0.024155151|-0.1534110109999999|-0.583507277|0|0.788133615|0.845443342|-0.018578911|-0.125149165|0.8966299409999999|0.7507116140000001|1|0.288267255|0.016535497|-68.06885478|10.31184223|111.9735444|131.7691491|-0.0308471429999999|-42.44899997|6.430656017|-1.4189685719999998|-33.18255791|81.41372467|0.456641145|2572.916338|-884.8951120999999|3030.946307|0.840404348|-551.8369996|28.81034388|1325.275819|557.1050635|13.34486989|1.0|1.0|1.0|1.0|3.45|0.26|19.0|-7.65|4.19|140.04|1.1|0.0|110.47|1.0|-6.01|4.0|-6.32|397.52|1.0|1.0|3.6|9.78e-07|0.000389|3.17e-05|0.0|2.23e-08|8.86e-06|-0.05222|3576.0|4.63|3576.0|-1880.771042|-1880.734215|1114.3|346.71|0.2908|548.66|0.7025600000000001|0.7025600000000001|-0.14827|-0.20049|0.03682626|4.2371|7.6021|7.6021
15_a3|0.0|0|0.0|0|1|0.619596467|0.0|-0.182934001|1.809035179|-0.006419472|0.126641951|10.33806279|0.021805556|0|-0.004459728|-0.325227172|-0.039798975|-0.505519936|3|0.968837995|0.813015336|-0.103599654|0.036380489|0.866559772|0.911346861|1|0.451058529|0.007901554|-55.08588323|4.04445331|315.5421792|113.1667185|-0.037667|-28.19600959|2.070175472|-1.50667999|-24.19332693|60.30684851|0.461565365|2116.88728|-771.2023653|1433.713715|0.85723565|-394.7441342|22.67368656|906.9474625|402.781061|5.220965278|1.0|1.0|1.0|1.0|4.12|0.24|16.0|-5.78|1.56|89.99|0.96|0.0|94.29|0.0|-2.77|5.0|-7.35|321.4|0.0|0.0|1.2|0.0017|547.0|0.000951|0.0|1.66e-06|0.000535|-0.06319|6.0077|2.33|3.7072|-1328.688126|-1328.665275|916.07|334.44|0.4107|398.12|0.2843199999999999|0.67902|-0.1576|-0.22079|0.0228507|2.3271|7.6021|7.6021
4q_a46|0.0|0|0.0|1|1|1.131262631|2.151582577|-0.012611536|0.0|0.012173202|-0.155661124|10.96363644|-0.081623022|1|0.012222698|-0.019471024|-0.187559576|-0.125840557|2|0.716317772|0.807871283|-0.15266708|-0.121752717|0.848935944|0.703627625|0|0.258420996|0.014510206|-39.09149156|8.099124333999999|38.31894407|48.25357162|-0.021010627|-21.81959712|4.520667361|-1.050531344|-16.25388148|49.37907349|0.487775649|2234.596293|-586.3723734|1491.412605|0.952269544|-327.2939568|18.92875482|946.4377411|554.3688216|10.28758193|1.0|1.0|1.0|1.0|3.95|0.38|17.0|-6.94|4.09|52.83|1.75|0.0|102.63|0.0|-3.41|4.0|-6.54|348.44|0.0|0.0|3.15|0.000389|135.0|0.000129|0.0|1.14e-07|3.97e-05|-0.03042|4.5296|2.57|4.5296|-1108.751283|-1108.729426|1043.05|273.72|0.1432|510.13|0.69002|0.69002|-0.1903|-0.2207199999999999|0.02185677|3.2968|6129.0|6129.0
19_a47|0.0|1|0.0|1|0|1.402889494|1.445775615|0.027033021|1.174354482|-0.013020816|-0.064557784|10.95058274|0.0604168609999999|1|-0.010153352|0.074201869|-0.126992366|-0.439165562|2|0.635684951|0.823945134|-0.024256505|0.095841135|0.8873627890000001|0.614975047|1|0.270767873|0.026805875|-57.87554797|14.85167037|335.10989930000005|199.6541807|-0.037307124|-32.06567824|8.228498913|-1.566899206|-32.2945343|76.13237258|0.463378097|2612.978054|-868.1332196000001|1238.799875|0.8635094740000001|-480.9851737|32.40636867|1361.067484|428.5826478|18.25682461|0.0|1.0|1.0|1.0|3.13|0.05|21.0|-6.92|3.84|98.72|1.67|0.0|99.2|0.0|-3.67|6.0|-7.22|380.35|0.0|1.0|2.34|0.000214|0.0816|0.000217|0.0|1.2099999999999998e-07|4.59e-05|-0.05326|3.8423|3.51|3.8423|-1335.75742|-1335.725639|974.59|322.68|0.3243|412.31|0.68924|0.68924|-0.15845|-0.2117099999999999|0.03178118|6.3247|7.3|7.3
47n_a18|0.0|0|0.0|0|1|1.251175627|0.0|0.017491759|0.0|0.000271488|-0.003276575|10.94702025|-0.048404296|0|0.001705837|0.026244774|-0.258092915|-0.529441732|0|0.722991132|0.696612213|-0.09714337|-0.083719099|0.726888951|0.711628292|0|0.288989992|0.0106152389999999|-75.24728669|8.759783644|61.29571241|171.2889916|-0.031974244|-62.09468789|7.228646444|-2.4620167580000003|-54.00070374|86.44740177|0.482565384|3349.802294|-2031.676741|2052.393389|0.932611327|-1676.556573|33.65821422|2591.682495|1306.125688|11.20011508|1.0|1.0|1.0|1.0|4.69|0.31|18.0|-9.76|3.31|105.6|2.72|1.0|162.18|1.0|-6.02|4.0|-6.68|539.67|0.0|0.0|2.76|9.48e-07|0.000511|5.7e-06|0.0|1.7500000000000002e-10|9.44e-08|-0.0525299999999999|3.2028|9.78|3.2028|-1743.3283440000002|-1743.299948|1565.37|387.11|0.5056|799.02|0.6914600000000001|0.6914600000000001|-0.13138|-0.18391|0.02839695|3.3568|7.1938|7.1938
8_a15|0.0|0|0.0|0|0|1.419941362|0.0|0.155304204|0.0|1.7800000000000002e-05|-0.010146469|10.95880707|-0.014489333|0|0.003160815|0.225620047|-0.295062413|-0.342749125|1|0.85357243|0.7059441040000001|0.0937475619999999|-0.025923166|0.742680335|0.8105478740000001|0|0.381651497|0.0336657729999999|-69.07571287|19.65860939|104.8781037|85.31489861|-0.028969856|-40.33569847|11.47934212|-1.419522941|-24.39801408|89.80283608|0.389723411|2393.276181|-828.9085544|1919.535904|0.638601279|-484.0283816000001|32.56759415|1595.8121130000002|532.0914339999999|20.72712321|1.0|1.0|0.0|1.0|3.14|0.19|18.0|-7.57|4.95|61.84|1.96|0.0|104.74|0.0|-5.25|5.0|-5.52|366.41|0.0|1.0|3.76|5.63e-06|0.00206|1.53e-05|0.0|2.69e-08|9.86e-06|-0.02723|4.4346|3.36|3.7426|-1223.704913|-1223.687714|1050.15|331.28|251.0|538.51|0.5128|0.70524|-0.1558|-0.18303|0.01719864|1.4589|6.9666|6.9666
