molecula|SddssS|n9FaRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WNSA3|PNSA4|DPSA3|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
19g_a38|0.0|0|0.0|0|7.412764017000001|2|1.297044182|-0.077355838|-0.008497058|5.351858133|-0.117921811|2|-0.037579797|-0.458841138|-0.006877664|-0.009881824|10.96052467|-0.046735135|1|-0.004358975|-0.096139701|-0.250781298|-0.438254637|0.653741315|0.836170906|-0.063110203|0.892249657|0|0.7200062690000001|-0.086314802|-0.114243258|-72.29378538|14.52522351|137.56612280000002|0.279993731|-0.038842708|-45.74791999|-34.56416368|-24.57988703|69.14572278|2897.384301|-1228.994351|2506.378649|0.280058007|6.327835378|11.62016299|0.836356715|6631.17356|0.0228937029999999|-278.3610963|1707.074131|593.6088758|14.48726605|1.0|1.0|1.0|1.0|4.82|2.52|17.0|-7.12|2.78|1.0|0.0|125.65|0.0|1.0|5.0|-6.81|2.97|5.68e-05|0.0238|0.0196|2.88|0.0|638.82|336.12|234.97|475.84|-1431.186566|-0.15269|5.0677|0.03244515|-1431.244906|6.1765|42.0|7.3778|7.3778
34_a20|0.0|0|0.0|1|6.842683282|0|1.416932073|0.0305860929999999|-0.0057643419999999|4.727387819|-0.104520106|2|0.199191385|-0.328567476|0.003085806|-0.046356705|10.93244905|-0.054458882|1|0.003149352|0.327535029|0.057022334|-0.4478820739999999|0.7071284179999999|0.74801464|-0.101401966|0.80310139|1|0.7966571459999999|-0.0851907119999999|-0.085459595|-57.49912174|8.766605631000001|297.5548445|0.203342854|-0.032248904|-38.68669181|-38.56497154|-21.69778179|66.0848174|2825.042137|-1149.982435|2319.742032|0.223585914|7.940146766|14.7802149|0.8614536140000001|6211.26199|0.01491516|-371.9551262|1481.145765|712.1606951|10.03525243|1.0|1.0|1.0|1.0|3.43|2.92|27.0|-9.18|2.47|2.0|0.0|125.0|0.0|1.0|5.0|-6.28|3.63|7.27e-06|0.00305|0.00399|3.63|0.0|711.19|320.38|229.04|544.93|-1352.041015|-0.16103|3.8519|0.03558836|-1352.102407|5.4994|61.0|7.2147|7.2147
12p_a36|0.0|0|0.0|0|7.412764017000001|2|1.297044387|-0.0494658159999999|-0.008017607|5.351858133|-0.084341564|2|0.114716581|-0.432950771|-0.002526241|-0.084846674|10.96052769|-0.0433009009999999|1|-0.000673716|0.2461794139999999|-0.217394466|-0.440709431|0.724208473|0.828371596|-0.035871448|0.8839272779999999|0|0.748438833|-0.082569108|-0.108380023|-68.22905781|12.71795723|83.24921731|0.251561167|-0.039016808|-42.95260501|-32.72335782|-24.56246081|64.698131|2774.926334|-1228.123041|2308.958924|0.240873847|7.546742977|14.3885803|0.906594718|5922.775161|0.019344052|-326.2581567|1617.811526|595.8790650000001|12.17776516|1.0|0.0|1.0|0.0|4.72|0.0|17.0|-6.86|2.4|1.0|0.0|123.71|0.0|1.0|5.0|-6.76|2.15|0.000129|0.0515|0.0278|2.78|0.0|660.71|323.11|232.12|506.89|-1331.947748|-0.15608|4.8805|0.03396697|-1332.006106|6.7199|9.0|8.0458|8.0458
20_a31|0.0|1|0.0|0|7.765993078999999|0|0.609420757|0.0469387759999999|-0.009722467|5.733341277|-0.057200812|0|-0.013040402|-0.476400874|-0.003484915|-0.020082435|10.31100269|-0.078213611|3|-0.001662219|-0.023477148|-0.1534110109999999|-0.594513619|0.788133615|0.8602874540000001|0.028036914|0.912372776|1|0.7954270659999999|-0.085849869|-0.110195543|-69.0542431|12.1160662|64.42171513|0.2045729339999999|-0.033537774|-43.27297051|-33.71260536|-21.01650877|65.91404723|2576.1287230000003|-966.7594033|1758.762093|0.289292958|8.289864307|15.48343758|0.86775525|5678.167489|0.019624081|-264.0799235|1360.278351|557.1050635|12.29746712|1.0|1.0|1.0|1.0|3.46|2.74|19.0|-7.65|1.1|1.0|0.0|110.47|1.0|1.0|7.0|-6.39|3.6|1.24e-06|0.000493|0.0146|3.29|0.0|666.67|350.43|350.43|560.67|-1880.538664|-0.1483|3.7403|0.0336943|-1880.599777|4.9218|8.0|8.0862|8.0862
14aa_a23|0.0|1|0.0|2|7.423568444|0|1.19796312|0.066582026|-0.005050361|5.351858133|-0.026892547|2|0.031136154|-0.287870566|0.013012022|-0.029037128|10.313217300000002|-0.044957534|2|0.012103325|0.055934795|-0.13397874|-0.4506138879999999|0.725358161|0.75434493|0.055269665|0.8072028240000001|1|0.924108042|-0.052155763|-0.076107469|-51.83122853|12.26959478|40.49537336|0.075891958|-0.03159178|-35.2984572|-24.18971469|-21.51484958|47.78906871|2941.302235|-1140.287028|2263.821505|0.203340553|8.000512184|15.78173785|0.972590939|6651.23042|0.013786041|-404.0660854|1431.335599|733.3886349999999|9.388663605|0.0|1.0|1.0|1.0|3.63|3.68|26.0|-8.16|3.45|2.0|1.0|130.22|0.0|1.0|5.0|-5.92|4.1|5.9e-07|0.000259|0.00123|4.31|0.0|715.57|345.03|345.03|588.45|-1708.276011|-0.1449|5.8286|0.02033777|-1708.338059|8.3532|4.0|8451.0|8451.0
11f_a5|0.0|0|0.0|0|6.605297921|1|1.370797007|-0.251797205|-0.0037371509999999|4.59511985|0.022233547|3|-0.083432989|-0.227966183|0.00722997|-0.178881726|10.94877949|-0.0080939669999999|1|0.008309782|-0.1323098|-0.203228986|-0.230681941|0.785419245|0.756843253|-0.008110526|0.800575032|0|0.847356138|-0.068361657|-0.074612137|-51.92819555|15.41338844|70.39517801|0.152643862|-0.022252743|-36.14073513|-33.11311829|-15.48735657|62.99140465|2853.401015|-882.7793242999999|1125.122028|0.489052404|9.683662007|18.03905985|0.8628345190000001|5969.213977|0.030351311|-15.23851001|1727.7296760000002|753.9168511|21.12375879|0.0|1.0|1.0|1.0|3.35|2.87|23.0|-8.67|1.03|1.0|0.0|126.79|0.0|1.0|7.0|-6.99|2.95|0.000112|0.0477|0.0234|2.7|0.0|729.96|299.8|278.47|579.1|-1391.444853|-0.1691|2.1313|0.03804804|-1391.50739|2.9697|12.0|7.9208|7.9208
3a_a49|0.0|0|0.0|1|7.535296702|1|1.343850114|-0.05210989|-0.006374689|5.4161004020000005|-0.072328354|2|-0.044367345|-0.337858497|-0.000349523|-0.060613765|10.92976559|0.00497674|1|0.000521532|-0.074886415|0.003978478|-0.421478185|0.775818577|0.8145214209999999|0.012813604|0.8704151529999999|1|0.72890527|-0.094437035|-0.088484274|-51.82200998|9.491036042|107.4001347|0.27109473|-0.030698626|-30.35026007|-32.39206742|-17.97906469|64.79936082|2599.121578|-880.9741697000001|1793.526571|0.310225187|6.566343333|12.49907878|0.903506738|5792.106924000001|0.021141449|-222.2883651|1277.19098|578.2841135|12.38177532|0.0|0.0|1.0|1.0|3.25|2.11|21.0|-7.19|1.04|1.0|0.0|112.14|0.0|1.0|5.0|-7.67|2.02|0.000878|0.3379999999999999|193.0|1.38|0.0|635.89|320.04|240.06|449.68|-1253.756918|-0.15978|3801.0|0.03833529|-1253.8126619999998|4.2593|64.0|7.1938|7.1938
9_a15|0.0|0|0.0|0|0.0|0|1.419941378|-0.217598467|-0.009923019|0.0|-0.042227775|1|0.096418279|-0.506073953|1.7800000000000002e-05|0.05688176|10.95880687|0.005692073|0|0.003160815|0.140072812|-0.295062413|-0.344978312|0.85357243|0.7059441040000001|0.088615068|0.742680335|0|0.846156316|-0.073701648|-0.11668349|-65.07462414|18.10574464|105.5304352|0.153843684|-0.028575549|-36.29225274|-22.92354152|-15.93664265|59.20930631|2392.3164920000004|-780.8954896|1689.926339|0.48742253|5.485176331|10.00547485|0.8240935659999999|5375.400861|0.03598612|-14.02896218|1523.4682269999998|532.0914339999999|20.06953345|1.0|1.0|0.0|1.0|3.16|3.37|18.0|-7.57|1.96|2.0|0.0|104.74|0.0|1.0|7.0|-5.52|3.69|5.63e-06|0.00206|0.00562|4.24|0.0|588.55|330.74|285.37|507.33|-1223.463757|-0.1565099999999999|1.4625|0.01773342|-1223.522216|2188.0|107.0|6.9706|6.9706
10_a1|0.0|0|0.0|0|6.86171134|0|1.435871163|0.0883621719999999|-0.014135827|4.727387819|-0.23385288|1|0.049971022|-0.621976404|-0.012672753|-0.020225596|10.94957578|0.010430299|1|-0.0106277489999999|0.107434253|-0.042643966|-0.623957903|0.674381582|0.7227844929999999|-0.0369911079999999|0.783467165|0|0.669963758|-0.116648443|-0.10949971|-61.93104798|8.34295348|212.8090837|0.330036242|-0.045402319|-35.02707638|-37.31383317|-25.67872721|74.31719486|2432.447088|-1052.827816|1768.2330920000002|0.165903744|7.376231317999999|13.65143394|0.850732895|5192.858899|0.015427326|-377.9175542|1262.237791|433.2550452|8.725415617000001|1.0|0.0|1.0|0.0|3.0|2.18|23.0|-8.02|2.78|2.0|0.0|99.61|0.0|1.0|4.0|-5.91|3.7|1.04e-05|0.00372|0.00673|3.64|0.0|585.51|363.94|363.94|464.77|-1222.969096|-0.13576|5.3861|0.03426532|-1223.022387|7807.0|1.5|5.8239|5.8239
11a_a5|0.0|0|0.0|0|6.605297921|1|1.212363224|-0.165418719|-0.002894726|4.59511985|0.052217882|2|-0.052944925|-0.185262487|0.007993132|-0.1301505359999999|10.94877942|-0.02394636|1|0.007955512|-0.081506|0.006120569|-0.254944026|0.7505403709999999|0.73344478|-0.037220974|0.773417838|0|0.89343434|-0.064565402|-0.071517578|-51.09940261|8.474559367000001|61.32301293|0.10656566|-0.026223112|-36.51058972|-32.96141947|-18.73644762|54.60662289|2727.027899|-1124.186857|1170.247903|0.259134725|9.740948724|18.25640338|0.874191508|5756.783268|0.014482324|-344.1971057|1517.39715|835.912531|10.34763929|0.0|0.0|1.0|1.0|3.53|3.68|23.0|-9.93|3.05|2.0|0.0|128.51|0.0|1.0|7.0|-4.54|5.16|5.63e-08|2.39e-05|0.000167|6.13|0.0|739.79|302.86|281.57|578.8|-1339.493223|-0.16735|2.8611|0.03340977|-1339.555805|3.6525|81.0|7.0915|7.0915
12e_a30|0.0|0|0.0|0|7.412764017000001|2|0.604984231|-0.0026669809999999|-0.0077937519999999|5.351858133|-0.029595542|2|-0.010682095|-0.444243861|0.0043261129999999|0.005418617|10.31162844|-0.055954785|1|0.0053380919999999|-0.018475151|-0.154412059|-0.417089226|0.838579475|0.8246767140000001|0.002248768|0.876441789|0|0.816703705|-0.07914783|-0.098059338|-65.04681137|16.08914569|106.2790684|0.183296295|-0.035153347|-43.14823836|-34.82676424|-23.31866823|68.59117243|2920.484542|-1235.889416|2392.685958|0.292879147|8.069355055|15.14403079|0.8767337279999999|6421.289402|0.022696477|-274.7836441|1747.776792|704.0353382000001|15.05551106|1.0|1.0|1.0|1.0|4.72|0.0|17.0|-6.74|2.51|2.0|0.0|133.77|0.0|1.0|6.0|-6.19|2.57|3.59e-06|0.00154|0.0050799999999999|3.84|0.0|709.98|356.82|245.94|562.76|-1690.030824|-0.1476|5551.0|0.03344515|-1690.092998|6.1598|11.0|7.9431|7.9431
12_a1|0.0|0|0.0|0|7.423568444|1|1.430936075|-0.0455890429999999|-0.011221829|5.351858133|-0.02164054|1|0.076867966|-0.516204114|-0.0038943009999999|-0.0811332759999999|10.94945122|-0.051772288|1|-0.001416381|0.127560614|-0.173618873|-0.487073772|0.8016064479999999|0.749817035|-0.045776997|0.817998205|0|0.765121385|-0.0964711209999999|-0.104724018|-60.78517756|19.60151089|133.6600817|0.234878615|-0.039894864|-35.28166588|-32.50125347|-23.15625812|75.59644237|2592.245875|-972.562841|1825.150911|0.275333347|7.679719277999999|14.34104294|0.867391557|5468.378562|0.024485753|-260.8074567|1342.083063|473.040639|14.21231622|1.0|1.0|1.0|1.0|3.29|2.72|23.0|-8.2|1.67|2.0|0.0|103.47|0.0|1.0|3.0|-6.02|3.44|1.04e-05|0.00379|0.00649|3.54|0.0|607.42|390.57|332.04|482.51|-1215.922313|-0.12874|7.7454|0.0296752|-1215.975876|10.1801|2.95|5.5302|5.5302
13c_a5|0.0|0|0.0|0|6.605297921|1|1.377702625|-0.2071929139999999|-0.005082338|4.59511985|-0.0090268969999999|3|-0.010689086|-0.284610951|0.005288472|-0.098760742|10.94530327|-0.018055556|1|0.006110714|-0.017427549|-0.150963534|-0.324868153|0.705487111|0.770478689|0.003545487|0.822789227|0|0.80019672|-0.077308234|-0.076591149|-50.50012762|15.25960958|158.67712230000004|0.19980328|-0.025039414|-33.29709668|-33.60884086|-16.50965711|66.23254483|2793.480751|-858.5021696|1235.709541|0.448671765|8.492261628|15.90846721|0.873289814|5989.714507|0.0302745689999999|-67.68621352|1557.152554|656.208474|19.96143955|0.0|1.0|1.0|1.0|3.13|2.58|23.0|-8.09|1.16|1.0|0.0|120.88|0.0|1.0|5.0|-7.28|2.68|0.0002839999999999|0.1169999999999999|0.0446|2.15|0.0|676.53|294.18|263.46|513.33|-1351.008469|-0.17324|2.3276|0.03747691|-1351.067237|2.9732|123.0|6.9101|6.9101
1_a6 (SB-431542)|0.0|0|0.0|0|7.423568444|1|1.430935835|0.043282217|-0.015636898|5.351858133|-0.175408303|1|0.1008839219999999|-0.766207981|-0.011639964|-0.029658865|10.94959842|-0.0492229479999999|1|-0.008385698|0.164429684|-0.033765606|-0.567791164|0.838928085|0.7462411859999999|-0.08530265|0.805877431|0|0.5940412860000001|-0.126408788|-0.122555709|-72.69619778|19.58668728|160.410387|0.405958714|-0.0462988229999999|-43.12110169|-44.47680367|-27.46300805|94.56841061|2678.823231|-1235.8353619999998|1890.228713|0.2468003389999999|7.523839331|14.26172029|0.895537592|5748.417262|0.02438148|-300.3801761|1640.78056|513.4628663999999|14.4623285|1.0|1.0|1.0|1.0|3.25|2.35|23.0|-7.69|1.54|1.0|0.0|106.85|0.0|1.0|4.0|-6.73|2.85|3.03e-05|0.0116|0.0218|2.7|0.0|619.92|376.28|324.5|464.07|-1292.358966|-0.13329|6.0113|0.03494577|-1292.41452|8.8611|1542.0|5.8119|5.8119
47t_a18|0.0|0|0.0|0|7.03438793|1|1.25117758|0.1115820769999999|-0.0128248239999999|4.844187086|-0.161517185|0|0.018018036|-0.756664598|-0.006573438|-0.011641394|10.94702032|-0.04785474|0|-0.004985656|0.027313444|-0.104274108|-0.600890268|0.704602886|0.750103977|0.005590928|0.796935152|0|0.67203319|-0.119202068|-0.103295568|-69.13537385|9.415011332|280.622476|0.32796681|-0.040580402|-46.27207168|-53.39751484|-27.16032544|89.19655162|2872.533415|-1520.978225|1326.524873|0.195468477|8.780037801|17.48280476|0.991199259|6603.597038|0.016238994|-407.6438346000001|1890.514146|747.6927426|10.86870356|0.0|0.0|1.0|0.0|3.86|0.0|18.0|-7.51|1.64|2.0|1.0|129.21|0.0|1.0|7.0|-6.46|2.15|2.65e-06|0.00117|0.0075299999999999|3.57|0.0|703.76|397.84|397.84|601.36|-1470.528808|-0.12692|7.7656|0.03767603|-1470.593659|9.6938|782.0|6.1068|6.1068
8b_a8|0.0|0|0.0|1|7.535296702|1|1.395658149|-0.023718767|-0.013834266|5.4161004020000005|-0.182065125|1|0.019958073|-0.733216119|-0.0055544409999999|-0.0422693659999999|10.94650923|-0.03443232|1|-0.003593429|0.031896755|0.079250224|-0.5058761820000001|0.758899977|0.778853499|0.097555876|0.8354024290000001|0|0.558354653|-0.130159955|-0.11627069|-71.23625346|19.87542051|172.84152849999998|0.441645347|-0.047457424|-43.64473805|-48.85837649|-29.07602182|99.62129245|2863.095568|-1424.7250689999998|1821.324722|0.218545278|7.507665421|14.53652808|0.936224813|6471.7604200000005|0.022425382|-344.8810688|1823.170337|589.263087|13.73949201|0.0|1.0|1.0|0.0|3.52|2.93|23.0|-7.13|2.12|1.0|0.0|114.18|0.0|1.0|4.0|-6.87|2.9|1.6899999999999997e-05|7.0|0.0153|2.76|0.0|640.35|375.8|270.59|488.56|-1406.829227|-0.13807|5.8389|0.03204403|-1406.887058|7.4497|5.08|5.2941|5.2941
14a_a22|0.0|0|0.0|1|6.842683282|0|1.4229176680000002|-0.136588366|-0.0050042229999999|4.727387819|-0.052476637|2|0.021482585|-0.280236463|0.005288335|-0.057308195|10.9464374|-0.015194063|1|0.005757758|0.036467904|-0.165471815|-0.360663314|0.6819423609999999|0.7392451729999999|-0.09744639|0.794858486|1|0.864077619|-0.062215607|-0.081479363|-55.51601021|14.49148204|93.21042936|0.135922381|-0.031338217|-37.82586486|-28.88288575|-21.35231162|56.88212098|2885.858295|-1110.320204|2169.870866|0.299209593|8.052850876|14.55117701|0.8069597009999999|6348.976909|0.021742777|-273.61731430000003|1584.38271|684.5377542|14.81445329|1.0|1.0|1.0|1.0|3.42|2.86|27.0|-9.21|1.73|1.0|0.0|124.05|0.0|1.0|6.0|-6.61|3.19|2.25e-05|0.00945|0.00881|3.18|0.0|695.62|347.23|244.77|534.87|-1368.075682|-0.15029|4.9775|0.03539365|-1368.13858|6603.0|38.0|7.4202|7.4202
12s_a30|0.0|0|0.0|0|7.412764017000001|2|0.604984545|-0.00019297|-0.007621736|5.351858133|-0.095120438|2|-0.0601024909999999|-0.403952011|-0.002544958|-0.035768573|10.31162892|-0.04950715|1|-0.001131023|-0.1597740919999999|-0.145315868|-0.446807335|0.609043558|0.83236194|0.006789196|0.889479916|0|0.706713791|-0.090733404|-0.103647048|-67.11451776|12.51292194|89.91581294|0.2932862089999999|-0.040189672|-43.45862792|-38.04400919|-26.02399668|71.26547471|2977.11642|-1275.175837|2368.4646620000003|0.209518167|8.066744794|15.14544373|0.877516163|6639.7334200000005|0.017398791|-376.1910929|1613.162737|616.2856203|11.26623|1.0|1.0|1.0|0.0|4.63|0.0|17.0|-7.16|3.58|2.0|0.0|127.19|0.0|1.0|5.0|-6.06|3.21|3.24e-06|0.00141|0.00291|4.07|0.0|677.35|350.75|245.81|526.07|-1774.01033|-0.14985|3.0335|0.03401064|-1774.072418|3.9579|7.0|8129.0|8129.0
6c_a31|0.0|0|0.0|0|7.78113851|1|0.6101347220000001|0.047405064|-0.015192833|5.733341277|-0.151732713|0|0.137523742|-0.790027307|-0.009477764|-0.00219333|10.31169965|-0.107687565|2|-0.00668344|0.2301743489999999|-0.009333123|-0.582545668|0.831901219|0.790900932|-0.078059285|0.846458013|0|0.641197273|-0.120905075|-0.126324613|-79.97295595|20.09112958|163.6316745|0.358802727|-0.044739967|-50.62888027|-48.45681657|-28.32375523|96.63311186|2837.949799|-1359.540251|2357.829685|0.234676081|8.102804662|14.63492011|0.8061548709999999|6283.091868|0.0212421629999999|-335.9398876|1776.424619|597.3075924999999|13.44788285|1.0|1.0|1.0|1.0|3.67|3.13|22.0|-7.72|1.58|2.0|0.0|114.5|0.0|1.0|5.0|-6.27|3.64|8.179999999999999e-07|0.000343|0.0048|3.64|0.0|667.01|376.01|376.01|524.56|-1691.734564|-0.13351|5.9253|0.03620884|-1691.794585|8.8847|0.34|6.4685|6.4685
12ba_a36|0.0|0|0.0|0|7.412764017000001|2|1.297043659|-0.090865777|-0.0075620109999999|5.351858133|0.026411489|2|0.087201747|-0.423472625|-0.002123045|0.003750685|10.9478512|-0.011949092|1|-0.000621302|0.159880159|-0.168084618|-0.410941182|0.844641715|0.8256014690000001|0.041478447|0.890675195|0|0.849738126|-0.083210415|-0.108410153|-73.03464847|16.57882744|100.798163|0.150261874|-0.037526591|-49.20258616|-37.76553687|-25.28122447|72.63670824|3035.390784|-1314.6236720000002|2492.5731100000003|0.293104216|7.409667253999999|14.59456478|0.969665341|6722.60947|0.023797439|-278.7665262|1859.713557|688.1986357999999|16.03205543|1.0|1.0|1.0|0.0|4.8|0.0|17.0|-6.72|0.74|1.0|0.0|133.18|0.0|1.0|5.0|-7.04|1.57|1.6800000000000002e-05|0.0072599999999999|0.0244|2.67|0.0|687.23|411.71|236.13|547.82|-1417.187763|-0.12587|3.1996|0.02839417|-1417.249741|4.5448|21.0|7.6778|7.6778
19_a47|0.0|1|0.0|1|6.842683282|0|1.402889494|-0.038804671|-0.00973456|4.727387819|-0.227538423|2|0.027033021|-0.4380552029999999|-0.013020816|-0.064557784|10.95058274|0.0604168609999999|1|-0.010153352|0.074201869|-0.126992366|-0.439165562|0.635684951|0.823945134|-0.024256505|0.8873627890000001|1|0.639642891|-0.105205489|-0.104459947|-57.87554797|14.85167037|335.10989930000005|0.360357109|-0.037307124|-32.06567824|-32.2945343|-20.66983856|73.14028211|2612.978054|-868.1332196000001|1238.799875|0.362167395|7.06969105|13.17443625|0.8635094740000001|5846.960345|0.03295186|-152.7310283|1361.067484|428.5826478|18.25682461|0.0|1.0|1.0|1.0|3.13|1.72|21.0|-6.92|1.67|1.0|0.0|99.2|0.0|1.0|5.0|-7.22|2.34|0.000214|0.0816|0.0824|1.97|0.0|571.23|322.68|322.68|412.31|-1335.580357|-0.15845|5.1151|0.03178118|-1335.634976|6.3247|0.05|7.3|7.3
27c_a34|0.0|0|0.0|1|7.412764017000001|1|1.4335249819999998|0.02583752|-0.014036512|5.351858133|-0.1450543259999999|1|-0.08157574|-0.80008116|-0.008017781|-0.028344637|10.95447877|-0.014364543|1|-0.004694534|-0.132026575|-0.2077985889999999|-0.543350914|0.850511415|0.783333463|-0.0360159139999999|0.8353837409999999|0|0.631065353|-0.114233896|-0.12597014|-84.73908278|20.51361454|176.7076265|0.368934647|-0.042782312|-57.00328784|-51.69246989|-28.77931113|97.35782216|2921.328444|-1525.30349|2477.818875|0.261802571|8.808655321|15.31184469|0.738272657|6308.331369|0.022975949|-320.4669239|2066.254135|673.8038326000001|15.45573273|1.0|1.0|1.0|1.0|3.55|3.11|23.0|-7.67|1.71|1.0|0.0|119.71|0.0|1.0|6.0|-6.85|2.83|1.7800000000000002e-05|0.00759|0.0151|2.9|0.0|709.72|316.4|289.89|558.04|-1426.246896|-0.1589|7.6204|0.03913684|-1426.31053|9.6148|0.8|6.0969|6.0969
12g_a30|0.0|0|0.0|0|7.412764017000001|2|0.6049842529999999|0.096186205|-0.010447128|5.351858133|0.024086432|2|-0.037395048|-0.574592016|0.001371944|0.007330206|10.31162838|-0.049719762|1|0.0026474159999999|-0.067792064|-0.152855196|-0.539112991|0.817497287|0.826316772|-0.0430471959999999|0.886776351|0|0.783662781|-0.086195758|-0.10344931|-70.11305057|18.59520651|133.2169768|0.216337219|-0.040568357|-47.51931027|-39.593913|-27.49531395|77.01461557|3058.2873170000003|-1402.261011|2482.668258|0.225689271|8.694447089|16.07139949|0.8484671109999999|6688.137428|0.019453222|-371.8296813|1810.9797|683.7405759|13.18447384|1.0|1.0|1.0|0.0|4.67|0.0|17.0|-6.42|2.06|2.0|1.0|133.52|0.0|1.0|6.0|-6.22|2.36|1.01e-06|0.000444|0.00427|3.89|0.0|717.55|348.35|244.53|577.31|-1742.965961|-0.15077|3875.0|0.04012224|-1743.029147|5.3027|9.0|8.0334|8.0334
16_a15|-3.726252327|0|0.0|0|0.0|0|0.300207157|0.072882981|-0.008593957|0.0|-0.463771194|2|-0.003882928|-0.4898555739999999|-0.009769916|-0.109386268|10.31928197|-0.011969556|0|-0.00379317|-0.006331105|-0.0764246109999999|-0.528097878|0.787100127|0.729432583|0.080837546|0.77948108|0|0.723597405|-0.08870471|-0.101500719|-69.38556779999999|4.848103252|53.93878231|0.276402595|-0.039472502|-47.4317527|-41.45211893|-26.98327637|65.48636021|3173.773379|-1457.096924|3014.308422|0.131539493|6.798937229|11.720499900000002|0.7238723509999999|6931.531554000001|0.009783192|-503.7568532|1677.792959|728.353441|6.687758643|1.0|1.0|0.0|1.0|3.59|2.93|24.0|-9.21|1.72|2.0|0.0|124.45|0.0|1.0|6.0|-6.27|3.59|9.89e-07|0.000442|0.00274|3.88|0.0|716.79|300.24|297.1|600.98|-1770.217907|-0.16871|8.0361|0.06079704|-1770.281427|11.7447|21.0|7.6778|7.6778
47p_a18|0.0|0|0.0|0|7.03438793|1|1.25117677|-0.001819106|-0.005394244|4.844187086|-0.04760181|0|0.025217016|-0.3775970529999999|0.00235332|-0.015960677|10.94701988|-0.049428094|0|0.003537135|0.037961877|-0.261349889|-0.441700685|0.72025564|0.726294118|0.030970815|0.7611910209999999|0|0.832954548|-0.06909945|-0.082580968|-61.12351185|5.913843751|10.25627035|0.1670454519999999|-0.030813794|-45.24146169|-37.85569728|-22.80728054|57.05881288|2933.069245|-1528.087796|1367.4309119999998|0.181540558|9.923659881|19.41290064|0.956223901|6726.61969|0.01090303|-471.4248324|1867.029344|1011.163774|8.070036862|1.0|0.0|1.0|1.0|4.29|0.0|18.0|-9.03|3.13|3.0|1.0|144.53|0.0|1.0|9.0|-6.07|2.9|2.13e-06|0.000998|0.0025|4.35|0.0|795.43|387.01|387.01|732.84|-1493.338659|-0.13118|3.6452|0.02843634|-1493.407248|4.6652|64.0|7.1938|7.1938
12a_a36|0.0|0|0.0|0|7.412764017000001|2|1.297044783|-0.0632801509999999|-0.007471648|5.351858133|-0.0427777779999999|2|0.078063311|-0.403468978|0.002039107|-0.070252245|10.96083376|-0.065913514|1|0.003199301|0.134423193|-0.183140926|-0.432975237|0.907322874|0.7934042040000001|-0.012112722|0.846614758|0|0.820684627|-0.076154312|-0.104828755|-64.36949846|12.03249549|109.9069212|0.179315373|-0.037738352|-39.52572284|-28.71401279|-23.17301945|58.79461567|2647.835699|-1158.650972|2258.5909920000004|0.244684566|6.600635115|12.464492300000002|0.888377722|5710.355735|0.019102103|-313.5499672|1533.996157|598.1535763999999|11.72953701|1.0|0.0|1.0|0.0|4.75|0.0|17.0|-6.59|2.02|1.0|0.0|123.75|0.0|1.0|5.0|-6.72|1.86|0.000164|0.0625|0.0384|2.68|0.0|653.94|338.0|323.35|481.98|-1232.707754|-0.1519299999999999|6.3637|0.03544528|-1232.764108|8.5603|13.0|7.8861|7.8861
