molecula|SddssS|n9FaRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WNSA3|PNSA4|DPSA3|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12an_a36|0.0|0|0.0|0|7.412764017000001|2|0.6294007110000001|-0.05423417|-0.0070293469999999|5.351858133|-0.046532211|2|0.0966393909999999|-0.407702102|0.00285431|-0.131674913|10.33556631|-0.031635802|1|0.003710345|0.170355752|-0.133106642|-0.434819796|0.906423012|0.8344566859999999|-0.009636347|0.885733922|0|0.836440154|-0.073519599|-0.105145528|-71.0446809|11.69727417|82.43567331|0.163559846|-0.036995649|-48.0034364|-33.56484523|-24.99720254|61.37296195|2881.978785|-1349.848937|2399.367452|0.216487385|8.773001855|15.82907093|0.8042935809999999|6162.848939|0.015771136|-383.1273396|1722.817107|725.9470896|10.65623343|1.0|1.0|1.0|1.0|4.85|0.0|17.0|-7.05|2.51|1.0|0.0|135.47|0.0|1.0|6.0|-6.64|2.33|1.4300000000000002e-05|0.0061|0.0132|3.19|0.0|718.98|327.38|239.49|571.76|-1670.182102|-0.15474|4.3963|0.0345115999999999|-1670.244686|6.2182|0.04|7.3979|7.3979
18a_a22|0.0|0|0.0|1|6.842683282|0|1.194229718|-0.197348157|-0.003488994|4.727387819|-0.018344659|2|0.033735832|-0.19538364|0.007066388|-0.021976395|10.31286146|-0.015194063|1|0.007079018|0.059645624|-0.147724859|-0.296897301|0.760537197|0.7329701259999999|-0.042139855|0.7881113679999999|1|0.926535704|-0.050645213|-0.076119803|-51.6464295|11.62443251|29.59800426|0.073464296|-0.029276847|-35.04152115|-23.31437056|-19.86401135|45.98663929|2898.068989|-1032.92859|2213.859172|0.289532802|7.037677899|13.72951861|0.950859191|6630.646100999999|0.0193879289999999|-285.5992506|1453.872315|730.9420477000001|13.15449139|1.0|1.0|1.0|1.0|3.49|3.17|27.0|-9.4|2.13|2.0|1.0|131.64|0.0|1.0|6.0|-6.28|3.9|2.59e-06|0.00113|0.00305|3.78|0.0|695.35|355.95|246.91|531.16|-1691.036502|-0.1408|3851.0|0.01932946|-1691.097989|5.3946|13.0|7.8861|7.8861
30_a47|0.0|1|0.0|1|6.842683282|0|1.304327883|-0.069449687|-0.0092264759999999|4.727387819|-0.184735553|2|0.013114301|-0.415191425|-0.0098410169999999|-0.008774855|10.95005723|0.0467853809999999|1|-0.008325552|0.029343834|-0.079370393|-0.4370608039999999|0.6850994429999999|0.8485444809999999|-0.1340278869999999|0.913855507|1|0.67896733|-0.108232368|-0.107296835|-64.38108459|13.64937081|350.5257774|0.32103267|-0.0383202979999999|-38.63044093|-38.96726396|-22.9932445|78.59180109|2626.927627|-965.7162688|1558.731067|0.320552431|6.886726437999999|12.94704346|0.879999675|5852.817155|0.028122734|-215.3470619|1421.325667|457.1122177|16.87442216|1.0|1.0|1.0|1.0|3.03|2.12|21.0|-7.24|1.78|1.0|0.0|104.25|0.0|1.0|5.0|-6.95|2.61|6.05e-05|24.0|0.0315|2.5|0.0|615.85|333.66|333.66|478.04|-1695.931037|-0.1517|2.7493|0.0420327|-1695.9887|3.6487|13.0|7.9|7.9
12c_a5|0.0|0|0.0|0|6.605297921|1|1.236775191|-0.212798523|-0.002685954|4.59511985|0.020594766|3|-0.086795626|-0.16115723|0.0054189009999999|-0.096073591|10.9455378|0.0072946769999999|1|0.00586291|-0.1386392109999999|-0.020144382|-0.223631474|0.808899433|0.797601178|0.05430631|0.8446264459999999|0|0.841092921|-0.070873852|-0.066083881|-43.47195613|10.77147171|143.44655559999998|0.158907079|-0.022421317|-28.59715492|-30.6699685|-14.74941369|57.39441476|2697.345008|-825.9671665|2045.184304|0.416414105|7.293547043999999|13.53008071|0.855075538|5877.765289|0.024214085|-109.9706106|1415.330929|735.3048881|15.92875034|0.0|0.0|1.0|1.0|3.27|2.78|23.0|-9.31|1.57|1.0|0.0|121.26|0.0|1.0|6.0|-6.79|3.31|8.159999999999999e-05|0.0336|0.0191|2.84|0.0|694.24|309.06|265.66|519.21|-1316.244961|-0.16563|3.0135|0.02242648|-1316.305277|3.5993|47.0|7.3279|7.3279
10_a4|0.0|0|0.0|1|7.535296702|1|1.343863662|-0.180140166|-0.002959121|5.4161004020000005|0.005483539|2|0.00941601|-0.159792527|0.01107733|-0.122141977|10.92992762|-0.090413559|1|0.011142889|0.014917047|-0.132895939|-0.241683916|0.6990620390000001|0.810105167|-0.120059574|0.861225169|1|0.921653019|-0.051015897|-0.079432495|-45.97324097|8.440134933|39.48408698|0.078346981|-0.027007048|-26.60798798|-17.08910641|-15.63090193|37.96666686|2480.063587|-781.5450965|2064.276654|0.255470315|5.759414166|11.20225306|0.945033425|5598.949417|0.014040792|-283.0534799|1049.716502|594.7358385|8.126406226|1.0|1.0|1.0|1.0|3.46|3.38|21.0|-8.07|2.53|2.0|0.0|111.38|0.0|1.0|4.0|-5.83|3.9|2.21e-05|0.00818|0.00519|3.85|0.0|619.99|340.01|249.6|470.02|-1183.54701|-0.15561|1.4517|0.02232068|-1183.602045|2.2386|88.0|7.0555|7.0555
4_a47|0.0|0|0.0|0|0.0|0|1.304464196|0.004633887|-0.008204735|0.0|-0.121159855|2|-0.158636969|-0.3692130839999999|-0.007295208|0.0687047279999999|10.93671044|0.011775922|0|-0.006506051|-0.247195952|-0.027355932|-0.462831711|0.893350891|0.783871003|-0.095209424|0.84420422|1|0.874200878|-0.07804769|-0.092556319|-50.35610033|4.22896799|96.20929041|0.1257991219999999|-0.03525955|-27.39669054|-23.10213311|-19.18327632|46.69151766|2306.463316|-805.6976052|1528.797085|0.193395607|6.468023748999999|10.818777699999998|0.67265584|5254.939281|0.013656479|-333.62177030000004|998.8757964|471.7712484|7.429930428|1.0|0.0|1.0|1.0|2.75|3.01|22.0|-8.79|3.1|2.0|0.0|106.52|0.0|1.0|3.0|-4.99|4.32|1.21e-06|0.0004379999999999|0.0008359999999999|4.96|0.0|576.9|332.4|214.85|432.89|-1509.262887|-0.1547|4.2607|0.03342033|-1509.3147789999998|5.4892|32.0|7.5|7.5
33_a20|0.0|0|0.0|1|6.842683282|0|1.4175014119999998|-0.188733405|-0.00145476|4.727387819|0.023539095|2|0.148855442|-0.078557022|0.009265667|-0.061975089|10.93244905|-0.062750442|1|0.008780074|0.248715569|-0.060582944|-0.1771816269999999|0.616352201|0.74131936|-0.0854333469999999|0.802353442|1|0.9493896|-0.058927252|-0.069838312|-45.72654913|8.340767701|8.680600701|0.0506104|-0.0265385579999999|-29.9394021|-25.26187502|-17.37608867|46.92331405|2737.8873550000003|-868.8044333999999|2274.654579|0.240643818|8.062843544|15.094865900000002|0.8721516570000001|5916.443448|0.013564844|-339.6262863|1144.132956|664.4562602999999|8.881565237|1.0|1.0|1.0|1.0|3.39|3.59|27.0|-9.69|2.61|2.0|0.0|121.62|0.0|1.0|4.0|-5.58|4.28|2.48e-06|0.000997|0.0012|4.47|0.0|689.51|318.99|227.79|563.98|-1275.602977|-0.15959|3.5714|0.02957286|-1275.662457|5.0369|34.0|7.4685|7.4685
8k_a46|-3.737070812|0|0.1337610719999999|1|7.727094485|1|0.300205953|0.1436554669999999|-0.006208399|5.533389489|-0.380857136|2|-0.061030265|-0.397337564|-0.002099764|-0.114070359|10.31928125|-0.038125|1|0.002202734|-0.1017929319999999|-0.050069565|-0.510222233|0.73768327|0.786206898|0.095179795|0.8341090329999999|0|0.7381768390000001|-0.08638304|-0.0863473759999999|-61.95565276|6.774333772|104.0919365|0.261823161|-0.033099828|-44.45419269|-44.4725532|-23.74966689|68.75557551|3351.548891|-1424.980013|2328.360804|0.173430886|8.070811215|15.94634031|0.975803904|7352.280688|0.0112621819999999|-468.6373459|1723.969585|865.6610153999999|8.080799245|1.0|1.0|1.0|1.0|3.94|2.82|23.0|-8.66|1.86|1.0|0.0|132.47|0.0|1.0|5.0|-6.75|3.29|1.82e-06|0.000866|0.00355|3.45|0.0|742.04|302.15|246.1|642.39|-1844.970617|-0.16967|3.4118|0.04718819|-1845.037411|3.8107|147.0|6.8327|6.8327
12bg_a36|0.0|0|0.0|0|7.412764017000001|2|1.29692796|-0.040957653|-0.0076819|5.351858133|-0.044573523|2|0.057879142|-0.414822602|-0.001012333|-0.060117593|10.95885259|-0.0206090089999999|1|-0.00097037|0.097928606|-0.1716508239999999|-0.4459167329999999|0.884841888|0.836170906|-0.023460562|0.892249657|0|0.840610352|-0.075439837|-0.102664465|-70.42534258|13.44952052|107.3347739|0.159389648|-0.036959207|-48.31008346|-35.49918495|-25.35312333|65.19942617|2925.402039|-1267.656166|2915.548359|0.252132272|7.549463377|14.04434294|0.860310096|6753.439903|0.01946912|-340.0625449|1695.0272350000002|661.6709012|13.35534589|1.0|1.0|1.0|0.0|4.75|0.0|17.0|-7.76|2.99|2.0|0.0|133.77|0.0|1.0|5.0|-6.26|2.82|8.27e-06|0.00372|0.00295|3.93|0.0|703.94|318.36|318.36|554.7|-2151.914954|-0.15743|6.6844|0.03334656|-2151.975577|9.3601|15.0|7.8239|7.8239
5g_a40|0.0|0|0.0|1|8.149890544|1|0.604913142|0.0094595959999999|-0.016033575|6.167516491000001|-0.190406197|0|-0.0602779129999999|-0.5611751220000001|-0.012794054|0.122088541|10.31198315|-0.091116241|2|-0.012008571|-0.104356485|0.137067086|-0.4748772539999999|0.795454476|0.818555255|0.006643696|0.882781953|1|0.67772744|-0.153687065|-0.14338431|-68.05025116|11.83520323|216.425542|0.32227256|-0.049288357|-32.29667648|-34.61732609|-23.39227384|84.77514603|2054.810452|-748.5527627|593.8133184|0.254650681|6.193485364|12.10939827|0.955183157|4358.890754999999|0.025660198|-232.8857705|1004.297909|266.8102663|12.1783403|0.0|0.0|1.0|0.0|3.13|1.96|14.0|-2.89|0.74|0.0|1.0|78.2|0.0|3.0|3.0|-6.6|2.01|5.78e-05|0.0174|128.0|2.17|0.0|489.04|356.27|356.27|367.19|-1327.9345529999998|-0.14505|4.9132|0.04070345|-1327.982732|6.7957|123.0|6.9101|6.9101
