molecula|NaaNH|n9FaHRing|SaaNH|SRW09|nAHRing|MATS2c|n6HRing|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|n6aHRing|BIC2|MATS8s|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|WNSA3|DPSA5|DPSA3|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Leadlikeness|Brenk|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50
12j_a30|0|0|0.0|7.412764017000001|2|0.04148877|2|0.0|-0.354848778|0.0074730759999999|10.31162861|-0.075816941|1|0.005965451|-0.0431311459999999|-0.053644471|1|0.795446883|0.0060012969999999|-0.130412856|0|0.842199041|-0.073909106|-0.094132698|0.328405591|-47.76354083|-60.832977500000005|-0.036204884|-39.31313154|6.520746879|0.0|-1.882653966|-30.8670468|69.55167701|57.85371764|2784.7999170000003|-1216.65955|2258.891981|0.1865388989999999|8.067697897|15.41574553|0.91079856|120.550211|-786.2626307999999|-405.1466163|1495.657934|686.039456|8.71869951|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.17|17.0|2.0|0.0|5.0|-5.66|30.0|4.0|412.51|0.0|1.0|-5.15|2.21e-06|0.0009119999999999|0.00291|4.23|0.0|4.02e-05|-0.05106|5.1971|3.4788|-1615.096172|-1615.064152|695.8|1175.75|356.4|0.2163|549.64|0.3087|0.68625|-1614.831741|0.1516|-0.14772|4.6727|-0.1987799999999999|5.1081|9.0|8058.0
4a_a49|0|0|0.0|7.535296702|1|-0.076526919|2|1.713107022|-0.3631108529999999|-0.053787795|10.92777282|0.018857363|1|0.000660956|-0.130491035|-0.037142108|2|0.803344301|0.0063958109999999|0.032396301|1|0.7570436159999999|-0.094228246|-0.087863033|0.433367368|-57.79201133|-53.88810275|-0.0292876779999999|-33.05061877|6.448709504|60.11195021|-1.4936715669999998|-35.44496163|68.37721704|68.30645049|2675.628678|-916.0977468|1647.61849|0.349698461|7.934892916|15.01791558|0.8926425020000001|214.47685|-561.8605190000001|-184.3656985|1408.727632|620.5697596|14.48911428|0.0|1.0|1.0|1.0|1.0|2.0|2.89|0.22|21.0|1.0|0.0|6.0|-3.28|30.0|5.0|399.45|0.0|1.0|-3.52|0.000528|211.0|122.0|1.71|0.0|1.74e-05|-0.06461|4.7259|3.7876|-1313.19945|-1313.158118|660.19|1128.22|327.34|0.1935|504.63|0.35731|0.68042|-1312.924353|0.0789|-0.1585099999999999|3.9716|-0.2231199999999999|4.8706|32.0|7.4949
1m_a5|1|0|2.934162514|6.605297921|0|-0.252787668|2|0.0|-0.096417794|-0.10797859|10.94856032|-0.011848312|1|0.00520748|-0.118494698|0.042813643|2|0.7824502320000001|0.077347244|-0.022280685|0|0.8823955520000001|-0.070959368|-0.071478865|0.429612762|-37.380714700000006|-37.65438054|-0.028977918|-19.83596661|2.506013299|0.235629561|-1.072182971|-19.69180207|46.74648368|42.13785007|2183.167528|-564.8157081|841.0375686000001|0.26152627|6.911100301|13.35855701|0.932913201|137.7695311|-297.5394992|-251.2513491|764.8419772000001|383.4128238|9.092103139|1.0|1.0|0.0|1.0|1.0|1.0|2.11|0.0|23.0|1.0|0.0|3.0|-4.52|24.0|3.0|332.79|1.0|1.0|-4.74|2.99e-05|0.00996|0.00607|3.69|0.0|7.82e-07|-0.0507699999999999|4.6678|4.3983|-1410.912452|-1410.88022|553.42|926.13|281.89|0.5497|423.2|0.4527899999999999|0.45426|-1410.783167|0.2373|-0.1778|1939.0|-0.22857|2.4582|43.0|7.3665
SB431542_a8|1|0|3.172627551|7.535296702|1|-0.007805495|1|0.0|-0.721718925|-0.029382296|10.94951956|-0.0453332859999999|1|-0.005306541|0.156874293|0.055198015|1|0.762577159|0.229470029|-0.072891515|0|0.5653298489999999|-0.128342313|-0.124595991|0.274152231|-76.82006387|-74.57768059|-0.048754953|-44.6389196|12.44282236|89.26670319|-2.242727845|-45.98111161|89.64885355|97.60813043|2801.428659|-1342.398251|1947.072021|0.239171941|7.360028263999999|14.04829994|0.908729075|143.157805|-803.5005528|-312.2404091|1764.391093|529.053307|15.07117296|0.0|0.0|1.0|1.0|0.0|2.0|2.75|0.05|23.0|1.0|0.0|4.0|-4.4|30.0|5.0|400.39|0.0|0.0|-4.14|3.99e-05|16.0|0.0292|2.4|0.0|6.96e-05|||||||||||||||||||79.08|4.1019
8_a47|0|0|0.0|7.252053952000001|0|0.003732288|2|1.335354131|-0.391797226|-0.153669322|10.93671024|-0.14203855|0|-0.007648516|-0.177626636|-0.00158075|2|0.7847248109999999|-0.035681436|-0.223459904|1|0.8497568740000001|-0.075955381|-0.091482011|0.517797505|-44.09728708|-53.11155658|-0.035797309|-30.83488674|2.928269795|0.0|-1.646676195|-25.60148752|60.62152862|49.14108595|2621.772106|-956.0080185|2217.264922|0.180297967|6.492934319|11.08581716|0.707366287|104.6752861|-555.0279614|-371.2177396|1166.287236|559.4973856|7.509972037000001|1.0|1.0|0.0|1.0|1.0|2.0|3.21|0.13|22.0|2.0|0.0|4.0|-6.59|29.0|4.0|405.85|0.0|1.0|-6.19|2.56e-07|0.000104|0.000263|5.61|0.0|2.28e-07|-0.05495|3.6696|3.6696|-1686.068471|-1686.0356350000002|621.06|1071.62|337.87|0.2249|433.38|0.6877800000000001|0.6877800000000001|-1685.8518170000002|0.2249|-0.15357|3585.0|-0.2085199999999999|4.6281|0.05|7.3
14s_a23|0|1|0.0|7.423568444|0|0.020458621|2|0.740898446|-0.298573309|-0.044305947|10.31321812|-0.064006338|2|0.009263715|0.0909774219999999|-0.071484865|2|0.7837821840000001|0.096014944|-0.1050445769999999|1|0.92763624|-0.055037441|-0.080500435|0.2387634619999999|-35.30692476|-51.64162341|-0.034255504|-33.12848261|8.218681552|82.55990607|-1.610008704|-22.64965286|62.75905983|48.11843993|2954.0751370000003|-1032.832468|2316.634024|0.2251838339999999|7.548546899|14.26730044|0.890072438|144.457092|-662.5696522999999|-352.5931977|1333.003252|633.3278634|11.11743642|0.0|0.0|1.0|0.0|1.0|1.0|3.66|0.05|26.0|2.0|1.0|5.0|-6.13|31.0|4.0|445.93|0.0|0.0|-5.55|7.49e-07|0.000334|0.00126|4.21|0.0|4.55e-06|-0.07783|3.6828|3.6828|-2089.521231|-2089.500101|668.66|1164.32|336.66|0.3669|528.82|0.60323|0.60323|-2089.2914530000003|0.3669|-0.1515|4.7032|-0.22933|6.4428|3.0|8.5482
12ac_a36|1|0|3.4419617660000004|7.412764017000001|2|-0.050997272|2|0.0|-0.450737917|-0.046730704|10.95345846|-0.0121300989999999|1|0.0018565629999999|0.060445359|-0.098698552|1|0.811459853|0.135371136|-0.020272679|0|0.779673368|-0.080202334|-0.104391657|0.4712820929999999|-55.68500110000001|-72.4798052|-0.036062573|-50.32319912|10.36858115|20.70356046|-1.98344149|-38.66245764|86.51036063|70.61872461|2902.588755|-1377.116299|2455.459827|0.268353853|8.126831024|14.63702516|0.801074136|186.3198219|-956.1407834|-321.66684580000003|1882.216294|716.9974499|14.03055543|1.0|0.0|0.0|1.0|0.0|2.0|0.0|0.17|17.0|1.0|0.0|6.0|-3.81|32.0|5.0|423.47|0.0|0.0|-3.95|0.000154|0.0653|0.0476|2.36|0.0|5.4600000000000006e-05|-0.0527399999999999|3.8843|3.8594|-1385.606133|-1385.566143|711.77|1200.61|321.25|0.3302|554.84|0.56186|0.56357|-1385.3211789999998|0.0249|-0.15675|4.0208|-0.20949|5.4387|13.0|7.8861
9b_a31|1|0|3.338934004|7.765993078999999|1|0.010411229|0|0.0|-0.706953442|0.014628521|10.31169871|-0.091236608|2|-0.001981487|-0.075191042|-0.143280211|0|0.852813666|0.01752821|-0.154083843|0|0.669120552|-0.103937658|-0.131125311|0.241728566|-63.73317225|-80.40427495|-0.039058603|-49.30281875|13.00794571|552.0968813|-1.835754351|-39.08032306|95.78862992|84.94685678|2534.356888|-1125.659849|1711.969694|0.310824817|8.097516252|15.2652837|0.88518099|190.5935925|-690.2394625|-231.99935|1633.343563|524.0230338|15.38435497|1.0|1.0|1.0|1.0|1.0|2.0|2.76|0.32|16.0|1.0|0.0|7.0|-4.76|27.0|5.0|384.45|0.0|1.0|-3.86|1.76e-05|0.00675|0.0527|2.64|0.0|5.520000000000001e-05|-0.0422899999999999|5.5119|3.8435|-1578.839267|-1578.801576|663.06|1091.21|322.58|0.2732|562.68|0.41622|0.70102|-1578.604164|0.2627|-0.15907|5.2851|-0.2013599999999999|6.8028|63.0|7.2007
7_a3|0|0|0.0|6.823286122000001|0|0.198126776|2|1.989724777|-0.327648836|0.054347129|10.3116226|0.030246987|1|-0.006696449|-0.084462575|0.020589494|2|0.790667152|-0.224253635|0.0507482109999999|1|0.782294598|-0.1034274319999999|-0.096448591|0.5999725029999999|-51.18177092|-47.72824381|-0.036877402|-23.61864737|2.377557323|76.07607751|-1.253831681|-25.32764885|55.15105143|55.98630667|2196.07224|-620.4671695000001|1952.029549|0.2007853889999999|5.198046584|8.644978051|0.663120542|99.36002106|-307.0424158|-296.13678660000005|776.3461295|353.7528308|7.422807617|1.0|1.0|1.0|1.0|1.0|1.0|2.61|0.0|21.0|1.0|0.0|2.0|-5.44|23.0|3.0|338.81|0.0|1.0|-4.87|3.67e-06|0.00124|0.00455|3.79|0.0|1.11e-05|-0.0640299999999999|5.8849|3.4435|-1731.7341420000002|-1731.703107|522.73|883.88|360.06|0.1926|362.61|0.3456|0.69224|-1731.602893|0.1262|-0.14816|3.1299|-0.21219|3.9813|1023.0|5.9901
12_a47|1|1|2.903215905|6.605297921|0|-0.155854903|2|1.555521837|-0.209845277|-0.018573056|10.95005729|0.0295267039999999|1|-0.004332024|0.003417588|-0.006318684|2|0.8288334490000001|0.055943216|0.050943962|1|0.7840710409999999|-0.084846808|-0.091853238|0.266995634|-44.18983348|-47.83891561|-0.034116917|-24.91541818|4.886454935|0.0|-1.1940921|-23.01490672|61.09751253|53.5720844|2266.78114|-621.9059029|702.3796319|0.319276179|7.042279354|13.52358352|0.920341815|166.28511369999998|-323.9004363|-188.2488142|913.5950352|335.1175012|13.25859692|1.0|1.0|0.0|1.0|1.0|2.0|1.67|0.0|21.0|0.0|0.0|3.0|-4.51|24.0|4.0|339.75|1.0|1.0|-4.56|3.11e-05|0.0106|0.00943|3.43|0.0|2.61e-06|-0.0623|4.2907|3.9538|-1488.101254|-1488.064043|537.79|886.46|313.58|0.2306|400.09|0.66387|0.68557|-1487.974738|0.2241|-0.1633|2.1019|-0.2256|3.5884|6.0|8.2
