molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|BCUTi-1|AATSC1pe|AATSC7i|MATS1i|BIC2|MATS8d|nFaHRing|FNSA3|PBF|FPSA3|PNSA3|PNSA5|RNCS|RPSA|WNSA5|FNSA1|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Oscillator Force (max. Transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
12_a3|0.0|0|0|0.0|0.0|0|0.0|0.167987916|-0.009093383|4.727387819|-0.118456941|0.042795699|2.07135708|10.31163031|-0.0045709459999999|-0.218774634|0.017902469|0.718481325|-0.125395523|1|-0.092838926|0.101891875|0.011076075|-44.07517037|-45.63945658|239.2266101|0.170600292|-21.667278|0.830418645|-1.345874639|52.16354015|49.333524|0.463780604|2056.502939|-638.9523922000001|-8.921820355|0.169581355|10.50748861|0.864908294|4400.493202000001|80.50854774|-303.3418921|22.63041363|0.01374218|330.4083896|6.524083564|1.0|1.0|1.0|1.0|2.17|0.0|-6.89|4.34|92.93|1.6|1.0|0.0|90.49|0.0|2.0|-5.68|3.0|304.37|0.0|3.23|-4.84|2.07e-06|0.000629|4.03|0.0|0.0|1.3e-07|-0.06361|3263.0|3263.0|515.23|0.5056|0.69784|-1272.010995|-1272.058487|3.1979|5.45|5.45
17a_a6|0.0|0|0|3.3685510360000004|0.0|1|0.0|0.101940358|-0.012704951|5.351858133|-0.0265090529999999|0.041767677|0.0|10.94948984|-0.00194781|0.068338372|-0.10896749|0.7722228729999999|-0.106323149|0|-0.096082495|0.350977745|0.031147305|-63.02857512|-71.75703418|157.13173490000003|0.2469173469999999|-47.07146289|0.77193498|-2.078379577|84.75077935|83.46070738|0.483320982|2816.084228|-1363.383649|-17.887155899999996|0.22806502|16.13665395|0.935437602|5996.580489|149.60699319999998|-894.3577948999999|35.323795000000004|0.019808023|627.4287311|12.99374518|1.0|1.0|1.0|2.0|2.88|0.12|-9.01|4.98|95.85|1.7|2.0|0.0|116.79|0.0|5.0|-5.81|5.0|409.44|0.0|3.59|-5.17|1.56e-06|0.000637|4.09|0.0|0.0|9.77e-10|-0.05753|3.5421|2.9753|696.96|0.3933|0.7024|-1349.830672|-1349.892285|5604.0|7.6198|7.6198
20b_a10|0.0|0|0|0.0|0.0|1|2.103422978|0.048567614|-0.007463406|5.4161004020000005|-0.073703704|0.035818182|1.854149459|10.92966143|0.002637529|-0.049452599|0.019531637|0.761071345|-0.022843761|1|-0.094975935|0.6741049840000001|0.013038163|-60.68950774|-56.53849503|81.39248686|0.24740823|-36.12803002|0.7616213270000001|-1.85807612|67.46831286|69.02087825|0.454087415|3085.433676|-1187.308396|-13.79433873|0.238378673|13.838742600000002|0.8317951020000001|7173.225184999999|152.3236842|-758.6886304|28.34404003|0.0171045989999999|769.1246171|10.92981783|1.0|1.0|1.0|1.0|3.15|0.11|-8.93|4.23|95.92|2.41|2.0|0.0|129.73|0.0|5.0|-5.22|5.0|447.49|0.0|3.66|-5.09|6.05e-06|0.00271|3.52|0.0|0.0|1.1699999999999999e-09|-0.0578399999999999|5.9354|3.9013|687.84|0.2782|669.0|-1465.333983|-1465.395231|7.7954|5.9586|5.9586
8e_a8|0.0|0|0|3.01599663|0.0|0|1.311619189|-0.018155171|-0.010579355|4.844187086|-0.205927741|0.0427891159999999|0.0|10.94332438|-0.004224671|-0.0015448089999999|0.090898585|0.7233950809999999|-0.079493088|0|-0.115572516|0.280304418|0.0211004739999999|-70.49962428|-64.32539698|106.0087621|0.338509724|-39.238709|0.803307236|-2.109017754|75.57562034|83.37098475|0.483244415|2692.975753|-1286.50794|-16.34946208|0.196692764|14.52755918|0.935150832|6095.6213210000005|119.9832494|-784.77418|33.36487904|0.0184428869999999|561.882658|11.25022336|0.0|0.0|0.0|2.0|2.98|0.04|-7.78|4.33|90.11|3.4|2.0|0.0|111.81|0.0|5.0|-5.27|4.0|403.41|0.0|3.71|-4.9|5.34e-06|0.00215|3.69|0.0|0.0|1.6399999999999998e-08|-0.06253|4.6303|3.2737|639.38|0.3731|0.7013|-1376.708067|-1376.766245|7.7951|4.7014|4.7014
7_a47|0.0|0|0|0.0|0.0|0|0.0|0.00763426|-0.008206422|0.0|-0.143650735|0.04030303|1.303301032|10.93671034|-0.00794321|-0.262805289|-0.021071408|0.817389583|-0.124285418|1|-0.081264417|0.427432212|0.008915606|-45.82735481|-54.113260200000006|103.5602725|0.152677268|-30.51603217|0.816979353|-1.631279045|61.47335819|50.85512286|0.405265781|2491.885862|-919.9254234|-11.52827882|0.1830206469999999|10.90440708|0.681423344|5958.904826|103.2106353|-518.7725468|25.02240371|0.0130514639999999|526.6144628999999|7.36009799|1.0|1.0|1.0|2.0|3.14|0.09|-9.45|5.63|58.04|3.69|2.0|0.0|111.28|0.0|4.0|-6.47|4.0|393.84|1.0|4.89|-6.06|3.41e-07|0.000134|5.49|0.0|0.0|3.52e-10|-0.05297|3.7203|3.7203|604.84|0.2144|0.69314|-1647.7863539999998|-1647.841533|4.4255|7.6|7.6
14e_a25|0.0|0|0|0.0|0.0|0|1.5926486519999998|0.039261746|-0.008591251|4.727387819|-0.138693649|0.0389622639999999|1.906869097|10.93106299|-0.0005394919999999|0.010976703|0.015497482|0.776960216|0.018432983|1|-0.1011107469999999|0.448918026|0.015024526|-73.99302943|-73.51338088|372.1805977|0.275949567|-53.79722636|0.806446896|-2.2100168680000003|84.60373462|84.98800478|0.491527882|3126.080106|-1617.294379|-20.76384175|0.1935531039999999|16.63781964|0.966676175|6952.485076999999|141.642515|-1183.53898|35.18345194|0.015154859|811.3237836|11.09035375|1.0|1.0|1.0|2.0|2.72|0.07|-9.14|3.65|115.79|1.69|1.0|0.0|134.35|0.0|7.0|-5.14|5.0|462.5|0.0|3.02|-4.73|7.29e-06|0.00337|3.04|0.0|0.0|7.31e-10|-0.0538|5.8431|3.9613|760.96|0.2409|0.69958|-1520.701142|-1520.767443|7.2625|7.1249|7.1249
13c_a6|0.0|0|0|3.441255118|0.0|1|0.0|-0.046663393|-0.010619065|5.351858133|-0.0122495089999999|0.040821256|0.0|10.95129637|-0.000899678|0.081059709|-0.106686991|0.780680481|-0.167542194|0|-0.093635525|0.22875443|0.030547186|-63.73961873|-75.71763296|157.60887419999997|0.213190168|-51.54254258|0.772032541|-2.11340057|88.21184769|84.53371376|0.466844407|2880.850692|-1438.635026|-18.47751526|0.2279674589999999|15.07660437|0.875625075|6204.855629|155.1821156|-979.308309|35.15921372|0.018354398|692.8471883999999|12.49421473|1.0|1.0|1.0|2.0|2.53|0.16|-9.4|5.38|95.85|1.5|2.0|0.0|121.6|0.0|6.0|-5.95|5.0|423.47|0.0|3.64|-5.27|1.11e-06|0.000471|4.23|0.0|0.0|3.96e-10|-0.05015|5.992000000000001|3.6519|719.8|0.5471|0.7008800000000001|-1389.122252|-1389.184603|9.2467|7.1367|7.1367
47j_a18|0.0|0|0|0.0|0.0|1|0.0|0.070097424|-0.007807275|4.844187086|-0.068902246|0.033563218|0.0|10.94702285|0.002317206|-0.073551529|-0.218974385|0.7444236670000001|0.005740124|0|-0.073041469|0.476575952|0.015967126|-56.816779|-73.69868165|95.57657747|0.19348155|-57.32800549|0.764425062|-2.368604851|86.31641604|69.23713027|0.481373558|3172.831382|-1842.467041|-20.47428768|0.235574938|18.50538303|0.928170101|7316.123159000001|183.246715|-1433.2001369999998|34.43235841|0.016220875|1081.726154|12.6177344|1.0|1.0|1.0|3.0|0.0|0.28|-8.79|2.43|97.76|2.63|3.0|2.0|149.96|1.0|11.0|-5.83|4.0|499.6|0.0|2.39|-5.14|1.49e-06|0.000743|4.07|1.0|0.0|1.63e-09|-0.04423|3.1054|3.1054|839.37|0.5439|0.6983600000000001|-1624.9784550000002|1625.053346|5.2118|7.4559|7.4559
12f_a36|0.0|0|0|3.50900085|0.0|2|0.0|-0.066269699|-0.006773586|5.351858133|-0.032343041|0.039061728|0.0|10.95389399|0.0045625|0.182557897|-0.101854847|0.821599443|-0.1188384119999999|0|-0.071035495|0.3416917479999999|0.01784834|-46.86832019|-66.16123807|43.53853176|0.156443092|-43.65234724|0.7803018709999999|-2.00553221|76.51015325|58.64442871|0.464240353|2770.818472|-1323.224761|-15.59012402|0.219698129|13.84366076|0.8665086190000001|6000.985822|144.9540437|-873.0469447999999|30.28188764|0.015685228|729.1873176|10.34891518|1.0|1.0|0.0|2.0|0.0|0.21|-7.36|3.62|69.2|2.45|1.0|0.0|133.52|0.0|6.0|-4.61|4.0|409.49|0.0|2.4|-4.57|2.48e-05|0.0102|3.47|0.0|0.0|4.38e-08|-0.05035|5.2106|3.6545|699.88|0.4374|0.70126|-1311.285102|-1311.345557|7.8454|7.9586|7.9586
8a_a32|0.0|1|1|3.217128449|0.0|0|0.0|-0.0755556459999999|-0.010151321|5.733341277|-0.056633919|0.04008547|2.059960334|10.31100269|-0.001662219|-0.050766252|-0.0852122769999999|0.845443342|-0.2166242669999999|1|-0.083474428|0.221908108|0.018321589|-52.34893512|-68.61558335|73.64907732|0.185446274|-43.03057598|0.7490845290000001|-1.641192863|79.73671389|63.83886888|0.480024324|2574.085885|-1029.23375|-14.03170956|0.250915471|14.26997798|0.923166883|5659.295213|157.3554684|-645.4586397|29.86932167|0.017733503|557.1050635|11.12113054|1.0|1.0|1.0|2.0|3.67|0.26|-7.65|6.49|140.04|1.37|2.0|0.0|110.69|1.0|7.0|-6.82|4.0|397.52|1.0|4.07|-4.99|1.5199999999999998e-07|6.03e-05|4.17|0.0|0.0|2.23e-08|-0.06166|3562.0|3562.0|667.29|0.4315|0.70316|-1880.536478|-1880.595748|7.6703|7.3468|7.3468
