molecula|SddssS|NaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|MATS1i|MATS1c|GATS1are|BIC2|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA1|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GRAV|PPSA1|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
14r_a23|0.0|0|0.0|2|7.423568444|0|1.197963203|-0.009140243|5.351858133|-0.06921746|2|0.045277778|0.014148395|0.007671236|-0.079935667|10.31321824|-0.064006338|2|0.0075222369999999|-0.073945564|-0.454010253|0.616699629|0.7837821840000001|0.846632079|0.5935522360000001|0.8662226190000001|-0.062618931|-0.085881409|0.375360556|0.019185345|-55.30494931|47.26552456|0.133777381|-0.03654528|-35.61466281|55.62948521|0.7882228370000001|-25.96781003|-23.53402098|52.67940305|0.4661909429999999|557.8203557999999|-1106.098986|0.211777163|7.555307147000001|6744.848704999999|136.37788909999998|-371.2130393|1403.282085|599.5697147999999|0.0|1.0|1.0|1.0|26.0|-7.67|4.58|105.02|3.4|2.0|120.24|0.0|1.0|5.0|31.0|429.47|0.0|-5.11|2.66e-06|0.00114|7.73e-06|0.00332|0.0|2.14e-08|9.18e-06|-0.06842|5.9406|3.72|3.1797|-1729.1556449999998|-1729.1326809999998|678.08|1145.51|389.92|0.2346|208.71|513.71|0.30482|0.68115|-1728.924789|0.0008|-0.15536|6.2620000000000005|-0.22378|-1728.98403|5.0|8.2684|8.2684
12n_a30|0.0|0|0.0|0|7.412764017000001|2|0.604984682|0.0304762079999999|5.351858133|-0.064217094|2|0.040899471|-0.1144447669999999|0.001139238|-0.037209579|10.31162898|-0.087019298|1|0.002064369|-0.0541804029999999|-0.464204099|0.669561738|0.815003426|0.870930234|0.64876559|0.7781502140000001|-0.083120674|-0.10528124|0.390449649|0.017064818|-66.48079820000001|85.87072848|0.221849786|-0.038674741|-41.97990569|0.0|0.799403208|-33.14358793|-24.42151771|63.2630417|0.4701566479999999|491.3700419|-1196.654368|0.200596792|7.385790169|6353.890039|126.6686716|-378.1217671|1496.934657|618.6004214|1.0|1.0|1.0|1.0|17.0|-6.9|3.18|81.65|3.2|2.0|127.24|0.0|1.0|5.0|30.0|416.47|0.0|-5.01|4.12e-06|0.00171|9.71e-06|0.00405|0.0|1.26e-07|5.260000000000001e-05|-0.05076|5.1999|4.07|3.4859|-1675.011418|-1674.978015|669.57|1131.65|355.67|0.1826|238.43|506.94|0.27009|0.6854|-1674.777231|0.1489|-148.0|5.3143|-0.19876|-1674.83759|0.01|7983.0|7983.0
12l_a36|0.0|1|0.0|0|7.412764017000001|2|1.297044247|-0.0944961519999999|5.351858133|-0.008712073|2|0.039061728|0.128666217|-0.000143196|-0.05158636|10.95423322|-0.0452558729999999|1|0.001194592|-0.098598933|-0.428857427|0.8707354620000001|0.8174432229999999|0.8772535459999999|0.8212311840000001|0.84381923|-0.079972189|-0.107815735|0.3827446779999999|0.0220227089999999|-70.17688229|39.27257375|0.15618077|-0.038052612|-45.67788557|1.281955437|0.7379583590000001|-33.88151556|-24.7683114|66.38812034|0.4619814279999999|549.2389652|-1263.1838810000002|0.262041641|7.471134223|6121.6555530000005|170.5619816|-309.7725155|1711.727859|642.3830552000001|1.0|1.0|1.0|2.0|17.0|-6.66|1.76|92.99|1.38|1.0|128.47|0.0|1.0|5.0|31.0|406.44|0.0|-4.29|2.72e-05|0.0111|5.08e-05|0.0206|0.0|2.21e-07|8.97e-05|-0.0510399999999999|3.8619|2.98|3.8619|-1325.194654|-1325.15957|686.83|1155.07|321.05|0.4524|321.05|530.75|0.6925|0.6925|-1324.954011|0.4524|-0.15869|5392.0|-0.20973|-1325.0137550000002|0.02|7699.0|7699.0
41_a47|0.0|0|0.0|1|6.842683282|0|1.420292383|-0.225923786|4.727387819|-0.072088843|3|0.042537538|-0.080388467|0.003530307|0.024881402|10.98214139|0.075316535|1|0.0047106|-0.1430639269999999|-0.276217719|0.62974551|0.8417952740000001|0.900915114|0.609110565|0.823168463|-0.061101947|-0.0899793719999999|0.245948366|0.018348892|-50.81597048|54.15850042|0.1768315369999999|-0.02929561|-28.69838714|0.0|0.653147815|-19.48810377|-16.54473457|44.86996758|0.447046066|464.8854878|-711.4235867000001|0.346852185|7.168742909|5042.636398|195.8852341|-172.98086630000003|1089.222944|439.9906467|1.0|1.0|1.0|1.0|21.0|-7.47|4.52|68.52|1.75|0.0|99.09|0.0|1.0|4.0|26.0|348.38|1.0|-3.9|0.000267|0.0929|0.000125|0.0436|0.0|3.36e-08|1.17e-05|-0.05053|4.0167|2.41|3.7144|-1162.492089|-1162.462261|603.1|995.43|333.8|0.2849|308.67|471.9|0.6779|0.68638|-1162.288187|0.2504|-0.15208|4.9162|-0.2026099999999999|-1162.342476|0.01|8.0|8.0
11b_a5|0.0|1|0.0|0|6.605297921|0|1.277648917|-0.2023158669999999|4.59511985|0.008093965|2|0.023988604|-0.067519041|0.006121601|-0.118167947|10.94877958|-0.0536971829999999|1|0.005685558|-0.0109928619999999|-0.252164213|0.735954089|0.805760343|0.8645824520000001|0.682032125|0.8737310509999999|-0.07633373|-0.080664777|0.378154801|0.016373566|-48.42513182|55.25128526|0.126268949|-0.029332646|-29.07084703|1.880682804|0.66824472|-27.50997723|-17.60913884|55.65456427|0.456131351|524.5231302|-774.8021092|0.33175528|8.936258446|5107.577902|199.1611925|-202.0032297|1159.458633|504.9898148|1.0|1.0|1.0|1.0|23.0|-9.15|4.82|63.69|2.01|2.0|106.58|0.0|1.0|6.0|27.0|376.84|1.0|-4.69|2.26e-05|0.00853|2.04e-05|0.00767|0.0|7.109999999999997e-10|2.68e-07|-0.0418399999999999|4.4995|3.31|4.1982|-1564.761898|-1564.72614|635.55|1063.35|295.32|0.5806|275.55|511.28|0.61027|0.6284|-1564.56504|0.2013|-0.17107|1.9569|-0.21291|-1564.621301|19.0|7.7212|7.7212
16_a31|0.0|1|0.0|0|7.758333467000001|1|0.61013894|0.152128735|5.733341277|-0.186617888|0|0.042528736|-0.050076586|-0.017017891|-0.00795845|10.31170095|0.06214876|2|-0.0125582419999999|-0.053194463|-0.60894688|0.951830892|0.8318419909999999|0.8948140790000001|0.8944757390000001|0.546450126|-0.142079397|-0.150315165|0.29485045|0.0374314139999999|-70.82239128|130.369865|0.4535498739999999|-0.050105055|-33.36862997|467.7901274|0.73080436|-31.54036284|-23.60746376|84.57819254|0.427771627|257.4650715|-779.0463041|0.26919564|5.521618837|4387.049328|126.8340354|-217.4912527|1066.012118|280.39844320000003|0.0|0.0|1.0|2.0|16.0|-4.94|2.83|114.29|0.78|0.0|80.57|0.0|2.0|2.0|21.0|300.34|0.0|-3.6|4.38e-05|0.0131|0.000254|0.0762|0.0|1.16e-05|0.00347|-0.0318899999999999|3.6596|1.7|3.6596|-1308.242314|-1308.202828|503.18|818.1|338.79|0.2534|338.79|369.73|0.70108|0.70108|-1308.113026|0.2534|-0.15231|3.7419|-0.1842|-1308.161433|0.09|7.0458|7.0458
8a_a31|0.0|1|0.0|0|7.765993078999999|1|0.610138387|-0.039027368|5.733341277|-0.158899731|0|0.043817204|-0.1480271209999999|-0.013230176|-0.135144546|10.31170053|-0.01861065|2|-0.009293513|-0.054025775|-0.520051508|0.938325481|0.837862749|0.895174844|0.883113019|0.594139864|-0.122293189|-0.136459435|0.272259026|0.0375544779999999|-67.46619355|131.2406629|0.405860136|-0.0416959379999999|-33.35560699|465.4559302|0.666437359|-29.89286568|-20.61467025|79.02944672|0.4512945479999999|293.7455749|-742.1281291|0.333562641|5.83708559|4538.505909|164.9149565|-164.57484340000002|1113.575221|324.7430642|0.0|0.0|1.0|2.0|16.0|-5.33|2.54|114.29|0.36|0.0|83.83|0.0|2.0|3.0|22.0|314.36|0.0|-3.11|0.000269|0.0846|0.000773|243.0|0.0|4.62e-06|0.00145|-0.02993|3.8097|1.53|3.8097|-1347.541429|-1347.507102|538.75|872.11|325.45|0.2604|325.45|396.15|0.7027100000000001|0.7027100000000001|-1347.3959220000002|0.2604|-0.1587599999999999|3.7141|-0.18869|-1347.446223|0.79|6.1024|6.1024
14d_a23|0.0|0|0.0|2|7.423568444|0|1.197963465|0.058368697|5.351858133|-0.026530366|2|0.043538647|0.03253552|0.01269616|-0.019307114|10.313217800000002|-0.054430189|2|0.01180744|-0.074441567|-0.4483522929999999|0.725800261|0.772008792|0.829764975|0.6906097959999999|0.921694462|-0.053736319|-0.078282292|0.213597535|0.018596017|-51.58357156|39.26987634|0.078305538|-0.032878563|-33.99063559|83.40396369|0.790346608|-23.33262837|-21.66510006|47.66288948|0.454495683|607.3441532|-1083.255003|0.209653392|7.832720777|6459.554383|138.1496441|-382.6437544|1370.607518|666.0036144999999|0.0|1.0|1.0|1.0|26.0|-7.78|4.33|105.02|3.24|2.0|125.25|0.0|1.0|5.0|31.0|425.51|0.0|-5.25|1.43e-06|0.000608|5.61e-06|0.0023899999999999|0.0|1.65e-08|7.03e-06|-0.0725799999999999|3688.0|3.79|8.1555|-1669.24571|-1669.224874|696.21|1186.17|3688.0|0.3807|336.18|554.84|8.1555|8.1555|-1668.983743|336.18|-0.14894|5.6156|-0.22152|-1669.045136|4.0|8.4001|8.4001
6a_a40|0.0|0|0.0|1|8.421342866|2|0.604893625|0.117890918|6.401917197|-0.077397672|0|0.035707071|-0.146542353|-0.001347823|0.104332675|10.30179985|-0.230955427|2|-0.001171195|-0.021759541|-0.620787469|0.682273668|0.801647855|0.861720535|0.657059571|0.733750993|-0.109047987|-0.117413572|0.360858579|0.016399125|-73.33687786|185.06174|0.266249007|-0.049149867|-45.80643937|36.84483305|0.8678518190000001|-42.542782200000005|-30.69915817|78.35465194|0.41480944|458.303126|-1320.063801|0.132148181|6.945713476|7059.617542|82.54016015|-459.522754|1521.070502|557.4018948|1.0|1.0|0.0|1.0|14.0|-4.05|3.07|173.43|1.62|2.0|120.14|1.0|2.0|5.0|29.0|442.53|0.0|-4.99|7.85e-08|3.47e-05|1.03e-05|0.00457|0.0|8.950000000000001e-05|0.0396|-0.0926|2.9836|7.73|2.9836|-2371.579899|-2371.560378|649.48|1103.4|415.55|0.4015|415.55|497.78|0.6782699999999999|0.6782699999999999|-2371.3827|0.4015|-0.11995|6.9379|-0.21255|-2371.443161|0.04|7.3979|7.3979
16_a4|0.0|0|0.0|1|7.535296702|1|1.398650725|-0.219944434|5.4161004020000005|-0.095499301|1|0.04501634|0.007101649|0.0067511459999999|-0.148022089|10.94592242|0.019290123|1|0.006466406|-0.018051608|-0.214481956|0.490768328|0.774455255|0.8366279120000001|0.482473457|0.7898461090000001|-0.073335635|-0.080093659|0.292255386|0.013727656|-39.44800181|13.51923899|0.210153891|-0.033372358|-19.42906425|74.430775|0.832461695|-17.789707500000002|-16.43666742|42.88070889|0.455802506|389.0176968|-591.7200271|0.167538305|5.548106463|4520.2597670000005|82.51653675|-327.4903335|710.807513|322.8922084|1.0|0.0|1.0|0.0|17.0|-6.36|4.96|30.71|3.44|1.0|85.02|0.0|1.0|2.0|23.0|309.31|1.0|-4.43|0.0001199999999999|0.0371|3.68e-05|0.0114|0.0|4.33e-07|0.000134|-0.03965|4511.0|4.05|4.2257|-1057.494456|-1057.478071|515.68|856.55|293.41|0.2213|274.85|407.99|0.51149|0.54061|-1057.3808390000002|0.1006|-0.17375|1863.0|-0.2134|-1057.429593|343.0|6.4647|6.4647
4_a38 (LY-2157299)|0.0|0|0.0|1|7.535296702|1|1.343847059|0.050460026|5.4161004020000005|-0.080432741|2|0.041252955|-0.0501467259999999|0.002865697|-0.159241692|10.9277672|-0.020954339|1|0.003107816|0.028964355|-0.463575124|0.702976795|0.8099394329999999|0.868207983|0.6848692759999999|0.754313773|-0.092570349|-0.089446059|0.459041332|0.01243241|-51.11565158|260.7739337|0.2456862269999999|-0.03235283|-29.21101111|71.22674185|0.7861170609999999|-30.23133173|-18.48863993|60.00582329|0.487041509|431.0669496|-868.9660769|0.213882939|6.54753874|5566.495502000001|122.2274724|-327.0140711|1105.390176|542.7276591|0.0|1.0|1.0|1.0|21.0|-7.13|3.51|86.69|1.84|1.0|108.18|0.0|1.0|3.0|28.0|369.42|0.0|-3.99|0.0001409999999999|52.0|0.000102|0.0375|0.0|7.45e-08|2.75e-05|-0.06|4.65|3.95|3.78|-1198.683473|-1198.64695|617.61|1048.31|327.69|0.2|266.68|449.44|0.4|0.68|-1198.442536|0.06|-0.16|5.9043|-0.22|-1198.49738|69.0|7.1586|7.1586
12u_a30|0.0|0|0.0|0|7.412764017000001|2|0.604983445|0.028039604|5.351858133|-0.027452346|2|0.043383838|-0.091507428|0.002431329|0.028815747|10.31162873|-0.0646674999999999|1|0.001805829|-0.0493878409999999|-0.467189145|0.8149999040000001|0.83236194|0.889479916|0.711738503|0.84944095|-0.0773921259999999|-0.097867106|0.477056017|0.015562896|-65.55148142|78.15130994|0.15055905|-0.03794847|-43.90644499|0.0|0.810462868|-34.72068676|-25.41792137|62.26136323|0.443167712|568.9563615000001|-1245.478147|0.189537132|7.804487592999999|7133.515802|126.9521524|-415.8966522|1536.749179|685.6665849999999|1.0|1.0|1.0|1.0|17.0|-7.8|3.92|81.65|3.79|2.0|137.3|0.0|1.0|5.0|31.0|467.37|0.0|-6.04|2.64e-07|0.000123|9.14e-07|0.0004269999999999|0.0|1.58e-08|7.39e-06|-0.0528299999999999|3.5003|5.08|3.5003|-2494.962309|-2494.927579|705.15|1202.06|354.21|0.1502|354.21|559.16|0.6847|0.6847|-2494.736802|0.1502|-0.1486299999999999|5.3020000000000005|-0.20146|-2494.7995530000003|34.0|7.4647|7.4647
14l_a23|0.0|0|0.0|2|7.423568444|0|1.1979636809999998|0.060717916|5.351858133|-0.026530366|2|0.046283951|0.042748013|0.01269616|-0.060692376|10.313217800000002|-0.061788679|2|0.01180744|-0.074441567|-0.448622017|0.725800261|0.778602826|0.836852328|0.6906097959999999|0.921267667|-0.053549434|-0.078204688|0.215920645|0.018669073|-51.59307331|40.34135162|0.078732333|-0.0328459689999999|-34.03690099|81.90812552|0.7896261940000001|-23.306234600000003|-21.66909079|47.64388017|0.492922575|607.777253|-1083.45454|0.210373806|8.006380163|6444.7098240000005|138.7874759|-382.1434717|1372.110688|666.0036144999999|0.0|1.0|1.0|1.0|26.0|-7.78|4.33|105.02|3.24|2.0|125.25|0.0|1.0|5.0|31.0|425.51|0.0|-5.25|1.43e-06|0.000608|5.61e-06|0.0023899999999999|0.0|1.65e-08|7.03e-06|-0.07191|3.6274|3.79|3.6274|-1669.2363289999998|-1669.224647|694.65|1185.79|341.8|0.4239|341.8|560.51|0.67242|0.67242|-1668.983787|0.4239|-0.14639|6.0563|-0.2183|-1669.04569|7.0|8.1798|8.1798
15_a3|0.0|0|0.0|0|6.823286122000001|1|0.619596467|0.079167398|4.727387819|-0.092127078|3|0.045993266|-0.182934001|-0.006419472|0.126641951|10.33806279|0.021805556|0|-0.004459728|-0.022386155|-0.505519936|0.968837995|0.813015336|0.866559772|0.911346861|0.7789088340000001|-0.092342351|-0.107619999|0.451058529|0.007901554|-55.08588323|315.5421792|0.221091166|-0.037667|-28.19600959|0.0|0.850327497|-24.19332693|-19.28005913|51.31038923|0.461565365|398.6887321|-771.2023653|0.149672503|5.371119692000001|4617.470007|76.61068671|-358.6340772|906.9474625|402.781061|1.0|0.0|1.0|1.0|16.0|-5.78|1.56|89.99|0.96|0.0|94.29|0.0|2.0|2.0|23.0|321.4|0.0|-3.02|0.0017|547.0|0.000951|306.0|0.0|1.66e-06|0.000535|-0.06319|6.0077|2.33|3.7072|-1328.688126|-1328.665275|553.81|916.07|334.44|0.4107|206.37|398.12|0.2843199999999999|0.67902|-1328.531138|0.0173|-0.1576|1.9539|-0.22079|-1328.581677|25.0|7.6021|7.6021
12l_a30|0.0|0|-4.712037416|0|7.412764017000001|2|0.60498366|0.157020295|5.351858133|-0.274237737|2|0.044036281|-0.102468864|-0.00695299|0.154540315|10.31162828|-0.02588969|1|-0.004395528|-0.077457998|-0.640870513|0.613786308|0.830875659|0.883029843|0.593245722|0.834279405|-0.0905026719999999|-0.109810463|0.37422435|0.0154211289999999|-76.82494797|103.5499036|0.165720595|-0.045581702|-53.74781658|1.697908189|0.8218150790000001|-44.29742723|-31.88960104|74.10578426|0.462727396|583.6736326|-1690.148855|0.178184921|9.258542907|7576.362669|124.6606826|-450.2927313999999|2056.604824|696.6414817000001|1.0|1.0|1.0|1.0|17.0|-7.18|4.78|90.88|2.82|2.0|133.96|0.0|1.0|7.0|34.0|482.48|0.0|-5.92|1.99e-07|9.63e-05|1.2e-06|0.000579|0.0|6.61e-08|3.19e-05|-0.0545299999999999|5.0454|5.52|3.5245|-1988.033039|-1987.998976|729.17|1223.54|351.78|0.2294|245.74|574.72|0.39486|0.68488|-1987.782294|0.1574|-0.14944|2.5031|-0.20397|-1987.848331|61.0|7.2154|7.2154
9_a27|0.0|1|0.0|1|6.842683282|0|1.391067068|0.164227115|4.727387819|-0.050617284|2|0.042847222|-0.152086653|0.00611794|-0.051160217|10.93740461|-0.0447599329999999|1|0.00651856|-0.101933162|-0.541535578|0.677253824|0.8214321609999999|0.8806964490000001|0.654138816|0.7988644709999999|-0.078270599|-0.088404481|0.36853691|0.019589991|-45.58003501|128.27738490000002|0.2011355289999999|-0.033677898|-23.50038785|65.12542467|0.7892801540000001|-20.80651808|-17.36382286|50.45546414|0.466349763|411.8826346|-729.2805601|0.210719846|5.03925321|4962.727436|108.6440173|-298.297086|923.9818797|424.8821143|1.0|1.0|0.0|1.0|21.0|-7.06|3.04|76.46|2.66|0.0|97.46|0.0|1.0|3.0|25.0|331.37|1.0|-4.08|8.66e-05|0.0287|8.28e-05|0.0274|0.0|8.69e-08|2.88e-05|-0.0471|5.5421|4.67|4.1673|-1083.143348|-1083.118736|549.64|945.35|297.52|0.1982|223.71|425.08|0.35593|0.59444|-1082.965434|134.0|-0.1716|2.7456|-0.2187|-1083.017359|2.0|8699.0|8699.0
47g_a18|0.0|0|0.0|0|7.03438793|1|1.251175676|-0.005500039|4.844187086|-0.034211867|0|0.031179487|-0.048472184|0.0036509859999999|0.033759227|10.94702253|-0.008224928|0|0.00531392|-0.264839041|-0.4138670829999999|0.765824398|0.750610215|0.780474694|0.745431271|0.834424154|-0.065225536|-0.08547236|0.413435809|0.013404131|-72.53379954|111.5517627|0.165575846|-0.029212072|-61.55384106|47.07867403|0.731870777|-46.97287277|-24.79003275|66.72693367|0.4913566339999999|708.1114197|-1958.412588|0.268129223|10.33698377|7870.887027|227.5405903|-393.5416883|2675.8994190000003|1347.416568|1.0|0.0|1.0|2.0|18.0|-9.22|3.6|88.97|2.79|3.0|164.47|1.0|1.0|13.0|40.0|541.68|0.0|-5.52|7.76e-07|0.000421|3.01e-06|0.00163|1.0|6.04e-10|3.27e-07|-0.04413|3.0965|8.13|3.0965|-1743.375845|-1743.346243|905.71|1604.37|400.4|0.5955|400.4|874.26|0.69828|0.69828|-1742.7686640000002|0.5955|-0.12789|4966.0|-0.17202|-1742.847918|9.0|8.0458|8.0458
13g_a6|0.0|1|0.0|0|6.842683282|0|1.424099171|-0.0961994219999999|4.727387819|0.004767264|2|0.043020833|0.03536788|-0.002407131|0.073394284|10.95053423|-0.080022038|1|-0.000644109|-0.12414699|-0.46487852|0.836982172|0.774238891|0.832753533|0.789769968|0.871972049|-0.074216821|-0.091949419|0.2141642839999999|0.017637229|-64.02222283|68.57626488|0.128027951|-0.0323525729999999|-44.57717132|0.0|0.7357333540000001|-35.98038956|-22.52633766|63.95581946|0.444443571|607.1336751|-1216.422234|0.264266646|7.968172425|6332.20768|184.0026638|-328.2712049|1653.346592|744.1359788|1.0|1.0|1.0|2.0|27.0|-10.57|4.79|103.17|1.13|2.0|128.63|0.0|0.0|6.0|33.0|431.49|0.0|-5.06|2.77e-06|0.0012|8.8e-06|0.0038|0.0|2.67e-11|1.15e-08|-0.07536|5.9869|3.83|3.2472|-1386.611265|-1386.573241|739.55|1253.71|381.82|0.8442|207.09|592.49|0.38325|0.7034100000000001|-1386.3020800000002|0.0105|-0.1327|10.1708|-0.20806|-1386.364067|119.0|6.9245|6.9245
17d_a50|0.0|0|0.0|2|8.105609402|2|1.338814635|-0.152030219|6.042632834|0.03538699|1|0.031990741|0.006071856|0.012079|-0.136180713|10.94500663|-0.125540541|2|0.01245647|-0.200725906|-0.2294807539999999|0.754575205|0.748516466|0.789310938|0.7276268779999999|0.929886823|-0.044172353|-0.069790853|0.8020670809999999|0.0152123589999999|-48.40178147|5.007868064|0.070113177|-0.025589979|-33.56790124|86.38197811|0.75405703|-21.24595322|-17.74731987|41.18485076|0.445708152|644.9008302|-1064.839192|0.24594297|6.996105516|6281.764548|170.5678813|-352.3903892|1412.14676|829.3813984|0.0|1.0|1.0|0.0|20.0|-7.07|4.29|51.77|2.71|2.0|133.19|0.0|1.0|6.0|32.0|424.54|1.0|-4.88|3.17e-05|0.0135|1.31e-05|0.00557|0.0|8.55e-08|3.63e-05|-0.03251|4.0506|3.41|4.0506|-1335.989008|-1335.962757|727.15|1263.22|306.09|0.1819|306.09|579.45|0.66103|0.66103|-1335.649722|0.1819|-0.16716|5.6557|-0.19967|-1335.713194|74.0|7.1308|7.1308
12c_a30|0.0|0|0.0|0|7.412764017000001|2|0.604984133|0.045997203|5.351858133|-0.030422458|2|0.042804233|-0.0983590219999999|0.00372838|0.019094532|10.31162888|-0.072247675|1|0.003603419|-0.051371057|-0.468696709|0.8264832879999999|0.824373792|0.880943609|0.7463962120000001|0.8439327120000001|-0.076777688|-0.096482247|0.39541773|0.01588025|-62.99109515|82.07537640000001|0.156067288|-0.037411484|-41.12547305|0.0|0.8061287690000001|-32.72642202|-24.42511853|60.4942895|0.452966315|550.9847369|-1196.830808|0.193871231|7.652098812999999|6403.739746|126.574178|-399.7292126|1484.664552|652.8825454|1.0|1.0|1.0|1.0|17.0|-7.22|3.27|81.65|3.31|2.0|132.29|0.0|1.0|5.0|30.0|432.93|0.0|-5.44|1.19e-06|0.0005139999999999|3.61e-06|0.00156|0.0|6.03e-08|2.61e-05|-0.0542299999999999|5.0582|4.45|3.5286|-2035.373591|-2035.339256|695.96|1168.62|351.37|0.2155|245.12|541.39|0.32037|0.68457|-2035.141497|0.1568|-0.1496299999999999|3.7377|-0.2038599999999999|-2035.202565|0.01|7.9914|7.9914
9_a47|0.0|0|0.0|0|0.0|0|1.3818994059999998|0.00410268|0.0|-0.1789147139999999|2|0.037492877|-0.043270202|-0.009607222|0.022031244|10.93671087|0.045804989|0|-0.007880155|-0.021556658|-0.4477815529999999|0.7033922579999999|0.792070785|0.853035126|0.689770023|0.805149969|-0.084368438|-0.0969292319999999|0.492394184|0.009540986|-50.70744657|107.3271659|0.194850031|-0.036925422|-26.52703503|0.0|0.790651977|-23.08946904|-19.3171225|49.12766732|0.482896681|421.2052248|-811.319145|0.209348023|5.653392499|5212.504394|109.5180831|-304.1026787|1026.1394|442.7664664|1.0|0.0|1.0|2.0|22.0|-8.47|5.61|58.04|2.99|1.0|101.46|0.0|1.0|3.0|26.0|345.37|0.0|-5.2|4.29e-06|0.00148|6.3e-06|0.00218|0.0|3.4000000000000003e-09|1.17e-06|-0.05037|5.7429|4.06|3.7183|-1149.090086|-1149.055456|566.1|959.59|333.44|0.2294|215.89|406.35|0.3885099999999999|0.69084|-1148.896866|0.2208|-0.1545099999999999|2.2966|-0.20488|-1148.949486|25.0|7.6|7.6
12d_a30|0.0|0|0.0|0|7.412764017000001|2|0.604984421|0.041181359|5.351858133|-0.033312179|2|0.042804233|-0.092984185|0.005613018|0.036688757|10.31162861|-0.075816941|1|0.005965451|-0.053644471|-0.4562256979999999|0.8414737059999999|0.8017873000000001|0.8532172109999999|0.7991060659999999|0.843009925|-0.073829724|-0.094239701|0.366319099|0.015567102|-60.88281322|85.1932288|0.156990075|-0.036246039|-39.33285959|0.0|0.8143892140000001|-30.81433963|-23.41646662|57.75411196|0.4572733479999999|544.6198897999999|-1217.656264|0.185610786|7.557073995|6120.329513000001|119.91237920000002|-406.2173266|1495.177298|686.039456|1.0|1.0|1.0|1.0|17.0|-7.01|2.93|81.65|3.04|2.0|132.24|0.0|1.0|5.0|30.0|412.51|0.0|-5.15|2.21e-06|0.0009119999999999|7.05e-06|0.00291|0.0|9.75e-08|4.02e-05|-0.05119|3.4821|4.14|3.4821|-1615.095823|-1615.063947|695.57|1176.22|356.06|149.0|356.06|545.94|0.68608|0.68608|-1614.831682|149.0|-0.1479099999999999|4434.0|-0.1991|-1614.894406|11.0|7.9508|7.9508
21_a12|0.0|0|0.0|0|6.605297921|1|0.609915045|0.04375233|4.59511985|-0.058516436|3|0.037992832|-0.213225401|-0.003879878|-0.01367083|10.31140747|-0.0546514309999999|1|-0.001825446|-0.116098308|-0.522951134|0.923855679|0.835359152|0.89838263|0.859899236|0.84827776|-0.068775342|-0.100098765|0.192026642|0.012230115|-50.37198585|75.46830038|0.15172224|-0.036878492|-25.34833425|0.0|0.770818357|-17.416202300000002|-18.55810005|40.76379649|0.473492395|426.8727514|-705.2078018999999|0.229181643|5.891343219|4652.242111|115.3294396|-272.5639702|914.8819508|380.2468615|1.0|1.0|0.0|1.0|17.0|-6.78|2.25|78.41|1.82|0.0|98.16|0.0|1.0|3.0|23.0|319.38|0.0|-3.76|0.00015|48.0|0.000173|0.0551|0.0|1.67e-07|5.3200000000000006e-05|-0.0546899999999999|4.6851|2.56|3.9971|-1327.479547|-1327.451966|539.67|893.17|310.18|0.3665|264.64|397.31|0.59386|0.57644|-1327.347724|0.1668|-0.16784|2327.0|-0.22253|-1327.397348|22.0|7.6576|7.6576
