molecula|SddssS|NaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|MATS1i|MATS1c|GATS1are|BIC2|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA1|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GRAV|PPSA1|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
19b_a38|0.0|1|0.0|0|7.412764017000001|2|1.297044256|-0.122009545|5.351858133|-0.115864198|2|0.044392765|0.013765516|-0.006877664|-0.1381849369999999|10.96052467|-0.0697981979999999|1|-0.004358975|-0.098027247|-0.443325632|0.653741315|0.8295290000000001|0.8851623040000001|0.632625562|0.7293105670000001|-0.086013549|-0.11557289|0.336505882|0.0224393089999999|-71.73053105|120.3048789|0.270689433|-0.041606241|-44.51968852|0.0|0.7596369590000001|-33.13317155|-25.82299118|67.31146923|0.478948837|452.6479704|-1291.149559|0.240363041|7.159317935|6518.872269|149.181772|-322.28833010000005|1699.692918|593.6088758|1.0|1.0|1.0|3.0|17.0|-7.12|3.11|81.23|2.78|1.0|125.65|0.0|1.0|5.0|31.0|419.43|0.0|-4.33|5.68e-05|0.0238|4.67e-05|0.0196|0.0|7.599999999999999e-08|3.19e-05|-0.05031|5363.0|3.66|3.7509|-1431.414099|-1431.38073|646.81|1111.29|330.55|0.4634|231.18|485.64|0.38952|0.69411|-1431.18309|0.1945|-0.15414|5.5253|-0.20445|-1431.2418630000002|12.0|7.9172|7.9172
3h_a32|0.0|1|0.0|0|7.765993078999999|0|0.609420752|0.01077056|5.733341277|-0.008243901|0|0.037731481|0.014517903|0.002101838|-0.003152613|10.31100268|-0.111111111|3|0.003284804|-0.071193103|-0.531669815|0.84279263|0.7926338540000001|0.834881529|0.8030743229999999|0.87880263|-0.07183387|-0.0882883959999999|0.30907784|0.0111539339999999|-55.27575363|76.38838542|0.12119737|-0.027590124|-34.60714056|0.0|0.7734940029999999|-28.15732254|-17.27367301|51.95714963|0.4089962629999999|550.2022886|-829.1363044|0.226505997|8.107034244|5187.525619|141.8112711|-342.4592076|1071.936307|593.0848817000001|1.0|1.0|1.0|1.0|19.0|-8.47|6.24|110.94|2.64|2.0|112.28|0.0|1.0|7.0|26.0|382.55|0.0|-6.15|5.8700000000000014e-09|2.24e-06|7.140000000000001e-07|0.000273|0.0|3.37e-09|1.29e-06|-0.05318|3.5552|4.61|3.5552|-1790.6908030000002|-1790.663897|676.22|1127.45|348.74|0.2926|348.74|578.86|0.70257|0.70257|-1790.440663|0.2926|-0.1474099999999999|3.5952|-0.20059|-1790.5004850000005|7.0|8.1549|8.1549
4a_a46|0.0|0|0.210988875|1|7.825245291|1|1.13463711|-0.214093513|5.587248657999999|-0.008364558|2|0.0473245609999999|-0.137420119|0.012632881|-0.11172225|10.96352058|-0.0466186959999999|1|0.0120924389999999|-0.082000707|-0.143806973|0.679741138|0.764741337|0.8075680409999999|0.683616517|0.923958017|-0.05488948|-0.067863141|0.264863483|0.00935578|-35.24319509|6.579492736000001|0.076041983|-0.022129285|-18.30276019|55.05332552|0.742626378|-14.80375017|-11.49234623|33.36433008|0.4289963579999999|479.8368017|-528.6479264|0.2573736219999999|5.613813876|4481.754309|133.66119809999998|-252.0050978|711.8625758999999|480.9500663|1.0|0.0|1.0|0.0|17.0|-6.82|4.46|43.6|2.35|0.0|96.74|0.0|1.0|2.0|24.0|318.42|1.0|-4.31|0.000117|0.0372|4.89e-05|0.0156|0.0|1.53e-07|4.86e-05|-0.02921|4.5454|3.4|4.5454|-994.237445|-994.2146342|560.87|967.0|272.77|0.1694|272.77|467.4|0.6893600000000001|0.6893600000000001|-994.028172|0.1694|-0.19067|3.1825|-0.21988|-994.079365|181.0|6.7423|6.7423
IN1233_a59|0.0|1|0.0|0|6.842683282|0|1.400923654|0.1160337319999999|4.727387819|-0.12050413|2|0.0396875|0.163548857|-0.005614194|-0.011236836|10.93301779|-0.054458882|1|-0.004071701|0.001996439|-0.597167441|0.809917509|0.74801464|0.80310139|0.778639593|0.7613246490000001|-0.092761756|-0.095213818|0.356444983|0.010831674|-63.36348363|318.5587088|0.238675351|-0.035929742|-42.16752524|83.1557517|0.810795898|-41.08157616|-23.91074854|68.94000009|0.483639625|506.6510632|-1267.269673|0.1892041019999999|8.011984402000001|6206.818668|125.91272279999998|-413.6607749|1562.994677|712.1606951|1.0|1.0|1.0|2.0|27.0|-10.0|4.69|97.55|2.06|2.0|125.07|0.0|0.0|5.0|32.0|419.48|0.0|-5.16|2.54e-06|0.00107|6.91e-06|0.0029|0.0|9.93e-11|4.17e-08|-0.05605|5.2194|5.35|3.5355|-1352.351584|-1352.326849|703.47|1204.16|350.69|0.2623|237.54|531.14|0.51285|0.6953699999999999|-1352.073755|0.2011|-0.14684|5.4004|-0.20289|-1352.135303|34.0|7.4685|7.4685
18b_a25|0.0|0|0.0|1|6.842683282|0|1.194228955|-0.147813831|4.727387819|0.0131826839999999|2|0.038137255|-0.018632104|0.006181503|0.014055398|10.31286058|0.0009956189999999|1|0.00598031|-0.034703635|-0.303383008|0.721100414|0.7723870909999999|0.8333962429999999|0.6915652390000001|0.936253893|-0.063132226|-0.078644297|0.348987182|0.01278627|-55.18621997|80.36582704|0.063746107|-0.0305838929999999|-38.7252349|0.0|0.7847794690000001|-31.08693686|-21.46130777|53.27347337|0.493622561|656.9874135|-1158.910619|0.215220531|8.654596906|6973.180791|151.02439719999998|-399.6704921|1476.7341199999998|809.2903831|1.0|1.0|1.0|1.0|27.0|-9.84|5.59|111.51|2.2|2.0|138.56|0.0|1.0|6.0|34.0|460.55|0.0|-5.71|2.87e-07|0.000132|1.95e-06|0.000899|0.0|1.4500000000000002e-10|6.690000000000001e-08|-0.07066|5.5437|4.32|3.6826|-1767.52411|-1767.494087|728.12|1284.89|336.67|0.2658|223.65|612.24|0.36733|0.54166|-1767.2232149999998|0.0468|-0.15079|2.8141|-0.22145|-1767.286778|51.0|7.2924|7.2924
8a_a8|0.0|1|0.0|1|7.535296702|1|1.400027874|-0.021925912|5.4161004020000005|-0.1950388569999999|1|0.040243056|0.027531877|-0.0075336219999999|0.010118884|10.94671414|-0.0298924089999999|1|-0.005306541|0.055198015|-0.5028388229999999|0.76592324|0.762577159|0.8220300859999999|0.7318727540000001|0.550829475|-0.131795179|-0.118763303|0.22299265|0.034374791|-71.12928513|170.9592896|0.449170525|-0.049054408|-42.60049244|84.91322996|0.76420633|-47.27503672|-29.37948733|99.52191337|0.481294455|329.9007832|-1351.456417|0.23579367|7.533378788999999|6193.891189|141.2206861|-316.4749864|1768.444416|529.053307|0.0|1.0|1.0|2.0|23.0|-6.76|2.72|112.23|1.9|1.0|109.21|0.0|1.0|4.0|30.0|400.39|0.0|-4.14|3.99e-05|16.0|7.28e-05|0.0292|0.0|1.74e-07|6.96e-05|-0.06922|4.6017|6.1|3.1039|-1367.776863|-1367.744724|620.68|1061.5|399.45|0.2035|269.43|476.69|0.4927399999999999|0.7036899999999999|-1367.539526|0.1729|-0.13015|5.4201|-0.19937|-1367.595683|11.34|4.9454|4.9454
9s_a24|0.0|1|0.0|0|6.605297921|1|1.4275963180000002|-0.222173285|4.59511985|-0.00570386|4|0.023585859|-0.050919714|0.006748865|-0.060407836|10.96129902|0.013901071|1|0.007695726|-0.204128966|-0.248704391|0.799076569|0.773544454|0.8327425070000001|0.748077475|0.8833498320000001|-0.049825449|-0.063587778|0.483170382|0.016792118|-39.48555839|33.24649431|0.116650168|-0.019465646|-24.51900941|0.695462853|0.445160769|-19.21235005|-12.08741583|41.36694069|0.47085169|548.5261887|-592.2833757999999|0.554839231|9.124394347|5767.9102490000005|344.5337711|68.10609672|1330.4932|604.8829955|0.0|1.0|1.0|1.0|29.0|-8.11|4.29|77.21|0.81|1.0|115.67|0.0|1.0|4.0|30.0|393.44|0.0|-4.06|0.000434|171.0|8.71e-05|0.0343|0.0|7.73e-09|3.04e-06|-0.03597|3.0726|1.82|2.6707|-1271.031372|-1270.994965|654.28|1121.42|464.24|0.5112|403.51|521.4|0.69475|0.6907300000000001|-1270.738032|0.0839|-0.10865|4.6141|-0.14462|-1270.796154|32.0|7.4949|7.4949
19g_a38|0.0|1|0.0|0|7.412764017000001|2|1.297044182|-0.077355838|5.351858133|-0.117921811|2|0.042419753|-0.037579797|-0.006877664|-0.009881824|10.96052467|-0.046735135|1|-0.004358975|-0.098027247|-0.438254637|0.653741315|0.836170906|0.892249657|0.632625562|0.7200062690000001|-0.086314802|-0.114243258|0.5322242429999999|0.022953686|-72.29378538|137.56612280000002|0.279993731|-0.038842708|-45.74791999|18.41027014|0.719941993|-34.56416368|-24.57988703|69.14572278|0.455443492|455.6240763999999|-1228.994351|0.280058007|6.327835378|6631.17356|177.2223055|-278.3610963|1707.074131|593.6088758|1.0|1.0|1.0|3.0|17.0|-7.12|3.11|81.23|2.78|1.0|125.65|0.0|1.0|5.0|31.0|419.43|0.0|-4.33|5.68e-05|0.0238|4.67e-05|0.0196|0.0|7.599999999999999e-08|3.19e-05|-0.05479|5.2766|3.66|3.6887|-1431.419426|-1431.386981|638.82|1104.29|336.12|0.2285|234.97|475.84|0.3937|0.69982|-1431.186566|0.0962|-0.15269|5.0677|-0.20748|-1431.244906|42.0|7.3778|7.3778
12be_a36|0.0|1|0.0|0|7.412764017000001|2|1.297042758|-0.148313814|5.351858133|-0.0419484829999999|2|0.043854875|0.118420241|0.000482522|-0.08981965|10.95957887|0.00430921|1|0.002872872|-0.176729938|-0.3825349939999999|0.884226781|0.812921349|0.858971809|0.8350231859999999|0.798015877|-0.0780531429999999|-0.108962668|0.330453338|0.033763464|-75.59805505|63.31681179|0.201984123|-0.031937334|-52.44976141|0.0|0.5660743979999999|-37.57129686|-22.15805062|77.57811183|0.4564615729999999|553.6616295|-1285.166936|0.433925602|8.773114043|6592.168374|301.05661160000005|-91.68453892|2270.314539|766.4854363|1.0|0.0|1.0|2.0|17.0|-6.79|1.9|87.66|1.42|1.0|136.74|0.0|1.0|7.0|33.0|441.49|0.0|-4.15|7.75e-05|0.0342|7.13e-05|0.0315|0.0|1.6100000000000005e-07|7.11e-05|-0.0518799999999999|5.2184|2.68|3.3487|-1462.0007349999998|-1461.968283|739.48|1256.67|370.25|0.7034|237.59|594.44|0.40844|0.70465|-1461.68274|0.0018|-0.13781|7.7861|-0.18969|-1461.747501|44.0|7.3565|7.3565
2_a1|0.0|0|0.0|1|7.535296702|1|1.348828131|-0.049975995|5.4161004020000005|-0.014296455|1|0.0409444439999999|-0.1056298369999999|0.001576763|-0.0619710709999999|10.9520472|0.101798469|1|0.003205156|-0.145015842|-0.422863867|0.571324013|0.795932678|0.8571146190000001|0.5574897879999999|0.808210065|-0.0622285999999999|-0.077270452|0.220315042|0.011282631|-35.17029414|6.281701359|0.191789935|-0.026492726|-16.00805425|84.54541681|0.6944040029999999|-12.89184641|-12.05838656|33.45925305|0.39830426|367.8635872|-422.0435297|0.305595997|5.2823820260000005|3920.383175|139.0945801|-176.9692239|607.7780769999999|299.6692382|1.0|0.0|1.0|0.0|17.0|-6.18|4.12|30.71|2.49|0.0|79.77|0.0|1.0|2.0|21.0|279.31|1.0|-3.78|0.000871|243.0|0.000167|0.0466|0.0|6.64e-07|0.000185|-0.02966|4.0877|3.31|4.0877|-920.2093796|-920.184721|489.42|807.98|303.31|0.2991|303.31|355.79|0.7007899999999999|0.7007899999999999|-920.078239|0.2991|-0.1686|3.5853|-0.19826|-920.123726|5.8|5.2366|5.2366
