molecula|MATS1c|Brenk|molar_refractivity|FPSA1|SaaNH|Log S (Ali)|RASA|Log S (SILICOS-IT)|BBB|CYP1A2 inhibitor|MATS2c|PAINS|MATS8i|WNSA3|log P|AATSC1pe|Total Energy (water) (Hartree)|GRAVp|pIC50
9g_a40|-0.383703998|0.0|87.53|0.259759794|0.0|-2.49|0.90454157|-6.43|1.0|0.0|-0.058811055|0.0|0.139758613|-17.63553984|3.83|0.0115573539999999|-1332.487689|2169.234651|5.45
1c_a5|-0.20172074|0.0|95.45|0.246972732|2.955525321|-4.25|0.88631419|-8.41|1.0|1.0|-0.268536978|0.0|-0.228971551|-17.81716094|3.17|0.007357977|-990.6223073|2105.8969850000003|5.4
14r_a23|-0.454010253|1.0|120.24|0.211777163|0.0|-5.58|0.8662226190000001|-7.67|0.0|0.0|-0.009140243|0.0|-0.079935667|-25.96781003|3.72|0.0075222369999999|-1729.1556449999998|2945.137191|8.2684
6_a15|-0.35221474|0.0|109.7|0.4180252789999999|0.0|-5.66|0.859308431|-7.95|1.0|1.0|-0.199979249|0.0|0.011857945|-24.00625743|3.94|0.003942615|-1263.0243449999998|2454.904173|7.4559
14f_a23|-0.399688849|1.0|126.78|0.334221706|0.0|-5.63|0.894162392|-7.51|0.0|0.0|-0.002304087|0.0|-0.0555907109999999|-27.39103254|3.23|0.010508236|-1744.452086|3014.916135|8.6459
19_a15|-0.571686169|0.0|101.22|0.077864438|0.0|-5.12|0.691069123|-7.14|0.0|1.0|0.156105985|0.0|-0.04003124|-31.61527447|7.53|-0.00534669|-1523.404372|2625.952212|7.1427
3t_a32|-0.496165036|0.0|112.48|0.315525518|3.4477303|-6.48|0.828676243|-8.01|0.0|1.0|0.028840888|0.0|0.012069208|-31.99514268|5.5|0.00139283|-1864.708995|2530.60497|8.0458
4d_a49|-0.417231241|0.0|115.63|0.3452719489999999|0.0|-3.13|0.752634646|-7.58|0.0|1.0|-0.06085453|0.0|-0.053327669|-34.12740785|2.99|0.001356445|-1293.333712|2658.242991|7.7447
13a_a30|-0.5640209589999999|0.0|135.37|0.2001375339999999|0.0|-5.01|0.6963945559999999|-6.19|0.0|0.0|0.113424769|0.0|0.0317047379999999|-49.96348386|4.54|-0.002215642|-1744.491614|3002.811441|7.8665
11a_a5|-0.254944026|0.0|128.51|0.259134725|2.9781886010000003|-7.25|0.89343434|-9.93|0.0|1.0|-0.165418719|0.0|-0.1301505359999999|-32.96141947|4.83|0.007955512|-1339.8362619999998|2727.027899|7.0915
15d_a10|-0.1945202089999999|0.0|131.43|0.5280998339999999|0.0|-3.78|0.87609771|-7.82|1.0|0.0|-0.233802395|0.0|-0.140487312|-26.15336742|2.05|0.011249462|-1430.8144619999998|2967.522813|7.1612
13d_a5 (GW788388)|-0.3706975529999999|0.0|121.68|0.330817879|2.945204608|-4.35|0.774103723|-8.84|0.0|1.0|-0.0959854909999999|0.0|-0.086484275|-37.98032007|3.81|0.003668464|-1390.589662|2834.036315|7.7447
12at_a36|-0.48127276|0.0|135.03|0.325557803|3.4361495580000003|-4.18|0.751856692|-6.62|0.0|0.0|-0.04229234|0.0|-0.076129505|-40.6250081|4.5|0.000906224|-1460.833958|3041.832389|7.1079
12a_a32|-0.583507277|0.0|110.47|0.332293625|3.442930603|-6.01|0.788702323|-7.65|0.0|1.0|0.087371302|0.0|-0.031249617|-33.18255791|4.63|-0.001662219|-1880.771042|2572.916338|7.6021
16_a4|-0.214481956|0.0|85.02|0.167538305|0.0|-3.92|0.7898461090000001|-6.36|1.0|1.0|-0.219944434|0.0|-0.148022089|-17.789707500000002|4.05|0.006466406|-1057.494456|2101.6948030000003|6.4647
3d_a12|-0.532019854|0.0|100.28|0.22571647|0.0|-3.52|0.8547246829999999|-7.51|1.0|1.0|0.092417272|0.0|-0.002185753|-17.64609244|3.1|-0.000643935|-1006.727999|2148.979792|7.6021
12av_a36|-0.507136551|0.0|138.06|0.328083083|3.4520047430000003|-3.54|0.752447733|-6.93|0.0|0.0|0.049150854|0.0|-0.021036176|-39.92474833|4.5|-0.000472698|-1440.988179|3011.024457|7.4089
12ah_a36|-0.444563583|0.0|128.76|0.231093575|3.456839001|-4.44|0.828405275|-7.18|1.0|1.0|-0.050415481|0.0|-0.083956827|-31.66734951|3.79|0.0010871589999999|-1692.545871|2786.56479|7.9586
18c_a30|-0.562807327|0.0|135.37|0.214007997|0.0|-5.01|0.717052026|-6.19|0.0|0.0|0.12157783|0.0|0.0119521719999999|-48.15493021|4.54|-0.002215642|-1744.500825|3002.59061|7.9208
13b_a6|-0.490758329|0.0|116.79|0.2427663219999999|3.423777636|-5.51|0.7757172059999999|-9.01|0.0|1.0|-0.0411179|0.0|-0.104663349|-40.04664055|4.04|-0.00194781|-1350.0903970000002|2821.72831|6.7595
16b_a32|-0.586122949|0.0|114.43|0.252363732|3.2902303|-6.28|0.7465375040000001|-7.6|0.0|1.0|0.0873104119999999|0.0|-0.018753196|-36.42406481|6.37|-0.00180101|-2315.990437|3037.795494|7.7696
12ay_a36|-0.438622276|0.0|133.68|0.221835195|3.50559949|-4.54|0.829406408|-7.34|1.0|1.0|-0.05976542|0.0|0.012286423|-31.1973159|3.79|0.0045625|-1311.576473|2766.899844|7.7447
9_a47|-0.4477815529999999|0.0|101.46|0.209348023|0.0|-5.37|0.805149969|-8.47|0.0|1.0|0.00410268|0.0|0.022031244|-23.08946904|4.06|-0.007880155|-1149.090086|2292.652212|7.6
4e_a46|-0.514537262|0.0|137.28|0.204892146|0.0|-6.08|0.753715041|-8.81|0.0|0.0|0.1369980459999999|0.0|-0.058626723|-48.10898007|8.03|0.002688298|-1884.613031|3411.457836|6.8125
11b_a50|-0.266743077|0.0|99.65|0.357948005|0.0|-3.58|0.931316325|-5.87|1.0|1.0|-0.154649459|0.0|-0.218953127|-12.12179711|3.05|0.012037198|-1045.98235|2286.724895|5.7696
6a_a31|-0.568500407|0.0|104.73|0.307253701|3.3855253210000003|-5.22|0.57216168|-6.96|0.0|1.0|0.038376178|0.0|-0.0225412779999999|-45.56491046|4.03|-0.010591881|-1613.34153|2713.694431|5.9586
14ae_a23|-0.363230717|1.0|133.27|0.46959234|0.0|-5.8|0.872362051|-7.6|0.0|0.0|-0.033049777|0.0|-0.0174992419999999|-33.45249142|2.99|0.009675528|-1858.967022|3212.850883|8.6038
3c_a12|-0.545592465|0.0|98.16|0.2944757839999999|0.0|-4.22|0.843855494|-6.78|0.0|1.0|0.06235058|0.0|-0.008931246|-18.35985151|2.56|-0.001825446|-1327.498519|2186.344105|7.699
47a_a18|-0.369841706|1.0|158.24|0.2063806289999999|0.0|-6.74|0.778790861|-8.27|0.0|0.0|0.018016478|0.0|-0.025401815|-55.70051708|8.82|-0.000633273|-2098.807018|3612.105567|9.0
19b_a38|-0.443325632|0.0|125.65|0.240363041|3.26554965|-4.25|0.7293105670000001|-7.12|0.0|1.0|-0.122009545|0.0|-0.1381849369999999|-33.13317155|3.66|-0.004358975|-1431.414099|2897.652112|7.9172
14a_a3|-0.582572884|0.0|93.25|0.239123122|0.0|-4.45|0.790894937|-6.89|0.0|1.0|0.111575338|0.0|-0.039177314|-22.1944701|2.44|-0.004161699|-1327.513792|2160.698862|7.5229
9a_a36|-0.398235589|0.0|120.94|0.236165413|3.4090209280000003|-3.71|0.826559623|-6.28|1.0|0.0|-0.109305298|0.0|-0.078488872|-27.53468726|3.38|0.00484375|-1252.802159|2682.572663|7.8861
4g_a46|-0.2455749539999999|1.0|106.55|0.1731389069999999|0.0|-5.38|0.946829733|-7.8|1.0|1.0|-0.153373738|0.0|-0.055084605|-18.72788427|4.65|0.010608122|-1493.154666|2242.010126|5.5615
12_a47|-0.326846977|0.0|91.63|0.319276179|2.903215905|-4.51|0.7840710409999999|-8.11|1.0|1.0|-0.155854903|0.0|-0.018573056|-23.01490672|3.01|-0.004332024|-1488.101254|2266.78114|8.2
5_a18 (BIBF0775)|-0.453086741|1.0|155.95|0.184058942|0.0|-6.07|0.8432358679999999|-9.21|1.0|0.0|0.0160123|0.0|0.0002403959999999|-39.33277643|8.45|0.0036739159999999|-1572.313227|3115.979466|7.4685
7a_a8|-0.412963751|0.0|105.83|0.266115601|3.1730222510000003|-4.86|0.718410375|-7.27|0.0|1.0|-0.11821781|0.0|0.004607684|-35.24327197|5.2|0.002028046|-1291.313963|2715.360649|4.6068
1_a6 (SB-431542)|-0.567791164|0.0|106.85|0.2468003389999999|3.3674017380000003|-4.52|0.5940412860000001|-7.69|0.0|1.0|0.043282217|0.0|-0.029658865|-44.47680367|4.57|-0.008385698|-1292.588032|2678.823231|5.8119
47l_a18|-0.4925232479999999|1.0|139.63|0.203890653|0.0|-5.26|0.803473313|-9.37|0.0|0.0|0.0340353029999999|0.0|-0.010426981|-40.65070014|7.71|0.000787517|-1455.5758039999998|2852.093627|7.4949
33_a47|-0.270498605|0.0|94.28|0.42318652|0.0|-3.26|0.8197001309999999|-7.08|1.0|1.0|-0.229935275|0.0|-0.033554816|-17.2112484|2.06|0.003634698|-1123.16428|2311.28828|8.4
20_a4|-0.211751813|0.0|86.62|0.356414753|0.0|-3.46|0.918147288|-5.55|1.0|1.0|-0.203359312|0.0|-0.1473674569999999|-14.03867522|2.73|0.012025268|-934.2489802|1982.961908|6.1898
13f_a6|-0.466314952|0.0|123.82|0.279288145|3.440154557|-5.11|0.863222493|-10.18|0.0|1.0|-0.088329567|0.0|-0.071478789|-33.08535238|3.36|-0.001446486|-1347.301285|2869.925064|7.3768
8d_a8|-0.4385133129999999|0.0|121.1|0.324640122|3.190160226|-4.91|0.6932924890000001|-7.62|0.0|0.0|-0.12349902|0.0|-0.077977198|-45.62337399|6.22|-0.001038264|-1447.595474|2863.968296|4.7303
12z_a30|-0.39205163|0.0|140.26|0.3691601439999999|0.0|-5.61|0.832920077|-6.83|0.0|0.0|-0.1155022219999999|0.0|0.018796341|-34.55504699|3.34|0.005111479|-1804.814868|3112.622632|7.3615
11a_a50|-0.267331063|0.0|99.65|0.345638567|0.0|-3.58|0.917127112|-5.87|1.0|1.0|-0.156121881|0.0|-0.108592708|-13.47492066|3.05|0.012037198|-1045.978598|2286.226222|7.2291
18c_a25|-0.282103688|1.0|138.65|0.2520795489999999|0.0|-6.05|0.94801724|-10.17|0.0|1.0|-0.087958541|0.0|-0.038865826|-21.00757374|4.75|0.007488918|-1714.597797|2917.369488|7.0555
6d_a40|-0.624951805|2.0|120.09|0.13994759|0.0|-7.21|0.663670372|-4.31|0.0|1.0|0.12627602|1.0|0.086704068|-47.09642482|7.98|-0.00448098|-2470.82949|3063.227702|8.9208
1j_a5|-0.2470489089999999|0.0|96.98|0.383510433|2.9426852410000004|-4.03|0.847163872|-8.14|1.0|1.0|-0.2031633169999999|0.0|-0.07622096|-21.29338752|2.61|0.006957291|-1065.849941|2242.805131|7.6198
3i_a32|-0.537667101|0.0|88.28|0.22927653|2.417426304|-6.27|0.893827987|-6.96|0.0|1.0|-0.157360524|0.0|-0.26785886|-25.92886531|3.38|-0.0106761939999999|-1891.833327|2471.4299920000003|8.2366
14z_a23|-0.46459002|1.0|130.3|0.214395551|0.0|-6.77|0.925301102|-8.57|0.0|0.0|0.08752343|0.0|-0.0438568409999999|-28.25118461|4.73|0.007229683|-2549.107748|3094.698027|8.2941
21_a10|-0.4636733179999999|0.0|128.59|0.295893365|0.0|-5.77|0.7747854129999999|-8.71|0.0|0.0|0.036507898|0.0|-0.023060773|-45.44837698|5.57|0.002099681|-1485.499561|3104.255496|5.3188
19_a34|-0.469568766|0.0|83.95|0.3377105079999999|0.0|-2.73|0.6399024520000001|-5.03|1.0|1.0|-0.068004837|0.0|-0.143343425|-28.08688512|2.7|-0.0042364759999999|-1046.606458|2127.363207|6.0044
14_a47|-0.33240126|0.0|86.58|0.335290281|2.871076328|-3.97|0.681598464|-7.79|1.0|1.0|-0.126490693|0.0|-0.01670074|-23.79514424|2.64|-0.006335783|-1127.737484|2254.664317|8.1
47d_a18|-0.417659275|2.0|159.67|0.30185619|0.0|-5.74|0.836999127|-8.83|0.0|0.0|-0.017398129|1.0|-0.07722825|-42.52098397|8.08|0.005144085|-1704.061013|3304.705347|8.0969
11b_a31|-0.564706551|0.0|92.51|0.330276165|3.248213341|-4.74|0.545458754|-5.45|0.0|1.0|0.078614731|0.0|-0.1488994619999999|-44.59898223|4.07|-0.010716217|-1520.085181|2410.572158|6.2757
10_a47|-0.45272733|0.0|106.43|0.198117368|0.0|-5.75|0.841070966|-8.85|0.0|1.0|-0.003570214|0.0|0.0814897|-21.81529334|4.37|-0.0065562469999999|-1188.405988|2355.515804|7.9
12aa_a30|-0.394520145|0.0|140.26|0.369240427|0.0|-5.61|0.8126513129999999|-6.83|0.0|0.0|-0.101407312|0.0|0.059360681|-38.06478415|3.34|0.005111479|-1804.818818|3115.249471|8.1135
