molecula|n9FaHRing|BIC2|Class [Log S (SILICOS-IT)]|MATS8d|SaaNH|GeomDiameter|Consensus Log P|Mor01p|Solubility [Log S (Ali)] (mg/ml)|CYP2D6 inhibitor|SaaaC|BCUTi-1|Area (grid)|pIC50
27b_a34|0|0.7722228729999999|1.0|-0.047542374|0.0|15.39406063|3.46|627.4287311|0.00243|1.0|0.0|10.95430634|691.97|6.1871
8k_a46|0|0.786206898|1.0|-0.051289238|0.0|15.94634031|3.29|865.6610153999999|0.000866|0.0|0.0|10.31928125|742.04|6.8327
14b_a50|1|0.7887047979999999|1.0|-0.076752616|0.0|11.45638132|3.6|825.4425942|0.0111|1.0|2.115127752|10.94501788|718.64|5.1818
12o_a30|0|0.815003426|1.0|-0.149451598|0.0|13.95467208|3.11|652.8825454|0.0005139999999999|0.0|0.0|10.31162888|687.92|7.8097
4n_a46|0|0.722331115|1.0|-0.088858764|0.0|9.921794991|3.9|525.8291956999999|0.00129|0.0|0.0|10.94021058|578.83|5.2845
13g_a6|0|0.774238891|0.0|-0.144664763|3.457632039|14.34268783|3.47|744.1359788|0.0012|1.0|1.648997541|10.95053423|739.55|6.9245
14aa_a23|1|0.75434493|1.0|-0.070471939|0.0|15.78173785|4.1|733.3886349999999|0.000259|0.0|0.758549568|10.313217300000002|715.57|8451.0
6b_a40|0|0.842573207|2.0|-0.307881994|0.0|12.51342818|4.21|618.8882797|1.98e-06|0.0|0.6899826|10.30179924|687.2|7.5229
9o_a24|0|0.785672769|1.0|-0.000453155|2.9340792330000003|11.83284872|3.01|663.2688909|0.0137|0.0|0.0|10.94506726|611.03|6.3507
21_a12|0|0.835359152|1.0|-0.099516604|0.0|11.18947411|2.68|380.2468615|48.0|1.0|0.0|10.31140747|539.67|7.6576
8a_a31|0|0.837862749|2.0|-0.030149254|3.28085223|10.63792161|2.13|324.7430642|0.0846|1.0|0.0|10.31170053|538.75|6.1024
1b_a5|0|0.759794937|1.0|-0.054153474|2.881451247|11.64312636|3.38|357.34245360000006|0.0336|1.0|0.0|10.94890233|536.59|7.2291
20_a4|0|0.7797803109999999|2.0|-0.105783279|0.0|9.58599918|2.97|338.71903330000004|0.1|1.0|0.0|10.9459449|517.72|6.1898
1h_a5|0|0.780175595|1.0|-0.082079343|2.9516097130000003|13.14687756|3.43|409.0289917|0.0174|1.0|0.0|10.94466758|556.57|7.5528
14a_a5|0|0.79661948|1.0|0.047169811|2.948727373|15.89694877|3.05|723.0631751|0.0304|1.0|0.0|10.9488747|692.8|6.9508
17b_a6|0|0.7788169070000001|1.0|-0.138423611|3.375166525|16.46390151|3.6|627.4287311|0.000637|1.0|0.0|10.949638|690.98|6.8153
12bg_a36|0|0.836170906|1.0|-0.033696875|3.434779148|14.04434294|2.82|661.6709012|0.00372|0.0|0.0|10.95885259|703.94|7.8239
11a_a31|0|0.8433024170000001|2.0|-0.030335912|2.856083711|10.5643234|2.42|302.14325319999995|0.00506|0.0|0.0|10.31170041|529.63|6.7212
13b_a30|0|0.836520136|1.0|-0.0771674659999999|0.0|16.1428924|1.91|713.7769663|0.00427|0.0|0.0|10.31162842|721.48|7.5901
19h_a38|0|0.819222745|1.0|-0.121374121|3.2723542610000003|12.98143834|2.66|595.8790650000001|29.0|1.0|0.0|10.96083376|626.65|8.0348
1o_a5|0|0.78144982|1.0|-0.016408975|2.923171926|14.20898333|2.95|393.5487205|0.0269|1.0|0.0|10.94518594|561.04|7.4559
13l_a6|0|0.7908110340000001|1.0|-0.1470289659999999|3.433158672|15.34147837|3.07|741.5222707|0.00144|1.0|0.0|10.95129637|735.52|6.4145
4_a47|0|0.783871003|1.0|0.019305509|0.0|10.818777699999998|4.32|471.7712484|0.0004379999999999|1.0|1.42341819|10.93671044|576.9|7.5
8_a10|0|0.809386132|1.0|-0.167376069|0.0|10.75705296|3.55|583.7217118|0.0117|0.0|1.546251312|10.92578782|594.63|6279.0
4a_a49|0|0.803344301|1.0|0.032396301|0.0|15.01791558|2.42|620.5697596|211.0|1.0|1.713107022|10.92777282|660.19|7.4949
28_a34|0|0.798057295|2.0|-0.078146961|0.0|10.28760365|1.84|344.69029950000004|172.0|1.0|0.0|10.9595763|544.24|5.4179
47j_a18|0|0.7444236670000001|1.0|0.005740124|0.0|18.50538303|2.39|1081.726154|0.000743|1.0|0.0|10.94702285|839.37|7.4559
21_a47|1|0.826796636|1.0|0.0927058819999999|0.0|13.17102891|3.43|482.9384172|0.0142|1.0|1.028199909|10.95058272|583.37|8.3
10_a32|1|0.8607827790000001|1.0|-0.079818594|3.294952523|12.86809583|3.42|513.9156315|0.000366|0.0|2.067772926|10.31100271|654.7|8.1427
11a_a5|0|0.73344478|1.0|-0.0489811909999999|2.9781886010000003|18.25640338|5.16|835.912531|2.39e-05|1.0|0.0|10.94877942|739.79|7.0915
12g_a30|0|0.826316772|1.0|-0.0885760969999999|0.0|16.07139949|2.36|683.7405759|0.000444|0.0|0.0|10.31162838|717.55|8.0334
16_a3|0|0.767641592|1.0|-0.031683873|0.0|11.22152755|3.5|328.71459869999995|0.0033799999999999|1.0|1.614080058|10.31163046|520.28|7.3768
8_a1 (SB-202620)|0|0.743088715|1.0|0.063001656|3.296085365|13.67402758|3.7|433.2550452|0.0041|1.0|0.0|10.94957568|586.27|6.3979
47o_a18|0|0.7435044540000001|1.0|-0.066242713|0.0|19.35260972|2.76|931.8364349|0.000996|1.0|0.0|10.94702017|783.22|7.3279
12j_a36|0|0.820041835|1.0|-0.089459459|3.502198129|13.78874575|2.33|725.9470896|0.0061|0.0|0.0|10.33556498|694.28|8.0
35_a18|0|0.737094825|1.0|-0.017913121|0.0|17.18442554|3.07|1056.535856|0.000415|1.0|0.0|10.94702087|796.47|7.6198
15b_a50|1|0.8259784720000001|2.0|-0.216393362|0.0|13.22671714|2.37|510.3677388|0.2339999999999999|1.0|2.018777006|10.94501702|613.37|7.1024
5_a47|0|0.795032176|1.0|0.0743193|0.0|11.13432113|4.29|416.1194472|0.000824|1.0|1.284688504|10.9367109|561.61|7.7
9a_a40|0|0.690568477|1.0|-0.2990540869999999|0.0|13.33684703|4.08|323.79254|0.000944|0.0|0.921628874|10.31197235|515.96|6.6696
8f_a12|1|0.7475224290000001|1.0|-0.042014638|0.0|13.00131176|3.82|524.0516742|0.000735|1.0|2.177023629|10.31134658|606.97|6.1898
12u_a36|0|0.8101678720000001|1.0|-0.018047007|3.508898495|14.90088936|2.66|799.5563855|0.0047799999999999|0.0|0.0|10.95266014|739.12|7.7959
