molecula|SddssS|n9FaHRing|SaaNH|SRW09|nAHRing|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|n6aHRing|MATS8s|MATS8d|SIC2|GATS1pe|RASA|FNSA3|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
12m_a36|0.0|0|3.40403699|7.412764017000001|2|0.0|-0.011502861|5.351858133|-0.133854569|2|0.03912037|0.14264424|0.0|10.95440733|-0.038386106|1|-0.004569485|0.245908938|1|-0.075712087|-0.064035403|0.8792981679999999|0.849217847|0.711961428|-0.10031651|0.4493096629999999|-67.27772044|-81.19927925|15.24099981|42.78660249|0.288038572|-0.04260035|10.22144534|107.233999|0.7471181240000001|-45.120107|96.11918789|-28.57011677|82.51872026|477.48014630000006|-1542.786306|2637.948424|0.252881876|13.67704354|0.8702895190000001|6434.374756|169.596372|-1034.676602|0.0222467879999999|689.2886595|14.91990864|0.0|0.0|1.0|0.0|4.83|0.0|0.13|17.0|-6.14|1.92|0.0|131.85|1.0|32.0|5.0|-7.39|424.46|0.0|0.0|0.0|7.96e-05|0.0|7.19e-07|0.000305|-0.05114|3.8658|3.88|3.8658|-1401.654499|692.4|0.4718|320.72|505.51|0.69382|0.4718|-0.20993|0.03861003|-1401.446557|7.5229|7.5229
19_a3|0.0|0|2.917217813|6.605297921|0|0.0|-0.003417504|4.59511985|-0.030657|3|0.0386379929999999|-0.008897473|1.744747103|10.96959256|0.036226415|1|0.006731579|-0.015805561|3|-0.0150769919999999|0.064690027|0.8264237520000001|0.687139108|0.853017902|-0.067674689|0.225451546|-31.50932639|-40.8473715|5.419662458|161.5312186|0.146982098|-0.032585664|2.523394126|0.0|0.75798185|-14.67073822|48.55416845|-15.17188084|36.92898885|397.1650228|-531.0158295|869.7868956|0.24201815|10.21110415|0.911365749|4138.413977|112.6836188|-247.2409002|0.016552404|314.0966684|7.706796952|1.0|1.0|1.0|1.0|2.81|1.6|0.06|21.0|-7.21|3.9|0.0|85.32|1.0|22.0|4.0|-6.5|287.32|0.0|1.0|1.0|0.000578|0.0|6.18e-08|1.7800000000000002e-05|-0.05757|3945.0|2.43|3945.0|-929.2818523|499.93|0.3006|314.28|362.92|0.67351|0.3006|-0.2206|0.020989746|-929.193831|7.6383|7.6383
12_a47|0.0|1|2.903215905|6.605297921|0|0.0|-0.005522244|4.59511985|-0.078935336|2|0.036632997|0.001435849|1.555521837|10.95005729|0.0295267039999999|1|-0.004332024|0.003417588|2|0.055943216|0.050943962|0.90246604|0.618808977|0.7840710409999999|-0.084846808|0.266995634|-44.18983348|-47.83891561|9.382250925|63.89392714|0.2159289589999999|-0.034116917|4.886454935|0.0|0.680723821|-23.01490672|61.09751253|-17.76874008|53.5720844|408.3591283|-621.9059029|702.3796319|0.319276179|13.52358352|0.920341815|4816.005822|166.28511369999998|-323.9004363|0.025457205|335.1175012|13.25859692|1.0|1.0|1.0|1.0|2.73|1.67|0.0|21.0|-8.11|4.19|0.0|91.63|1.0|24.0|4.0|-5.94|339.75|0.0|1.0|1.0|3.11e-05|0.0|7.69e-09|2.61e-06|-0.0623|4.2907|3.01|3.9538|-1488.101254|537.79|0.2306|288.96|400.09|0.68557|0.2241|-0.2256|0.03721125|-1488.024564|8.2|8.2
40_a47|0.0|1|0.0|6.823286122000001|0|1.715145925|-0.004181351|4.727387819|-0.0934645509999999|3|0.041396825|-0.056839794|1.566109469|10.98214138|0.056362705|1|0.003634698|-0.130213023|3|0.018609507|0.090270598|0.900790582|0.607650682|0.812233678|-0.060416547|0.237173658|-32.5926343|-44.90375373|11.04737121|54.11003524|0.1877663219999999|-0.027052191|5.959674083|0.0|0.573656733|-17.58259718|60.97203959|-14.59371996|43.64000551|438.171933|-583.7487984|868.5333132000001|0.426343267|12.98034048|0.843174422|4862.524893|229.9974239|-314.91225539999994|0.029785575|388.178924|16.06828586|0.0|1.0|1.0|1.0|3.07|2.91|0.11|21.0|-7.08|2.96|0.0|94.28|1.0|25.0|5.0|-6.78|334.35|0.0|1.0|1.0|0.000546|0.0|8.339999999999999e-08|2.79e-05|-0.05086|4.0176|2.06|3.7236|-1123.174467|571.5|271.0|308.6|444.47|0.68492|0.2612|-0.20317|0.02983032|-1123.049869|8.4|8.4
2_a1|0.0|0|0.0|7.535296702|1|2.233384354|-0.004621682|5.4161004020000005|-0.014296455|1|0.0409444439999999|-0.1056298369999999|0.0|10.9520472|0.101798469|1|0.003205156|-0.237981258|1|0.079586368|0.1766333219999999|0.8571146190000001|0.5574897879999999|0.808210065|-0.0622285999999999|0.220315042|-28.32386891|-35.17029414|5.135384136|6.281701359|0.191789935|-0.026492726|2.337413146|84.54541681|0.6944040029999999|-12.89184641|43.24570924|-12.05838656|33.45925305|367.8635872|-422.0435297|1378.496713|0.305595997|8.779158091000001|0.6619695520000001|3920.383175|139.0945801|-192.096651|0.017741989|299.6692382|8.075415099999999|1.0|1.0|1.0|1.0|2.91|2.69|0.18|17.0|-6.18|4.0|0.0|79.77|1.0|21.0|3.0|-6.04|279.31|0.0|1.0|1.0|0.000871|0.0|6.64e-07|0.000185|-0.02966|4.0877|3.31|4.0877|-920.2093796|489.42|0.2991|303.31|355.79|0.7007899999999999|0.2991|-0.19826|0.024658671|-920.123726|5.2366|5.2366
12am_a36|0.0|0|3.340519946|7.412764017000001|2|0.0|-0.015884751|5.351858133|-0.297354748|2|0.044036281|0.122824831|0.0|10.9602097|-0.037654321|1|-0.007897954|0.345949079|1|-0.0147665219999999|-0.05754717|0.885733922|0.624142499|0.814986544|-0.091472759|0.305015372|-63.19394154|-81.59051640000001|12.15249658|128.69607109999998|0.185013456|-0.045928425|8.395550408|1.038361162|0.788334835|-43.65752487|95.53118838|-31.72964526|75.34643812|563.0333297999999|-1713.4008440000002|2603.072527|0.211665165|17.01968794|0.940085891|7238.033439|146.228847|-1183.702712|0.020179019|672.4630346|13.94067198|1.0|0.0|1.0|0.0|4.81|0.0|0.17|17.0|-7.14|3.31|0.0|130.43|1.0|34.0|8.0|-6.4|465.43|0.0|0.0|0.0|6.26e-06|1.0|7.24e-08|3.37e-05|-0.0569799999999999|5.2317|4.86|3.8606|-1645.205296|714.21|0.4894|236.99|562.14|0.6805100000000001|0.2987|-0.21356|0.03550681|-1645.016323|7.2218|7.2218
12bd_a36|0.0|0|3.497517322|7.412764017000001|2|0.0|-0.006695407|5.351858133|-0.045630197|2|0.04625323|0.025649557|0.0|10.94639828|-0.0288761339999999|1|0.0045625|0.042808724|1|-0.011529973|-0.047786573|0.833398429|0.857993338|0.832478093|-0.071083327|0.279020022|-46.92083391|-65.65179884|11.7156452|83.92365468|0.167521907|-0.035521445|7.733288012999999|0.0|0.78244124|-30.9716039|75.7932235|-23.44707102|58.63647911|549.5039111000001|-1313.035977|2403.371086|0.21755876|15.34283166|0.905749421|5957.939097|143.6066496|-866.7115819|0.015363883|729.1873176|10.14142465|1.0|0.0|1.0|0.0|4.95|0.0|0.21|17.0|-7.34|3.76|0.0|133.68|1.0|31.0|4.0|-6.38|409.49|0.0|1.0|1.0|2.8600000000000004e-05|0.0|4.55e-08|1.86e-05|-0.05236|3.8786|3.79|3544.0|-1311.591775|706.26|0.4467|319.66|568.94|0.7044100000000001|0.0058|-0.19826|0.03110617|-1311.352257|7.7696|7.7696
13b_a5|0.0|0|2.948625157|7.153833802|1|0.0|-0.004573365|5.209486153|0.011339656|2|0.02468599|-0.006314305|0.0|10.94530329|-0.017963913|1|0.0066003869999999|-0.010368468|2|0.03431921|-0.0330907489999999|0.8184221559999999|0.653356347|0.831557236|-0.0694958329999999|0.468748106|-44.93506461|-48.3067033|8.980592802|14.41650822|0.168442764|-0.02636836|5.806729729|46.77748445|0.654076389|-29.05440446|62.24204745|-17.04942469|53.91565742|537.6736515|-869.5206594|1177.571784|0.345923611|15.48959317|0.837970799|5678.380299|223.6695238|-562.2202871000001|0.021552174|638.8437454|13.93534415|0.0|1.0|1.0|1.0|2.97|2.64|0.17|23.0|-8.36|4.64|0.0|119.8|1.0|30.0|4.0|-6.58|395.46|0.0|1.0|1.0|5.69e-05|0.0|4.36e-09|1.72e-06|-0.05177|4.6733|4.66|4.1793|-1276.066049|672.43|0.5528|265.31|503.93|0.57482|0.3064|-0.22451|0.035153|-1275.865034|6.9586|6.9586
17_a47|0.0|1|3.011740664|6.605297921|0|0.0|-0.003764469|4.59511985|-0.019259259|3|0.031802469|-0.105849578|1.699575434|10.9385382|-0.006331624|1|0.004477366|-0.180898239|3|-0.034891905|-0.010871607|0.814790949|0.7666613659999999|0.852282407|-0.07185129|0.522140199|-43.82821253|-50.62550618|7.87914003|68.64478326|0.147717593|-0.02987808|4.806157636|0.0|0.7457517659999999|-26.73455447|60.33408274|-18.22518223|51.70735256|519.8795281|-911.2591113|1573.836082|0.2542482339999999|13.10144249|0.8569074879999999|5854.9736840000005|155.087622|-555.8544359|0.0159160889999999|630.8611986000001|9.708576558|1.0|1.0|1.0|1.0|3.44|2.39|0.08|27.0|-10.1|5.12|0.0|119.83|0.0|30.0|4.0|-5.83|392.46|0.0|0.0|1.0|3.98e-06|0.0|7.96e-11|3.12e-08|-0.04873|4.2784|3.07|4.2784|-1254.985125|656.78|0.4308|289.79|477.67|0.6844100000000001|0.4308|-0.22479|0.04130125|-1254.795084|8.3|8.3
30_a47|0.0|1|0.0|6.842683282|0|1.435022468|-0.0092264759999999|4.727387819|-0.184735553|2|0.038387534|0.013114301|1.192095911|10.95005723|0.0467853809999999|1|-0.008325552|0.029343834|2|-0.1340278869999999|0.074217097|0.913855507|0.651797437|0.67896733|-0.108232368|0.384732322|-64.94243028|-64.38108459|13.64937081|350.5257774|0.32103267|-0.0383202979999999|8.190002019|76.90733636|0.679447569|-38.96726396|81.25550675|-22.9932445|78.59180109|407.3992771|-965.7162688|1558.731067|0.320552431|12.94704346|0.879999675|5852.817155|192.3403721|-579.456614|0.028122734|457.1122177|16.87442216|1.0|1.0|1.0|1.0|3.03|2.12|0.05|21.0|-7.24|2.71|0.0|104.25|1.0|28.0|5.0|-6.95|396.81|0.0|0.0|1.0|6.05e-05|0.0|5.74e-08|2.28e-05|-0.0564299999999999|3.7159|3.89|3.7159|-1696.12008|615.85|0.3566|333.66|478.04|0.6944899999999999|0.3566|-0.20813|0.0420327|-1695.9887|7.9|7.9
