molecula|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|AATSC1s|n6HRing|BCUTi-1|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
3o_a32|3.644417045|0.0|7.773594467000001|1|1|0.609420753|-0.022603806|-0.006253394|-0.014299905|1|10.3110027|3|-0.117744493|-0.061774721|-0.11221537|-0.483580522|0|0.90022001|0.8214857240000001|0.872498916|0.840991936|0.8377808240000001|-0.073742105|-0.095457829|-55.03672286|7.218280399|62.67187821|93.52833522|-0.031819276|-31.73171751|0.0|0.7850948190000001|-1.4318674340000002|-24.51306152|62.56936516|-18.34557429|49.73468603|0.455089918|2488.133192|483.0270239|-825.5508427999999|2469.87467|-10.57723917|0.835165165|5488.777096|123.9047338|0.0130649069999999|-328.7458915|1051.530112|541.0877621000001|1.0|1.0|1.0|1.0|2.0|3.47|3.06|0.32|6.39|122.97|1.0|0.0|112.07|0.0|3.0|-5.72|-6.17|381.52|0.0|0.0|-4.73|1.89e-06|0.00072|0.00714|3.46|0.0|5.35e-08|2.04e-05|3.5333|3.5333|-1805.504508|-1805.473626|620.56|1049.14|0.2851|464.85|0.70216|0.70216|0.2851|-0.14652|-0.20065|0.03088166|-1805.333039|6.6198
14u_a23|0.0|0.0|7.423568444|0|0|1.197962732|-0.066969083|-0.007017844|-0.025360103|2|10.31321759|2|0.091604179|-0.110069159|-0.199540201|-0.4086345999999999|2|0.756252127|0.787538583|0.845160857|0.71381683|0.909754912|-0.055259924|-0.086465795|-57.75236052|16.97420126|43.06242147|60.27663131|-0.033908155|-38.57404134|50.47632596|0.702868983|-1.729315897|-24.65250654|73.50348823|-22.64798452|53.88349042|0.47648509|3015.478095|607.6448353|-1155.04721|2430.634114|-15.12707504|0.910165272|6913.009783|198.4601847|0.023582305|-271.0010972|1643.332169|683.7405759|0.0|0.0|1.0|1.0|1.0|3.59|3.68|0.09|3.42|114.25|2.0|1.0|126.78|0.0|6.0|-5.63|-6.47|441.51|0.0|0.0|-5.02|2.32e-06|0.0010199999999999|0.0042299999999999|3.55|0.0|3.11e-08|1.3699999999999998e-05|4.0409|3.1819|-1744.446261|-1744.422541|712.54|1214.4|0.2253|549.0|0.4523|0.6703100000000001|0.0008|-0.1543|-0.21613|0.0237199999999999|-1744.2405670000005|8.2449
12a_a30|0.0|0.0|7.412764017000001|2|2|0.604984824|0.033691224|-0.006711725|-0.02919335|2|10.31162903|1|-0.171649606|-0.053309522|-0.094526372|-0.454270252|1|0.8421237309999999|0.7885597609999999|0.842671963|0.7961424690000001|0.836214716|-0.07699057|-0.097138462|-60.22802588|10.10177981|85.47365107|101.5505506|-0.037665934|-37.34272719|0.0|0.805190202|-1.845630786|-29.59731695|69.45678454|-23.35372432|57.83766054|0.469799116|2722.217443|518.4718832|-1144.332492|2256.680391|-14.47983299|0.88607758|5936.682602000001|120.786445|0.014884556|-378.4495438|1421.195251|620.9195447000001|1.0|0.0|1.0|0.0|1.0|4.65|0.0|0.14|3.84|81.65|2.0|0.0|127.28|0.0|5.0|-5.28|-5.98|398.48|0.0|0.0|-4.85|5.23e-06|0.00208|0.0056|3.87|0.0|2.3100000000000002e-07|9.21e-05|5045.0|3.4885|-1575.7783980000002|-1575.745502|668.81|1122.01|0.1866|507.17|0.35338|0.68599|0.1511|-0.1481|-0.19994|0.03289568|-1575.597759|7.9469
11_a3|0.0|0.0|6.823286122000001|0|0|0.605020608|0.119431379|-0.01008647|-0.127546771|3|10.31163053|1|-0.194041982|-0.0495219879999999|-0.0947326669999999|-0.577616902|3|0.8947911009999999|0.724492061|0.793311683|0.834020779|0.777803048|-0.0955396769999999|-0.099420732|-47.02715152|6.800350988|253.1353625|105.101718|-0.0391657429999999|-22.2443844|80.34769756|0.752484736|-1.292469516|-21.37603754|57.08178682|-18.52584757|51.99171876|0.4680759679999999|2097.896727|367.9098016|-611.3529698|1105.41974|-8.76293931|0.8799677029999999|4487.967272999999|117.0775712|0.021256639|-238.8563772|812.4456757999999|311.6695405|0.0|1.0|1.0|1.0|1.0|3.19|2.07|0.0|3.79|105.82|0.0|0.0|88.28|0.0|2.0|-4.08|-6.59|305.36|0.0|0.0|-3.71|8.37e-05|0.0256|0.0601|2.22|0.0|3.06e-07|9.35e-05|3.2232|3.2232|-1288.195105|-1288.165162|508.58|834.82|0.4441|346.18|0.6966600000000001|0.6966600000000001|0.4441|-0.13118|-0.20018|0.02994326|-1288.10577|7.3979
12m_a36|3.40403699|0.0|7.412764017000001|2|2|1.297043522|0.013543656|-0.011502861|-0.133854569|2|10.95440733|1|0.245908938|-0.052743904|-0.090926893|-0.52644768|1|0.892815402|0.825587924|0.8792981679999999|0.849217847|0.711961428|-0.10031651|-0.121074678|-81.19927925|15.24099981|42.78660249|193.174369|-0.04260035|-54.45666327|107.233999|0.7471181240000001|-2.300418875|-45.120107|96.11918789|-28.57011677|82.51872026|0.465323422|2925.315028|477.48014630000006|-1542.786306|2637.948424|-19.16067782|0.8702895190000001|6434.374756|169.596372|0.0222467879999999|-331.4617713|2064.983108|689.2886595|0.0|0.0|0.0|0.0|3.0|4.83|0.0|0.13|1.92|112.29|1.0|0.0|131.85|0.0|6.0|-4.1|-7.39|424.46|0.0|0.0|-3.8|7.96e-05|0.0338|0.0676|2.11|0.0|7.19e-07|0.000305|3.8658|3.8658|-1401.654499|-1401.6158890000002|692.4|1177.15|0.4718|505.51|0.69382|0.69382|0.4718|-0.15879|-0.20993|0.03861003|-1401.446557|7.5229
1_a3|0.0|0.0|6.823286122000001|1|1|0.6195934120000001|0.079857077|-0.006053652|-0.073036903|2|10.33805862|0|-0.007705076|0.05038525|0.08803837|-0.486774367|2|1.005427002|0.7905285390000001|0.8457792829999999|0.943582278|0.7762512779999999|-0.098872259|-0.0925710269999999|-42.54530997|3.693677623|289.8942564|102.8341051|-0.034105115|-19.55367089|0.0|0.7920857179999999|-1.295994381|-20.88467272|49.05980305|-15.67458788|49.13501083|0.4490711529999999|2012.9704|356.76228530000003|-595.6343396000001|1162.737831|-7.203984013|0.8151164259999999|4510.611026|95.55665364|0.014174378|-268.4830832|751.9821735|373.1494221|1.0|1.0|0.0|1.0|1.0|3.83|0.0|0.18|2.28|77.1|0.0|0.0|91.52|0.0|2.0|-3.07|-6.87|306.38|0.0|0.0|-3.3|0.0008529999999999|261.0|154.0|1.83|0.0|1.69e-06|0.000518|5.8805|3.8645|-1273.316428|-1273.290432|496.09|845.2|0.1775|316.61|0.30619|0.68912|0.0096|-0.1658599999999999|-0.21886|0.02599563|-1273.22339|6.1403
12b_a50|0.0|0.0|7.927685046000001|1|1|1.397986833|-0.19841119|-0.002929899|-0.0016330379999999|1|10.94501743|2|-0.139522815|-0.168032508|-0.291865836|-0.246831987|1|0.699597776|0.804535572|0.8718949979999999|0.660148928|0.925916085|-0.045602469|-0.066155918|-33.25880166|10.80329197|8.07905572|37.24447201|-0.0237482779999999|-16.72031641|86.49656508|0.5731907470000001|-0.926182858|-11.52561607|47.12729492|-11.93905701|33.72918462|0.430791247|2224.116359|465.4891075000001|-465.6232233|1446.231761|-6.002164865|0.756824707|4672.843578|214.5713436|0.027586169|-73.59089223|812.3355548|388.171611|1.0|1.0|0.0|1.0|0.0|3.31|2.45|0.11|2.59|48.53|0.0|0.0|94.69|0.0|2.0|-3.16|-6.44|313.36|0.0|1.0|-3.84|0.000685|215.0|45.0|2.5|0.0|3.22e-06|0.00101|4.7089|3.9305|-1006.664619|-1006.641541|539.15|909.8|0.2425|401.64|0.6016199999999999|0.6581|0.0777|-0.16451|-0.19425|0.02307802|-1006.550688|5.3242
16a_a23|0.0|0.0|7.423568444|1|1|1.197962324|-0.0147904689999999|-0.0054940769999999|-0.013055633|3|10.31321796|2|0.115499047|-0.181609054|-0.335065967|-0.380779155|2|0.765869487|0.8323974470000001|0.890165467|0.7199622309999999|0.934837094|-0.041095401|-0.07288672|-47.06687604|13.80568132|9.922436905|42.07919382|-0.025724725|-30.39361398|91.92609822|0.585920722|-1.311960953|-17.13669862|65.21027197|-16.6118386|40.34319246|0.49525751|2924.629647|603.6746046|-847.2037686000001|1801.957216|-10.72715788|0.981208279|6552.801739|267.3932664|0.02809646|-110.9672657|1445.935835|668.3493171|1.0|0.0|0.0|0.0|1.0|3.94|0.0|0.14|2.03|108.26|1.0|1.0|125.79|0.0|5.0|-4.58|-7.02|427.5|0.0|0.0|-4.31|2.6e-05|0.0111|0.0208|2.66|0.0|5.38e-06|0.0023|1.6239|1.6239|-1685.913359|-1685.8794469999998|670.04|1172.0|0.2066|555.21|0.96307|0.96307|0.2066|-0.07625|-0.12645|0.03391189|-1685.6419010000002|7.4037
3c_a49|0.0|0.0|7.535296702|1|1|1.343850149|0.034009672|-0.004876919|-0.016347266|2|10.92976555|1|-0.0780996759999999|-0.0612829229999999|-0.101919761|-0.384874446|2|0.666785606|0.802792677|0.8605470759999999|0.64702083|0.7963363840000001|-0.071786669|-0.074135885|-42.3959176|8.477406111|89.34479838|116.4686425|-0.0252377479999999|-24.24485565|77.29181095|0.637222556|-1.186174159|-23.47658531|54.85343388|-14.4326528|49.52988301|0.4791465279999999|2521.794855|455.3990518|-678.3346816000001|1667.1178220000002|-8.253567879|0.919925763|5544.351498|207.4607002|0.021783913|-156.9462939|1064.517686|542.7276591|0.0|1.0|1.0|1.0|1.0|3.18|2.67|0.18|3.63|72.7|1.0|0.0|109.43|0.0|4.0|-3.45|-6.93|369.42|0.0|1.0|-3.86|0.0003509999999999|0.13|0.0505|2.29|0.0|2.89e-08|1.07e-05|5.1584|3842.0|-1198.668772|-1198.634822|613.33|1046.53|0.4321|456.22|0.32539|0.6692100000000001|0.0729|-0.15853|-0.21913|0.03394942|-1198.484646|7.0605
7h_a8|2.99743835|0.0|7.05012252|0|0|1.391840221|-0.118981425|-0.00534208|-0.073219554|0|10.94341365|1|-0.043606497|0.052081992|0.141285105|-0.382578949|0|0.515235986|0.7051689170000001|0.7677336090000001|0.507325475|0.771011027|-0.093181899|-0.0934764819999999|-53.88211443|6.71377223|70.28953528|131.9948047|-0.041038456|-31.05895923|47.81104825|0.892830345|-1.6825766830000002|-30.96107949|58.94376531|-23.65556243|60.42608164|0.4346108389999999|2534.324886|444.4294792|-969.8780597|1919.19991|-13.63564064|0.768693264|5657.402114|61.77519141|0.00878112|-452.8739011|1086.29603|446.5544107|1.0|0.0|1.0|0.0|1.0|3.12|3.2|0.0|5.52|61.58|2.0|0.0|101.89|0.0|3.0|-5.68|-5.27|373.35|0.0|0.0|-5.5|2.09e-06|0.00078|0.00118|4.66|1.0|3.5e-09|1.31e-06|3.9282|3.9282|-1285.182226|-1285.151298|593.53|999.62|0.3885|500.94|0.6963199999999999|0.6963199999999999|0.3885|-0.16076|-0.22875|0.03092828|-1285.0707960000002|4.9788
18d_a25|0.0|0.0|6.842683282|0|0|1.193723212|-0.0881447869999999|-0.0029605|0.024310576|2|10.31285314|1|-0.055336237|-0.035684977|-0.061965108|-0.292727912|2|0.722349659|0.780221059|0.838260077|0.696372329|0.937813705|-0.061527513|-0.076328248|-57.45144813|8.39885106|70.58850837|46.80695276|-0.0281209329999999|-43.24308488|0.389087507|0.75793699|-1.602893201|-34.85786147|68.15463481|-21.166323|54.70994625|0.476833495|3113.122552|705.8822532|-1206.480411|2625.142499|-15.93166285|0.911437354|6876.316137000001|182.1982146|0.014219928|-388.2927768|1591.795131|883.4030667999999|1.0|1.0|1.0|1.0|1.0|3.66|3.57|0.11|6.33|111.51|2.0|1.0|143.37|0.0|7.0|-6.26|-6.21|474.58|1.0|0.0|-5.54|5.47e-07|0.00026|0.0013599999999999|4.21|0.0|5.92e-11|2.81e-08|5.6512|3.6392|-1806.848384|-1806.812778|792.79|1358.25|0.3986|664.72|0.41694|0.6823899999999999|0.0389|-0.14723|-0.2201|0.03560672|-1806.582751|6.6345
11d_a5|2.9590700880000003|0.0|6.605297921|0|0|1.388848584|-0.245058546|-0.003373937|0.001099755|2|10.94877952|1|-0.202307745|-0.12451554|-0.200646773|-0.22897714|2|0.786587307|0.783891527|0.831190148|0.755793189|0.87090286|-0.063028408|-0.0847408619999999|-53.84338206|8.151092424|61.45330587|82.02685783|-0.029333375|-34.21147402|0.0|0.712305422|-1.525335513|-25.44574968|65.35645739|-18.63809379|48.19862797|0.49396568|2540.78984|553.3617954|-969.1808771|900.3825317|-11.84243331|0.976150552|5283.02167|182.7978704|0.018119737|-269.7929124|1360.625438|631.9206508|1.0|1.0|1.0|1.0|1.0|3.13|3.37|0.17|4.41|66.93|1.0|0.0|114.29|0.0|7.0|-4.14|-6.47|385.46|0.0|1.0|-4.29|7.2e-05|0.0278|0.0198|3.07|0.0|2.31e-09|8.909999999999999e-07|4.4175|4107.0|-1239.127458|-1239.093739|682.09|1154.67|507.0|594.45|0.66686|0.6533399999999999|0.2068|-0.16762|-0.20529|0.03371838|-1238.914819|7.8239
1_a6 (SB-431542)|3.3674017380000003|0.0|7.423568444|1|1|1.430935835|0.043282217|-0.015636898|-0.175408303|1|10.94959842|1|0.164429684|-0.020716495|-0.033765606|-0.567791164|1|0.838928085|0.7462411859999999|0.805877431|0.795744863|0.5940412860000001|-0.126408788|-0.122555709|-72.69619778|19.58668728|160.410387|240.8019609|-0.0462988229999999|-43.12110169|105.3125675|0.7531996609999999|-2.083447046|-44.47680367|87.15852628|-27.46300805|94.56841061|0.472445176|2678.823231|352.3666367|-1235.8353619999998|1890.228713|-16.29019397|0.895537592|5748.417262|146.3942108|0.02438148|-300.3801761|1640.78056|513.4628663999999|1.0|1.0|1.0|1.0|2.0|3.25|2.35|0.05|4.04|103.12|1.0|0.0|106.85|0.0|4.0|-4.52|-6.73|384.39|0.0|0.0|-4.25|3.03e-05|0.0116|0.0218|2.7|0.0|2.03e-08|7.81e-06|3.8208|3295.0|-1292.588032|-1292.553086|619.92|1049.69|0.5765|464.07|0.55256|0.69868|0.3346|-0.13329|-193.0|0.03494577|-1292.41452|5.8119
13p_a6|3.449535594|0.0|6.842683282|0|0|1.424099253|0.024837222|-0.010395243|-0.1144898999999999|2|10.95053423|1|0.123575608|-0.068532678|-0.116250572|-0.573014008|2|0.865935935|0.784414352|0.837659336|0.8244206940000001|0.7265205579999999|-0.099405155|-0.107371897|-76.17631587|12.27472016|80.30786544|194.0233618|-0.03767435|-54.04422654|107.5669533|0.76005742|-2.14743793|-50.03427239|89.17529231|-26.72853188|82.79893305|0.412828992|3016.078786|515.4389679999999|-1523.526317|3833.042283|-18.9628865|0.703081362|6590.216479|170.2302215|0.018322293|-369.0018868|2004.488446|794.5462391|1.0|1.0|1.0|1.0|3.0|3.64|2.34|0.12|4.58|122.47|1.0|0.0|132.01|0.0|7.0|-5.09|-7.01|449.51|0.0|0.0|-4.55|8.11e-06|0.00365|0.0125|2.86|0.0|8.73e-11|3.92e-08|4.7973|2.9837|-1463.08132|-1463.0432449999998|752.82|1283.98|0.4132|573.39|0.47508|0.7056600000000001|0.0029|-0.12251|-0.1971099999999999|0.03807447|-1462.804694|7.0362
3t_a32|3.4477303|0.0|7.765993078999999|0|0|0.609420752|0.028840888|-0.006089333|-0.0338714389999999|0|10.31100267|3|0.049606573|-0.070331512|-0.122301673|-0.496165036|0|0.710773544|0.822076702|0.870628579|0.687253845|0.828676243|-0.080203824|-0.0974995|-61.58101978|8.995863948|97.01046154|108.2086749|-0.026967947|-38.89478416|0.0|0.684474482|-1.267493496|-31.99514268|72.43498782|-17.03304802|59.65287508|0.481726305|2530.60497|523.3947687|-800.5532571|2241.507646|-10.75813179|0.929482453|5525.861115|199.2870037|0.017184783|-233.0294362|1169.58817|582.0730423|1.0|1.0|1.0|1.0|1.0|3.58|3.41|0.3|7.65|128.01|2.0|0.0|112.48|0.0|7.0|-6.48|-5.81|396.53|0.0|0.0|-4.93|3.28e-07|0.00013|0.00462|4.09|0.0|9.86e-09|3.91e-06|3.5487|3.5487|-1864.708995|-1864.678788|677.16|1129.24|0.2906|575.45|0.70286|0.70286|0.2906|-0.14739|-0.20246|0.03020622|-1864.534478|8.0458
12ak_a36|3.501132553|0.0|7.412764017000001|2|2|1.270373882|-0.052930979|-0.006465433|-0.0407717229999999|2|10.95268014|1|0.198260132|-0.099596099|-0.163978382|-0.439326642|1|0.901715152|0.815627016|0.860939187|0.860667615|0.848705143|-0.069176342|-0.091761476|-66.15829243|14.3700664|113.186508|109.0807368|-0.032660864|-47.69888026|25.9007405|0.737439195|-1.926990997|-35.95881638|79.17567486|-23.5478668|64.24490364|0.423822657|2830.816014|611.9003905000001|-1389.324141|2735.7986920000003|-16.97756755|0.735576751|6240.396899|189.3013851|0.018055095|-342.3783571000001|1883.984673|799.5563855|1.0|0.0|1.0|1.0|2.0|5.05|0.0|0.24|3.85|69.2|2.0|0.0|138.33|0.0|6.0|-4.95|-6.19|423.51|0.0|1.0|-4.86|1.13e-05|0.0047799999999999|0.00589|3.8|0.0|4.2e-08|1.7800000000000002e-05|3.8734|3.6895|-1350.900117|-1350.865407|730.3|1247.89|0.4514|584.05|0.69463|0.7034699999999999|0.0001|-0.15275|-0.20204|0.03471045|-1350.637958|7.3372
2_a3|0.0|0.0|6.823286122000001|0|0|0.605017347|0.176032668|-0.008422099|-0.09743592|2|10.31162302|1|-0.18746945|0.017902469|0.032450556|-0.568019422|2|0.899733837|0.769486995|0.8401405609999999|0.841871246|0.750206578|-0.104577702|-0.09392632|-44.07280196|5.601853871|228.178656|117.2099151|-0.033150466|-20.68016573|74.89956423|0.727984269|-1.127115845|-23.02532673|53.05538527|-15.55510657|54.67257594|0.458202525|2056.399995|352.0174726|-528.8736235|1314.679398|-7.298882022000001|0.845708123|4446.904467|127.637231|0.019143348|-213.9529255|726.4904564|330.4083896|1.0|1.0|1.0|1.0|1.0|2.97|2.22|0.0|4.34|92.93|0.0|0.0|90.49|0.0|2.0|-4.75|-5.93|304.37|0.0|0.0|-4.27|1.7800000000000002e-05|0.0054|0.0162|3.13|0.0|1.3e-07|3.9500000000000005e-05|5.4397|3.3354|-1272.143337|-1272.114086|503.34|841.85|0.1824|340.69|0.37284|0.69543|0.0962|-0.14605|-0.21028|0.02925101|-1272.04778|5.4
12ad_a36|3.428443248|0.0|7.412764017000001|2|2|1.297042846|-0.040810025|-0.01083262|-0.073048351|2|10.95445455|1|0.077659878|-0.136151085|-0.227404687|-0.478461478|1|0.817851296|0.832674224|0.8846605|0.7767870459999999|0.760267769|-0.082404548|-0.107772644|-76.30379737|21.78471426|94.12528108|169.7321223|-0.0365657189999999|-54.02363038|81.68309557|0.656407461|-2.047680239|-41.30726219|96.81391944|-25.88878839|80.12771975|0.477102332|3041.082692|538.2749789|-1449.77215|2474.175727|-18.32944602|0.912420081|6569.653402|243.2659577|0.028968808|-221.4751857|2208.646667|735.3783268|1.0|0.0|0.0|0.0|2.0|4.9|0.0|0.17|2.7|95.5|1.0|0.0|135.03|0.0|7.0|-4.18|-7.18|439.47|0.0|0.0|-4.08|6.579999999999999e-05|0.0289|0.0367|2.53|0.0|2.42e-07|0.000106|5733.0|3.8512|-1460.8311199999998|-1460.794632|737.53|1236.64|0.6073|588.2|0.27316|0.67215|0.2532|-0.15638|-0.21044|0.03648828|-1460.610659|7.7696
8_a10|0.0|0.0|7.535296702|1|1|1.3430438530000002|-0.075368755|-0.00560152|-0.012055162|2|10.92578782|1|-0.000504277|-0.082893697|-0.132343104|-0.368590322|2|0.6357042860000001|0.809386132|0.864927472|0.616731847|0.874843982|-0.059655303|-0.086233061|-47.16908772|8.619652859|32.98071169999999|68.45976606|-0.029917593|-25.80127401|9.35593124|0.722649449|-1.465962037|-17.849103399999997|56.7864899|-16.36478554|41.25082928|0.431797417|2612.274447|478.5356341|-801.8744912000001|1899.542278|-8.951462413|0.7599356820000001|6289.86818|151.7094758|0.017582236|-243.5764486|1109.631361|583.7217118|0.0|0.0|1.0|1.0|0.0|3.42|3.27|0.22|4.46|69.9|1.0|0.0|111.36|0.0|4.0|-4.52|-6.25|384.43|0.0|1.0|-4.62|3.05e-05|0.0117|0.00926|3.37|0.0|2.49e-08|9.59e-06|4.6964|3684.0|-1257.84172|-1257.819281|594.63|1047.58|0.1596|416.69|0.41583|0.68815|0.0916|-0.15556|-0.21789|0.02243902|-1257.648047|6279.0
12y_a36|3.479963309|0.0|7.412764017000001|2|2|1.29704385|-0.061103469|-0.00707164|-0.065314765|2|10.94917392|1|0.06152178|-0.095253274|-0.1619981409999999|-0.434990282|1|0.90500247|0.820226782|0.873588247|0.856135378|0.83704133|-0.076585128|-0.098532865|-66.24017399|13.04507243|114.430624|109.55137340000002|-0.036493654|-44.53093547|14.40618351|0.755735734|-1.970657299|-34.61187706|78.8341402|-24.53339777|64.53055627|0.487285656|2793.629988|562.7133986|-1324.80348|2304.463084|-16.49293906|0.950403792|6082.16777|164.2102614|0.01873364|-343.8442493|1752.9983309999998|698.847203|1.0|0.0|0.0|0.0|2.0|4.88|0.0|0.12|3.62|69.2|1.0|0.0|133.84|0.0|6.0|-4.58|-6.34|407.47|0.0|1.0|-4.55|2.6e-05|0.0106|0.0115|3.45|0.0|9.66e-08|3.94e-05|3.8794|3.8794|-1310.350902|-1310.315063|702.38|1183.75|0.4358|532.91|0.66796|0.66796|0.4358|-0.15671|-0.20673|0.03583863|-1310.137888|7.9208
19_a15|0.0|0.0|0.0|0|0|0.300209223|0.156105985|-0.009832375|-0.558905888|1|10.31928434|0|0.060683674|-0.0283109839999999|-0.045543362|-0.571686169|1|0.7981860159999999|0.722297906|0.770451673|0.7358168620000001|0.691069123|-0.0946599869999999|-0.112106433|-64.78818183|3.04716388|61.63983265|178.5363184|-0.042351319|-37.44217335|15.76831619|0.922135562|-1.905809364|-31.61527447|68.10965742|-24.47553536|57.75275299|0.405429114|2625.952212|399.3803987|-1101.399091|1857.369806|-14.14482104|0.681885245|5417.777463|44.99916039|0.005747326|-487.9183964|1194.400408|490.1808545|1.0|1.0|1.0|1.0|2.0|2.99|2.17|0.11|2.36|102.69|1.0|0.0|101.22|0.0|5.0|-5.12|-6.22|369.44|0.0|0.0|-4.39|7.56e-06|0.00279|0.0152|3.29|0.0|7.28e-08|2.69e-05|4.1742|4.1742|-1523.404372|-1523.361214|601.23|1030.77|0.4895|519.04|0.68945|0.68945|0.4895|-0.17018|-0.20742|0.04315771|-1523.254714|7.1427
4c_a49|0.0|0.0|7.535296702|1|1|1.343847672|-0.048954892|-0.0057600559999999|-0.044371138|2|10.92777281|1|-0.163476035|-0.001005604|-0.001647802|-0.412652341|2|0.7745214140000001|0.7796063109999999|0.826523164|0.752601535|0.76159824|-0.087753156|-0.086290519|-55.59622798|7.782541015|82.02101639|153.60017230000005|-0.029809452|-35.82016427|59.70585149|0.724053828|-1.639519861|-36.42732137|66.77901229|-19.20596967|64.32113331|0.473304159|2719.702873|490.6910965|-1056.328332|1683.872161|-12.37423857|0.898629005|6046.668361|177.78970959999998|0.0173567219999999|-288.71184960000005|1458.908567|707.2397315000001|1.0|1.0|1.0|1.0|2.0|3.49|2.97|0.25|3.55|98.72|1.0|0.0|120.43|0.0|7.0|-3.5|-7.53|412.49|0.0|0.0|-3.58|0.000314|0.13|109.0|1.81|0.0|1.07e-08|4.4e-06|5.74|3.8067|-1332.647233|-1332.607539|705.55|1199.04|0.2411|533.87|0.4164199999999999|0.67789|0.0821|-0.15925|-0.22158|0.03969431|-1332.398001|6.5935
8b_a32|3.419952523|0.0|7.765993078999999|0|0|0.609420757|0.113639567|-0.009362305|-0.057200812|0|10.31100269|3|-0.014634534|-0.0852122769999999|-0.1534110109999999|-0.577864293|0|0.788133615|0.845443342|0.8966299409999999|0.7507116140000001|0.788218098|-0.0850068559999999|-0.108971309|-68.4085006|10.49093175|102.4297669|132.9495116|-0.03079624|-42.94454179|68.21751748|0.669149204|-1.4166270230000002|-33.50038167|81.73293254|-19.33283713|63.85535908|0.458155153|2573.703546|494.8166492|-889.3105078|2275.886421|-12.13650094|0.845546757|5619.400983|207.6969342|0.021225152|-212.3722924|1329.016762|557.1050635|1.0|1.0|1.0|1.0|2.0|3.46|3.04|0.26|6.49|140.04|1.0|0.0|110.47|1.0|7.0|-5.83|-6.44|397.52|1.0|0.0|-4.39|1.47e-06|0.000583|0.0161|3.22|0.0|2.23e-08|8.86e-06|3.5442|3.5442|-1880.77142|-1880.735397|671.54|1114.24|0.2943|558.16|0.70285|0.70285|0.2943|-0.14717|-0.20121|0.03602276|-1880.602014|7.9208
1k_a5|2.9020229360000003|0.0|6.605297921|0|0|1.427567903|-0.216088148|-0.0030192829999999|-0.064652321|2|10.9489659|1|-0.220946861|0.019611905|0.045204303|-0.254495542|2|0.567806811|0.7824502320000001|0.851987765|0.558485747|0.7836926809999999|-0.078995018|-0.074297856|-38.00629774|5.571869083999999|165.11680719999998|110.6497654|-0.0301207529999999|-19.44172742|0.498979532|0.724954458|-1.114467843|-20.67084672|47.83775802|-15.40795854|45.98095096|0.48165588|2171.394196|400.8898627|-570.0944662|824.0133397999999|-7.881781385|0.929220303|4479.484358|140.69669409999997|0.019219352|-230.14624|786.3865923|357.34245360000006|1.0|1.0|0.0|1.0|1.0|2.71|2.02|0.0|4.88|54.46|0.0|0.0|90.44|0.0|3.0|-3.97|-5.99|316.33|0.0|1.0|-4.3|0.000106|0.0336|0.0157|3.16|0.0|4.99e-09|1.58e-06|4.7221|4.4063|-1050.548505|-1050.51717|533.8|890.76|0.6242|398.63|0.53086|0.5282|0.1239|-0.1798799999999999|-0.22504|0.03133456|-1050.468159|7.3188
