molecula|n6aHRing|MATS1c|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|RNCS|MATS8i|FNSA2|Area (grid)|pIC50
46_a18|0|-0.448177615|0.69181|-0.13224|0.946462387|-0.0669031009999999|-1.988633091|765.33|6.7305
15c_a22|2|-0.364626967|0.69113|-0.15408|36.22825261|-0.023927419|-1.60176404|715.42|6.1325
3l_a32|0|-0.524711546|0.70282|-0.14664|61.72183119|-0.09393062|-1.326263838|629.26|7.9208
28_a47|2|-0.435485503|0.69002|-0.15049|365.2310214|-0.00496711|-1.601689367|599.88|7.6
24_a47|2|-0.540463145|0.6835|-0.16333|41.72753688|-0.063708635|-1.364926459|578.94|8.5
5_a4|2|-0.164263889|0.6019899999999999|-0.16965|13.96974087|-0.050389825|-1.159259431|595.55|7.1487
6g_a40|0|-0.588058458|0.5794199999999999|-0.11857|328.78166810000005|0.07194868|-2.657032782|669.8|7.3279
4e_a46|2|-0.514537262|0.56481|-0.17112|105.0139519|-0.058626723|-1.949960781|757.1|6.8125
13i_a6|1|-0.560601136|0.70517|-0.1464|181.1128483|0.034304189|-2.460999087|703.43|7.6778
19f_a38|1|-0.4288343429999999|0.7056100000000001|-0.14369|125.7493111|0.035480177|-1.892229356|653.22|7.1397
27a_a34|1|-0.53047808|0.69818|-0.16691|176.4623026|-0.026428049|-2.340647376|737.7|6.6198
11_a4|2|-0.145254541|0.65942|-0.15885|12.88007087|-0.073554945|-1.110169356|630.04|6.9586
14b_a50|1|-0.306633966|0.64303|-0.16874|25.31245624|0.037777505|-1.533499045|718.64|5.1818
2_a47|2|-0.444853768|0.69102|-0.15446|99.5619537|0.107297513|-1.4348393119999998|536.13|6.2
12o_a36|1|-0.5110239679999999|0.67273|-0.15695|55.47133795|-0.059733192|-2.018706878|728.07|7.3979
12u_a30|1|-0.467189145|0.6847|-0.1486299999999999|78.15130994|0.028815747|-1.859475018|705.15|7.4647
12ba_a36|1|-0.410941182|0.70432|-0.12587|100.798163|0.003750685|-1.951382748|687.23|7.6778
12be_a36|1|-0.3825349939999999|0.70465|-0.13781|63.31681179|-0.08981965|-1.852365352|739.48|7.3565
17_a20|3|-0.456415963|0.69839|-0.14021|66.47074027|0.038629586|-1.5466805119999998|673.68|5.6478
5e_a40|0|-0.391074665|0.69675|-0.14786|170.7311133|0.158430496|-1.076691165|493.19|7.6021
25b_a34|1|-0.623853334|0.6925600000000001|-0.17564|165.2408865|-0.112970844|-2.206786613|668.48|5.6819
12p_a36|1|-0.440709431|0.66559|-0.15608|83.24921731|-0.084846674|-1.950840419|660.71|8.0458
4d_a46|2|-0.240143042|0.69884|-0.18639|8.241078584|-0.111025108|-1.132361533|588.18|6.2865
12h_a40|0|-0.556229094|0.7041|-0.1092|208.6717565|0.189869851|-1.280284432|548.82|6.0846
17_a3|2|-0.633373061|0.69481|-0.13155|234.4907116|-0.041723219|-1.344947254|537.32|7.6383
4a_a46|2|-0.143806973|0.6893600000000001|-0.19067|6.579492736000001|-0.11172225|-1.017947119|560.87|6.7423
14w_a23|2|-0.427696371|0.6219399999999999|-0.14844|43.30287556|-0.042151195|-1.681653166|676.92|8.6737
7b_a10|2|-0.1874708719999999|0.66228|-0.1584799999999999|13.37827368|-0.01808249|-1.152667458|562.31|4.7033
41_a47|3|-0.276217719|0.68638|-0.15208|54.15850042|0.024881402|-1.259711209|603.1|8.0
2_a20 (SB-505124)|1|-0.520284161|0.69947|-0.14928|122.8758934|-0.177905025|-1.759933279|593.8|6.7721
3a_a49|2|-0.421478185|0.66614|-0.15978|107.4001347|-0.060613765|-1.504232653|635.89|7.1938
1l_a5|2|-0.21108114|0.57392|-0.1779|167.86839980000002|-0.019865028|-1.219595099|609.85|7.4949
24_a20|2|-0.188335708|0.44916|-0.15687|12.83518119|-0.060940703|-1.357397496|685.66|6.4976
17f_a50|1|-0.204651539|0.6573899999999999|-0.16784|6.382846132999999|-0.028989535|-1.422331714|653.63|6.4001
