molecula|SddssS|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|SRW07|n6HRing|JGI4|SaaaC|AATSC1are|AATSC8d|n5aHRing|AATSC7i|MATS1i|MATS1c|MATS8s|GATS1pe|PBF|FPSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (water)|IC50|pIC50|pIC50
9i_a40|0.0|0|0|0.0|1|7.515889085|0|0|1.841293462|5.4161004020000005|0|0.045555556|0.891973262|0.004532692|-0.1788455119999999|2|0.333430103|0.105172175|-0.542471361|-0.154977678|0.7947633409999999|0.006324687|0.011010661|5.548036224|213.7117392|0.169019238|85.16517222|-0.036869006|-22.46593254|-1.327284222|49.81256531|-18.57750214|52.34891159|0.477626156|2056.370683|418.7133986|335.9672843|-9.360805225|14.74203307|0.91433781|71.03556427|21.62632891|0.010372658|5.226560183|1.0|1.0|1.0|1.0|1.0|3.25|2.9|20.0|-6.03|3.84|4.02|84.45|2.99|1.0|91.11|2.0|-5.32|22.0|2.0|-5.44|306.38|0.0|1.0|-4.71|4.79e-06|0.00147|1.97e-05|0.0|9.31e-07|0.000285|-0.05989|4.3611|-1273.334714|428.48|0.5012|417.75|0.56118|0.70339|-1273.167389|0.3362|-0.11967|2.7887|1.25|5.9031|5.9031
16_a15|-3.726252327|0|0|0.0|0|0.0|0|0|0.0|0.0|2|0.035555556|0.0|-0.009769916|-0.011969556|0|-0.006331105|-0.046871961|-0.528097878|0.080837546|0.72660548|0.7427725270000001|0.0070920509999999|4.848103252|53.93878231|0.276402595|188.9479321|-0.039472502|-47.4317527|-2.131515106|76.07332645|-26.98327637|65.48636021|0.419910645|3173.773379|494.6488764|3014.308422|-18.44568161|11.720499900000002|0.7238723509999999|89.91997762|31.07023998|0.009783192|6.687758643|1.0|1.0|1.0|0.0|1.0|3.59|2.93|24.0|-9.21|3.37|6.02|115.58|1.72|2.0|124.45|6.0|-6.0|32.0|6.0|-6.27|446.52|1.0|1.0|-5.21|9.89e-07|0.000442|6.14e-06|0.0|6.1e-10|2.72e-07|-0.04082|4.1731|-1770.509465|300.24|0.3809|600.98|0.6541100000000001|0.66615|-1770.217907|0.1409|-0.16871|11.7447|21.0|7.6778|7.6778
5_a27|0.0|0|0|0.0|2|6.823286122000001|0|0|3.2927747860000003|4.727387819|2|0.048947368|1.271687295|0.00991794|-0.013448351|1|-0.250776983|-0.2030237389999999|-0.4982037479999999|0.180356685|0.614205449|0.333977277|0.01695771|8.936508815|10.48961936|0.146821224|77.37301579999999|-0.030385206|-23.6277072|-1.276178645|53.51978325|-16.01263727|38.43699603|0.439066197|2273.906133|449.6149323|1254.531539|-8.438466859|10.98289851|0.7827415529999999|136.2361487|21.59546513|0.016479312|8.684398894|0.0|0.0|1.0|0.0|1.0|3.07|3.11|21.0|-6.22|2.94|2.8|65.6|2.66|0.0|97.55|2.0|-3.61|25.0|4.0|-6.49|331.37|0.0|1.0|-4.01|0.000248|0.0821|9.78e-05|0.0|6.04e-07|0.0002|-0.04554|4.0989|-1083.143246|302.48|0.2448|463.87|0.64548|0.64548|-1082.967639|0.2448|-0.16952|3.5632|3.0|8.5229|8.5229
12g_a31|0.0|1|0|0.0|0|7.765993078999999|1|1|0.0|5.733341277|0|0.0388738739999999|0.0|-0.008464411|-0.082116813|2|0.074878295|-0.0497478109999999|-0.57758443|-0.076150332|0.7983388929999999|0.325789284|0.030961426|19.01411466|152.7424573|0.41728907|256.26669530000004|-0.039059048|-49.45404266|-1.835775276|95.97385383|-23.98704875|97.88920296|0.470244801|2514.363249|357.8560168|1859.940155|-14.73099143|15.28679013|0.887664343|191.2078009|34.8320455|0.02515117|15.44590447|1.0|1.0|1.0|1.0|1.0|3.61|2.51|16.0|-6.45|5.19|3.44|131.36|0.86|1.0|103.26|7.0|-4.92|27.0|5.0|-6.86|384.45|0.0|1.0|-3.79|1.19e-05|0.00457|0.0001629999999999|0.0|3.55e-07|0.000136|-0.03324|3.8349|-1578.846191|323.3|265.0|542.78|0.70068|0.70068|-1578.605452|265.0|-0.15917|2.4038|0.11|6.9586|6.9586
9a_a36|0.0|1|0|0.0|0|7.412764017000001|2|2|0.0|5.351858133|2|0.040166667|0.0|0.0034852859999999|-0.06502499|1|0.160672128|-0.12019672|-0.398235589|-0.019008343|0.79302567|0.204819754|0.0236784079999999|14.47407729|49.52042402|0.1734403769999999|106.0201967|-0.039929147|-40.61536816|-1.956528182|78.37175688|-24.40778806|59.5185754|0.453098452|2682.572663|505.25728260000005|2167.77208|-14.91993116|13.79893984|0.828482664|144.36259840000002|31.95428497|0.019513779|11.92833382|1.0|0.0|0.0|1.0|0.0|4.69|0.0|17.0|-6.28|3.04|2.04|66.4|2.02|1.0|120.94|5.0|-3.71|29.0|5.0|-6.74|382.42|0.0|0.0|-3.99|0.000197|0.0753|0.000102|0.0|5.26e-07|0.0002009999999999|-0.05044|3.8677|-1252.802159|320.56|0.4811|495.18|0.68682|0.68682|-1252.578886|0.4811|-0.15925|7.4992|13.0|7.8861|7.8861
14b_a50|0.0|0|1|0.0|2|7.934155233999999|2|2|4.240438135|5.82008293|2|0.030219907|2.115127752|0.010215823|-0.041169251|2|-0.106938404|-0.1786649189999999|-0.306633966|0.030057537|0.71456262|0.7031402240000001|0.022423099|14.70317076|25.31245624|0.095923652|62.89861413|-0.025558317|-32.9673668|-1.533499045|64.58491917|-16.75898192|47.72661339|0.445384689|2967.872393|592.81677|2984.248708|-10.98912227|11.45638132|0.8030515570000001|237.8403928|26.29763086|0.021820402|14.30797341|1.0|1.0|1.0|1.0|1.0|4.64|3.64|20.0|-6.86|3.72|4.81|66.99|2.32|2.0|128.39|7.0|-4.6|33.0|5.0|-6.5|441.52|0.0|0.0|-4.78|2.51e-05|0.0111|1.6800000000000002e-05|0.0|1.3900000000000001e-07|6.12e-05|-0.02486|5.2834|-1431.068494|304.07|0.1637|533.25|0.55594|0.64303|-1430.72987|0.1373|-0.16874|6.7927|6.58|5.1818|5.1818
34_a47|0.0|0|1|0.0|1|6.842683282|0|0|1.883479676|4.727387819|3|0.03522792|1.741433543|0.003530307|0.078153957|1|-0.208989427|-0.1430639269999999|-0.2829549719999999|0.046668352|0.609110565|0.437215023|0.019723558|10.92238452|31.17423189|0.1739443389999999|96.32577107|-0.029348287|-27.64315244|-1.261976347|62.66739933|-16.25230464|45.23285281|0.45489212|2371.236125|457.4477611|918.6458674|-9.000096143|12.96364153|0.834499257|191.6093987|24.85087647|0.023023142|12.74960652|1.0|1.0|1.0|1.0|1.0|3.19|3.0|21.0|-7.47|3.34|4.52|68.52|1.75|0.0|99.09|4.0|-3.57|26.0|5.0|-6.66|348.38|0.0|1.0|-3.9|0.000267|0.0929|0.000125|0.0|3.36e-08|1.17e-05|-0.0545|4.2077|-1162.4815230000002|318.79|0.2309|436.88|0.6602399999999999|0.69314|-1162.283641|0.1718|-0.16086|6.2235|2.0|8.7|8.7
11a_a31|0.0|1|0|0.0|0|7.773594467000001|1|1|0.0|5.733341277|0|0.044949495|0.0|-0.022093578|-0.019865299|2|-0.149933348|-0.1068420919999999|-0.563537536|0.022073976|0.819138461|0.271818874|0.041435152|20.91187076|258.8577775|0.513245044|259.0291941|-0.056833284|-41.01552988|-1.932331673|97.23036756|-28.68314085|97.560141|0.451795285|2288.9694010000003|245.6599349|1769.346573|-14.47606937|10.5643234|0.8241360790000001|133.6139513|39.01114987|0.031626337|15.96146849|0.0|0.0|1.0|0.0|1.0|3.26|2.16|16.0|-4.65|3.93|2.94|125.57|0.57|0.0|83.12|3.0|-4.81|23.0|6.0|-6.51|329.33|0.0|1.0|-3.79|1.5399999999999998e-05|0.00506|0.000161|0.0|2.22e-05|0.00731|-0.05074|3.8042|-1441.452616|325.92|0.2797|407.76|0.69222|0.69222|-1441.327731|0.2797|-0.15515|8.9667|0.19|6.7212|6.7212
20b_a10|0.0|0|0|0.0|1|7.535296702|1|1|2.103422978|5.4161004020000005|2|0.035818182|1.854149459|0.001965496|-0.013623188|1|-0.049452599|0.019531637|-0.450145946|0.052265135|0.6980623109999999|0.6741049840000001|0.013038163|8.331370518|81.39248686|0.24740823|158.09355980000004|-0.033783202|-36.12803002|-1.85807612|67.46831286|-21.58742537|69.02087825|0.454087415|3085.433676|480.905232|2257.777328|-13.79433873|13.838742600000002|0.8317951020000001|152.3236842|28.34404003|0.0171045989999999|10.92981783|1.0|1.0|1.0|1.0|1.0|3.54|3.15|27.0|-8.93|4.23|5.0|95.92|2.41|2.0|129.73|5.0|-5.22|34.0|5.0|-6.53|447.49|0.0|1.0|-5.09|6.05e-06|0.00271|8.13e-06|0.0|1.1699999999999999e-09|5.26e-07|-0.0578399999999999|5.9354|-1465.62724|317.8|0.2782|482.93|0.3246|669.0|-1465.333983|0.1382|-0.16388|7.7954|1.1|5.9586|5.9586
16h_a32|0.0|1|1|0.0|0|7.765993078999999|0|0|0.0|5.733341277|0|0.039958333|2.075726759|-0.0048042729999999|-0.022634676|3|-0.1234671109999999|-0.123297852|-0.71364354|-0.003188883|0.7619492790000001|0.44308098|0.02096013|13.31708433|70.02855767|0.200808492|127.5843068|-0.038765425|-49.03221545|-1.821974989|90.15529448|-24.62973479|64.87717961|0.459750275|2709.44587|507.7688359|3282.554439|-15.6485794|12.42028916|0.850995852|167.7935207|33.46862873|0.020432929|12.98212548|1.0|0.0|1.0|1.0|1.0|3.61|3.45|19.0|-7.0|5.86|4.6|149.27|1.12|2.0|111.95|7.0|-6.48|28.0|5.0|-6.22|413.52|1.0|1.0|-4.75|3.28e-07|0.000136|1.7800000000000002e-05|0.0|9.89e-08|4.09e-05|-0.05028|3.6182|-1955.99895|342.67|0.2914|556.05|0.70219|0.70219|-1955.772465|0.2914|-0.14972|4.2275|9.0|8.0655|8.0655
