molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|BIC2|SIC2|nFaHRing|RASA|FNSA3|FPSA3|RNCS|RPSA|FNSA4|WNSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
3l_a32|1|1|1|0.0|7.773594467000001|0|1|0.0|-0.003342759|0.0043645509999999|0|0.035643275|-0.039331295|2.259257465|-0.270019992|0.0016954029999999|-0.09393062|-0.107818594|3|0.002942329|-0.068876714|-0.04980249|-0.087213805|0|0.751853889|0.7973741999999999|1|0.8855584879999999|-0.069304303|0.012244965|61.72183119|0.114441512|-0.028831823|-29.90181954|-16.76685351|47.42414825|0.453630671|2453.759435|514.9875423000001|2415.340446|0.211763281|6.414825717|0.8302637909999999|5429.531532999999|-448.5272931|21.27134288|0.011493763|565.7000781|6.6840809960000005|1.0|0.0|3.54|0.35|-7.5|7.34|6.17|2.64|2.0|110.16|1.0|3.0|26.0|3.0|-4.71|1.0|0.0|1.0|5.04|-6.01|0.0003689999999999|0.0|3.16e-08|-0.0529799999999999|3.5319|4.21|-1789.4501510000002|1062.47|351.04|468.81|0.70282|0.70282|-1789.242839|0.2876|-0.14664|3.3955|-1789.298086|5.7721|12.0|7.9208
8c_a12|0|0|0|0.0|0.0|1|1|0.0|0.1948786139999999|-0.055163114|3|0.038787879|-0.106633503|0.0|-0.447739674|-0.004211843|-0.036504737|-0.07003012|0|-0.00160589|-0.1876771789999999|-0.210669119|-0.370782022|2|0.782864175|0.8425863029999999|0|0.840397446|-0.067004282|0.019604202|83.24714315|0.159602554|-0.038245644|-26.55601426|-19.51587692|44.19432689|0.472503372|2190.852814|428.8355831|1245.6132289999998|0.235550168|5.670223821|0.8957467170000001|4610.945152|-398.3402139|25.52931025|0.018855428|390.0159026|9.621493319|0.0|1.0|2.24|0.11|-7.14|2.81|1.59|2.02|0.0|98.07|1.0|3.0|24.0|5.0|-6.44|0.0|1.0|1.0|2.23|-3.72|0.0598|0.0|7.24e-08|-0.06706|4.3598|2.76|-1022.750382|909.19|323.37|402.43|0.53657|0.67318|-1022.613451|0.1355|-0.15571|1.7305|-1022.663298|2.4806|0.04|7.3979
13c_a6|1|0|0|0.0|7.412764017000001|1|1|0.0|-0.046663393|-0.0122495089999999|1|0.040821256|0.049627353|0.0|-0.605286688|-0.003346018|0.054910284|-0.0942387559999999|1|-0.000899678|0.081059709|-0.106686991|-0.174259072|1|0.780680481|0.8353837409999999|0|0.786809832|-0.093635525|0.030547186|157.60887419999997|0.213190168|-0.039875482|-51.54254258|-27.1440571|84.53371376|0.466844407|2880.850692|535.5975578|3135.546462|0.2279674589999999|8.038175951|0.875625075|6204.855629|-979.308309|35.15921372|0.018354398|692.8471883999999|12.49421473|1.0|1.0|2.53|0.16|-9.4|5.38|4.57|1.5|2.0|121.6|1.0|6.0|32.0|5.0|-5.88|0.0|0.0|1.0|3.64|-5.27|0.00229|0.0|3.96e-10|-0.05015|5.992000000000001|4.5|-1389.371325|1217.77|339.5|596.15|0.48478|0.7008800000000001|-1389.122252|0.28|-0.14975|7.7129|-1389.184603|9.2467|73.0|7.1367
13g_a6|1|0|0|0.0|6.842683282|0|0|0.0|-0.0961994219999999|0.004767264|2|0.043020833|0.03536788|1.648997541|-0.381325604|-0.002407131|0.073394284|-0.080022038|1|-0.000644109|0.061423911|-0.12414699|-0.215607882|2|0.774238891|0.832753533|1|0.871972049|-0.074216821|0.017637229|68.57626488|0.128027951|-0.0323525729999999|-44.57717132|-22.52633766|63.95581946|0.444443571|2929.039254|607.1336751|3916.754765|0.264266646|7.968172425|0.7999971709999999|6332.20768|-846.9662551000001|30.61752948|0.017929016|744.1359788|12.48355309|1.0|1.0|2.34|0.12|-10.57|5.41|4.79|1.13|2.0|128.63|0.0|6.0|33.0|5.0|-6.31|0.0|0.0|1.0|3.47|-5.06|0.0038|0.0|2.67e-11|-0.07536|5.9869|3.83|-1386.573241|1253.71|381.82|592.49|0.38325|0.7034100000000001|-1386.3020800000002|0.0105|-0.1327|10.1708|-1386.364067|13.3225|119.0|6.9245
3a_a12|0|0|0|0.0|0.0|1|1|0.0|0.13714555|-0.042445446|2|0.032544803|-0.1231529169999999|0.0|-0.322200517|-0.0025830939999999|-0.062973953|-0.0161799839999999|0|-0.001011111|-0.205054123|-0.072889493|-0.1213636769999999|1|0.7038021990000001|0.759068438|0|0.871985494|-0.07121814|0.009433302|71.11710277|0.128014506|-0.034924502|-21.73969523|-17.08854808|39.46272532|0.462077145|2045.857684|426.6622302|1050.730179|0.2189499039999999|5.924949067000001|0.859002624|4230.717811|-326.0954285|21.87893986|0.015909241|381.0058252|7.784386645|1.0|1.0|2.74|0.05|-7.5|3.43|2.49|3.09|0.0|97.52|1.0|3.0|23.0|3.0|-5.88|0.0|1.0|1.0|2.98|-4.06|0.0263|0.0|3.13e-08|-0.06829|4.2336|3.33|-951.3480023|875.71|332.36|383.08|-0.34688|0.66895|-951.217594|128.0|-0.15328|1.3824|-951.264072|1.9332|194.0|6.7122
11a_a5|1|0|0|0.0|6.605297921|0|1|0.0|-0.165418719|0.052217882|2|0.021060606|-0.052944925|0.0|-0.185262487|0.007993132|-0.1301505359999999|-0.02394636|1|0.007955512|-0.081506|0.003975818|0.006120569|2|0.73344478|0.773417838|0|0.89343434|-0.064565402|0.011860803|61.32301293|0.10656566|-0.026223112|-36.51058972|-18.73644762|54.60662289|0.466436596|2727.027899|638.3599998999999|1170.247903|0.259134725|9.740948724|0.874191508|5756.783268|-803.2329738|25.28995251|0.014482324|835.912531|10.34763929|0.0|1.0|3.68|0.3|-9.93|6.38|6.55|3.05|2.0|128.51|1.0|7.0|32.0|4.0|-4.54|1.0|0.0|1.0|5.16|-6.4|0.000167|0.0|1.18e-10|-0.03694|4.4033|4.83|-1339.802852|1272.7|302.86|578.8|0.6735|0.65363|-1339.493223|0.1838|-0.16735|2.8611|-1339.555805|3.6525|81.0|7.0915
1i_a5|1|0|0|-4.358943904|6.605297921|0|0|0.0|-0.145964178|-0.31059482|2|0.0253888889999999|0.018196138|0.0|-0.279280326|-0.0012491689999999|-0.174016111|-0.003198529|1|-0.000700145|0.059972925|0.001493879|0.004923698|2|0.780175595|0.8436458929999999|0|0.8876055620000001|-0.091178745|0.008291428|201.1526326|0.112394438|-0.03570792|-26.09853285|-19.90145306|55.43870932|0.4697279689999999|2482.831286|494.6981114|942.1618767|0.240540403|7.314842247|0.8858245220000001|5432.586961|-443.6750585|26.20475553|0.0196689|403.396385|10.96226516|1.0|1.0|2.04|0.05|-8.88|5.48|6.37|2.73|2.0|95.49|1.0|4.0|27.0|6.0|-5.73|1.0|0.0|1.0|4.12|-4.97|0.00396|0.0|1.3300000000000002e-09|-0.05729|4.7243|3.58|-1288.322373|957.58|283.08|443.05|0.4571199999999999|0.50107|-1288.210207|0.0207|-0.17945|2.6336|-1288.264271|2.8939|24.0|7.6198
3d_a12|0|0|0|0.0|0.0|1|1|0.0|0.092417272|-0.053022041|3|0.038787879|-0.166233441|0.0|-0.360215148|-0.00259095|-0.002185753|-0.058191686|0|-0.000643935|-0.282667477|-0.1394967999999999|-0.237203828|2|0.7697403429999999|0.82682708|0|0.8547246829999999|-0.066850425|0.011128076|74.39425719|0.145275317|-0.035063929|-25.2986621|-18.01493787|40.06333231|0.472404561|2148.979792|439.1353855|1205.356874|0.22571647|5.786006004|0.89539167|4509.417998|-379.4799315|23.26659057|0.01611886|410.9162081|8.281452338|1.0|1.0|2.71|0.11|-7.51|3.37|2.19|2.26|0.0|100.28|1.0|3.0|24.0|4.0|-6.22|0.0|1.0|1.0|2.67|-3.91|0.0385|0.0|3.08e-08|-0.06842|4.2114|3.1|-1006.704001|918.3|328.71|411.35|0.53114|0.6572100000000001|-1006.556654|0.1583|-0.15387|2.2068|-1006.606666|3.0037|25.0|7.6021
SB431542_a8|1|0|0|0.0|7.535296702|1|1|1.4114120369999998|-0.007805495|-0.1950388569999999|1|0.041909722|0.096884952|0.0|-0.721718925|-0.0075336219999999|-0.029382296|-0.0453332859999999|1|-0.005306541|0.156874293|0.055198015|0.089375589|1|0.762577159|0.8220300859999999|0|0.5653298489999999|-0.128342313|0.034730361|170.1252996|0.434670151|-0.048754953|-44.6389196|-29.18257067|97.60813043|0.476091179|2801.428659|338.38158389999995|1947.072021|0.239171941|7.360028263999999|0.908729075|6203.505123|-803.5005528|38.35632812|0.025179219|529.053307|15.07117296|0.0|0.0|2.75|0.05|-6.76|3.13|2.72|1.9|1.0|109.21|1.0|4.0|30.0|5.0|-7.04|0.0|0.0|0.0|2.58|-4.14|0.0292|0.0|1.74e-07||||||||||||||||79.08|4.1019
11f_a5|1|0|0|0.0|6.605297921|1|1|0.0|-0.251797205|0.022233547|3|0.021060606|-0.083432989|0.0|-0.227966183|0.00722997|-0.178881726|-0.0080939669999999|1|0.008309782|-0.1323098|-0.128153787|-0.203228986|2|0.756843253|0.800575032|0|0.847356138|-0.068361657|0.0221464629999999|70.39517801|0.152643862|-0.022252743|-36.14073513|-15.48735657|62.99140465|0.463183664|2853.401015|589.7388387999999|1125.122028|0.489052404|9.683662007|0.8628345190000001|5969.213977|-614.3924972|30.31104695|0.030351311|753.9168511|21.12375879|0.0|1.0|2.87|0.24|-8.67|4.61|3.53|1.03|1.0|126.79|1.0|7.0|32.0|6.0|-6.99|0.0|1.0|0.0|2.95|-4.26|0.0234|0.0|2.12e-09|-0.03862|4.4523|2.25|-1391.722248|1239.35|299.8|579.1|0.6593600000000001|0.64937|-1391.444853|0.1834|-0.1691|2.1313|-1391.50739|2.9697|12.0|7.9208
