molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|BIC2|SIC2|nFaHRing|RASA|FNSA3|FPSA3|RNCS|RPSA|FNSA4|WNSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
22_a10|0|0|0|0.0|7.535296702|1|1|2.113627059|-0.067641834|-0.017163935|2|0.036101695|-0.026750502|1.880539113|-0.332316729|0.008350227|0.01204992|-0.020475007|1|0.008903905|-0.042831367|-0.129989728|-0.208132084|2|0.747363443|0.79665945|1|0.8698299140000001|-0.053881447|0.016720696|75.58376652|0.130170086|-0.022372463|-39.42279832|-17.4251029|54.98945848|0.422182297|3241.833491|677.4790907|2668.5420940000004|0.435676666|8.84228648|0.730649641|7414.102179|-827.8787647|30.87787063|0.026340252|916.8601445|20.51547079|1.0|1.0|4.14|0.17|-9.37|4.64|5.6|2.8|2.0|139.53|1.0|6.0|36.0|5.0|-6.29|0.0|0.0|0.0|4.26|-5.53|0.0014|0.0|4.27e-10|-0.05712|4.8251|5.65|-1544.203968|1339.48|321.89|602.93|0.4483899999999999|0.6834100000000001|-1543.893507|0.1922|-0.16095|4.8409|-1543.959333|6.5841|1.1|5.9586
8g_a12|1|1|1|0.0|6.580639137|1|1|0.0|0.10205033|-0.029907264|2|0.038347953|-0.038463841|1.714060666|-0.40429396|0.005898773|-0.094550033|-0.040257632|1|0.005405355|-0.068810076|0.068559367|0.122649613|1|0.7475224290000001|0.80546986|1|0.8576253690000001|-0.076856227|0.008910823|84.95000993|0.142374631|-0.042752517|-31.79592789|-23.58177591|47.30807670000001|0.463772637|2506.427441|473.055878|1356.883205|0.09833304|6.882798206|0.864880588|5327.736626|-572.326702|26.15353224|0.007890315|480.0590283|4.352203029|0.0|1.0|2.51|0.1|-8.0|3.31|2.07|2.89|1.0|109.93|1.0|3.0|27.0|5.0|-6.28|0.0|0.0|0.0|2.77|-4.34|0.0163|0.0|9.98e-09|-0.06432|4.2057|3.68|-1154.281986|989.66|332.31|418.41|462.0|0.55027|-1154.121362|0.1601|-0.1520099999999999|2.9986|-1154.173831|4.2131|3715.0|5.43
8b_a12|0|0|0|0.0|0.0|1|1|0.0|0.190292199|-0.1676879319999999|2|0.03977208|0.028584223|0.0|-0.618894925|-0.010117477|-0.036536396|-0.1090955359999999|0|-0.007926474|0.047425677|0.003898807|0.006468729|1|0.7407532059999999|0.792160599|0|0.740926309|-0.1053827859999999|0.011257065|319.0086845|0.259073691|-0.045608374|-39.02494133|-26.39069094|67.49212879999999|0.480938153|2388.888334|428.7273481000001|1437.536303|0.111063646|6.373278096|0.926552694|5217.318476|-702.4489440000001|29.68794201|0.009361504|510.3677388|5.416912474|0.0|1.0|2.57|0.1|-7.45|3.11|1.9|2.23|1.0|110.58|1.0|4.0|27.0|4.0|-6.51|0.0|0.0|0.0|2.51|-4.01|0.0346|0.0|3.56e-08|-0.0589|4.2263|5.11|-1159.365835|1020.47|331.1|460.08|0.53425|0.57773|-1159.188228|127.0|-0.15294|4.2554|-1159.2425119999998|6.1286|263.0|6.58
38_a18|0|0|0|0.0|7.03438793|2|2|0.0|0.059724697|-0.009006798|1|0.035478927|-0.066676644|0.0|-0.448742607|0.000520558|-0.020056674|-0.003893067|0|0.001602741|-0.0993372269999999|-0.074661643|-0.11123356|0|0.719168079|0.751875124|0|0.8310704529999999|-0.076974444|0.00838904|100.7046282|0.1689295469999999|-0.0322355079999999|-52.08807522|-25.65190078|67.92930461|0.4666657999999999|3162.36475|661.3370874|1855.157022|0.119072105|10.98254153|0.874996952|7261.130718|-1510.554181|29.11918324|0.007165119|1228.492038|5.701753365|1.0|1.0|0.0|0.34|-10.33|4.94|4.13|3.7|3.0|160.66|0.0|10.0|38.0|3.0|-5.55|0.0|0.0|1.0|3.64|-6.11|0.000399|1.0|4.68e-11|-0.0483699999999999|3.2241|8.95|-1611.60375|1515.64|384.55|734.93|0.69235|0.69235|-1611.133158|0.5147|-0.13229|1.9877|-1611.206669|2.7244|91.0|7041.0
10_a47|0|0|0|0.0|0.0|0|0|0.0|-0.003570214|-0.166367455|2|0.042276423|-0.169242585|1.329777427|-0.384667159|-0.008120645|0.0814897|0.007193585|0|-0.0065562469999999|-0.349569106|-0.021926603|-0.045289209|2|0.754096463|0.8077565520000001|1|0.841070966|-0.076311525|0.00951788|103.41137940000002|0.158929034|-0.035388634|-26.77924406|-18.9212254|45.89037038|0.411647394|2355.515804|449.6950454|1567.859561|0.198117368|6.277122171|0.699661037|5482.319019|-455.247149|23.5960035|0.014051737|498.0016816|7.51303623|1.0|1.0|2.97|0.09|-8.85|5.12|5.92|3.21|2.0|106.43|1.0|3.0|27.0|4.0|-5.08|1.0|0.0|1.0|4.41|-5.5|0.00114|0.0|1.4199999999999999e-09|-0.0486399999999999|5.7693|4.37|-1188.3744|997.16|332.97|426.55|0.53909|0.69212|-1188.1907199999998|0.2175|-0.15445|1.9281|-1188.244739|2.8795|13.0|7.9
14c_a22|0|0|0|0.0|6.842683282|0|0|1.596256692|-0.134137693|-0.018518519|2|0.038137255|-0.026986769|1.568396937|-0.298463715|0.003784292|-0.023927419|0.006275578|1|0.004362505|-0.047249795|-0.0917078119999999|-0.160566657|2|0.773044788|0.8353837409999999|1|0.866576459|-0.067475189|0.024569649|36.22825261|0.133423541|-0.030217952|-41.50359456|-21.75466672|66.26540251|0.462147828|3079.4894480000003|623.8702703|2092.7515510000003|0.33831271|8.626337592|0.8592469290000001|6882.45|-830.0718911|32.87756477|0.024813755|731.8178649|17.86404838|0.0|1.0|2.85|0.08|-9.28|3.9|4.18|1.08|1.0|128.77|1.0|6.0|34.0|6.0|-6.96|0.0|0.0|0.0|2.98|-4.62|0.0107|0.0|5.269999999999997e-10|-0.07399|5.7361|4.79|-1460.571156|1241.55|337.45|575.8|0.3078|0.69113|-1460.324494|0.0694|-0.15408|7.3824|-1460.38772|9.04|153.0|6.8153
1o_a5|1|0|0|0.0|6.605297921|0|0|0.0|-0.266637757|0.033105871|2|0.025987654|-0.033273504|0.0|-0.1079910069999999|0.0057302559999999|-0.102739602|-0.008511304|1|0.0051989459999999|-0.05876042|0.038275248|0.06759341|2|0.78144982|0.85693939|0|0.88430372|-0.079346457|0.01325562|167.3051756|0.11569628|-0.028770932|-21.04383087|-15.45942012|49.75766514|0.470590799|2238.291862|475.1609233|833.537568|0.300086449|7.522366517000001|0.8888980340000001|4572.818263|-315.657463|22.08761368|0.020380352|393.5487205|10.95092849|1.0|1.0|2.2|0.0|-8.11|4.48|4.07|1.23|0.0|95.2|1.0|3.0|25.0|4.0|-6.3|0.0|0.0|1.0|2.95|-4.08|27.0|0.0|7.85e-09|-0.07037|4.5011|2.66|-1043.536121|938.37|297.38|443.88|0.4988899999999999|0.5492100000000001|-1043.422345|0.0071|-0.1693599999999999|4.7435|-1043.472984|5.4919|35.0|7.4559
8b_a8|1|0|0|0.0|7.535296702|1|1|1.42474537|-0.023718767|-0.182065125|1|0.040054466|0.019958073|0.0|-0.733216119|-0.0055544409999999|-0.0422693659999999|-0.03443232|1|-0.003593429|0.031896755|0.049587543|0.079250224|1|0.778853499|0.8354024290000001|0|0.558354653|-0.130159955|0.032440348|172.84152849999998|0.441645347|-0.047457424|-43.64473805|-29.07602182|99.62129245|0.4835310479999999|2863.095568|342.0904577|1821.324722|0.218545278|7.507665421|0.936224813|6471.7604200000005|-872.8947609999999|37.20755791|0.022425382|589.263087|13.73949201|0.0|0.0|2.93|0.09|-7.13|3.65|3.03|2.12|1.0|114.18|1.0|4.0|31.0|5.0|-6.87|0.0|0.0|0.0|2.9|-4.43|0.0153|0.0|7.33e-08|-0.06114|4.5819|6.41|-1407.052256|1098.17|375.8|488.56|0.57234|0.70195|-1406.829227|0.1515|-0.13807|5.8389|-1406.887058|7.4497|5.08|5.2941
12ba_a36|1|0|0|0.0|7.412764017000001|2|2|0.0|-0.090865777|0.026411489|2|0.040566449|0.087201747|0.0|-0.423472625|-0.002123045|0.003750685|-0.011949092|1|-0.000621302|0.159880159|-0.091676619|-0.168084618|1|0.8256014690000001|0.890675195|0|0.849738126|-0.083210415|0.0246090489999999|100.798163|0.150261874|-0.037526591|-49.20258616|-25.28122447|72.63670824|0.49229954|3035.390784|572.4586103999999|2492.5731100000003|0.293104216|7.409667253999999|0.969665341|6722.60947|-885.6465508|35.76372225|0.023797439|688.1986357999999|16.03205543|1.0|0.0|0.0|0.12|-6.72|2.79|1.63|0.74|1.0|133.18|1.0|5.0|33.0|6.0|-7.04|0.0|0.0|0.0|1.57|-4.25|0.0244|0.0|1.91e-07|-0.08446|5.2506|2.79|-1417.426327|1187.56|411.71|547.82|0.3989999999999999|0.70432|-1417.187763|0.0009|-0.12587|3.1996|-1417.249741|4.5448|21.0|7.6778
2_a47|0|0|0|0.0|0.0|0|0|0.0|-0.002024001|-0.13117284|2|0.027058824|-0.004557357|1.454085483|-0.3581612489999999|-0.007479445|0.107297513|-0.013580367|0|-0.006079384|-0.007299676|-0.017113434|-0.0274111779999999|2|0.671819147|0.728066943|1|0.847324011|-0.083455669|0.008511123|99.5619537|0.152675989|-0.036790752|-23.74109633|-18.32875817|45.81686991|0.433425706|2105.761386|422.1277419|1242.745585|0.215021885|5.308758149|0.764993595|4559.060763|-356.116445|23.34938746|0.016376351|392.6099255|8.158522603|1.0|1.0|2.54|0.0|-7.82|3.7|4.75|2.39|1.0|96.54|1.0|3.0|24.0|3.0|-5.0|0.0|1.0|1.0|3.58|-5.11|0.00243|0.0|1.51e-08|-0.05285|3.7181|3.49|-1010.505024|902.07|333.46|371.19|0.69102|0.69102|-1010.364507|0.2143|-0.15446|2.1266|-1010.412694|3.1004|631.0|6.2
14f_a23|0|1|1|0.0|7.423568444|0|0|3.366063739|-0.002304087|-0.027380305|2|0.04255787|0.056215377|0.745818086|-0.373510774|0.010561248|-0.0555907109999999|-0.041351617|2|0.010508236|0.101910723|-0.110069159|-0.199540201|2|0.796412133|0.854683662|1|0.894162392|-0.059927056|0.027134452|96.47955427|0.105837608|-0.031450478|-38.58595734|-21.26277654|58.85981824|0.478733036|3014.916135|604.5178506|2322.5224120000003|0.334221706|8.124287407|0.918402793|6768.918745|-733.1331894|31.93672236|0.025162423|683.7405759|17.01160115|0.0|0.0|3.61|0.09|-7.51|3.42|4.03|2.72|2.0|126.78|1.0|6.0|32.0|5.0|-6.47|0.0|0.0|0.0|3.46|-5.02|0.0042299999999999|0.0|3.11e-08|-0.07163|5.8184|3.23|-1744.429532|1210.19|346.78|572.35|0.60917|0.6733399999999999|-1744.182678|0.1699|-0.1458|6.3534|-1744.2443850000002|9.1089|2.0|8.6459
18a_a25|0|0|0|0.0|6.842683282|0|0|1.875390684|-0.151473962|-0.019008377|2|0.038167849|0.062229409|2.050257213|-0.170732995|0.007643634|-0.018419483|-0.019985937|1|0.007325341|0.106305991|-0.037072518|-0.06333068|2|0.7385460309999999|0.792935475|1|0.931628386|-0.055926422|0.0095281269999999|75.74077952|0.068371614|-0.03097773|-34.36707071|-20.53845469|43.39683067|0.493301255|2857.88027|617.676232|2331.966135|0.182927961|7.39539242|0.973559258|6523.923911999999|-721.7084848|25.136651|0.011486699|759.4953883|7.615762647|1.0|1.0|3.43|0.08|-9.78|5.89|5.72|2.88|2.0|133.85|1.0|6.0|32.0|3.0|-5.58|0.0|0.0|1.0|4.53|-5.77|0.000744|0.0|1.67e-10|-0.05591|5.4965|4.51|-1675.2501519999998|1229.09|390.98|556.26|0.2834|0.5274399999999999|-1674.982248|0.0027|-0.15732|3.1313|-1675.04368|4.3839|94.0|7.0269
4_a3|0|0|0|0.0|6.823286122000001|0|0|0.0|0.2122551539999999|-0.161259999|1|0.035345345|-0.08769805|1.882124381|-0.325334256|-0.008407895|0.057349653|0.0248526079999999|1|-0.007022144|-0.208888686|0.053425134|0.127253753|1|0.721302096|0.785381728|1|0.74053397|-0.110345083|0.008006786|235.6982345|0.25946603|-0.039478171|-22.30593113|-18.76802992|56.26480013|0.415852758|2142.972568|352.05186289999995|1548.626215|0.133023729|5.05182773|0.711897153|4885.093366|-312.2830359|21.6476858|0.0100954959999999|347.9532383|4.799426464|1.0|1.0|2.6|0.0|-7.53|5.3|5.17|3.07|1.0|92.65|1.0|2.0|23.0|3.0|-5.21|0.0|0.0|1.0|4.09|-5.09|0.00264|0.0|2.950000000000001e-08|-0.0584299999999999|5.9341|3.53|-1355.303098|858.45|356.58|338.33|0.3809|0.6896|-1355.192416|119.0|-0.14983|2.3542|-1355.239905|3.1409|1259.0|5.9
AKLKII_a46|1|0|0|0.0|6.605297921|0|0|0.0|-0.206312209|-0.030657|3|0.0386379929999999|-0.008897473|1.744747103|-0.129865138|0.006821053|0.156485495|0.036226415|1|0.006731579|-0.015805561|-0.037291767|-0.066245471|3|0.758995484|0.8264237520000001|1|0.837641394|-0.071827497|0.010384859|160.85204040000002|0.162358606|-0.033194303|-20.09682339|-15.74102977|38.98582025|0.47999819|2000.353437|397.2168972|792.7439217|0.2278604669999999|5.83938898|0.92307023|4110.764451|-261.2587041|20.38625028|0.015584114|314.0966684|7.390123534|1.0|1.0|1.6|0.06|-7.21|3.9|3.39|1.18|0.0|85.32|1.0|2.0|22.0|4.0|-6.5|0.0|1.0|1.0|2.45|-3.58|0.0764|0.0|6.18e-08||||||||||||||||181.0|6.7423
9d_a40|0|0|0|0.0|7.515889085|0|0|1.839557351|0.007834411|-0.022152094|0|0.045555556|0.153818743|0.89023715|-0.146575228|0.011823978|0.15723868|-0.137738587|2|0.010101686|0.259969752|0.0116099239999999|0.019621984|0|0.7572844040000001|0.8221990920000001|1|0.941627612|-0.060319196|0.010749826|108.1468558|0.058372388|-0.031613312|-19.03015798|-16.29154841|36.6245851|0.467275972|2109.570685|485.2567189|336.6614768|0.133579429|8.023385851|0.87714454|4401.742338|-285.4523697|18.80327978|0.0087217999999999|346.9019309|4.49467719|1.0|0.0|3.63|0.06|-7.0|5.2|5.09|4.07|1.0|91.71|1.0|2.0|22.0|2.0|-4.62|0.0|1.0|1.0|4.63|-5.65|0.000727|0.0|1.01e-07|-0.06906|4.6073|4.7|-1677.540538|892.69|370.51|446.84|0.4557199999999999|0.69986|-1677.429981|0.4025|-0.13875|6.2032|-1677.48058|7.9502|107.0|6.9706
7e_a8|1|0|0|0.0|7.05012252|0|0|1.3496955309999998|-0.150447714|-0.052939815|0|0.043758865|-0.03633378|0.0|-0.289324602|0.0024398329999999|-0.11032771|-0.0446343779999999|1|0.002669179|-0.075638618|0.034227147|0.07125309|0|0.732001738|0.790500031|0|0.8291560379999999|-0.08608941|0.0215993429999999|86.03149870000001|0.170843962|-0.037446454|-31.72369068|-22.39586026|64.40615805|0.4742828629999999|2605.914474|495.8990914|2032.501296|0.223998448|7.70387217|0.902163597|5808.479788000001|-602.7501229|28.86058693|0.018708212|519.5762494|11.18895001|1.0|0.0|3.38|0.04|-8.29|5.16|4.94|3.54|2.0|108.43|1.0|4.0|29.0|4.0|-5.43|0.0|0.0|1.0|4.31|-5.41|0.00149|0.0|5.07e-09|-0.0697|3.8142|6.32|-1300.467069|1060.05|383.1|544.55|0.6998300000000001|0.70177|-1300.271093|0.1522|-0.13577|9.0006|-1300.327213|11.4436|35.1|4.4547
1c_a5|1|0|0|0.0|6.605297921|0|0|0.0|-0.268536978|-0.006491037|2|0.0248765429999999|-0.080321049|0.0|-0.085301064|0.008031558|-0.228971551|-0.058823529|1|0.007357977|-0.133677441|0.034752304|0.0578378779999999|2|0.7595197290000001|0.821309592|0|0.88631419|-0.068062282|0.008349498|160.5407184|0.11368581|-0.0281385329999999|-18.41507338|-14.3968489|39.09545876|0.476413155|2105.8969850000003|453.4753671|873.709445|0.246972732|6.063350238|0.909902834|4387.398857|-294.64117410000006|19.11862892|0.0153811389999999|409.0289917|7.869633359|1.0|1.0|2.09|0.05|-8.41|4.99|4.51|2.13|0.0|95.45|1.0|3.0|24.0|3.0|-5.77|0.0|1.0|1.0|3.43|-4.45|0.0111|0.0|3.87e-09|-0.03965|4.8783|3.17|-990.5931502|929.31|274.99|410.52|0.4444899999999999|0.53838|-990.467026|0.1076|-0.18719|1.7105|-990.516371|2.6801|3981.0|5.4
4b_a46|0|0|0|0.206072846|7.825245291|1|1|2.189591837|-0.155670183|-0.022119857|2|0.047736111|-0.082722572|0.0|-0.058945144|0.012332859|-0.135121207|-0.111103941|1|0.011806162|-0.128843936|-0.079238184|-0.123416853|2|0.7306307590000001|0.768651645|0|0.935245062|-0.0524080009999999|0.007568202|7.986637869|0.064754938|-0.0229342729999999|-20.89467173|-12.50898928|32.7126858|0.428987199|2105.172229|510.1086157|1750.333702|0.189531974|5.76401157|0.751274223|4681.895329999999|-334.31474760000003|15.43427855|0.007963679|538.4165208|4.343611349|1.0|0.0|3.03|0.38|-7.2|4.69|4.77|2.58|1.0|101.7|1.0|2.0|25.0|3.0|-5.67|0.0|1.0|1.0|3.76|-4.63|0.00782|0.0|6.38e-08|-0.02729|4.5515|3.98|-1033.535029|1020.9|272.4|508.79|0.68682|0.68682|-1033.3243619999998|0.1784|-0.19082|3127.0|-1033.378455|3.7571|548.0|6.2612
13f_a6|1|0|0|0.0|6.842683282|0|0|0.0|-0.088329567|-0.008507023|2|45.0|0.04505613|1.651047524|-0.381170169|-0.003356527|-0.071478789|-0.049928822|1|-0.001446486|0.079490516|-0.126749697|-0.223618825|2|0.77199166|0.834167942|1|0.863222493|-0.073352505|0.018554018|62.42897239999999|0.136777507|-0.032802223|-41.92004677|-22.02995852|61.72438096|0.401838426|2869.925064|579.7398537|3253.287533|0.279288145|9.050440345|0.6717890999999999|6128.208571|-754.5608419|30.56694343|0.0196449239999999|676.2770877|13.19352214|1.0|1.0|2.21|0.08|-10.18|5.01|4.53|0.92|1.0|123.82|0.0|5.0|32.0|5.0|-6.52|0.0|0.0|1.0|3.19|-4.78|0.00688|0.0|6.59e-11|-0.07786|4.8413|3.36|-1347.266914|1202.78|394.98|568.41|0.49643|0.70541|-1347.018087|0.0048|-0.12805|10.8469|-1347.0794119999998|13.9612|42.0|7.3768
3f_a32|1|1|1|0.0|7.773594467000001|0|0|0.0|0.0067550119999999|-0.0434359079999999|0|0.042380952|-0.062954205|2.227330929|-0.275173181|0.001276735|-0.113189563|-0.110286539|3|0.002565215|-0.112493266|-0.074808287|-0.133675401|0|0.820782305|0.871865543|1|0.874026684|-0.073433055|0.011897886|47.97543149|0.125973316|-0.030139709|-30.95210106|-16.99267001|48.1093075|0.435176082|2273.466801|492.7734095|2130.756016|0.21080172|6.153728636|0.770463268|4993.667711|-402.3773138|21.53155987|0.011659458|475.3634141|6.573564628|1.0|1.0|3.31|0.28|-7.31|7.18|5.63|2.18|2.0|102.66|1.0|4.0|24.0|3.0|-5.03|0.0|0.0|1.0|4.63|-5.4|0.0014|0.0|4.89e-08|-0.05315|3.5569|3.92|-1712.034952|1006.92|348.58|488.74|0.70255|0.70255|-1711.863611|293.0|-0.1474599999999999|3.4678|-1711.9193289999998|5.7161|9.0|8.0458
9_a47|0|0|0|0.0|0.0|0|0|0.0|0.00410268|-0.1789147139999999|2|0.037492877|-0.043270202|1.323246814|-0.382556052|-0.009607222|0.022031244|0.045804989|0|-0.007880155|-0.091848897|-0.021556658|-0.045757939|2|0.792070785|0.853035126|1|0.805149969|-0.084368438|0.009540986|107.3271659|0.194850031|-0.036925422|-26.52703503|-19.3171225|49.12766732|0.482896681|2292.652212|421.2052248|1333.091472|0.209348023|5.653392499|0.93384951|5212.504394|-424.4325604|24.43189048|0.015793737|442.7664664|8.262317504|1.0|1.0|2.78|0.05|-8.47|4.61|5.61|2.99|1.0|101.46|1.0|3.0|26.0|4.0|-5.26|0.0|0.0|1.0|4.09|-5.2|0.00218|0.0|3.4000000000000003e-09|-0.05037|5.7429|4.06|-1149.055456|959.59|333.44|406.35|0.3885099999999999|0.69084|-1148.896866|0.2208|-0.1545099999999999|2.2966|-1148.949486|3.4815|25.0|7.6
12ad_a36|1|0|0|0.0|7.412764017000001|2|2|0.0|-0.040810025|-0.073048351|2|0.040787037|0.046496301|0.0|-0.649957196|-0.001148437|-0.0072527669999999|0.010723827|1|0.000906224|0.077659878|-0.136151085|-0.227404687|1|0.832674224|0.8846605|0|0.760267769|-0.082404548|0.030769062|94.12528108|0.239732231|-0.0365657189999999|-54.02363038|-25.88878839|80.12771975|0.477102332|3041.082692|538.2749789|2474.175727|0.343592539|8.770308295|0.912420081|6569.653402|-1026.448977|39.44011905|0.028968808|735.3783268|20.51012207|1.0|0.0|0.0|0.17|-6.62|2.7|1.67|1.89|1.0|135.03|1.0|7.0|33.0|6.0|-7.18|0.0|0.0|0.0|1.76|-4.08|0.0367|0.0|2.42e-07|-0.05406|5733.0|4.5|-1460.794632|1236.64|321.93|588.2|0.27316|0.67215|-1460.5468529999998|0.2532|-0.15638|5.3349|-1460.610659|6.8996|17.0|7.7696
12t_a30|0|0|0|0.0|7.412764017000001|2|2|0.0|0.073057637|-0.097216874|2|0.044197531|-0.0596036729999999|0.0|-0.411045472|-0.002544958|-0.0682882559999999|-0.04950715|1|-0.001131023|-0.158448053|-0.0546637159999999|-0.145315868|1|0.83236194|0.889479916|0|0.696413582|-0.090535776|0.018862708|88.42093081|0.303586418|-0.037159417|-42.80050261|-24.17113783|71.1605835|0.445760296|2976.648597|452.99711|2479.787504|0.254294117|7.957774504|0.804273481|6617.834146|-770.409047|32.41376848|0.020029588|616.2856203|13.02867425|1.0|0.0|0.0|0.14|-7.16|4.67|3.74|3.58|2.0|127.19|1.0|5.0|31.0|6.0|-6.06|0.0|0.0|0.0|3.21|-5.17|0.00291|0.0|6.900000000000002e-08|-0.05542|5.0693|4.32|-1774.208418|1139.2|349.67|527.87|0.33647|0.6842600000000001|-1774.0165149999998|0.1561|-0.15029|2.6784|-1774.077985|3.2145|9.0|8.0496
12_a4|0|0|0|0.0|7.535296702|1|1|2.070952433|-0.1494133309999999|-0.271149771|2|0.0381179139999999|-0.0334644329999999|1.587386096|-0.113938738|0.005795666|-0.093414896|0.028152112|1|0.009024784|-0.055590089|-0.051501982|-0.085553511|2|0.8157155359999999|0.8749408470000001|1|0.805238097|-0.070256284|0.01168879|15.80191019|0.194761903|-0.025916226|-26.30835499|-15.38009964|48.6306683|0.470780296|2927.48584|477.8721263000001|1962.933988|0.282227427|6.223583758999999|0.889574393|6390.233612|-447.2420348|21.42753878|0.015603795|608.4548423|9.260141177|1.0|0.0|2.94|0.23|-7.84|3.69|4.98|2.17|1.0|113.02|1.0|4.0|29.0|5.0|-6.84|0.0|0.0|1.0|3.3|-4.33|0.0188|0.0|1.45e-08|-0.06898|4.8592|6.12|-1617.826064|1101.33|325.57|503.28|0.63967|0.68825|-1617.57796|0.0464|-0.16224|7.8701|-1617.634733|10.1971|9.29|5032.0
47i_a18|0|0|0|0.0|7.03438793|1|1|0.0|0.053794607|-0.066917145|0|0.037484277|-0.037689885|0.0|-0.440488042|-0.000919158|0.073977454|-0.040514277|0|0.000427479|-0.057689282|-0.106018078|-0.162274487|0|0.744472118|0.7842882870000001|0|0.8030751740000001|-0.0780255879999999|0.009745543|72.81110823|0.196924826|-0.035256027|-43.46880696|-24.55535669|61.13143233|0.487446923|2795.907966|559.3312455|1333.332089|0.139131409|9.573882864|0.951017454|6353.6617320000005|-1043.251367|28.52393145|0.009393984|855.7438937000001|6.542785417999999|1.0|1.0|0.0|0.22|-8.98|3.28|2.8|2.74|3.0|134.83|1.0|8.0|33.0|3.0|-6.36|0.0|0.0|1.0|2.5|-4.78|0.00735|0.0|1.04e-09|-0.05062|3.2321|7.37|-1416.233978|1297.7|383.61|664.78|0.69175|0.69175|-1415.875678|0.5085|-0.13237|2.7749|-1415.944522|3.5235|19.0|7.7212
7b_a8|1|0|0|0.0|7.535296702|1|1|1.4628217119999998|-0.119760914|-0.038810124|1|0.040873016|-0.024156447|0.0|-0.4829936279999999|0.002074537|-0.052309137|-0.0254956129999999|1|0.003191529|-0.039357491|-0.021509048|-0.035044152|1|0.7812177770000001|0.8453887859999999|0|0.7223476129999999|-0.101439013|0.033167971|145.0783004|0.277652387|-0.041332642|-35.90168309|-24.75721974|80.62622045|0.4787988|2776.185773|432.6681725|1780.952171|0.246064343|7.698000901|0.918644854|6185.0105140000005|-682.1319788|32.83731114|0.022982731|545.9267515|13.76608164|0.0|0.0|3.37|0.09|-7.65|4.48|3.8|2.23|2.0|110.8|1.0|3.0|30.0|5.0|-6.15|0.0|0.0|1.0|3.5|-4.94|0.00454|0.0|2.25e-08|-0.06833|4.5945|5.51|-1330.595067|1067.73|380.32|506.21|0.44725|0.7025100000000001|-1330.392289|139.0|-0.13639|9.9463|-1330.448193|12.7344|13.53|4.8687
3e_a32|1|1|1|0.0|7.773594467000001|0|0|0.0|0.015619823|-0.058503168|0|0.044949495|-0.057366352|2.220794149|-0.275255791|0.000655875|-0.114649277|-0.080731823|3|0.002004382|-0.1046390059999999|-0.076494363|-0.1395294259999999|0|0.8046468659999999|0.85921771|1|0.8681696109999999|-0.073411249|0.0124235339999999|47.09895162|0.131830389|-0.030786645|-29.05885545|-16.59123638|46.25723848|0.4513338939999999|2212.661182|467.865447|1732.3689949999998|0.224744634|5.863649531|0.822602107|4827.877259000001|-348.70626539999995|21.40099522|0.012891628|421.3548777|6.94742943|1.0|1.0|3.04|0.24|-6.92|6.8|5.24|1.94|1.0|97.86|1.0|3.0|23.0|3.0|-5.2|0.0|0.0|1.0|4.3|-5.18|0.00225|0.0|1.2099999999999998e-07|-0.0534399999999999|3.5589|3.52|-1672.722302|956.67|348.38|456.76|0.7025399999999999|0.7025399999999999|-1672.576776|0.2914|-0.14754|3.4537|-1672.62984|5.6928|8.0|8.0862
