molecula|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|AATSC7i|MATS1i|AATSC1i|GATS1are|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Heavy atom count|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
12c_a36|1|0|3.447900368|0.0|0|7.412764017000001|2|2|0.0|-0.087096843|5.351858133|2|0.040899471|0.085843909|0.0|0.0005016269999999|-0.0621599059999999|-0.056994595|0.146546059|-0.103922055|-0.177407665|0.8941919290000001|0.8741648479999999|0.8065052890000001|0|0.840733512|-0.073370864|-0.105624703|0.462597812|0.019582215|-47.12722334|60.79111287|102.2992907|-0.038024893|-43.57746274|8.079011794|0.75500974|-1.901244658|-30.27053327|80.22754474|59.70517794|0.473610011|2785.47514|-1221.198398|2365.641348|0.24499026|6.772454418|6256.172329|32.34920911|0.019278991|-327.5932797|629.5017194000001|12.38318928|0.0|4.74|17.0|3.35|2.54|69.2|0.0|128.76|0.0|5.0|30.0|0.0|1.0|2.34|-4.59|3.64e-05|2.55e-05|0.0106|3.31|0.0|6.65e-08|-0.04992|3.8436|-1692.540795|-1692.511019|1137.55|322.58|322.58|0.68913|-1692.312906|0.3927|4.9812|0.02977602|9.0|8.0458|8.0458
13g_a6|1|0|3.457632039|0.0|0|6.842683282|0|0|0.0|-0.0961994219999999|4.727387819|2|0.043020833|0.03536788|1.648997541|-0.002407131|0.073394284|-0.080022038|0.061423911|-0.12414699|-0.215607882|0.836982172|0.832753533|0.789769968|1|0.871972049|-0.074216821|-0.091949419|0.2141642839999999|0.017637229|-51.67543048|68.57626488|89.14285747|-0.0323525729999999|-44.57717132|8.550546653|0.7357333540000001|-1.747038966|-35.98038956|76.50577593|63.95581946|0.444443571|2929.039254|-1216.422234|3916.754765|0.264266646|7.968172425|6332.20768|30.61752948|0.017929016|-328.2712049|744.1359788|12.48355309|1.0|3.61|27.0|5.41|4.79|103.17|0.0|128.63|0.0|6.0|33.0|0.0|1.0|3.47|-5.06|2.77e-06|8.8e-06|0.0038|3.7|0.0|2.67e-11|-0.07536|3.2472|-1386.611265|-1386.573241|1253.71|381.82|207.09|0.7034100000000001|-1386.3020800000002|0.0105|10.1708|0.03802398|119.0|6.9245|6.9245
17_a15|0|0|0.0|0.0|0|0.0|0|0|0.0|-0.046866421|0.0|2|0.036595745|-0.033968088|0.0|0.0016674189999999|-0.032903349|-0.0141953639999999|-0.052628162|-0.170008473|-0.263401148|0.769376831|0.76362781|0.740986227|0|0.880459235|-0.052869016|-0.079844675|0.605886597|0.012890299|-40.50376584|34.35335309|91.58201681|-0.027065991|-46.86345493|7.56573889|0.653207369|-1.596893495|-31.03055741|77.82445248|50.37922222|0.474165158|2852.085573|-1223.4046460000002|2104.883413|0.346792631|7.967418828|6352.266784|31.74439379|0.0217385279999999|-234.74904|822.8625688|16.654220199999997|1.0|3.63|24.0|4.89|6.0|67.35|0.0|131.36|0.0|7.0|33.0|1.0|1.0|4.44|-5.65|1.19e-06|2.26e-06|0.00099|4.78|0.0|1.9199999999999998e-10|-0.03936|3.8006|-1413.897695|-1413.857182|1298.37|326.22|299.04|0.7045100000000001|-1413.559128|0.0377|5.1268|0.04051306|12.0|7.9208|7.9208
19_a15|0|0|0.0|0.0|0|0.0|0|0|0.0|0.156105985|0.0|1|0.040555556|0.037722611|0.0|-0.012350591|-0.04003124|-0.032407407|0.060683674|-0.0283109839999999|-0.045543362|0.7981860159999999|0.770451673|0.7358168620000001|0|0.691069123|-0.0946599869999999|-0.112106433|0.355677322|0.00527267|-54.70558911|61.63983265|178.5363184|-0.042351319|-37.44217335|1.761006946|0.922135562|-1.905809364|-31.61527447|68.10965742|57.75275299|0.405429114|2625.952212|-1101.399091|1857.369806|0.077864438|6.10227122|5417.777463|26.54223128|0.005747326|-487.9183964|490.1808545|3.321475588|1.0|2.99|18.0|2.36|4.96|102.69|0.0|101.22|0.0|5.0|26.0|0.0|1.0|2.88|-4.39|7.56e-06|4.1200000000000005e-05|0.0152|3.29|0.0|7.28e-08|-0.0372399999999999|4.1742|-1523.404372|-1523.361214|1030.77|297.03|297.03|0.68945|-1523.196562|0.4895|6.7515|0.04315771|72.0|7.1427|7.1427
12am_a36|1|0|3.340519946|-4.723487246|0|7.412764017000001|2|2|0.0|0.088482802|5.351858133|2|0.044036281|0.122824831|0.0|-0.011700732|-0.050505733|-0.037654321|0.345949079|-0.1187503719999999|-0.3344729369999999|0.647732719|0.885733922|0.624142499|0|0.814986544|-0.091472759|-0.118101664|0.305015372|0.017590648|-63.19394154|128.69607109999998|127.81651770000002|-0.045928425|-56.3667958|8.395550408|0.788334835|-2.480134939|-43.65752487|95.53118838|75.34643812|0.484558903|3230.6292780000003|-1713.4008440000002|2603.072527|0.211665165|8.772646622|7238.033439|40.24894481|0.020179019|-398.3921535|672.4630346|13.94067198|0.0|4.81|17.0|3.31|4.04|78.43|0.0|130.43|0.0|7.0|34.0|0.0|0.0|2.65|-5.07|6.26e-06|8.6e-06|4.0|3.86|1.0|7.24e-08|-0.0569799999999999|3.8606|-1645.205296|-1645.169789|1206.77|321.15|236.99|0.6805100000000001|-1644.952145|0.2987|5.9258|0.03550681|0.06|7.2218|7.2218
12w_a36|1|0|3.3131307480000003|-4.750262163|0|7.412764017000001|2|2|0.0|0.081390556|5.351858133|2|0.041555556|0.041058884|0.0|-0.011700732|-0.041402825|-0.010726574|0.115646674|-0.1187503719999999|-0.3344729369999999|0.647732719|0.8792981679999999|0.624142499|0|0.828363244|-0.086826396|-0.111267166|0.532980165|0.021104445|-62.34080876|112.947763|123.23411609999998|-0.041210062|-57.35989379|10.87965823|0.70536279|-2.225343322|-44.76031023|99.51883498|77.49366829|0.4672300679999999|3230.870697|-1597.782567|2602.5207|0.29463721|8.365472166|7418.252264|41.94801097|0.0273396629999999|-294.8983941|672.4630346|19.62970663|0.0|4.82|17.0|3.31|4.04|78.43|0.0|130.43|0.0|7.0|34.0|0.0|0.0|2.65|-5.07|6.26e-06|8.6e-06|4.0|3.86|0.0|7.24e-08|-0.05326|3.8881|-1645.202839|-1645.169951|1198.72|318.88|318.88|0.69466|-1644.953222|0.4508|5043.0|0.0328886|23.0|7.6383|7.6383
4c_a49|0|0|0.0|0.0|1|7.535296702|1|1|2.102052126|-0.048954892|5.4161004020000005|2|0.03583878|-0.099764463|1.78683516|0.001379959|-0.102999091|0.006194124|-0.163476035|-0.001005604|-0.001647802|0.7745214140000001|0.826523164|0.752601535|1|0.76159824|-0.087753156|-0.086290519|0.407675441|0.012079228|-56.5385923|82.02101639|153.60017230000005|-0.029809452|-35.82016427|5.014223225|0.724053828|-1.639519861|-36.42732137|66.77901229|64.32113331|0.473304159|2719.702873|-1056.328332|1683.872161|0.275946172|8.474369008|6046.668361|26.5256103|0.0173567219999999|-288.71184960000005|707.2397315000001|11.182784300000002|1.0|3.49|21.0|3.55|3.19|98.72|0.0|120.43|0.0|7.0|31.0|0.0|1.0|2.6|-3.58|0.000314|0.000265|109.0|1.81|0.0|1.07e-08|-0.0623299999999999|3.8067|-1332.647233|-1332.607539|1199.04|325.7|216.0|0.67789|-1332.336755|0.0821|3.4931|0.03969431|255.0|6.5935|6.5935
13_a12|0|0|0.0|0.0|0|0.0|0|0|0.0|0.202052156|0.0|2|0.037948718|-0.21832579|0.0|0.000830398|-0.083760082|0.021322992|-0.362308767|-0.169387652|-0.281096572|0.845823047|0.7300173240000001|0.804066411|0|0.90006391|-0.058167326|-0.092483398|0.122164874|0.008188151|-28.51381164|64.74666684|48.98899535|-0.034993718|-22.2236882|1.96760628|0.8829921740000001|-1.2947675790000002|-13.97756285|48.99243638|32.52766981|0.466560112|1812.788134|-634.6992622|664.9830294|0.117007826|6.06407675|3647.657976|19.42716439|0.0074597119999999|-375.4880089|327.9594923|3.656774794|1.0|2.7|18.0|3.63|3.9|50.7|0.0|84.74|0.0|3.0|21.0|0.0|1.0|3.22|-4.2|5.520000000000001e-05|6.3e-05|0.0174|3.51|0.0|7.26e-08|-0.04445|3.9329|-876.3661620999999|-876.3370809|867.79|315.25|273.31|0.64974|-876.209109|0.0155|1.3023|0.0290811829999999|93.0|7.0315|7.0315
12_a3|0|0|0.0|0.0|0|6.823286122000001|0|0|0.0|0.167987916|4.727387819|2|0.042795699|-0.120694579|2.07135708|-0.006049098|-0.045382017|-0.069857022|-0.218774634|0.017902469|0.032450556|0.899733837|0.784451598|0.841871246|1|0.829399708|-0.092838926|-0.096133903|0.101891875|0.011076075|-44.07517037|239.2266101|80.99228663|-0.039584548|-21.667278|2.496397166|0.830418645|-1.345874639|-20.92463497|52.16354015|49.333524|0.463780604|2056.502939|-638.9523922000001|1064.221958|0.169581355|5.6343192|4400.493202000001|22.63041363|0.01374218|-313.7317211|330.4083896|6.524083564|1.0|3.2|21.0|4.34|4.01|92.93|0.0|90.49|0.0|2.0|22.0|0.0|1.0|3.23|-4.84|2.07e-06|1.44e-05|0.0044|4.03|0.0|1.3e-07|-0.06361|3263.0|-1272.152002|-1272.125792|847.25|379.97|379.97|0.69784|-1272.010995|0.5056|2.3762|0.02620998|3548.0|5.45|5.45
14g_a23|0|1|0.0|-4.794439428|2|7.423568444|0|0|3.0793867980000003|0.180361525|5.351858133|2|0.0422736629999999|0.058422864|0.653317181|-0.002390707|-0.031968899|-0.030586527|0.179219801|-0.0962526|-0.2952674819999999|0.598213287|0.854683662|0.575188253|1|0.907334473|-0.072819606|-0.096288005|0.297855753|0.018341721|-51.82254036|95.64648102|65.94601775|-0.041536002|-48.76552945|9.289253982|0.780315815|-2.118336119|-36.87984398|83.15907597|64.87554405|0.461846955|3400.464046|-1507.527516|2531.8503170000004|0.219684185|8.788027188|8005.353973|37.88128151|0.020564836|-398.9771038|676.4530574|14.63509796|1.0|3.61|26.0|3.97|6.18|114.25|1.0|126.97|0.0|7.0|35.0|1.0|0.0|4.35|-6.0|1.29e-07|1e-06|0.0004969999999999|4.76|0.0|1.12e-08|-0.08011|3.7042|-2042.1835260000005|-2042.161409|1233.48|334.71|334.71|0.56658|-2041.934312|0.3478|7.2913|0.0221162|0.01|8.0|8.0
16g_a32|1|1|3.363965155|0.0|0|7.765993078999999|0|0|0.0|0.1739995319999999|5.733341277|0|0.03898374|-0.049658216|2.084553994|-0.002456725|-0.029193403|0.004735761|-0.085591073|-0.117577419|-0.202656848|0.79965447|0.8821580379999999|0.762429418|1|0.8206422409999999|-0.078387439|-0.105500574|0.542303725|0.023959586|-57.77542509|90.88837862|132.1955522|-0.033839807|-57.31234426|13.01585399|0.6863323440000001|-1.79350976|-42.58335004|94.54074206|75.43482709|0.3972359179999999|2833.521937|-1321.90553|3497.469035|0.313667656|9.3963701|6372.261243999999|36.34043182|0.02276861|-274.67233460000006|701.9321161|16.78159325|1.0|3.87|19.0|6.81|5.38|149.27|0.0|121.56|1.0|10.0|30.0|1.0|1.0|4.37|-5.32|3.08e-08|4.83e-06|0.00213|4.65|0.0|6.890000000000001e-09|-0.05|3.6161|-2034.621991|-2034.593036|1245.25|342.86|342.86|0.70222|-2034.342619|0.2879|3.7346|0.02895494|11.0|7.9586|7.9586
