molecula|Wavelength (HOMO-LUMO transition) (nm)|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|nARing|ATSC1c|AATSC8d|SIC2|FPSA3|PNSA3|RPCS|DPSA5|TASA|WNSA4|GeomShapeIndex|PPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|Veber filter|Num. of Rotatable bonds|Egan filter|CYP1A2 inhibitor|Lipinski|pIC50
10_a27|298.79|0|0|0.0|0.0|0|0|-0.282866526|-0.000903965|0.862408925|0.017676458|-32.5969511|49.19800605|55.05868025|453.4194305|-8.788575695|0.912640238|135.40932969999997|424.8821143|1.0|0.0|0.0|3.0|0.0|1.0|0.0|7.1612
11a_a5|302.86|0|0|2.9781886010000003|0.0|0|1|-0.185262487|-0.02394636|0.773417838|0.011860803|-46.13206353|14.47576249|61.4470419|638.3599998999999|-13.38721623|0.874191508|185.1520983|835.912531|0.0|1.0|0.0|7.0|1.0|1.0|0.0|7.0915
8_a20 (IN-1130)|383.5|0|0|3.443195704|0.0|0|0|-0.528090969|-0.0574882679999999|0.817914963|0.0158089389999999|-63.72828772|89.35267123|77.31081766|481.70475260000006|-15.66851008|0.932362084|166.8048285|684.5377542|1.0|1.0|0.0|5.0|0.0|1.0|0.0|7.4437
13b_a50|301.22|1|1|0.0|0.0|2|2|-0.263615417|-0.054716607|0.828965118|0.019899348|-36.81915624|150.45293569999998|70.09526468|647.7242444|-13.75876844|0.7609056040000001|214.1461224|900.2031356000001|1.0|1.0|0.0|7.0|0.0|0.0|0.0|5.7375
7l_a46|272.71|0|0|0.0|0.256706467|1|1|-0.038903382|0.050638298|0.825629852|0.011594057|-27.30136533|51.39110437|38.22273917|437.65027010000006|-5.1237682730000005|0.863142947|156.9538706|375.721552|1.0|1.0|0.0|2.0|0.0|1.0|0.0|5.7122
1d_a5|268.88|0|0|2.79978458|-4.455320158|0|0|-0.2688711589999999|-0.010183824|0.821309592|0.007937625|-47.76176205|0.0|56.83734591|484.3911442|-10.69678217|0.89062437|123.9992274|403.396385|1.0|1.0|0.0|4.0|1.0|1.0|0.0|5.03
12d_a31|322.23|0|0|3.441384322|0.0|1|1|-0.697102094|-0.032270224|0.873955169|0.0296918329999999|-66.58534562|557.514503|99.79879739|500.3881827|-16.37326657|0.63768714|256.5143096|647.1500428999999|1.0|1.0|0.0|9.0|0.0|1.0|0.0|6.2924
12ao_a36|356.86|0|0|3.477902101|0.0|2|2|-0.410729809|-0.033032344|0.8800240009999999|0.017784426|-51.52001456|0.0|78.51108393|550.8740683|-16.53028876|0.8620895909999999|144.1736112|698.847203|1.0|0.0|0.0|6.0|0.0|0.0|0.0|7.5229
47f_a18|400.42|0|0|0.0|0.0|1|1|-0.477030713|-0.008224928|0.780474694|0.0138461289999999|-54.18475173|58.84834254|86.11217859|711.5604361000001|-20.90098811|0.937396993|232.14715330000004|1347.416568|1.0|1.0|1.0|13.0|0.0|0.0|1.0|8.0458
12j_a36|327.94|0|0|3.502198129|0.0|2|2|-0.41101009|-0.051080247|0.87043328|0.018160631|-46.2113679|2.098786266|80.59149538|563.0803357000001|-16.18812775|0.8425708820000001|148.06163930000002|725.9470896|1.0|0.0|0.0|6.0|0.0|0.0|0.0|8.0
12az_a36|343.5|0|0|3.465535084|0.0|2|2|-0.593399474|-0.012800556|0.858971809|0.034771534|-50.28669997|8.104966044|99.82512582|574.0196415|-16.43719536|0.861843195|291.60189260000004|766.4854363|1.0|0.0|0.0|7.0|0.0|0.0|0.0|7.2366
7_a1|306.1|0|0|0.0|0.0|2|2|-0.421687222|-0.024096172|0.862051935|0.035937867|-40.16416679|404.7836105|61.72628137|342.53930230000003|-7.205474633|0.827584457|191.0896839|351.4191817|0.0|1.0|0.0|2.0|0.0|1.0|0.0|6.3372
9_a15|330.74|0|0|0.0|0.0|0|0|-0.506073953|0.005692073|0.742680335|0.032464905|-41.10356167|54.69975317|85.14415759|471.903131|-8.88789863|0.8240935659999999|271.83655510000006|532.0914339999999|1.0|1.0|0.0|7.0|0.0|1.0|0.0|6.9706
35_a18|385.69|0|0|0.0|0.0|2|2|-0.44784362|-0.0098863069999999|0.774007861|0.008853796|-60.302584200000005|74.92670772|67.9315105|590.1597827|-18.16338657|0.87101708|92.43836482|1056.535856|1.0|1.0|0.0|8.0|0.0|1.0|0.0|7.6198
12ac_a36|321.25|0|0|3.4419617660000004|0.0|2|2|-0.450737917|-0.0121300989999999|0.863165958|0.021508835|-55.68500110000001|20.70356046|86.51036063|541.3322795|-17.38437788|0.801074136|186.3198219|716.9974499|1.0|0.0|0.0|6.0|0.0|0.0|0.0|7.8861
21b_a23|342.15|1|1|0.0|0.0|0|0|-0.326506055|-0.0490623259999999|0.8339434929999999|0.014481931|-41.81114831|86.65837165|67.68046598|652.4673795|-16.81701905|0.846591917|131.5587155|712.6737861|0.0|0.0|0.0|5.0|0.0|0.0|0.0|7.0691
15_a10|326.3|0|0|0.0|0.0|1|1|-0.142251304|-0.05940848|0.863438637|0.018614889|-35.30133759|108.7226878|56.66229609|545.6177511|-8.964715924|0.767351752|210.7240726|563.875765|1.0|1.0|0.0|5.0|0.0|1.0|0.0|7.4815
3a_a32|341.48|1|1|3.226454082|0.0|0|0|-0.250406908|0.125185185|0.921812162|0.0224684379999999|-37.30101542|0.0|55.87310101|378.0996237|-6.929640892|0.855441483|151.63860559999998|278.73805810000005|0.0|1.0|0.0|2.0|0.0|1.0|0.0|8.5686
2_a27|297.87|0|0|0.0|0.0|0|0|-0.276758209|0.017751479|0.8585302370000001|0.019809599|-29.42169804|53.58106492|52.43208086|426.3224749|-7.415462877|0.7934621359999999|166.89932209999998|373.9912084|0.0|0.0|0.0|2.0|0.0|1.0|0.0|7.8861
1a_a18 (SB-431542)|376.27|0|0|3.3674017380000003|0.0|1|1|-0.766207981|-0.0492229479999999|0.805877431|0.033020439|-74.98172333|105.3125675|87.15852628|352.3666367|-16.29019397|0.895533283|146.3942108|513.4628663999999|1.0|1.0|0.0|4.0|0.0|1.0|0.0|6.9031
12u_a36|337.37|0|0|3.508898495|0.0|2|2|-0.407105926|-0.010669561|0.855176759|0.017639065|-50.53295452|5.944854912|78.06218646|586.1833819|-16.72220679|0.946117173|153.5444314|799.5563855|1.0|0.0|0.0|6.0|0.0|1.0|0.0|7.7959
12y_a36|319.6|0|0|3.479963309|0.0|2|2|-0.410155116|-0.028440975|0.873588247|0.019404665|-51.48548385|14.40618351|78.8341402|562.7133986|-16.49293906|0.950403792|164.2102614|698.847203|1.0|0.0|0.0|6.0|0.0|0.0|0.0|7.9208
4R4k_a46|299.53|0|0|0.0|0.173180233|1|1|-0.252970193|-0.1032662209999999|0.787615341|0.007883196|-47.73036108|0.0|49.58292992|473.9155694|-8.617349646000001|0.871222588|70.94107067|519.5743695|1.0|1.0|0.0|2.0|0.0|1.0|0.0|7.0132
12at_a36|322.81|0|0|3.4361495580000003|0.0|2|2|-0.653190113|-0.037590959|0.890810337|0.029516069|-58.66704838|80.75773169|95.60375457|520.6361161|-17.99981985|0.974034457|225.4381077|735.3783268|1.0|0.0|0.0|7.0|0.0|0.0|0.0|7.1079
41_a18|385.97|0|0|0.0|0.0|2|2|-0.500778516|0.0212700929999999|0.774395455|0.009550224|-69.94639412|93.99687836|65.83786886|503.8398786|-17.56848637|0.950261611|66.33450764|897.5188662|1.0|1.0|0.0|6.0|0.0|1.0|0.0|6433.0
18c_a30|355.78|0|0|0.0|0.0|2|2|-0.625122815|-0.0351777|0.885516463|0.019360263|-71.31647561|103.215593|87.76550537|484.1740985|-19.19537998|0.81455244|144.5043388|713.7769663|1.0|0.0|0.0|6.0|0.0|0.0|0.0|7.9208
12_a4|325.57|0|0|0.0|0.0|1|1|-0.113938738|0.028152112|0.8749408470000001|0.01168879|-41.69390404|7.519189887|53.59101661|477.8721263000001|-9.127388465|0.889574393|167.4891205|608.4548423|1.0|0.0|0.0|4.0|0.0|1.0|0.0|5032.0
11a_a50|305.11|1|1|0.0|0.0|1|1|-0.134056065|-0.129547471|0.8535780190000001|0.01848869|-25.48858279|67.28055926|48.67321197|484.8529701000001|-7.104987834|0.864799282|182.7270002|439.9973344|0.0|0.0|0.0|2.0|0.0|1.0|0.0|7.2291
12p_a36|323.11|0|0|3.392386149|0.0|2|2|-0.432950771|-0.0433009009999999|0.8839272779999999|0.020202133|-51.98017377|0.0|80.40682298|471.1687161|-15.4629378|0.906594718|151.63860559999998|595.8790650000001|1.0|0.0|0.0|5.0|0.0|0.0|0.0|8.0458
1h_a5|284.03|0|0|2.9516097130000003|0.0|0|0|-0.085074391|-0.044117647|0.8436458929999999|0.008798715|-35.25675213|0.484419999|44.51475742|459.3001331|-7.561719827|0.958891501|132.96722079999998|409.0289917|1.0|1.0|0.0|3.0|0.0|1.0|0.0|7.5528
14h_a23|337.93|1|1|0.0|0.0|0|0|-0.307907256|-0.034313725|0.860920386|0.021982565|-43.02851162|86.83095818|67.44368679|622.5428245|-15.35036053|0.924279155|166.45047749999998|646.2584547|0.0|0.0|0.0|5.0|0.0|0.0|0.0|8.3468
8b_a50|296.58|1|1|3.1324050960000003|0.0|1|1|-0.1812055289999999|-0.0180233089999999|0.8836675340000001|0.021513107|-34.79187329|0.0|49.02840043|404.9478761|-6.966723542|0.75095166|157.2609748|339.5806858|1.0|1.0|0.0|2.0|0.0|1.0|0.0|7.1675
19c_a38|323.53|0|0|3.332128134|0.0|2|2|-0.449745181|-0.0431896509999999|0.908721232|0.024315945|-57.79749770000001|4.848162625|82.74311399|477.9848537|-15.15175311|0.914989047|177.10114030000005|640.025745|1.0|0.0|0.0|5.0|0.0|0.0|0.0|8.0348
12h_a40|469.0|0|0|0.0|0.0|0|0|-0.289603712|-0.21893421|0.845904643|0.0117142839999999|-50.45378559|59.68939644|54.9311782|443.8158546|-10.84365353|0.983394285|82.46928995|350.9435025|1.0|0.0|0.0|2.0|0.0|1.0|0.0|6.0846
14ab_a23|338.88|1|1|0.0|0.0|0|0|-0.287365522|-0.03821899|0.8072028240000001|0.017974612|-35.59605095|82.79560776|61.60741239|632.9786397|-14.84482393|0.885272615|138.4567483|733.3886349999999|0.0|0.0|0.0|5.0|0.0|0.0|0.0|8.4012
12h_a36|358.81|0|0|3.468184524|0.0|2|2|-0.503153567|-0.051080247|0.87043328|0.027905055|-48.17643878|1.413982241|87.85958486|536.6941285|-15.32224162|0.8675704009999999|219.1956304|679.7230552999999|1.0|0.0|0.0|6.0|0.0|0.0|0.0|7.8539
3c_a12|345.72|0|0|0.0|0.0|1|1|-0.379362977|-0.056537396|0.888353608|0.013219706|-36.28720467|0.0|61.16334136|426.9566009|-8.698843907999999|0.746291708|148.9927848|380.2468615|1.0|1.0|0.0|3.0|0.0|1.0|0.0|7699.0
15c_a22|337.46|0|0|0.0|0.0|0|0|-0.298463715|0.006275578|0.8353837409999999|0.024561528|-48.58045253|78.22334636|75.52188549|623.9175171|-15.66586856|0.859281634|243.5126145|731.8178649|0.0|1.0|0.0|6.0|0.0|0.0|0.0|6.1325
4g_a49|341.84|0|0|0.0|0.0|2|2|-0.328081947|0.08591712|0.81242269|0.018944337|-61.24875669|74.95505057|90.11923831|857.1564845|-24.82733433|0.958286615|371.3295653|1714.878736|0.0|0.0|0.0|7.0|1.0|0.0|1.0|6.9747
9i_a40|428.48|0|0|0.0|0.0|0|0|-0.279092262|-0.1788455119999999|0.824009442|0.011010661|-46.80087537|62.68854553|49.81256531|418.7133986|-9.360805225|0.91433781|71.03556427|351.4600612|1.0|1.0|0.0|2.0|0.0|1.0|0.0|5.9031
8_a10|336.55|0|0|0.0|0.0|1|1|-0.296880569|-0.106100115|0.864927472|0.015758182|-32.63117642|9.35593124|56.7864899|478.5356341|-8.951462413|0.7599356820000001|151.7094758|583.7217118|0.0|0.0|0.0|4.0|0.0|1.0|0.0|6279.0
33_a20|318.99|0|0|0.0|0.0|0|0|-0.078557022|-0.062750442|0.802353442|0.012738882|-38.58254635|64.93395624|54.60811436|621.611679|-11.3769728|0.8721516570000001|157.56124519999997|664.4562602999999|1.0|0.0|0.0|4.0|0.0|1.0|0.0|7.4685
4q_a46|273.72|0|0|0.0|0.09591943|1|1|-0.066250447|-0.081623022|0.848935944|0.014510206|-29.12008262|72.14599138|49.37907349|509.9138517|-6.545879136|0.952269544|212.350744|554.3688216|1.0|1.0|0.0|4.0|0.0|0.0|0.0|6129.0
8a_a50|297.06|1|1|3.139870661|0.0|1|1|-0.188998337|-0.058014797|0.8718949979999999|0.018809422|-34.88425666|0.0|50.06249379|433.9235497|-8.042467074|0.858162757|125.2985144|388.171611|1.0|1.0|0.0|2.0|0.0|1.0|0.0|7.3279
A7701_a51||0|0|2.9690728930000003|0.0|0|0|-0.0927335619999999|-0.0299823629999999|0.8092075540000001|0.007404204|-32.97926236|0.0|41.87351682|399.6804233|-6.485314917999999|0.7251817340000001|92.83996262|332.8814548|1.0|1.0|0.0|2.0|0.0|1.0|0.0|7.6021
7b_a8|380.32|0|0|3.213855584|0.0|1|1|-0.4829936279999999|-0.0254956129999999|0.8453887859999999|0.033167971|-60.75943432|75.93423425|73.70461365|432.6681725|-14.82895606|0.918644854|147.3863936|545.9267515|0.0|0.0|0.0|3.0|0.0|1.0|0.0|4.8687
12aa_a30|357.9|0|0|0.0|0.0|2|2|-0.539735362|-0.007369513|0.855880335|0.030906491|-54.50378741|0.0|91.51563481|567.5458219999999|-16.48066156|0.872457337|257.8730361|792.3440337000001|1.0|0.0|0.0|7.0|0.0|0.0|0.0|8.1135
47a_a18|388.09|0|0|0.0|0.0|1|1|-0.464122017|0.052572636|0.7991211029999999|0.014124484|-67.93456546|110.0917322|93.5899242|638.5417107999999|-24.3591435|0.934960691|169.2144153|1225.939287|1.0|1.0|1.0|12.0|0.0|0.0|1.0|9.0
12_a47|313.58|1|1|2.903215905|0.0|0|0|-0.209845277|0.0295267039999999|0.90246604|0.018014416|-44.18983348|0.0|61.09751253|408.3591283|-9.25429818|0.920341815|166.28511369999998|335.1175012|1.0|1.0|0.0|3.0|0.0|1.0|0.0|8.2
9h_a24|285.43|0|0|2.916716427|0.0|0|0|-0.105982525|-0.002471577|0.859720539|0.018457687|-28.52000725|1.773520599|47.51520531|417.7355164|-5.871651668999999|0.914204295|202.1279819|295.8603625|1.0|0.0|0.0|3.0|0.0|1.0|0.0|7.1135
8b_a8|375.8|0|0|3.191799887|0.0|1|1|-0.733216119|-0.03443232|0.8354024290000001|0.032440348|-79.74587194|89.09854311|84.97574547|342.0904577|-17.8141788|0.936224813|133.8974321|589.263087|0.0|0.0|0.0|4.0|0.0|0.0|0.0|5.2941
10_a47|332.97|0|0|0.0|0.0|0|0|-0.384667159|0.007193585|0.8077565520000001|0.00951788|-40.80144983|0.0|57.59863288|449.6950454|-10.11660331|0.699661037|105.9273263|498.0016816|1.0|1.0|0.0|3.0|1.0|1.0|0.0|7.9
12m_a36|320.72|0|0|3.40403699|0.0|2|2|-0.667165917|-0.038386106|0.8792981679999999|0.022725561|-67.27772044|107.233999|96.11918789|477.48014630000006|-19.16067782|0.8702895190000001|169.596372|689.2886595|0.0|0.0|0.0|6.0|0.0|0.0|0.0|7.5229
41_a47|333.8|1|1|0.0|0.0|0|0|-0.187859623|0.075316535|0.900915114|0.018348892|-34.50740631|0.0|63.84353454|464.8854878|-9.34366093|0.8084689140000001|195.8852341|439.9906467|1.0|1.0|0.0|4.0|0.0|1.0|0.0|8.0
8a_a32|348.07|1|1|3.217128449|0.0|0|0|-0.497414715|-0.128684642|0.8966299409999999|0.018321589|-52.34893512|66.81560596|79.73671389|510.8273411|-14.03170956|0.923166883|157.3554684|557.1050635|1.0|1.0|1.0|7.0|1.0|1.0|0.0|7.3468
12k_a36|338.46|0|0|3.483171769|0.0|2|2|-0.413145744|-0.058284869|0.8647233590000001|0.018067063|-49.87227128|0.0|78.24529096|555.1026569|-16.38090333|0.919048073|144.457092|698.847203|1.0|0.0|0.0|6.0|0.0|0.0|0.0|7.8539
14n_a23|362.35|1|1|0.0|0.0|0|0|-0.376950283|-0.059870135|0.861597051|0.027028617|-39.82324087|97.39429807|72.09248208|603.6615822000001|-14.76259199|0.885393105|211.642042|683.7405759|0.0|0.0|0.0|6.0|0.0|0.0|0.0|9.2441
21a_a23|335.16|1|1|0.0|0.0|0|0|-0.3082571839999999|-0.083864151|0.79188323|0.011564247|-34.01266735|82.08958626|61.73864319|611.67123|-15.07212993|0.969673962|104.2264415|666.0036144999999|0.0|0.0|0.0|5.0|0.0|0.0|0.0|6.9914
19_a20|368.83|0|0|3.423603867|0.0|0|0|-0.539158264|-0.063133522|0.8193003000000001|0.013643765|-60.26825633|88.19441661|75.98477124|495.7134289|-16.55214209|0.935398401|133.9919257|684.5377542|1.0|1.0|0.0|5.0|0.0|1.0|0.0|5585.0
16c_a32|341.89|1|1|3.329674745|0.0|0|0|-0.770338913|-0.036931818|0.915639476|0.025791147|-53.00702241|37.0285246|86.97970500000001|461.2334662|-13.59090376|0.8653137670000001|188.1603823|513.9156315|1.0|0.0|1.0|7.0|1.0|1.0|0.0|8.3468
16h_a32|342.67|1|1|3.340888605|0.0|0|0|-0.7828009570000001|-0.022634676|0.881181048|0.02096013|-51.56009529|35.90298920000001|90.15529448|507.7688359|-15.6485794|0.850995852|167.7935207|573.3529948|1.0|0.0|1.0|7.0|1.0|1.0|0.0|8.0655
14g_a23|334.71|1|1|0.0|-4.794439428|0|0|-0.803522236|-0.030586527|0.854683662|0.018341721|-51.82254036|1.5679977319999998|83.15907597|645.7104105000001|-21.03611074|0.8582074559999999|156.3396622|676.4530574|0.0|0.0|0.0|7.0|1.0|0.0|0.0|8.0
4_a18 (SD-208)|378.26|0|0|0.0|0.0|2|2|-0.498304229|-0.056245435|0.904723479|0.0211761979999999|-40.10670787|0.0|69.63488061|401.1916387|-9.276994128|0.831728055|204.9329964|363.2306414|0.0|1.0|0.0|3.0|0.0|1.0|0.0|7.0969
6_a27|299.55|0|0|2.6137160880000003|0.0|0|0|-0.330715016|0.081320966|0.849515128|0.020552125|-38.92545695|61.10118428|52.66373343|388.6505938|-8.486272674|0.896201262|111.4788253|373.9912084|0.0|0.0|0.0|2.0|0.0|1.0|0.0|9.0
1j_a5|300.89|0|0|2.9426852410000004|0.0|0|0|-0.175183967|-0.032333695|0.848473695|0.019690225|-39.64241895|1.471030887|54.3827755|455.0425806|-7.86442482|0.883543443|205.997426|422.96706330000006|1.0|1.0|0.0|4.0|0.0|1.0|0.0|7.6198
4g_a46|280.74|0|0|0.0|0.171759574|1|1|-0.088529411|-0.138341481|0.7796270059999999|0.00801562|-32.64186634|72.82863401|44.72726697|543.2323468999999|-8.0118178|0.8131148579999999|99.33639766|568.1534007|1.0|0.0|0.0|3.0|0.0|1.0|0.0|5.5615
17f_a50|304.9|1|1|0.0|0.0|1|1|-0.125733326|-0.132773563|0.8314734309999999|0.016414675|-29.10566644|82.90209608|55.9791334|560.4567739|-10.14694362|0.896702|171.48226169999998|652.6793116|1.0|1.0|0.0|6.0|0.0|1.0|0.0|6.4001
14b_a3|403.54|0|0|0.0|0.0|0|0|-0.356087317|-0.102362298|0.848135222|0.012828558|-44.49789848|82.79166784|57.87172082|384.6023764|-8.721397057|0.951659927|113.9829058|358.3503513|0.0|1.0|0.0|2.0|0.0|1.0|0.0|6.4202
8e_a46|274.96|0|0|0.0|0.252655541|1|1|-0.046696417|-0.016857659|0.837678812|0.009576086|-27.16690715|53.05984592|39.62167507|469.146955|-5.967832774|0.8008066970000001|127.6844779|426.71841|0.0|1.0|0.0|2.0|0.0|1.0|0.0|6.3915
26_a47|310.58|1|1|0.0|0.0|0|0|-0.544056455|0.0081426509999999|0.910081385|0.020884606|-57.01987795|60.07342336|73.39007585|412.8219782|-13.07911017|0.90465254|164.0744453|457.1122177|0.0|1.0|0.0|4.0|0.0|1.0|0.0|7.9
3h_a32|348.74|1|1|3.579396967|0.0|0|0|-0.269379119|-0.111111111|0.834881529|0.0111539339999999|-44.97387528|0.0|62.63332945|550.2022886|-10.81473143|0.692036677|141.8112711|593.0848817000001|1.0|1.0|0.0|7.0|1.0|1.0|0.0|8.1549
12c_a30|351.37|0|0|0.0|0.0|2|2|-0.3657134279999999|-0.072247675|0.880943609|0.01588025|-50.12643041|0.0|72.5855533|550.9847369|-15.946612|0.828040991|126.574178|652.8825454|1.0|0.0|0.0|5.0|0.0|1.0|0.0|7.9914
15d_a10|321.28|0|0|0.0|0.0|2|2|-0.184039927|0.007032164|0.7857977740000001|0.02281891|-38.80896881|141.0919598|66.95020436|590.402322|-8.551449923|0.900629528|355.8865234|825.4425942|0.0|1.0|0.0|6.0|0.0|0.0|0.0|7.1612
11e_a5|302.14|0|0|2.971327032|0.0|1|1|-0.192538515|-0.010236262|0.8215345|0.0120552589999999|-41.64560703|0.0|63.5644542|580.8135016|-12.38472918|0.936345148|184.4042616|735.3048881|0.0|1.0|0.0|7.0|0.0|0.0|0.0|7.3979
47c_a18|398.71|0|0|0.0|0.0|1|1|-0.537230966|0.028947131|0.7912974190000001|0.015864085|-57.54296759|103.416376|88.76073429|653.4941186000001|-20.80632033|0.958059115|201.7910841|1167.054827|1.0|1.0|1.0|12.0|0.0|0.0|1.0|8.5229
14s_a23|336.66|1|1|0.0|0.0|0|0|-0.298573309|-0.064006338|0.846632079|0.019970955|-35.30692476|82.55990607|62.75905983|595.0854952000001|-14.09722664|0.890072438|144.457092|633.3278634|0.0|0.0|0.0|5.0|0.0|0.0|0.0|8.5482
11_a1|388.38|0|0|3.3361517380000003|0.0|1|1|-0.867849442|-0.044235537|0.8086124090000001|0.034974992|-77.81495049|84.40380304|89.80732824|351.1382199|-16.93943154|0.912918113|146.29971719999998|495.0560271000001|1.0|1.0|0.0|4.0|0.0|1.0|0.0|6.7696
14y_a23|340.49|1|1|0.0|0.0|0|0|-0.2996475999999999|-0.031435038|0.8668730109999999|0.018804822|-39.9727336|82.29531392|67.16839951|639.7735629|-16.40099384|0.948293868|149.890474|665.6233736|0.0|0.0|0.0|5.0|0.0|0.0|0.0|8.4225
15_a15|480.19|0|0|0.0|0.0|1|1|-0.395472407|0.0020555079999999|0.7725348679999999|0.020649569|-41.11675625|4.306196778|73.99578515|596.1118717|-13.86355301|0.772181523|197.6323578|830.7967967000001|1.0|1.0|0.0|6.0|1.0|0.0|0.0|6.9626
5_a4|308.12|0|0|0.0|0.0|1|1|-0.0607990979999999|-0.134215501|0.820886786|0.008047242|-27.26045038|46.53110402|41.76764149|506.7916175|-7.276482574|0.7058248159999999|103.5177395|518.5792364|1.0|1.0|0.0|3.0|0.0|1.0|0.0|7.1487
47t_a18|397.84|0|0|0.0|0.0|1|1|-0.756664598|-0.04785474|0.796935152|0.014067024|-79.78154029|78.43695402|80.00407742|449.789539|-18.17831387|0.991199259|130.8263901|747.6927426|0.0|0.0|0.0|7.0|0.0|0.0|0.0|6.1068
25_a47|310.91|1|1|0.0|0.0|0|0|-0.486951604|0.002716049|0.906449648|0.020224271|-44.52300552|51.5831002|71.17072517|477.748546|-11.52783528|0.908616158|228.3393366|513.2159236|0.0|1.0|0.0|5.0|0.0|1.0|0.0|7.8
2_a1|303.31|0|0|0.0|0.0|1|1|-0.175623923|0.101798469|0.8571146190000001|0.011282631|-28.32386891|84.54541681|43.24570924|367.8635872|-5.488475744|0.6619695520000001|139.0945801|299.6692382|1.0|1.0|0.0|2.0|0.0|1.0|0.0|5.2366
3t_a32|349.38|1|1|3.4477303|0.0|0|0|-0.304466646|-0.086478322|0.870628579|0.014242899|-50.65701113|0.0|72.43498782|523.3947687|-10.75813179|0.929482453|199.2870037|582.0730423|1.0|1.0|0.0|7.0|0.0|1.0|0.0|8.0458
3i_a32|340.43|1|1|2.417426304|-4.547725143|0|0|-0.4449120629999999|0.022524712|0.902293804|0.015296821|-49.17963359|0.201037767|71.27609889|471.2508776000001|-12.4050588|0.732035793|120.8809386|318.0257595|1.0|0.0|0.0|3.0|1.0|1.0|0.0|8.2366
47u_a18|397.57|0|0|0.0|0.0|1|1|-0.633589579|-0.033209663|0.7960273840000001|0.02068926|-62.99873374|77.59162925|79.06741651|516.6437614|-16.72263667|0.937307962|193.9244919|818.9389171|0.0|0.0|0.0|8.0|0.0|0.0|0.0|5.7055
13d_a6|341.57|0|0|3.447870607|0.0|1|1|-0.607917822|-0.10528143|0.841971795|0.030793771|-63.04181168|564.780402|88.02705449|536.999346|-18.40596467|0.703203572|157.0011174|692.8471883999999|1.0|1.0|0.0|6.0|0.0|1.0|0.0|6.4437
1e_a5|279.92|0|0|2.953259375|0.0|0|0|-0.084933308|-0.040441176|0.834250802|0.008587563|-35.30075748|0.0|44.38364879|457.4574833|-7.526878708|0.932665879|131.2279879|409.0289917|1.0|1.0|0.0|3.0|0.0|1.0|0.0|6719.0
12ap_a36|319.54|0|0|3.4417292610000003|0.0|2|2|-0.424579308|-0.042675894|0.893689741|0.0217479329999999|-54.21070432|0.0|83.16347311|544.9693552|-16.13217554|0.86772056|172.00197649999998|642.3830552000001|1.0|0.0|0.0|5.0|0.0|0.0|0.0|7.4949
19f_a38|360.19|0|0|3.3320764830000003|0.0|2|2|-0.4228801179999999|-0.054832432|0.8741648479999999|0.02107583|-54.50401599|12.14075726|84.35196967|479.6831205|-15.44458393|0.8313685409999999|169.6496169|595.8790650000001|1.0|1.0|0.0|5.0|0.0|1.0|0.0|7.1397
18d_a25|340.69|0|0|0.0|0.0|0|0|-0.180590503|0.016982601|0.838260077|0.011158458|-46.31109519|0.389087507|68.15463481|705.8822532|-15.93166285|0.911437354|182.1982146|883.4030667999999|1.0|1.0|0.0|7.0|1.0|1.0|0.0|6.6345
13l_a6|349.26|0|0|3.433158672|0.0|1|1|-0.858070925|-0.086595185|0.84018367|0.030012523|-82.24617981|118.3485042|100.8610837|447.9705372|-21.92549054|0.7413520309999999|143.7247666|741.5222707|1.0|1.0|0.0|7.0|0.0|1.0|0.0|6.4145
3b_a12|328.51|0|0|0.0|0.0|1|1|-0.332497127|-0.003968827|0.82914101|0.0103611969999999|-33.57216667|0.0|54.77629766|470.8937285|-9.246226764|0.64134753|120.5265876|406.0361621|1.0|1.0|0.0|3.0|0.0|1.0|0.0|7.3098
14o_a23|335.19|1|1|0.0|-4.758526534|0|0|-0.807407518|-0.049105045|0.861597051|0.018054548|-51.49843925|0.8929505459999999|80.64694246|642.7588542000001|-21.45909668|0.958697036|141.97663490000002|676.4530574|0.0|0.0|0.0|7.0|1.0|0.0|0.0|8.4815
1k_a5|281.38|0|0|2.9020229360000003|0.0|0|0|-0.120771321|-0.011848312|0.851987765|0.010892351|-40.40908188|0.498979532|47.83775802|400.8898627|-7.881781385|0.929220303|140.69669409999997|357.34245360000006|1.0|1.0|0.0|3.0|0.0|1.0|0.0|7.3188
9d_a40|370.51|0|0|0.0|0.0|0|0|-0.146575228|-0.137738587|0.8221990920000001|0.010749826|-31.08478865|50.47044708|41.42218692|485.2567189|-8.395657932|0.87714454|68.83858806|346.9019309|1.0|0.0|0.0|2.0|0.0|1.0|0.0|6.9706
12f_a31|323.68|0|0|3.4780522210000004|0.0|1|1|-0.698273995|-0.0164221939999999|0.8530975000000001|0.027617942|-68.14417693|569.7325277000001|97.53070764|489.0460499|-16.44247509|0.932987917|218.4455813|713.5657448|1.0|1.0|0.0|10.0|0.0|1.0|0.0|6.8861
15_a47|305.43|1|1|2.9226792460000004|0.0|0|0|-0.21194909|0.0506476009999999|0.897881853|0.016669157|-45.1562696|0.0|59.79410145|423.5412927|-9.531388265|0.914412511|154.260803|383.4213189|1.0|1.0|0.0|3.0|0.0|1.0|0.0|7.8
