molecula|Wavelength (HOMO-LUMO transition) (nm)|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|nARing|ATSC1c|AATSC8d|SIC2|FPSA3|PNSA3|RPCS|DPSA5|TASA|WNSA4|GeomShapeIndex|PPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|Veber filter|Num. of Rotatable bonds|Egan filter|CYP1A2 inhibitor|Lipinski|pIC50
5b_a40|311.84|0|0|0.0|0.0|0|1|-0.163148971|0.020344828|0.88618123|0.019116586|-38.64461938|49.25022097|52.08187888|442.1045286|-9.187872156|0.913161214|85.77656597|285.9136384|1.0|0.0|0.0|3.0|0.0|1.0|0.0|7.1938
38_a18|384.55|0|0|0.0|0.0|2|2|-0.448742607|-0.003893067|0.751875124|0.00838904|-61.25359673|74.46052717|71.15832778|661.3370874|-20.41289434|0.874996952|94.75345803|1228.492038|1.0|1.0|0.0|10.0|0.0|1.0|1.0|7041.0
19h_a38|350.65|0|0|3.2723542610000003|0.0|2|2|-0.420209249|-0.070688288|0.8741648479999999|0.021234963|-48.43313101|0.0|76.70128100000001|456.3568442|-13.74247449|0.903301693|145.047677|595.8790650000001|1.0|1.0|0.0|5.0|0.0|1.0|0.0|8.0348
8b_a12|331.1|0|0|0.0|0.0|1|1|-0.618894925|-0.1090955359999999|0.792160599|0.011257065|-60.97837482|76.80174559999999|72.85978933|428.7273481000001|-15.27062922|0.926552694|64.26553043|510.3677388|0.0|1.0|0.0|4.0|0.0|0.0|0.0|6.58
12g_a31|323.3|0|0|3.42813681|0.0|1|1|-0.7501734859999999|-0.082116813|0.8639814490000001|0.030961426|-78.87508829|548.1594997999999|95.97385383|357.8560168|-14.73099143|0.887664343|191.2078009|524.0230338|1.0|1.0|0.0|7.0|0.0|1.0|0.0|6.9586
11c_a31|321.61|0|0|3.336985072|0.0|1|1|-0.847114804|-0.085216451|0.8906705429999999|0.034256743|-80.82023592|70.98337779|99.31985763|330.3862551|-14.56188764|0.922968238|189.6959033|449.7512005|1.0|0.0|0.0|6.0|0.0|1.0|0.0|6.8861
4_a47|332.4|0|0|0.0|0.0|0|0|-0.3692130839999999|0.011775922|0.84420422|0.007772995|-42.46254967|0.0|57.78603076|475.6168721|-10.43683449|0.67265584|105.2186243|471.7712484|1.0|1.0|0.0|3.0|0.0|1.0|0.0|7.5
18_a34|300.68|0|0|0.0|0.0|1|1|-0.677741618|-0.136990511|0.8584852479999999|0.040845819|-49.86847383|54.26737825|86.77082535|380.8328339|-12.87916264|0.789096743|167.9151283|428.6241319|1.0|1.0|0.0|5.0|0.0|1.0|0.0|5.6144
4r_a46|274.25|0|0|0.0|-0.03033057|1|1|-0.141309389|-0.048758575|0.8549242340000001|0.011446215|-42.06465252|0.0|51.22472631|449.7405899|-7.304896049|0.839885604|151.3787482|496.0386301|0.0|1.0|0.0|3.0|0.0|0.0|0.0|5.8499
12bf_a36|320.04|0|0|3.31325137|0.0|2|2|-0.4497470879999999|-0.0206090089999999|0.892249657|0.0217611939999999|-58.26326838|0.0|86.28460578|437.4108773|-15.55034592|0.904134124|189.6959033|593.6088758|1.0|0.0|0.0|5.0|0.0|0.0|0.0|8.2218
14u_a23|389.66|1|1|0.0|0.0|0|0|-0.385981432|-0.0569153009999999|0.845160857|0.0254134689999999|-36.90928915|50.47632596|73.50348823|607.6448353|-15.12707504|0.910165272|198.4601847|683.7405759|0.0|0.0|0.0|6.0|0.0|0.0|0.0|8.2449
1f_a5|270.96|0|0|2.824395738|-4.398485453999999|0|0|-0.277594656|-0.000625|0.834250802|0.008403353|-50.98614411|0.21377016|57.83835135|495.3305784|-11.0872845|0.8764524309999999|135.2439659|403.396385|1.0|1.0|0.0|4.0|1.0|1.0|0.0|6.6198
12j_a30|356.4|0|0|0.0|0.0|2|2|-0.354848778|-0.075816941|0.846470093|0.015613498|-47.76354083|0.0|69.55167701|544.2686362000001|-15.12043521|0.91079856|120.550211|686.039456|1.0|0.0|0.0|5.0|0.0|1.0|0.0|8058.0
36_a18|388.57|0|0|0.0|0.0|2|2|-0.442092758|0.003321395|0.780206307|0.009440278|-55.38202488|83.34177364|65.59412783|572.70209|-16.1853561|0.905426346|133.8265619|975.4099618|1.0|1.0|0.0|7.0|0.0|1.0|0.0|7.4949
12l_a36|321.05|0|0|3.426092687|0.0|2|2|-0.4203659179999999|-0.0452558729999999|0.8772535459999999|0.0220227089999999|-52.05361632|1.281955437|83.76912404|549.2389652|-16.12160667|0.8586718990000001|170.5619816|642.3830552000001|1.0|0.0|0.0|5.0|0.0|0.0|0.0|7699.0
5_a27|302.48|0|0|0.0|0.0|0|0|-0.286030638|-0.013448351|0.8149212259999999|0.01695771|-29.50048722|56.35994804|53.51978325|449.6149323|-8.438466859|0.7827415529999999|136.2361487|424.8821143|0.0|0.0|0.0|2.0|0.0|1.0|0.0|8.5229
14ad_a23|366.09|1|1|0.0|0.0|0|0|-0.4663820279999999|-0.031279567|0.8356326820000001|0.033831691|-42.29008971|114.237062|85.20135045|634.0697778|-15.14887177|0.8866211979999999|303.1354708|770.8206617000001|0.0|0.0|0.0|7.0|0.0|0.0|0.0|8.3595
18_a31|317.05|0|0|3.281949877|0.0|0|0|-0.640807491|-0.096301845|0.904870098|0.014467496|-69.19879619|0.0|85.81723707|426.0718665|-13.87749294|0.8155571290000001|130.6137795|477.1857166|1.0|1.0|0.0|7.0|0.0|1.0|0.0|6.8861
3d_a49|318.67|0|0|0.0|0.0|1|1|-0.173318804|0.017871379|0.863438637|0.009601398|-57.52001036|0.0|65.59130031|424.6551631|-12.12984007|0.946920034|140.9844521|549.3593871|1.0|0.0|0.0|4.0|0.0|1.0|0.0|5.6308
17_a3|386.22|0|0|0.0|0.0|0|0|-0.349676046|-0.0510707059999999|0.838125715|0.010321361|-50.20132919|76.17242478|55.39769571|408.6362608|-10.24205849|0.780420408|81.38261354|353.7528308|1.0|1.0|0.0|2.0|0.0|1.0|0.0|7.6383
12f_a36|339.27|0|0|3.50900085|0.0|2|2|-0.40641518|-0.06756661|0.8700396090000001|0.01784834|-46.86832019|0.835268043|76.51015325|556.5681681|-15.59012402|0.8665086190000001|144.9540437|729.1873176|1.0|0.0|0.0|6.0|0.0|0.0|0.0|7.9586
