molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|SaasN|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|GATS1pe|FPSA3|PNSA5|PPSA3|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|FPSA5|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Lipinski|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Gibbs Free Energy|pIC50
3b_a12|0.0|0|0|0.0|0.0|0|0.0|1|0.0|0.0|-0.043495794|2|0.0375|-0.1215705419999999|0.0|-0.332497127|-0.004028952|-0.065558712|10.9540388|-0.003968827|0|-0.071149325|-0.116772665|-0.547002361|1|0.914614654|-0.007397776|0.802482465|0.0103611969999999|-46.11064215|5.401901357000001|0.096795301|50.46508298|-0.034016616|2.816328871|0.0|0.7688221909999999|-1.326648015|-17.50314491|54.77629766|-17.73486237|38.97406803|-691.6596323|1935.211747|0.2311778089999999|6.6333156660000006|0.64134753|120.5265876|-360.6028438|0.0166212889999999|8.665655511|1.0|1.0|1.0|1.0|3.82|18.0|4.05|3.14|37.28|3.99|1.0|0.0|102.53|0.0|3.0|24.0|3.0|-5.65|332.79|0.0|1.0|1.0|3.59|0.0|3.96|-1410.947421|548.05|328.51|0.5013|294.55|426.66|0.6654800000000001|-1410.826913|-0.15229|-1410.8759220000002|7.3098
19h_a38|0.0|1|0|3.2723542610000003|0.0|0|7.412764017000001|2|0.0|5.351858133|-0.082283951|2|0.042622739|0.14165187|0.0|-0.420209249|-0.002526241|-0.043452674|10.96083376|-0.070688288|1|-0.101303149|-0.217394466|-0.420225236|1|0.724208473|-0.121374121|0.698414933|0.021234963|-64.79649453|12.51014765|0.225371198|132.7728693|-0.03959525|7.370099699|0.0|0.75379331|-1.979762478|-28.533396600000003|76.70128100000001|-23.32673803|60.94327866|-1166.336902|1839.424968|0.24620669|6.820483788|0.903301693|145.047677|-687.1237247|0.020207411|11.90478646|1.0|1.0|1.0|3.0|4.8|17.0|3.13|2.55|81.23|2.4|1.0|0.0|125.69|0.0|5.0|30.0|4.0|-6.77|401.44|0.0|0.0|1.0|2.66|0.0|3.41|-1332.1538779999998|626.65|350.65|0.2355|331.65|452.01|0.69012|-1331.941646|-0.1467099999999999|-1331.999352|8.0348
3h_a32|0.0|1|1|3.579396967|0.0|0|7.765993078999999|0|0.0|5.733341277|-0.008243901|0|0.037731481|0.014517903|2.243113495|-0.269379119|0.002101838|-0.003152613|10.31100268|-0.111111111|3|-0.071193103|-0.122769653|-0.531669815|0|0.84279263|-0.2|0.8030743229999999|0.0111539339999999|-55.27575363|6.98327435|0.12119737|75.87946135|-0.027590124|4.372100625|0.0|0.7734940029999999|-1.324325944|-28.15732254|62.63332945|-17.27367301|51.95714963|-829.1363044|2911.160989|0.226505997|8.107034244|0.692036677|141.8112711|-519.1071084|0.011751781|7.357575822|1.0|1.0|1.0|1.0|3.65|19.0|8.11|6.24|110.94|2.64|2.0|0.0|112.28|0.0|7.0|26.0|3.0|-4.29|382.55|1.0|0.0|1.0|5.4|0.0|4.61|-1790.663897|676.22|348.74|0.2926|348.74|578.86|0.70257|-1790.440663|-0.1474099999999999|-1790.5004850000005|8.1549
12e_a40|0.0|0|0|0.0|0.0|1|7.515889085|0|1.6315143930000002|5.4161004020000005|-0.262526337|0|0.04020202|0.174870826|0.665270062|-0.556620974|-0.013162335|0.130516751|10.31197242|-0.192362496|2|0.103406816|0.172778196|-0.520457262|0|0.889386453|-0.279310345|0.8096582170000001|0.015096495|-66.68049019|8.195398107|0.220121216|119.4966772|-0.048387621|4.4490161310000005|0.0|0.790818822|-1.596791495|-38.96782748|78.14505956|-26.26807189|79.97685498|-866.8463724999999|694.2415706|0.209181178|8.014314957|0.966435355|113.5576846|-470.5828129|0.021118537|11.46456937|1.0|1.0|0.0|2.0|3.27|20.0|4.34|4.84|98.89|2.93|2.0|0.0|95.8|0.0|2.0|24.0|4.0|-5.26|378.23|0.0|0.0|1.0|3.98|0.0|4.66|-2248.244231|552.91|409.82|0.4494|286.76|445.12|0.70157|-2248.154966|-0.12616|-2248.206714|5.9318
13_a47|0.0|1|1|2.920663104|0.0|0|6.605297921|0|0.0|4.59511985|-0.0777650159999999|2|0.036632997|-0.047120094|1.5940801480000002|-0.20197533|-0.00105415|0.003874205|10.9452934|0.038682232|1|-0.0101047869999999|-0.0233277889999999|-0.316563793|2|0.6427334020000001|0.065869272|0.626280497|0.017736598|-45.39284663|9.13564442|0.2183244369999999|112.453046|-0.032468557|4.705524762|0.0|0.688261242|-1.23380515|-21.52866736|57.38622954|-16.72368034|50.9329486|-635.4998528|669.2729199|0.311738758|7.038683428|0.8939678120000001|160.5682509|-327.3288841|0.023284817|11.99338291|1.0|0.0|1.0|2.0|2.9|21.0|4.06|4.63|66.49|2.34|0.0|0.0|91.59|0.0|3.0|24.0|4.0|-6.0|319.34|0.0|1.0|1.0|3.19|0.0|2.7|-1067.78457|542.62|307.63|0.3382|307.63|404.73|0.67466|-1067.665127|-166.0|-1067.71601|7.8
19a_a22|0.0|0|0|0.0|0.0|1|6.842683282|0|1.572240489|4.727387819|-0.144269652|2|0.0389622639999999|-0.020553065|1.545757986|-0.548716971|-0.002607064|-0.011513343|10.9464374|0.016501913|1|-0.035723406|-0.0611158559999999|-0.496053375|2|0.72808001|0.0271939039999999|0.699744887|0.024839714|-69.91748544|18.53458775|0.255645265|190.7541925|-0.035138299|13.82990734|106.645364|0.684706189|-1.967744721|-50.18975739|89.23486638|-26.21905704|85.79797858|-1468.267194|2607.322873|0.315293811|8.648671382|0.76919701|235.2620007|-1095.573288|0.025888799|19.31738094|1.0|1.0|1.0|2.0|3.61|27.0|3.08|3.41|128.68|0.98|1.0|0.0|132.15|0.0|7.0|35.0|6.0|-7.67|463.49|0.0|0.0|0.0|2.36|0.0|5.69|-1537.0241640000002|740.07|346.24|0.2218|246.01|567.03|0.66605|-1536.756515|-0.1508|-1536.823574|7.3188
5a_a40|0.0|0|0|0.0|0.0|1|8.149890544|0|1.688148148|6.167516491000001|0.059258947|0|0.0388888889999999|-0.108428634|0.808197279|-0.152120625|0.011345707|0.180125135|10.31198338|-0.02394636|2|0.004130836|0.007301856|-0.363338726|0|0.538671739|-0.0395444479999999|0.5263598389999999|0.020641204|-40.27003217|9.135164355|0.146821673|64.97877226|-0.036396585|4.042943749|52.43850484|0.8224652720000001|-1.091897544|-15.30358975|46.06507254|-16.10801287|43.71412865|-483.24038600000006|508.8362301|0.177534728|5.507689573|0.956899016|78.57142892|-213.8673835|0.0130940839999999|5.795040371|1.0|1.0|1.0|0.0|3.04|14.0|3.68|3.08|75.5|1.85|0.0|1.0|74.15|0.0|3.0|19.0|3.0|-5.9|269.32|0.0|1.0|1.0|2.8|0.0|4.36|-1177.5835470000002|466.79|326.96|0.4461|326.96|353.51|0.69499|-1177.51016|-0.15066|-1177.555706|7.0915
1a_a18 (SB-431542)|0.0|1|0|3.3674017380000003|0.0|0|7.423568444|1|0.0|5.351858133|-0.175408303|1|0.035620155|0.1008839219999999|0.0|-0.766207981|-0.011639964|-0.029658865|10.94959842|-0.0492229479999999|1|-0.020716495|-0.033765606|-0.567791164|1|0.838928085|-0.083341531|0.795744863|0.033020439|-72.69619778|19.58668728|0.405958714|240.8019609|-0.0462988229999999|11.61820782|105.3125675|0.7531996609999999|-2.083447046|-44.47680367|87.15852628|-27.46300805|94.56841061|-1235.8353619999998|1890.195809|0.2468003389999999|7.52384981|0.895533283|146.3942108|-733.0587287000001|0.02438148|14.4623285|1.0|1.0|1.0|2.0|3.25|23.0|4.04|3.63|103.12|1.54|1.0|0.0|106.85|0.0|4.0|29.0|5.0|-6.73|384.39|0.0|0.0|1.0|2.85|0.0|4.57|-1292.553086|620.23|376.27|0.5767|324.5|464.08|0.69868|-1292.358966|-0.13329|-1292.414518|6.9031
9b_a31|0.0|1|0|3.338934004|0.0|0|7.765993078999999|1|0.0|5.733341277|-0.070525429|0|0.03995614|-0.045938305|0.0|-0.706953442|-0.0050444109999999|0.014628521|10.31169871|-0.091236608|2|-0.143280211|-0.2345186269999999|-0.554573699|0|0.811212624|-0.154083843|0.77051712|0.034595809|-80.40427495|21.21368453|0.330879448|202.8908225|-0.039058603|13.00794571|552.0968813|0.689175183|-1.835754351|-39.08032306|95.78862992|-23.95020956|84.94685678|-1125.659849|1711.969694|0.310824817|8.097516252|0.88518099|190.5935925|-690.2394625|0.025089192|15.38435497|1.0|1.0|1.0|2.0|3.58|16.0|5.26|3.5|117.37|0.86|1.0|0.0|103.36|0.0|7.0|27.0|5.0|-6.77|384.45|0.0|0.0|1.0|3.0|0.0|4.69|-1578.801576|663.06|322.58|0.2732|224.94|562.68|0.70102|-1578.604164|-0.15907|-1578.665571|7.2007
46_a18|0.0|0|0|0.0|0.0|0|7.03438793|2|0.0|4.844187086|-0.018808538|1|0.03531746|-0.046124025|0.0|-0.3872848129999999|0.002300582|-0.0669031009999999|10.94680484|-0.052591109|0|-0.1483628609999999|-0.224171123|-0.448177615|0|0.7100921609999999|-0.090469229|0.699483099|0.008975181|-54.33831169|6.376289807000001|0.173455401|123.2289237|-0.029244604|4.5299444310000005|58.66827342|0.782232748|-1.988633091|-35.20023815|63.70285871|-20.77641329|55.92367899|-1412.796104|1848.661552|0.217767252|8.980343774|0.8342358790000001|154.7096476|-1003.700904|0.013181412|9.36454702|0.0|0.0|1.0|2.0|4.27|18.0|3.68|3.3|76.5|3.33|2.0|1.0|151.14|0.0|7.0|36.0|3.0|-6.14|480.6|0.0|1.0|0.0|2.93|0.0|8.11|-1532.968527|765.33|384.45|0.4249|384.45|635.89|0.69181|-1532.493789|-0.13224|-1532.562476|6.7305
