molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|AATSC1i|n6aHRing|GATS1are|MATS8d|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|FNSA4|WNSA5|RPCS|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GRAV|PPSA1|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
30_a47|0.0|0|1|0.0|0.0|1|6.842683282|0|1.304327883|4.727387819|2|0.038387534|0.013114301|1.192095911|-0.415191425|-0.0098410169999999|-0.008774855|10.95005723|1|-0.008325552|-0.079370393|2|0.6850994429999999|0.074217097|0.651797437|1|-0.108232368|-0.107296835|0.384732322|0.022747897|-64.94243028|-64.38108459|13.64937081|-0.0383202979999999|-38.63044093|76.90733636|0.679447569|81.25550675|-22.9932445|78.59180109|0.4680850139999999|2626.927627|407.3992771|-965.7162688|1558.731067|0.320552431|12.94704346|5852.817155|192.3403721|-215.3470619|1421.325667|457.1122177|16.87442216|1.0|1.0|3.03|2.12|0.05|-7.24|3.93|98.72|1.78|1.0|0.0|1.0|5.0|28.0|-6.95|0.0|0.0|1.0|6.05e-05|7.94e-05|0.0315|0.0|0.0|5.74e-08|-0.0564299999999999|3.89|3.7159|-1696.078047|333.66|333.66|0.6944899999999999|-1695.931037|0.3566|2.7493|-0.20813|0.0420327|-1695.9887|3.6487|13.0|7.9|7.9
8a_a50|0.0|1|1|3.139870661|0.0|1|7.860570786|1|1.39826105|5.777652323|1|0.03904321|-0.0224366579999999|1.99158738|-0.188998337|0.007671336|-0.150515325|10.94501357|2|0.007801731|-0.11385159|1|0.75162266|-0.095292123|0.7135713840000001|1|-0.069208148|-0.08230347|0.278028663|0.018809422|-34.88425666|-41.48493288|9.480859015|-0.031655181|-20.91041439|0.0|0.751415713|50.06249379|-15.95574341|44.36511568|0.46183401|2206.356773|433.9235497|-622.2739931|1503.563342|0.248584287|10.69309012|4638.284496|125.2985144|-253.4513797|828.1354551|388.171611|8.577560914|1.0|1.0|3.34|2.01|0.11|-6.32|3.71|59.39|2.02|0.0|0.0|1.0|2.0|24.0|-6.12|0.0|1.0|1.0|0.000138|7.48e-05|0.0234|0.0|0.0|4.82e-07|-0.0280699999999999|2.69|4.1738|-1006.637067|297.06|220.53|0.60625|-1006.508913|0.1217|3.5509|-0.20051|0.03479985|-1006.557694|5.5319|47.0|7.3279|7.3279
15b_a50|0.0|0|1|0.0|0.0|2|7.934155233999999|1|1.353059441|5.82008293|1|0.032843915|-0.103807905|2.018777006|-0.22696498|0.004641091|-0.06083723|10.94501702|2|0.005203263|-0.2185722769999999|1|0.79846758|-0.216393362|0.764606364|1|-0.082576068|-0.080700307|0.447220762|0.020083792|-47.20879251|-46.13641893|11.48191704|-0.028069672|-26.37622116|0.0|0.639017342|60.03646705|-16.04745006|58.69070955|0.478989976|2441.264256|469.3167805|-738.1827030000001|1692.3273379999998|0.3609826579999999|13.22671714|5205.2135960000005|206.3740238|-158.95261259999998|1155.184146|510.3677388|13.90004811|1.0|1.0|3.56|2.11|0.19|-5.72|3.26|68.76|1.66|1.0|0.0|2.0|5.0|27.0|-6.98|0.0|1.0|1.0|0.000654|0.000249|0.0891|0.0|0.0|1.92e-06|-0.0333399999999999|2.08|4.0561|-1160.463663|305.67|305.67|0.65917|-1160.275856|0.1796|6.9054|-0.20071|0.03528279|-1160.330621|9.3788|79.0|7.1024|7.1024
43_a18|0.0|0|0|0.0|0.0|0|7.03438793|2|1.251175234|4.844187086|1|0.033734062|-0.05314954|0.0|-0.397752066|0.002712865|0.031746165|10.94702053|0|0.003801459|-0.2093696189999999|0|0.718255592|-0.0579590709999999|0.712848727|0|-0.070166168|-0.0822489459999999|0.3439906129999999|0.006890688|-54.49271386|-63.87648583|5.35147222|-0.0311212229999999|-49.60799696|21.60709738|0.8743733490000001|69.46280937|-24.16948112|59.84418608|0.481954273|3172.923606|661.9512957999999|-1788.541603|1579.614523|0.125626651|19.33108376|7428.282915000001|97.56464265|-581.4944803999999|2045.512486|1228.492038|5.5863235410000005|0.0|1.0|4.54|0.0|0.34|-9.6|4.08|76.5|3.7|3.0|1.0|1.0|9.0|38.0|-5.78|0.0|0.0|0.0|3.55e-07|1.09e-06|0.000554|0.0|1.0|2.52e-10|-0.04949|8.79|3.2233|-1611.598032|384.65|384.65|0.6926800000000001|-1611.126246|0.5429|3.0482|-0.18145|0.02315412|-1611.198355|3.6943|625.0|6.2041|6.2041
19_a31|0.0|1|0|3.2411335510000003|0.0|0|7.401841579|0|0.61013725|5.351858133|0|0.0427124179999999|-0.044625452|0.0|-0.46087445|-0.005956522|-0.040386271|10.31169935|2|-0.0038998559999999|-0.1751017789999999|0|0.656654981|-0.138769819|0.6427749970000001|0|-0.0909201569999999|-0.113333675|0.279690511|0.014675044|-53.25742146|-66.3863707|8.596058678|-0.036060715|-38.88650245|67.42915967|0.776211804|75.31824576|-21.12293613|61.85348014|0.446100738|2265.6917350000003|428.3459076|-929.4091898|1992.2502|0.223788196|12.77501178|4917.329034|131.0862475|-323.5878356|1197.365442|460.3754405|8.931875058|1.0|1.0|3.44|2.62|0.28|-7.39|4.33|98.91|1.68|1.0|0.0|1.0|7.0|25.0|-6.41|0.0|0.0|1.0|2.14e-05|0.0001199999999999|0.0431|0.0|0.0|4.08e-08|-0.04308|5.24|3.9477|-1489.4951640000002|314.06|246.28|0.7005600000000001|-1489.323855|0.2271|1.7076|-0.20675|0.03702801|-1489.382077|2.4209|1.8|5.7447|5.7447
6_a1|0.0|0|0|0.0|0.0|1|7.535296702|1|1.3488280769999998|5.4161004020000005|1|0.039635417|-0.114683042|0.0|-0.230035376|0.005054086|-0.00983397|10.95180041|1|0.006851583|-0.3632559589999999|1|0.781885145|-0.095907969|0.741035199|0|-0.057199415|-0.077422386|0.212044989|0.021009352|-27.63847818|-37.41011914|10.15161645|-0.0238222729999999|-18.076387|95.13138767|0.576759436|49.61122373|-11.51080589|37.79009463|0.4218263379999999|1956.144556|424.3707604|-448.9214297|1383.161829|0.423240564|9.609375529|4061.042516|204.5077752|-74.17956941|778.3512535|359.9965854|12.20110458|1.0|1.0|2.94|2.54|0.22|-6.02|3.57|39.94|1.75|0.0|0.0|1.0|3.0|22.0|-6.21|0.0|1.0|1.0|0.0007599999999999|0.00021|0.0613|0.0|0.0|9.51e-07|-0.02214|2.81|4.0635|-935.4750982|305.12|305.12|0.69818|-935.330989|0.3399|5.8386|-0.1899799999999999|0.027384499|-935.378591|8.0033|5.1|5.2924|5.2924
8e_a46|0.0|0|0|0.0|0.252655541|1|7.727094485|1|1.160371308|5.533389489|2|0.043238095|-0.126773923|0.0|-0.046696417|0.012911107|-0.184317354|10.96411233|1|0.0123581919999999|-0.135984209|2|0.669602597|-0.024620704|0.668786636|0|-0.053352779|-0.065982313|0.281227001|0.009576086|-27.16690715|-33.59778824|4.876083942|-0.023017086|-17.10778729|53.05984592|0.7492419109999999|39.62167507|-11.72015869|32.04299109|0.444693313|1982.950764|469.146955|-503.9668235|1415.320228|0.2507580889999999|9.911785304|4239.252176|127.6844779|-253.8248986|672.6356549999999|426.71841|6.023886838999999|0.0|1.0|3.21|2.93|0.32|-6.67|3.9|43.6|2.13|0.0|0.0|1.0|2.0|23.0|-6.02|0.0|1.0|1.0|0.0002569999999999|9.15e-05|0.0279|0.0|0.0|2.16e-07|-0.03175|3.0|4.5092|-954.9056294|274.96|274.96|0.6967|-954.743261|0.2162|3.2194|-0.2201|0.024010215|-954.793305|3.7755|406.0|6.3915|6.3915
12b_a40|0.0|0|0|0.0|0.0|1|7.515889085|0|0.604989475|5.4161004020000005|0|0.04020202|0.1744506639999999|0.747253086|-0.158107422|0.00779293|0.107454819|10.31197236|2|0.004452418|0.038336814|0|0.58925219|-0.227384615|0.522580798|1|-0.065048707|-0.074921647|0.2160572999999999|0.010845303|-37.05091872|-42.67442006|6.17734692|-0.0338355829999999|-24.3068084|48.17000329|0.856829717|48.54667776|-19.27231874|43.22826564|0.494842289|2462.878448|544.3244990000001|-597.4418808999999|860.5059425000001|0.143170283|16.09989085|5933.385347|81.54797734|-406.4913617|697.2702616|370.3261123|5.872257692000001|0.0|1.0|3.26|3.87|0.0|-8.39|6.74|58.43|5.07|2.0|0.0|1.0|2.0|24.0|-4.09|1.0|0.0|1.0|1.95e-08|7.82e-08|3.2500000000000004e-05|0.0|1.0|4.08e-09|-0.08279|6.27|3407.0|-3016.9868100000003|363.91|363.91|0.69476|-3016.927883|306.0|4.5528|-0.22546|0.01251873|-3016.980996|6.3131|0.04|7.3979|7.3979
14g_a23|0.0|0|1|0.0|-4.794439428|2|7.423568444|0|1.197957711|5.351858133|2|0.0422736629999999|0.058422864|0.653317181|-0.803522236|-0.002390707|-0.031968899|10.3132174|2|-0.0004039459999999|-0.2952674819999999|2|0.598213287|-0.044895912|0.575188253|1|-0.072819606|-0.096288005|0.297855753|0.018341721|-51.82254036|-68.52397802|13.05300369|-0.041536002|-48.76552945|1.5679977319999998|0.780315815|83.15907597|-29.55936307|64.87554405|0.461846955|3400.464046|645.7104105000001|-1507.527516|2531.8503170000004|0.219684185|16.32997765|8005.353973|156.3396622|-398.9771038|1931.945357|676.4530574|14.63509796|0.0|0.0|3.61|3.79|0.09|-7.95|6.18|114.25|3.04|2.0|1.0|1.0|7.0|35.0|-5.94|1.0|0.0|0.0|1.29e-07|1e-06|0.0004969999999999|0.0|0.0|1.12e-08|-0.08011|5.17|3.7042|-2042.161409|334.71|334.71|0.56658|-2041.934312|0.3478|7.2913|-0.23201|0.0221162|-2042.000034|10245.0|0.01|8.0|8.0
18_a31|0.0|1|0|3.281949877|0.0|0|7.401841579|0|0.610137226|5.351858133|0|0.0427124179999999|-0.051184519|0.0|-0.640807491|-0.009923585|-0.001973566|10.31169929|2|-0.007811355|-0.107017926|0|0.868704545|-0.1647054359999999|0.838968212|0|-0.11789212|-0.129469649|0.258135789|0.014467496|-69.19879619|-75.99442464|8.49194438|-0.040279446|-44.60622732|0.0|0.7774768320000001|85.81723707|-23.64270989|77.69074057|0.4492048839999999|2241.561812|426.0718665|-1063.9219449999998|1935.374782|0.222523168|12.84812443|4856.251645|130.6137795|-325.73954460000004|1368.42913|477.1857166|9.822812434|1.0|1.0|3.41|2.85|0.28|-6.54|3.48|119.14|0.75|1.0|0.0|1.0|7.0|25.0|-6.72|0.0|0.0|1.0|2.42e-05|0.000241|86.0|0.0|0.0|2.9e-07|-0.03702|4.81|3.9105|-1465.4803960000002|317.05|247.51|0.70058|-1465.300904|0.2457|3.0607|-0.19914|0.04825999|-1465.359325|4.6746|0.13|6.8861|6.8861
