molecula|SddssS|NaaNH|NaasN|nAHRing|SaasN|SRW07|JGI4|MATS7i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|MATS8s|MATS8d|nFaHRing|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|WNSA5|WPSA3|FNSA2|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
11_a47|0.0|0|0|0|0.0|0.0|0.033931624|-0.0586047379999999|10.93671007|0.046339015|0|-0.00580273|-0.120383371|-0.038723054|-0.079543257|-0.451384505|0.702719047|-0.058523885|0.07716247|1|-0.08164597|0.572646116|0.008462682|-50.01659041|-59.10798423|5.184267117|119.4035378|124.4421556|-36.20974614|3.175899139|-1.833244617|-22.02062158|0.4686568239999999|488.1611434|-1123.0517|0.183391205|5.966142027|11.22841564|0.8820228529999999|112.34605729999998|-687.9851765999999|0.0128657439999999|-387.9111844|1375.2628029999998|670.2339441|7.881596968999999|1.0|1.0|0.0|2.0|0.04|28.0|-10.55|5.58|70.93|2.0|0.0|0.0|0.0|4.0|32.0|-5.28|422.45|1.0|1.0|4.69|-6.03|5.110000000000001e-07|0.000216|0.0|2.81e-11|-0.05094|3.7253|-1396.184699|-1396.145101|654.49|1146.42|332.82|332.82|549.52|-1395.922861|0.2321|-0.1546|2.9142|-0.20554|0.03959805|-1395.980918|4.6111|0.04|7.4|7.4
7g_a8|0.0|1|1|1|1.336155045|5.4161004020000005|0.0448526079999999|-0.030968098|10.9431888|-0.027717137|1|0.0002620309999999|-0.065174707|0.021974492|0.046246982|-0.418049442|0.627990269|0.098510683|-0.044866536|0|-0.107714754|0.306360885|0.031841955|-64.55562181|-67.26263865|19.08352484|144.290464|180.1699331|-40.31185423|11.43714084|-2.020168201|-27.51653399|0.470618047|419.1502102|-1210.7274960000002|0.193261535|7.588498875|14.3346384|0.8889952590000001|115.825531|-725.6133762000001|0.018613449|-367.6690814|1500.768277|509.2753308|11.15541466|1.0|0.0|1.0|1.0|0.04|23.0|-7.91|4.94|80.04|2.0|0.0|0.0|1.0|3.0|30.0|-5.63|399.37|0.0|1.0|4.14|-5.44|1.67e-06|0.000667|0.0|1.23e-08|-0.06621|3.7874|-1374.493069|-1374.4533210000002|620.67|1053.9|327.36|327.36|507.78|-1374.291597|0.5165|-0.15508|10.1546|-0.22129|0.03974865|-1374.3479960000002|12.9547|21.03|4.6772|4.6772
14ae_a23|0.0|0|2|0|3.338149829|5.351858133|0.042903564|0.026913008|10.31321689|0.0289586779999999|2|0.009675528|0.047563299|-0.143336826|-0.253318853|-0.363230717|0.7763406840000001|0.107765697|0.0469453379999999|1|-0.065169397|0.202342743|0.03467374|-46.69131269|-62.38566188|24.84237243|111.4422142|91.4475768|-44.69687612|17.79858399|-1.480271319|-19.28284095|0.479058976|625.0131414|-1060.556252|0.46959234|8.123993885|15.59484379|0.919603093|336.444465|-759.846894|0.034488074|-43.57178809|1999.511567|770.8206617000001|24.70935041|0.0|0.0|1.0|1.0|0.12|26.0|-7.6|3.48|123.48|2.0|1.0|0.0|1.0|7.0|34.0|-6.68|471.53|0.0|0.0|3.44|-5.08|1.6e-06|0.000753|0.0|2.49e-08|-0.07122|3.6036|-1858.967022|-1858.952529|751.57|1285.52|344.06|344.06|627.57|-1858.675325|0.3205|-0.14537|7.0211|-0.21659|0.01449323|-1858.7404850000005|9.5944|2.0|8.6038|8.6038
20_a4|0.0|0|1|1|2.017439295|5.4161004020000005|0.039635417|-0.061689675|10.9459449|-0.059498265|1|0.012025268|-0.098992154|-0.064248765|-0.103098674|-0.211751813|0.691307598|0.246357638|-0.105783279|0|-0.060595472|0.210083785|0.022933651|-29.16642156|-34.74640079|11.03865532|63.27373076|39.3981702|-16.72448692|5.313236547|-1.010636274|-13.14728679|0.421704107|441.9318823|-486.4496111|0.356414753|5.543543957000001|9.58599918|0.729218575|171.5531319|-234.1428169|0.024334176|-138.2237887|755.8433223999999|338.71903330000004|11.71277006|1.0|1.0|1.0|0.0|0.11|17.0|-5.55|3.2|39.94|0.0|0.0|0.0|2.0|3.0|22.0|-5.96|289.33|0.0|1.0|2.97|-3.87|0.000346|0.1|0.0|2.79e-06|-0.03048|5.1778|-934.2489802|-934.2266312|517.72|861.05|306.74|239.45|402.27|-934.103809|0.1415|-0.16699|4.0681|-0.19747|0.022349042|-934.150871|5.5779|646.0|6.1898|6.1898
16g_a32|0.0|1|0|0|0.0|5.733341277|0.03898374|-0.049658216|10.31100263|0.004735761|3|-0.00030659|-0.085591073|-0.117577419|-0.202656848|-0.696926204|0.79965447|-0.026098259|0.008494733|1|-0.078387439|0.542303725|0.023959586|-57.77542509|-77.75914881|17.659402|90.88837862|132.1955522|-57.31234426|13.01585399|-1.79350976|-24.94161377|0.3972359179999999|604.8539801|-1321.90553|0.313667656|9.3963701|15.58880229|0.65902387|231.1885989|-974.3098525|0.02276861|-274.67233460000006|1926.042887|701.9321161|16.78159325|1.0|1.0|1.0|2.0|0.33|19.0|-8.16|6.81|149.27|3.0|0.0|1.0|1.0|10.0|30.0|-5.69|441.57|1.0|1.0|4.37|-5.32|3.08e-08|1.36e-05|0.0|6.890000000000001e-09|-0.05|3.6161|-2034.621991|-2034.593036|752.29|1245.25|342.86|342.86|639.49|-2034.342619|0.2879|-0.14968|3.7346|-0.19968|0.02895494|-2034.408165|4.3204|11.0|7.9586|7.9586
14b_a23|0.0|0|2|0|3.2475997860000003|5.351858133|0.043538647|0.0519489729999999|10.31321824|-0.047410593|2|0.0075222369999999|0.121308009|-0.073945564|-0.17267308|-0.4557487779999999|0.616699629|-0.00399443|-0.077808321|1|-0.063267638|0.228282196|0.020454632|-41.01458464|-53.44429544|13.26014776|40.76245006|99.66542762|-34.64639496|8.596171261|-1.64882535|-22.74225338|0.450973737|548.6057241000001|-1068.885909|0.225640295|7.833620016|14.26820636|0.821406493|146.2760938|-692.9278992000001|0.01779446|-355.71896410000005|1380.34805|599.5697147999999|11.53563485|0.0|0.0|1.0|1.0|0.05|26.0|-7.67|3.78|105.02|2.0|1.0|0.0|1.0|5.0|31.0|-6.31|429.47|0.0|0.0|3.78|-5.11|2.66e-06|0.00114|0.0|2.14e-08|-0.07803|3706.0|-1729.161608|-1729.139722|673.05|1142.37|334.55|334.55|525.66|-1728.9300010000002|0.3603|-0.15064|6.8752|-0.2286699999999999|0.02188578|-1728.9893510000002|9.7544|4.0|8.3536|8.3536
7b_a8|0.0|1|1|1|1.4628217119999998|5.4161004020000005|0.040873016|-0.024156447|10.9465091|-0.0254956129999999|1|0.003191529|-0.039357491|-0.021509048|-0.035044152|-0.415894017|0.710658316|0.048462902|-0.040994467|0|-0.101439013|0.282366236|0.033167971|-60.75943432|-59.93853201|19.86678613|145.0783004|166.30684230000003|-35.90168309|11.89970852|-1.901301524|-24.75721974|0.4787988|432.6681725|-1138.832108|0.246064343|7.698000901|14.76972982|0.918644854|147.3863936|-682.1319788|0.022982731|-304.2022276|1510.516312|545.9267515|13.76608164|0.0|0.0|1.0|1.0|0.09|23.0|-7.65|4.48|92.93|2.0|0.0|0.0|1.0|3.0|30.0|-6.15|396.4|0.0|1.0|3.5|-4.94|5.64e-06|0.00224|0.0|2.25e-08|-0.06833|4.5945|-1330.622441|-1330.595067|621.4|1067.73|380.32|269.85|506.21|-1330.392289|139.0|-0.13639|9.9463|-0.20472|0.0273745|-1330.448193|12.7344|13.53|4.8687|4.8687
12g_a36|0.0|1|0|2|0.0|5.351858133|0.03912037|0.078990142|10.95259306|-0.0521750109999999|1|0.005035022|0.130052038|-0.099596099|-0.163978382|-0.44093902|0.901715152|-0.19532883|-0.088251318|0|-0.069292341|0.374686587|0.017738779|-47.63457647|-66.72829531|12.19441007|24.29006276|100.2028184|-45.87193951|8.382969151000001|-2.038413337|-23.75074918|0.473274545|587.240781|-1401.294202|0.2202546819999999|7.285010602000001|13.83075477|0.898522257|151.41267150000002|-963.3107298|0.015152386|-384.6182564|1797.1178149999998|799.5563855|10.41641087|1.0|0.0|1.0|2.0|0.24|17.0|-7.38|3.85|69.2|2.0|0.0|0.0|1.0|6.0|32.0|-6.19|423.51|0.0|1.0|2.66|-4.86|1.13e-05|0.0047799999999999|0.0|4.2e-08|-0.0505199999999999|5.2092|-1350.887005|-1350.861445|724.32|1241.66|333.83|238.01|657.02|-1350.571683|45.0|-0.15236|5.912000000000001|-0.20288|0.0255597|-1350.633209|7.8537|14.0|7.8539|7.8539
4_a3|0.0|0|0|0|0.0|4.727387819|0.035345345|-0.08769805|10.31162267|0.0248526079999999|1|-0.007022144|-0.208888686|0.053425134|0.127253753|-0.607238634|0.640351067|-0.028924747|0.041477445|1|-0.110345083|0.5842630360000001|0.008006786|-52.4583525|-46.9200748|3.806447632|235.6982345|123.350856|-22.30593113|1.809595554|-1.381735991|-18.76802992|0.415852758|352.05186289999995|-656.8810472|0.133023729|5.05182773|8.648209506|0.711897153|63.23984222|-312.2830359|0.0100954959999999|-348.9230345|757.6690029|347.9532383|4.799426464|1.0|1.0|0.0|1.0|0.0|21.0|-7.53|5.3|80.04|1.0|0.0|0.0|1.0|2.0|23.0|-5.21|321.37|0.0|1.0|4.09|-5.09|2.02e-06|0.00065|0.0|2.950000000000001e-08|-0.0584299999999999|5.9341|-1355.332318|-1355.303098|504.29|858.45|356.58|208.93|338.33|-1355.192416|119.0|-0.14983|2.3542|-0.20826|0.02921941|-1355.239905|3.1409|1259.0|5.9|5.9
15b_a50|0.0|0|2|1|4.112770601|5.82008293|0.032843915|-0.103807905|10.94501702|-0.124047802|2|0.005203263|-0.17223348|-0.131737048|-0.2185722769999999|-0.310946931|0.79846758|0.000882622|-0.216393362|1|-0.082576068|0.447220762|0.020083792|-47.20879251|-46.13641893|11.48191704|274.85729960000003|102.3838797|-26.37622116|6.564219549|-1.291204916|-16.04745006|0.478989976|469.3167805|-738.1827030000001|0.3609826579999999|6.89125222|13.22671714|0.919348867|206.3740238|-422.0195386|0.024313507|-158.95261259999998|1155.184146|510.3677388|13.90004811|1.0|1.0|1.0|1.0|0.19|20.0|-5.72|2.71|68.76|1.0|0.0|0.0|2.0|5.0|27.0|-6.98|357.41|0.0|1.0|2.37|-3.6|0.000654|0.2339999999999999|0.0|1.92e-06|-0.0333399999999999|4.0561|-1160.4989460000002|-1160.463663|613.37|1035.3|305.67|305.67|475.99|-1160.275856|0.1796|-0.16737|6.9054|-0.20071|0.03528279|-1160.330621|9.3788|79.0|7.1024|7.1024
8c_a31|0.0|1|0|1|0.0|5.733341277|0.03995098|-0.106461724|10.31169969|-0.1029580369999999|2|-0.004832959|-0.178276512|-0.053983462|-0.09039853|-0.513257014|0.922486359|0.006000201|-0.1759864119999999|0|-0.1170607269999999|0.280934088|0.029669107|-64.57121646|-70.64275621|16.3656112|133.3100368|206.2599245|-38.96685783|9.027343766|-1.66488115|-21.86561502|0.47508938|345.3445134|-918.3558307|0.27691747|6.820988495|12.99457133|0.90508624|152.7489054|-506.5691518|0.021986076|-246.1066271|1270.056726|423.1367008|12.12761708|1.0|1.0|1.0|2.0|0.29|16.0|-6.13|4.89|114.29|0.0|0.0|0.0|1.0|5.0|24.0|-6.7|342.42|0.0|1.0|2.83|-3.63|3.79e-05|13.0|0.0|7.45e-07|-0.03222|3.8492|-1426.166503|-1426.129055|595.67|981.89|322.11|322.11|475.72|-1425.968408|0.2597|-0.15985|3.3453|-0.19207|0.03744829|-1426.024361|5.1815|0.81|6.0915|6.0915
8_a47|0.0|0|0|0|0.0|5.476463552|0.0363475179999999|-0.087101663|10.93671024|-0.14203855|0|-0.007648516|-0.177626636|-0.00158075|-0.003223628|-0.4497577479999999|0.686795267|-0.035681436|-0.223459904|1|-0.075955381|0.517797505|0.008687692|-44.09728708|-53.11155658|5.043798869|90.32612351|87.2263982|-30.83488674|2.928269795|-1.646676195|-20.78278301|0.414302597|493.3419136|-956.0080185|0.180297967|6.492934319|11.08581716|0.707366287|104.6752861|-555.0279614|0.012935553|-371.2177396|1166.287236|559.4973856|7.509972037000001|1.0|1.0|0.0|2.0|0.13|22.0|-9.25|5.67|58.04|2.0|0.0|0.0|1.0|4.0|29.0|-4.79|405.85|1.0|1.0|5.03|-6.19|2.56e-07|0.000104|0.0|5.62e-10|-0.05495|3.6696|-1686.068471|-1686.0356350000002|621.06|1071.62|337.87|337.87|433.38|-1685.8518170000002|0.2249|-0.15357|3585.0|-0.2085199999999999|0.03283575|-1685.908004|4.6281|0.05|7.3|7.3
13l_a6|0.0|1|0|1|0.0|5.351858133|0.0408037829999999|0.090187973|10.95129637|-0.086595185|1|-0.006280295|0.144180269|-0.045794891|-0.073210645|-0.564860904|0.8694295409999999|-0.058931734|-0.1470289659999999|0|-0.118071236|0.210844002|0.030012523|-82.24617981|-88.13242567|20.90615311|182.8275745|248.6104661|-61.3913735|14.56282911|-2.53042863|-31.47586631|0.4257335779999999|447.9705372|-1762.648513|0.206328863|8.810095892|15.34147837|0.7413520309999999|143.7247666|-1227.82747|0.018273048|-409.1314702|2220.880201|741.5222707|12.72865798|1.0|1.0|1.0|3.0|0.16|23.0|-8.89|4.55|115.15|1.0|0.0|0.0|1.0|7.0|33.0|-6.59|441.48|0.0|1.0|3.07|-4.77|3.26e-06|0.00144|0.0|1.29e-09|-0.04885|3.6675|-1465.865882|-1465.834958|735.52|1249.13|349.26|338.07|578.91|-1465.560303|0.0165|-0.14562|7.2582|-0.19447|0.03092407|-1465.624566|8.9893|385.0|6.4145|6.4145
16a_a23|0.0|0|2|1|3.411338761|5.351858133|0.046283951|0.062601621|10.31321796|-0.071458049|2|0.01226642|0.115499047|-0.181609054|-0.335065967|-0.380779155|0.765869487|0.154144584|-0.116894582|1|-0.041095401|0.181301571|0.021379172|-26.53751114|-47.06687604|13.80568132|9.922436905|42.07919382|-30.39361398|8.915071155|-1.311960953|-16.6118386|0.49525751|603.6746046|-847.2037686000001|0.414079278|8.024409307|15.89802615|0.981208279|267.3932664|-547.0850515999999|0.02809646|-110.9672657|1445.935835|668.3493171|18.14339594|1.0|0.0|0.0|1.0|0.14|20.0|-5.27|2.03|108.26|1.0|1.0|0.0|2.0|5.0|31.0|-7.02|427.5|0.0|0.0|1.85|-4.31|2.6e-05|0.0111|0.0|5.38e-06|-0.0502|1.6239|-1685.913359|-1685.8794469999998|670.04|1172.0|763.49|763.49|555.21|-1685.580443|0.2066|-0.07625|11.6254|-0.12645|0.03391189|-1685.6419010000002|18.4446|39.0|7.4037|7.4037
14l_a23|0.0|0|2|0|3.402752757|5.351858133|0.046283951|0.042748013|10.313217800000002|-0.061788679|2|0.01180744|0.07815878|-0.074441567|-0.136106024|-0.448622017|0.725800261|0.156652778|-0.1010279259999999|1|-0.053549434|0.215920645|0.018669073|-35.3275485|-51.59307331|12.31633167|40.34135162|51.94117061|-34.03690099|8.125310915|-1.642298442|-21.66909079|0.492922575|607.777253|-1083.45454|0.210373806|8.006380163|15.78926563|0.972085426|138.7874759|-714.7749208|0.01508774|-382.1434717|1372.110688|666.0036144999999|9.953660282|0.0|0.0|1.0|1.0|0.09|26.0|-7.78|3.88|105.02|2.0|1.0|0.0|1.0|5.0|31.0|-6.1|425.51|0.0|0.0|3.78|-5.25|1.43e-06|0.000608|0.0|1.65e-08|-0.07191|3.6274|-1669.2363289999998|-1669.224647|694.65|1185.79|341.8|341.8|560.51|-1668.983787|0.4239|-0.14639|6.0563|-0.2183|0.01168219|-1669.04569|8.2422|7.0|8.1798|8.1798
5_a15|0.0|0|0|0|0.0|0.0|0.035982906|0.0729170329999999|10.95880662|0.0118220069999999|0|0.003194793|0.1093187759999999|-0.187421793|-0.28098676|-0.340979744|0.8384601770000001|0.092692253|0.020920163|0|-0.06128567|0.743577162|0.032616864|-45.57134103|-73.61131563|24.25353664|119.95308020000002|93.65193084|-54.73655332|18.03465935|-1.583914356|-20.30656983|0.486150431|649.9369163|-1177.78105|0.491010028|7.795174584|15.1701491|0.946094849|365.1095806|-875.7848531999999|0.036380071|-13.36968593|2313.9572780000003|779.0599798999999|27.05181494|1.0|1.0|1.0|1.0|0.15|24.0|-9.65|4.92|74.73|3.0|0.0|0.0|1.0|8.0|33.0|-5.55|443.49|1.0|1.0|4.29|-5.66|6.86e-07|0.000304|0.0|2.25e-10|-0.03714|4.3299|-1470.816175|-1470.779775|737.16|1272.84|341.96|286.35|629.67|-1470.487858|0.0199|-0.14839|4.3576|-0.18553|0.03640044|-1470.55517|6.35|13.0|7.8861|7.8861
12_a15|0.0|0|0|0|0.0|0.0|0.034285714|-0.035728911|10.95973444|-0.01062828|0|0.0034254209999999|-0.054575504|-0.120626133|-0.184255041|-0.380490701|0.8310685940000001|0.049877871|-0.019064393|0|-0.061084417|0.738437971|0.015018226|-39.00359933|-60.15445365|9.58943236|72.18361893|66.16793071|-38.40979933|6.123040777999999|-1.695766456|-20.42981445|0.476419838|572.3516967|-1082.780166|0.253510603|5.448223888999999|10.40571107|0.909927213|161.8714956|-691.376388|0.016453962|-314.7766363|1450.496376|673.7288405|10.50617745|1.0|1.0|0.0|1.0|0.12|24.0|-9.82|5.32|56.27|2.0|0.0|0.0|1.0|6.0|30.0|-4.97|397.47|1.0|1.0|4.7|-5.83|5.99e-07|0.0002379999999999|0.0|1.51e-10|-0.03196|4.4819|-1281.087109|-1281.060163|688.91|1177.81|321.72|276.63|585.26|-1280.810963|0.0093|-0.15858|4.3338|-0.19054|0.02694613|-1280.871722|6.0547|4.0|8.3979|8.3979
9_a47|0.0|0|0|0|0.0|0.0|0.037492877|-0.043270202|10.93671087|0.045804989|0|-0.007880155|-0.091848897|-0.021556658|-0.045757939|-0.4477815529999999|0.7033922579999999|0.046690958|0.075092937|1|-0.084368438|0.492394184|0.009540986|-44.13640712|-50.70744657|4.991260197|107.3271659|101.9336202|-26.52703503|2.611122094|-1.550867715|-19.3171225|0.482896681|421.2052248|-811.319145|0.209348023|5.653392499|10.93281031|0.93384951|109.5180831|-424.4325604|0.015793737|-304.1026787|1026.1394|442.7664664|8.262317504|1.0|1.0|0.0|2.0|0.05|22.0|-8.47|4.61|58.04|1.0|0.0|0.0|1.0|3.0|26.0|-5.26|345.37|0.0|1.0|4.09|-5.2|4.29e-06|0.00148|0.0|3.4000000000000003e-09|-0.05037|5.7429|-1149.090086|-1149.055456|566.1|959.59|333.44|215.89|406.35|-1148.896866|0.2208|-0.1545099999999999|2.2966|-0.20488|0.03463008|-1148.949486|3.4815|25.0|7.6|7.6
18d_a25|0.0|0|1|0|1.918453956|4.727387819|0.042843137|-0.031867489|10.31285314|0.016982601|1|0.0062422|-0.055336237|-0.035684977|-0.061965108|-0.292727912|0.722349659|-0.03671629|0.029728702|1|-0.061527513|0.278576218|0.011158458|-46.31109519|-57.45144813|8.39885106|70.58850837|46.80695276|-43.24308488|6.3217245360000005|-1.602893201|-21.166323|0.476833495|705.8822532|-1206.480411|0.24206301|9.479218984|18.11893325|0.911437354|182.1982146|-908.1047824|0.014219928|-388.2927768|1591.795131|883.4030667999999|10.70318668|1.0|1.0|1.0|1.0|0.11|27.0|-10.23|6.33|111.51|2.0|1.0|0.0|0.0|7.0|35.0|-6.21|474.58|1.0|1.0|4.5|-5.54|5.47e-07|0.00026|0.0|5.92e-11|-0.07287|5.6512|-1806.848384|-1806.812778|792.79|1358.25|340.69|219.39|664.72|-1806.514606|0.0389|-0.14723|3.2353|-0.2201|0.03560672|-1806.582751|4.3658|232.0|6.6345|6.6345
3m_a32|0.0|1|0|0|0.0|5.733341277|0.03962963|-0.0370712179999999|10.31100268|-0.078038283|3|0.000822186|-0.065422345|-0.04918838|-0.086806406|-0.49476131|0.6943636479999999|-0.0067207069999999|-0.126422018|1|-0.084626325|0.317009723|0.013428623|-50.60363458|-56.15082133|8.029854976000001|92.61088121|120.7751424|-33.57626169|4.801577352|-1.220740175|-16.22134838|0.4687361229999999|477.1904954|-729.9606772999999|0.325531778|7.0752395770000005|13.31775015|0.882303773|194.65681730000003|-436.4914018999999|0.018412178|-208.6520032|1082.275864|554.9424306|11.00984957|1.0|0.0|1.0|1.0|0.3|19.0|-7.38|7.02|128.01|2.0|0.0|0.0|1.0|3.0|27.0|-6.17|394.51|0.0|1.0|4.12|-4.86|1.14e-06|0.000449|0.0|4.190000000000001e-08|-0.05731|3.5749|-1863.502681|-1863.46877|641.52|1073.31|346.82|346.82|484.34|-1863.279862|0.2952|-0.14835|5082.0|-0.2056599999999999|0.0339106999999999|-1863.337677|8.0755|23.0|7.6383|7.6383
16a_a10|0.0|0|1|1|2.041062372|5.4161004020000005|0.0334858389999999|-0.085711535|10.92947902|-0.0048530629999999|1|0.011558506|-0.133979603|-0.162508526|-0.254024476|-0.1948324069999999|0.748039584|-0.068377262|-0.008879187|1|-0.052574986|0.3637074329999999|0.013872737|-36.408063|-53.28817038|9.606840334|77.68598956|58.06685151|-36.90194151|6.652715932|-1.615964058|-18.049219|0.4629532229999999|634.4309626|-1119.0515779999998|0.272940681|8.531706024|15.88633689|0.862035195|189.0108247|-774.9407716|0.014796066|-314.4761648|1539.147561|879.8636987|10.24624348|1.0|1.0|1.0|0.0|0.3|21.0|-8.5|4.73|56.07|3.0|0.0|0.0|1.0|9.0|33.0|-5.91|439.55|0.0|1.0|4.24|-5.17|6e-06|0.00264|0.0|3.18e-09|-0.04647|5.6019|-1395.158387|-1395.13019|760.0|1310.44|320.22|221.33|629.65|-1394.797092|0.0841|-0.1605|3.8323|-0.20697|0.02819643|-1394.861824|4.6574|47.0|7.3279|7.3279
4f_a49|0.0|0|1|1|2.066693174|5.4161004020000005|0.038839506|-0.087861524|10.92775957|0.0705130559999999|1|0.001714014|-0.14414265|-0.015845165|-0.025995042|-0.46436755|0.69044503|-0.00953448|0.114367229|1|-0.102926696|0.480786546|0.016591015|-55.88123394|-48.83888562|9.007637695|193.615884|142.7551002|-26.51573683|4.89045046|-1.439288231|-18.1726086|0.437355335|400.1675422|-781.4221699|0.2816937089999999|6.302023735|11.20071713|0.7773206840000001|152.9378926|-424.2517893|0.020905063|-237.0468572|1087.86764|467.1194103|11.34983222|0.0|1.0|1.0|1.0|0.14|21.0|-6.54|3.42|80.9|1.0|0.0|0.0|1.0|3.0|27.0|-6.6|356.38|0.0|1.0|2.85|-4.09|0.000102|0.0365|0.0|2.92e-07|-0.06954|4.6249|-1179.23587|-1179.201105|575.01|982.46|334.21|268.08|411.94|-1179.029099|0.0579999999999999|-0.15517|1.7833|-0.22471|0.03476467|-1179.080799|1.8254|0.04|7.3979|7.3979
15b_a10|0.0|0|1|1|2.145379897|5.4161004020000005|0.033219955|-0.111812184|10.92966694|-0.058911857|1|0.011928706|-0.175869992|-0.174170642|-0.27395395|-0.195505087|0.744213612|-0.058258414|-0.104250125|1|-0.046334564|0.697099355|0.015973068|-31.76194123|-50.44100799|10.94939968|43.96642219|53.52386591|-34.57687319|7.505718446|-1.398090862|-16.52377848|0.414077981|631.9674549|-958.3791518|0.329763626|6.6940006620000005|11.42472965|0.706711759|226.0501037|-656.9605906|0.017637846|-233.3911134|1429.912176|766.4127559|12.09059037|0.0|1.0|1.0|0.0|0.32|21.0|-8.18|4.34|56.07|1.0|0.0|0.0|1.0|7.0|31.0|-6.34|413.51|0.0|0.0|3.66|-4.64|4.46e-05|0.0185|0.0|6.609999999999999e-09|-0.04734|5.7620000000000005|-1317.766641|-1317.736865|721.17|1231.3|329.52|215.17|587.53|-1317.429772|0.1595|-0.15579|4.7752|-0.20313|0.02977516|-1317.4913390000002|6.1384|85.0|7.0706|7.0706
6_a15|0.0|0|0|0|0.0|0.0|0.042926829|0.106485923|10.95880677|-0.009025163|0|0.003942615|0.153430865|-0.195267558|-0.281352401|-0.35221474|0.8511056929999999|0.0371776429999999|-0.015484797|0|-0.07051817|0.398681391|0.02948637|-41.14459066|-71.76572566|17.20414198|105.4415725|82.0880213|-41.87249058|10.03794313|-1.599000943|-17.94143141|0.3902945579999999|501.3728188|-932.9544335|0.4180252789999999|6.110075236|10.02135591|0.640136254|243.9013805|-544.3423775|0.029449813|-95.65807914|1603.08412|592.4420375|17.18281248|1.0|1.0|1.0|1.0|0.23|18.0|-7.95|4.43|61.84|2.0|0.0|0.0|1.0|7.0|28.0|-5.33|380.44|0.0|1.0|4.11|-5.14|2.16e-06|0.000823|0.0|1.13e-08|-0.02419|4.3423|-1263.0243449999998|-1263.0072300000002|612.22|1092.02|328.9|285.52|545.21|-1262.75978|0.0113|-0.15714|1.3789|-0.18133|0.01711539|-1262.820532|1.9421|35.0|7.4559|7.4559
19l_a38|0.0|1|0|2|0.0|5.351858133|0.04391253|0.103904811|10.94917392|-0.032264281|1|0.000347207|0.217841852|-0.091460175|-0.191751024|-0.4224000739999999|0.723755855|-0.032569307|-0.053823023|0|-0.079681862|0.51306986|0.0219046379999999|-51.6277901|-65.35669452|14.19254029|133.9992534|129.8367176|-42.34617024|9.195687319|-2.017418574|-24.20618316|0.430111845|518.0872716|-1307.13389|0.262589769|6.568874137999999|11.52660233|0.754730276|170.13821069999997|-846.9234048000001|0.021129331|-307.64756780000005|1772.6006989999998|696.3887025|13.69020024|1.0|0.0|1.0|3.0|0.12|17.0|-7.28|4.03|81.23|2.0|0.0|0.0|1.0|6.0|32.0|-6.39|427.48|0.0|1.0|3.22|-4.72|1.15e-05|0.0049|0.0|5.27e-08|-0.0603299999999999|3.6709|-1409.5865199999998|-1409.557954|660.04|1164.34|369.66|337.75|502.31|-1409.309206|0.0233|-0.13977|6.5627|-0.2001|0.02856649|-1409.37001|9026.0|14.0|7.8633|7.8633
