molecula|SddssS|NaaNH|NaasN|nAHRing|SaasN|SRW07|JGI4|MATS7i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|MATS8s|MATS8d|nFaHRing|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|WNSA5|WPSA3|FNSA2|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
1b_a5|0.0|1|0|0|0.0|4.59511985|0.0248765429999999|-0.095857885|10.94890233|-0.028797464|1|0.003708988|-0.220946861|0.019611905|0.045204303|-0.231956531|0.567806811|0.122747292|-0.054153474|0|-0.07823203|0.341795323|0.010803163|-39.38248661|-38.87394276|5.438378717999999|168.30518769999998|96.23685048|-19.56938257|2.737713392|-1.158327367|-15.75970652|0.474445758|407.1693177|-583.1091414|0.267518749|6.11909445|11.64312636|0.90275317|134.6705884|-293.5407385|0.019229427|-234.0649914|796.0738116|357.34245360000006|9.680212283|1.0|1.0|0.0|1.0|0.0|23.0|-8.3|4.88|54.46|0.0|0.0|0.0|1.0|3.0|24.0|-5.99|316.33|0.0|1.0|3.38|-4.3|0.000106|0.0336|0.0|4.99e-09|-0.04135|4789.0|-1050.538976|-1050.506509|536.59|892.61|266.74|258.89|388.58|-1050.413506|87.0|-0.1892|2891.0|-0.23055|0.03246637|-1050.462425|4.3687|59.0|7.2291|7.2291
12a_a30|0.0|0|0|2|0.0|5.351858133|0.040166667|-0.096804291|10.31162903|-0.094932667|1|0.005458948|-0.171649606|-0.053309522|-0.094526372|-0.454270252|0.8421237309999999|-0.031179517|-0.171895425|0|-0.07699057|0.337975309|0.016292604|-47.73588073|-60.22802588|10.10177981|85.47365107|101.5505506|-37.34272719|6.263330101|-1.845630786|-23.35372432|0.469799116|518.4718832|-1144.332492|0.194809798|7.362386058999999|13.88603128|0.88607758|120.786445|-709.5118166|0.014884556|-378.4495438|1421.195251|620.9195447000001|9.228758655|1.0|0.0|1.0|1.0|0.14|17.0|-6.64|3.84|81.65|2.0|0.0|0.0|1.0|5.0|29.0|-5.98|398.48|0.0|0.0|2.63|-4.85|5.23e-06|0.00208|0.0|2.3100000000000002e-07|-0.05184|5045.0|-1575.7783980000002|-1575.745502|668.81|1122.01|355.41|245.76|507.17|-1575.538241|0.1511|-0.1481|4.1875|-0.19994|0.03289568|-1575.597759|4.7368|11.0|7.9469|7.9469
46_a18|0.0|0|0|2|0.0|4.844187086|0.03531746|-0.046124025|10.94680484|-0.052591109|0|0.003512954|-0.069691797|-0.1483628609999999|-0.224171123|-0.448177615|0.7100921609999999|-0.015124585|-0.090469229|0|-0.069742249|0.30524999|0.008975181|-49.54738918|-54.33831169|6.376289807000001|0.946462387|123.2289237|-38.60388092|4.5299444310000005|-1.988633091|-20.77641329|0.4548138479999999|587.2068577|-1412.796104|0.217767252|8.980343774|16.47206875|0.8342358790000001|154.7096476|-1003.700904|0.013181412|-401.0164861|1806.107079|1056.535856|9.36454702|0.0|1.0|0.0|2.0|0.3|18.0|-8.82|3.68|76.5|2.0|1.0|0.0|1.0|7.0|36.0|-6.14|480.6|0.0|0.0|2.93|-5.47|2.08e-06|0.000999|0.0|1.51e-09|-0.04995|3225.0|-1532.992457|-1532.968527|765.33|1380.79|384.45|384.45|635.89|-1532.493789|0.4249|-0.13224|2656.0|-0.18219|0.0239301|-1532.562476|3.2533|186.0|6.7305|6.7305
8m_a46|0.0|0|1|1|2.126524943|5.533389489|0.047345679|-0.134230003|10.94650201|-0.064176245|1|0.005865049|-0.206020062|0.010184776|0.015631887|-0.380393836|0.783187801|-0.084989948|-0.090247845|0|-0.0911455|0.280198209|0.007059399|-48.32436573|-45.17474201|3.742817678|166.8508795|65.63194084|-23.9511632|1.984401749|-1.448483903|-17.06601365|0.425802465|464.5573228999999|-767.9706141|0.114510313|5.684332261000001|9.899611044|0.7415609409999999|60.71213839999999|-407.1697745|0.006689855|-408.7649869|867.2835213999999|463.1469765|3.546889545|0.0|1.0|0.0|1.0|0.3|17.0|-6.46|4.16|50.94|1.0|0.0|0.0|1.0|2.0|24.0|-5.61|319.4|0.0|1.0|3.53|-4.56|3.3e-05|0.0105|0.0|3.5e-07|-0.01818|5.3062|-1014.126693|-1014.091966|570.72|970.82|289.14|233.66|489.57|-1013.91158|0.1441|-0.17897|2.0174|-0.19715|0.03472717|-1013.962913|3.1675|229.0|6.6402|6.6402
16f_a32|0.0|1|0|0|0.0|5.733341277|0.039958333|0.008658653|10.31100265|-0.000291262|3|-0.001202032|0.0151704889999999|-0.120440534|-0.211019184|-0.697693907|0.801401734|0.085125293|-0.000510986|1|-0.08168632|0.522247991|0.024434011|-56.53102601|-76.92280867|16.90955989|89.03402347|133.3750236|-53.23443736|11.7022626|-1.778433296|-24.61529877|0.384656622|558.6750754999999|-1230.764939|0.30526292|8.79158776|14.28728752|0.625108901|211.2572338|-851.7509977|0.022983292|-269.5356315|1771.554986|636.0251562999999|15.90558963|1.0|1.0|1.0|2.0|0.3|19.0|-7.77|6.42|149.27|3.0|0.0|1.0|1.0|9.0|29.0|-5.99|427.54|1.0|1.0|4.05|-4.97|1.12e-07|4.79e-05|0.0|1.7e-08|-0.04997|3.6272|-1995.307736|-1995.278839|722.06|1191.55|341.82|341.82|603.12|-1995.054457|0.2931|-0.15003|3.6641|-0.2|0.02889673|-1995.117771|4.2764|9.0|8041.0|8041.0
12l_a36|0.0|1|0|2|0.0|5.351858133|0.039061728|0.128666217|10.95423322|-0.0452558729999999|1|0.001194592|0.228884463|-0.098598933|-0.175397741|-0.428857427|0.8707354620000001|-0.041707369|-0.079106537|0|-0.079972189|0.3827446779999999|0.0220227089999999|-52.05361632|-70.17688229|14.33450402|39.27257375|101.6575135|-45.67788557|9.330278191|-1.940683231|-24.7683114|0.4619814279999999|549.2389652|-1263.1838810000002|0.262041641|7.471134223|13.88638723|0.8586718990000001|170.5619816|-822.2019402000001|0.02088234|-309.7725155|1711.727859|642.3830552000001|13.59224175|1.0|0.0|1.0|2.0|0.13|17.0|-6.66|2.75|92.99|1.0|0.0|0.0|1.0|5.0|31.0|-6.68|406.44|0.0|0.0|1.77|-4.29|2.72e-05|0.0111|0.0|2.21e-07|-0.0510399999999999|3.8619|-1325.194654|-1325.15957|686.83|1155.07|321.05|321.05|530.75|-1324.954011|0.4524|-0.15869|5392.0|-0.20973|0.03508404|-1325.0137550000002|7.2021|0.02|7699.0|7699.0
13n_a6|0.0|1|0|0|0.0|4.727387819|0.04393617|0.058267173|10.95053349|-0.033224059|1|-0.00687003|0.100294804|-0.068956229|-0.118693789|-0.57091314|0.870730542|-0.064779873|-0.056293641|1|-0.100363599|0.307384948|0.017758385|-68.88015714|-75.07706271|12.18768927|90.97854097|199.7822434|-51.52585133|8.36448634|-2.078466222|-26.41600355|0.47066442|486.5239262|-1426.464192|0.251032943|8.872063579|16.76075427|0.889160748|172.28545730000002|-978.9911754|0.019904118|-341.7352549|1904.575345|724.3873672999999|13.66031867|1.0|1.0|1.0|3.0|0.08|27.0|-9.67|4.19|122.47|1.0|0.0|0.0|1.0|6.0|33.0|-7.23|435.48|0.0|1.0|2.62|-4.28|2.27e-05|0.00987|0.0|2.1499999999999998e-10|-0.07131|4.8185|-1423.765005|-1423.714738|727.69|1232.6|369.99|257.31|548.09|-1423.451366|0.1945|-0.13863|7.1946|-0.20994|0.05026727|-1423.514154|10.1967|75.0|7.1249|7.1249
14u_a23|0.0|0|2|0|3.357982471|5.351858133|0.043321995|0.050530143|10.31321759|-0.0569153009999999|2|0.010508236|0.091604179|-0.110069159|-0.199540201|-0.4086345999999999|0.756252127|-0.001778422|-0.094773814|1|-0.055259924|0.445665682|0.0254134689999999|-36.90928915|-57.75236052|16.97420126|43.06242147|60.27663131|-38.57404134|11.3374334|-1.729315897|-22.64798452|0.47648509|607.6448353|-1155.04721|0.297131017|7.392527755|14.12094979|0.910165272|198.4601847|-771.4808267999999|0.023582305|-271.0010972|1643.332169|683.7405759|15.75112771|0.0|0.0|1.0|1.0|0.09|26.0|-7.51|3.42|114.25|2.0|1.0|0.0|1.0|6.0|32.0|-6.47|441.51|0.0|0.0|3.48|-5.02|2.32e-06|0.0010199999999999|0.0|3.11e-08|-0.0618299999999999|4.0409|-1744.446261|-1744.422541|712.54|1214.4|389.66|306.82|549.0|-1744.1781010000002|0.0008|-0.1543|5.9743|-0.21613|0.0237199999999999|-1744.2405670000005|8.1549|6.0|8.2449|8.2449
11d_a5|0.0|1|0|0|0.0|4.59511985|0.0228184279999999|-0.125546291|10.94877952|0.01948342|1|0.008809179|-0.202307745|-0.12451554|-0.200646773|-0.22897714|0.786587307|-0.018747485|0.036918829|0|-0.063028408|0.359644732|0.012828514|-40.04753555|-53.84338206|8.151092424|61.45330587|82.02685783|-34.21147402|5.179111638|-1.525335513|-18.63809379|0.49396568|553.3617954|-969.1808771|0.287694578|8.920296087|17.62784804|0.976150552|182.7978704|-615.8065323|0.018119737|-269.7929124|1360.625438|631.9206508|11.51307533|1.0|1.0|1.0|1.0|0.17|23.0|-8.64|4.41|66.93|1.0|0.0|0.0|1.0|7.0|29.0|-6.47|385.46|0.0|1.0|3.28|-4.29|7.2e-05|0.0278|0.0|2.31e-09|-0.03767|4.4175|-1239.127458|-1239.093739|682.09|1154.67|301.89|280.66|594.45|-1238.855022|0.2068|-0.16762|2.8731|-0.20529|0.03371838|-1238.914819|3.7008|15.0|7.8239|7.8239
3e_a32|0.0|1|0|0|0.0|5.733341277|0.044949495|-0.057366352|10.31100276|-0.080731823|3|0.002004382|-0.1046390059999999|-0.076494363|-0.1395294259999999|-0.551661318|0.8315372|-0.061561535|-0.12378337|1|-0.073411249|0.290874543|0.0124235339999999|-39.56206964|-53.92151824|6.69516884|47.09895162|71.04473954|-29.05885545|3.608094688|-1.200679139|-16.59123638|0.4513338939999999|467.865447|-647.0582188|0.224744634|5.863649531|10.68709999|0.822602107|121.1171726|-348.70626539999995|0.012891628|-296.6758413|834.6388134|421.3548777|6.94742943|1.0|1.0|1.0|1.0|0.24|19.0|-6.92|6.8|110.94|1.0|0.0|0.0|1.0|3.0|23.0|-5.2|340.47|0.0|1.0|4.3|-5.18|3.02e-07|0.000103|0.0|1.2099999999999998e-07|-0.0534399999999999|3.5589|-1672.748189|-1672.722302|578.77|956.67|348.38|348.38|456.76|-1672.576776|0.2914|-0.14754|3.4537|-0.20098|0.02588637|-1672.62984|5.6928|8.0|8.0862|8.0862
