molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1s|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|FNSA3|PBF|FPSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|WPSA3|FNSA1|DPSA5|PNSA4|GeomPetitjeanIndex|FPSA1|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|Mor01p|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (water)|IC50|pIC50
8e_a46|0.0|0|0|0|0.252655541|7.727094485|1|1.160371308|-0.205882192|0.000950213|-0.126773923|0.0|0.012911107|-0.184317354|10.96411233|-0.016857659|1|1|0.0123581919999999|-0.203086023|-0.08488645|-0.135984209|2|0.669602597|0.789844634|-0.024620704|0.837678812|0.668786636|-0.053352779|0.281227001|0.009576086|-33.59778824|4.876083942|0.078647648|-0.023017086|-17.10778729|2.482871976|0.7492419109999999|39.62167507|-11.72015869|0.444693313|0.2507580889999999|9.911785304|4239.252176|127.6844779|-256.61680930000006|15.64268965|-253.8248986|426.71841|1.0|1.0|1.0|0.0|3.21|4.09|3.9|2.13|0.0|1.0|2.0|-3.59|23.0|3.0|1.0|3.21|0.0002569999999999|9.15e-05|3.01|0.0|0.0|6.57e-05|4.5092|4.5092|-954.9296396|-954.9056294|552.99|274.96|457.96|0.6967|0.6967|-954.743261|0.2162|-0.18835|3.7755|406.0|6.3915
10_a27|0.0|0|0|0|0.0|6.605297921|0|1.400533489|0.122016352|-0.044164147|-0.184068581|1.296293777|0.00991794|0.034318674|10.93783185|-0.000903965|1|1|0.010329671|-0.309727442|-0.2030237389999999|-0.341622797|2|0.639413469|0.804375252|-0.001453596|0.862408925|0.614205449|-0.061299064|0.346344305|0.017676458|-46.27574168|9.399794974|0.147337847|-0.031079371|-24.60801194|4.998521009|0.7453606909999999|55.05868025|-16.5270506|0.477162521|0.254639309|12.9316403|4894.8090170000005|135.40932969999997|-369.1201792|22.1732254|-260.9504933|424.8821143|0.0|0.0|1.0|0.0|3.01|2.81|2.97|2.25|0.0|1.0|3.0|-3.57|25.0|4.0|1.0|2.74|0.000266|0.0001189999999999|2.55|0.0|0.0|0.000192|4.1495|4.1495|-1083.137871|-1083.1151289999998|573.31|298.79|450.26|0.63894|0.63894|-1082.956472|0.4452|-0.16805|6.9456|69.0|7.1612
16_a3|0.0|0|0|0|0.0|6.823286122000001|0|0.605020428|0.183636734|-0.186717242|0.027762972|1.614080058|-0.010377537|-0.013328983|10.31163046|-0.018884246|1|1|-0.008409607|0.069124437|0.0032314229999999|0.008045619|2|0.659478546|0.767641592|-0.031683873|0.838125715|0.640070307|-0.108919585|0.252612735|0.012203576|-49.45999101|6.027544549|0.302520871|-0.041233465|-24.42909382|2.977102266|0.8296818009999999|56.56724056|-20.36587865|0.484889078|0.1703181989999999|11.22152755|4733.033232|84.12292796|-342.00731349999995|24.54661368|-325.670405|328.71459869999995|1.0|1.0|1.0|1.0|3.13|4.74|4.57|2.26|0.0|1.0|2.0|-4.98|23.0|4.0|0.0|3.5|1.05e-05|3.2200000000000003e-05|3.35|0.0|0.0|2.25e-05|3.2208|3.2208|-1371.388717|-1371.360243|520.28|384.94|368.22|0.6944100000000001|0.6944100000000001|-1371.250459|0.3866|-0.13195|3613.0|42.0|7.3768
10_a1|0.0|1|0|0|0.0|6.86171134|0|1.435871163|0.0883621719999999|-0.23385288|0.049971022|0.0|-0.012672753|-0.020225596|10.94957578|0.010430299|1|1|-0.0106277489999999|0.107434253|-0.019835038|-0.042643966|1|0.674381582|0.7227844929999999|0.017498337|0.783467165|0.658433571|-0.116648443|0.126889306|0.014751098|-61.93104798|8.34295348|0.330036242|-0.045402319|-35.02707638|4.718623023|0.8340962559999999|70.6564636|-25.67872721|0.459673515|0.165903744|13.65143394|5192.858899|93.83214542|-595.4602985|30.78628757|-377.9175542|433.2550452|1.0|1.0|0.0|2.0|3.0|4.86|5.06|2.78|0.0|1.0|4.0|-4.98|27.0|5.0|0.0|3.7|1.04e-05|1.87e-05|3.64|0.0|0.0|3.42e-06|3.4067|3.4067|-1223.159954|-1223.125689|585.51|363.94|464.77|0.70345|0.70345|-1222.969096|0.6754|-0.13576|7807.0|1.5|5.8239
47k_a18|0.0|0|0|0|0.0|7.03438793|1|1.25117623|0.029145635|-0.0605329409999999|-0.017736343|0.0|0.003047962|-0.02822032|10.94702256|-0.008576013|0|0|0.00493127|-0.026672956|-0.279965025|-0.421027889|0|0.762665453|0.721697829|-0.014398731|0.753132457|0.737517943|-0.065324278|0.3533268229999999|0.015080484|-69.77479556|11.91029894|0.169064596|-0.030255779|-55.10689702|9.406543039|0.7153044209999999|84.23875372|-23.89547793|0.467246896|0.284695579|18.35217454|7575.637462000001|224.8475227|-1377.672426|33.40602576|-340.0872332|1167.054827|1.0|1.0|1.0|2.0|4.66|2.39|3.17|2.82|2.0|1.0|11.0|-5.84|38.0|4.0|0.0|2.53|1.44e-06|4.65e-06|4.26|1.0|1.0|1.85e-06|3.0948|3.0948|-1664.756029|-1664.728002|842.29|400.63|793.48|0.69823|0.69823|-1664.2657390000002|0.5920000000000001|-0.1277599999999999|5.2253|29.0|7.5376
17g_a50|0.0|0|1|1|0.0|7.934155233999999|2|1.320916184|-0.185924266|0.052557574|-0.05611228|2.236579664|0.012079|-0.022378911|10.94501702|-0.1155555559999999|2|2|0.01245647|-0.090386911|-0.200725906|-0.323333765|1|0.754575205|0.738521694|-0.2126789369999999|0.7787714459999999|0.7276268779999999|-0.048170917|0.442201795|0.014550016|-47.17463902|9.710172008|0.079336825|-0.025918901|-31.48270383|6.48022912|0.749948388|56.28102287|-17.29736764|0.467997084|0.250051612|15.28352231|6102.424958|166.8756987|-692.6194843|23.06474408|-333.6136209|829.3813984|1.0|1.0|1.0|0.0|4.04|3.71|4.37|2.71|0.0|1.0|6.0|-4.46|32.0|4.0|1.0|3.63|3.4899999999999995e-05|1.39e-05|3.68|0.0|0.0|4.6500000000000005e-05|4.0458|4.0458|-1335.976491|-1335.946919|725.92|306.45|559.45|0.6623600000000001|0.6623600000000001|-1335.631756|0.1795|-0.16699|9.1706|246.0|6.6091
33_a20|0.0|0|0|0|0.0|6.842683282|0|1.4175014119999998|-0.188733405|0.023539095|0.148855442|2.0219022580000003|0.009265667|-0.061975089|10.93244905|-0.062750442|1|1|0.008780074|0.248715569|-0.036258691|-0.060582944|2|0.616352201|0.74131936|-0.10978034|0.802353442|0.607038752|-0.058927252|0.399354817|0.012738882|-45.72654913|8.340767701|0.0506104|-0.0265385579999999|-29.9394021|5.46110745|0.759356182|54.60811436|-17.37608867|0.465855239|0.240643818|15.094865900000002|5916.443448|157.56124519999997|-568.84864|22.88265911|-339.6262863|664.4562602999999|0.0|1.0|1.0|0.0|3.39|5.33|5.39|2.61|0.0|1.0|4.0|-5.6|31.0|4.0|0.0|4.28|2.48e-06|2.98e-06|4.47|0.0|0.0|8.199999999999999e-08|5443.0|3.8867|-1275.852801|-1275.823229|689.51|227.79|563.98|0.27375|0.6129|-1275.602977|0.0463|-0.15959|5.0369|34.0|7.4685
2_a3|0.0|0|0|0|0.0|6.823286122000001|0|0.605017347|0.176032668|-0.09743592|-0.103423993|2.058239271|-0.006049098|0.09933632|10.31162302|0.036301827|1|1|-0.0045709459999999|-0.18746945|0.017902469|0.032450556|2|0.899733837|0.769486995|0.065162907|0.8401405609999999|0.841871246|-0.104577702|0.4551292289999999|0.011938463|-44.07280196|5.601853871|0.249793422|-0.033150466|-20.68016573|2.628543258|0.727984269|53.05538527|-15.55510657|0.458202525|0.272015731|9.016533738|4446.904467|127.637231|-248.1619888|21.36736636|-213.9529255|330.4083896|1.0|1.0|1.0|1.0|2.97|4.34|4.01|1.6|0.0|1.0|2.0|-4.75|22.0|3.0|0.0|3.06|1.7800000000000002e-05|5.33e-05|3.13|0.0|0.0|3.9500000000000005e-05|5.4397|3.3354|-1272.143337|-1272.114086|503.34|227.92|340.69|0.37284|0.69543|-1272.001389|0.0962|-0.14605|5.4999|3981.0|5.4
10_a4|0.0|0|0|0|0.0|7.535296702|1|1.343863662|-0.180140166|0.005483539|0.00941601|2.149387791|0.01107733|-0.122141977|10.92992762|-0.090413559|1|1|0.011142889|0.014917047|-0.083887216|-0.132895939|2|0.6990620390000001|0.810105167|-0.150288496|0.861225169|0.6799081490000001|-0.051015897|0.43000216|0.014582852|-45.97324097|8.440134933|0.078346981|-0.027007048|-26.60798798|4.884907049|0.744529685|54.09964719|-15.63090193|0.4858700179999999|0.255470315|11.20225306|5598.949417|147.85886159999998|-452.3357957|20.99433004|-283.0534799|594.7358385|1.0|1.0|1.0|0.0|3.46|4.93|4.81|2.53|0.0|1.0|4.0|-4.66|28.0|4.0|1.0|3.9|2.21e-05|1.4e-05|3.85|0.0|0.0|3.15e-06|4.9674|3.6465|-1183.812875|-1183.790554|619.99|249.6|470.02|0.4662|0.7038399999999999|-1183.54701|0.0176|-0.15561|2.2386|88.0|7.0555
12s_a30|0.0|0|0|0|0.0|7.412764017000001|2|0.604984545|-0.00019297|-0.095120438|-0.0601024909999999|0.0|-0.002544958|-0.035768573|10.31162892|-0.04950715|1|1|-0.001131023|-0.1597740919999999|-0.0546637159999999|-0.145315868|1|0.609043558|0.83236194|-0.080971844|0.889479916|0.591758164|-0.090733404|0.404041243|0.019324097|-67.11451776|12.51292194|0.2932862089999999|-0.040189672|-43.45862792|8.102485674|0.790481833|78.38074776|-26.02399668|0.467381416|0.209518167|15.14544373|6639.7334200000005|135.66918710000002|-825.7139305|32.92168852|-376.1910929|616.2856203|0.0|1.0|0.0|1.0|4.63|4.67|3.74|3.58|0.0|1.0|5.0|-5.49|31.0|6.0|0.0|3.21|3.24e-06|6.71e-06|4.07|0.0|0.0|3e-05|5.0438|3.5348|-1774.236634|-1774.202623|677.35|245.81|526.07|0.43338|0.68458|-1774.01033|0.1576|-0.14985|3.9579|7.0|8129.0
