molecula|SddssS|NaaNH|SaaNH|SssssC|NaasN|SRW09|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC7i|MATS1i|AATSC1i|n6aHRing|BIC2|MATS8s|SIC2|RASA|FNSA5|PBF|FPSA3|PNSA3|TPSA_x|FNSA4|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|FPSA1|GeomShapeIndex|GRAV|PPSA1|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Gibbs Free Energy|pIC50
14g_a23|0.0|0|0.0|-4.794439428|2|7.423568444|3.0793867980000003|0.180361525|-0.014609495|-0.301504331|2|0.0422736629999999|0.058422864|0.653317181|-0.803522236|-0.002390707|-0.031968899|10.3132174|0.179219801|-0.0962526|-0.2952674819999999|2|0.796412133|0.010202051|0.854683662|0.907334473|-0.096288005|0.297855753|0.018341721|-51.82254036|65.94601775|-0.041536002|1.5679977319999998|0.780315815|-36.87984398|83.15907597|-29.55936307|0.461846955|3400.464046|645.7104105000001|-1507.527516|0.219684185|0.8582074559999999|8005.353973|156.3396622|-398.9771038|1931.945357|14.63509796|0.0|0.0|1.0|0.0|1.0|1.0|0.09|26.0|-7.95|3.97|114.25|2.0|126.97|0.0|7.0|-6.89|-5.94|1.0|0.0|4.35|1.29e-07|1e-06|0.0004969999999999|4.76|0.0|0.0|1.12e-08|3.7042|5.17|3.7042|-2042.1835260000005|-2042.161409|730.13|1233.48|334.71|0.3478|0.56658|-2041.934312|0.3478|-0.1519|-2042.000034|8.0
19_a4|-3.21497177|0|0.0|0.0|1|7.535296702|1.943606348|-0.121320311|-0.0023503029999999|-0.3929802189999999|1|0.040511696|-0.052325802|0.0|-0.105763614|0.006243904|-0.211341677|10.30966825|-0.086166959|-0.0255403279999999|-0.042058265|1|0.774746438|0.152550043|0.834377354|0.820765063|-0.0759826109999999|0.285282038|0.013022539|-38.9063534|98.66465411|-0.028945757|13.25878373|0.764880253|-21.41704046|49.73882261|-15.93396412|0.460486754|2558.336814|451.8120313999999|-669.2264932|0.235119747|0.85352261|5232.561157|129.4279389|-291.6208078|874.9428297000001|7.912166787999999|1.0|0.0|1.0|0.0|1.0|0.0|0.16|17.0|-6.09|2.97|73.23|1.0|98.19|0.0|3.0|-3.81|-6.58|0.0|1.0|2.92|0.000156|0.000106|0.0373|2.62|0.0|0.0|8.070000000000001e-07|4.1858|6.67|4.1858|-1446.939719|-1446.909868|583.39|983.4|296.2|0.3806|0.67535|-1446.760398|0.3806|-0.17004|-1446.813896|4.71
12y_a36|0.0|1|3.479963309|0.0|0|7.412764017000001|0.0|-0.061103469|-0.00707164|-0.065314765|2|0.041767677|0.036174187|0.0|-0.410155116|0.002782748|-0.049845887|10.94917392|0.06152178|-0.095253274|-0.1619981409999999|1|0.820226782|0.046673879|0.873588247|0.83704133|-0.098532865|0.424572485|0.019404665|-51.48548385|109.55137340000002|-0.036493654|14.40618351|0.755735734|-34.61187706|78.8341402|-24.53339777|0.487285656|2793.629988|562.7133986|-1324.80348|0.244264266|0.950403792|6082.16777|164.2102614|-343.8442493|1752.9983309999998|12.59396622|1.0|0.0|0.0|1.0|0.0|2.0|0.12|17.0|-7.01|3.62|69.2|1.0|133.84|0.0|6.0|-4.58|-6.34|0.0|1.0|2.37|2.6e-05|2.82e-05|0.0115|3.45|0.0|0.0|9.66e-08|3.8794|3.83|3.8794|-1310.350902|-1310.315063|702.38|1183.75|319.6|0.4358|0.66796|-1310.077567|0.4358|-0.15671|-1310.137888|7.9208
19l_a38|0.0|1|3.280796643|0.0|0|7.412764017000001|0.0|-0.086107169|-0.007360265|-0.10490608|2|0.04391253|0.103904811|0.0|-0.426895387|-0.001197042|-0.02967593|10.94917392|0.217841852|-0.091460175|-0.191751024|1|0.839953955|-0.032569307|0.89459881|0.799611189|-0.100870929|0.51306986|0.0219046379999999|-51.6277901|129.8367176|-0.037359603|19.55998015|0.7374102309999999|-33.45088372|79.04689476|-24.20618316|0.430111845|2921.048554|518.0872716|-1307.13389|0.262589769|0.754730276|6705.993411|170.13821069999997|-307.64756780000005|1772.6006989999998|13.69020024|1.0|0.0|1.0|1.0|1.0|3.0|0.12|17.0|-7.28|4.03|81.23|2.0|135.78|0.0|6.0|-4.94|-6.39|0.0|0.0|3.22|1.15e-05|1.89e-05|0.00807|3.55|0.0|0.0|5.27e-08|3.6709|4.08|3354.0|-1409.5865199999998|-1409.557954|660.04|1164.34|369.66|0.2883|0.7044|-1409.309206|0.0233|-0.13977|-1409.37001|7.8633
12y_a30|0.0|0|0.0|0.0|0|7.412764017000001|0.0|0.048343649|-0.005996863|-0.037335306|2|0.044197531|-0.089502772|0.0|-0.353814891|0.00604028|0.061944378|10.31162818|-0.153680104|-0.053700437|-0.0922059569999999|1|0.768409873|-0.05346283|0.8146529229999999|0.8489185109999999|-0.091248521|0.374181804|0.0149823289999999|-47.598277|101.4221952|-0.034840345|0.0|0.820108145|-31.95309886|69.55490151|-23.38859815|0.445723724|2847.362782|569.8856940000001|-1286.372898|0.179891855|0.804154433|6301.067405|120.7628216|-429.782246|1568.540572|8.299049218|1.0|0.0|1.0|1.0|0.0|1.0|0.21|17.0|-7.38|4.87|81.65|2.0|137.21|0.0|5.0|-6.04|-5.64|0.0|0.0|3.19|9.14e-07|3.48e-06|0.00148|4.6|0.0|0.0|4.12e-08|5.1973|4.45|3.4718|-1654.41361|-1654.382468|728.75|1227.82|357.11|0.2173|0.6864399999999999|-1654.125015|0.1489|-0.1475|-1654.190369|7.6576
18d_a30|0.0|0|0.0|0.0|0|7.412764017000001|0.0|0.041146136|-0.0072724869999999|-0.064217094|2|0.040899471|-0.071608958|0.0|-0.385441836|0.001139238|-0.053728319|10.31163881|-0.159104532|-0.0541804029999999|-0.120380857|1|0.815003426|-0.001699165|0.870930234|0.803280262|-0.103191184|0.346980269|0.017843227|-49.44608411|124.5022473|-0.037906966|0.0|0.783284395|-31.29400567|75.80070349|-23.99099587|0.443774287|2848.574353|508.389239|-1175.558798|0.216715605|0.797831306|6367.958933|137.15746130000002|-358.5765637|1500.807121|10.49188139|1.0|0.0|1.0|1.0|0.0|1.0|0.14|17.0|-6.9|4.25|81.65|2.0|127.24|0.0|5.0|-5.39|-6.02|0.0|0.0|2.92|4.12e-06|9.71e-06|0.00405|3.97|0.0|0.0|1.26e-07|5.0125|4.07|3.4682|-1675.020297|-1674.987709|669.66|1129.46|357.49|0.3856|0.69017|-1674.785879|0.3788|-0.14167|-1674.8453470000002|7.6737
12c_a30|0.0|0|0.0|0.0|0|7.412764017000001|0.0|0.045997203|-0.006900253|-0.030422458|2|0.042804233|-0.0983590219999999|0.0|-0.3657134279999999|0.00372838|0.019094532|10.31162888|-0.172653074|-0.051371057|-0.090173435|1|0.824373792|-0.031986012|0.880943609|0.8439327120000001|-0.096482247|0.39541773|0.01588025|-50.12643041|101.8928318|-0.037411484|0.0|0.8061287690000001|-32.72642202|72.5855533|-24.42511853|0.452966315|2860.640481|550.9847369|-1196.830808|0.193871231|0.828040991|6403.739746|126.574178|-399.7292126|1484.664552|9.594458155|1.0|0.0|1.0|1.0|0.0|1.0|0.14|17.0|-7.22|4.47|81.65|2.0|132.29|0.0|5.0|-5.93|-5.75|0.0|0.0|3.11|1.19e-06|3.61e-06|0.00156|4.49|0.0|0.0|6.03e-08|5.0582|4.45|3.5286|-2035.373591|-2035.339256|695.96|1168.62|351.37|0.2155|0.68457|-2035.141497|0.1568|-0.1496299999999999|-2035.202565|7.9914
1_a6 (SB-431542)|0.0|1|3.3674017380000003|0.0|0|7.423568444|0.0|0.043282217|-0.015636898|-0.175408303|1|0.035620155|0.1008839219999999|0.0|-0.766207981|-0.011639964|-0.029658865|10.94959842|0.164429684|-0.020716495|-0.033765606|1|0.7462411859999999|-0.08530265|0.805877431|0.5940412860000001|-0.122555709|0.210050443|0.033020439|-74.98172333|240.8019609|-0.0462988229999999|105.3125675|0.7531996609999999|-44.47680367|87.15852628|-27.46300805|0.472445176|2678.823231|352.3666367|-1235.8353619999998|0.2468003389999999|0.895537592|5748.417262|146.3942108|-300.3801761|1640.78056|14.4623285|1.0|1.0|1.0|1.0|1.0|2.0|0.05|23.0|-7.69|4.04|103.12|1.0|106.85|0.0|4.0|-4.52|-6.73|0.0|0.0|2.85|3.03e-05|5.660000000000001e-05|0.0218|2.7|0.0|0.0|2.03e-08|3.8208|4.57|3295.0|-1292.588032|-1292.553086|619.92|1049.69|376.28|0.5765|0.69868|-1292.358966|0.3346|-0.13329|-1292.41452|5.8119
20_a47|0.0|0|0.0|0.0|1|6.86171134|1.1934608|0.055662511|-0.011237762|-0.161476442|2|0.039520202|0.031814023|1.010373001|-0.505699304|-0.009220816|-0.052370531|10.95058273|0.087325054|-0.108236785|-0.297094867|2|0.7962508290000001|-0.069674604|0.8575369009999999|0.6888286020000001|-0.092005493|0.213977589|0.023587109|-45.68149289|169.6050003|-0.032859105|49.00609086|0.595234209|-24.89884887|69.09296541|-17.90996366|0.4642647929999999|2630.63609|375.4483088|-752.2184736|0.404765791|0.86659377|5896.060936|220.6189341|-103.815441|1263.735287|18.94506718|0.0|1.0|1.0|1.0|1.0|2.0|0.05|21.0|-7.31|2.56|84.73|1.0|99.68|0.0|5.0|-4.06|-6.75|0.0|0.0|3.09|8.72e-05|8.32e-05|0.0316|2.63|0.0|0.0|4.89e-08|3.9808|4.08|3.9808|-1335.742176|-1335.708279|557.84|964.94|311.45|0.2807|0.68219|-1335.566785|0.2807|-0.16377|-1335.620783|8.6
6_a3|0.0|0|0.0|0.0|0|6.823286122000001|0.0|0.155665791|-0.008934536|-0.106234254|2|0.038650794|-0.025021661|2.000787282|-0.330577816|-0.007540435|0.05584062|10.3116226|-0.0445675709999999|0.020589494|0.036673175|2|0.790667152|-0.155862559|0.8632654590000001|0.783322023|-0.098669224|0.556539611|0.010921391|-52.01903278|108.118071|-0.037726468|77.06094911|0.80281499|-25.95647951|56.71997588|-18.8247694|0.387883362|2196.107822|390.8623623|-640.0421597|0.19718501|0.633675574|4992.54948|98.39146166|-302.19751|797.2473951000001|7.485963593999999|1.0|1.0|1.0|1.0|1.0|1.0|0.0|21.0|-7.48|4.96|92.93|1.0|95.5|0.0|2.0|-5.44|-5.68|0.0|0.0|3.63|3.67e-06|1.34e-05|0.00455|3.79|0.0|0.0|3.28e-08|5.8279|3.09|3.3963|-1731.735113|-1731.7043199999998|524.88|884.88|365.05|0.1997|0.69323|-1731.602363|129.0|-0.1465|-1731.6508010000002|5.7501
