molecula|NaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|AATSC1are|MATS8i|n5aHRing|AATSC7i|MATS1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|WNSA5|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Log Po/w MLOGP|Leadlikeness|Veber filter|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
12al_a36|1|0.0|0|7.412764017000001|2|1.297043737|0.0|-0.06777947|-0.04314418|2|0.042739018|0.00127667|-0.074215038|1|0.172830414|-0.1430106119999999|1|0.8913597320000001|0.8344566859999999|0.125005134|-0.055405405|0.885733922|0|0.801179217|-0.105915949|0.026927826|-51.22331485|-69.69632923|17.71943397|114.2305891|130.8308989|-45.86257662|-33.70669917|86.77628559|-23.23210974|0.456856406|2843.740855|527.2034213000001|2244.88081|-15.28752554|0.328915355|8.774664332|6049.668466|216.4375922|-825.5263792000001|34.61874732|0.025956027|-225.1591357|1869.412355|17.07995636|1.0|0.0|1.0|0.0|4.81|0.0|1.72|1.0|0.0|6.0|31.0|5.0|0.0|0.0|1.81|0.000113|0.0464|1.0|0.0|2.03e-07|8.340000000000001e-05|3878.0|2.92|3.5511|-1347.479819|-1347.445127|702.95|1181.84|319.71|0.6945399999999999|-1347.196501|0.0095|0.03469224|-1347.257936|8.1781|48.0|7.3188
8a_a31|1|0.0|0|7.765993078999999|1|0.610138387|0.0|-0.039027368|-0.158899731|0|0.043817204|-0.013230176|-0.135144546|2|-0.258538098|-0.054025775|0|0.938325481|0.837862749|0.0502030679999999|-0.030149254|0.895174844|0|0.594139864|-0.136459435|0.0375544779999999|-60.46233433|-67.46619355|18.56711239|131.2406629|200.6591816|-33.35560699|-29.89286568|82.32407724|-20.61467025|0.4512945479999999|2128.209198|293.7455749|1443.955093|-10.19199103|0.333562641|5.83708559|4538.505909|164.9149565|-366.9116769|30.93264504|0.030052065|-164.57484340000002|1113.575221|14.85788369|0.0|0.0|1.0|1.0|3.34|2.05|0.36|0.0|0.0|3.0|22.0|5.0|0.0|0.0|2.13|0.000269|0.0846|0.0|0.0|4.62e-06|0.00145|3.8097|1.53|3.8097|-1347.541429|-1347.507102|538.75|872.11|325.45|0.7027100000000001|-1347.3959220000002|0.2604|0.03432763|-1347.446223|5.3042|0.79|6.1024
12k_a30|0|0.0|0|7.412764017000001|2|0.604984231|0.0|-0.001755273|-0.029595542|2|0.042739018|0.0043261129999999|0.067265077|1|-0.240110949|-0.089279071|1|0.838579475|0.830875659|0.001281277|-0.067714819|0.883029843|0|0.815083558|-0.098188266|0.024177669|-52.35426525|-65.04897323|16.01752015|106.8195439|122.5057244|-43.09444587|-34.68429919|80.03127603|-23.31944323|0.47195436|2920.279667|539.9866061|2277.687222|-15.44895229|0.291863802|8.416930701|6393.133321|193.3575303|-818.7944715|32.93073182|0.0226150579999999|-275.77726980000006|1745.328787|14.9823028|1.0|1.0|1.0|1.0|4.72|0.0|2.51|2.0|0.0|6.0|31.0|5.0|0.0|0.0|2.57|3.59e-06|0.00154|0.0|0.0|1.84e-07|7.87e-05|5.1958|3.58|3.4715|-1690.302721|-1690.269144|710.82|1200.31|238.62|0.39318|-1690.031103|0.1512|0.03357755|-1690.094082|5.0736|24.0|7.6144
12v_a30|0|0.0|0|7.412764017000001|2|0.604983445|0.0|0.037440652|-0.029548782|2|0.04625323|0.002431329|0.020607357|1|-0.173424818|-0.0493878409999999|1|0.8149999040000001|0.83236194|-0.029852321|-0.080971844|0.889479916|0|0.8501212029999999|-0.0971402169999999|0.015823709|-52.18846092|-65.72041011|10.70556236|82.09302037|101.4008026|-44.46327619|-35.30820865|75.73440678|-25.48342433|0.478535287|3001.758432|575.1512171|2483.120571|-17.2408622|0.193930933|8.114588039|6952.110426|131.2043645|-844.8022477|31.6144427|0.014801518|-414.1432908000001|1549.107692|10.01399667|1.0|1.0|1.0|0.0|4.62|0.0|3.79|2.0|0.0|5.0|31.0|4.0|0.0|0.0|3.59|2.64e-07|0.000123|0.0|0.0|1.58e-08|7.39e-06|3.5507|5.08|3.5507|-2494.963646|-2494.92869|715.58|1209.1|349.18|0.68405|-2494.739831|0.1601|0.03495552|-2494.802821|4105.0|22.0|7.6596
14k_a23|0|0.0|2|7.423568444|0|1.1979621459999998|3.358995671|0.070940371|-0.024758731|2|0.046283951|0.010682694|-0.055500851|2|0.082632648|-0.071484865|2|0.722187957|0.800643488|0.140087361|-0.091426449|0.864845456|1|0.922397728|-0.079899943|0.018829201|-37.43135588|-53.17069631|12.53019305|38.76597615|51.64167457|-35.38329134|-24.9092952|64.04991522|-22.62582822|0.486654314|2955.4566170000003|613.8243395|2174.886074|-15.05671972|0.216437606|8.21201115|6715.186162999999|144.0318708|-707.6658267999999|28.87559227|0.016348271|-377.4022725|1357.152837|10.87921891|0.0|1.0|0.0|1.0|3.39|3.56|3.51|2.0|0.0|5.0|31.0|4.0|0.0|0.0|3.99|7.49e-07|0.000334|0.0|0.0|1.02e-08|4.55e-06|3.6421|4.1|3.6421|-2089.524497|-2089.501786|691.9|1179.17|340.42|0.63765|-2089.293765|0.4694|0.02271117|-2089.354026|8.3627|4.0|8.4123
12n_a30|0|0.0|0|7.412764017000001|2|0.604984682|0.0|0.0304762079999999|-0.064217094|2|0.040899471|0.001139238|-0.037209579|1|-0.254279374|-0.0541804029999999|1|0.669561738|0.815003426|-0.015189554|-0.149451598|0.870930234|0|0.7781502140000001|-0.10528124|0.017064818|-52.4873066|-66.48079820000001|10.77573511|85.87072848|140.0890685|-41.97990569|-33.14358793|76.16725916|-24.42151771|0.4701566479999999|2848.910641|491.3700419|2349.172094|-15.42118984|0.200596792|7.385790169|6353.890039|126.6686716|-755.6383024|30.54968688|0.0153398069999999|-378.1217671|1496.934657|9.686460958|1.0|1.0|1.0|0.0|4.66|0.0|3.2|2.0|0.0|5.0|30.0|5.0|0.0|0.0|2.92|4.12e-06|0.00171|0.0|0.0|1.26e-07|5.260000000000001e-05|5.1999|4.07|3.4859|-1675.011418|-1674.978015|669.57|1131.65|238.43|0.27009|-1674.777231|0.1489|0.0334036|-1674.83759|6.32|0.01|7983.0
4_a4|0|0.0|1|7.535296702|1|1.343865392|2.156628874|-0.183963421|0.0159331539999999|2|0.036775068|0.011760626|-0.110597574|1|-0.035166634|-0.048056862|2|0.646069495|0.77276149|-0.168712277|-0.063012715|0.8306695270000001|1|0.933276024|-0.06873731|0.008570112|-25.64211031|-35.41518716|4.4155367960000005|13.70182982|34.37786704|-18.24679326|-13.21145879|40.86951119|-13.17774406|0.398500394|2221.6122010000004|480.8472306|1883.42405|-6.78950447|0.2062820269999999|5.326452915|4878.070704|106.2816773|-291.9486922|16.60255217|0.010586293|-302.661743|713.9097433|5.454324025|1.0|0.0|1.0|1.0|3.15|3.09|2.66|1.0|0.0|2.0|25.0|3.0|0.0|1.0|3.64|7.59e-05|0.0248|0.0|0.0|2.71e-08|8.85e-06|5.382000000000001|3.24|4.0261|-1029.960398|-1029.93716|566.84|960.45|230.37|0.55032|-1029.763465|67.0|0.02323788|-1029.813844|3.1195|78.0|7.1079
3d_a49|0|0.0|1|7.535296702|1|0.406515615|2.089548665|-0.0960135969999999|-0.3456333889999999|2|0.036335697|-0.00918253|-0.068390038|1|-0.149675594|-0.075636705|2|0.914407252|0.808676284|0.01450704|0.029549308|0.863438637|1|0.733071652|-0.094384452|0.009601398|-57.52001036|-54.67520803|5.561916586000001|137.78978830000003|154.6267696|-31.67236018|-33.32030276|65.59130031|-20.93944137|0.486368221|2809.9605100000003|424.6551631|1660.7054380000002|-12.12984007|0.243377955|6.612715522999999|6018.145364|140.9844521|-570.1024832|27.67490257|0.018844179|-297.31302830000004|1300.720421|10.91609228|1.0|0.0|1.0|1.0|3.29|0.0|1.07|1.0|0.0|4.0|28.0|5.0|0.0|0.0|1.85|6.42e-06|0.00252|0.0|0.0|7.1e-07|0.000278|5.1844|4.02|3.8907|-1594.595995|-1594.552258|615.3|1044.19|239.15|0.3523699999999999|-1594.380348|0.0931|0.04373784|-1594.435881|2.3278|2.34|5.6308
5a_a50|0|0.0|2|7.927685046000001|1|1.3972442980000002|4.202707546|-0.203248487|-0.017108794|1|0.038040936|0.012640587|-0.256097122|2|0.028229556|-0.102607753|1|0.699970832|0.788709546|-0.132977171|-0.203436041|0.847812674|1|0.969892876|-0.065209836|0.010185297|-20.77548565|-34.7974024|5.435098605|6.819160781|16.06582337|-18.56865899|-11.08625592|44.17662122|-12.13862875|0.4528093929999999|2246.106104|517.556163|1605.985157|-6.477439183|0.33472483|5.892775027000001|4770.917486|178.61652859999998|-278.5298849|18.24602704|0.017576522|-176.38892919999998|784.5791628|9.379218813|1.0|1.0|1.0|1.0|3.5|3.28|2.62|0.0|0.0|2.0|25.0|2.0|0.0|1.0|3.47|0.000129|42.0|0.0|0.0|5.7e-07|0.000186|5.6146|3.39|4.0159|-1029.930364|-1029.905844|582.98|976.41|220.82|0.39948|-1029.734933|0.1156|0.02452028|-1029.786489|5649.0|4.1|5.3872
9b_a36|1|0.0|0|7.412764017000001|2|0.62670079|0.0|-0.053019801|-0.023369916|2|0.040166667|0.005050384|-0.077361324|1|0.146828453|-0.053309522|1|0.8421237309999999|0.7885597609999999|-0.034830997|-0.1177413269999999|0.842671963|0|0.8453794609999999|-0.098301686|0.017007854|-46.58565720000001|-61.73294817|10.68084402|67.12293326|97.10089515|-38.76797062|-29.25555061|71.70079424|-22.67740953|0.453252346|2715.020034|530.8939077|2464.2160510000003|-14.24129533|0.21757783|7.549264797|5838.085413000001|136.63774650000002|-697.8234711|28.98359786|0.015872498|-354.7193098|1420.196295|9.967846072|1.0|1.0|1.0|0.0|4.73|0.0|2.82|1.0|0.0|5.0|29.0|4.0|0.0|0.0|2.48|2.49e-05|0.00992|0.0|0.0|2.3100000000000002e-07|9.21e-05|3.8535|3.82|3.8535|-1575.7800140000002|-1575.751975|666.01|1127.85|321.74|0.69763|-1575.557248|0.5392|0.02803905|-1575.616432|8.4288|21.0|7.6778
