molecula|NaaNH|n9FaRing|SaaNH|SssssC|nAHRing|nARing|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|GATS1are|BIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|RPCS|FNSA2|WNSA3|DPSA5|DPSA3|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
1a_a18 (SB-431542)|1|0|3.3674017380000003|0.0|1|1|0.043282217|5.351858133|-0.175408303|1|0.035620155|0.1008839219999999|0.0|1|1|-0.008385698|0.164429684|-0.020716495|-0.567791164|0.838928085|0.7462411859999999|0.795744863|0.5940412860000001|-0.126408788|-0.122555709|0.210046675|0.033020439|-74.98172333|-72.69619778|19.58668728|160.410387|0.405958714|105.3125675|-2.083447046|-44.47680367|87.15852628|94.56841061|2678.82389|352.3666367|1890.195809|-16.29019397|0.2468003389999999|7.52384981|14.26170773|5748.422847|-733.0587287000001|36.46179023|0.02438148|-300.3801761|1640.78056|14.4623285|1.0|1.0|1.0|2.0|3.25|2.35|0.05|23.0|-7.69|1.54|1.0|0.0|106.85|0.0|4.0|5.0|-6.73|384.39|0.0|0.0|1.0|2.85|-4.25|3.03e-05|0.0116|5.660000000000001e-05|0.0218|0.0|2.03e-08|3.8208|3295.0|-1292.553086|1048.7|0.5767|324.5|464.08|-1292.358966|0.03494548|8.8609|125.0|6.9031|6.9031
12n_a30|0|0|0.0|0.0|2|2|0.0304762079999999|5.351858133|-0.064217094|2|0.040899471|-0.1144447669999999|0.0|1|1|0.002064369|-0.254279374|-0.0541804029999999|-0.464204099|0.669561738|0.815003426|0.64876559|0.7781502140000001|-0.083120674|-0.10528124|0.390449649|0.017064818|-52.4873066|-66.48079820000001|10.77573511|85.87072848|0.221849786|0.0|-1.895062322|-33.14358793|76.16725916|63.2630417|2848.910641|491.3700419|2349.172094|-15.42118984|0.200596792|7.385790169|13.93957316|6353.890039|-755.6383024|30.54968688|0.0153398069999999|-378.1217671|1496.934657|9.686460958|1.0|1.0|0.0|1.0|4.66|0.0|0.14|17.0|-6.9|3.2|2.0|0.0|127.24|0.0|5.0|5.0|-6.02|416.47|0.0|0.0|0.0|2.92|-5.01|4.12e-06|0.00171|9.71e-06|0.00405|0.0|1.26e-07|5.1999|3.4859|-1674.978015|1131.65|0.1826|238.43|506.94|-1674.777231|0.0334036|6.32|0.01|7983.0|7983.0
21a_a23|0|1|0.0|0.0|0|0|0.1049806919999999|5.4161004020000005|-0.038876045|2|0.042862319|0.071115216|0.773970837|2|2|0.01180744|0.130024255|-0.074441567|-0.484404194|0.725800261|0.7367638240000001|0.6906097959999999|0.926538469|-0.051521215|-0.082341001|0.224766417|0.011564247|-34.01266735|-54.35891011|7.634348008|39.56172507|0.073461531|82.08958626|-1.729161021|-22.45408125|61.73864319|41.64701536|2880.257677|611.67123|2272.736256|-15.07212993|0.157878617|7.950891003|15.66066298|6464.524241|-753.6064963|27.11098744|0.011178565|-451.7153132|1355.5493720000002|7.379733085|1.0|1.0|1.0|1.0|3.53|3.48|0.09|26.0|-7.78|3.24|2.0|1.0|125.25|0.0|5.0|4.0|-6.07|425.51|0.0|0.0|0.0|3.78|-5.28|1.3e-06|0.000552|5.29e-06|0.00225|0.0|1.65e-08|3.6993|3.6993|-1669.23053|1189.63|0.3692|335.16|558.61|-1668.989671|0.0203361|7.9309|102.0|6.9914|6.9914
4h_a46|0|0|0.0|0.090767245|1|1|0.128214845|5.587248657999999|-0.346835467|2|0.040890805|-0.057256598|0.0|1|1|0.003087227|-0.0932537609999999|-0.030014575|-0.516344924|0.739180305|0.7543177040000001|0.6947264059999999|0.767244275|-0.083155747|-0.083997524|0.659584488|0.010068754|-65.24476749|-65.90523417|7.900037181|105.2773797|0.232755725|19.09455432|-2.015940586|-51.19164773|74.99848132|73.14480467|3472.1185880000003|601.9869510999999|3180.526173|-18.803584|0.194493895|8.138240742999999|15.85230406|7808.347937|-1241.036544|29.75215152|0.011589523|-479.405829|1963642.0|9.093247153|0.0|1.0|1.0|2.0|4.63|2.99|0.3|23.0|-9.2|2.27|2.0|0.0|142.08|0.0|6.0|6.0|-6.38|502.63|1.0|0.0|0.0|3.82|-5.69|2.97e-07|0.000149|2.06e-06|0.00104|0.0|6.38e-10|4.2444|4.18|-1923.878801|1397.46|0.5451|292.11|682.14|-1923.543349|0.04729184|2.9086|229.0|6.6402|6.6402
14aa_a23|0|1|0.0|0.0|0|0|0.066582026|5.351858133|-0.026892547|2|0.046678487|0.031136154|0.758549568|2|2|0.012103325|0.055934795|-0.074579388|-0.4506138879999999|0.725358161|0.75434493|0.693959193|0.924108042|-0.052155763|-0.076107469|0.204831806|0.018016316|-35.51947393|-51.83122853|12.26959478|40.49537336|0.075891958|83.27171526|-1.6743643259999998|-24.18971469|61.21989213|47.78906871|2941.302235|629.3423691|2263.821505|-14.65218978|0.203340553|8.000512184|15.78173785|6651.23042|-776.5660584|27.00633206|0.013786041|-404.0660854|1431.335599|9.388663605|1.0|1.0|1.0|1.0|3.63|3.68|0.12|26.0|-8.16|3.45|2.0|1.0|130.22|0.0|5.0|4.0|-5.92|439.54|0.0|0.0|0.0|4.1|-5.55|5.9e-07|0.000259|2.81e-06|0.00123|0.0|6.9799999999999995e-09|3.5934|3.5934|-1708.5422620000002|1231.11|0.4157|345.03|588.45|-1708.276011|0.02033777|8.3532|4.0|8451.0|8451.0
5_a27|0|0|0.0|0.0|0|0|0.126882432|4.727387819|-0.068518519|2|0.048947368|-0.149034787|1.271687295|1|1|0.010329671|-0.250776983|-0.2030237389999999|-0.4982037479999999|0.639413469|0.760083119|0.614205449|0.8531787759999999|-0.055979434|-0.085078576|0.333977277|0.01695771|-29.50048722|-44.83538435|8.936508815|10.48961936|0.146821224|56.35994804|-1.276178645|-15.54640123|53.51978325|38.43699603|2273.906133|449.6149323|1254.531539|-8.438466859|0.258518528|6.160679036|10.98289851|4943.51602|-354.41560810000004|21.59546513|0.016479312|-254.5156507|907.0095354|8.684398894|1.0|0.0|1.0|0.0|3.07|3.11|0.16|21.0|-6.22|2.66|0.0|0.0|97.55|0.0|2.0|4.0|-6.49|331.37|0.0|1.0|1.0|2.82|-4.01|0.000248|0.0821|9.78e-05|0.0324|0.0|6.04e-07|4.0989|4.0989|-1083.124207|955.22|0.2448|302.48|463.87|-1082.967639|0.01903872|3.5632|3.0|8.5229|8.5229
13p_a6|1|0|3.449535594|0.0|0|0|0.024837222|4.727387819|-0.1144898999999999|2|0.042959184|0.072850973|1.633493259|1|1|-0.005708558|0.123575608|-0.068532678|-0.573014008|0.865935935|0.784414352|0.8244206940000001|0.7265205579999999|-0.099405155|-0.107371897|0.196002517|0.01730144|-70.52421289|-76.17631587|12.27472016|80.30786544|0.273479442|107.5669533|-2.14743793|-50.03427239|89.17529231|82.79893305|3016.078786|515.4389679999999|3833.042283|-18.9628865|0.23994258|8.760340755|14.91957306|6590.216479|-1080.8845310000002|35.16646396|0.018322293|-369.0018868|2004.488446|12.99897644|1.0|1.0|1.0|3.0|3.64|2.34|0.12|27.0|-10.06|1.01|1.0|0.0|132.01|0.0|7.0|5.0|-7.01|449.51|0.0|0.0|1.0|2.96|-4.55|8.11e-06|0.00365|2.79e-05|0.0125|0.0|8.73e-11|4.7973|2.9837|-1463.0432449999998|1283.98|0.4132|258.45|573.39|-1462.740542|0.03807447|12163.0|92.0|7.0362|7.0362
12h_a40|0|0|0.0|0.0|0|0|0.104392974|5.4161004020000005|-0.107711573|0|0.041915709|0.208938531|0.803557099|2|2|-0.002126898|0.367928263|0.127299624|-0.556229094|0.809398262|0.7769829840000001|0.6948809659999999|0.839481749|-0.0954337969999999|-0.091448888|0.006997021|0.0117142839999999|-50.45378559|-48.34705035|6.193088525|208.6717565|0.160518251|59.68939644|-1.280284432|-26.67382585|54.9311782|56.64687411|2270.834041|443.8158546|603.6697997|-10.84365353|0.155991416|7.989299324|15.84593062|5087.343024|-357.8405665|24.30173133|0.012453938|-363.7398044|801.957134|6.584127851|1.0|1.0|1.0|1.0|3.19|3.0|0.0|20.0|-6.84|3.76|2.0|1.0|96.16|0.0|2.0|2.0|-5.13|361.25|0.0|0.0|1.0|4.22|-5.58|5.58e-07|0.0002009999999999|2.61e-06|0.000942|0.0|1.44e-07|4.1508|2.6436|-2153.186757|910.77|0.3985|298.7|435.95|-2153.072091|0.02044063|3.5425|823.0|6.0846|6.0846
3o_a32|1|1|3.644417045|0.0|1|1|-0.022603806|5.733341277|-0.014299905|1|0.035643275|-0.064818511|2.240993002|3|3|0.000243592|-0.117744493|-0.061774721|-0.483580522|0.90022001|0.8214857240000001|0.840991936|0.8377808240000001|-0.073742105|-0.095457829|0.252703854|0.012519666|-42.51640563|-55.03672286|7.218280399|62.67187821|0.162219176|0.0|-1.4318674340000002|-24.51306152|62.56936516|49.73468603|2488.133192|483.0270239|2469.87467|-10.57723917|0.214905181|6.392329273|11.73098001|5488.777096|-475.9757626|23.36733582|0.0130649069999999|-328.7458915|1051.530112|7.532642302|1.0|1.0|1.0|2.0|3.47|3.06|0.32|19.0|-7.27|1.58|1.0|0.0|112.07|0.0|3.0|4.0|-6.17|381.52|0.0|0.0|1.0|3.74|-4.73|1.89e-06|0.00072|1.87e-05|0.00714|0.0|5.35e-08|3.5333|3.5333|-1805.473626|1049.14|0.2851|350.9|464.85|-1805.277864|0.03088166|5.8476|0.24|6.6198|6.6198
18_a31|1|0|3.281949877|0.0|0|0|0.0690370959999999|5.351858133|-0.138136629|0|0.0427124179999999|-0.051184519|0.0|2|2|-0.007811355|-0.084218532|-0.065041042|-0.604728055|0.868704545|0.8595579409999999|0.838968212|0.72588713|-0.11789212|-0.129469649|0.258135789|0.014467496|-69.19879619|-75.99442464|8.49194438|238.9516432|0.27411287|0.0|-1.81257508|-40.61741697|85.81723707|77.69074057|2241.561812|426.0718665|1935.374782|-13.87749294|0.222523168|7.076684189|12.84812443|4856.251645|-624.4871824|30.40953623|0.01673486|-325.73954460000004|1368.42913|9.822812434|1.0|1.0|1.0|3.0|3.41|2.85|0.28|16.0|-6.54|0.75|1.0|0.0|99.32|0.0|7.0|4.0|-6.72|356.44|0.0|0.0|1.0|2.89|-3.62|2.42e-05|0.00862|0.000241|86.0|0.0|2.9e-07|5.0092|3.9105|-1465.4803960000002|1041.21|444.0|247.51|541.33|-1465.300904|0.04825999|4.6746|0.13|6.8861|6.8861
