molecula|SddssS|MOMI-Z|Veber filter|BIC2|Log S (Ali)|heavy_atom_count|HOMO-LUMO Energy Difference (Hartree)|nARing|Highest Occupied Molecular Orbital Energy|Mor01p|CYP2C9 inhibitor|MATS7i|ATSC1c|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest_Unoccupied_Molecular_Orbital_Energy|WNSA3|PNSA4|BCUTi-1l|pIC50
4q_a46|0.0|1491.412605|0.0|0.807871283|-3.41|26.0|-0.1903|1|-0.2207199999999999|554.3688216|1.0|-0.012611536|-0.066250447|3.97e-05|-0.03042|-16.25388148|-11.72744747|10.96363644|6.129
4_a47|0.0|1528.797085|0.0|0.783871003|-5.92|26.0|-0.1547|0|-0.21076|471.7712484|0.0|-0.158636969|-0.3692130839999999|5.81e-07|-0.05606|-23.10213311|-19.18327632|10.93671044|7.5
21_a47|0.0|1402.202743|0.0|0.826796636|-4.44|29.0|-0.16158|0|-0.2249699999999999|482.9384172|1.0|-0.034419528|-0.511216716|7.8e-06|-0.06339|-26.32173133|-19.11612865|10.95058272|8.3
9s_a24|0.0|969.5210193|0.0|0.773544454|-3.36|30.0|-0.10865|1|-0.14462|604.8829955|1.0|-0.050919714|-0.190782186|3.04e-06|-0.03597|-19.21235005|-12.08741583|10.96129902|7.4949
12a_a50|0.0|1462.827156|0.0|0.795582575|-3.16|24.0|-0.16806|1|-0.20172|388.171611|0.0|-0.111689174|-0.126263256|0.00101|-0.03366|-12.88231829|-12.00673599|10.94501645|7.1249
4c_a49|0.0|1683.872161|0.0|0.7796063109999999|-3.5|31.0|-0.15925|1|-0.22158|707.2397315000001|1.0|-0.099764463|-0.339843311|4.4e-06|-0.0623299999999999|-36.42732137|-19.20596967|10.92777281|6.5935
18b_a25|0.0|2327.4502850000003|0.0|0.7723870909999999|-6.54|34.0|-0.15079|0|-0.22145|809.2903831|1.0|-0.018632104|-0.189048258|6.690000000000001e-08|-0.07066|-31.08693686|-21.46130777|10.31286058|7.2924
12l_a36|0.0|2385.788754|0.0|0.8174432229999999|-4.57|31.0|-0.15869|2|-0.20973|642.3830552000001|1.0|0.128666217|-0.4203659179999999|8.97e-05|-0.0510399999999999|-33.88151556|-24.7683114|10.95423322|7.699
2_a20 (SB-505124)|0.0|1709.9571620000002|0.0|0.725030162|-5.24|25.0|-0.14928|1|-0.18645|477.95809620000006|1.0|0.013612077|-0.498602014|2.03e-05|-0.03717|-25.30121848|-21.05206547|10.95129567|6.7721
14n_a23|0.0|2195.877777|0.0|0.802854174|-5.63|32.0|-0.1382|0|-0.2077099999999999|683.7405759|1.0|0.079559363|-0.376950283|1.3699999999999998e-05|-0.06951|-26.91195666|-21.84509525|10.3132176|9.2441
7g_a8|0.0|2079.55195|0.0|0.7363841520000001|-5.78|30.0|-0.15508|1|-0.22129|509.2753308|1.0|-0.030968098|-0.481134236|4.92e-06|-0.06621|-38.68948451|-27.51653399|10.9431888|4.6772
18c_a25|0.0|2095.730631|0.0|0.748718056|-6.05|33.0|-0.13312|0|-0.19532|831.3429628|1.0|0.007241543|-0.162271435|3.0499999999999995e-08|-0.0622|-21.00757374|-17.72859578|10.31285373|7.0555
2_a3|0.0|1314.679398|0.0|0.769486995|-4.75|22.0|-0.14605|0|-0.21028|330.4083896|1.0|-0.103423993|-0.311617665|3.9500000000000005e-05|-0.06423|-23.02532673|-15.55510657|10.31162302|5.4
9c_a31|0.0|2242.189942|0.0|0.842823186|-5.23|28.0|-0.15975|1|-0.19224|583.9691392000001|1.0|-0.0384827639999999|-0.6933757159999999|2.31e-05|-0.03249|-41.96335759|-22.85764436|10.311698300000002|6.3768
11c_a31|0.0|1770.045716|0.0|0.839810365|-5.11|26.0|-0.15994|1|-0.19526|449.7512005|1.0|-0.031640011|-0.847114804|0.000537|-0.03532|-47.33176279|-24.864808|10.31169916|6.8861
13b_a50|0.0|2147.355856|0.0|0.788327682|-5.02|34.0|-0.1701599999999999|2|-0.19622|900.2031356000001|1.0|-0.0204949039999999|-0.263615417|2.68e-05|-0.02606|-26.31826007|-19.24847021|10.94500743|5.7375
19c_a38|0.0|2660.812979|0.0|0.846765471|-4.35|32.0|-0.15612|2|-0.21303|640.025745|1.0|0.02192428|-0.449745181|5.14e-05|-0.05691|-36.38913762|-24.06579196|10.95429182|8.0348
4h_a46|-3.74433321|3180.526173|0.0|0.7543177040000001|-6.53|36.0|-0.1711599999999999|1|-0.21008|1021.999374|0.0|-0.057256598|-0.404500343|3.210000000000001e-07|-0.0389199999999999|-51.19164773|-23.9655397|10.31928028|6.6402
7_a15|0.0|1624.468817|0.0|0.70084115|-4.83|26.0|-0.15605|0|-0.18454|474.9756287|1.0|0.145944639|-0.494898891|2.26e-05|-0.0284899999999999|-22.92132733|-14.70834175|10.95880715|6.644
3a_a32|0.0|812.930125|0.0|0.844272053|-5.32|20.0|-0.15058|0|-0.20638|278.73805810000005|1.0|-0.014365682|-0.250406908|0.0002279999999999|-0.0558|-17.261046399999998|-14.97491147|10.31100283|8.5686
11_a27|0.0|1646.903525|0.0|0.814843016|-3.68|26.0|-0.1022|2|-0.16205|504.209846|0.0|-0.080272515|-0.344117757|0.000283|-0.05985|-22.36099135|-18.14137056|10.93910312|8.301
32_a47|0.0|2255.632049|0.0|0.810444864|-4.81|31.0|-0.1509599999999999|1|-0.20778|682.9868225|0.0|-0.013510009|-0.2037028839999999|6.55e-07|-0.05682|-29.9621436|-18.77935151|10.95005715|7.0
17g_a50|0.0|1975.996014|0.0|0.738521694|-4.46|32.0|-0.16699|2|-0.19929|829.3813984|1.0|-0.05611228|-0.13328325|4.6500000000000005e-05|-0.0323|-21.45417373|-17.29736764|10.94501702|6.6091
14x_a23|0.0|2382.851643|0.0|0.802520527|-5.68|32.0|-0.15259|0|-0.23475|597.2903597999999|1.0|0.05740118|-0.335030301|5.23e-06|-0.08216|-31.13207597|-22.56979253|10.31321817|8.4949
1d_a5|0.0|1172.890724|0.0|0.7595197290000001|-4.79|27.0|-0.18991|0|-0.23519|403.396385|0.0|-0.118028278|-0.2688711589999999|4.86e-07|-0.04528|-25.80622135|-19.79744178|10.94437658|5.03
19b_a38|0.0|2436.66785|0.0|0.8295290000000001|-4.25|31.0|-0.15414|2|-0.20445|593.6088758|1.0|0.013765516|-0.467227005|3.19e-05|-0.05031|-33.13317155|-25.82299118|10.96052467|7.9172
19g_a38|0.0|2506.378649|0.0|0.836170906|-4.25|31.0|-0.15269|2|-0.20748|593.6088758|1.0|-0.037579797|-0.458841138|3.19e-05|-0.05479|-34.56416368|-24.57988703|10.96052467|7.3778
1i_a5|0.0|942.1618767|0.0|0.780175595|-4.79|27.0|-0.17945|0|-0.23674|403.396385|0.0|0.018196138|-0.279280326|4.86e-07|-0.05729|-28.32266298|-19.90145306|10.94550053|7.6198
12t_a36|0.0|2320.375227|0.0|0.829598864|-4.61|31.0|-0.15088|2|-0.2039|729.1873176|0.0|0.035510516|-0.404180985|1.7899999999999998e-05|-0.05302|-32.61842026|-23.93411213|10.95395385|8.0969
9_a4|0.0|2012.840082|0.0|0.801082857|-4.76|26.0|-0.16948|1|-0.22204|489.7528555|1.0|-0.019160308|-0.064266379|2.49e-06|-0.05256|-15.58475436|-14.08655666|10.92992723|7.3188
18_a47|0.0|2184.962887|0.0|0.792196273|-5.5|31.0|-0.17349|0|-0.22313|628.5247532999999|0.0|-0.026357805|-0.2342475789999999|1.78e-08|-0.04964|-30.97660579|-19.03697822|10.93838451|8.6
6e_a40|0.0|3854.417113|1.0|0.8361555479999999|-7.76|30.0|-0.1195799999999999|2|-0.2164|587.7345677999999|1.0|-0.15110197|-0.69771706|0.0112|-0.09682|-46.34235117|-32.02400144|10.30179954|7.7447
47l_a18|0.0|1427.032023|0.0|0.7435044540000001|-5.26|34.0|-0.1314|1|-0.18344|931.8364349|0.0|-0.0057783619999999|-0.428858819|1.93e-07|-0.0520399999999999|-40.65070014|-22.37455223|10.94702063|7.4949
8f_a12|0.0|1448.568734|0.0|0.7475224290000001|-5.7|27.0|-0.15061|1|-0.2124|524.0516742|1.0|-0.013400998|-0.3981937339999999|1.4e-06|-0.06179|-23.45595611|-21.72151161|10.31134658|6.1898
18_a4|0.0|1573.744396|0.0|0.793041267|-2.95|23.0|-0.17345|1|-0.20883|337.0066459|0.0|0.049240675|-0.181355303|0.0009109999999999|-0.03538|-22.93503169|-17.16400317|10.94611841|5.5817
12i_a36|0.0|2351.232652|0.0|0.820041835|-5.2|34.0|-0.1541|2|-0.20475|672.4630346|1.0|0.048138468|-0.929568494|3.37e-05|-0.05065|-35.3196406|-29.42347522|10.96020192|7.9208
12u_a30|0.0|2608.6452440000003|0.0|0.83236194|-6.58|31.0|-0.1486299999999999|2|-0.20146|685.6665849999999|1.0|-0.091507428|-0.367578706|7.39e-06|-0.0528299999999999|-34.72068676|-25.41792137|10.31162873|7.4647
14t_a23|0.0|2286.063655|0.0|0.7629258809999999|-5.85|31.0|-0.15625|0|-0.22291|666.0036144999999|1.0|0.073534004|-0.290708696|7.03e-06|-0.06666|-23.52629623|-21.69314909|10.31321779|8.3979
27_a47|0.0|2181.236691|0.0|0.804224077|-4.81|31.0|-0.1578|1|-0.21594|682.9868225|0.0|-0.067535989|-0.207000956|6.55e-07|-0.05814|-25.8313393|-18.2393594|10.95005714|5.6
5g_a40|0.0|593.8133184|0.0|0.818555255|-4.24|21.0|-0.14505|1|-0.19908|266.8102663|0.0|-0.0602779129999999|-0.5611751220000001|391.0|-0.0540299999999999|-34.61732609|-23.39227384|10.31198315|6.9101
4a_a49|0.0|1647.61849|0.0|0.803344301|-3.28|30.0|-0.1585099999999999|1|-0.2231199999999999|620.5697596|1.0|-0.080255074|-0.3631108529999999|1.74e-05|-0.06461|-35.44496163|-17.96270092|10.92777282|7.4949
5_a4|0.0|1896.178084|0.0|0.767615203|-4.57|26.0|-0.16965|1|-0.21857|518.5792364|1.0|0.012532807|-0.0607990979999999|3.71e-06|-0.04892|-14.64813624|-13.54166762|10.92992834|7.1487
14o_a23|0.0|2297.392496|0.0|0.802854174|-6.89|35.0|-0.1517|0|-0.23229|676.4530574|1.0|0.135737344|-0.807407518|5.57e-06|-0.08059|-36.61307972|-30.18347529|10.3132174|8.4815
12ap_a36|0.0|2328.307856|0.0|0.832758813|-3.99|31.0|-0.15704|2|-0.21788|642.3830552000001|0.0|0.066185994|-0.424579308|8.97e-05|-0.06084|-35.56900768|-24.58703954|10.95430638|7.4949
14a_a5|0.0|1315.573182|0.0|0.79661948|-4.15|32.0|-0.1676|1|-0.2183699999999999|723.0631751|1.0|-0.132625457|-0.316624785|6.16e-07|-0.0507699999999999|-36.98479273|-18.38089729|10.9488747|6.9508
21_a10|0.0|2701.142106|0.0|0.7620337359999999|-5.77|34.0|-0.16178|1|-0.2226|746.5727327999999|1.0|-0.032405474|-0.549176498|8.68e-07|-0.06082|-45.44837698|-23.25880088|10.92966143|5.3188
14w_a23|0.0|2283.383402|0.0|0.802520527|-5.68|32.0|-0.14844|0|-0.22824|597.2903597999999|1.0|0.045196333|-0.330575965|5.23e-06|-0.0798|-30.92760432|-23.66232347|10.31321817|8.6737
9_a27|0.0|1463.168883|0.0|0.8214321609999999|-4.06|25.0|-0.1716|0|-0.2187|424.8821143|1.0|-0.152086653|-0.331842668|2.88e-05|-0.0471|-20.80651808|-17.36382286|10.93740461|8.699
4e_a49|0.0|1647.641653|0.0|0.803344301|-3.28|30.0|-0.1585099999999999|1|-0.2231199999999999|620.5697596|1.0|-0.080255074|-0.3631108529999999|1.74e-05|-0.06461|-35.44835874|-17.96482878|10.92777282|7.4685
19h_a38|0.0|1839.424968|0.0|0.819222745|-4.14|30.0|-0.1467099999999999|2|-0.20379|595.8790650000001|1.0|0.14165187|-0.420209249|5.610000000000001e-05|-0.05708|-28.533396600000003|-23.32673803|10.96083376|8.0348
12at_a36|0.0|2388.600265|0.0|0.8384626709999999|-4.18|33.0|-0.15607|2|-0.2131|735.3783268|0.0|0.054794728|-0.653190113|0.000106|-0.05703|-40.6250081|-25.99374995|10.95446888|7.1079
14l_a23|0.0|2176.038061|0.0|0.778602826|-5.85|31.0|-0.14639|0|-0.2183|666.0036144999999|1.0|0.042748013|-0.288615723|7.03e-06|-0.07191|-23.306234600000003|-21.66909079|10.313217800000002|8.1798
15a_a50|0.0|1754.903963|0.0|0.821868651|-3.6|28.0|-0.16693|1|-0.19948|569.5267957000001|1.0|-0.0446629609999999|-0.234757789|0.0003|-0.03255|-28.07082095|-17.54280159|10.94500663|7.3872
3_a20 (SB-525334)|0.0|1782.992456|0.0|0.7186587|-4.85|26.0|-0.13417|0|-0.20131|520.6749407|1.0|0.001821898|-0.274640708|1.4e-06|-0.0671399999999999|-19.50382741|-16.53287135|10.95053359|6.7905
12bi_a36|0.0|2660.0547690000003|0.0|0.812921349|-4.11|33.0|-0.15078|2|-0.2018|766.4854363|0.0|0.03474497|-0.559678363|7.11e-05|-0.0510199999999999|-40.42611289999999|-19.43326441|10.95958518|7.8539
GW6604_a52|0.0|799.8313017999999|0.0|0.693399445|-3.87|23.0||0||359.1060668|0.0|-0.0778992459999999|-0.085995143|2.78e-06||-17.55852148|-14.44334401|10.94914378|6.9706
17a_a50|0.0|1799.721631|0.0|0.784570118|-3.99|30.0|-0.16724|1|-0.1992|719.3470265|1.0|-0.109740063|-0.133526134|6.97e-05|-0.03196|-19.25896309|-18.26510428|10.94500663|7.0706
19e_a38|0.0|3426.997928|0.0|0.839953955|-4.94|32.0|-0.15584|2|-0.20723|696.3887025|1.0|0.021678225|-0.4379521229999999|2.25e-05|-0.05139|-37.96637911|-25.49088538|10.94917392|8.0083
12j_a36|0.0|2536.987511|0.0|0.820041835|-4.85|31.0|-0.15495|2|-0.20593|725.9470896|1.0|0.091496219|-0.41101009|3.83e-05|-0.05098|-30.5197407|-24.51120192|10.33556498|8.0
11_a1|0.0|1885.148133|0.0|0.747358374|-5.07|29.0|-0.12916|1|-0.19462|495.0560271000001|1.0|0.08043435|-0.867849442|1.29e-05|-0.06546|-45.88191258|-28.7289904|10.94957487|6.7696
19a_a22|0.0|2607.322873|0.0|0.777600172|-4.38|35.0|-0.1508|0|-0.21478|781.8210659|1.0|-0.020553065|-0.548716971|8e-07|-0.06398|-50.18975739|-26.21905704|10.9464374|7.3188
13d_a5 (GW788388)|0.0|1377.863026|0.0|0.78479342|-4.35|32.0|-0.17299|1|-0.22841|723.0631751|1.0|-0.092509033|-0.33442223|6.16e-07|-0.05542|-37.98032007|-19.30187193|10.94530363|7.7447
12a_a32|0.0|3030.946307|1.0|0.845443342|-6.01|27.0|-0.14827|0|-0.20049|557.1050635|1.0|-0.0134169989999999|-0.463563696|8.86e-06|-0.05222|-33.18255791|-19.23685026|10.31100269|7.6021
12c_a5|0.0|2045.184304|0.0|0.797601178|-4.09|31.0|-0.16563|1|-0.21128|735.3048881|0.0|-0.086795626|-0.16115723|2.03e-07|-0.04565|-30.6699685|-14.74941369|10.9455378|7.3279
8d_a32|0.0|2371.595484|1.0|0.825978584|-6.08|27.0|-0.14765|0|-0.20115|557.1050635|1.0|0.062782795|-0.519620595|2.19e-05|-0.0535|-43.2918338|-21.03349629|10.31100269|8.0809
6d_a40|0.0|3212.360755|1.0|0.8361555479999999|-7.21|30.0|-0.11938|2|-214.0|555.2010623|1.0|-0.104206961|-0.722057579|0.0226|-0.09462|-47.09642482|-32.02830281|10.30179973|8.9208
12i _a30|0.0|2280.31966|0.0|0.831176513|-5.93|30.0|-0.14945|2|-0.2041|652.8825454|1.0|-0.0982344169999999|-0.366470081|2.61e-05|-0.05465|-32.64875738|-24.43015511|10.31162888|7.8013
12ad_a36|0.0|2474.175727|0.0|0.832674224|-4.18|33.0|-0.15638|2|-0.21044|735.3783268|0.0|0.046496301|-0.649957196|0.000106|-0.05406|-41.30726219|-25.88878839|10.95445455|7.7696
16a_a32|0.0|2992.60858|1.0|0.8567078770000001|-5.49|27.0|-0.15045|0|-0.20718|532.685565|1.0|-0.053745649|-0.6911813920000001|2.01e-05|-0.0567299999999999|-35.00816569|-23.13158502|10.31100271|7.9586
7l_a46|0.0|1246.417766|0.0|0.7746144629999999|-3.18|22.0|-0.18993|1|-0.2231699999999999|375.721552|0.0|-0.203375108|-0.038903382|0.000151|-0.03324|-13.17144326|-10.620390400000002|10.9642261|5.7122
9h_a40|0.0|418.2915223|0.0|0.740778143|-5.65|23.0|-0.14047|0|-0.20038|336.23227030000004|1.0|0.157606277|-0.343593366|9.93e-05|-0.05991|-23.03722449|-20.54391962|10.31197223|5.4001
12f_a36|0.0|2380.393255|0.0|0.821599443|-4.61|31.0|-0.15011|2|-0.20046|729.1873176|0.0|0.10938259|-0.40641518|1.7899999999999998e-05|-0.05035|-30.92312428|-23.629013600000004|10.95389399|7.9586
17e_a50|0.0|1981.934841|0.0|0.7409645029999999|-4.87|33.0|-0.16649|2|-0.19805|904.3172644|1.0|-0.011278897|-0.141076059|2.03e-05|-0.03156|-22.43349867|-18.5444588|10.94500663|6.8097
12aw_a36|0.0|2380.579051|0.0|0.836170906|-3.99|31.0|-0.15688|2|-0.21201|593.6088758|0.0|0.066435701|-0.4478724979999999|3.17e-05|-0.05513|-36.36860892|-26.46800754|10.96021804|8.0458
14ae_a23|0.0|2575.36078|0.0|0.7830067820000001|-5.8|34.0|-0.14537|0|-0.21659|770.8206617000001|1.0|0.026913008|-0.4448081789999999|1.17e-05|-0.07122|-33.45249142|-19.28284095|10.31321689|8.6038
17_a47|0.0|1573.836082|0.0|0.75807704|-5.4|30.0|-0.17606|0|-0.22479|630.8611986000001|0.0|-0.105849578|-0.2032813319999999|3.12e-08|-0.04873|-26.73455447|-18.22518223|10.9385382|8.3
7_a4|0.0|1915.566579|0.0|0.8046449179999999|-3.81|25.0|-0.16975|1|-0.2219199999999999|407.1471338|0.0|-0.07290303|-0.076100699|1.15e-05|-0.05217|-16.47508541|-13.45652664|10.92992954|6.821
1l_a5|0.0|903.1631908|0.0|0.7656671279999999|-5.04|26.0|-0.1779|0|-0.21939|518.5792364|0.0|-0.111303801|-0.089997343|5.02e-07|-0.04149|-21.91725365|-14.9768065|10.94421389|7.4949
8_a20 (IN-1130)|0.0|1829.419484|0.0|0.760688473|-4.85|32.0|-0.13622|0|-0.20636|684.5377542|1.0|0.1728459339999999|-0.528090969|9.86e-08|-0.07014|-42.20109173|-23.66117267|10.94899447|7.4437
17f_a50|0.0|1929.981543|0.0|0.7851209440000001|-3.58|29.0|-0.16784|1|-0.20148|652.6793116|1.0|-0.167275895|-0.125733326|0.00016|-0.0336399999999999|-17.89709978|-16.50175503|10.94501702|6.4001
4r_a46|0.0|1451.6122289999998|0.0|0.810646641|-3.09|25.0|-0.18999|1|-0.2207199999999999|496.0386301|0.0|-0.15196733|-0.141309389|0.000188|-0.03073|-22.31391864|-13.77068362|10.96363493|5.8499
1e_a5|0.0|827.4861275000001|0.0|0.771487328|-4.25|24.0|-0.18105|0|-0.22291|409.0289917|0.0|-0.080321049|-0.084933308|1.21e-06|-0.04186|-18.33860051|-14.48881117|10.94440038|6.719
4f_a49|0.0|1629.651745|0.0|0.7927086309999999|-3.99|27.0|-0.15517|1|-0.22471|467.1194103|1.0|-0.087861524|-0.418450768|0.000104|-0.06954|-30.33918719|-18.1726086|10.92775957|7.3979
47s_a18|0.0|1529.863965|0.0|0.712629555|-5.95|36.0|-0.13195|1|-0.18109|1093.725912|0.0|-0.026883417|-0.394481152|1.84e-07|-0.0491399999999999|-40.26287221|-22.79238258|10.94702059|6.2104
12c_a31|0.0|1894.297124|0.0|0.842823186|-5.23|28.0|-0.15904|1|-0.19288|583.9691392000001|1.0|-0.030192572|-0.690412101|2.31e-05|-0.0338399999999999|-42.14855504|-23.05449459|10.311698300000002|6.4202
