molecula|SddssS|MOMI-Z|Veber filter|BIC2|Log S (Ali)|heavy_atom_count|HOMO-LUMO Energy Difference (Hartree)|nARing|Highest Occupied Molecular Orbital Energy|Mor01p|CYP2C9 inhibitor|MATS7i|ATSC1c|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest_Unoccupied_Molecular_Orbital_Energy|WNSA3|PNSA4|BCUTi-1l|pIC50
13a_a6|0.0|2626.396685|0.0|0.7722228729999999|-5.51|31.0|-0.14969|1|-0.19987|627.4287311|1.0|0.031837397|-0.602500119|4e-07|-0.05018|-40.23198232|-26.70706346|10.95129557|7.3372
16j_a32|0.0|3448.428146|1.0|0.798237393|-7.45|30.0|-0.15012|0|-0.2002799999999999|701.9321161|1.0|-0.0667943999999999|-0.778815477|7.5e-06|-0.05016|-39.13396528|-24.52188465|10.31100263|8.0315
25c_a34|0.0|2439.174137|0.0|0.80135608|-2.81|31.0|-0.17424|2|-0.2069599999999999|648.0187526000001|1.0|-0.16034464|-0.834326082|0.0008289999999999|-0.03272|-39.37521522|-21.008278|10.95957635|5.7496
41_a47|0.0|1073.170368|0.0|0.8417952740000001|-3.57|26.0|-0.15208|0|-0.2026099999999999|439.9906467|1.0|-0.080388467|-0.187859623|1.17e-05|-0.05053|-19.48810377|-16.54473457|10.98214139|8.0
13b_a30|0.0|2319.48655|0.0|0.836520136|-5.01|32.0|-0.14879|2|-0.20313|713.7769663|0.0|-0.035340334|-0.627919307|0.000288|-0.05434|-50.13056864|-28.93268471|10.31162842|7.5901
41_a18|0.0|1491.296991|0.0|0.733589101|-5.56|34.0|-0.1319|2|-0.1814599999999999|897.5188662|0.0|-0.089781154|-0.500778516|1.89e-06|-0.04956|-47.95199341|-25.62671923|10.9470117|6.433
13k_a6|0.0|3332.974951|0.0|0.7908110340000001|-5.49|33.0|-0.14589|1|-0.1944|741.5222707|1.0|0.051404465|-0.8554679409999999|5.7e-07|-0.04851|-57.53822059|-31.53366823|10.95129637|7.3372
8e_a12|0.0|2112.908299|0.0|0.761892879|-4.37|28.0|-0.13599|1|-0.19338|561.9859171|1.0|0.0661362779999999|-0.330207456|4.34e-06|-0.05739|-17.05887601|-17.80522313|10.94458094|6.2306
27c_a34|0.0|2477.818875|0.0|0.783333463|-4.75|32.0|-0.1589|1|-0.19682|673.8038326000001|1.0|-0.08157574|-0.80008116|9.1e-06|-0.03792|-51.69246989|-28.77931113|10.95447877|6.0969
19_a20|0.0|1818.518838|0.0|0.7619768840000001|-4.89|32.0|-0.13903|0|-0.2067|684.5377542|1.0|0.103271147|-0.539158264|9.86e-08|-0.06767|-39.5992891|-25.1915821|10.94899558|5.585
18_a15|0.0|2510.854462|0.0|0.7162974740000001|-6.16|29.0|-0.1579|0|-0.19371|590.2470602999999|0.0|-0.094812415|-0.319782642|4.01e-08|-0.03581|-25.27062952|-21.51621375|10.95986315|6.8894
19_a4|-3.21497177|1697.595595|0.0|0.774746438|-3.81|25.0|-0.17004|1|-0.22298|450.6848883|1.0|-0.052325802|-0.105763614|0.0002839999999999|-0.05294|-21.41704046|-15.93396412|10.30966825|4.71
13a_a30|0.0|2520.165025|0.0|0.8303425640000001|-5.01|32.0|-0.14953|2|-0.20503|713.7769663|0.0|-0.036541822|-0.627166322|0.000288|-0.0555|-49.96348386|-28.90911938|10.31162842|7.8665
4a_a46|0.0|1427.844961|0.0|0.764741337|-3.93|24.0|-0.19067|1|-0.21988|480.9500663|0.0|-0.137420119|-0.051075084|4.86e-05|-0.02921|-14.80375017|-11.49234623|10.96352058|6.7423
17_a4|0.0|1658.726841|0.0|0.772721853|-4.36|25.0|-0.17559|1|-0.21745|319.5521911|0.0|-0.01849014|-0.25315101|9.44e-05|-0.04186|-23.59250328|-21.75180355|10.94611837|6.057
12_a15|0.0|2661.728915|0.0|0.723852961|-6.22|30.0|-0.15858|0|-0.19054|673.7288405|0.0|-0.035728911|-0.370766171|5.99e-08|-0.03196|-24.90456371|-20.42981445|10.95973444|8.3979
17_a20|0.0|2210.790304|0.0|0.7494736590000001|-5.36|31.0|-0.14021|0|-0.21089|637.7803874|1.0|0.065447136|-0.28924577|2.9e-08|-0.0706799999999999|-27.38007162|-20.699942|10.94884838|5.6478
LY580276_a4|0.0|1511.5340210000002|0.0|0.7921620090000001|-3.67|22.0|-0.18746|1|-0.2099599999999999|345.4102548|0.0|0.0295482979999999|-0.063298854|8.08e-05|-0.0225|-13.31233017|-13.51117823|10.94681614|6.757
12ao_a36|0.0|2298.760179|0.0|0.82626942|-4.58|31.0|-0.14207|2|-0.19662|698.847203|0.0|0.0895536619999999|-0.410729809|3.94e-05|-0.05455|-34.08795068|-24.98362913|10.94919858|7.5229
19_a3|0.0|869.7868956|0.0|0.758995484|-3.24|22.0|-0.16303|0|-0.2206|314.0966684|0.0|-0.008897473|-0.129865138|1.7800000000000002e-05|-0.05757|-14.67073822|-15.17188084|10.96959256|7.6383
13_a4|0.0|1439.176684|0.0|0.744134785|-4.09|22.0|-0.17204|1|-0.20372|373.9073307|0.0|-0.059300584|-0.04158572|0.00018|-0.03168|-11.99053523|-13.70920202|10.94205723|5.3979
13p_a6|0.0|3833.042283|0.0|0.784414352|-5.09|34.0|-0.12251|0|-0.1971099999999999|794.5462391|1.0|0.072850973|-0.634109842|3.92e-08|-0.0746|-50.03427239|-26.72853188|10.95053423|7.0362
4_a38 (LY-2157299)|0.0|1686.693134|0.0|0.8099394329999999|-3.85|28.0|-0.16|1|-0.22|542.7276591|1.0|-0.0501467259999999|-0.325515636|2.75e-05|-0.06|-30.23133173|-18.48863993|10.9277672|7.1586
12s_a30|0.0|2368.4646620000003|0.0|0.83236194|-5.49|31.0|-0.14985|2|-0.20495|616.2856203|1.0|-0.0601024909999999|-0.403952011|3e-05|-0.0551|-38.04400919|-26.02399668|10.31162892|8.129
11a_a5|0.0|1170.247903|0.0|0.73344478|-7.25|32.0|-0.16735|1|-0.20429|835.912531|0.0|-0.052944925|-0.185262487|5.019999999999999e-08|-0.03694|-32.96141947|-18.73644762|10.94877942|7.0915
47u_a18|0.0|1415.590236|0.0|0.7517870059999999|-5.69|34.0|-0.12717|1|-0.19109|818.9389171|1.0|0.008108241|-0.633589579|2.89e-06|-0.06392|-43.92035521|-23.98671253|10.94702032|5.7055
28_a34|0.0|1689.357471|0.0|0.798057295|-3.27|24.0|-0.17802|1|-0.21698|344.69029950000004|1.0|-0.201047053|-0.6946578940000001|0.00535|-0.03896|-34.24669822|-24.6708914|10.9595763|5.4179
19i_a38|0.0|2335.0953870000003|0.0|0.836170906|-4.25|31.0|-0.14872|2|-0.2052|593.6088758|1.0|0.08414367|-0.4561702689999999|3.19e-05|-0.0564799999999999|-31.35232957|-24.98593175|10.96052467|7.9031
3d_a49|0.0|1660.7054380000002|0.0|0.808676284|-5.19|28.0|-0.16147|1|-0.21913|549.3593871|0.0|-0.087308534|-0.173318804|0.000278|-0.05766|-33.32030276|-20.93944137|10.35020259|5.6308
12aj_a36|0.0|2275.825451|0.0|0.812278823|-4.16|30.0|-0.14818|2|-0.20093|662.0530478999999|0.0|0.064171987|-0.402433117|4.270000000000001e-05|-0.05275|-29.99399664|-23.62130319|10.95354213|7.7696
22_a47|0.0|1494.441201|0.0|0.831122912|-4.44|29.0|-0.16704|0|-0.22828|482.9384172|1.0|-0.029311184|-0.507802654|8.11e-06|-0.0612399999999999|-28.11203407|-18.73063655|10.95023117|9.0
AKLKII_a46|0.0|792.7439217|0.0|0.758995484|-3.24|22.0||0||314.0966684|0.0|-0.008897473|-0.129865138|1.7800000000000002e-05||-16.15213359|-15.74102977|10.96959256|6.7423
12x_a30|0.0|2374.777496|0.0|0.782514704|-6.04|31.0|-0.14783|2|-0.19876|754.3941655|1.0|-0.0606216429999999|-0.3545061539999999|1.76e-05|-0.05093|-31.35848986|-23.12752311|10.31162819|7.6556
