molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|FNSA4|WNSA5|FNSA1|FNSA2|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|FPSA1|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
9i_a40|0|0|0.0|0.0|1|7.515889085|0|0|0.604992808|1.841293462|0.074116257|-0.105556952|0|0.045555556|-0.279092262|0.004532692|0.201624407|-0.1788455119999999|2|2|0.004019925|0.333430103|0.187399127|-0.542471361|0|0.762774506|-0.154977678|0.824009442|0.7947633409999999|1|0.830980762|-0.088485615|-0.036869006|-22.46593254|0.8590224540000001|-1.327284222|52.34891159|0.477626156|2056.370683|418.7133986|335.9672843|0.140977546|14.74203307|4201.058793|71.03556427|21.62632891|0.010372658|-361.8074422|778.5478408|5.226560183|1.0|1.0|1.0|3.25|2.9|0.06|-6.03|4.02|84.45|1.0|1.0|2.0|22.0|2.0|-5.44|306.38|0.0|0.0|4.79e-06|1.97e-05|3.85|0.0|0.000285|4.3611|2.8936|-1273.334714|0.5012|284.3|417.75|0.70339|0.3362|-0.11967|2.0895|-0.17956|0.02072395|1.25|5.9031|5.9031
11f_a5|1|0|2.967866825|0.0|0|6.605297921|1|1|1.370797007|0.0|-0.251797205|0.022233547|3|0.021060606|-0.227966183|0.00722997|-0.178881726|-0.0080939669999999|1|1|0.008309782|-0.1323098|-0.203228986|-0.230681941|2|0.756843253|-0.008110526|0.800575032|0.750555185|0|0.847356138|-0.074612137|-0.022252743|-36.14073513|0.5109475960000001|-1.268406334|62.99140465|0.463183664|2853.401015|589.7388387999999|1125.122028|0.489052404|18.03905985|5969.213977|340.3683339|30.31104695|0.030351311|-15.23851001|1727.7296760000002|21.12375879|1.0|1.0|1.0|3.35|2.87|0.24|-8.67|3.53|76.16|1.0|0.0|7.0|32.0|6.0|-6.99|427.5|0.0|1.0|0.000112|5.479999999999999e-05|2.7|0.0|9.06e-07|4.4523|4.1356|-1391.7602960000002|0.5834|278.47|579.1|0.64937|0.1834|-0.1691|2.1313|-0.20772|0.03804804|12.0|7.9208|7.9208
25_a12|0|0|0.0|0.0|0|0.0|0|0|1.404967476|0.0|0.00700113|-0.045725323|2|0.038787879|-0.180562493|0.000864238|-0.025245046|-0.11195017|0|0|0.001783739|-0.141917694|-0.0861945369999999|-0.4288076329999999|2|0.638255008|-0.2430098439999999|0.688743998|0.806844014|1|0.947937175|-0.080147596|-0.03323193|-21.75703145|0.917298637|-1.362509125|31.09844409|0.448858246|2067.69985|493.8944271000001|1907.027255|0.082701363|9.70173342|4329.321091|43.08908189|18.87554002|0.005118351|-434.8420476|773.8971409|2.666764531|1.0|1.0|1.0|2.81|3.43|0.05|-8.78|5.35|37.81|1.0|0.0|3.0|24.0|2.0|-4.82|311.38|0.0|1.0|5.19e-06|5.63e-06|4.76|0.0|5.12e-07|4.2653|3.4532|-974.6569575|0.4483|290.68|442.64|0.69029|0.1897|-0.14303|1.2494|-0.19655|0.024123749|22.0|7.6576|7.6576
16_a20|1|0|3.485659565|0.0|0|6.842683282|0|0|1.401259527|0.0|-0.014660441|0.00695144|2|0.0388043479999999|-0.254072625|8.23e-05|-0.061975089|-0.062750442|1|1|0.001157852|0.211127741|-0.117308016|-0.458484451|2|0.7478675859999999|-0.085041518|0.809440795|0.724665638|1|0.915005572|-0.077793092|-0.029561375|-33.67420774|0.780108103|-1.47806874|51.14820251|0.464473378|2722.728332|602.0075202|2161.751186|0.219891897|15.24926152|5896.394536|144.672972|24.9314775|0.013439632|-368.5817657|1246.573875|8.84230625|1.0|1.0|1.0|3.5|3.13|0.08|-10.52|5.46|78.25|2.0|0.0|4.0|31.0|4.0|-5.42|401.46|0.0|0.0|8.68e-07|2.17e-06|4.69|0.0|1.22e-08|5.9837|3.5704|-1275.900951|0.3431|207.2|554.41|0.69524|0.1958|-0.1481299999999999|4.7315|-0.20722|0.03385502|26.0|7585.0|7585.0
17c_a50|0|1|0.0|0.0|2|7.934155233999999|2|2|1.347835869|4.349159921|-0.212075666|0.024219848|2|0.031870748|-0.1766179239999999|0.01130519|-0.144763835|-0.120904775|2|2|0.012222674|0.034485992|-0.373205592|-0.2256811219999999|1|0.774994313|-0.139943634|0.816442883|0.728169863|1|0.89719894|-0.073693343|-0.021745577|-34.87982686|0.569750429|-1.32648017|50.6217864|0.49503436|2951.495914|617.2509739|2014.72331|0.430249571|16.45688922|6438.380804|296.00120400000003|26.25785813|0.0232952879999999|-95.97318605|1601.729346|16.02658985|1.0|1.0|1.0|4.12|3.61|0.35|-6.79|3.53|61.0|1.0|0.0|6.0|33.0|5.0|-6.96|440.54|0.0|1.0|0.000158|3.75e-05|2.86|0.0|7.08e-05|4.2397|4.0432|-1411.187392|0.1814|292.44|596.23|0.66213|0.1801|-0.16697|6.3989|-0.19818|0.02957871|69.0|7.1612|7.1612
12aa_a30|0|0|0.0|0.0|0|7.412764017000001|2|2|0.604983643|0.0|-0.101407312|-0.028524865|2|0.043854875|-0.539735362|0.003529389|0.059360681|-0.007369513|1|1|0.005111479|-0.023695642|-0.207153446|-0.394520145|1|0.809127478|0.024991407|0.855880335|0.794193541|0|0.8126513129999999|-0.101368383|-0.033789461|-49.44198469|0.630759573|-1.925999268|76.08850600000001|0.4659424379999999|3115.249471|567.5458219999999|2455.130164|0.369240427|16.21199661|6944.511023|257.8730361|37.41227352|0.029670025|-182.6418006|2132.499591|20.72118575|0.0|1.0|1.0|4.86|0.0|0.21|-6.83|2.63|100.11|2.0|0.0|7.0|33.0|6.0|-6.39|458.54|0.0|0.0|2.47e-06|9.94e-06|3.81|0.0|6.720000000000001e-05|5.1925|3.4642|-1804.818818|0.1667|238.78|605.07|0.68642|0.1506|-0.1472099999999999|5.8962|-0.19687|0.03443621|8.0|8.1135|8.1135
33_a47|0|1|0.0|0.0|1|6.823286122000001|0|0|1.409403453|1.758479676|-0.229935275|-0.085712613|3|0.034691358|-0.183320497|0.002212256|-0.033554816|0.0741098479999999|1|1|0.003634698|-0.26447859|-0.338113214|-0.270498605|3|0.82821379|0.065468525|0.8913954909999999|0.607650682|1|0.8197001309999999|-0.083739854|-0.0272154529999999|-23.98884914|0.57681348|-1.088618103|44.11759955|0.4607629339999999|2311.28828|438.726241|787.797733|0.42318652|12.94292541|4889.09585|226.5011607|25.25333652|0.029580684|-82.22540944|1010.133461|15.83240237|1.0|1.0|1.0|3.08|2.76|0.11|-7.08|4.04|68.52|0.0|0.0|3.0|25.0|5.0|-6.78|334.35|0.0|1.0|0.000546|0.000192|2.19|0.0|2.79e-05|4.1869|4.1869|-1123.16428|0.2566|296.13|423.52|0.67508|0.2566|-0.15985|4.5647|-0.21447|0.02924367|4.0|8.4|8.4
14p_a23|0|1|0.0|0.0|2|7.423568444|0|0|1.197963748|3.3252287430000003|0.044380583|0.006191846|2|0.045165485|-0.310730878|0.009895793|-0.060144819|-0.053921569|2|2|0.009266617|0.080581604|-0.131709531|-0.4510651779999999|2|0.799506006|0.099883916|0.8683808959999999|0.669357479|1|0.923455749|-0.080784473|-0.033660197|-36.77082544|0.751638299|-1.615689464|57.44364296|0.464933687|3010.721939|623.0226425|2170.5738260000003|0.248361701|16.84664803|6696.264498|167.5607773|30.21311441|0.0190667019999999|-339.5427625|1450.229492|12.86362369|0.0|1.0|1.0|3.48|3.28|0.04|-7.47|3.89|128.81|1.0|1.0|5.0|32.0|5.0|-6.62|436.49|0.0|0.0|2.09e-06|1.27e-05|3.3|0.0|1.4800000000000002e-05|3.5752|3.5752|-1722.181612|0.3802|346.79|573.24|0.6816|0.3802|-0.14774|7.4033|-0.2382|0.02935511|3.0|8.5302|8.5302
47p_a18|0|0|0.0|0.0|0|7.03438793|1|1|1.25117677|0.0|-0.001819106|-0.04760181|0|0.037575758|-0.3775970529999999|0.00235332|-0.015960677|-0.049428094|0|0|0.003537135|0.037961877|-0.261349889|-0.441700685|0|0.726294118|0.030970815|0.7611910209999999|0.710266593|0|0.832954548|-0.082580968|-0.030813794|-45.24146169|0.818459442|-2.0645242|57.05881288|0.488811071|2933.069245|616.5234972999999|1367.4309119999998|0.181540558|19.41290064|6726.61969|134.3699001|27.86610962|0.01090303|-471.4248324|1867.029344|8.070036862|1.0|1.0|1.0|4.29|0.0|0.28|-9.03|3.34|76.5|3.0|1.0|9.0|35.0|3.0|-6.07|468.59|0.0|1.0|2.13e-06|5.34e-06|4.35|0.0|4.38e-07|3.2036|3.2036|-1493.759811|595.0|387.01|732.84|0.6937800000000001|595.0|-0.13118|3.6452|-0.18746|0.02843634|64.0|7.1938|7.1938
12ag_a36|1|0|3.408828027|0.0|0|7.412764017000001|2|2|1.297044434|0.0|-0.042092217|-0.084341564|2|0.043848238|-0.436614203|-0.002526241|0.0070889269999999|-0.050147748|1|1|-0.000673716|0.135431487|-0.217394466|-0.445549431|1|0.835013502|0.124298337|0.8910146309999999|0.698414933|0|0.7468300940000001|-0.1081585809999999|-0.038937089|-43.02381535|0.758897371|-1.946854457|64.72839664|0.481286668|2773.9654530000003|471.0269757|2305.164626|0.2411026289999999|15.13240062|5906.879919|152.06382680000002|32.35969377|0.019328689|-326.5740008|1617.984688|12.1906363|0.0|1.0|0.0|4.72|0.0|0.14|-6.86|2.44|69.2|1.0|0.0|5.0|30.0|5.0|-6.76|399.42|0.0|1.0|0.000129|6.96e-05|2.78|0.0|5.58e-05|3.8893|3.7117|-1332.185403|0.4286|318.79|507.72|0.7024699999999999|0.0191|-0.15227|5.4459|-0.20713|0.03415856|17.0|7.7696|7.7696
