molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|SaaaC|MATS8i|BCUTi-1|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|GeomPetitjeanIndex|TASA|FPSA1|GRAV|PPSA1|DPSA4|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w WLOGP|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
12y_a36|0.0|0|0|3.479963309|0.0|0|7.412764017000001|2|1.29704385|-0.061103469|-0.00707164|5.351858133|-0.065314765|0.0|-0.049845887|10.94917392|1|0.003724542|0.06152178|-0.095253274|-0.1619981409999999|-0.434990282|1|0.820226782|0.873588247|0.856135378|0.83704133|-0.076585128|-0.098532865|0.424572485|-51.48548385|-66.24017399|109.55137340000002|-0.036493654|-44.53093547|8.769742642|14.40618351|0.755735734|-1.970657299|-34.61187706|78.8341402|0.487285656|562.7133986|0.244264266|6082.16777|164.2102614|32.46293206|1752.9983309999998|698.847203|12.59396622|0.0|0.0|1.0|0.0|2.0|0.0|0.12|2.42|2.38|133.84|0.0|1.0|6.0|-4.58|31.0|4.0|-6.34|407.47|1.0|0.0|2.37|2.6e-05|0.0106|2.82e-05|3.83|3.8794|-1310.350902|-1310.315063|702.38|319.6|0.4358|319.6|532.91|0.66796|-0.15671|6.1376|0.03583863|8249.0|12.0|7.9208|7.9208
18_a47|0.0|1|1|2.969619451|0.0|0|6.605297921|0|1.414391819|-0.141396999|-0.004337918|4.59511985|-0.06345679|1.5913490630000002|0.018164141|10.93838451|1|0.0015586929999999|-0.056674151|-0.02470455|-0.053119347|-0.322800033|3|0.792196273|0.851462739|0.630969651|0.777824025|-0.078937385|-0.084415066|0.454324931|-49.44908758|-52.88049505|139.1786571|-0.0303894239999999|-33.12615721|5.784962137000001|3.684585007|0.7327484470000001|-1.5194711930000002|-30.97660579|63.72933669|0.432077184|487.2556678|0.267251553|6261.441874|167.41554630000002|25.98023687|1299.011844|628.5247532999999|10.84884165|1.0|0.0|1.0|1.0|2.0|2.5|0.08|6.0|2.63|119.78|0.0|0.0|4.0|-5.5|31.0|5.0|-5.87|410.45|0.0|1.0|4.16|3.13e-06|0.00129|4.29e-06|3.32|4.2222|-1354.221126|-1354.180815|652.12|293.65|0.4335|290.58|487.81|0.63359|-0.17349|3.4464|0.04031146|5.3433|3.0|8.6|8.6
13h_a6|0.0|0|0|3.464247528|0.0|0|6.842683282|0|1.424099498|-0.094781725|-0.006619944|4.727387819|0.004767264|1.656132209|-0.01698365|10.95053423|1|-0.000644109|0.105918119|-0.12414699|-0.215607882|-0.468842137|2|0.780222427|0.8391892870000001|0.789769968|0.867910741|-0.074151997|-0.091977068|0.300800177|-51.85624128|-64.32173453|92.37313621|-0.032362302|-44.98170701|8.529752344|0.0|0.736918588|-1.747564296|-36.26429338|76.78735663|0.461667017|606.9504647000001|0.263081412|6302.785260000001|183.9790404|30.71129129|1658.40973|744.1359788|12.4656221|1.0|1.0|1.0|1.0|2.0|3.03|0.12|4.79|1.13|128.63|0.0|0.0|6.0|-5.56|33.0|5.0|-6.31|431.49|0.0|1.0|3.61|2.77e-06|0.0012|8.8e-06|3.83|3392.0|-1386.613707|-1386.569017|738.61|365.52|1.0978|254.58|591.53|0.69001|-0.14097|7.2872|0.04469058|10.0322|47.0|7.3279|7.3279
35_a18|0.0|0|0|0.0|0.0|0|7.03438793|2|1.251175948|0.068150325|-0.00622005|4.844187086|-0.020425504|0.0|0.027469086|10.94702087|0|0.00113101|-0.104482176|-0.078001173|-0.117857059|-0.5009599889999999|0|0.737094825|0.774007861|0.7277482059999999|0.800765945|-0.081822342|-0.084219749|0.3888901179999999|-60.302584200000005|-62.06945887|146.8343246|-0.033440195|-45.74482543|4.809030636|74.92670772|0.874573807|-2.273933228|-44.44264921|67.9315105|0.465531336|590.1597827|0.125426193|6995.248058|92.43836482|28.17969862|1916.219506|1056.535856|5.862051629|1.0|0.0|1.0|1.0|3.0|0.0|0.3|3.35|3.33|151.05|0.0|1.0|8.0|-6.06|36.0|3.0|-6.0|480.6|0.0|1.0|3.07|8.629999999999999e-07|0.000415|2.96e-06|8.09|3.2146|-1533.002975|-1532.976969|796.47|385.69|0.4981|385.69|657.07|0.69279|-132.0|2.0432|0.02600607|2.7788|24.0|7.6198|7.6198
12q_a36|0.0|0|0|3.453150038|0.0|0|7.412764017000001|2|1.29701394|-0.0543475329999999|-0.00761082|5.351858133|-0.043678703|0.0|-0.0651906459999999|10.9598352|1|0.0010871589999999|0.1161527719999999|-0.103922055|-0.177407665|-0.441747876|1|0.828371596|0.8839272779999999|0.8065052890000001|0.82911927|-0.07607684|-0.1060430969999999|0.324924033|-49.18227989|-68.5549152|110.4712541|-0.038175515|-44.31949385|7.758093617|0.0|0.768692389|-1.908775752|-31.79544084|80.15866795|0.486620426|536.0103834|0.231307611|6040.52496|149.536123|32.10617123|1605.308562|629.5017194000001|11.60375275|0.0|0.0|1.0|0.0|2.0|0.0|0.14|2.54|2.51|128.76|0.0|1.0|5.0|-4.44|30.0|4.0|-6.49|415.88|1.0|1.0|2.34|3.64e-05|0.0151|2.55e-05|3.79|3.8653|-1692.544456|-1692.5102989999998|683.51|320.77|0.4239|236.72|531.58|0.6863199999999999|-0.1566|4.6718|0.03415678|6.4226|6.0|8.2218|8.2218
4k_a46|0.0|0|0|0.0|0.173180233|1|7.825245291|1|1.134637098|-0.050636784|-0.0049602|5.587248657999999|-0.088084767|0.0|-0.1149361969999999|10.94631314|1|0.006050983|-0.158788415|0.008544799|0.012963356|-0.3860697829999999|1|0.7477594870000001|0.787615341|0.784722915|0.8789113709999999|-0.091943864|-0.086581945|0.260665072|-49.65634024|-46.76051618|65.39662252|-0.0306644389999999|-25.25406274|2.052909907|0.0|0.8732380740000001|-1.471893066|-26.8180173|50.48291318|0.417368922|474.67574630000007|0.126761926|4685.0322320000005|68.46061366|18.96506421|910.3230822|519.5743695|3.722397006000001|1.0|0.0|1.0|1.0|1.0|3.03|0.33|4.77|2.84|100.96|0.0|1.0|2.0|-4.82|25.0|3.0|-5.46|333.43|1.0|1.0|3.79|1.5e-05|5.0|1.4800000000000002e-05|4.52|4.4485|-1053.433249|-1053.396715|582.84|278.71|0.2259|228.63|500.36|0.68553|-0.18542|4.0015|0.03653474|5.7714|0.08|7.0969|7.0969
13b_a6|0.0|0|0|3.423777636|0.0|0|7.412764017000001|1|1.430640379|-0.0411179|-0.011206134|5.351858133|-0.0265090529999999|0.0|-0.104663349|10.95129557|1|-0.00194781|0.100281317|-0.10896749|-0.180339002|-0.490758329|1|0.7788169070000001|0.8370824240000001|0.8013954109999999|0.7757172059999999|-0.093125205|-0.112915801|0.202093555|-61.06841733|-74.04643339|147.0772097|-0.0406496879999999|-48.5571926|13.77653618|554.4007331|0.757233678|-2.032484418|-40.04664055|87.39962829999999|0.408780634|508.6895893|0.2427663219999999|6000.952027|159.1980937|35.20276076|1760.1380379999998|627.4287311|13.35319491|1.0|1.0|1.0|1.0|2.0|2.85|0.12|4.32|1.29|116.79|0.0|1.0|5.0|-5.51|31.0|5.0|-6.1|409.44|0.0|1.0|3.45|3.11e-06|0.0012699999999999|1.02e-05|4.04|3.6322|-1350.0903970000002|-1350.061187|694.33|341.35|0.7846|255.67|574.07|0.7006600000000001|-0.14898|10.8032|0.02920955|13.5746|174.0|6.7595|6.7595
17c_a50|0.0|1|1|0.0|0.0|2|7.934155233999999|2|1.347835869|-0.212075666|-0.002676029|5.82008293|0.024219848|2.193763306|-0.144763835|10.94500663|2|0.012222674|0.034485992|-0.233451925|-0.373205592|-0.2256811219999999|1|0.774994313|0.816442883|0.728169863|0.89719894|-0.051905615|-0.073693343|0.446454378|-35.70979598|-50.69922125|70.72462009999998|-0.021745577|-34.87982686|10.25908547|94.15397246|0.569750429|-1.32648017|-24.567468100000003|66.7258111|0.49503436|617.2509739|0.430249571|6438.380804|296.00120400000003|26.25785813|1601.729346|849.1345426000001|16.02658985|1.0|1.0|1.0|1.0|0.0|3.61|0.35|3.53|1.91|134.28|0.0|1.0|6.0|-3.8|33.0|5.0|-6.96|440.54|1.0|0.0|3.1|0.000158|0.0698|3.75e-05|2.74|4.0432|-1411.187392|-1411.157813|746.5|306.65|0.1814|292.44|596.23|0.66213|-0.16697|6.3989|0.02957871|8.5146|69.0|7.1612|7.1612
7_a1|0.0|0|0|0.0|0.0|1|7.860570786|2|1.348826331|-0.055291895|-0.010040172|5.777652323|0.001018628|0.0|-0.07233584|10.9513015|1|0.004950534|-0.077833285|-0.245732751|-0.391298966|-0.441054548|1|0.801577133|0.862051935|0.729621031|0.710959153|-0.083362936|-0.098295453|0.289201649|-40.16416679|-47.35863598|139.2595474|-0.031040669|-22.81733634|8.342261787|404.7836105|0.603382856|-1.179545431|-19.35104936|61.72628137|0.452829665|342.53930230000003|0.396617144|4519.238270000001|191.0896839|24.78585294|941.8624118|351.4191817|14.36764539|1.0|0.0|1.0|1.0|0.0|2.83|0.22|3.29|1.6|85.88|0.0|2.0|2.0|-3.16|23.0|4.0|-6.4|305.33|1.0|1.0|2.72|0.000696|213.0|0.000195|2.76|4.0504|-1009.509475|-1009.48087|515.2|306.1|0.2961|306.1|365.53|0.69902|-0.16734|4575.0|0.02860499|6.5936|0.46|6.3372|6.3372
12m_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|0.6049842529999999|0.096631895|-0.01047558|5.351858133|0.024086432|0.0|0.0488832779999999|10.31162838|1|0.0026474159999999|-0.236661357|-0.084317059|-0.152855196|-0.5409445629999999|1|0.832758813|0.893689741|0.770326886|0.783260049|-0.085422479|-0.103359773|0.415971907|-57.96147772|-70.1324196|147.06395700000002|-0.0405332439999999|-47.58675592|12.59296644|237.0982213|0.773732767|-2.067195455|-39.32844052|83.3641853|0.44976016|531.4632661|0.226267233|6658.711303|153.52847759999997|35.54574762|1812.833129|683.7405759|13.2317657|0.0|1.0|1.0|0.0|1.0|0.0|0.13|2.48|2.06|133.52|0.0|1.0|6.0|-6.0|32.0|6.0|-6.22|439.49|0.0|0.0|2.36|1.01e-06|0.000444|9.71e-06|3.88|3.5496|-1743.215323|-1743.174906|714.92|349.29|255.0|244.95|578.87|0.68404|-0.15042|3.6891|0.04041755|5.1279|31.0|7.5114|7.5114
