molecula|SddssS|n9FaRing|SRW09|nAHRing|nARing|BCUTs-1|SRW07|n6HRing|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aHRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA5|PBF|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|pIC50|pIC50
34_a47|0.0|1|6.842683282|0|0|1.40499556|4.727387819|3|-0.094313757|1.741433543|0.003530307|10.98214103|1|-0.1430639269999999|-0.317014709|-0.2829549719999999|3|0.62974551|0.833786184|0.046668352|0.128336294|0.609110565|1|0.8260556609999999|-0.090141168|0.437215023|-34.3104683|-49.91779281|10.92238452|96.32577107|-0.029348287|0.0|0.653993216|-19.00022922|62.66739933|45.23285281|0.45489212|2371.236125|457.4477611|-9.000096143|0.346006784|7.066583143|12.96364153|0.834499257|191.6093987|24.85087647|-170.55473480000003|1068.587688|439.9906467|12.74960652|1.0|1.0|1.0|3.19|-7.47|4.52|68.52|1.75|0.0|0.0|99.09|1.0|4.0|-3.57|26.0|5.0|1.0|3.02|-3.9|0.000267|0.000125|2.49|0.0|3.8892|-1162.4815230000002|-1162.450678|585.79|980.02|436.88|0.6602399999999999|0.1718|-0.16086|4.4605|0.03084502|8.7|8.7
12t_a30|0.0|0|7.412764017000001|2|2|0.60498454|5.351858133|2|-0.0596036729999999|0.0|-0.002544958|10.31162892|1|-0.0546637159999999|-0.145315868|-0.464720444|1|0.609043558|0.83236194|-0.003937967|-0.080971844|0.591758164|0|0.696413582|-0.1011561919999999|0.408290036|-58.89093185|-65.79920855|12.26965165|197.4742794|-0.037159417|0.0|0.745705883|-38.30686627|78.8278828|71.1605835|0.445760296|2976.648597|452.99711|-15.72263361|0.254294117|7.957774504|14.358001500000002|0.804273481|165.4110479|32.41376848|-319.6492937|1588.274656|616.2856203|13.02867425|1.0|0.0|1.0|4.63|-7.16|3.74|81.65|3.58|2.0|0.0|127.19|1.0|5.0|-5.49|31.0|6.0|0.0|3.21|-5.17|3.24e-06|6.71e-06|4.07|0.0|3.5457|-1774.2421780000002|-1774.208418|677.85|1139.2|527.87|0.33647|0.1561|-0.15029|2.6784|0.0337599|8.0496|8.0496
47s_a18|0.0|0|7.03438793|1|1|1.251176205|4.844187086|0|-0.026883417|0.0|0.002573931|10.94702059|0|-0.168728915|-0.252119673|-0.46304239|0|0.724028067|0.712629555|0.0109557919999999|-0.0540701129999999|0.716761234|0|0.84543779|-0.08106112|0.306379663|-53.18668656|-61.36410696|6.394119331000001|117.0051929|-0.030108416|51.05656345|0.820470855|-40.26287221|69.29837549|59.58080589|0.4740142|2992.734821|640.0051571|-17.25406952|0.179529145|9.811856136|18.65422248|0.901192009|135.90542109999998|27.77963709|-485.1995077|1944.574596|1093.725912|7.934268528|1.0|1.0|2.0|4.41|-9.42|3.93|76.5|3.33|3.0|1.0|149.34|1.0|10.0|-5.95|36.0|3.0|1.0|3.19|-5.45|1.12e-06|3.53e-06|4.62|0.0|3218.0|-1534.196027|-1534.174077|809.4|1435.42|736.36|0.6926800000000001|0.5203|-0.13195|2.3134|0.02195039|6.2104|6.2104
12ab_a30|0.0|0|7.412764017000001|2|2|0.604983638|5.351858133|2|0.018023992|0.0|0.003529389|10.31162784|1|-0.12254489|-0.207153446|-0.384942092|1|0.8397577820000001|0.809127478|0.078325164|0.026596859|0.794193541|0|0.7997534890000001|-0.1008879709999999|0.4605456229999999|-58.23149599999999|-71.0035788|22.23130678|140.93076580000002|-0.031859359|0.0|0.603952976|-40.9825333|92.49334877|80.46280277|0.461207954|3118.431712|562.8556061|-15.78042667|0.3960470239999999|8.44310703|15.6704374|0.856003642|278.7324985|37.1257096|-146.321375|2116.165447|792.3440337000001|21.48976996|1.0|0.0|1.0|4.87|-6.83|2.63|100.11|2.2|2.0|0.0|140.26|1.0|7.0|-5.61|33.0|6.0|0.0|2.52|-5.0|2.47e-06|9.94e-06|3.81|0.0|3.4919|-1804.824495|-1804.79081|753.75|1275.19|613.7|0.46561|0.1511|-0.14772|6.9089|0.03368522|7.7825|7.7825
16a_a32|0.0|1|7.765993078999999|0|0|0.6094207620000001|5.733341277|0|-0.053745649|2.095743605|-0.008098765|10.31100271|3|-0.107321286|-0.199563743|-0.707456102|0|0.859696525|0.8567078770000001|0.039965071|-0.098258706|0.81143469|1|0.756542831|-0.119471489|0.283324612|-56.2527503|-74.35152328|12.86051026|151.5123947|-0.037168908|66.13699638|0.6968200370000001|-35.00816569|88.96104768|69.11326055|0.450892763|2615.514164|470.82456669999993|-14.39564033|0.303179963|7.183246604|13.08168264|0.8211379000000001|188.6800971|33.19592405|-244.9767673|1493.816582|532.685565|14.6095244|1.0|0.0|3.0|3.53|-7.3|3.79|152.07|0.88|1.0|0.0|108.86|1.0|7.0|-5.49|27.0|4.0|0.0|3.06|-4.04|3.2e-06|9.14e-05|2.65|0.0|3.6314|-1896.81177|-1896.770883|664.67|1096.48|535.63|0.70245|0.2859|-0.15045|1.3736|0.04088655|7.9586|7.9586
3d_a32|0.0|1|7.765993078999999|0|0|0.609420786|5.733341277|0|-0.0620110029999999|2.230648962|0.000655875|10.31100276|3|-0.076494363|-0.1395294259999999|-0.539652902|0|0.8315372|0.8444218509999999|-0.069007775|-0.100251236|0.77923808|1|0.892845502|-0.093187219|0.2214902789999999|-37.19367587|-50.45435743|7.807299836|58.01666174|-0.02867299|0.0|0.720540286|-20.13777259|59.15151032|45.000975700000005|0.427813496|2213.978384|483.4133562|-8.405385739|0.2794597139999999|6.15119195|10.75032687|0.747681906|151.30787800000002|21.54552351|-238.8142619|840.275417|421.3548777|8.697152881000001|1.0|1.0|1.0|3.34|-7.29|5.07|110.94|1.94|1.0|0.0|97.86|1.0|4.0|-6.55|23.0|3.0|0.0|4.32|-5.13|2.81e-07|7.36e-06|4.5|0.0|3.5105|-1672.758552|-1672.733979|569.29|959.11|465.41|0.7035100000000001|0.5031|-0.14189|3.2094|0.02457348|8.0915|8.0915
12q_a36|0.0|0|7.412764017000001|2|2|1.29701394|5.351858133|2|0.068040097|0.0|0.0005016269999999|10.9598352|1|-0.103922055|-0.177407665|-0.441747876|1|0.8941919290000001|0.828371596|-0.017640538|-0.074349074|0.8065052890000001|0|0.82911927|-0.1060430969999999|0.324924033|-49.18227989|-68.5549152|12.00048565|110.4712541|-0.038175515|0.0|0.768692389|-31.79544084|80.15866795|61.18276554|0.486620426|2786.514757|536.0103834|-15.95501778|0.231307611|7.546533709|14.69971555|0.947876484|149.536123|32.10617123|-347.4093916|1605.308562|629.5017194000001|11.60375275|1.0|0.0|2.0|4.74|-7.18|2.54|69.2|2.51|1.0|0.0|128.76|1.0|5.0|-4.44|30.0|4.0|1.0|2.34|-4.59|3.64e-05|2.55e-05|3.31|0.0|3.8653|-1692.544456|-1692.5102989999998|683.51|1148.35|531.58|0.39919|0.3419|-0.1566|4.6718|0.03415678|8.2218|8.2218
13_a10|0.0|0|7.535296702|1|1|1.343837907|5.4161004020000005|2|-0.093280469|1.794073077|0.00384732|10.9296146|1|-0.017015286|-0.02811323|-0.345108701|2|0.761923976|0.78472614|0.00746881|-0.002671425|0.736686715|1|0.818027691|-0.082327045|0.4676169839999999|-47.88975806|-41.62089688|6.168030793|91.99711608|-0.030119651|0.0|0.7144943490000001|-24.21093442|51.21590298|54.05778885|0.449563457|2261.82488|413.5584641|-7.698174391|0.285505651|5.069505473|9.209972585|0.816739845|144.338975|21.31179541|-216.8776303|873.7836118999999|422.96706330000006|9.595006108|1.0|1.0|1.0|3.02|-6.6|3.81|63.83|1.88|0.0|0.0|97.14|1.0|2.0|-3.76|25.0|4.0|1.0|2.91|-4.1|0.000176|7.87e-05|2.76|0.0|3.8419|-1065.874094|-1065.839441|550.83|926.41|376.77|0.34881|0.1514|-0.15937|3.6904|0.0346535|6.7959|6.7959
8g_a12|0.0|1|6.580639137|1|1|1.28383574|4.59511985|2|-0.038463841|1.714060666|0.005898773|10.95472263|1|0.068559367|0.122649613|-0.532504083|1|0.804158158|0.7475224290000001|-0.04981165|-0.070405398|0.7714487940000001|1|0.8576253690000001|-0.1045061519999999|0.274352085|-42.39297373|-57.6443411|4.915102972|78.53214058|-0.042752517|0.0|0.90166696|-23.38345638|61.99654413|47.30807670000001|0.463772637|2506.427441|473.055878|-13.00742505|0.09833304|6.882798206|12.83559677|0.864880588|54.23932676|26.15353224|-443.109365|1150.7554189999998|480.0590283|4.352203029|0.0|1.0|2.0|4.07|-8.0|2.07|78.85|2.89|1.0|0.0|109.93|1.0|3.0|-4.38|27.0|5.0|0.0|2.77|-4.34|4.15e-05|4.61e-05|3.06|0.0|3731.0|-1154.321531|-1154.281986|590.93|989.66|418.41|462.0|0.1601|-0.1520099999999999|2.9986|0.03954539|5.43|5.43
19l_a38|0.0|0|7.412764017000001|2|2|1.297043246|5.351858133|2|0.103904811|0.0|-0.001197042|10.94917392|1|-0.091460175|-0.191751024|-0.4224000739999999|1|0.723755855|0.839953955|-0.032569307|-0.053823023|0.700181525|0|0.799611189|-0.100870929|0.51306986|-51.6277901|-65.35669452|14.19254029|129.8367176|-0.037359603|19.55998015|0.7374102309999999|-33.45088372|79.04689476|65.82033039|0.430111845|2921.048554|518.0872716|-15.68376675|0.262589769|6.568874137999999|11.52660233|0.754730276|170.13821069999997|32.82593886|-307.64756780000005|1772.6006989999998|696.3887025|13.69020024|1.0|0.0|3.0|4.94|-7.28|3.09|81.23|2.75|2.0|0.0|135.78|1.0|6.0|-4.94|32.0|4.0|0.0|3.22|-4.72|1.15e-05|1.89e-05|3.55|0.0|3354.0|-1409.5865199999998|-1409.557954|660.04|1164.34|502.31|0.69413|0.0233|-0.13977|6.5627|0.02856649|7.8633|7.8633
14f_a23|0.0|1|7.423568444|0|0|1.197963246|5.351858133|2|0.056215377|0.745818086|0.010561248|10.3132176|2|-0.110069159|-0.199540201|-0.399688849|2|0.756252127|0.796412133|0.070514687|-0.06885759|0.71381683|1|0.894162392|-0.084419703|0.2096108239999999|-40.51498423|-57.07376861|18.34483401|71.55380685|-0.031450478|96.60179161|0.665778294|-27.39103254|74.08536976|58.85981824|0.478733036|3014.916135|604.5178506|-14.37516058|0.334221706|8.124287407|15.58565565|0.918402793|225.9578225|31.93672236|-224.1560124|1628.77284|683.7405759|17.01160115|0.0|0.0|1.0|3.57|-7.51|4.03|114.25|2.72|2.0|1.0|126.78|1.0|6.0|-5.63|32.0|5.0|0.0|3.46|-5.02|2.32e-06|9.57e-06|3.55|0.0|3.5753|-1744.452086|-1744.429532|711.98|1210.19|572.35|0.60917|0.1699|-0.1458|6.3534|0.02255331|8.6459|8.6459
3_a47|0.0|0|0.0|0|0|1.304465159|0.0|2|-0.013350303|1.416887578|-0.008828261|10.93671092|0|-0.015388793|-0.024240921|-0.457330633|2|0.900251233|0.720319618|0.104873188|0.022804181|0.815682427|1|0.854727481|-0.0948001|0.4661246329999999|-43.59237092|-49.71258151|4.514659074|76.18000386|-0.036461577|1.139378223|0.7849694909999999|-22.85956767|58.22383723|48.10703|0.403777634|2243.894237|448.2137648|-10.02652614|0.2150305089999999|6.46319354|10.84023999|0.67722658|112.7606591|24.35791949|-298.8724505|949.95886|418.022895|8.511255722000001|1.0|1.0|2.0|2.59|-8.42|5.4|58.04|2.88|1.0|0.0|101.55|1.0|3.0|-5.54|25.0|3.0|1.0|4.02|-5.35|2.86e-06|4.49e-06|4.6|0.0|3.7284|-1470.137664|-1470.101469|556.65|941.44|402.58|0.52977|0.2182|-0.15473|4.0226|0.03619487|6.5|6.5
4_a47|0.0|0|0.0|0|0|1.304464196|0.0|2|-0.158636969|1.42341819|-0.007295208|10.93671044|0|-0.017555555|-0.027355932|-0.462831711|2|0.893350891|0.783871003|-0.095209424|0.019305509|0.8124901999999999|1|0.874200878|-0.092556319|0.444849947|-42.46254967|-50.35610033|4.22896799|68.44214684|-0.03525955|0.0|0.806604393|-23.10213311|57.78603076|46.69151766|0.402148382|2306.463316|475.6168721|-10.43683449|0.193395607|6.468023748999999|10.818777699999998|0.67265584|105.2186243|23.78275706|-333.62177030000004|998.8757964|471.7712484|7.429930428|1.0|1.0|2.0|2.75|-8.79|5.71|58.04|3.1|2.0|0.0|106.52|1.0|3.0|-5.92|26.0|3.0|0.0|4.32|-5.64|1.21e-06|2.31e-06|4.96|0.0|3.73|-1509.453558|-1509.4201369999998|576.9|988.42|432.89|0.45947|0.2221|-0.1547|4.2607|0.03342033|7.5|7.5
6g_a40|0.0|0|8.421342866|1|2|0.604893315|6.401917197|0|-0.120745388|0.607999575|-0.019683422|10.30179936|2|0.0312035079999999|0.05728593|-0.588058458|0|0.8316888240000001|0.832499949|0.075283207|-0.340429901|0.808096413|1|0.605346707|-0.156296046|0.400587529|-107.2113398|-101.5916383|11.53799852|256.5226419|-0.059045173|47.36081569|0.824204189|-69.68682788|114.7475987|118.7493383|0.425569146|3142.74733|393.4722933000001|-24.9461968|0.175795811|6.95079805|12.10032156|0.740853565|114.2663866|46.56499428|-421.4621621|2095.424743|590.1686672000001|13.1559604|0.0|0.0|3.0|4.06|-2.87|2.48|213.89|0.59|1.0|2.0|124.18|3.0|5.0|-7.22|31.0|7.0|0.0|2.37|-4.71|6.049999999999999e-08|1.93e-05|3.06|0.0|2.8135|-2522.023752|-2521.990118|669.8|1144.59|514.77|0.58454|0.1307|-0.11857|6.7231|0.03363483|7.3279|7.3279
14a_a22|0.0|0|6.842683282|0|0|1.4229176680000002|4.727387819|2|0.021482585|1.614660505|0.005288335|10.9464374|1|-0.097476465|-0.165471815|-0.360663314|2|0.6819423609999999|0.7392451729999999|-0.09744639|-0.027029438|0.655865336|1|0.864077619|-0.081479363|0.490491034|-42.39063895|-55.51601021|14.49148204|92.61079081|-0.031338217|60.38977977|0.7007904070000001|-28.88288575|70.33046351|56.88212098|0.446584227|2885.858295|588.739773|-14.54840956|0.299209593|8.052850876|14.55117701|0.8069597009999999|203.8666248|30.46889826|-273.61731430000003|1584.38271|684.5377542|14.81445329|1.0|1.0|1.0|3.42|-9.21|4.31|85.59|1.73|1.0|0.0|124.05|1.0|6.0|-4.65|32.0|5.0|0.0|3.19|-4.68|2.25e-05|2.1e-05|3.18|0.0|3.5707|-1368.35698|-1368.321586|695.62|1191.81|534.87|0.45928|0.0578|-0.15029|4.9775|0.03539365|7.4202|7.4202
12_a15|0.0|0|0.0|0|0|1.435689014|0.0|2|-0.035728911|0.0|0.001740635|10.95973444|0|-0.120626133|-0.184255041|-0.380490701|2|0.8310685940000001|0.723852961|0.049877871|-0.019064393|0.7933685340000001|0|0.89637291|-0.094209248|0.738437971|-39.00359933|-60.15445365|9.58943236|66.16793071|-0.031995594|4.192089814|0.746489397|-24.90456371|70.6606311|48.59303169|0.476419838|2613.57759|572.3516967|-13.04483751|0.253510603|5.448223888999999|10.40571107|0.909927213|161.8714956|27.36785616|-314.7766363|1450.496376|673.7288405|10.50617745|1.0|1.0|1.0|3.56|-9.82|6.3|56.27|2.87|2.0|0.0|119.95|1.0|6.0|-6.22|30.0|4.0|0.0|4.7|-5.83|5.99e-07|1.47e-06|5.29|0.0|3.8538|-1281.087109|-1281.060163|688.91|1177.81|585.26|0.50595|0.0093|-0.15858|4.3338|0.02694613|8.3979|8.3979
