molecula|SddssS|n9FaRing|SRW09|nAHRing|nARing|BCUTs-1|SRW07|n6HRing|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aHRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA5|PBF|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|pIC50|pIC50
8e_a8|0.0|0|7.05012252|0|0|1.394799502|4.844187086|0|-0.000766016|0.0|-0.005310149|10.94332438|1|0.090898585|0.183313231|-0.475941912|0|0.650073857|0.7233950809999999|0.02023118|-0.079493088|0.636205913|0|0.661490276|-0.105450888|0.280304418|-70.49962428|-64.32539698|12.87136047|206.4920729|-0.04393787|76.40535608|0.803307236|-43.00500847|75.57562034|83.37098475|0.483244415|2692.975753|403.5112981|-16.34946208|0.196692764|7.50719734|14.52755918|0.935150832|119.9832494|33.36487904|-370.0368722|1601.514194|561.882658|11.25022336|0.0|0.0|2.0|3.2|-7.78|4.17|90.11|3.4|2.0|0.0|111.81|1.0|5.0|-5.27|30.0|4.0|0.0|3.71|-4.9|5.34e-06|1.25e-05|3.69|0.0|3.2737|-1376.957298|-1376.924308|639.38|1090.07|526.86|0.50055|0.1671|-0.13719|6.1505|0.03298991|4.7014|4.7014
9_a3|0.0|0|6.823286122000001|0|0|0.605017128|4.727387819|1|-0.126542538|2.4071976040000003|-0.004918099|10.31162238|1|0.083014843|0.141996379|-0.614170287|1|0.923357627|0.6729843740000001|-0.260349706|0.042154567|0.865283439|0|0.84649775|-0.083555008|0.506753484|-44.74600478|-39.28853824|3.469130065|72.17854599|-0.038196575|72.50764604|0.886859678|-21.04009269|43.50933802|48.21513485|0.413418346|2017.0704920000005|398.0331029|-8.445224386|0.1131403219999999|5.004834198999999|8.532203772|0.704792493|53.19989715|20.25176593|-363.8118546|708.8118076000001|349.6957191|4.220799781|1.0|1.0|1.0|3.1|-7.26|4.62|80.04|2.42|1.0|0.0|92.69|1.0|2.0|-5.53|22.0|2.0|0.0|3.7|-4.9|2.96e-06|1.25e-05|4.14|0.0|3.7356|-1256.087705|-1256.0634710000002|512.44|857.36|350.27|0.3639699999999999|0.1127|-0.15834|2.0863|0.0242342|4.96|4.96
18a_a22|0.0|0|6.842683282|0|0|1.194229718|4.727387819|2|0.033735832|1.6891461019999998|0.007066388|10.31286146|1|-0.0835538409999999|-0.147724859|-0.296897301|2|0.760537197|0.7329701259999999|-0.042139855|-0.027029438|0.722009212|1|0.926535704|-0.076119803|0.573315195|-34.36220678|-51.6464295|11.62443251|49.84469832|-0.029276847|18.5219848|0.710467198|-23.31437056|64.80092090000001|45.98663929|0.487405342|2898.068989|628.6440468999999|-13.47750813|0.289532802|7.037677899|13.72951861|0.950859191|196.4447473|27.95908297|-285.5992506|1453.872315|730.9420477000001|13.15449139|1.0|1.0|1.0|3.49|-9.4|5.11|100.61|2.13|2.0|1.0|131.64|1.0|6.0|-5.59|32.0|4.0|0.0|3.9|-5.16|2.59e-06|6.98e-06|3.78|0.0|3.4832|-1691.3151059999998|-1691.2957760000002|695.35|1211.84|531.16|0.35107|0.0354|-0.1408|3851.0|0.01932946|7.8861|7.8861
12aw_a36|0.0|0|7.412764017000001|2|2|1.297044239|5.351858133|2|0.066435701|0.0|-0.006877664|10.96021804|1|-0.098027247|-0.250781298|-0.4191703539999999|1|0.653741315|0.836170906|-0.022464907|-0.056676035|0.632625562|0|0.706174871|-0.114701005|0.373775982|-56.73814908|-73.52224315|14.76755422|188.3390873|-0.041292362|1.343623915|0.749052287|-36.36860892|87.37742985|71.5057033|0.47322369|2901.451841|452.6513136|-16.96573876|0.250947713|7.545677222999999|14.32425315|0.898338973|160.8550748|35.33532702|-319.2802512|1766.7663510000002|593.6088758|13.8551867|1.0|0.0|2.0|4.73|-7.12|3.0|69.2|2.78|1.0|0.0|123.67|1.0|5.0|-3.99|31.0|6.0|1.0|2.44|-4.32|0.000102|4.81e-05|2.88|0.0|3.8763|-1431.404673|-1431.373326|666.09|1120.43|507.71|0.38905|0.3892|-0.15688|4.8181|0.03134789|8.0458|8.0458
12bi_a36|0.0|0|7.412764017000001|2|2|1.297042566|5.351858133|2|0.03474497|0.0|0.000482522|10.95958518|1|-0.176729938|-0.289604649|-0.37220074|1|0.884226781|0.812921349|0.0997949019999999|0.071329141|0.8350231859999999|0|0.7850011179999999|-0.107613368|0.382000949|-57.89562053|-75.1419557|24.16125901|150.12481100000002|-0.027831043|0.0|0.4996603229999999|-40.42611289999999|101.3899049|82.05687954|0.461975362|3044.149713|548.1337538|-13.56944331|0.500339677|8.454426643|15.71382803|0.85865094|349.3664649|38.89295091|0.474365004|2255.791153|766.4854363|26.24794923|1.0|0.0|2.0|4.97|-6.79|1.9|87.66|1.42|1.0|0.0|136.74|1.0|7.0|-4.11|33.0|6.0|0.0|1.75|-4.15|7.75e-05|7.13e-05|2.62|0.0|3.6851|-1461.997992|-1461.966152|742.94|1256.37|603.92|0.68181|0.0252|-0.15078|7.0514|0.0318395999999999|7.8539|7.8539
12g_a31|0.0|0|7.765993078999999|1|1|0.6101363000000001|5.733341277|0|0.045747231|0.0|-0.008464411|10.31169877|2|-0.0497478109999999|-0.081426376|-0.57758443|0|0.837044054|0.819234772|-0.076150332|-0.1386819869999999|0.7983388929999999|0|0.58271093|-0.131126805|0.325789284|-78.87508829|-80.52794936|19.01411466|256.26669530000004|-0.039059048|548.1594997999999|0.6886488690000001|-48.43898314|95.97385383|97.88920296|0.470244801|2514.363249|357.8560168|-14.73099143|0.311351131|8.098256552|15.28679013|0.887664343|191.2078009|34.8320455|-231.70711040000003|1637.106139|524.0230338|15.44590447|1.0|1.0|2.0|3.61|-6.45|3.44|131.36|0.86|1.0|0.0|103.26|1.0|7.0|-4.92|27.0|5.0|0.0|2.9|-3.79|1.19e-05|0.0001629999999999|2.52|0.0|3.8349|-1578.846191|-1578.800869|664.44|1090.41|542.78|0.70068|265.0|-0.15917|1.6279|0.04532186|6.9586|6.9586
9g_a40|0.0|0|7.515889085|0|0|0.604992427|5.4161004020000005|0|0.07954859|0.895670535|0.011921308|10.31197177|2|-0.037217966|-0.062672355|-0.383703998|0|0.694156166|0.764275277|-0.384131901|-0.242405063|0.665414608|1|0.90454157|-0.079033043|0.002717414|-33.47455057|-41.63731423|11.25704374|50.29077056|-0.031197254|64.08637519|0.740240206|-17.63553984|51.16627179|44.73159432|0.476386801|2169.234651|476.5434822|-8.658932892000001|0.259759794|8.180261533|15.62271835|0.909806709|136.8503571|22.20330888|-253.1335385|843.7257374|384.6422631|9.528957565|0.0|1.0|1.0|2.8|-6.43|2.93|72.28|0.64|0.0|0.0|87.53|1.0|3.0|-2.49|23.0|4.0|1.0|1.93|-3.09|0.00323|0.0008179999999999|1.37|0.0|3.0778|-1332.487689|-1332.476347|559.04|923.42|469.6|0.70233|0.3563|-0.12765|3.4787|0.01134289|5.45|5.45
12h_a40|0.0|0|7.515889085|0|0|0.60499064|5.4161004020000005|0|0.208938531|0.803557099|-0.000134504|10.31197256|2|0.127299624|0.224167029|-0.556229094|0|0.809398262|0.7769829840000001|0.116873629|-0.335801908|0.6948809659999999|1|0.839481749|-0.091448888|0.006997021|-50.45378559|-48.34705035|6.193088525|84.86252967|-0.038796498|59.68939644|0.844008584|-26.67382585|54.9311782|56.64687411|0.4958138139999999|2270.834041|443.8158546|-10.84365353|0.155991416|7.989299324|15.84593062|0.983394285|82.46928995|24.30173133|-363.7398044|801.957134|350.9435025|6.584127851|1.0|0.0|1.0|3.19|-6.84|5.02|84.45|3.76|2.0|1.0|96.16|1.0|2.0|-6.25|23.0|2.0|0.0|4.22|-5.58|5.58e-07|2.61e-06|4.75|0.0|2.6436|-2153.207198|-2153.186757|548.82|910.77|435.95|0.6503899999999999|0.3693|-0.1092|2.5573|0.02044063|6.0846|6.0846
8_a27|0.0|0|6.605297921|0|0|1.406757715|4.59511985|2|-0.14212377|1.21499748|0.0040883959999999|10.93783465|1|-0.106814855|-0.187486926|-0.535352745|2|0.6812785379999999|0.8000360390000001|0.141900468|0.11158995|0.64927069|1|0.776384028|-0.092265073|0.3608031339999999|-37.50265703|-43.96130162|10.41179748|106.5457267|-0.035880862|61.18801154|0.751701834|-17.86879446|53.20197882|47.91445451|0.479730655|2132.9321670000004|369.9216992|-8.145716531|0.248298166|5.016799703|9.642697094|0.92208134|118.305988|22.74314225|-239.8554499|818.753121|326.3351007|9.240677197|0.0|0.0|1.0|2.79|-6.28|2.48|76.46|2.19|0.0|0.0|87.68|1.0|2.0|-3.23|23.0|4.0|1.0|2.38|-3.52|0.000586|0.000299|2.0|0.0|4.1276|-1004.515654|-1004.489001|507.76|848.58|374.88|0.64893|0.2336|-0.16958|3.0415|0.02665292|8.2218|8.2218
7e_a8|0.0|0|7.05012252|0|0|1.394799915|4.844187086|0|-0.03633378|0.0|0.0024398329999999|10.94332434|1|0.034227147|0.07125309|-0.341022848|0|0.5897105770000001|0.732001738|-0.023521398|-0.072307692|0.577394732|0|0.8291560379999999|-0.0886889709999999|0.286669793|-51.4880895|-53.04282692|12.91806855|102.177831|-0.037446454|63.5628736|0.776001552|-30.79383811|64.23177694|64.40615805|0.4742828629999999|2605.914474|495.8990914|-13.39444718|0.223998448|7.70387217|14.654025199999998|0.902163597|133.9683023|28.86058693|-330.14031780000005|1298.726412|519.5762494|11.18895001|1.0|0.0|1.0|3.2|-8.29|4.94|70.81|3.54|2.0|0.0|108.43|1.0|4.0|-5.75|29.0|4.0|0.0|4.31|-5.41|1.78e-06|3.87e-06|4.54|0.0|3.2363|-1300.495519|-1300.467069|622.23|1060.05|544.55|0.6998300000000001|0.1522|-0.13577|9.0006|0.02845071|4.4547|4.4547
17b_a25|0.0|0|6.842683282|0|0|1.3732004619999998|4.727387819|2|-0.026412432|1.968416259|0.005120507|10.93106294|1|-0.044156525|-0.073994564|-0.366585181|2|0.653180996|0.780221059|0.068812225|0.029728702|0.636746066|1|0.882170399|-0.079392561|0.410780725|-51.71860811|-60.19950116|12.04068508|89.34443096|-0.029249891|87.61586206|0.724866184|-39.21569422|73.52844745|63.75929319|0.476276266|3100.8813760000003|668.9067217|-16.81707305|0.275133816|9.700133933|18.52147096|0.909403632|208.6205329|30.59704545|-341.0100868|1744.031591|832.226697|13.32894629|1.0|1.0|1.0|3.56|-10.04|5.18|96.49|2.0|2.0|0.0|135.78|0.0|7.0|-5.32|35.0|5.0|0.0|3.78|-5.07|4.75e-06|8.59e-06|3.61|0.0|3961.0|-1483.873254|-1483.830524|781.08|1329.35|654.18|0.31395|0.1741|-0.16408|3.5074|0.04272963|6.9957|6.9957
7g_a8|0.0|0|7.535296702|1|1|1.39137419|5.4161004020000005|0|-0.030968098|0.0|-0.00087806|10.9431888|1|0.021974492|0.046246982|-0.418049442|0|0.627990269|0.7363841520000001|0.098510683|-0.044866536|0.606087461|0|0.699376143|-0.1122315669999999|0.306360885|-64.55562181|-67.26263865|19.08352484|180.1699331|-0.045912914|56.75323443|0.806738465|-38.68948451|78.41805331|83.63914665|0.470618047|2802.2242920000003|419.1502102|-16.4912131|0.193261535|7.588498875|14.3346384|0.8889952590000001|115.825531|34.10836993|-367.6690814|1500.768277|509.2753308|11.15541466|1.0|0.0|1.0|3.29|-7.91|4.66|80.04|3.4|2.0|0.0|108.0|1.0|3.0|-5.78|30.0|5.0|0.0|4.14|-5.44|1.67e-06|3.59e-06|4.38|0.0|3.7874|-1374.493069|-1374.4533210000002|620.67|1053.9|507.78|0.62073|0.5165|-0.15508|10.1546|0.03974865|4.6772|4.6772
12_a1|0.0|0|7.423568444|1|1|1.430936075|5.351858133|1|0.076867966|0.0|-0.0038943009999999|10.94945122|1|-0.104622651|-0.173618873|-0.487073772|1|0.8016064479999999|0.749817035|-0.045776997|-0.093957115|0.7534284040000001|0|0.765121385|-0.104724018|0.210514881|-55.99493147|-60.78517756|19.60151089|136.3310784|-0.039894864|477.1158679|0.724666653|-32.50125347|74.99749378|75.59644237|0.46449367|2592.245875|444.1009824|-13.44063462|0.275333347|7.679719277999999|14.34104294|0.867391557|159.81230209999998|31.95435864|-260.8074567|1342.083063|473.040639|14.21231622|1.0|1.0|1.0|3.29|-8.2|4.41|83.82|1.67|2.0|0.0|103.47|1.0|3.0|-4.98|28.0|5.0|0.0|3.44|-4.75|1.04e-05|1.77e-05|3.54|0.0|3.1744|-1216.12881|-1216.099134|607.42|1018.84|482.51|0.69114|0.2821|-0.12874|7.7454|0.0296752|5.5302|5.5302
12w_a30|0.0|0|7.412764017000001|2|2|0.604983445|5.351858133|2|-0.0999572419999999|0.0|0.002431329|10.31162873|1|-0.0493878409999999|-0.0857954809999999|-0.477636454|1|0.8149999040000001|0.83236194|-0.032835151|-0.080971844|0.711738503|0|0.8522163970000001|-0.096032733|0.4274948739999999|-52.53307388|-65.85056003|10.59162334|101.3366249|-0.037237182|0.0|0.8077976990000001|-36.02242934|75.77366969|63.12469722|0.451478593|2999.810425|584.3729039|-17.50883211|0.192202301|8.063690539|14.70077638|0.8230829059999999|131.7949495|31.60926388|-422.1196298|1548.85393|685.6665849999999|9.923109661|1.0|0.0|1.0|4.63|-7.8|3.92|81.65|3.79|2.0|0.0|137.3|1.0|5.0|-6.58|31.0|4.0|0.0|3.59|-6.04|2.64e-07|9.14e-07|5.12|0.0|3.5585|-2494.966575|-2494.932002|716.83|1211.28|577.06|0.31353|0.1614|-0.15073|2.4229|0.0345723|7821.0|7821.0
12as_a36|0.0|0|7.412764017000001|2|2|1.297043209|5.351858133|2|0.096454203|0.0|0.000584134|10.95347588|1|-0.098698552|-0.166354116|-0.4358775279999999|1|0.8058720979999999|0.817372883|-0.0389138329999999|-0.04244711|0.770400825|0|0.77043791|-0.109492809|0.291030086|-55.75872553|-73.78005999|12.95780416|154.6869148|-0.037824788|0.0|0.768125394|-37.57216725|85.53474971|68.71652969|0.454761514|2904.092809|519.1478419|-17.17446921|0.231874606|8.768282531|16.08155469|0.834059821|156.2451686|33.18163581|-361.3444194|1824.98997|716.9974499|11.75468972|1.0|0.0|2.0|4.86|-6.89|2.09|86.27|1.59|1.0|0.0|133.95|1.0|6.0|-3.81|32.0|5.0|0.0|1.84|-3.95|0.000154|0.000112|2.36|0.0|3851.0|-1385.601917|-1385.5651710000002|712.04|1207.35|568.52|0.53815|0.2402|-0.1563|4.8580000000000005|0.03674596|7.2291|7.2291
12b_a36 (EW-7197)|0.0|0|7.412764017000001|2|2|1.2970445309999998|5.351858133|2|0.027495626|0.0|-0.002526241|10.96052467|1|-0.101303149|-0.217394466|-0.442656599|1|0.724208473|0.819222745|-0.001567914|-0.097861598|0.698414933|0|0.7635183720000001|-0.10866747|0.458627252|-50.90136206|-67.98756422|13.41367899|147.9542111|-0.039120289|5.958751634|0.746747352|-31.84632538|80.95733534|64.31504105|0.45988432|2772.832013|477.6935927|-15.31305729|0.253252648|6.764872303|12.52485821|0.851455231|158.4469629|32.77617664|-308.7538779|1638.808832|595.8790650000001|12.96977113||||||||||||||||||||||||3.7725|-1332.180029|-1332.147999|659.48|1104.61|486.64|0.6824899999999999|0.0197|-0.15571|5432.0|0.03202977|8.1549|8.1549
14s_a23|0.0|1|7.423568444|0|0|1.197958333|5.351858133|2|0.049317519|0.740898446|0.010682694|10.31321812|2|-0.071484865|-0.13187015|-0.457212212|2|0.722187957|0.7837821840000001|0.096014944|-0.1050445769999999|0.659570836|1|0.92763624|-0.080500435|0.2387634619999999|-35.30692476|-51.64162341|12.81151517|46.42188642|-0.034255504|82.55990607|0.7748161659999999|-22.64965286|62.75905983|48.11843993|0.470919749|2954.0751370000003|595.0854952000001|-14.09722664|0.2251838339999999|7.548546899|14.26730044|0.890072438|144.457092|28.36177131|-352.5931977|1333.003252|633.3278634|11.11743642|0.0|0.0|1.0|3.45|-7.99|4.67|105.02|3.51|2.0|1.0|125.29|1.0|5.0|-6.13|31.0|4.0|0.0|4.01|-5.55|7.49e-07|2.83e-06|4.21|0.0|3.6828|-2089.521231|-2089.500101|668.66|1164.32|528.82|0.60323|0.3669|-0.1515|4.7032|0.02112956|8.5482|8.5482
15a_a10|0.0|0|7.535296702|1|1|1.34383719|5.4161004020000005|2|-0.125297206|2.038992189|0.011418154|10.92966696|1|-0.179723568|-0.285973309|-0.188634555|2|0.7408341359999999|0.77630271|-0.0232534929999999|-0.1074837719999999|0.713078124|1|0.915137224|-0.076864276|0.754451037|-29.50952422|-49.47045259|10.10411407|54.61835033|-0.025155581|122.7715002|0.676473201|-18.99256188|60.98047923|39.61363829|0.407638879|2656.305166|588.9895149|-10.42022369|0.323526799|6.71451044|11.33516398|0.68815941|208.2243923|23.93343877|-227.1590805|1316.339132|697.5493042|11.51002664|0.0|1.0|0.0|3.5|-7.79|4.05|56.07|1.93|1.0|0.0|118.92|1.0|6.0|-3.97|30.0|5.0|1.0|3.33|-4.4|0.000108|3.94e-05|3.12|0.0|3.7639|-1278.452284|-1278.4225210000002|687.57|1179.28|563.27|0.47484|0.1583|-0.1559299999999999|4.7512|0.02976259|7.6198|7.6198
3f_a32|0.0|1|7.773594467000001|0|0|0.6094207770000001|5.733341277|0|-0.062954205|2.227330929|0.001276735|10.31100273|3|-0.074808287|-0.133675401|-0.5487283829999999|0|0.833981748|0.820782305|-0.110248899|-0.1743238839999999|0.786074011|1|0.874026684|-0.097374443|0.3217719189999999|-41.40131823|-54.8993954|6.707989266|71.02334697|-0.030139709|0.0|0.78919828|-23.34192893|61.47296003|48.1093075|0.435176082|2273.466801|492.7734095|-9.580412233|0.21080172|6.153728636|10.89495051|0.770463268|118.8493262|21.53155987|-326.0981041|904.3255145|475.3634141|6.573564628|1.0|1.0|1.0|3.9|-7.31|5.63|110.94|2.18|2.0|0.0|102.66|1.0|4.0|-6.89|24.0|3.0|0.0|4.63|-5.4|1.28e-07|3.96e-06|4.83|0.0|3.5569|-1712.0610190000002|-1712.034952|604.9|1006.92|488.74|0.70255|293.0|-0.1474599999999999|3.4678|0.02606687|8.0458|8.0458
3e_a32|0.0|1|7.773594467000001|0|0|0.609420788|5.733341277|0|-0.057366352|2.220794149|0.000655875|10.31100276|3|-0.076494363|-0.1395294259999999|-0.551661318|0|0.8315372|0.8046468659999999|-0.061561535|-0.12378337|0.77923808|1|0.8681696109999999|-0.100056595|0.290874543|-39.56206964|-53.92151824|6.69516884|71.04473954|-0.030786645|0.0|0.7752553659999999|-21.32040233|60.86894767|46.25723848|0.4513338939999999|2212.661182|467.865447|-8.941186293|0.224744634|5.863649531|10.68709999|0.822602107|121.1171726|21.40099522|-296.6758413|834.6388134|421.3548777|6.94742943|1.0|1.0|1.0|3.33|-6.92|5.24|110.94|1.94|1.0|0.0|97.86|1.0|3.0|-6.52|23.0|3.0|0.0|4.3|-5.18|3.02e-07|6.6e-06|4.47|0.0|3.5589|-1672.748189|-1672.722302|578.77|956.67|456.76|0.7025399999999999|0.2914|-0.14754|3.4537|0.02588637|8.0862|8.0862
1c_a5|0.0|0|6.605297921|0|0|1.424607938|4.59511985|2|-0.080321049|0.0|0.008031558|10.9433337|1|0.034752304|0.0578378779999999|-0.20172074|2|0.71274658|0.7595197290000001|0.128385959|-0.109439124|0.6977404359999999|0|0.88631419|-0.070346332|0.436308619|-34.82350689|-35.99212225|4.27195187|58.16640976|-0.0281385329999999|0.0|0.753027268|-17.81716094|43.86175561|39.09545876|0.476413155|2105.8969850000003|453.4753671|-7.366029352999999|0.246972732|6.063350238|11.580409800000002|0.909902834|126.3615674|19.11862892|-258.918642|764.7451566000001|409.0289917|7.869633359|1.0|1.0|1.0|2.78|-8.41|4.51|54.46|2.13|0.0|0.0|95.45|1.0|3.0|-4.25|24.0|3.0|1.0|3.43|-4.45|5.5700000000000005e-05|3.5600000000000005e-05|3.43|0.0|4.5088|-990.6223073|-990.5931502|556.84|929.31|410.52|0.4444899999999999|0.1076|-0.18719|1.7105|0.029157178|5.4|5.4
9_a4|0.0|0|7.535296702|1|1|1.300485838|5.4161004020000005|2|-0.019160308|2.137757657|0.010709527|10.92992723|1|-0.0475186259999999|-0.076824065|-0.172904817|2|0.625717993|0.801082857|-0.151437311|-0.072130166|0.58669472|1|0.937102792|-0.069566741|0.472497372|-28.63837014|-37.85762102|4.918284148|34.22811902|-0.025885299|45.21212204|0.792890434|-15.58475436|43.71760622|33.55665428|0.43745176|2359.945586|509.9632679|-7.665782805|0.207109566|5.744374392999999|10.21134541|0.777625327|112.7072422|17.76608225|-318.7769026|763.9415367|489.7528555|5.859985199|1.0|0.0|0.0|3.18|-8.16|5.07|43.6|3.15|2.0|0.0|105.09|1.0|2.0|-4.76|26.0|3.0|1.0|4.17|-5.15|1.73e-05|7.06e-06|4.14|0.0|4.0137|-1489.554198|-1489.533032|586.24|999.93|430.12|0.5182100000000001|0.0584|-0.16948|4.4343|0.02116575|7.3188|7.3188
14l_a23|0.0|1|7.423568444|0|0|1.1979636809999998|5.351858133|2|0.042748013|0.758109562|0.01269616|10.313217800000002|2|-0.074441567|-0.136106024|-0.448622017|2|0.725800261|0.778602826|0.156652778|-0.1010279259999999|0.6906097959999999|1|0.921267667|-0.078204688|0.215920645|-35.3275485|-51.59307331|12.31633167|51.94117061|-0.0328459689999999|81.90812552|0.7896261940000001|-23.306234600000003|61.54673359|47.64388017|0.492922575|2879.181064|607.777253|-14.29549842|0.210373806|8.006380163|15.78926563|0.972085426|138.7874759|27.44221375|-382.1434717|1372.110688|666.0036144999999|9.953660282|0.0|0.0|1.0|3.51|-7.78|4.33|105.02|3.24|2.0|1.0|125.25|1.0|5.0|-5.85|31.0|4.0|0.0|3.78|-5.25|1.43e-06|5.61e-06|3.94|0.0|3.6274|-1669.2363289999998|-1669.224647|694.65|1185.79|560.51|0.67242|0.4239|-0.14639|6.0563|0.01168219|8.1798|8.1798
7f_a8|0.0|0|7.05012252|0|0|1.394802504|4.844187086|0|0.034392285|0.0|0.00112124|10.94343485|1|0.052081992|0.141285105|-0.381574707|0|0.515235986|0.7051689170000001|-0.048917705|0.041366689|0.507325475|0|0.770229267|-0.08790841|0.3155671539999999|-52.28313554|-50.01741803|7.858266077000001|130.7330978|-0.040738044|55.49953831|0.880922225|-29.74763659|55.85651025|60.14140162|0.4513917389999999|2534.956113|438.23883319999993|-13.18808857|0.119077775|7.704280774|14.04331892|0.822794279|67.75191165|26.31197491|-433.4681077|1078.790971|446.5544107|5.839092213|1.0|0.0|1.0|3.14|-8.46|5.49|61.58|4.27|2.0|0.0|101.89|1.0|3.0|-5.68|28.0|4.0|0.0|4.63|-5.5|2.09e-06|3.16e-06|4.66|1.0|3.4810000000000003|-1285.196168|-1285.168078|584.99|991.61|495.55|0.7024199999999999|0.1502|-0.14506|8.7098|0.02809022|4.4479|4.4479
3n_a32|0.0|1|7.773594467000001|1|1|0.609420754|5.733341277|1|-0.056907012|2.22272854|0.000609539|10.3110027|3|-0.086764744|-0.153506065|-0.435658951|0|0.810658423|0.816774665|-0.018016496|-0.121627423|0.762657782|1|0.840041782|-0.092745182|0.287402381|-42.83673428|-53.32184118|10.86481886|91.96452611|-0.027401986|0.0|0.648933114|-24.62805609|65.41881458|53.70155314|0.456693072|2526.071154|482.963897|-9.057526067|0.351066886|6.369579712999999|11.72372261|0.840580248|201.8383309|24.27704797|-171.25176130000003|1068.190111|522.1674161999999|12.0969734|1.0|0.0|1.0|3.51|-6.96|5.01|120.17|1.58|2.0|0.0|106.44|1.0|3.0|-5.96|26.0|4.0|0.0|4.07|-4.91|1.11e-06|1.23e-05|3.74|0.0|3.5459|-1825.378576|-1825.349557|614.67|1036.75|464.67|0.7028399999999999|0.2839|-0.1472099999999999|3.5849|0.02901944|7.6778|7.6778
7a_a8|0.0|0|7.535296702|1|1|1.4000287219999998|5.4161004020000005|1|-0.017706371|0.0|0.000736369|10.94671402|1|-0.019499132|-0.032195997|-0.412963751|1|0.7168594159999999|0.764224152|0.033708575|-0.032562221|0.681200974|0|0.718410375|-0.101880506|0.238462711|-60.00793116|-59.83546383|20.79408196|165.38046830000002|-0.042647654|71.85980901|0.733884399|-35.24327197|75.4573633|80.80201312|0.477611327|2715.360649|421.9297638000001|-14.71059634|0.266115601|7.699041907000001|14.73814865|0.914283468|156.2924154|34.12990316|-274.7254012|1467.585836|488.0169522|15.62189947|0.0|0.0|1.0|3.34|-7.27|3.49|92.93|2.01|1.0|0.0|105.83|1.0|3.0|-4.86|29.0|5.0|0.0|3.15|-4.64|1.36e-05|2.29e-05|3.24|0.0|3.0704|-1291.313963|-1291.287017|605.72|1031.61|494.48|0.61257|0.1575|-0.12889|9.9646|0.0269461|4.6068|4.6068
13_a47|0.0|1|6.605297921|0|0|1.417757826|4.59511985|2|-0.047120094|1.5940801480000002|-0.00105415|10.9452934|1|-0.0101047869999999|-0.0233277889999999|-0.316563793|2|0.6427334020000001|0.794037882|0.030290722|0.065869272|0.626280497|1|0.781675563|-0.088128939|0.244975411|-41.79730418|-45.39284663|9.13564442|112.453046|-0.032468557|0.0|0.688261242|-21.52866736|57.38622954|50.9329486|0.472007922|2190.316257|402.6200617|-8.613918003|0.311738758|7.038683428|13.33103985|0.8939678120000001|160.5682509|24.29844849|-193.936606|923.3410426|359.12161539999994|11.99338291|1.0|1.0|2.0|2.9|-7.9|4.63|66.49|2.34|0.0|0.0|91.59|1.0|3.0|-4.24|24.0|4.0|1.0|3.19|-4.27|5.79e-05|5.41e-05|3.17|0.0|4.0302|-1067.820961|-1067.78457|542.62|895.21|404.73|0.67466|0.3382|-166.0|3.5455|0.03639189|7.8|7.8
8f_a8|0.0|0|7.05012252|0|0|1.394802091|4.844187086|0|0.0587545909999999|0.0|-0.007796225|10.94343488|1|0.09830823|0.254819201|-0.5373378529999999|0|0.578166105|0.6971223040000001|-0.016217844|0.010682683|0.56916135|0|0.5968139689999999|-0.1064257719999999|0.308621017|-71.22071405|-62.06002501|7.91086576|235.1097364|-0.048375351|67.99102163|0.90577048|-41.53091131|67.4402386|79.13157981|0.456995667|2622.044457|348.0199311|-16.44956443|0.09422952|7.504290616|13.81994609|0.8416059290000001|54.94802877|31.14376424|-473.23361|1370.325626|485.8626377000001|5.380213594|0.0|0.0|2.0|3.14|-7.95|4.72|80.88|4.11|2.0|0.0|105.27|1.0|4.0|-5.21|29.0|4.0|0.0|4.04|-5.0|6.11e-06|1.01e-05|3.82|0.0|3.4876|-1361.658484|-1361.626748|602.63|1022.89|477.92|0.55661|0.1659|-0.14532|5.8283|0.03173623|4.6428|4.6428
