molecula|n9FaHRing|n9FaRing|SaaNH|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|MATS1i|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FNSA3|PBF|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|pIC50|pIC50
21_a4|0|0|0.0|1|1|1|1.399863887|2.026698554|-0.003068098|5.4161004020000005|1|0.0|-0.131928225|0.012362563|-0.2897937889999999|10.94593332|1|-0.063064908|0.777866961|0.090847781|-0.174578783|0.833191212|0.674434042|-0.0571545999999999|0.239652988|0.020173071|-28.99048719|10.23237244|63.37635587|34.4171635|-0.028676424|5.190159022|66.03320922|-1.147056976|-14.70482428|-14.54552243|39.22285963|0.401240904|472.812128|-7.377915035|0.276832377|5.961506745|0.670120767|140.4174905|-295.1166014|0.017563978|-226.3943104|804.5450027|8.908964226|1.0|1.0|1.0|1.0|3.37|2.92|-5.94|39.94|2.32|0.0|0.0|2.0|3.0|303.36|0.0|1.0|1.0|-4.19|6.51e-05|0.0197|3.36|0.0|0.000352|-973.5683008|-973.5481197|916.76|308.08|240.17|446.0|0.5260600000000001|0.66476|-0.16632|2.0282|-0.19588|2.9409|6.9172|6.9172
11a_a50|1|1|0.0|2|1|1|1.397733996|4.088412042|-0.002914262|5.82008293|1|2.114272566|-0.134056065|0.011959339|-0.108592708|10.94500606|2|-0.162848233|0.792574879|-0.158172459|-0.200986578|0.8535780190000001|0.667956827|-0.048213112|0.2931724189999999|0.01848869|-25.48858279|9.774322692|7.53108119|43.81199235|-0.025421565|5.167341939|67.28055926|-1.067705728|-13.47492066|-13.43949068|35.26290548|0.463749257|484.8529701000001|-7.104987834|0.345638567|5.965221997|0.864799282|182.7270002|-298.409489|0.020887781|-163.21096210000002|862.6098364|11.04263807|0.0|1.0|1.0|1.0|3.44|2.8|-5.87|48.53|2.25|0.0|0.0|2.0|2.0|327.38|0.0|1.0|1.0|-4.16|6.97e-05|0.0228|2.9|0.0|0.000441|-1045.978598|-1045.954278|963.2|305.11|305.11|437.9|0.65485|0.65485|-0.16769|5.4342|-0.2005299999999999|7.5619|7.2291|7.2291
16i_a32|1|1|3.352437091|0|0|0|0.6094207429999999|0.0|-0.0146198339999999|5.733341277|0|2.078707411|-0.7748511779999999|-0.003511776|-0.104899053|10.31100265|3|-0.120440534|0.836966894|0.134577711|0.009897928|0.8829894|0.761506727|-0.0857355019999999|0.5368697929999999|0.022335011|-56.03343427|14.59730623|90.08098301|129.7354415|-0.036726892|9.540239197|32.3175507|-1.836344582|-36.62130242|-24.00328703|70.6307405|0.455596751|523.8261846|-15.6876273|0.281035887|6.848009314|0.836873682|183.6742715|-784.3813651|0.021112022|-286.2130831|1669.296604|13.79800742|1.0|1.0|1.0|1.0|3.75|3.16|-7.4|149.27|1.34|0.0|1.0|1.0|8.0|427.54|1.0|0.0|0.0|-5.09|8.18e-06|0.0035|4.19|0.0|1.7100000000000002e-05|-1995.307733|-1995.279632|1175.51|342.72|342.72|573.38|0.70222|0.70222|-0.14976|3353.0|-0.2002|4.0568|8.2596|8.2596
19_a15|0|0|0.0|0|0|0|0.300209223|0.0|-0.009832375|0.0|1|0.0|-0.4621216379999999|-0.012350591|-0.04003124|10.31928434|0|-0.0283109839999999|0.722297906|0.042424078|-0.048611111|0.770451673|0.7358168620000001|-0.0946599869999999|0.355677322|0.00527267|-54.70558911|3.04716388|61.63983265|178.5363184|-0.042351319|1.761006946|15.76831619|-1.905809364|-31.61527447|-24.47553536|57.75275299|0.405429114|399.3803987|-14.14482104|0.077864438|6.10227122|0.681885245|44.99916039|-636.516947|0.005747326|-487.9183964|1194.400408|3.321475588|1.0|1.0|0.0|1.0|2.99|2.17|-7.14|102.69|1.64|0.0|0.0|1.0|5.0|369.44|0.0|0.0|1.0|-4.39|4.1200000000000005e-05|0.0152|3.29|0.0|2.69e-05|-1523.404372|-1523.361214|1030.77|297.03|297.03|519.04|0.68945|0.68945|-0.17018|6.7515|-0.20742|9326.0|7.1427|7.1427
18c_a25|0|0|0.0|1|0|0|1.193723817|1.959418462|-0.002704524|4.727387819|2|2.069766482|-0.162271435|0.007804726|-0.038865826|10.31285373|1|-0.038006869|0.748718056|0.084188427|0.0114970419999999|0.8005589320000001|0.7357918440000001|-0.048636087|0.385593349|0.009585904|-31.96445203|6.300016824|26.54367263|34.1639413|-0.026975264|4.140476673999999|0.0|-1.510614788|-21.00757374|-17.72859578|38.26446885|0.484730247|623.0528232|-11.65153036|0.2520795489999999|7.553051762000001|0.940731034|165.67090530000002|-652.4856999|0.014546814|-325.8749539|1327.415719|9.560410146|1.0|1.0|1.0|1.0|3.58|3.89|-10.17|87.72|3.08|1.0|0.0|0.0|7.0|449.57|1.0|0.0|1.0|-5.6|2.51e-06|0.00113|4.49|0.0|3.0499999999999995e-08|-1714.597797|-1714.5777670000002|1243.76|371.26|226.01|547.87|0.31993|0.70516|-0.13312|6.1775|-0.19532|7.9283|7.0555|7.0555
46_a18|0|0|0.0|0|2|2|1.251088279|0.0|-0.005378956|4.844187086|1|0.0|-0.3872848129999999|0.002300582|-0.0669031009999999|10.94680484|0|-0.1483628609999999|0.729629263|-0.015124585|-0.090469229|0.76616843|0.699483099|-0.069742249|0.30524999|0.008975181|-49.54738918|6.376289807000001|0.946462387|123.2289237|-0.029244604|4.5299444310000005|58.66827342|-1.988633091|-35.20023815|-20.77641329|55.92367899|0.4548138479999999|587.2068577|-14.76030741|0.217767252|8.980343774|0.8342358790000001|154.7096476|-1003.700904|0.013181412|-401.0164861|1806.107079|9.36454702|0.0|0.0|1.0|1.0|4.27|0.0|-8.82|76.5|3.33|1.0|0.0|1.0|7.0|480.6|0.0|1.0|0.0|-5.47|3.35e-06|0.00161|4.36|0.0|7.27e-07|-1532.992457|-1532.968527|1380.79|384.45|384.45|635.89|0.69181|0.69181|-0.13224|2656.0|-0.18219|3.2533|6.7305|6.7305
8c_a12|0|0|0.0|0|1|1|1.283851303|0.0|-0.0104125509999999|0.0|3|0.0|-0.447739674|-0.004211843|-0.036504737|10.95472932|0|-0.210669119|0.782864175|-0.10899871|-0.130288596|0.8425863029999999|0.845077891|-0.067004282|0.239216075|0.019604202|-34.19075142|10.00357546|83.24714315|81.4415307|-0.038245644|5.104595615|0.0|-1.529825767|-17.44675795|-19.51587692|44.19432689|0.472503372|428.8355831|-9.958505349|0.235550168|5.670223821|0.8957467170000001|120.19586|-398.3402139|0.018855428|-269.8853937|1021.17241|9.621493319|0.0|0.0|0.0|1.0|3.91|2.24|-7.14|63.06|2.02|0.0|0.0|1.0|3.0|314.34|0.0|1.0|1.0|-3.72|0.0001899999999999|0.0598|2.5|0.0|2.28e-05|-1022.77302|-1022.750382|909.19|323.37|284.38|402.43|0.53657|0.67318|-0.15571|1.7305|-0.2227699999999999|2.4806|7.3979|7.3979
1j_a5|0|0|2.9426852410000004|0|0|0|1.427567371|0.0|-0.003981454|4.59511985|2|0.0|-0.175183967|0.00683534|-0.07622096|10.9487794|1|-0.010807075|0.7862755770000001|-0.084090414|-0.0614852279999999|0.848473695|0.717355058|-0.073803258|0.35883584|0.019690225|-39.64241895|10.57633738|73.73338699|82.09385267|-0.027258236|5.680936139|1.471030887|-1.117587665|-21.29338752|-14.64139152|50.21875634|0.469085779|455.0425806|-7.86442482|0.383510433|7.328149934|0.883543443|205.997426|-322.4414176|0.026739895|-125.1415813|973.7343247|14.36297201|1.0|1.0|1.0|1.0|2.76|2.66|-8.14|63.69|1.57|0.0|0.0|1.0|4.0|328.37|0.0|1.0|1.0|-4.2|6.29e-05|0.0206|3.03|0.0|2.36e-06|-1065.849941|-1065.817476|959.39|300.89|279.68|445.81|0.66182|0.6449|-0.16813|2.2503|-0.20645|3.0364|7.6198|7.6198
15_a31|0|0|3.155574452|0|1|1|0.610137926|0.0|-0.018913735|5.733341277|0|0.0|-0.775463115|-0.011797858|-0.070065105|10.31169996|2|-0.157560864|0.8022000659999999|-0.0869591359999999|-0.116356616|0.8582665429999999|0.782925607|-0.116196194|0.287991212|0.038524836|-61.76522754|20.47825449|141.1489667|230.1075793|-0.041588706|10.88541717|514.6215199|-1.58037081|-32.83191294|-22.10688462|82.24348203|0.466164359|301.452236|-11.75113151|0.358466423|6.148947296|0.873235738|190.5463457|-446.5429972|0.03396368|-150.46712390000002|1309.458532|18.05372755|0.0|1.0|1.0|1.0|3.31|1.64|-5.66|117.37|0.41|0.0|0.0|2.0|4.0|342.37|0.0|0.0|1.0|-3.57|0.000272|0.0931|2.18|0.0|0.000749|-1460.900291|-1460.861851|925.93|271.36|271.36|452.98|0.5241899999999999|0.5241899999999999|-0.15202|5.5793|-0.19394|7.5831|5.9586|5.9586
12u_a36|0|0|3.508898495|0|2|2|1.270259304|0.0|-0.006461999|5.351858133|2|0.0|-0.407105926|0.0042553209999999|-0.063855309|10.95266014|1|-0.099596099|0.8101678720000001|0.080270195|-0.018047007|0.855176759|0.860667615|-0.07260571|0.3765068079999999|0.017639065|-50.53295452|12.27663887|86.1184622|109.8080843|-0.03452119|8.544435884|5.944854912|-2.036750221|-35.17050511|-24.02645378|62.80959338|0.486156325|586.1833819|-16.72220679|0.22061252|7.65672775|0.946117173|153.5444314|-986.6102007|0.015171583|-388.9026034|1818.813889|10.55929252|1.0|1.0|1.0|1.0|5.05|0.0|-7.38|69.2|2.66|0.0|0.0|1.0|6.0|423.51|0.0|1.0|1.0|-4.86|1.39e-05|0.00589|3.8|0.0|1.7800000000000002e-05|-1350.8981130000002|-1350.865506|1254.5|337.37|319.16|590.18|0.69258|0.70272|-0.15109|5.8702|-0.20409|7.8877|7.7959|7.7959
