molecula|SddssS|NaaNH|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|RASA|PBF|FPSA3|PNSA3|PPSA3|RNCS|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|WNSA2|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
3b_a12|0.0|0|0|0|0.0|1|1|1.283824445|0.0|0.156777705|-0.043495794|2|-0.1215705419999999|0.0|-0.332497127|-0.065558712|10.9540388|-0.003968827|0|0|-0.003019113|-0.19952566|1|0.914614654|-0.008328578|-0.007397776|0.82914101|0.903204699|0.073824142|0.0103611969999999|-33.57216667|5.401901357000001|41.13468455|-0.034016616|-24.04018959|2.816328871|0.0|0.7688221909999999|38.97406803|0.390744506|2186.64676|-691.6596323|-9.246226764|0.2311778089999999|6.6333156660000006|10.88757628|0.64134753|-360.6028438|899.6353646|1.0|1.0|1.0|0.0|1.0|18.0|-8.1|37.28|3.99|102.53|0.0|1.0|-5.65|1.0|1.0|3.59|-4.64|5.539999999999999e-05|2.28e-05|0.00759|3.78|0.0|0.0|7.91e-09|3.96|-1410.947421|548.05|328.51|0.5013|0.53738|0.6654800000000001|-1410.826913|-0.15229|5.9551|-0.2232|-1410.8759220000002|8.5678|49.0|7.3098|7.3098
17b_a6|0.0|1|0|0|7.412764017000001|1|1|1.425925343|0.0|0.1012747369999999|-0.0265090529999999|1|0.139594234|0.0|-0.6869226490000001|-0.0385646|10.949638|-0.0791229359999999|1|1|-0.00194781|0.231025646|1|0.850080948|0.002947625|-0.138423611|0.8370824240000001|0.753949098|0.318652397|0.03122461|-62.63196368|20.48861696|155.8689396|-0.041494349|-47.0150166|13.44399246|557.7093661|0.7706671740000001|83.12058064|0.4548818979999999|2816.0632920000003|-1361.36499|-17.86570631|0.229332826|8.974770742|16.46390151|0.834464855|-893.2853154999999|1766.4758989999998|1.0|1.0|1.0|1.0|2.0|23.0|-9.01|95.85|1.7|116.79|0.0|1.0|-5.89|0.0|1.0|3.6|-5.17|1.56e-06|6.69e-06|0.00274|4.09|0.0|0.0|9.77e-10|4.04|-1350.078181|690.98|413.78|0.3949|0.69615|0.7016100000000001|-1349.830814|-0.12545|5.3385|-0.18281|-1349.892156|7.3188|153.0|6.8153|6.8153
3_a3|0.0|0|0|0|7.285506549|0|0|0.605000514|0.0|0.159413311|-0.114647585|1|-0.015653979|2.063441043|-0.3413621639999999|0.0483259979999999|10.31154314|0.069435247|2|2|-0.006362643|-0.030486489|1|0.913546349|-0.082619043|0.123113049|0.885339037|0.7538064790000001|0.583866845|0.012617742|-48.91675544|5.753894372|228.5396864|-0.035057023|-20.54492513|2.623868963|75.88125246|0.7000038270000001|54.67064981|0.415122657|2092.406045|-495.58367360000005|-7.290134722999999|0.299996173|5.025797436|8.592908408|0.709760196|-225.9941764|707.9728057|1.0|1.0|1.0|1.0|1.0|20.0|-6.15|121.17|1.41|88.36|0.0|1.0|-5.88|0.0|1.0|3.23|-4.39|3.32e-06|4.06e-05|0.0126|3.26|0.0|0.0|7.009999999999999e-07|1.92|-1592.873593|491.26|370.38|0.2383|0.29441|0.69206|-1592.792349|-0.14599|2.1507|-0.20969|-1592.839065|2.8045|1175.0|5.93|5.93
12f_a40|0.0|0|0|1|7.515889085|0|0|0.604990261|1.768354671|-0.03356339|-0.015621373|0|0.070099257|0.807254372|-0.235838511|0.108909202|10.31197207|-0.172869148|2|2|0.006841832|0.115814835|0|0.679527138|-0.160218113|-0.271493213|0.841769186|0.909993912|3.43e-05|0.021549915|-37.02024147|11.90644165|62.72992556|-0.032879466|-25.09213464|6.57837176|61.55859085|0.7314440520000001|48.92668311|0.490421149|2383.68369|-635.8127312999999|-10.03685385|0.268555948|8.404802652999999|16.49362536|0.962404834|-351.2898849|869.2568204|1.0|0.0|1.0|0.0|0.0|20.0|-7.32|67.66|3.99|98.25|0.0|1.0|-4.76|0.0|1.0|4.76|-5.99|2.66e-07|1.02e-06|0.0003819999999999|5.4|0.0|0.0|4.81e-08|4.77|-2212.348599|572.63|436.97|0.4348|0.6679999999999999|0.7029|-2212.222254|-0.11765|3.2818|-0.19526|-2212.275094|4.8562|0.38|6.4202|6.4202
3c_a12|0.0|0|0|0|6.555356892000001|1|1|0.610140703|0.0|0.06235058|-0.058516436|2|-0.14679559|0.0|-0.379362977|-0.008931246|10.3117069|-0.056537396|1|1|-0.001825446|-0.267255164|1|0.923855679|-0.0461654159999999|-0.10295082|0.888353608|0.843855494|0.242114395|0.013219706|-36.28720467|6.688634392000001|73.9854678|-0.033980537|-25.42738988|3.384177297|0.0|0.7055242159999999|42.97583906|0.427357986|2186.344105|-653.3253118|-8.698843907999999|0.2944757839999999|6.231995392999999|10.88288188|0.746291708|-330.5560685|926.0140155|1.0|1.0|1.0|0.0|1.0|17.0|-6.78|78.41|1.82|98.16|0.0|1.0|-6.18|0.0|1.0|2.76|-4.0|6.06e-05|9.940000000000002e-05|0.0318|2.91|0.0|0.0|1.67e-07|2.56|-1327.471862|544.65|345.72|0.4687|0.43415|0.68067|-1327.351991|-0.14572|1.6035|-0.22035|-1327.4004710000002|2.3061|0.02|7699.0|7699.0
16d_a32|0.0|1|1|0|7.765993078999999|0|0|0.609420775|0.0|0.170838661|-0.087123461|0|0.0115077539999999|2.07416189|-0.7589895790000001|-0.134892903|10.31100273|-0.0517549079999999|3|3|-0.005427254|0.021406827|0|0.816581223|0.107238939|-0.0847953219999999|0.916850163|0.7554930740000001|0.41654798|0.032003415|-53.23914436|18.67986534|115.2070109|-0.036437402|-39.15098916|10.90312918|48.61700321|0.615749698|71.91900971|0.4429631189999999|2588.214866|-871.9843187999999|-12.41372827|0.384250302|6.221435089|11.16880283|0.79521327|-508.962859|1416.134383|1.0|0.0|1.0|1.0|2.0|19.0|-6.59|149.27|0.65|102.33|1.0|1.0|-6.62|0.0|1.0|3.12|-4.18|2.22e-06|6.659999999999999e-05|0.0257|2.86|0.0|0.0|2.55e-07|3.78|-1877.332369|621.59|341.83|0.2915|0.70217|0.70217|-1877.185022|-0.15009|3.2048|-0.20077|-1877.241687|3.8853|8.0|8.1135|8.1135
40_a47|0.0|0|1|1|6.823286122000001|0|0|1.420389717|1.715145925|-0.246203395|-0.0934645509999999|3|-0.056839794|1.566109469|-0.179798097|-0.038143308|10.98214138|0.056362705|1|1|0.003634698|-0.130213023|3|0.63155995|0.018609507|0.090270598|0.900790582|0.812233678|0.237173658|0.02047837|-32.5926343|11.04737121|54.11003524|-0.027052191|-24.22401965|5.959674083|0.0|0.573656733|43.64000551|0.4574577489999999|2313.85811|-583.7487984|-7.872806386000001|0.426343267|7.042383142|12.98034048|0.843174422|-314.91225539999994|1017.592517|0.0|1.0|1.0|1.0|1.0|21.0|-7.08|68.52|1.52|94.28|0.0|1.0|-6.78|1.0|1.0|2.72|-3.72|0.000546|0.000192|0.0643|2.19|0.0|0.0|8.339999999999999e-08|2.06|-1123.144637|571.5|332.97|271.0|0.67615|0.68492|-1122.9968210000002|-0.15231|4.7542|-0.20317|-1123.049869|6.5995|4.0|8.4|8.4
6a_a40|0.0|0|0|1|8.421342866|1|2|0.604893625|1.78213955|0.117890918|-0.077397672|0|-0.146542353|0.775942224|-0.68730803|0.104332675|10.30179985|-0.230955427|2|2|-0.001171195|-0.272320301|0|0.682273668|-0.012261923|-0.340539542|0.861720535|0.733750993|0.360858579|0.016399125|-68.11170799|10.24294396|185.06174|-0.049149867|-45.80643937|6.397774285|36.84483305|0.8678518190000001|78.35465194|0.41480944|2936.1501780000003|-1320.063801|-19.17478857|0.132148181|6.945713476|11.8691482|0.708845065|-824.5159087000001|1521.070502|1.0|0.0|1.0|0.0|1.0|14.0|-4.05|173.43|1.62|120.14|1.0|2.0|-6.32|0.0|1.0|3.17|-4.99|7.85e-08|1.03e-05|0.00457|3.77|1.0|0.0|8.950000000000001e-05|7.73|-2371.560378|649.48|415.55|0.4015|0.6782699999999999|0.6782699999999999|-2371.3827|-0.11995|6.9379|-0.21255|-2371.443161|9.3893|0.04|7.3979|7.3979
18_a47|0.0|1|1|0|6.605297921|0|0|1.414391819|0.0|-0.141396999|-0.06345679|3|-0.026357805|1.5913490630000002|-0.2342475789999999|0.018164141|10.93838451|-0.016728205|1|1|0.0015586929999999|-0.056674151|3|0.646771311|-0.059779939|-0.027351545|0.851462739|0.777824025|0.454324931|0.014741763|-49.44908758|9.234746417|70.55642796|-0.0303894239999999|-33.12615721|5.784962137000001|3.684585007|0.7327484470000001|58.68383399|0.432077184|2800.3745940000003|-951.8489108|-11.9254166|0.267251553|7.018342267|12.35791568|0.7608026529999999|-596.2708299|1299.011844|1.0|1.0|0.0|1.0|2.0|27.0|-10.36|79.38|2.63|119.78|0.0|0.0|-5.87|0.0|1.0|4.16|-5.37|3.13e-06|4.29e-06|0.00176|4.13|0.0|0.0|4.34e-11|3.32|-1354.180815|652.12|293.65|0.4335|0.4659|0.63359|-1353.979194|-0.17349|3.4464|-0.22313|-1354.037606|5.3433|3.0|8.6|8.6
15_a15|0.0|0|0|0|0.0|1|1|1.435688991|0.0|-0.132759299|-0.031457366|3|-0.063032481|0.0|-0.395472407|0.000676845|10.95980315|0.0020555079999999|0|0|0.003766915|-0.098862691|2|0.843715005|0.007958332|0.003774415|0.7725348679999999|0.8972060479999999|0.7028760070000001|0.020649569|-41.11675625|13.71976186|142.8140301|-0.031405332|-40.20430373|9.115534766|4.306196778|0.702544178|54.83651811|0.435723718|3027.719888|-1210.227347|-13.86355301|0.297455822|6.673906339|11.8273735|0.772181523|-804.0860746000001|1722.635223|1.0|1.0|1.0|0.0|1.0|24.0|-8.9|59.51|2.52|138.24|0.0|1.0|-5.26|0.0|0.0|4.64|-6.1|4.77e-07|7.970000000000001e-07|0.000357|5.32|0.0|0.0|1.27e-09|5.04|-1450.725355|700.82|480.19|0.4459|0.67524|0.70572|-1450.398033|-0.10964|1.6365|-0.1475|-1450.462493|2.9566|109.0|6.9626|6.9626
7_a3|0.0|0|0|0|6.823286122000001|0|0|0.60501656|0.0|0.198126776|-0.106234254|2|-0.047419994|1.989724777|-0.327648836|0.054347129|10.3116226|0.030246987|1|1|-0.006696449|-0.084462575|2|0.881253042|-0.224253635|0.0507482109999999|0.8632654590000001|0.782294598|0.5999725029999999|0.009708941|-51.18177092|4.804535747|230.9407974|-0.036877402|-23.61864737|2.377557323|76.07607751|0.7992146109999999|55.98630667|0.3987206729999999|2196.07224|-620.4671695000001|-9.030659289|0.2007853889999999|5.198046584|8.644978051|0.663120542|-307.0424158|776.3461295|1.0|1.0|1.0|1.0|1.0|21.0|-7.48|92.93|2.11|95.5|0.0|1.0|-5.68|0.0|1.0|3.63|-4.87|3.67e-06|1.34e-05|0.00455|3.79|0.0|0.0|3.28e-08|3.09|-1731.703107|522.73|360.06|0.1926|0.3456|0.69224|-1731.602893|-0.14816|3.1299|-0.21219|-1731.651178|3.9813|1023.0|5.9901|5.9901
24_a20|0.0|0|0|1|6.842683282|0|0|1.40648755|1.959359883|-0.217098257|0.029711934|2|0.087887688|2.041494094|-0.083539572|-0.060940703|10.93106245|-0.04104|1|1|0.008780074|0.1468474119999999|2|0.616352201|0.070857143|-0.07179846|0.802353442|0.952027295|0.531656762|0.012814211|-38.76683848|8.085691548|12.83518119|-0.02714795|-27.02262995|5.102023479|406.1522673|0.771032243|46.85253003|0.457794721|2736.601949|-856.5097809|-10.80905198|0.228967757|6.852820269|12.63879297|0.844319927|-540.4525990000001|1110.861171|1.0|1.0|1.0|1.0|0.0|27.0|-9.32|80.28|1.86|119.42|0.0|1.0|-6.26|0.0|1.0|3.63|-4.93|1.29e-05|1.17e-05|0.00469|3.52|0.0|0.0|4.82e-10|3.74|-1291.867578|685.66|345.59|0.2495|0.46668|0.44916|-1291.647083|-0.15687|3.6107|-0.22435|-1291.706729|4.3906|318.0|6.4976|6.4976
3d_a12|0.0|0|0|0|0.0|1|1|1.28383852|0.0|0.092417272|-0.053022041|3|-0.166233441|0.0|-0.360215148|-0.002185753|10.95472859|-0.058191686|0|0|-0.000643935|-0.282667477|2|0.91670178|-0.097468573|-0.108208213|0.82682708|0.8547246829999999|0.2443206489999999|0.011128076|-34.34601551|5.717316796|74.39425719|-0.035063929|-25.2986621|2.9374091630000003|0.0|0.77428353|40.06333231|0.472404561|2148.979792|-738.6124526000001|-9.255608086|0.22571647|5.786006004|10.96674758|0.89539167|-379.4799315|953.9302134|1.0|1.0|1.0|0.0|1.0|18.0|-7.51|50.17|2.26|100.28|0.0|1.0|-6.22|1.0|1.0|2.67|-3.91|0.000302|0.000123|0.0385|2.81|0.0|0.0|3.08e-08|3.1|-1006.704001|548.21|328.71|0.3336|0.53114|0.6572100000000001|-1006.556654|-0.15387|2.2068|-0.22229|-1006.606666|3.0037|25.0|7.6021|7.6021
13c_a5|0.0|1|0|0|6.605297921|1|1|1.377702625|0.0|-0.2071929139999999|-0.0090268969999999|3|-0.010689086|0.0|-0.284610951|-0.098760742|10.94530327|-0.018055556|1|1|0.006110714|-0.017427549|2|0.705487111|0.003545487|-0.033833834|0.822789227|0.80019672|0.4148662979999999|0.023143526|-50.97293525|15.25960958|158.67712230000004|-0.025039414|-33.29709668|10.06137448|51.93687546|0.551328235|66.23254483|0.46617977|2793.480751|-858.5021696|-10.8855893|0.448671765|8.492261628|15.90846721|0.873289814|-566.0506435|1557.152554|0.0|1.0|1.0|1.0|1.0|23.0|-8.09|84.0|1.16|120.88|0.0|1.0|-7.28|0.0|1.0|2.68|-3.96|0.0002839999999999|0.000109|0.0446|2.15|0.0|0.0|8.170000000000001e-09|3.99|-1351.2369640000002|676.53|294.18|509.0|0.41594|0.51479|-1351.008469|-0.17324|2.3276|-0.22939|-1351.067237|2.9732|123.0|6.9101|6.9101
8j_a46|0.0|0|0|1|7.727094485|1|1|1.160371125|2.1279894180000003|-0.13040237|-0.008523199|2|-0.129276363|0.0|-0.081366324|-0.174853546|10.96391738|-0.053618988|1|1|0.0108603019999999|-0.204674804|2|0.645146311|-0.223292257|-0.074207717|0.837678812|0.934648421|0.308052557|0.008672342|-29.38737046|4.658562801|7.723448142|-0.02566383|-19.90219786|2.5024620580000003|64.83187221|0.822112519|34.04593326|0.427798746|2121.846387|-592.7962878|-7.405468973|0.177887481|5.617748211|9.817783823|0.747636856|-318.43516580000005|721.0646647000001|1.0|0.0|1.0|1.0|0.0|17.0|-7.26|43.6|2.62|96.94|0.0|1.0|-5.55|1.0|1.0|3.82|-4.83|2.59e-05|1.47e-05|0.00497|3.97|0.0|0.0|5.46e-08|3.78|-1414.50743|576.48|281.1|0.1728|0.50703|0.70121|-1414.349865|-0.18531|5.2361|-0.22599|-1414.402087|6.4463|1228.0|5.9108|5.9108
6g_a40|0.0|0|0|1|8.421342866|1|2|0.604893315|1.628664494|0.102683335|-0.261952754|0|-0.120745388|0.607999575|-1.09669629|0.07194868|10.30179936|-0.251161616|2|2|-0.018182514|-0.221674172|0|0.8316888240000001|0.075283207|-0.340429901|0.8917390820000001|0.605346707|0.400587529|0.017750905|-107.2113398|11.53799852|328.78166810000005|-0.059045173|-66.03405036|7.499640603|47.36081569|0.824204189|118.7493383|0.425569146|3142.74733|-1727.0578510000005|-24.9461968|0.175795811|6.95079805|12.10032156|0.740853565|-1122.578856|2095.424743|0.0|0.0|1.0|0.0|3.0|14.0|-2.87|213.89|0.59|124.18|1.0|3.0|-7.02|0.0|0.0|2.37|-4.71|6.049999999999999e-08|1.93e-05|0.00917|3.06|1.0|0.0|0.0013599999999999|7.38|-2521.990118|669.8|440.68|0.4971|0.58454|0.5794199999999999|-2521.8114530000003|-0.11857|6.7231|-0.20479|-2521.87499|8.9454|47.0|7.3279|7.3279
12o_a30|0.0|0|0|0|7.412764017000001|2|2|0.604984133|0.0|0.036331447|-0.028326022|2|-0.089996613|0.0|-0.364378536|0.019094532|10.31162888|-0.087019298|1|1|0.003603419|-0.157974241|1|0.8264832879999999|-0.054392357|-0.149451598|0.870930234|0.844344883|0.402022325|0.015460222|-49.48891079|9.948252054|75.15128057|-0.037808155|-40.37291185|6.401442327000001|0.0|0.8131344979999999|59.43716284|0.46964626|2860.371518|-1192.099807|-15.65480256|0.186865502|7.400912529|13.95467208|0.885533983|-767.0853252|1466.05489|1.0|0.0|1.0|1.0|1.0|17.0|-7.22|81.65|3.31|132.29|0.0|1.0|-5.75|0.0|1.0|3.11|-5.44|1.19e-06|3.61e-06|0.00156|4.49|0.0|0.0|6.03e-08|4.45|-2035.338699|687.92|356.1|0.1967|0.3493699999999999|0.6854399999999999|-2035.139147|-0.1478799999999999|5559.0|-0.19873|-2035.199757|6.8632|16.0|7.8097|7.8097
10_a27|0.0|0|0|2|6.605297921|0|0|1.400533489|3.383341915|0.122016352|-0.044164147|2|-0.184068581|1.296293777|-0.282866526|0.034318674|10.93783185|-0.000903965|1|1|0.010329671|-0.309727442|2|0.639413469|0.129719095|-0.001453596|0.862408925|0.8526621529999999|0.346344305|0.017676458|-32.5969511|9.399794974|6.0140309720000005|-0.031079371|-24.60801194|4.998521009|49.19800605|0.7453606909999999|41.99674607|0.477162521|2270.538352|-694.1361252|-8.788575695|0.254639309|6.761146212000001|12.9316403|0.912640238|-369.1201792|931.2754667000002|1.0|0.0|1.0|0.0|0.0|21.0|-6.24|65.6|2.25|97.39|0.0|1.0|-6.51|1.0|1.0|2.74|-3.92|0.000266|0.0001189999999999|0.0394|2.55|0.0|0.0|5.81e-07|4.66|-1083.1151289999998|573.31|298.79|0.4452|0.63894|0.63894|-1082.956472|-0.16805|4.6684|-0.21785|-1083.008551|6.9456|69.0|7.1612|7.1612
47s_a18|0.0|0|0|0|7.03438793|1|1|1.251176205|0.0|0.026229332|-0.045792331|0|-0.026883417|0.0|-0.394481152|0.0134295589999999|10.94702059|-0.031515152|0|0|0.003686393|-0.040169986|0|0.724028067|0.0109557919999999|-0.0540701129999999|0.745196689|0.84543779|0.306379663|0.008446541|-53.18668656|6.394119331000001|10.92659868|-0.030108416|-46.45326408|4.840414512|51.05656345|0.820470855|59.58080589|0.4740142|2992.734821|-1595.466781|-17.25406952|0.179529145|9.811856136|18.65422248|0.901192009|-1207.784866|1944.574596|1.0|1.0|0.0|1.0|2.0|18.0|-9.42|76.5|3.33|149.34|0.0|1.0|-5.96|1.0|0.0|3.19|-5.45|1.12e-06|3.53e-06|0.0017|4.62|0.0|0.0|3.8199999999999997e-10|8.41|-1534.174077|809.4|385.29|0.5203|0.6926800000000001|0.6926800000000001|-1533.737579|-0.13195|2.3134|-0.18109|-1533.809351|2.9991|616.0|6.2104|6.2104
47i_a18|0.0|0|0|0|7.03438793|1|1|1.251177255|0.0|0.053794607|-0.066917145|0|-0.037689885|0.0|-0.440488042|0.073977454|10.94702091|-0.040514277|0|0|0.000427479|-0.057689282|0|0.742536498|-0.064085904|-0.068524374|0.7842882870000001|0.8030751740000001|0.279553995|0.009745543|-54.34379065|6.787641686000001|72.81110823|-0.035256027|-43.46880696|4.727502734|82.81385171|0.8608685909999999|61.13143233|0.487446923|2795.907966|-1497.876758|-17.10248143|0.139131409|9.573882864|18.67881257|0.951017454|-1043.251367|1739.959818|1.0|1.0|0.0|1.0|3.0|18.0|-8.98|85.29|2.74|134.83|0.0|1.0|-6.36|0.0|1.0|2.5|-4.78|6.58e-06|1.67e-05|0.00735|3.7|0.0|0.0|1.04e-09|7.37|-1416.233978|744.95|383.61|0.5085|0.69175|0.69175|-1415.875678|-0.13237|2.7749|-0.18299|-1415.944522|3.5235|19.0|7.7212|7.7212
12ar_a36|0.0|1|0|0|7.412764017000001|2|2|1.297042582|0.0|-0.064363806|0.000258844|2|0.083451772|0.0|-0.40866901|-0.1073795209999999|10.95407427|-0.036002609|1|1|0.002112069|0.145909555|1|0.86559137|-0.017348015|-0.064014394|0.89459881|0.8365428659999999|0.317338373|0.022389124|-54.80317647|15.19305207|86.85924228|-0.0347392029999999|-45.46486105|10.30986449|0.0|0.705591187|69.99622854|0.4743067589999999|2902.67985|-1272.979877|-15.99689556|0.294408813|8.770514183|16.68371115|0.902250063|-863.83236|1804.132337|1.0|0.0|0.0|1.0|2.0|17.0|-7.05|92.99|1.59|133.27|0.0|1.0|-7.21|0.0|0.0|1.8|-3.91|0.0001199999999999|0.000122|0.0515|2.33|0.0|0.0|8.95e-08|3.23|-1364.467971|717.19|322.13|0.5586|0.41433|0.67174|-1364.235126|-0.15631|6.4688|-0.21291|-1364.2977050000002|8.7322|25.0|7.6021|7.6021
17a_a10|0.0|0|0|1|7.535296702|2|2|1.3438501040000002|2.118111229|-0.218519541|0.021150127|3|-0.082914437|1.863045777|-0.2946568739999999|-0.093735748|10.92970797|0.031632653|1|1|0.01029375|-0.132166258|2|0.7019075779999999|0.029106767|0.054069767|0.8044827790000001|0.8538249840000001|0.463842217|0.020088947|-39.18491085|14.20303963|51.96456548|-0.023625536|-41.33310046|10.04165819|87.61514901|0.564726042|53.38795048|0.4918223679999999|3154.628148|-1052.3164359999998|-11.80945728|0.4352739579999999|8.621193279|16.96492079|0.967815851|-743.9958084|1863.410498|0.0|1.0|1.0|1.0|0.0|21.0|-7.32|76.38|1.29|142.16|0.0|1.0|-7.43|1.0|0.0|2.64|-4.32|0.00021|4.74e-05|0.0222|2.43|0.0|0.0|4.74e-08|3.95|-1524.52012|767.6|310.84|0.2142|0.32889|0.67671|-1524.187115|-0.16562|4.1012|-0.21203|-1524.252023|5.3803|49.0|7.3098|7.3098
8a_a12|0.0|0|0|0|0.0|1|1|1.283813597|0.0|0.082323047|-0.052287869|3|-0.205012437|0.0|-0.362413703|-0.050603335|10.95472846|-0.084035283|0|0|0.000249868|-0.3422915179999999|2|0.913877696|-0.1261547959999999|-0.146966854|0.8157289759999999|0.892656426|0.221703535|0.010336879|-30.69873711|5.354053791|46.32568673|-0.033836466|-24.96342938|2.773166902|0.0|0.791430726|36.0527909|0.46777503|2212.38965|-771.1359521|-9.077610683|0.208569274|5.113243051|9.607296424|0.878904705|-399.41487|974.3568539|1.0|1.0|1.0|0.0|1.0|18.0|-7.89|50.17|2.89|105.24|0.0|1.0|-6.04|1.0|1.0|3.1|-4.21|0.000125|6.19e-05|0.0203|3.18|0.0|0.0|1.28e-08|3.41|-1046.0210880000002|556.3|317.17|0.2486|0.6309100000000001|0.6309100000000001|-1045.851982|-0.15696|3.6588|-0.2194199999999999|-1045.902509|5.4032|199.0|6.7011|6.7011
35_a18|0.0|0|0|0|7.03438793|2|2|1.251175948|0.0|0.068150325|-0.020425504|1|-0.069149293|0.0|-0.44784362|0.027469086|10.94702087|-0.0098863069999999|0|0|0.00113101|-0.104482176|0|0.737701788|-0.032017257|-0.017913121|0.774007861|0.800765945|0.3888901179999999|0.008853796|-60.302584200000005|6.525195505|118.7214377|-0.033440195|-45.74482543|4.809030636|74.92670772|0.874573807|66.82777970000001|0.465531336|3038.429834|-1675.875389|-18.16338657|0.125426193|9.184536969|17.18442554|0.87101708|-1235.110287|1916.219506|1.0|1.0|0.0|1.0|3.0|18.0|-9.55|85.29|3.33|151.05|0.0|1.0|-6.0|0.0|1.0|3.07|-5.53|8.629999999999999e-07|2.96e-06|0.0014199999999999|4.55|0.0|0.0|2.81e-10|8.09|-1532.976969|796.47|385.69|0.4981|0.69279|0.69279|-1532.557542|-132.0|2.0432|-0.18079|-1532.627182|2.7788|24.0|7.6198|7.6198
12as_a36|0.0|1|0|0|7.412764017000001|2|2|1.297043209|0.0|-0.051208473|-0.073735973|2|0.096454203|0.0|-0.452697599|-0.114290948|10.95347588|-0.025398105|1|1|0.0018565629999999|0.162571317|1|0.8058720979999999|-0.0389138329999999|-0.04244711|0.869455765|0.77043791|0.291030086|0.019229943|-55.75872553|12.95780416|88.17694537|-0.037824788|-49.71556877|8.731418812000001|0.0|0.768125394|68.71652969|0.454761514|2904.092809|-1401.82114|-17.17446921|0.231874606|8.768282531|16.08155469|0.834059821|-944.5958066|1824.98997|1.0|0.0|0.0|1.0|2.0|17.0|-6.89|86.27|1.59|133.95|0.0|1.0|-7.21|0.0|0.0|1.84|-3.95|0.000154|0.000112|0.0476|2.36|0.0|0.0|1.29e-07|4.84|-1385.5651710000002|712.04|321.96|0.5902|0.53815|0.68211|-1385.322633|-0.1563|4.8580000000000005|-0.21419|-1385.384524|6.8556|59.0|7.2291|7.2291
14s_a23|0.0|0|1|2|7.423568444|0|0|1.197958333|3.336763335|0.020458621|-0.022580082|2|0.049317519|0.740898446|-0.298573309|-0.044305947|10.31321812|-0.064006338|2|2|0.009263715|0.0909774219999999|2|0.722187957|0.096014944|-0.1050445769999999|0.846632079|0.92763624|0.2387634619999999|0.019970955|-35.30692476|12.81151517|30.34480575|-0.034255504|-33.12848261|8.218681552|82.55990607|0.7748161659999999|48.11843993|0.470919749|2954.0751370000003|-1032.832468|-14.09722664|0.2251838339999999|7.548546899|14.26730044|0.890072438|-662.5696522999999|1333.003252|0.0|0.0|1.0|0.0|1.0|26.0|-7.99|105.02|3.51|125.29|0.0|1.0|-6.03|0.0|0.0|4.01|-5.55|7.49e-07|2.83e-06|0.00126|4.21|0.0|0.0|1.02e-08|4.1|-2089.500101|668.66|336.66|0.3669|0.60323|0.60323|-2089.2914530000003|-0.1515|4.7032|-0.22933|-2089.352478|6.4428|3.0|8.5482|8.5482
15b_a10|0.0|0|0|1|7.535296702|1|1|1.3438370730000002|2.145379897|-0.197213588|0.024214591|2|-0.111812184|2.0455289690000003|-0.149607679|-0.082365722|10.92966694|-0.058911857|1|1|0.011928706|-0.175869992|2|0.744213612|-0.058258414|-0.104250125|0.83320417|0.921918974|0.697099355|0.015973068|-31.76194123|10.94939968|43.96642219|-0.024105015|-34.57687319|7.505718446|118.6253241|0.670236374|42.7113409|0.414077981|2716.468606|-958.3791518|-11.32690674|0.329763626|6.6940006620000005|11.42472965|0.706711759|-656.9605906|1429.912176|0.0|1.0|1.0|1.0|0.0|21.0|-8.18|56.07|2.14|123.73|0.0|1.0|-6.34|1.0|0.0|3.66|-4.64|4.46e-05|2.28e-05|0.00943|3.49|0.0|0.0|6.609999999999999e-09|2.74|-1317.736865|721.17|329.52|0.3575|0.46711|0.68906|-1317.429772|-0.15579|4.7752|-0.20313|-1317.4913390000002|6.1384|85.0|7.0706|7.0706
