molecula|SddssS|NaaNH|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|RASA|PBF|FPSA3|PNSA3|PPSA3|RNCS|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|WNSA2|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
6b_a31|0.0|1|0|0|7.773594467000001|1|1|0.610136262|0.0|0.052690797|-0.178758575|0|0.11647286|0.0|-0.787472195|-0.032090772|10.31169819|-0.053655833|2|2|-0.008439437|0.1978523089999999|0|0.838789705|-0.068433069|-0.084489161|0.841537966|0.627853074|0.146652651|0.032992761|-73.70779766|20.12924648|159.79549319999998|-0.045675611|-47.81835367|12.28107483|101.4993391|0.7459204140000001|93.83704414|0.4807018779999999|2776.92804|-1254.023695|-17.0020813|0.254079586|7.513612533|14.46878435|0.925676135|-765.0936586|1681.1762649999998|1.0|1.0|1.0|1.0|2.0|22.0|-7.33|131.36|1.36|109.69|0.0|1.0|-6.5|0.0|1.0|3.3|-4.66|2.34e-06|2.18e-05|0.00883|3.2|0.0|0.0|4.67e-08|4.61|-1652.635711|637.06|376.29|0.4967|0.7013199999999999|0.7013199999999999|-1652.44739|-0.13345|5.9085|-0.1918|-1652.505041|8.8379|54.0|7.2676|7.2676
47c_a18|0.0|0|0|0|7.03438793|1|1|1.251176227|0.0|0.02368001|-0.048726885|0|0.047739847|0.0|-0.537230966|-0.058748345|10.94702285|0.028947131|0|0|0.002674691|0.071793992|0|0.784328127|-0.027873485|0.050944273|0.7912974190000001|0.8128616409999999|0.246894346|0.015864085|-57.54296759|12.75381432|67.68084951|-0.0321917939999999|-60.75445536|10.25333491|103.416376|0.7489981509999999|70.29678191|0.489290189|3228.879782|-1889.265906|-20.80632033|0.251001849|9.566965871|18.73268473|0.958059115|-1518.861384|2522.390613|1.0|1.0|0.0|1.0|3.0|18.0|-9.18|97.76|2.41|154.77|1.0|1.0|-6.61|0.0|0.0|2.42|-5.09|1.84e-06|8.12e-06|0.00417|3.98|1.0|1.0|6.67e-10|7.72|-1664.721977|850.89|398.71|0.5869|0.6983199999999999|0.6983199999999999|-1664.201034|-0.12841|3.3075|-0.17331|-1664.277127|3.8573|3.0|8.5229|8.5229
8b_a50|0.0|1|1|1|7.860570786|1|1|1.398299046|2.021915391|-0.115740384|-0.009597908|1|-0.096039086|1.98971238|-0.1812055289999999|-0.009441452|10.945024|-0.0180233089999999|2|2|0.007057361|-0.170496134|1|0.753629415|-0.027207307|-0.031953774|0.8836675340000001|0.845349082|0.267094693|0.021513107|-34.79187329|10.30543157|131.417573|-0.030360051|-17.91443197|4.93661461|0.0|0.6717097959999999|45.09730487|0.428882006|2143.807599|-523.561903|-6.966723542|0.328290204|5.292277178|9.26652151|0.75095166|-250.8020475|779.4465792000001|1.0|1.0|0.0|1.0|1.0|20.0|-5.94|59.39|1.79|89.78|0.0|2.0|-6.32|1.0|1.0|2.51|-3.81|0.000359|0.000154|46.0|2.55|0.0|0.0|1.16e-06|2.11|-967.3160428|515.81|296.58|0.1717|0.5533|0.59283|-967.212701|-0.1724099999999999|3.8213|-0.20144|-967.258772|5.8205|68.0|7.1675|7.1675
13_a10|0.0|0|0|1|7.535296702|1|1|1.343837907|2.091672336|-0.059862024|-0.055497169|2|-0.093280469|1.794073077|-0.259721373|-0.002128014|10.9296146|-0.001592366|1|1|0.003791547|-0.154121136|2|0.761923976|0.00746881|-0.002671425|0.84680169|0.818027691|0.4676169839999999|0.0122005|-47.88975806|6.168030793|174.7319717|-0.030119651|-21.04167667|3.118282386|0.0|0.7144943490000001|54.05778885|0.449563457|2261.82488|-624.3134531000001|-7.698174391|0.285505651|5.069505473|9.209972585|0.816739845|-315.62515|873.7836118999999|1.0|1.0|0.0|1.0|1.0|21.0|-6.6|63.83|1.88|97.14|0.0|1.0|-6.34|1.0|1.0|2.91|-4.1|0.000176|7.87e-05|0.0258|2.76|0.0|0.0|2.49e-07|2.48|-1065.839441|550.83|322.72|0.3905|0.34881|0.68386|-1065.68351|-0.15937|3.6904|-0.20959|-1065.732389|5.3726|0.16|6.7959|6.7959
23_a10|0.0|0|0|1|7.535296702|1|1|1.34383709|2.140123457|-0.12979844|0.012558932|2|-0.031558374|1.981673861|-0.17741132|-0.000458688|10.92966139|-0.0253481679999999|1|1|0.010662507|-0.0502296329999999|2|0.7338945809999999|-0.149057824|-0.043248272|0.800727358|0.915208645|0.535680357|0.009615852|-35.17017083|6.81095873|72.17779806|-0.02685653|-36.32074126|4.824237957|53.00900704|0.7611996520000001|41.98112956|0.485561757|3103.831885|-1179.402562|-13.47382337|0.238800348|8.755988318|17.02048484|0.943867925|-835.377049|1549.399766|1.0|1.0|1.0|1.0|0.0|27.0|-9.84|56.07|2.99|139.11|0.0|1.0|-5.93|0.0|1.0|4.5|-5.7|4.19e-06|2e-06|0.000923|4.48|0.0|0.0|1.44e-10|3.9|-1470.166163|768.3|325.98|0.2089|0.67647|0.67647|-1469.838069|-0.15858|3.8115|-0.21158|-1469.902562|4.8954|0.75|6.1249|6.1249
6c_a31|0.0|1|0|0|7.78113851|1|1|0.6101347220000001|0.0|0.047405064|-0.151732713|0|0.137523742|0.0|-0.790027307|-0.00219333|10.31169965|-0.107687565|2|2|-0.00668344|0.2301743489999999|0|0.831901219|-0.078059285|-0.172780048|0.846458013|0.641197273|0.138124296|0.03173578|-76.54198229|20.09112958|163.6316745|-0.044739967|-50.62888027|12.71919216|105.7632176|0.7653239190000001|96.63311186|0.4463376229999999|2837.949799|-1359.540251|-17.93106176|0.234676081|8.102804662|14.63492011|0.8061548709999999|-860.6909647|1776.424619|1.0|1.0|1.0|1.0|2.0|22.0|-7.72|131.36|1.58|114.5|0.0|1.0|-6.27|0.0|1.0|3.64|-4.94|8.179999999999999e-07|1.15e-05|0.0048|3.64|0.0|0.0|1.89e-08|5.08|-1691.948653|667.01|376.01|0.5028|0.7014699999999999|0.7014699999999999|-1691.734564|-0.13351|5.9253|-0.19169|-1691.794585|8.8847|0.34|6.4685|6.4685
20_a31|0.0|1|1|0|7.765993078999999|0|0|0.609420757|0.0|0.0469387759999999|-0.057200812|0|-0.013040402|2.114008068|-0.476400874|-0.020082435|10.31100269|-0.078213611|3|3|-0.001662219|-0.023477148|0|0.788133615|0.028036914|-0.131662689|0.912372776|0.7954270659999999|0.246878555|0.019334605|-53.79798102|12.1160662|64.42171513|-0.033537774|-43.27297051|7.592555532|75.10345696|0.710707042|65.91404723|0.464597945|2576.1287230000003|-966.7594033|-13.1700345|0.289292958|8.289864307|15.48343758|0.86775525|-605.8215871|1360.278351|1.0|1.0|1.0|1.0|2.0|19.0|-7.65|140.04|1.1|110.47|1.0|1.0|-6.39|0.0|1.0|3.6|-4.44|1.24e-06|3.66e-05|0.0146|3.29|0.0|0.0|2.23e-08|4.78|-1880.734655|666.67|350.43|0.2011|0.7036600000000001|0.7036600000000001|-1880.538664|-0.1483|3.7403|-0.20895|-1880.599777|4.9218|8.0|8.0862|8.0862
12am_a36|0.0|1|0|0|7.412764017000001|2|2|1.240140551|0.0|0.088482802|-0.297354748|2|0.122824831|0.0|-0.921315581|-0.050505733|10.9602097|-0.037654321|1|1|-0.007897954|0.345949079|1|0.647732719|-0.0147665219999999|-0.05754717|0.885733922|0.814986544|0.305015372|0.017590648|-63.19394154|12.15249658|128.69607109999998|-0.045928425|-56.3667958|8.395550408|1.038361162|0.788334835|75.34643812|0.484558903|3230.6292780000003|-1713.4008440000002|-21.92042059|0.211665165|8.772646622|17.01968794|0.940085891|-1183.702712|2173.44302|1.0|0.0|1.0|1.0|2.0|17.0|-7.14|78.43|2.04|130.43|0.0|1.0|-6.4|0.0|0.0|2.65|-5.07|6.26e-06|8.6e-06|4.0|3.86|1.0|0.0|7.24e-08|4.86|-1645.169789|714.21|321.15|0.4894|0.40752|0.6805100000000001|-1644.952145|-0.15658|5.9258|-0.21356|-1645.016323|8.0872|0.06|7.2218|7.2218
8c_a31|0.0|1|0|0|7.765993078999999|1|1|0.610137334|0.0|-0.012583838|-0.104377029|0|-0.106461724|0.0|-0.574140137|-0.1903992189999999|10.31169969|-0.1029580369999999|2|2|-0.004832959|-0.178276512|0|0.922486359|0.006000201|-0.1759864119999999|0.896193695|0.626072761|0.280934088|0.029669107|-64.57121646|16.3656112|133.3100368|-0.039640027|-38.96685783|9.027343766|477.2277896000001|0.72308253|80.93682766|0.47508938|2251.08563|-918.3558307|-12.06117028|0.27691747|6.820988495|12.99457133|0.90508624|-506.5691518|1270.056726|1.0|1.0|1.0|1.0|2.0|16.0|-6.13|114.29|0.85|93.45|0.0|1.0|-6.7|0.0|1.0|2.83|-3.63|3.79e-05|0.000237|0.0811|2.38|0.0|0.0|7.45e-07|1.83|-1426.129055|595.67|322.11|0.2597|0.7005|0.7005|-1425.968408|-0.15985|3.3453|-0.19207|-1426.024361|5.1815|0.81|6.0915|6.0915
8_a47|0.0|0|0|0|7.252053952000001|0|1|1.24688044|0.0|0.003732288|-0.099564745|2|-0.087101663|1.335354131|-0.391797226|-0.153669322|10.93671024|-0.14203855|0|0|-0.007648516|-0.177626636|2|0.686795267|-0.035681436|-0.223459904|0.842571655|0.8497568740000001|0.517797505|0.008687692|-44.09728708|5.043798869|90.32612351|-0.035797309|-30.83488674|2.928269795|0.0|0.819702033|49.14108595|0.414302597|2621.772106|-956.0080185|-12.06582525|0.180297967|6.492934319|11.08581716|0.707366287|-555.0279614|1166.287236|1.0|1.0|0.0|1.0|2.0|22.0|-9.25|58.04|3.9|113.97|0.0|1.0|-4.79|0.0|1.0|5.03|-6.19|2.56e-07|6.490000000000001e-07|0.000263|5.61|0.0|0.0|5.62e-10|4.91|-1686.0356350000002|621.06|337.87|0.2249|0.6877800000000001|0.6877800000000001|-1685.8518170000002|-0.15357|3585.0|-0.2085199999999999|-1685.908004|4.6281|0.05|7.3|7.3
