molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|MATS7i|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|RASA|PBF|FPSA3|PNSA3|PPSA3|FNSA4|WPSA3|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|TASA|MOMI-Z|FPSA1|GeomShapeIndex|GRAV|WNSA2|FPSA5|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
3c_a49|0|0|0|0.0|1|1|1|1.343850149|2.108416128|0.034009672|-0.004876919|5.4161004020000005|-0.016347266|-0.04696024|0.006218639|-0.05815918|10.92976555|1|1|-0.0780996759999999|-0.0612829229999999|-0.101919761|2|0.802792677|0.005559828|0.0211518929999999|0.8605470759999999|0.7963363840000001|0.501887054|0.0148240689999999|-41.0524769|8.477406111|-0.0252377479999999|4.8479546860000005|0.637222556|-1.186174159|54.85343388|-14.4326528|49.52988301|2521.794855|455.3990518|1667.1178220000002|0.362777444|0.919925763|5544.351498|-387.9176903|0.021783913|542.7276591|1.0|1.0|1.0|1.0|3.18|2.67|0.18|21.0|3.63|3.87|72.7|1.84|1.0|0.0|109.43|0.0|4.0|-3.45|28.0|0.0|1.0|2.86|-3.86|0.0003509999999999|0.13|0.000137|0.0505|2.29|0.0|2.89e-08|1.07e-05|-0.0606|5.1584|3842.0|-1198.668772|613.33|1046.53|322.71|0.32539|0.6692100000000001|-0.15853|0.03394942|3.7789|7.0605|7.0605
12q_a36|1|0|0|0.0|0|2|2|1.29701394|0.0|-0.0543475329999999|-0.00761082|5.351858133|-0.043678703|0.068040097|0.0005016269999999|-0.0651906459999999|10.9598352|1|1|0.1161527719999999|-0.103922055|-0.177407665|1|0.828371596|-0.017640538|-0.074349074|0.8839272779999999|0.82911927|0.324924033|0.018562763|-49.18227989|12.00048565|-0.038175515|7.758093617|0.768692389|-1.908775752|80.15866795|-24.67976947|61.18276554|2786.514757|536.0103834|2380.245597|0.231307611|0.947876484|6040.52496|-797.7508892000001|0.017949083|629.5017194000001|0.0|0.0|1.0|0.0|4.74|0.0|0.14|17.0|3.35|2.54|69.2|2.51|1.0|0.0|128.76|0.0|5.0|-4.44|30.0|0.0|1.0|2.34|-4.59|3.64e-05|0.0151|2.55e-05|0.0106|3.31|0.0|6.65e-08|2.77e-05|-0.05602|5.2375|3.8653|-1692.544456|683.51|1148.35|320.77|0.39919|0.6863199999999999|-0.1566|0.03415678|6.4226|8.2218|8.2218
5_a27|0|0|0|0.0|2|0|0|1.4026035369999998|3.2927747860000003|0.126882432|-0.0063562359999999|4.727387819|-0.068518519|-0.149034787|0.00991794|-0.125237927|10.93772408|1|1|-0.250776983|-0.2030237389999999|-0.341622797|2|0.760083119|0.180356685|-0.020087122|0.8149212259999999|0.8531787759999999|0.333977277|0.01695771|-29.50048722|8.936508815|-0.030385206|4.709432444|0.741481472|-1.276178645|53.51978325|-16.01263727|38.43699603|2273.906133|449.6149323|1254.531539|0.258518528|0.7827415529999999|4943.51602|-354.41560810000004|0.016479312|424.8821143|0.0|1.0|0.0|1.0|3.07|3.11|0.16|21.0|2.94|2.8|65.6|2.66|0.0|0.0|97.55|0.0|2.0|-3.61|25.0|0.0|1.0|2.82|-4.01|0.000248|0.0821|9.78e-05|0.0324|2.58|0.0|6.04e-07|0.0002|-0.04554|4.0989|4.0989|-1083.143246|566.68|955.22|302.48|0.64548|0.64548|-0.16952|0.01903872|3.5632|8.5229|8.5229
11d_a5|1|0|0|0.0|0|0|0|1.388848584|0.0|-0.245058546|-0.003373937|4.59511985|0.001099755|-0.125546291|0.008307337|-0.138265707|10.94877952|1|1|-0.202307745|-0.12451554|-0.200646773|2|0.783891527|-0.018747485|0.036918829|0.831190148|0.87090286|0.359644732|0.012828514|-40.04753555|8.151092424|-0.029333375|5.179111638|0.712305422|-1.525335513|65.35645739|-18.63809379|48.19862797|2540.78984|553.3617954|900.3825317|0.287694578|0.976150552|5283.02167|-615.8065323|0.018119737|631.9206508|1.0|1.0|1.0|1.0|3.13|3.37|0.17|23.0|4.41|4.14|66.93|1.42|1.0|0.0|114.29|0.0|7.0|-4.14|29.0|0.0|1.0|3.28|-4.29|7.2e-05|0.0278|5.14e-05|0.0198|3.07|0.0|2.31e-09|8.909999999999999e-07|-0.03767|4.4175|4107.0|-1239.127458|682.09|1154.67|301.89|0.66686|0.6533399999999999|-0.16762|0.03371838|3.7008|7.8239|7.8239
4e_a46|0|0|0|0.092094405|1|1|1|0.300205548|2.12386814|0.1369980459999999|-0.005995748|5.587248657999999|-0.370202917|-0.08224348|-0.001404912|-0.058626723|10.31928077|1|1|-0.135489528|-0.030065705|-0.049530834|2|0.77019676|0.075271624|-0.076733489|0.8146060740000001|0.753715041|0.68427144|0.010671173|-63.39469142|8.098142567|-0.030951758|6.145520557|0.7951078540000001|-1.949960781|73.87174786|-23.48867857|71.49283399|3411.457836|571.9794684|3129.575458|0.204892146|0.905854609|7615.063066|-1122.980957|0.0125621839999999|942.2127953|0.0|0.0|1.0|1.0|4.5|2.68|0.27|23.0|3.05|5.93|124.17|2.06|2.0|0.0|137.28|0.0|5.0|-6.08|35.0|1.0|0.0|3.5|-5.41|8.29e-07|0.000405|3.92e-06|0.00191|3.78|0.0|1.56e-09|7.64e-07|-0.03893|4.2446|4.1773|-1884.613031|757.1|1343.97|296.81|0.5745600000000001|0.56481|-0.17112|0.04805633|3.2466|6.8125|6.8125
9s_a24|1|0|0|0.0|0|1|1|1.4275963180000002|0.0|-0.222173285|-0.003599664|4.59511985|-0.00570386|-0.050919714|0.006748865|-0.060407836|10.96129902|1|1|-0.0897306019999999|-0.204128966|-0.359715589|3|0.773544454|0.030228027|0.0256742079999999|0.8327425070000001|0.8833498320000001|0.483170382|0.016792118|-30.93968263|10.42725806|-0.019465646|6.474925237000001|0.445160769|-0.953816666|61.19761205|-12.08741583|41.36694069|2747.809842|548.5261887|969.5210193|0.554839231|0.889829339|5767.9102490000005|-367.7851412|0.03496522|604.8829955|1.0|1.0|1.0|1.0|3.43|2.78|0.04|29.0|3.15|4.29|77.21|0.81|1.0|0.0|115.67|0.0|4.0|-3.36|30.0|0.0|0.0|2.63|-4.06|0.000434|171.0|8.71e-05|0.0343|2.11|0.0|7.73e-09|3.04e-06|-0.03597|3.0726|2.6707|-1271.031372|654.28|1121.42|464.24|0.69475|0.6907300000000001|-0.10865|0.03640642|7.0312|7.4949|7.4949
19f_a38|1|0|0|0.0|0|2|2|1.297044434|0.0|-0.036714749|-0.007831113|5.351858133|-0.084341564|-0.008118156|-0.002526241|0.035480177|10.96083376|1|1|-0.017421394|-0.101303149|-0.217394466|1|0.819222745|-0.075025988|-0.094149094|0.8741648479999999|0.750875987|0.488059925|0.02107583|-54.50401599|13.4639011|-0.037844587|8.601162122|0.734437553|-1.892229356|84.35196967|-24.1763087|67.96791709|2776.145209|479.6831205|2846.860803|0.265562447|0.8313685409999999|6115.273372|-772.2291966|0.020733452|595.8790650000001|1.0|1.0|1.0|1.0|4.82|2.48|0.14|17.0|3.13|2.55|81.23|2.4|1.0|0.0|125.69|0.0|5.0|-4.14|30.0|0.0|1.0|2.67|-4.17|7.209999999999999e-05|29.0|6.77e-05|0.0272|2.78|0.0|1.4e-07|5.610000000000001e-05|-0.05735|5.3197|3.4422|-1332.190216|653.22|1105.62|360.19|0.38086|0.7056100000000001|-0.14369|0.02936908|7.1655|7.1397|7.1397
4_a18 (SD-208)|0|0|0|0.0|0|2|2|1.304335262|0.0|0.055002235|-0.012457606|0.0|-0.113324634|-0.020226647|-0.018723101|-0.009648044|10.95382003|0|0|-0.047745689|-0.15379315|-0.3630339729999999|1|0.83508768|-0.058455902|-0.098971722|0.904723479|0.77909674|0.115284206|0.0211761979999999|-40.10670787|10.90456851|-0.034985357|5.615248385|0.602029021|-1.2944582059999998|69.63488061|-18.01551972|51.01127638|2395.526727|401.1916387|1822.914738|0.397970979|0.831728055|5348.394288|-343.2487827|0.035654206|363.2306414|1.0|1.0|1.0|1.0|2.77|2.54|0.0|22.0|3.54|4.44|76.48|2.02|1.0|0.0|92.87|0.0|3.0|-4.29|25.0|0.0|1.0|3.11|-4.38|5.12e-05|18.0|4.14e-05|0.0146|3.02|0.0|7.06e-09|2.49e-06|-0.09992|5.1755|3.2777|-1542.296276|537.47|895.83|378.26|0.4646|0.69028|-0.13588|0.0199445|5.2085|7.0969|7.0969
11_a47|0|0|0|0.0|0|0|0|1.381898438|0.0|0.035230036|-0.007767503|0.0|-0.156077888|-0.0586047379999999|-0.007419345|0.081235787|10.93671007|0|0|-0.120383371|-0.038723054|-0.079543257|3|0.715054643|-0.058523885|0.07716247|0.770028429|0.796863393|0.572646116|0.008462682|-50.01659041|5.184267117|-0.035945973|3.175899139|0.816608795|-1.833244617|66.9895812|-22.02062158|55.20085753|2842.168734|488.1611434|2201.328597|0.183391205|0.8820228529999999|6736.717611|-687.9851765999999|0.0128657439999999|670.2339441|1.0|0.0|1.0|1.0|3.28|3.15|0.04|28.0|5.58|6.68|70.93|3.0|2.0|0.0|124.7|0.0|4.0|-6.29|32.0|1.0|1.0|4.69|-6.03|5.110000000000001e-07|0.000216|9.32e-07|0.000394|5.06|0.0|2.81e-11|1.19e-08|-0.05094|3.7253|3.7253|-1396.184699|654.49|1146.42|332.82|0.6915399999999999|0.6915399999999999|-0.1546|0.03959805|4.6111|7.4|7.4
14n_a23|0|1|1|0.0|2|0|0|1.197963531|3.3716621960000004|0.009802461|-0.0068536419999999|5.351858133|-0.027380305|0.079559363|0.010561248|-0.049694913|10.3132176|2|2|0.144230149|-0.110069159|-0.199540201|2|0.802854174|0.219354173|-0.099694124|0.861597051|0.89327435|0.209387766|0.027028617|-39.82324087|18.26553926|-0.032325501|12.34358104|0.6868205409999999|-1.648600566|72.09248208|-21.84509525|58.08878013|3014.591033|603.6615822000001|2195.877777|0.313179459|0.885393105|6740.54932|-752.8921912999999|0.0242495529999999|683.7405759|0.0|1.0|1.0|1.0|3.53|3.66|0.09|26.0|3.42|4.03|114.25|2.72|2.0|1.0|126.78|0.0|6.0|-5.63|32.0|0.0|0.0|3.48|-5.02|2.32e-06|0.0010199999999999|9.57e-06|0.0042299999999999|3.55|0.0|3.11e-08|1.3699999999999998e-05|-0.06951|3.4217|3.4217|-1744.450916|710.48|1209.95|362.35|0.6955|0.6955|-0.1382|0.02300614|7.2975|9.2441|9.2441
