molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|nARing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RPSA|WNSA5|WPSA3|RPCS|FNSA2|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|GeomDiameter|WNSA2|DPSA4|FPSA5|DPSA1|PPSA5|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
18a_a22|0.0|0|0|0|0.0|1|0|1.854982521|-0.197348157|-0.003488994|4.727387819|-0.018344659|2|0.038167849|0.033735832|1.6891461019999998|0.007066388|-0.021976395|10.31286146|-0.015194063|0.007079018|0.059645624|-0.147724859|2|-0.042139855|-0.027029438|0.7881113679999999|0.722009212|1|0.926535704|-0.050645213|-0.076119803|0.573315195|0.01713283|-51.6464295|0.073464296|-35.04152115|7.887046626|18.5219848|-1.5223960559999998|-19.86401135|0.487405342|628.6440468999999|-1032.92859|2213.859172|13.72951861|-700.830423|27.95908297|0.0193879289999999|-285.5992506|13.15449139|1.0|1.0|1.0|3.49|3.17|0.08|27.0|-9.4|5.32|2.13|2.0|131.64|0.0|1.0|-5.59|32.0|-6.28|0.0|0.0|3.9|0.00113|6.98e-06|0.0|0.0|-0.0706799999999999|5.0214|3.69|3.4832|-1691.3151059999998|-1691.2957760000002|695.35|1211.84|355.95|0.3174|531.16|0.35107|-1691.036502|-0.21148|0.01932946|-1691.097989|13.0|7.8861|7.8861
41_a47|0.0|0|1|1|0.0|1|0|1.840145925|-0.225923786|-0.004083905|4.727387819|-0.072088843|3|0.042537538|-0.080388467|1.601942802|0.003530307|0.024881402|10.98214139|0.075316535|0.0047106|-0.178132441|-0.317014709|3|0.08640454|0.123676975|0.900915114|0.609110565|1|0.823168463|-0.061101947|-0.0899793719999999|0.245948366|0.018348892|-50.81597048|0.1768315369999999|-28.69838714|5.852270304|0.0|-1.259711209|-16.54473457|0.447046066|464.8854878|-711.4235867000001|1073.170368|12.96444871|-401.77742|25.33076615|0.023067788|-172.98086630000003|13.02756406|1.0|1.0|1.0|3.18|3.18|0.16|21.0|-7.47|3.34|1.75|0.0|99.09|0.0|1.0|-3.57|26.0|-6.66|0.0|1.0|3.06|0.0929|0.000125|0.0|0.0|-0.05053|4.0167|2.41|3.7144|-1162.492089|-1162.462261|603.1|995.43|333.8|0.2849|471.9|0.6779|-1162.288187|-0.2026099999999999|0.02982752|-1162.342476|0.01|8.0|8.0
47f_a18|0.0|0|0|0|0.0|0|1|0.0|-0.005500039|-0.005817448|4.844187086|-0.034211867|0|0.031179487|-0.048472184|0.0|0.0036509859999999|0.033759227|10.94702253|-0.008224928|0.00531392|-0.071877686|-0.3927204379999999|0|-0.009917608|-0.014370598|0.780474694|0.745431271|0|0.838156881|-0.063824969|-0.084851044|0.375218907|0.0138461289999999|-72.03501774|0.161843119|-61.15474298|9.979328976|58.84834254|-2.290978185|-24.61956302|0.483843526|711.5604361000001|-1944.945479|2343.062749|20.44855806|-1651.17806|33.88554232|0.016581683|-384.6642262|14.07716085|1.0|1.0|2.0|4.87|0.0|0.34|18.0|-9.22|3.22|2.79|3.0|164.47|1.0|1.0|-6.11|40.0|-6.4|0.0|0.0|2.83|0.000421|3.01e-06|1.0|1.0|-0.04439|3.0964|8.13|3.0964|-1743.375413|-1743.346389|908.66|1602.99|400.42|0.5741|874.24|0.6984600000000001|-1741.724929|-0.1724099999999999|0.02902413|-1741.802171|9.0|8.0458|8.0458
17c_a50|0.0|0|1|1|0.0|2|2|4.349159921|-0.212075666|-0.002676029|5.82008293|0.024219848|2|0.031870748|0.021572081|2.193763306|0.01130519|-0.144763835|10.94500663|-0.120904775|0.012222674|0.034485992|-0.373205592|1|-0.139943634|-0.212611846|0.816442883|0.728169863|1|0.89719894|-0.051905615|-0.073693343|0.446454378|0.021675174|-50.69922125|0.10280106|-34.87982686|10.25908547|94.15397246|-1.32648017|-14.96042594|0.49503436|617.2509739|-912.5859825|2014.72331|16.45688922|-627.8368834|26.25785813|0.0232952879999999|-95.97318605|16.02658985|0.0|1.0|0.0|4.12|3.61|0.35|20.0|-6.79|3.59|1.91|1.0|134.28|0.0|1.0|-3.8|33.0|-6.96|0.0|1.0|3.1|0.0698|3.75e-05|0.0|0.0|-0.03121|4.2397|2.74|4.0432|-1411.187392|-1411.157813|746.5|1289.05|306.65|0.1814|596.23|0.63122|-1410.838844|-0.19818|0.02957871|-1410.902767|69.0|7.1612|7.1612
9n_a24|0.0|1|0|0|2.961528903|0|0|0.0|-0.2452954769999999|-0.003323852|4.59511985|0.001099755|2|0.024179894|-0.141205159|0.0|0.008307337|-0.036651001|10.94875265|-0.03088354|0.008809179|-0.22754075|-0.200646773|2|0.048359202|-0.058520736|0.804201677|0.755793189|0|0.904556598|-0.052106597|-0.0777274979999999|0.331008994|0.017608478|-52.53031811|0.095443402|-35.50139138|8.042526681|24.72120326|-1.399094961|-18.18357165|0.4331595789999999|611.3234977000001|-945.545726|1361.307012|14.52410167|-639.0250449|27.88350328|0.021951174|-205.6223122|14.83518955|1.0|1.0|1.0|3.17|2.6|0.17|23.0|-8.64|4.41|1.42|1.0|114.29|0.0|1.0|-4.14|29.0|-6.47|0.0|1.0|3.13|0.0278|5.14e-05|0.0|0.0|-0.03818|4.9139|2.59|4.1028|-1239.1274939999998|-1239.095611|686.19|1155.03|302.2|0.2522|587.05|0.44042|-1238.856882|-0.20399|0.03188309|-1238.917278|19.0|7.7212|7.7212
47g_a18|0.0|0|0|0|0.0|0|1|0.0|-0.005500039|-0.005817448|4.844187086|-0.034211867|0|0.031179487|-0.048472184|0.0|0.0036509859999999|0.033759227|10.94702253|-0.008224928|0.00531392|-0.071877686|-0.3927204379999999|0|-0.009917608|-0.014370598|0.780474694|0.745431271|0|0.834424154|-0.065225536|-0.08547236|0.413435809|0.013404131|-72.53379954|0.165575846|-61.55384106|9.653129118|47.07867403|-2.307753726|-24.79003275|0.4913566339999999|708.1114197|-1958.412588|2268.439188|20.32265524|-1661.953709|33.87214455|0.016259076|-393.5416883|13.79782369|1.0|1.0|2.0|4.87|0.0|0.34|18.0|-9.22|3.22|2.79|3.0|164.47|1.0|1.0|-6.11|40.0|-6.4|0.0|0.0|2.83|0.000421|3.01e-06|1.0|1.0|-0.04413|3.0965|8.13|3.0965|-1743.375845|-1743.346243|905.71|1604.37|400.4|0.5955|874.26|0.69828|-1742.7686640000002|-0.17202|0.02960182|-1742.847918|9.0|8.0458|8.0458
12aj_a36|0.0|1|0|0|3.482902101|0|2|0.0|-0.056210607|-0.00706023|5.351858133|-0.045035034|2|0.043848238|0.064171987|0.0|0.002951176|-0.103202936|10.95354213|-0.042227364|0.003962098|0.1087087|-0.1763783589999999|1|0.091113865|-0.072770961|0.8632656809999999|0.856274847|0|0.8269863129999999|-0.073002742|-0.10279655|0.251263868|0.018305468|-65.89100364|0.173013687|-42.23511741|7.521007149|0.0|-1.953134451|-23.62130319|0.47532973|530.0854761|-1251.929069|2275.825451|15.35536375|-802.4672307|30.48195872|0.016684569|-352.4483722|10.69455126|1.0|1.0|2.0|4.84|0.0|0.17|17.0|-6.97|3.24|2.24|1.0|128.72|0.0|1.0|-4.16|30.0|-6.55|0.0|1.0|2.14|0.0274|5.05e-05|0.0|0.0|-0.05275|5.2301|3.48|3.6017|-1272.27339|-1272.241135|682.84|1157.64|344.24|0.5616|539.55|0.4112|-1271.9998859999998|-0.20093|0.03225532|-1272.060325|17.0|7.7696|7.7696
5b_a49|0.0|0|0|0|0.0|1|2|2.119588967|0.1108916119999999|-0.007610481|5.777652323|0.006327273|2|0.034466231|-0.072128552|1.926253727|0.005836378|-0.0695402359999999|10.9297646|0.059834711|0.006696215|-0.12209302|-0.230763367|2|-0.006962617|0.099724518|0.839963111|0.666573331|1|0.7969332440000001|-0.0698098759999999|-0.076494119|0.615864196|0.020319986|-44.96093486|0.203066756|-26.42668087|7.020013952999999|69.07083505|-1.300400018|-15.28671785|0.475192312|468.4133145|-764.3358925|1956.050085|11.94760614|-449.2535747|25.1139312|0.025332565|-127.7749783|14.88971719|0.0|1.0|1.0|3.34|2.9|0.22|21.0|-7.24|2.98|2.07|1.0|122.26|0.0|1.0|-3.3|30.0|-7.24|0.0|1.0|2.58|0.1969999999999999|0.000118|0.0|0.0|-0.04453|5.1653|3.92|3.9209|-1292.139616|-1292.100239|633.92|1093.32|316.21|0.4653|451.32|0.39241|-1291.873941|-0.20701|0.03937634|-1291.929428|28.0|7.5528|7.5528
11_a15|0.0|0|0|0|0.0|0|1|0.0|-0.1758968389999999|-0.0064953419999999|0.0|-0.029665252|3|0.02962963|-0.036023137|0.0|0.001806571|-0.0856783419999999|10.95979791|0.023543401|0.003766915|-0.056500144|-0.272482143|2|0.0234789439999999|0.0432314409999999|0.76664841|0.796300317|0|0.8945381259999999|-0.064429158|-0.0974577669999999|0.632319408|0.018519054|-66.78526188|0.105461874|-45.76619542|8.696553172|0.0|-1.949155337|-23.02940065|0.470042906|613.0036107000001|-1335.705238|2565.707165|11.76226306|-915.3239085|31.14961732|0.018086221|-327.9935744|12.39401492|1.0|0.0|1.0|4.1|4.25|0.07|24.0|-8.9|4.33|2.52|2.0|138.24|0.0|1.0|-6.32|34.0|-5.26|1.0|0.0|4.62|0.000214|7.970000000000001e-07|0.0|0.0|-0.03877|4.7106|5.04|2.9595|-1450.740771|-1450.705737|739.57|1284.85|418.94|0.2657|568.22|0.58935|-1450.39211|-0.16011|0.03503399|-1450.457814|739.0|6.1314|6.1314
11_a47|0.0|0|0|0|0.0|0|0|0.0|0.035230036|-0.007767503|0.0|-0.156077888|3|0.033931624|-0.0586047379999999|1.311097861|-0.007419345|0.081235787|10.93671007|0.046339015|-0.00580273|-0.120383371|-0.079543257|3|-0.058523885|0.07716247|0.770028429|0.686454722|1|0.796863393|-0.08164597|-0.096486559|0.572646116|0.008462682|-59.10798423|0.203136607|-36.20974614|3.175899139|1.882633323|-1.833244617|-22.02062158|0.4686568239999999|488.1611434|-1123.0517|2201.328597|11.22841564|-687.9851765999999|26.96593732|0.0128657439999999|-387.9111844|7.881596968999999|1.0|1.0|2.0|3.28|3.15|0.04|28.0|-10.55|5.58|3.0|2.0|124.7|0.0|0.0|-6.29|32.0|-5.28|1.0|0.0|4.69|0.000216|9.32e-07|0.0|0.0|-0.05094|3.7253|4.84|3.7253|-1396.184699|-1396.145101|654.49|1146.42|332.82|0.2321|549.52|0.6915399999999999|-1395.922861|-0.20554|0.03959805|-1395.980918|0.04|7.4|7.4
