molecula|SddssS|NaaNH|n9FaHRing|SssssC|SRW09|nAHRing|nARing|AATSC1c|MATS7i|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|RASA|FNSA3|PBF|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA2|DPSA5|GeomPetitjeanIndex|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12m_a30|0.0|0|0|0.0|7.412764017000001|2|2|-0.01047558|-0.1305457069999999|0.0|-0.57615692|0.0488832779999999|10.31162838|-0.0547272029999999|0.0026474159999999|-0.236661357|-0.084317059|-0.152855196|-0.5409445629999999|1|0.817497287|-0.036924662|-0.0974968869999999|0.783260049|-0.085422479|0.415971907|0.027352277|-57.96147772|18.55926485|133.774348|147.06395700000002|-0.0405332439999999|-47.58675592|12.59296644|-2.067195455|83.3641853|0.44976016|-1402.648392|0.226267233|16.40342255|0.8173893040000001|153.52847759999997|35.54574762|1812.833129|683.7405759|1.0|0.0|1.0|1.0|0.0|17.0|-6.42|3.4|2.48|2.06|1.0|0.0|1.0|6.0|6.0|-6.22|-5.01|9.71e-06|0.00427|3.89|0.0|-57.0|5.0617|3.88|-1743.174906|349.29|255.0|578.87|0.33392|0.68404|-1742.965888|-0.15042|3.6891|0.04041755|-1743.030004|5.1279|31.0|7.5114|7.5114
5_a27|0.0|0|0|0.0|6.823286122000001|0|0|-0.0063562359999999|-0.149034787|1.271687295|-0.286030638|-0.125237927|10.93772408|-0.013448351|0.010329671|-0.250776983|-0.2030237389999999|-0.341622797|-0.4982037479999999|2|0.639413469|0.180356685|-0.020087122|0.8531787759999999|-0.055979434|0.333977277|0.01695771|-29.50048722|8.936508815|10.48961936|77.37301579999999|-0.030385206|-23.6277072|4.709432444|-1.276178645|53.51978325|0.439066197|-672.5307653|0.258518528|10.98289851|0.7827415529999999|136.2361487|21.59546513|907.0095354|424.8821143|0.0|0.0|0.0|0.0|3.11|21.0|-6.22|2.94|2.8|2.66|0.0|0.0|1.0|2.0|4.0|-6.49|-4.01|9.78e-05|0.0324|2.58|0.0|-0.04554|4.0989|4.9|-1083.124207|302.48|0.2448|463.87|0.64548|0.64548|-1082.967639|-0.16952|2.3781|0.01903872|-1083.019748|3.5632|3.0|8.5229|8.5229
6g_a40|0.0|0|0|0.0|8.421342866|1|2|-0.022381557|-0.120745388|0.607999575|-1.09669629|0.07194868|10.30179936|-0.251161616|-0.018182514|-0.221674172|0.0312035079999999|0.05728593|-0.588058458|0|0.8316888240000001|0.075283207|-0.340429901|0.605346707|-0.164941808|0.400587529|0.017750905|-107.2113398|11.53799852|328.78166810000005|256.5226419|-0.059045173|-66.03405036|7.499640603|-2.657032782|114.7475987|0.425569146|-1727.0578510000005|0.175795811|12.10032156|0.740853565|114.2663866|46.56499428|2095.424743|590.1686672000001|0.0|0.0|0.0|3.0|2.28|14.0|-2.87|3.43|2.48|0.59|2.0|1.0|3.0|5.0|7.0|-7.02|-4.71|1.93e-05|0.00917|3.06|0.0|-0.08622|3.3197|7.38|-2521.990118|440.68|0.4971|514.77|0.58454|0.5794199999999999|-2521.8114530000003|-0.11857|6.7231|0.03363483|-2521.87499|8.9454|47.0|7.3279|7.3279
18d_a25|0.0|0|0|0.0|6.842683282|0|0|-0.0029605|-0.031867489|2.029297802|-0.180590503|-0.070413428|10.31285314|0.016982601|0.0062422|-0.055336237|-0.035684977|-0.061965108|-0.292727912|2|0.722349659|-0.03671629|0.029728702|0.937813705|-0.061527513|0.278576218|0.011158458|-46.31109519|8.39885106|70.58850837|46.80695276|-0.0281209329999999|-43.24308488|6.3217245360000005|-1.602893201|68.15463481|0.476833495|-1206.480411|0.24206301|18.11893325|0.911437354|182.1982146|27.92623037|1591.795131|883.4030667999999|1.0|1.0|1.0|1.0|3.57|27.0|-10.23|6.33|5.98|2.4|1.0|0.0|0.0|7.0|4.0|-6.21|-5.54|2.86e-06|0.0013599999999999|4.21|0.0|-0.07287|5.6512|4.56|-1806.812778|340.69|0.3986|664.72|0.41694|0.6823899999999999|-1806.514606|-0.14723|3.2353|0.03560672|-1806.582751|4.3658|232.0|6.6345|6.6345
17_a15|0.0|0|0|0.0|0.0|0|0|-0.0071363569999999|-0.033968088|0.0|-0.442454151|-0.032903349|10.9544604|-0.0141953639999999|0.0032452509999999|-0.052628162|-0.170008473|-0.263401148|-0.461493931|2|0.769376831|0.001376853|-0.023779626|0.880459235|-0.052869016|0.605886597|0.012890299|-40.50376584|9.875456386|34.35335309|91.58201681|-0.027065991|-46.86345493|7.56573889|-1.596893495|77.82445248|0.474165158|-1223.4046460000002|0.346792631|15.15194163|0.90173781|265.6831633|31.74439379|1872.919233|822.8625688|1.0|1.0|1.0|1.0|3.99|24.0|-9.72|4.89|6.0|2.53|0.0|0.0|1.0|7.0|4.0|-5.58|-5.65|2.26e-06|0.00099|4.78|0.0|-0.03936|4.1461|6.89|-1413.857182|326.22|0.7247|663.81|0.68787|0.7045100000000001|-1413.559128|-0.15573|5.1268|0.04051306|-1413.624817|7.1743|12.0|7.9208|7.9208
17g_a50|0.0|0|1|0.0|7.934155233999999|2|2|-0.002050512|-0.05611228|2.236579664|-0.13328325|-0.022378911|10.94501702|-0.1155555559999999|0.01245647|-0.090386911|-0.200725906|-0.323333765|-0.213708251|1|0.754575205|-0.10642733|-0.2126789369999999|0.920663175|-0.048170917|0.442201795|0.014550016|-32.14758511|9.710172008|10.60268439|52.94662161|-0.025918901|-31.48270383|6.48022912|-1.555134042|56.28102287|0.467997084|-1037.842058|0.250051612|15.28352231|0.879688945|166.8756987|23.06474408|1383.884645|829.3813984|0.0|1.0|1.0|0.0|3.66|20.0|-6.96|3.71|4.37|2.71|0.0|0.0|1.0|6.0|4.0|-6.28|-4.86|1.39e-05|0.0059|3.68|0.0|-0.0323|4.0458|3.22|-1335.946919|306.45|0.1795|559.45|0.6623600000000001|0.6623600000000001|-1335.631756|-0.16699|7.0584|0.02957267|-1335.693266|9.1706|246.0|6.6091|6.6091
13b_a6|0.0|1|0|0.0|7.412764017000001|1|1|-0.011206134|0.060593678|0.0|-0.6051312529999999|-0.104663349|10.95129557|-0.064811009|-0.00194781|0.100281317|-0.10896749|-0.180339002|-0.490758329|1|0.850080948|-0.029988734|-0.11338525|0.7757172059999999|-0.093125205|0.202093555|0.032036214|-61.06841733|21.00828557|154.7847961|147.0772097|-0.0406496879999999|-48.5571926|13.77653618|-2.032484418|87.39962829999999|0.408780634|-1332.835801|0.2427663219999999|15.37022155|0.69141956|159.1980937|35.20276076|1760.1380379999998|627.4287311|1.0|1.0|1.0|2.0|2.85|23.0|-9.01|4.98|4.32|1.29|0.0|0.0|1.0|5.0|5.0|-6.1|-4.99|1.02e-05|0.00417|3.8|0.0|-0.0525799999999999|4.8494|4.04|-1350.061187|341.35|0.7846|574.07|0.58026|0.7006600000000001|-1349.837661|-0.14898|10.8032|0.02920955|-1349.898848|13.5746|174.0|6.7595|6.7595
12aj_a36|0.0|1|0|0.0|7.412764017000001|2|2|-0.00706023|0.064171987|0.0|-0.402433117|-0.103202936|10.95354213|-0.042227364|0.003962098|0.1087087|-0.104118159|-0.1763783589999999|-0.43462267|1|0.90414347|0.091113865|-0.072770961|0.8269863129999999|-0.073002742|0.251263868|0.018305468|-46.79363201|11.73352271|82.34300699|110.89910559999998|-0.0368515929999999|-42.23511741|7.521007149|-1.953134451|76.5855549|0.47532973|-1251.929069|0.22507266|15.35536375|0.905958957|144.26810480000003|30.48195872|1615.543812|662.0530478999999|1.0|0.0|1.0|2.0|0.0|17.0|-6.97|3.24|2.19|2.24|0.0|0.0|1.0|5.0|4.0|-6.55|-4.3|5.05e-05|0.02|3.04|0.0|-0.05275|5.2301|3.48|-1272.241135|344.24|0.5616|539.55|0.4112|0.70423|-1271.9998859999998|-0.14818|5.8554|0.03225532|-1272.060325|7.8393|17.0|7.7696|7.7696
12_a47|0.0|1|1|0.0|6.605297921|0|0|-0.005522244|0.001435849|1.555521837|-0.209845277|-0.018573056|10.95005729|0.0295267039999999|-0.004332024|0.003417588|-0.006318684|-0.015039637|-0.326846977|2|0.6505449670000001|0.055943216|0.050943962|0.7840710409999999|-0.084846808|0.266995634|0.018014416|-44.18983348|9.382250925|63.89392714|112.4599133|-0.034116917|-24.91541818|4.886454935|-1.1940921|61.09751253|0.4792593739999999|-621.9059029|0.319276179|13.52358352|0.920341815|166.28511369999998|26.10271529|913.5950352|335.1175012|1.0|1.0|1.0|2.0|1.67|21.0|-8.11|4.19|4.98|2.6|0.0|0.0|1.0|3.0|4.0|-5.94|-4.56|2.77e-05|0.00943|3.43|0.0|-0.0623|4.2907|3.01|-1488.064043|313.58|0.2306|400.09|0.66387|0.68557|-1487.974738|-0.1633|2.1019|0.03721125|-1488.024564|3.5884|6.0|8.2|8.2
3l_a32|0.0|1|1|0.0|7.773594467000001|0|1|-0.0054004|-0.039331295|2.259257465|-0.270019992|-0.09393062|10.31100268|-0.107818594|0.002942329|-0.068876714|-0.04980249|-0.087213805|-0.524711546|0|0.820540279|-0.136589369|-0.184582641|0.8855584879999999|-0.069304303|0.270668623|0.012244965|-40.30321333|7.120934925|61.72183119|66.55229892|-0.028831823|-29.90181954|4.141107366|-1.326263838|58.10243176|0.453630671|-771.2752615|0.211763281|11.74082324|0.8302637909999999|123.148785|21.27134288|978.4817724|565.7000781|1.0|0.0|1.0|1.0|3.54|19.0|-7.5|7.34|6.17|2.64|0.0|0.0|1.0|3.0|3.0|-4.71|-6.01|9.7e-07|0.0003689999999999|5.51|0.0|-0.0529799999999999|3.5319|4.21|-1789.4501510000002|351.04|0.2876|468.81|0.70282|0.70282|-1789.242839|-0.14664|3.3955|0.02547484|-1789.298086|5.7721|12.0|7.9208|7.9208
