molecula|SddssS|NaaNH|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|RASA|FNSA3|FPSA3|PPSA3|RPSA|FNSA4|WNSA5|WPSA3|RPCS|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Area (grid)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|pIC50
11a_a31|0.0|1|0|2.856083711|0|7.773594467000001|1|1|0.610138462|0.0|5.733341277|-0.259732443|0|0.044949495|-0.087576474|0.0|-0.8792402579999999|-0.022093578|-0.1217573119999999|10.31170041|2|2|-0.017433557|-0.149933348|-0.1068420919999999|-0.563537536|0.861302755|0.8433024170000001|0.022073976|0.819138461|0|0.486754956|-0.151872243|0.041435152|20.91187076|0.513245044|-0.056833284|-41.01552988|10.55399384|71.03772901|97.23036756|97.560141|0.451795285|2288.9694010000003|245.6599349|1769.346573|-14.47606937|0.264745055|5.791411901|10.5643234|0.8241360790000001|133.6139513|-492.1863586|0.031626337|302.14325319999995|15.96146849|0.0|1.0|1.0|2.16|0.13|3.93|0.57|0.0|0.0|2.0|-4.81|23.0|6.0|0.0|2.42|-3.79|0.00506|0.000161|2.53|0.0|0.00731|-0.05074|3.8042|529.63|0.2797|407.76|0.69222|-1441.327731|0.2797|-0.15515|-0.20589|-1441.37897|6.7212
12l_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.60498366|0.0|5.351858133|-0.274237737|2|0.044036281|-0.102468864|0.0|-0.876151158|-0.00695299|0.154540315|10.31162828|1|1|-0.004395528|-0.300262845|-0.077457998|-0.640870513|0.613786308|0.830875659|-0.045411075|0.593245722|0|0.834279405|-0.0905026719999999|0.0154211289999999|10.78883933|0.165720595|-0.045581702|-53.74781658|7.548024079|1.697908189|88.64610824|74.10578426|0.462727396|3306.001879|583.6736326|2394.793539|-22.31041443|0.178184921|9.258542907|17.23248653|0.861252543|124.6606826|-1182.451965|0.016896687|696.6414817000001|11.82116027|0.0|1.0|0.0|0.0|0.17|4.43|2.82|2.0|0.0|1.0|-6.7|34.0|8.0|0.0|3.42|-5.92|9.63e-05|1.2e-06|5.05|0.0|3.19e-05|-0.0545299999999999|5.0454|729.17|0.2294|574.72|0.39486|-1987.782294|0.1574|-0.14944|-0.20397|-1987.848331|7.2154
13_a10|0.0|0|0|0.0|1|7.535296702|1|1|1.343837907|2.091672336|5.4161004020000005|-0.055497169|2|0.038726287|-0.093280469|1.794073077|-0.259721373|0.00384732|-0.002128014|10.9296146|1|1|0.003791547|-0.154121136|-0.017015286|-0.345108701|0.761923976|0.78472614|0.00746881|0.736686715|1|0.818027691|-0.094726989|0.0122005|6.168030793|0.181972309|-0.030119651|-21.04167667|3.118282386|0.0|51.21590298|54.05778885|0.449563457|2261.82488|413.5584641|1630.880014|-7.698174391|0.285505651|5.069505473|9.209972585|0.816739845|144.338975|-315.62515|0.018979132|422.96706330000006|9.595006108|1.0|0.0|1.0|2.58|0.15|3.52|1.88|0.0|0.0|1.0|-3.76|25.0|4.0|1.0|2.91|-4.1|0.0576|7.87e-05|2.76|0.0|8.170000000000001e-05|-0.05022|5.8308|550.83|0.3905|376.77|0.34881|-1065.68351|0.1514|-0.15937|-0.20959|-1065.732389|6.7959
14a_a25|0.0|0|0|0.0|1|6.842683282|0|0|1.420015394|1.667057351|4.727387819|-0.05112778|2|0.038167849|0.051906412|1.975771616|-0.255585831|0.006085806|-0.046802062|10.93106303|1|1|0.006158124|0.085350921|-0.0469914379999999|-0.365062041|0.6716839040000001|0.7385460309999999|-0.085643386|0.653818362|1|0.850426305|-0.069657015|0.012870836|8.449104086|0.149573695|-0.033365179|-36.28756839|5.546443318|58.18995584|63.96772039|54.17569023|0.492236681|2844.993903|558.2652611000001|2142.5112510000004|-14.37809314|0.193247006|7.39139255|14.55676745|0.969421506|126.8576588|-762.0389362000001|0.01323706|712.1606951|8.689513304|1.0|1.0|1.0|3.06|0.08|4.44|2.47|2.0|0.0|1.0|-5.39|32.0|4.0|0.0|3.81|-5.29|0.0016899999999999|5.13e-06|4.16|0.0|1.08e-07|-0.05083|5.3631|689.55|0.3529|548.29|0.42461|-1352.024616|0.1756|-0.16347|-0.2143|-1352.086073|6684.0
11d_a5|0.0|1|0|2.9590700880000003|0|6.605297921|0|0|1.388848584|0.0|4.59511985|0.001099755|2|0.0228184279999999|-0.125546291|0.0|-0.185566552|0.008307337|-0.138265707|10.94877952|1|1|0.008809179|-0.202307745|-0.12451554|-0.22897714|0.786587307|0.783891527|-0.018747485|0.755793189|0|0.87090286|-0.063028408|0.012828514|8.151092424|0.12909714|-0.029333375|-34.21147402|5.179111638|0.0|65.35645739|48.19862797|0.49396568|2540.78984|553.3617954|900.3825317|-11.84243331|0.287694578|8.920296087|17.62784804|0.976150552|182.7978704|-615.8065323|0.018119737|631.9206508|11.51307533|1.0|1.0|1.0|3.37|0.17|4.41|1.42|1.0|0.0|1.0|-4.14|29.0|5.0|1.0|3.28|-4.29|0.0278|5.14e-05|3.07|0.0|8.909999999999999e-07|-0.03767|4.4175|682.09|507.0|594.45|0.66686|-1238.855022|0.2068|-0.16762|-0.20529|-1238.914819|7.8239
13b_a6|0.0|1|0|3.423777636|0|7.412764017000001|1|1|1.430640379|0.0|5.351858133|-0.0265090529999999|1|0.042739018|0.060593678|0.0|-0.6051312529999999|-0.00460563|-0.104663349|10.95129557|1|1|-0.00194781|0.100281317|-0.10896749|-0.490758329|0.850080948|0.7788169070000001|-0.029988734|0.8013954109999999|0|0.7757172059999999|-0.093125205|0.032036214|21.00828557|0.2242827939999999|-0.0406496879999999|-48.5571926|13.77653618|554.4007331|87.39962829999999|82.07670290000002|0.408780634|2821.72831|508.6895893|2587.000662|-17.48058934|0.2427663219999999|9.087172635|15.37022155|0.69141956|159.1980937|-874.0294667999999|0.0203627189999999|627.4287311|13.35319491|1.0|1.0|1.0|2.85|0.12|4.98|1.29|2.0|0.0|1.0|-5.51|31.0|5.0|0.0|3.45|-4.99|0.0012699999999999|1.02e-05|3.8|0.0|4e-07|-0.0525799999999999|4.8494|694.33|0.7846|574.07|0.58026|-1349.837661|0.2461|-0.14898|-0.20156|-1349.898848|6.7595
12k_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.604984231|0.0|5.351858133|-0.029595542|2|0.042739018|-0.13882907|0.0|-0.44562817|0.0043261129999999|0.067265077|10.31162844|1|1|0.0053380919999999|-0.240110949|-0.089279071|-0.4186541|0.838579475|0.830875659|0.001281277|0.7933543279999999|0|0.815083558|-0.079026221|0.024177669|16.01752015|0.184916442|-0.035199567|-43.09444587|10.61148425|0.0|80.03127603|68.37178540000001|0.47195436|2920.279667|539.9866061|2277.687222|-15.44895229|0.291863802|8.416930701|15.93977881|0.893775698|193.3575303|-818.7944715|0.0226150579999999|704.0353382000001|14.9823028|0.0|1.0|1.0|0.0|0.17|3.89|2.51|2.0|0.0|1.0|-5.44|31.0|5.0|0.0|2.57|-4.93|0.00154|1.19e-05|3.84|0.0|7.87e-05|-0.05055|5.1958|710.82|0.2257|564.62|0.39318|-1690.031103|0.1512|-0.14743|-0.19798|-1690.094082|7.6144
12av_a36|0.0|1|0|3.4520047430000003|0|7.412764017000001|2|2|1.297042752|0.0|5.351858133|-0.081537769|2|0.04250591|0.06882889|0.0|-0.605432791|-0.00233752|-0.021036176|10.96037173|1|1|-0.000472698|0.1168328169999999|-0.126068378|-0.507136551|0.859938421|0.8076780109999999|-0.018133027|0.817582774|0|0.752447733|-0.082283524|0.021666882|15.09249582|0.247552267|-0.035197712|-51.2347934|10.51297704|124.9387725|91.5101903|72.40871507|0.491188387|3011.024457|524.1323793|2354.591519|-17.07826447|0.328083083|8.975655204|17.64042914|0.965363947|228.5327731|-973.4610746|0.025779468|757.7532208|17.95719936|0.0|0.0|0.0|0.0|0.17|2.38|1.49|1.0|0.0|1.0|-3.54|33.0|5.0|0.0|1.47|-3.64|128.0|0.000227|1.85|0.0|5.18e-05|-0.05307|4.8408|733.21|0.6698|588.31|0.43212|-1440.67411|0.0027|-0.14122|-0.19429|-1440.738332|7.4089
12c_a31|0.0|1|0|3.387641566|0|7.765993078999999|1|1|0.6101358029999999|0.0|5.733341277|-0.055520387|0|0.040982906|-0.030192572|0.0|-0.690412101|-0.003618466|-0.094991098|10.311698300000002|2|2|-0.000813398|-0.048694677|-0.138799714|-0.54466023|0.8083148840000001|0.842823186|0.066071056|0.770283733|0|0.665463503|-0.104643824|0.030543026|19.38414321|0.334536497|-0.036326291|-52.25551342|12.30215386|553.8695417|97.28775086|85.79638585|0.448512808|2592.4503010000003|422.3366652|1894.297124|-14.63154376|0.3182913|8.091269314|14.67172662|0.813278739|202.0036947|-731.5771879|0.023556702|583.9691392000001|14.95027019|1.0|1.0|1.0|3.1|0.35|5.64|1.08|2.0|0.0|1.0|-5.23|28.0|5.0|0.0|3.32|-4.16|0.00233|6.94e-05|3.1|0.0|2.31e-05|-0.0338399999999999|3.8328|679.71|0.2625|578.69|0.7007399999999999|-1617.888981|0.2625|-0.15904|-0.19288|-1617.951882|6.4202
11f_a5|0.0|1|0|2.967866825|0|6.605297921|1|1|1.370797007|0.0|4.59511985|0.022233547|3|0.021060606|-0.083432989|0.0|-0.227966183|0.00722997|-0.178881726|10.94877949|1|1|0.008309782|-0.1323098|-0.128153787|-0.230681941|0.785419245|0.756843253|-0.008110526|0.750555185|0|0.847356138|-0.068361657|0.0221464629999999|15.41338844|0.152643862|-0.022252743|-36.14073513|10.72733576|13.29510896|73.05195434|62.99140465|0.463183664|2853.401015|589.7388387999999|1125.122028|-10.77881574|0.489052404|9.683662007|18.03905985|0.8628345190000001|340.3683339|-614.3924972|0.030351311|753.9168511|21.12375879|1.0|1.0|1.0|2.87|0.24|4.61|1.03|1.0|0.0|1.0|-3.95|32.0|6.0|1.0|2.95|-4.26|0.0477|5.479999999999999e-05|2.7|0.0|9.06e-07|-0.03862|4.4523|729.96|0.5834|579.1|0.6593600000000001|-1391.444853|0.1834|-0.1691|-0.20772|-1391.50739|7.9208
14a_a10|0.0|0|0|0.0|1|7.535296702|2|2|1.3438495730000002|2.156210368|5.4161004020000005|0.0437538159999999|3|0.035660377|0.027446544|2.070512208|-0.147427016|0.011509975|-0.045759336|10.92970798|1|1|0.012272222|0.042968756|-0.220250238|-0.168193178|0.76857495|0.7348225290000001|-0.011977878|0.740051323|1|0.911549451|-0.044416218|0.0135610389999999|9.840503082|0.088450549|-0.018970051|-37.18086445|7.140714112|134.15514270000003|67.14248252|42.07091945|0.469029865|3075.550631|661.4615097|1774.8853399999998|-9.988888957|0.457984122|10.0292632|18.88856367|0.8833450959999999|332.3339934|-669.2555601|0.0219172279999999|1003.968547|15.9041322|1.0|1.0|1.0|4.4|0.39|4.16|1.94|1.0|0.0|1.0|-4.21|35.0|6.0|1.0|3.43|-4.8|0.0288|1.58e-05|3.29|0.0|3.07e-06|-46.0|5.5808|800.01|0.2835|645.26|0.34245|-1489.42155|0.0005|0.2422099999999999|0.19621|-1489.487381|7.1308
40_a47|0.0|0|1|0.0|1|6.823286122000001|0|0|1.420389717|1.715145925|4.727387819|-0.0934645509999999|3|0.041396825|-0.056839794|1.566109469|-0.179798097|0.002212256|-0.038143308|10.98214138|1|1|0.003634698|-0.130213023|-0.147591116|-0.2636225|0.63155995|0.836942961|0.018609507|0.607650682|1|0.812233678|-0.060416547|0.02047837|11.04737121|0.1877663219999999|-0.027052191|-24.22401965|5.959674083|0.0|60.97203959|43.64000551|0.4574577489999999|2313.85811|438.171933|868.5333132000001|-7.872806386000001|0.426343267|7.042383142|12.98034048|0.843174422|229.9974239|-314.91225539999994|0.029785575|388.178924|16.06828586|1.0|1.0|1.0|2.91|0.11|2.96|1.52|0.0|0.0|1.0|-3.26|25.0|5.0|1.0|2.72|-3.72|183.0|0.000192|2.19|0.0|2.79e-05|-0.05086|4.0176|571.5|271.0|444.47|0.67615|-1122.9968210000002|0.2612|-0.15231|-0.20317|-1123.049869|8.4
13k_a6|0.0|1|0|3.423411754|0|7.412764017000001|1|1|1.42421381|0.0|5.351858133|-0.132667824|1|0.04162037|0.051404465|0.0|-0.8554679409999999|-0.009326562|0.0809333929999999|10.95129637|1|1|-0.006280295|0.08217847|-0.045794891|-0.5627624379999999|0.8694295409999999|0.7908110340000001|0.1373649019999999|0.827754203|0|0.641032542|-0.11937574|0.0296987679999999|20.6185734|0.3589674579999999|-0.045420752|-61.29890279999999|14.31458589|113.5526088|100.7779947|103.4959988|0.426031882|2966.890288|445.0412356000001|3332.974951|-21.89246528|0.202868306|8.370126134|14.58291125|0.7422570490000001|140.8427117|-1225.9780560000002|0.017981419|741.5222707|12.48372364|1.0|1.0|1.0|2.8|0.16|4.55|1.39|1.0|0.0|1.0|-5.49|33.0|5.0|0.0|3.18|-4.77|0.00144|1.7100000000000002e-05|3.39|0.0|5.7e-07|-0.04851|5112.0|731.25|0.3971|577.68|0.4547|-1465.557346|0.0137|-0.14589|-0.1944|-1465.621288|7.3372
