molecula|SddssS|NaaNH|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|RASA|FNSA3|FPSA3|PPSA3|RPSA|FNSA4|WNSA5|WPSA3|RPCS|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Area (grid)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|pIC50
17_a12|0.0|0|0|0.0|0|6.823286122000001|1|1|0.610029543|0.0|4.727387819|-0.058347964|3|0.035816993|-0.210594127|0.0|-0.38018419|-0.002523977|-0.072956553|10.31157659|1|1|-0.000651751|-0.3748198379999999|-0.113649923|-0.559137213|0.918713011|0.8198617429999999|-0.043392747|0.859088647|0|0.858119365|-0.069570363|0.011226177|5.849860887999999|0.141880635|-0.035198739|-26.12444199|3.048310481|0.0|57.97616997|42.10235809|0.466056241|2246.161353|447.1583691000001|1470.257187|-9.557722681|0.213298781|5.669161963|10.61752641|0.8728564259999999|111.1480977|-391.8666299|0.015049295|431.5987143|7.842053909|1.0|1.0|1.0|2.97|0.17|4.51|2.47|0.0|0.0|1.0|-4.51|24.0|4.0|1.0|3.14|-4.24|0.0103|5.7100000000000006e-05|3.19|0.0|2.32e-05|-0.06322|4.4014|560.09|0.2213|419.49|0.39539|-1366.638303|148.0|-0.15459|-0.21781|-1366.689546|7.7959
12ax_a36|0.0|1|0|3.429529478|0|7.412764017000001|2|2|1.280791885|0.0|5.351858133|-0.040458296|2|0.043383838|0.075802407|0.0|-0.414810497|-0.001012333|-0.057017299|10.958822|1|1|-0.00097037|0.128253871|-0.101451485|-0.440372791|0.884841888|0.836170906|-0.0394369539999999|0.771220556|0|0.846837721|-0.073739612|0.019128091|12.79462904|0.153162279|-0.038813619|-48.23849712|8.558226304|1.236876307|84.58859134|62.11847297|0.488501696|2926.929456|566.4430628|2471.295987|-17.36585896|0.235146956|7.563197245|14.78635841|0.955040697|157.28794140000002|-868.2929481000001|0.018645135|661.6709012|12.47158322|0.0|1.0|0.0|0.0|0.14|3.99|2.99|2.0|0.0|1.0|-5.08|31.0|4.0|1.0|2.82|-5.18|0.00372|6.55e-06|3.93|0.0|7.83e-06|-0.05596|5.2372|699.67|0.5236|552.0|0.39564|-2151.910753|0.4167|-0.15728|-0.21324|-2151.971761|7.9208
11b_a5|0.0|1|0|2.943854668|0|6.605297921|0|0|1.277648917|0.0|4.59511985|0.008093965|2|0.023988604|-0.067519041|0.0|-0.1833048739999999|0.006121601|-0.118167947|10.94877958|1|1|0.005685558|-0.108457009|-0.0109928619999999|-0.252164213|0.735954089|0.805760343|-0.0497097529999999|0.682032125|0|0.8737310509999999|-0.07633373|0.016373566|9.829471091|0.126268949|-0.029332646|-29.07084703|5.900883275|1.880682804|62.16286481|55.65456427|0.456131351|2434.505303|524.5231302|913.0178976|-10.5712171|0.33175528|8.936258446|16.43091298|0.83867925|199.1611925|-465.13355250000006|0.0228838029999999|504.9898148|13.73773299|1.0|1.0|1.0|2.55|0.1|5.38|2.01|2.0|0.0|1.0|-4.65|27.0|4.0|1.0|3.68|-4.69|0.00853|2.04e-05|3.62|0.0|2.68e-07|-0.0418399999999999|4.4995|635.55|0.5806|511.28|0.61027|-1564.56504|0.2013|-0.17107|-0.21291|-1564.621301|7.7212
17b_a6|0.0|1|0|3.375166525|0|7.412764017000001|1|1|1.425925343|0.0|5.351858133|-0.0265090529999999|1|0.042739018|0.139594234|0.0|-0.6869226490000001|-0.00460563|-0.0385646|10.949638|1|1|-0.00194781|0.231025646|-0.10896749|-0.563310199|0.850080948|0.7788169070000001|0.002947625|0.8013954109999999|0|0.753949098|-0.095450984|0.03122461|20.48861696|0.246050902|-0.041494349|-47.0150166|13.44399246|557.7093661|84.71888279|83.12058064|0.4548818979999999|2816.0632920000003|494.7179214|2207.972178|-17.86570631|0.229332826|8.974770742|16.46390151|0.834464855|150.48105900000002|-893.2853154999999|0.019915748|627.4287311|13.06809384|1.0|1.0|1.0|2.89|0.12|4.98|1.7|2.0|0.0|1.0|-5.81|31.0|5.0|0.0|3.6|-5.17|0.000637|6.69e-06|4.09|0.0|4e-07|-0.05736|3.5444|690.98|0.3949|575.2|0.69615|-1349.830814|0.0033|-0.12545|-0.18281|-1349.892156|6.8153
13a_a5|0.0|1|0|2.931642415|0|6.605297921|0|0|1.393002748|0.0|4.59511985|-0.033436214|2|0.023989899|-0.007871499|0.0|-0.328417593|0.002355511|-0.139517787|10.94530369|1|1|0.003196482|-0.012798693|-0.035005746|-0.367284642|0.746303189|0.8045357209999999|-0.048584084|0.720100768|0|0.7667501609999999|-0.08903048|0.016739606|10.77696869|0.233249839|-0.0279752339999999|-34.78546088|6.938219155|39.93934134|72.13276165|68.09484712|0.460877309|2657.14588|493.6342317|1314.232685|-11.59515363|0.401208461|8.571729592999999|15.89940424|0.854865353|258.29825730000005|-591.3528349999999|0.02811638|620.5697596|18.10134317|1.0|1.0|1.0|2.46|0.13|4.39|0.95|2.0|0.0|1.0|-3.77|30.0|5.0|0.0|2.71|-3.74|0.0675|0.000184|2.19|0.0|5.02e-07|-0.05534|4.6285|688.18|0.5953|567.51|0.41806|-1312.907813|0.1992|-0.17364|-0.22898|-1312.968936|7041.0
IN1233_a59|0.0|1|0|3.463603867|0|6.842683282|0|0|1.400923654|0.0|4.727387819|-0.12050413|2|0.0396875|0.163548857|1.983673343|-0.5039851160000001|-0.005614194|-0.011236836|10.93301779|1|1|-0.004071701|0.268927191|0.001996439|-0.597167441|0.809917509|0.74801464|-0.107446431|0.778639593|1|0.7613246490000001|-0.092761756|0.010831674|7.208329477|0.238675351|-0.035929742|-42.16752524|4.79704394|83.1557517|72.32484741|68.94000009|0.483639625|2809.840422|506.6510632|1822.396842|-15.91227368|0.1892041019999999|8.011984402000001|15.51626497|0.936631949|125.91272279999998|-843.3505049|0.0134658889999999|712.1606951|8.961363774|1.0|1.0|1.0|2.76|0.08|5.54|2.06|2.0|0.0|0.0|-5.59|32.0|4.0|0.0|3.78|-5.16|0.00107|6.91e-06|3.85|0.0|4.17e-08|-0.05605|5.2194|703.47|0.2623|531.14|0.51285|-1352.073755|0.2011|-0.14684|-0.20289|-1352.135303|7.4685
47p_a18|0.0|0|0|0.0|0|7.03438793|1|1|1.25117677|0.0|4.844187086|-0.04760181|0|0.037575758|0.025217016|0.0|-0.3775970529999999|0.00235332|-0.015960677|10.94701988|0|0|0.003537135|0.037961877|-0.1736074389999999|-0.441700685|0.72025564|0.726294118|0.030970815|0.710266593|0|0.832954548|-0.06909945|0.007989903|5.913843751|0.1670454519999999|-0.030813794|-45.24146169|4.377217987|48.48855261|69.19354871|57.05881288|0.488811071|2933.069245|616.5234972999999|1367.4309119999998|-16.88114242|0.181540558|9.923659881|19.41290064|0.956223901|134.3699001|-1131.036542|0.01090303|1011.163774|8.070036862|1.0|0.0|1.0|0.0|0.28|3.65|3.13|3.0|0.0|1.0|-5.67|35.0|3.0|1.0|2.9|-5.27|0.000998|5.34e-06|4.35|0.0|4.38e-07|-0.05628|3.2036|795.43|595.0|732.84|0.6937800000000001|-1493.338659|595.0|-0.13118|-0.18746|-1493.407248|7.1938
4m_a46|0.0|0|0|0.0|1|7.825245291|1|1|1.134637002|2.12888511|5.587248657999999|0.051308728|1|0.041865079|-0.302054595|0.0|-0.0329557579999999|0.011122528|-0.142061192|10.94319657|1|1|0.010359417|-0.487230027|-0.017992096|-0.098201489|0.615482006|0.747676221|-0.099662698|0.626578283|0|0.948973877|-0.067320375|0.010905551|5.74716122|0.051026123|-0.0224155999999999|-18.67596877|3.028720082|35.77391986|41.88525631|41.22460182|0.463006576|2133.331634|500.1036387|1639.260563|-6.225322922999999|0.266763619|5.329061873000001|9.923886653|0.8622201970000001|140.5828543|-280.1395315|0.012232753|486.9589609|6.446588969|0.0|1.0|1.0|2.9|0.29|4.25|2.5|1.0|0.0|1.0|-4.52|25.0|3.0|1.0|3.59|-4.57|0.00981|2.68e-05|3.69|0.0|4.31e-05|-0.04808|6.0419|558.63|0.2465|468.63|0.38389|-1030.929791|0.1557|-0.18308|-0.23116|-1030.980844|5.8901
12s_a36|0.0|1|0|3.486136149|0|7.412764017000001|2|2|1.297044029|0.0|5.351858133|-0.045035034|2|0.042804233|0.037454164|0.0|-0.4023692|0.002951176|0.0056370119999999|10.95352614|1|1|0.003962098|0.063448144|-0.104118159|-0.434472457|0.90414347|0.8060798779999999|-0.118671653|0.856274847|0|0.8303378090000001|-0.07216709|0.019457471|12.55883918|0.169662191|-0.035868226|-41.6829437|8.106112169|10.23927133|76.34126108|59.13914165|0.4604765839999999|2710.355028|535.942162|2294.468358|-14.94294208|0.245801617|7.545963801|13.98635088|0.853487672|158.6528381|-791.9759303|0.018222417|662.0530478999999|11.76167282|0.0|0.0|0.0|0.0|0.17|3.24|2.24|1.0|0.0|1.0|-4.16|30.0|4.0|1.0|2.14|-4.3|0.0274|5.05e-05|3.04|0.0|4.270000000000001e-05|-0.04908|3.8751|683.24|0.4501|523.72|0.6843600000000001|-1272.00109|0.0002|-0.15559|-0.20467|-1272.061111|8.0458
9_a4|0.0|0|0|0.0|1|7.535296702|1|1|1.300485838|2.130445484|5.4161004020000005|0.016639331|2|0.040449735|-0.019160308|2.137757657|-0.064266379|0.010709527|-0.091393763|10.92992723|1|1|0.009731833|-0.030976753|-0.0475186259999999|-0.172904817|0.625717993|0.801082857|-0.151437311|0.58669472|1|0.937102792|-0.052625548|0.009037784|4.918284148|0.062897208|-0.025885299|-20.60179129|2.676487872|45.21212204|43.71760622|33.55665428|0.43745176|2359.945586|509.9632679|2012.840082|-7.665782805|0.207109566|5.744374392999999|10.21134541|0.777625327|112.7072422|-329.6286606|0.010768243|489.7528555|5.859985199|0.0|1.0|1.0|3.37|0.19|5.14|3.15|2.0|0.0|1.0|-4.76|26.0|3.0|1.0|4.17|-5.15|0.0062299999999999|7.06e-06|4.14|0.0|2.49e-06|-0.05256|4.7284|586.24|0.1217|430.12|0.5182100000000001|-1489.36688|0.0584|-0.16948|-0.22204|-1489.41872|7.3188
8b_a32|0.0|1|1|3.419952523|0|7.765993078999999|0|0|0.609420757|0.0|5.733341277|-0.057200812|0|0.03995614|-0.008128765|2.123714284|-0.458752924|-0.003484915|-0.024375676|10.31100269|3|3|-0.001662219|-0.014634534|-0.0852122769999999|-0.577864293|0.788133615|0.845443342|0.060636167|0.7507116140000001|1|0.788218098|-0.0850068559999999|0.016711528|10.49093175|0.211781902|-0.03079624|-42.94454179|6.585851946|68.21751748|81.73293254|63.85535908|0.458155153|2573.703546|494.8166492|2275.886421|-12.13650094|0.330850796|8.10555784|14.95918599|0.845546757|207.6969342|-558.2790432999999|0.021225152|557.1050635|13.32443194|1.0|1.0|1.0|3.04|0.26|6.49|1.1|1.0|1.0|1.0|-5.83|27.0|4.0|0.0|3.61|-4.39|0.000583|4.06e-05|3.22|0.0|8.86e-06|-0.05404|3.5442|671.54|0.2943|558.16|0.70285|-1880.539698|0.2943|-0.14717|-0.20121|-1880.602014|7.9208
19j_a38|0.0|1|0|3.235947106|0|7.412764017000001|2|2|1.29704352|0.0|5.351858133|-0.04575843|2|0.04391253|0.105682345|0.0|-0.438688445|-0.004442319|0.003554228|10.95429182|1|1|-0.002443797|0.23209815|-0.09493054|-0.42133715|0.7163622890000001|0.846765471|-0.001131945|0.6885713729999999|0|0.8071763829999999|-0.0844479869999999|0.0250587|17.15233756|0.192823617|-0.038119963|-50.60340201|11.74054073|29.18585028|90.05233553|74.95583121|0.408533267|2969.234865|552.5012068|3109.238056|-17.86002424|0.285630155|7.506210369|12.69084117|0.6907121629999999|195.5099392|-910.8612362|0.023555355|640.025745|16.123318700000002|0.0|1.0|1.0|2.34|0.13|3.17|1.76|1.0|0.0|1.0|-4.35|32.0|5.0|0.0|2.44|-4.12|19.0|7.55e-05|2.5|0.0|5.14e-05|-0.06447|6.0361|686.26|354.0|533.97|0.30419|-1424.183388|0.2625|-0.15182|-0.21629|-1424.24494|8.1146
13f_a6|0.0|1|0|3.440154557|0|6.842683282|0|0|1.429020649|0.0|4.727387819|-0.008507023|2|45.0|0.04505613|1.651047524|-0.381170169|-0.003356527|-0.071478789|10.95053349|1|1|-0.001446486|0.079490516|-0.126749697|-0.466314952|0.841211811|0.77199166|-0.028317736|0.790249345|1|0.863222493|-0.073352505|0.018554018|12.46087045|0.136777507|-0.032802223|-41.92004677|8.368715213|0.0|75.61173794|61.72438096|0.401838426|2869.925064|579.7398537|3253.287533|-14.79531062|0.279288145|9.050440345|15.13042752|0.6717890999999999|187.5697972|-754.5608419|0.0196449239999999|676.2770877|13.19352214|1.0|1.0|1.0|2.21|0.08|5.01|0.92|1.0|0.0|0.0|-5.11|32.0|5.0|0.0|3.19|-4.78|0.00323|1.65e-05|3.27|0.0|2.75e-08|-0.07786|4.8413|711.29|901.0|568.41|0.49643|-1347.018087|0.0048|-0.12805|-0.2059099999999999|-1347.0794119999998|7.3768
14w_a23|0.0|0|1|0.0|2|7.423568444|0|0|1.197963556|3.132012648|5.351858133|-0.109136569|2|0.046678487|0.045196333|0.6813799420000001|-0.330575965|0.003379755|-0.042151195|10.31321817|2|2|0.003906274|0.126238077|-0.073958723|-0.427696371|0.5788469970000001|0.802520527|0.059273664|0.558482531|1|0.7880718659999999|-0.070714528|0.022440155|14.84036772|0.211928134|-0.035779855|-38.70975831|9.814393755|90.15900589|72.23920014|61.60607046|0.4972095239999999|3071.908367|521.1762769999999|2283.383402|-15.648625699999998|0.256548212|7.833745658|15.58053709|0.988900044|169.6632599|-735.4854078|0.020725002|597.2903597999999|13.70608418|0.0|1.0|0.0|3.35|0.05|4.2|3.78|2.0|0.0|1.0|-5.68|32.0|6.0|0.0|4.05|-5.27|0.0009369999999999|5.41e-06|3.78|0.0|5.23e-06|-0.0798|3.6632|676.92|0.3855|535.54|0.6219399999999999|-1828.161957|0.3855|-0.14844|-0.22824|-1828.222578|8.6737
12_a47|0.0|1|1|2.903215905|0|6.605297921|0|0|1.304330736|0.0|4.59511985|-0.078935336|2|0.036632997|0.001435849|1.555521837|-0.209845277|-0.0047488359999999|-0.018573056|10.95005729|1|1|-0.004332024|0.003417588|-0.006318684|-0.326846977|0.6505449670000001|0.8288334490000001|0.055943216|0.618808977|1|0.7840710409999999|-0.084846808|0.018014416|9.382250925|0.2159289589999999|-0.034116917|-24.91541818|4.886454935|0.0|61.09751253|53.5720844|0.4792593739999999|2266.78114|408.3591283|702.3796319|-9.25429818|0.319276179|7.042279354|13.52358352|0.920341815|166.28511369999998|-323.9004363|0.025457205|335.1175012|13.25859692|1.0|0.0|1.0|1.67|0.0|4.19|2.6|0.0|0.0|1.0|-4.51|24.0|4.0|1.0|3.37|-4.56|0.0106|2.77e-05|3.43|0.0|2.61e-06|-0.0623|4.2907|537.79|0.2306|400.09|0.66387|-1487.974738|0.2241|-0.1633|-0.2256|-1488.024564|8.2
9_a15|0.0|0|0|0.0|0|0.0|0|0|1.419941378|0.0|0.0|-0.042227775|1|0.04022792|0.096418279|0.0|-0.506073953|1.7800000000000002e-05|0.05688176|10.95880687|0|0|0.003160815|0.140072812|-0.203104439|-0.344978312|0.85357243|0.7059441040000001|0.088615068|0.8105478740000001|0|0.846156316|-0.073701648|0.032464905|18.10574464|0.153843684|-0.028575549|-36.29225274|10.09761131|54.69975317|85.14415759|59.20930631|0.4517825079999999|2392.3164920000004|471.903131|1689.926339|-8.88789863|0.48742253|5.485176331|10.00547485|0.8240935659999999|271.83655510000006|-435.5070329|0.03598612|532.0914339999999|20.06953345|1.0|1.0|1.0|3.37|0.19|3.9|1.96|2.0|0.0|1.0|-5.25|27.0|5.0|1.0|3.69|-4.81|0.00206|1.53e-05|4.24|0.0|9.86e-06|-0.0258899999999999|4.3447|588.55|0.2693|507.33|0.6512399999999999|-1223.463757|0.0115|-0.1565099999999999|-0.1824|-1223.522216|6.9706
27b_a34|0.0|0|0|0.0|1|7.412764017000001|1|1|1.4335271040000002|2.013418486|5.351858133|-0.016803292|1|0.042739018|-0.106245942|0.0|-0.549928192|-0.001438963|-0.029622037|10.95430634|1|1|0.001228116|-0.175834895|-0.194619338|-0.463926296|0.820914556|0.7722228729999999|0.00102838|0.770240631|0|0.783431788|-0.08757938|0.031021066|20.42417736|0.2165682119999999|-0.037292511|-47.54648562|13.44721755|540.9533124|87.24055613|78.08618045|0.4072752529999999|2835.31543|515.8091561000001|2431.595232|-16.16580511|0.287687241|9.124440695|15.39406063|0.687123753|189.4124225|-808.2902556|0.022820627|627.4287311|15.02503259|1.0|1.0|1.0|3.66|0.12|3.94|1.83|2.0|0.0|1.0|-5.23|31.0|5.0|0.0|3.46|-4.96|0.00243|1.1e-05|3.75|0.0|2.67e-06|-0.04121|4.8168|691.97|0.3621|577.39|0.47412|-1349.811401|0.0252|-0.1652799999999999|-0.20649|-1349.873325|6.1871
19b_a38|0.0|1|0|3.26554965|0|7.412764017000001|2|2|1.297044256|0.0|5.351858133|-0.115864198|2|0.044392765|0.013765516|0.0|-0.467227005|-0.006877664|-0.1381849369999999|10.96052467|1|1|-0.004358975|0.035216067|-0.098027247|-0.443325632|0.653741315|0.8295290000000001|0.019437461|0.632625562|0|0.7293105670000001|-0.086013549|0.0224393089999999|13.92699891|0.270689433|-0.041606241|-44.51968852|8.643817972|0.0|84.49751102|67.31146923|0.478948837|2897.652112|452.6479704|2436.66785|-16.02708787|0.240363041|7.159317935|13.74014387|0.91919733|149.181772|-801.3543933999999|0.020570275|593.6088758|12.76697997|0.0|1.0|0.0|2.37|0.14|3.55|2.78|1.0|0.0|1.0|-4.25|31.0|5.0|0.0|2.94|-4.33|0.0238|4.67e-05|2.88|0.0|3.19e-05|-0.05031|5363.0|646.81|0.4634|485.64|0.38952|-1431.18309|0.1945|-0.15414|-0.20445|-1431.2418630000002|7.9172
12t_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.60498454|0.0|5.351858133|-0.097216874|2|0.044197531|-0.0596036729999999|0.0|-0.411045472|-0.002544958|-0.0682882559999999|10.31162892|1|1|-0.001131023|-0.158448053|-0.0546637159999999|-0.464720444|0.609043558|0.83236194|-0.003937967|0.591758164|0|0.696413582|-0.090535776|0.018862708|12.26965165|0.303586418|-0.037159417|-42.80050261|7.981057356|0.0|78.8278828|71.1605835|0.445760296|2976.648597|452.99711|2479.787504|-15.72263361|0.254294117|7.957774504|14.358001500000002|0.804273481|165.4110479|-770.409047|0.020029588|616.2856203|13.02867425|0.0|1.0|0.0|0.0|0.14|4.67|3.58|2.0|0.0|1.0|-5.49|31.0|6.0|0.0|3.21|-5.17|0.00141|6.71e-06|4.07|0.0|3e-05|-0.05542|5.0693|677.85|0.2094|527.87|0.33647|-1774.0165149999998|0.1561|-0.15029|-0.20571|-1774.077985|8.0496
4_a3|0.0|0|0|0.0|0|6.823286122000001|0|0|0.60501714|0.0|4.727387819|-0.161259999|1|0.035345345|-0.08769805|1.882124381|-0.325334256|-0.008407895|0.057349653|10.31162267|1|1|-0.007022144|-0.208888686|0.053425134|-0.607238634|0.640351067|0.721302096|-0.028924747|0.628171026|1|0.74053397|-0.110345083|0.008006786|3.806447632|0.25946603|-0.039478171|-22.30593113|1.809595554|77.51574252|51.71950126|56.26480013|0.415852758|2142.972568|352.05186289999995|1548.626215|-8.922372453|0.133023729|5.05182773|8.648209506|0.711897153|63.23984222|-312.2830359|0.0100954959999999|347.9532383|4.799426464|1.0|0.0|1.0|2.6|0.0|5.3|3.07|1.0|0.0|1.0|-5.69|23.0|3.0|0.0|4.09|-5.09|0.00065|8.22e-06|4.3|0.0|9.48e-06|-0.0584299999999999|5.9341|504.29|0.1776|338.33|0.3809|-1355.192416|119.0|-0.14983|-0.20826|-1355.239905|5.9
19a_a38|0.0|1|0|3.3685352889999995|0|7.412764017000001|2|2|1.297044508|0.0|5.351858133|-0.082283951|2|0.043848238|0.054257043|0.0|-0.431265985|-0.002526241|-0.122385526|10.96083376|1|1|-0.000673716|0.116434494|-0.101303149|-0.4342819429999999|0.724208473|0.819222745|0.031696119|0.698414933|0|0.747152898|-0.08593151|0.022142322|13.23456869|0.252847102|-0.038988111|-38.69037594|7.910363161|0.0|77.20795279999999|64.59623135|0.465829126|2774.129458|446.57675660000007|2304.055966|-13.92853534|0.255203463|6.923156054|12.96056449|0.872060139|152.5362948|-696.4267669|0.020873781|595.8790650000001|12.47635608|1.0|1.0|1.0|2.56|0.14|3.13|2.4|1.0|0.0|1.0|-4.14|30.0|4.0|0.0|2.68|-4.17|29.0|6.77e-05|2.78|0.0|5.610000000000001e-05|-0.05271|3.9212|628.65|0.2668|466.55|0.6329100000000001|-1331.94466|0.0721|-0.15108|-0.20379|-1332.002093|8.0106
7_a47|0.0|0|0|0.0|0|0.0|0|0|1.304326965|0.0|0.0|-0.143650735|2|0.04030303|-0.128433676|1.303301032|-0.3939082339999999|-0.0091074509999999|-0.085507035|10.93671034|0|0|-0.00794321|-0.262805289|-0.021071408|-0.46105149|0.6995252890000001|0.817389583|-0.04402021|0.671549194|1|0.8473227320000001|-0.081264417|0.008915606|5.027768049|0.152677268|-0.036250645|-30.51603217|2.8353037860000003|0.0|61.47335819|50.85512286|0.405265781|2491.885862|477.8297898|1968.695833|-11.52827882|0.1830206469999999|6.485224033|10.90440708|0.681423344|103.2106353|-518.7725468|0.0130514639999999|526.6144628999999|7.36009799|1.0|0.0|1.0|3.14|0.09|5.63|3.69|2.0|0.0|1.0|-6.47|28.0|4.0|0.0|4.89|-6.06|0.000134|8.75e-07|5.49|0.0|1.3900000000000001e-07|-0.05297|3.7203|604.84|0.2144|455.81|0.69314|-1647.7863539999998|0.2144|-0.1544|-0.2073699999999999|-1647.841533|7.6
13c_a5|0.0|1|0|2.944180713|0|6.605297921|1|1|1.377702625|0.0|4.59511985|-0.0090268969999999|3|0.024822695|-0.010689086|0.0|-0.284610951|0.005288472|-0.098760742|10.94530327|1|1|0.006110714|-0.017427549|-0.092592608|-0.324868153|0.705487111|0.770478689|0.003545487|0.6775573359999999|0|0.80019672|-0.077308234|0.023143526|15.25960958|0.19980328|-0.025039414|-33.29709668|10.06137448|51.93687546|70.46156718|66.23254483|0.46617977|2793.480751|527.6071331999999|1235.709541|-10.8855893|0.448671765|8.492261628|15.90846721|0.873289814|295.8302846|-566.0506435|0.0302745689999999|656.208474|19.96143955|1.0|1.0|1.0|2.58|0.17|4.23|1.16|1.0|0.0|1.0|-3.55|31.0|5.0|0.0|2.68|-3.96|0.1169999999999999|0.000109|2.15|0.0|3.36e-06|-0.05615|4706.0|676.53|509.0|513.33|0.41594|-1351.008469|0.1666|-0.17324|-0.22939|-1351.067237|6.9101
15_a3|0.0|0|0|0.0|0|6.823286122000001|1|1|0.619596467|0.0|4.727387819|-0.092127078|3|0.045993266|-0.182934001|1.809035179|-0.289938297|-0.006419472|0.126641951|10.33806279|0|0|-0.004459728|-0.325227172|-0.022386155|-0.505519936|0.968837995|0.813015336|-0.103599654|0.911346861|1|0.7789088340000001|-0.092342351|0.007901554|4.04445331|0.221091166|-0.037667|-28.19600959|2.070175472|0.0|60.30684851|51.31038923|0.461565365|2116.88728|398.6887321|1433.713715|-9.868603355|0.149672503|5.371119692000001|9.975434973|0.85723565|76.61068671|-394.7441342|0.010200078|402.781061|5.220965278|1.0|0.0|1.0|0.0|0.24|2.21|0.96|0.0|0.0|2.0|-2.77|23.0|5.0|0.0|1.2|-3.02|547.0|0.000951|1.28|0.0|0.000535|-0.06319|6.0077|553.81|0.4107|398.12|0.2843199999999999|-1328.531138|0.0173|-0.1576|-0.22079|-1328.581677|7.6021
14ad_a23|0.0|0|1|0.0|2|7.423568444|0|0|1.197962774|3.3437482860000003|5.351858133|-0.028065075|2|0.0444129979999999|0.118047355|0.735584095|-0.4663820279999999|0.008996289|-0.05348283|10.31321689|2|2|0.009675528|0.2086248289999999|-0.143336826|-0.376350719|0.7763406840000001|0.7830067820000001|0.165157698|0.7317531540000001|1|0.887131635|-0.059168372|0.033831691|24.18091285|0.112868365|-0.029653934|-43.85199724|17.28310144|114.237062|85.20135045|66.47100256|0.46995189|3209.330728|634.0697778|2339.533586|-15.14887177|0.424119041|8.661363236|16.34071148|0.8866211979999999|303.1354708|-833.1879476|0.033365494|770.8206617000001|23.84770234|0.0|1.0|1.0|3.49|0.12|3.48|2.42|2.0|0.0|1.0|-5.8|34.0|6.0|0.0|3.39|-5.08|0.000753|8.22e-06|3.52|0.0|1.17e-05|-0.06925|3.3867|747.83|0.4106|618.01|0.6956600000000001|-1858.668058|0.4106|-0.13734|-0.20659|-1858.733603|8.3595
1e_a5|0.0|1|0|2.953259375|0|6.605297921|0|0|1.427503886|0.0|4.59511985|-0.009075016|2|0.027873016|-0.080321049|0.0|-0.084933308|0.008031558|-0.1197834419999999|10.94440038|1|1|0.007357977|-0.133677441|0.034752304|-0.201027861|0.71274658|0.771487328|0.045376705|0.6977404359999999|0|0.8805795|-0.06795194|0.008587563|4.461204261000001|0.1194205|-0.0278901329999999|-18.81719677|2.317577542|0.0|44.38364879|39.76196174|0.482579989|2107.092939|457.4574833|827.4861275000001|-7.526878708|0.2526063739999999|6.41473183|12.39753333|0.932665879|131.2279879|-301.0751483|0.0157106539999999|409.0289917|8.161620868|1.0|0.0|1.0|2.17|0.05|4.99|2.13|0.0|0.0|1.0|-4.25|24.0|3.0|1.0|3.44|-4.45|0.0174|3.5600000000000005e-05|3.43|0.0|1.21e-06|-0.04186|4746.0|560.58|0.5156|427.87|0.56258|-990.471803|0.1355|-0.18105|-0.22291|-990.522307|6719.0
8e_a46|0.0|0|0|0.0|1|7.727094485|1|1|1.160371308|2.161814059|5.533389489|0.000950213|2|0.043238095|-0.126773923|0.0|-0.046696417|0.012911107|-0.184317354|10.96411233|1|1|0.0123581919999999|-0.203086023|-0.08488645|-0.132524216|0.669602597|0.789844634|-0.241393458|0.668786636|0|0.921352352|-0.053352779|0.009576086|4.876083942|0.078647648|-0.023017086|-17.10778729|2.482871976|53.05984592|39.62167507|32.04299109|0.444693313|1982.950764|469.146955|1415.320228|-5.967832774|0.2507580889999999|5.504080656|9.911785304|0.8008066970000001|127.6844779|-256.61680930000006|0.011830243|426.71841|6.023886838999999|1.0|0.0|1.0|2.93|0.32|4.09|2.13|0.0|0.0|1.0|-3.59|23.0|3.0|1.0|3.21|-4.04|0.0782|9.15e-05|3.01|0.0|6.57e-05|-0.03175|4.5092|552.99|0.2162|457.96|0.6967|-954.743261|0.2162|-0.18835|-0.2201|-954.793305|6.3915
