molecula|NaaNH|Wavelength (max. Transition) (nm)|Approximated area|n9FaRing|Contribuition (max. transition)|NaasN|nARing|BCUTs-1l|Gibbs Free Energy|Dipole (water)|MATS7i|SaaaC|n5aRing|n6aHRing|PPSA3|FNSA4|WNSA5|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|Num. of Aromatic heavy atoms|TPSA_y|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Total Energy (water) (Hartree)|pIC50
25_a12|0|290.68|442.64|0|0.63284|0|0|1.404967476|-974.508059|2.2482|-0.089297664|2.050456822|0|2|2.580489093|-0.03323193|-21.75703145|773.8971409|1.0|0.0|22.0|37.81|5.63e-06|0.00175|-974.6569575|7.6576
4c_a46|0|227.16|617.56|0|0.42391|1|1|1.134637091|-1245.176359|5.4491|-0.111750026|0.0|1|1|8.799732282999999|-0.029688832|-34.9456654|1249.669579|1.0|1.0|17.0|57.01|5.3e-06|0.00207|-1245.4159619999998|5.6972
4b_a46|0|272.4|508.79|0|0.68682|1|1|1.1346370890000002|-1033.378455|3.7571|-0.082722572|0.0|1|2|4.127907383|-0.0229342729999999|-20.89467173|756.2796491|1.0|0.0|17.0|43.6|2.35e-05|0.00782|-1033.556797|6.2612
8_a27|1|300.38|374.88|0|0.64893|1|0|1.406757715|-1004.432889|4.2899|-0.14212377|1.21499748|1|2|10.41179748|-0.035880862|-20.94612822|818.753121|0.0|0.0|21.0|76.46|0.000299|0.0907|-1004.515654|8.2218
14f_a23|0|213.09|572.35|1|0.60917|2|0|1.197963246|-1744.2443850000002|9.1089|0.056215377|0.745818086|2|2|18.34483401|-0.031450478|-38.58595734|1628.77284|0.0|1.0|26.0|114.25|9.57e-06|0.0042299999999999|-1744.452086|8.6459
11a_a50|0|305.11|437.9|1|0.65485|2|1|1.397733996|-1045.84627|7.5619|-0.04339705|2.114272566|2|1|9.774322692|-0.025421565|-19.89396594|862.6098364|0.0|1.0|20.0|48.53|6.97e-05|0.0228|-1045.978598|7.2291
4n_a46|0|215.82|502.02|0|0.41625|1|1|1.13463699|-1090.151267|8773.0|-0.2264394139999999|0.0|1|0|4.629240193|-0.031047837|-25.91889741|928.9322794|1.0|1.0|17.0|61.84|7.95e-06|0.00273|-1090.343872|5.2845
27b_a34|0|257.4|577.39|0|0.47412|1|1|1.4335271040000002|-1349.873325|15.2147|-0.106245942|0.0|1|1|20.42417736|-0.037292511|-47.54648562|1723.489976|1.0|1.0|23.0|84.99|1.1e-05|0.00449|-1350.055377|6.1871
4i_a46|0|229.66|546.24|0|0.41877|1|1|1.1346370959999998|-1092.528145|3.8696|-0.088884176|0.0|1|1|8.847405392999999|-0.025069479|-23.99628633|945.4890404|1.0|1.0|17.0|39.94|9.13e-06|0.00317|-1092.730494|6.2132
12ar_a36|1|237.29|580.53|0|0.41433|0|2|1.297042582|-1364.2977050000002|8.7322|0.083451772|0.0|1|1|15.19305207|-0.0347392029999999|-45.46486105|1804.132337|1.0|0.0|17.0|92.99|0.000122|0.0515|-1364.511244|7.6021
12c_a31|1|323.48|578.69|0|0.7007399999999999|0|1|0.6101358029999999|-1617.951882|2.2908|-0.030192572|0.0|2|0|19.38414321|-0.036326291|-52.25551342|1690.934456|1.0|1.0|16.0|117.37|6.94e-05|0.0277|-1618.1530810000002|6.4202
4_a27|0|223.46|445.65|0|0.36899|2|0|1.4008954130000002|-1083.01571|3.9202|-0.273119343|1.274166982|1|2|10.43112657|-0.0281385239999999|-21.12083948|896.5674718|0.0|1.0|21.0|65.6|0.000102|0.0339|-1083.138303|8.3979
47s_a18|0|385.29|736.36|0|0.6926800000000001|0|1|1.251176205|-1533.809351|2.9991|-0.026883417|0.0|0|0|6.394119331000001|-0.030108416|-46.45326408|1944.574596|1.0|0.0|18.0|76.5|3.53e-06|0.0017|-1534.196027|6.2104
28_a34|0|289.3|417.28|0|0.69263|1|1|1.454781307|-1100.704833|8.5886|-0.201047053|0.0|1|1|19.29162755|-0.048190604|-36.91879876|1284.466737|0.0|1.0|17.0|92.26|0.000565|182.0|-1100.797628|5.4179
12ah_a36|1|237.25|532.36|0|0.40051|0|2|1.297013411|-1692.369929|7.6265|0.078459408|0.0|1|1|11.93961081|-0.038137281|-44.23111357|1602.457659|1.0|0.0|17.0|69.2|2.55e-05|0.0106|-1692.545871|7.9586
4_a47|0|214.85|432.89|0|0.45947|0|0|1.304464196|-1509.3147789999998|5.4892|-0.158636969|1.42341819|0|2|4.22896799|-0.03525955|-27.39669054|998.8757964|1.0|0.0|22.0|58.04|2.31e-06|0.0008359999999999|-1509.453558|7.5
30_a47|0|333.66|478.04|1|0.6944899999999999|1|0|1.304327883|-1695.9887|3.6487|0.013114301|1.192095911|1|2|13.64937081|-0.0383202979999999|-38.63044093|1421.325667|1.0|1.0|21.0|98.72|7.94e-05|0.0315|-1696.12008|7.9
8b_a8|1|270.59|488.56|0|0.57234|1|1|1.395658149|-1406.887058|7.4497|0.019958073|0.0|1|1|19.87542051|-0.047457424|-43.64473805|1823.170337|0.0|1.0|23.0|112.23|3.69e-05|0.0153|-1407.0843|5.2941
9_a3|0|213.09|350.27|0|0.3639699999999999|0|0|0.605017128|-1256.002529|2.6661|-0.126542538|2.4071976040000003|1|1|3.469130065|-0.038196575|-18.47392835|708.8118076000001|1.0|1.0|21.0|80.04|1.25e-05|0.00379|-1256.087705|4.96
14i_a23|0|335.72|580.74|1|0.55606|2|0|1.197963212|-1798.434186|8.3755|0.040408197|0.7151570629999999|2|2|14.65077903|-0.039760909|-45.14777443|1782.001457|0.0|1.0|26.0|148.11|4.03e-05|0.0183|-1798.64228|8.4622
8e_a46|0|274.96|457.96|0|0.6967|1|1|1.160371308|-954.793305|3.7755|-0.126773923|0.0|1|2|4.876083942|-0.023017086|-17.10778729|672.6356549999999|0.0|0.0|17.0|43.6|9.15e-05|0.0279|-954.9296396|6.3915
13_a15|0|314.52|549.33|0|0.63827|0|1|1.4356889940000002|-1450.462642|6.0429|-0.006938727|0.0|0|2|10.21906987|-0.033811561|-39.03420883|1638.227985|1.0|1.0|24.0|59.51|7.970000000000001e-07|0.000357|-1450.756042|8.2218
6_a27|1|223.61|401.49|0|0.3366099999999999|1|0|1.404458667|-1043.728133|4.0597|-0.237047381|1.221528093|1|2|10.17466399|-0.034625042|-22.06430895|862.8140479|0.0|0.0|21.0|76.46|0.000153|0.0485|-1043.831559|9.0
12ab_a30|0|258.2|613.7|0|0.46561|0|2|0.604983638|-1804.589076|7.4968|0.018023992|0.0|1|1|22.23130678|-0.031859359|-49.97135112|2116.165447|1.0|1.0|17.0|100.11|9.94e-06|0.00456|-1804.824495|7.7825
15c_a22|0|216.15|575.8|0|0.30831|1|0|1.42291727|-1460.387718|9.0393|-0.026986769|1.568396937|1|2|17.68362419|-0.0302219629999999|-41.51455167|1742.625289|0.0|1.0|27.0|109.38|2.4e-05|0.0107|-1460.602657|6.1325
10_a4|0|249.6|470.02|0|0.4662|1|1|1.343863662|-1183.602045|2.2386|0.00941601|2.149387791|1|2|8.440134933|-0.027007048|-26.60798798|1049.716502|1.0|1.0|21.0|52.83|1.4e-05|0.00519|-1183.812875|7.0555
9b_a31|1|224.94|562.68|0|0.41622|0|1|0.610136326|-1578.665571|6.8028|-0.045938305|0.0|2|0|21.21368453|-0.039058603|-49.30281875|1633.343563|1.0|1.0|16.0|117.37|0.000137|0.0527|-1578.839267|7.2007
18b_a25|0|223.65|612.24|0|0.36733|1|0|1.194228955|-1767.286778|2752.0|-0.018632104|2.003993644|1|2|8.972372556|-0.0305838929999999|-38.7252349|1476.7341199999998|1.0|1.0|27.0|111.51|1.95e-06|0.000899|-1767.52411|7.2924
4d_a49|0|215.82|495.7|0|0.40593|1|1|1.343847746|-1293.107454|5.5765|-0.090862681|1.76904838|1|2|8.392883773|-0.0281044679999999|-32.61868996|1374.947536|0.0|1.0|21.0|98.72|0.0004509999999999|0.18|-1293.333712|7.7447
4d_a46|0|280.09|503.76|0|0.69884|1|1|1.134637067|-1453.688943|3.7104|-0.131948546|0.0|1|2|4.750218646|-0.024616555|-21.33218735|764.2776167999999|1.0|1.0|17.0|43.6|7.8e-06|0.00275|-1453.840712|6.2865
10_a32|1|340.24|533.89|1|0.70228|0|0|0.6094207629999999|-1916.519894|3.2297|-0.020186906|2.067772926|3|0|15.91131724|-0.038939628|-46.69945835|1523.651605|1.0|1.0|19.0|149.27|3.89e-05|0.0155|-1916.668776|8.1427
13b_a30|0|245.51|544.04|0|0.32563|0|2|0.604984129|-1744.281763|5.3762|-0.035340334|0.0|1|1|12.52854078|-0.042850934|-51.76819834|1916.093704|1.0|0.0|17.0|124.74|5e-05|0.0221|-1744.492044|7.5901
15a_a50|0|306.83|519.38|1|0.66132|2|1|1.3530592819999998|-1199.629702|9.0948|-0.0446629609999999|2.020652006|2|1|10.77967103|-0.029316925|-30.25705388|1218.577214|0.0|1.0|20.0|68.76|0.0001189999999999|0.0444|-1199.818129|7.3872
8a_a32|1|348.07|566.07|1|0.70316|0|0|0.609420757|-1880.595748|7.6703|-0.0281981579999999|2.059960334|3|0|11.48993376|-0.035678106|-43.03057598|1373.988797|1.0|1.0|19.0|140.04|1.02e-05|0.00406|-1880.767206|7.3468
21_a10|0|208.04|517.44|0|0.4226399999999999|1|1|1.343837211|-1485.278495|1.1872|-0.032405474|1.817620533|1|2|13.34776629|-0.03292131|-42.25440548|1783.785559|1.0|1.0|27.0|90.13|3.12e-06|0.0014|-1485.499561|5.3188
23_a10|0|325.98|606.18|0|0.67647|1|1|1.34383709|-1469.902562|4.8954|-0.031558374|1.981673861|1|2|6.81095873|-0.02685653|-36.32074126|1549.399766|1.0|1.0|27.0|56.07|2e-06|0.000923|-1470.1960279999998|6.1249
1l_a5|1|267.19|486.81|0|0.45892|0|0|1.270375394|-1069.101032|3.3694|-0.111303801|0.0|1|2|4.43679678|-0.026512937|-21.62050954|895.4089219|1.0|0.0|23.0|54.46|1.04e-05|0.00356|-1069.261615|7.4949
3c_a12|0|311.14|399.38|0|0.43415|0|1|0.610140703|-1327.4004710000002|2.3061|-0.14679559|0.0|1|1|6.688634392000001|-0.033980537|-25.42738988|926.0140155|1.0|1.0|17.0|78.41|9.940000000000002e-05|0.0318|-1327.498519|7699.0
20a_a10|0|259.16|524.02|0|0.50193|1|1|1.343837243|-1388.957848|3.2116|-0.035536682|1.896409603|1|2|8.860330345|-0.028008251|-30.82502228|1291.932235|1.0|1.0|27.0|76.62|2.56e-06|0.0011|-1389.164302|5.9208
12q_a36|1|236.72|531.58|0|0.39919|0|2|1.29701394|-1692.370918|6.4226|0.068040097|0.0|1|1|12.00048565|-0.038175515|-44.31949385|1605.308562|1.0|0.0|17.0|69.2|2.55e-05|0.0106|-1692.544456|8.2218
47g_a18|0|400.4|874.26|0|0.69828|0|1|1.251175676|-1742.847918|5.9864|-0.048472184|0.0|0|0|11.37505183|-0.029212072|-61.55384106|2675.8994190000003|1.0|0.0|18.0|88.97|3.01e-06|0.00163|-1743.375845|8.0458
12bh_a36|1|319.46|575.23|0|0.69377|0|2|1.297043258|-1311.356102|7.7975|0.001012669|0.0|1|1|11.73109101|-0.035569289|-44.11115058|1692.3721690000002|1.0|0.0|17.0|69.2|2.5e-05|0.0102|-1311.589612|7.8539
12k_a30|0|238.62|564.62|0|0.39318|0|2|0.604984231|-1690.094082|5.0736|-0.13882907|0.0|1|1|16.01752015|-0.035199567|-43.09444587|1745.328787|1.0|1.0|17.0|90.88|1.19e-05|0.0050799999999999|-1690.302721|7.6144
14z_a23|0|307.5|586.28|1|0.66217|2|0|1.197960872|-2548.957384|7.9877|0.038811869|0.729326158|2|2|12.77192721|-0.03393829|-38.68856944|1414.152695|0.0|1.0|26.0|105.02|7.37e-07|0.000354|-2549.107748|8.2941
12c_a36|1|322.58|509.61|0|0.68913|0|2|1.29696741|-1692.3713309999998|6.6973|0.085843909|0.0|1|1|12.5779546|-0.038024893|-43.57746274|1617.460455|1.0|0.0|17.0|69.2|2.55e-05|0.0106|-1692.540795|8.0458
47i_a18|0|383.61|664.78|0|0.69175|0|1|1.251177255|-1415.944522|3.5235|-0.037689885|0.0|0|0|6.787641686000001|-0.035256027|-43.46880696|1739.959818|1.0|0.0|18.0|85.29|1.67e-05|0.00735|-1416.260696|7.7212
8j_a46|0|249.79|493.89|0|0.50703|1|1|1.160371125|-1414.402087|6.4463|-0.129276363|0.0|1|2|4.658562801|-0.02566383|-19.90219786|721.0646647000001|1.0|1.0|17.0|43.6|1.47e-05|0.00497|-1414.53151|5.9108
20_a4|0|239.45|402.27|0|0.5152|1|1|1.399905568|-934.150871|5.5779|-0.061689675|0.0|1|1|11.03865532|-0.0273144939999999|-16.72448692|755.8433223999999|1.0|1.0|17.0|39.94|0.000134|0.0388|-934.2489802|6.1898
6_a1|0|305.12|405.23|0|0.69818|1|1|1.3488280769999998|-935.378591|8.0033|-0.114683042|0.0|1|1|10.15161645|-0.0238222729999999|-18.076387|778.3512535|1.0|0.0|17.0|39.94|0.00021|0.0613|-935.5024827|5.2924
12b_a50|0|263.3|401.64|1|0.6016199999999999|2|1|1.397986833|-1006.550688|5.6617|-0.08032584|2.112397566|2|1|10.80329197|-0.0237482779999999|-16.72031641|812.3355548|1.0|0.0|20.0|48.53|0.000144|45.0|-1006.664619|5.3242
15_a31|1|271.36|452.98|0|0.5241899999999999|0|1|0.610137926|-1460.790873|7.5831|-0.0302581979999999|0.0|2|0|20.47825449|-0.041588706|-37.21191643|1309.458532|0.0|1.0|16.0|117.37|0.000272|0.0931|-1460.900291|5.9586
5b_a40|0|311.84|411.1|0|0.59928|1|1|0.604912077|-2096.757832|9.3069|-0.096549823|0.7222376540000001|2|0|9.59023102|-0.036507111|-22.96968039|662.7555978999999|1.0|1.0|14.0|75.5|1.44e-05|0.00488|-2096.782087|7.1938
11g_a5|1|274.87|542.13|0|0.56924|1|0|1.388236041|-1329.988893|4314.0|-0.083337229|0.0|2|2|15.25675|-0.025442296|-32.96383785|1568.70782|1.0|1.0|28.0|81.51|4.88e-05|0.0199|-1330.189793|7.5229
6g_a40|0|373.48|514.77|0|0.58454|1|2|0.604893315|-2521.87499|8.9454|-0.120745388|0.607999575|2|0|11.53799852|-0.059045173|-66.03405036|2095.424743|0.0|1.0|14.0|213.89|1.93e-05|0.00917|-2522.023752|7.3279
21_a12|0|264.64|397.31|0|0.59386|0|1|0.609915045|-1327.397348|3.2551|-0.213225401|0.0|1|2|6.154473157000001|-0.036878492|-25.34833425|914.8819508|1.0|1.0|17.0|78.41|0.000173|0.0551|-1327.479547|7.6576
19g_a38|1|234.97|475.84|0|0.3937|0|2|1.297044182|-1431.244906|6.1765|-0.037579797|0.0|1|1|14.52522351|-0.038842708|-45.74791999|1707.074131|1.0|1.0|17.0|81.23|4.67e-05|0.0196|-1431.419426|7.3778
16_a31|1|338.79|369.73|0|0.70108|0|1|0.61013894|-1308.161433|5.5943|-0.050076586|0.0|2|0|17.63615984|-0.050105055|-33.36862997|1066.012118|0.0|0.0|16.0|114.29|0.000254|0.0762|-1308.242314|7.0458
11_a3|0|384.66|346.18|0|0.6966600000000001|0|0|0.605020608|-1288.10577|4.4522|-0.101436441|1.710245969|1|3|6.800350988|-0.0391657429999999|-22.2443844|812.4456757999999|0.0|1.0|21.0|105.82|0.000197|0.0601|-1288.195105|7.3979
3g_a32|1|349.68|495.4|1|0.70275|0|0|0.60942078|-1711.919273|5.5816|-0.058985916|2.2144733530000003|3|0|6.647498326|-0.030429702|-30.18744099|884.4366022|1.0|1.0|19.0|110.94|2.58e-06|0.000915|-1712.060085|7.8539
13d_a5 (GW788388)|1|269.0|532.01|0|0.42515|0|1|1.236844097|-1390.355751|3355.0|-0.092509033|0.0|1|2|9.637686167|-0.0291837579999999|-36.95444874|1586.418589|0.0|1.0|23.0|92.79|4.5e-05|0.0192|-1390.589662|7.7447
47n_a18|0|387.11|799.02|0|0.6914600000000001|0|1|1.251175627|-1740.663577|3.3568|0.017491759|0.0|0|0|8.759783644|-0.031974244|-62.09468789|2591.682495|1.0|0.0|18.0|105.6|5.7e-06|0.00308|-1743.3283440000002|7.1938
12c_a30|0|245.12|541.39|0|0.32037|0|2|0.604984133|-2035.202565|4.7893|-0.0983590219999999|0.0|1|1|10.36785909|-0.037411484|-41.12547305|1484.664552|1.0|1.0|17.0|81.65|3.61e-06|0.00156|-2035.373591|7.9914
47c_a18|0|398.71|790.07|0|0.6983199999999999|0|1|1.251176227|-1664.277127|3.8573|0.047739847|0.0|0|0|12.75381432|-0.0321917939999999|-60.75445536|2522.390613|1.0|0.0|18.0|97.76|8.12e-06|0.00417|-1664.753129|8.5229
14s_a23|0|336.66|528.82|1|0.60323|2|0|1.197958333|-2089.352478|6.4428|0.049317519|0.740898446|2|2|12.81151517|-0.034255504|-33.12848261|1333.003252|0.0|1.0|26.0|105.02|2.83e-06|0.00126|-2089.521231|8.5482
5g_a40|0|356.27|367.19|0|0.6563|1|1|0.604913142|-1327.982732|6.7957|-0.0602779129999999|0.64025463|2|0|11.83520323|-0.049288357|-32.29667648|1004.297909|0.0|0.0|14.0|115.96|0.000426|128.0|-1328.055803|6.9101
1e_a5|1|261.24|427.87|0|0.56258|0|0|1.427503886|-990.522307|3.0386|-0.080321049|0.0|1|2|4.461204261000001|-0.0278901329999999|-18.81719677|775.4313476|1.0|0.0|23.0|54.46|3.5600000000000005e-05|0.0111|-990.6320386|6719.0
8b_a32|1|349.82|558.16|1|0.70285|0|0|0.609420757|-1880.602014|1.2797|-0.008128765|2.123714284|3|0|10.49093175|-0.03079624|-42.94454179|1329.016762|1.0|1.0|19.0|140.04|4.06e-05|0.0161|-1880.77142|7.9208
8c_a31|1|322.11|475.72|0|0.7005|0|1|0.610137334|-1426.024361|5.1815|-0.106461724|0.0|2|0|16.3656112|-0.039640027|-38.96685783|1270.056726|1.0|1.0|16.0|114.29|0.000237|0.0811|-1426.166503|6.0915
AKLKII_a46|1|||0||0|0|1.4316666480000002|||-0.008897473|1.744747103|1|3|4.924591245|-0.033194303|-20.09682339|713.5187596|1.0|0.0|21.0|67.35|0.000266|0.0764||6.7423
4S4l_a46|0|234.25|500.66|0|0.57885|1|1|1.134637095|-1092.543641|2.8473|-0.067419714|0.0|1|1|3.888872426|-0.029881089|-25.11158939|945.3491632|1.0|1.0|17.0|50.94|7.78e-06|0.0027|-1092.753999|6.5834
31_a47|0|311.96|508.69|1|0.68276|1|0|1.304326813|-1735.284957|8.6244|-0.086842911|1.198626524|1|2|13.27533898|-0.037580665|-40.66927863|1484.511202|1.0|1.0|21.0|98.72|4.03e-05|0.0166|-1735.435432|7.8
12u_a30|0|354.21|559.16|0|0.6847|0|2|0.604983445|-2494.7995530000003|7.0553|-0.091507428|0.0|1|1|10.42404292|-0.03794847|-43.90644499|1536.749179|1.0|1.0|17.0|81.65|9.14e-07|0.0004269999999999|-2494.962309|7.4647
20_a31|1|350.43|560.67|1|0.7036600000000001|0|0|0.609420757|-1880.599777|4.9218|-0.013040402|2.114008068|3|0|12.1160662|-0.033537774|-43.27297051|1360.278351|1.0|1.0|19.0|140.04|3.66e-05|0.0146|-1880.768349|8.0862
14ac_a23|0|309.85|627.76|1|0.6408|2|0|1.1979507740000002|-2303.819891|8.6341|0.016532702|0.544211741|2|2|12.70997824|-0.043970249|-55.36344264|2178.41361|1.0|1.0|26.0|105.02|2.24e-07|0.000123|-2304.001319|8.3851
12f_a31|1|323.68|665.22|0|0.7006600000000001|0|1|0.6101347579999999|-1696.53373|3.3538|0.043286807|0.0|2|0|19.26761061|-0.0337826789999999|-57.54866283|1921.480254|1.0|1.0|16.0|117.37|2.37e-05|0.0101|-1696.785527|6.8861
47k_a18|0|400.63|793.48|0|0.69823|0|1|1.25117623|-1664.341238|5.2253|-0.017736343|0.0|0|0|11.91029894|-0.030255779|-55.10689702|2438.639881|1.0|1.0|18.0|88.97|4.65e-06|0.0023899999999999|-1664.756029|7.5376
