molecula|n9FaHRing|Wavelength (max. Transition) (nm)|Approximated area|SaaNH|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|SaasN|pIC50|n5aHRing|AATSC1i|MATS8s|GATS1pe|FNSA3|FPSA3|FNSA1|PNSA4|GeomPetitjeanIndex|GeomRadius|CYP2D6 inhibitor|Num. of Aromatic heavy atoms|Log S (ESOL)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|pIC50
14l_a23|1|341.8|560.51|0.0|0.4239|-0.2183|3.402752757|8.1798|2|-0.136106024|0.156652778|0.6906097959999999|-0.053549434|0.018669073|0.7896261940000001|-21.66909079|0.492922575|8.006380163|0.0|26.0|-5.25|7.03e-06|3.79|-1669.2363289999998|8.1798
5_a4|0|255.2|421.24|0.0|67.0|-0.21857|2.166832955|7.1487|1|-0.076189222|-0.165454845|0.650346601|-0.050732198|0.008047242|0.807351587|-13.54166762|0.413773331|5.758733969|1.0|21.0|-4.84|3.71e-06|3.71|-1069.27374|7.1487
12o_a36|0|238.77|560.88|3.444418304|0.2888|-0.21151|0.0|7.3979|1|-0.213993335|0.141570244|0.817582774|-0.082048664|0.023402195|0.666462845|-25.50573629|0.469699889|7.322888607|0.0|17.0|-3.64|5.18e-05|4.5|-1440.969954|7.3979
5_a18 (BIBF0775)|0|378.13|691.68|0.0|0.4825|-0.18092|0.0|7.4685|0|-0.216531385|-0.001626287|0.7061155790000001|-0.068989967|0.008501088|0.8159410579999999|-22.46761997|0.483962172|9.798677372|1.0|18.0|-5.72|3.06e-07|8.45|-1572.313227|7.4685
37_a18|0|385.91|673.45|0.0|499.0|-0.18119|0.0|7.4559|0|-0.224171123|0.020848396|0.699483099|-0.068500679|0.009098426|0.7648766029999999|-20.92960342|0.488368082|9.460456975|1.0|18.0|-5.47|7.27e-07|8.11|-1532.997117|7.4559
18_a3|0|311.79|330.54|2.897754472|0.3326|-0.2218|0.0|7.5229|1|-0.064953613|0.0355413979999999|0.6858831809999999|-0.069839069|0.013796397|0.682492203|-14.12792012|0.483376636|5.293627315|1.0|21.0|-3.27|4.07e-05|1.85|-889.9619321|7.5229
14y_a23|1|340.49|585.2|0.0|444.0|-0.2331599999999999|3.3149940630000003|8.4225|2|-0.125978901|0.137426346|0.64069202|-0.057809342|0.018804822|0.78322549|-23.71943531|0.486730407|8.213390641|0.0|26.0|-6.13|1.29e-06|4.73|-2549.104894|8.4225
7c_a10|0|228.47|488.89|0.0|0.0921|-0.20059|2.1219657030000003|5.4191|1|-0.191576261|-0.087063341|0.6952665379999999|-0.05074318|0.027436939|0.52630639|-13.06063972|0.4675549639999999|6.703148323|1.0|21.0|-4.69|6.4e-06|2.76|-1259.011598|5.4191
12at_a36|0|263.05|589.75|3.4361495580000003|0.2076|-0.2131|0.0|7.1079|1|-0.227404687|-0.08859337|0.7767870459999999|-0.084721769|0.029516069|0.6744421970000001|-25.99374995|0.49342323|8.837213274|0.0|17.0|-4.08|0.000106|4.5|-1460.833958|7.1079
12f_a40|0|286.25|487.85|0.0|0.3858|-0.19526|1.768354671|6.4202|2|-0.054891771|-0.160218113|0.605644757|-0.067004323|0.021549915|0.7314440520000001|-18.16607804|0.490421149|8.404802652999999|0.0|20.0|-5.99|1.8100000000000003e-05|4.77|-2212.359379|6.4202
A7701_a51|0|||2.9690728930000003|||0.0|7.6021|1|0.061434294|0.00552665|0.688876851|-0.071384149|0.007404204|0.799046392|-14.03756956|0.420350923|5.137516673|1.0|21.0|-4.17|7.5e-06|||7.6021
LY364947_a10|0|||2.949609552|||0.0|7.2291|1|0.072909639|-0.072740964|0.681525895|-0.076999385|0.009678082|0.7234846559999999|-13.10520229|0.486715511|4.702575386|1.0|21.0|-3.86|1.7199999999999998e-05|||7.2291
21_a34|0|288.26|530.93|0.0|0.0002|-0.20872|1.88614418|5.4737|1|-0.407759867|0.116926272|0.660871869|-0.09533089|0.034163186|0.728260094|-27.89610644|0.4688149339999999|7.253455092999999|0.0|23.0|-4.71|9.06e-06|7.78|-1483.3359380000002|5.4737
1h_a5|0|266.52|430.83|2.9516097130000003|0.1754|-0.21921|0.0|7.5528|1|0.0578378779999999|0.070628165|0.6977404359999999|-0.067599619|0.008798715|0.7450549759999999|-14.49848188|0.489507204|6.711386288|1.0|23.0|-4.45|1.21e-06|3.17|-990.6346565|7.5528
3_a4|0|252.57|350.36|0.0|0.0871|-0.21969|2.147369615|6983.0|1|-0.08121207|-0.0862461019999999|0.623172012|-0.052578183|0.010568144|0.7196876640000001|-11.97190059|0.430553837|4.832514477|1.0|21.0|-4.26|2.03e-05|2.66|-990.6395508|6983.0
17_a4|0|285.92|413.28|0.0|0.2045|-0.21745|1.690442177|6057.0|1|-0.07155304|0.0147116789999999|0.484393047|-0.0887214819999999|0.01061251|0.861696586|-21.75180355|0.4440629029999999|5.923504372999999|0.0|17.0|-4.81|9.44e-05|4.44|-1255.994721|6057.0
12a_a40|0|400.39|429.21|0.0|0.3701|-0.2091|1.784989449|5.7501|2|0.031326603|0.023863832|0.525051106|-0.064340227|0.011766311|0.85136964|-17.23885621|0.476055146|7.563170499|0.0|20.0|-5.95|2.13e-05|5.01|-2097.826771|5.7501
12s_a36|0|319.95|523.72|3.486136149|0.0002|-0.20467|0.0|8.0458|1|-0.1763783589999999|-0.118671653|0.856274847|-0.07216709|0.019457471|0.754198383|-23.15117315|0.4604765839999999|7.545963801|0.0|17.0|-4.3|4.270000000000001e-05|3.48|-1272.270833|8.0458
