molecula|n9FaHRing|Wavelength (max. Transition) (nm)|Approximated area|SaaNH|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|SaasN|pIC50|n5aHRing|AATSC1i|MATS8s|GATS1pe|FNSA3|FPSA3|FNSA1|PNSA4|GeomPetitjeanIndex|GeomRadius|CYP2D6 inhibitor|Num. of Aromatic heavy atoms|Log S (ESOL)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|pIC50
12av_a36|0|256.12|588.31|3.4520047430000003|0.0027|-0.19429|0.0|7.4089|1|-0.213993335|-0.018133027|0.817582774|-0.082283524|0.021666882|0.671916917|-24.51766365|0.491188387|8.975655204|0.0|17.0|-3.64|5.18e-05|4.5|-1440.988179|7.4089
22_a47|1|258.55|466.95|0.0|0.0799|-0.22828|1.202720059|9.0|1|-0.277479519|-0.077787113|0.591185263|-0.080744803|0.022154032|0.6096864479999999|-18.73063655|0.4614909829999999|6.9553262170000005|1.0|21.0|-4.38|8.11e-06|4.4|-1375.05033|9.0
13_a1|0|304.01|472.52|3.409865599|0.3535|-0.18883|0.0|6585.0|1|-0.120034915|-0.051729721|0.833702788|-0.111667908|0.033737733|0.7082629840000001|-23.43842502|0.477212829|7.493979856|1.0|23.0|-4.34|4.24e-06|3.17|-1238.395767|6585.0
10_a4|0|249.6|470.02|0.0|0.0176|-0.2025|2.146166934|7.0555|1|-0.132895939|-0.120059574|0.6799081490000001|-0.051015897|0.014582852|0.744529685|-15.63090193|0.4858700179999999|5.759414166|1.0|21.0|-4.85|3.15e-06|3.34|-1183.812875|7.0555
8_a27|0|300.38|374.88|2.599100867|0.2336|-0.21973|1.7626247169999998|8.2218|1|-0.187486926|0.141900468|0.64927069|-0.078709803|0.021852066|0.751701834|-17.09606174|0.479730655|5.016799703|0.0|21.0|-3.52|0.000158|3.96|-1004.515654|8.2218
6g_a40|0|373.48|514.77|0.0|0.1307|-0.20479|1.628664494|7.3279|2|0.05728593|0.075283207|0.808096413|-0.164941808|0.017750905|0.824204189|-38.37906336|0.425569146|6.95079805|0.0|14.0|-4.71|0.6459999999999999|7.38|-2522.023752|7.3279
8d_a12|1|292.53|433.32|2.976279182|0.0853|-0.20794|0.0|7.6021|1|0.016135176|-0.091036025|0.8405406040000001|-0.077834742|0.011348654|0.8338637040000001|-21.74879802|0.465113852|6.93584319|1.0|21.0|-4.61|1.49e-06|3.53|-1138.296407|7.6021
11d_a31|0|326.2|551.86|3.39688681|0.2642|-0.19226|0.0|7.5229|2|-0.153894316|-0.057505249|0.78396996|-0.134031221|0.034417775|0.6817705409999999|-24.97634343|0.4816588089999999|7.885647873|1.0|16.0|-4.2|0.000225|4.87|-1598.7152199999998|7.5229
8b_a50|1|273.96|353.17|3.1324050960000003|121.0|-0.20144|2.021915391|7.1675|2|-0.116174481|-0.027207307|0.71043578|-0.072629787|0.021513107|0.6717097959999999|-14.54338619|0.428882006|5.292277178|1.0|20.0|-3.81|0.000347|2.11|-967.3527447|7.1675
6e_a31|0|374.76|490.75|3.402951625|0.5103|-0.18844|0.0|6.4318|2|-0.004825446|-0.071378445|0.795570315|-0.122985602|0.032627586|0.7604979040000001|-28.37945369|0.4782688439999999|7.513687859|1.0|22.0|-4.66|1.89e-05|4.31|-1652.669408|6.4318
4p_a46|0|226.26|537.47|0.0|0.0763|-0.20749|2.102855253|6.4672|1|0.101602982|-0.078703563|0.751334374|-0.0997229069999999|0.007398064|0.87420565|-17.00200781|0.423511708|5.828038618|0.0|17.0|-5.4|3.2e-05|4.89|-1129.65844|6.4672
20b_a10|0|208.89|482.93|0.0|0.1382|-0.2217199999999999|2.103422978|5.9586|1|0.031942481|0.052265135|0.6980623109999999|-0.094975935|0.013038163|0.7616213270000001|-21.58742537|0.454087415|7.554743755|1.0|27.0|-5.09|5.26e-07|4.88|-1465.62724|5.9586
41_a18|0|385.97|576.83|0.0|482.0|-0.1814599999999999|0.0|6433.0|0|-0.0091068809999999|-0.032217299|0.745631286|-0.1020290859999999|0.009550224|0.903239484|-25.62671923|0.487248278|8.787657952|1.0|18.0|-5.02|1.89e-06|7.34|-1454.374793|6433.0
4f_a46|0|272.61|493.53|0.0|0.1719|-0.2202599999999999|2.190536659|6.7375|1|-0.123416853|-0.2076648489999999|0.69830739|-0.055836642|0.008734825|0.759842275|-11.95391778|0.424708366|5.654067072999999|1.0|17.0|-4.58|2.04e-05|3.87|-1033.550809|6.7375
18_a20|0|207.41|531.11|3.463603867|0.2011|-0.20289|0.0|7.4685|1|0.003282792|-0.107446431|0.778639593|-0.0927760219999999|0.0108136339999999|0.8109110409999999|-23.91074854|0.483668611|8.011174137000001|1.0|27.0|-5.16|4.17e-08|5.35|-1352.364724|7.4685
6_a1|0|305.12|405.23|0.0|0.3399|-0.1899799999999999|2.325221088|5.2924|1|-0.3632559589999999|0.13761072|0.741035199|-0.057199415|0.021009352|0.576759436|-11.51080589|0.4218263379999999|5.555887839|1.0|17.0|-3.68|0.000277|2.81|-935.5024827|5.2924
14_a15|0|278.5|584.18|0.0|0.0054|-0.18379|0.0|7.5229|0|-0.184255041|-0.021648026|0.7933685340000001|-0.063809873|0.014672137|0.770309725|-21.0782518|0.406717767|6.040010666000001|1.0|24.0|-5.83|5.99e-08|5.16|-1281.105795|7.5229
14aa_a23|1|345.03|588.45|0.0|0.4157|-0.21573|3.4143268310000003|8451.0|2|-0.13397874|0.055269665|0.693959193|-0.052155763|0.018016316|0.796659447|-21.51484958|0.4930525229999999|8.000512184|0.0|26.0|-5.55|3.07e-06|4.1|-1708.5626|8451.0
12ag_a36|0|318.79|507.72|3.408828027|0.0191|-0.20713|0.0|7.7696|1|-0.217394466|0.124298337|0.698414933|-0.082492792|0.020136392|0.758897371|-24.55768654|0.481286668|7.849377942|0.0|17.0|-4.16|5.58e-05|3.41|-1332.185403|7.7696
4h_a46|0|292.11|682.14|0.0|291.0|-0.21008|2.134072222|6.6402|1|-0.0488847059999999|0.075704004|0.6947264059999999|-0.083155747|0.010068754|0.805506105|-23.9655397|0.4866209529999999|8.138240742999999|0.0|23.0|-5.69|3.210000000000001e-07|8.5|-1923.926093|6.6402
5a_a50|1|220.82|455.34|0.0|0.1156|-0.19146|4.202707546|5.3872|2|-0.168135655|-0.132977171|0.6759066159999999|-0.038932964|0.010185297|0.66527517|-12.13862875|0.4528093929999999|5.892775027000001|0.0|20.0|-4.5|0.000186|3.39|-1029.930364|5.3872
2_a20 (SB-505124)|0|340.58|505.82|3.485765306|0.3267|-0.18645|0.0|6.7721|1|-0.229461916|0.082053195|0.790275077|-0.083565835|0.02856542|0.831919306|-21.05206547|0.475937029|5.952040367|1.0|17.0|-4.91|2.03e-05|4.57|-1089.371784|6.7721
12n_a36|0|231.43|566.87|3.400581499|0.0155|-0.19984|0.0|7.8239|1|-0.261631709|0.162338703|0.750657639|-0.089275906|0.0211044289999999|0.741751453|-27.04362074|0.454498749|6.863551112000001|0.0|17.0|-3.72|6.45e-05|6.24|-1876.201464|7.8239
14o_a23|1|335.19|582.89|0.0|385.0|-0.23229|3.133942289|8.4815|2|-0.2952674819999999|0.000891427|0.575188253|-0.072435569|0.018054548|0.800301554|-30.18347529|0.48945652|9.016411722|0.0|26.0|-6.0|5.57e-06|5.17|-2042.184285|8.4815
4q_a46|0|273.72|510.13|0.0|0.1432|-0.2207199999999999|2.151582577|6129.0|1|-0.187559576|-0.15266708|0.703627625|-0.052170875|0.014510206|0.61955726|-11.72744747|0.487775649|6.038093227999999|1.0|17.0|-3.89|3.97e-05|2.57|-1108.751283|6129.0
12_a1|0|332.04|482.51|3.3894574360000003|0.2821|-0.19916|0.0|5.5302|1|-0.173618873|-0.045776997|0.7534284040000001|-0.0964711209999999|0.033770552|0.724666653|-23.15625812|0.46449367|7.679719277999999|1.0|23.0|-4.75|2.3e-06|3.67|-1216.12881|5.5302
8a_a50|1|220.53|396.63|3.139870661|0.1217|-0.20051|2.03117465|7.3279|2|-0.11385159|-0.188882361|0.7135713840000001|-0.069208148|0.018809422|0.751415713|-15.95574341|0.46183401|5.754657432|1.0|20.0|-4.13|0.000151|2.69|-1006.671867|7.3279
18_a4|0|274.59|404.27|0.0|0.1|-0.20883|1.904090136|5.5817|1|0.015390457|0.102914528|0.615655659|-0.094231531|0.017694182|0.769438308|-17.16400317|0.405586004|6.133421395|1.0|17.0|-3.51|0.0009109999999999|3.02|-1033.480025|5.5817
11b_a50|1|266.8|431.63|0.0|0.0711|-0.19501|4.071188272|5.7696|2|-0.277408878|-0.146696566|0.667956827|-0.0445367309999999|0.019455771|0.642051995|-13.01301376|0.42907551|5.697537591000001|0.0|20.0|-4.16|0.000441|3.05|-1045.98235|5.7696
19a_a38|0|316.19|466.55|3.3685352889999995|0.0721|-0.20379|0.0|8.0106|1|-0.217394466|0.031696119|0.698414933|-0.08593151|0.022142322|0.744796537|-23.30337482|0.465829126|6.923156054|1.0|17.0|-4.17|5.610000000000001e-05|3.41|-1332.186327|8.0106
5_a15|0|286.35|629.67|0.0|0.0199|-0.18553|0.0|7.8861|0|-0.28098676|0.092692253|0.7950674740000001|-0.06128567|0.032616864|0.5089899720000001|-20.30656983|0.486150431|7.795174584|1.0|24.0|-5.66|9.970000000000001e-08|4.36|-1470.816175|7.8861
1m_a5|0|265.61|423.2|2.934162514|0.2373|-0.22857|0.0|7.3665|1|0.07132816|0.077347244|0.63664685|-0.070959368|0.009030414|0.73847373|-15.26528941|0.482646195|6.911100301|1.0|23.0|-4.74|7.82e-07|3.48|-1410.912452|7.3665
4d_a49|0|215.82|495.7|0.0|0.0879|-0.2219699999999999|2.097463308|7.7447|1|0.000850823|-0.008564167|0.749565191|-0.089942837|0.013625199|0.654728051|-17.31186002|0.470013152|7.998287218|1.0|21.0|-3.35|1.05e-05|2.99|-1293.333712|7.7447
16a_a32|1|341.42|535.63|3.357452523|0.2859|-0.20718|0.0|7.9586|3|-0.199563743|0.039965071|0.81143469|-0.090389538|0.020664867|0.6968200370000001|-23.13158502|0.450892763|7.183246604|0.0|19.0|-4.04|2.01e-05|3.9|-1896.81177|7.9586
14a_a5|0|298.75|508.64|2.948727373|0.5853|-0.2183699999999999|0.0|6.9508|1|-0.016337128|0.144729708|0.71006207|-0.080875277|0.0173669719999999|0.629783335|-18.38089729|0.470085022|8.424031251|1.0|23.0|-4.22|6.16e-07|4.3|-1390.592722|6.9508
13e_a6|0|207.04|567.24|3.433539068|0.0104|-0.20804|0.0|7.9208|1|-0.223618825|0.102257199|0.790249345|-0.074242826|0.0183790889999999|0.722530518|-22.01054293|0.4442079679999999|7.973429837999999|1.0|27.0|-4.78|2.75e-08|3.36|-1347.297639|7.9208
14a_a10|0|222.16|645.26|0.0|0.0005|0.19621|2.156210368|7.1308|1|-0.344811314|-0.011977878|0.740051323|-0.044416218|0.0135610389999999|0.542015878|-13.76552695|0.469029865|10.0292632|1.0|21.0|-4.8|3.07e-06|2.25|-1489.655581|7.1308
27c_a34|0|289.89|558.04|0.0|0.0093|-0.19682|1.996958431|6.0969|1|-0.2077985889999999|-0.0360159139999999|0.804740647|-0.114233896|0.0304948179999999|0.7381974290000001|-28.77931113|0.424716257|8.808655321|1.0|23.0|-4.45|9.1e-06|5.23|-1426.521813|6.0969
1c_a5|0|254.15|410.52|2.955525321|0.1076|-0.22684|0.0|5.4|1|0.0578378779999999|0.128385959|0.6977404359999999|-0.068062282|0.008349498|0.753027268|-14.3968489|0.476413155|6.063350238|1.0|23.0|-4.45|1.21e-06|3.17|-990.6223073|5.4
14n_a23|1|362.35|575.71|0.0|0.4229|-0.2077099999999999|3.3716621960000004|9.2441|2|-0.199540201|0.219354173|0.71381683|-0.058928845|0.027028617|0.6868205409999999|-21.84509525|0.469606631|8.662092555|0.0|26.0|-5.02|1.3699999999999998e-05|3.23|-1744.450916|9.2441
7_a3|0|210.68|362.61|0.0|0.1262|-0.21219|0.0|5.9901|1|0.036673175|-0.224253635|0.773152968|-0.1034274319999999|0.009708941|0.7992146109999999|-18.2490344|0.3987206729999999|5.198046584|1.0|21.0|-4.87|1.11e-05|3.09|-1731.7341420000002|5.9901
15c_a10|0|221.75|595.63|0.0|0.0|-0.19463|2.154210861|7.0|1|-0.35845963|-0.03167553|0.733973277|-0.046967376|0.014703076|0.528228415|-13.36848349|0.449308156|8.639636218|1.0|21.0|-4.57|7.3e-06|2.2|-1450.241475|7.0
10_a15|0|277.48|487.16|0.0|0.0042|-0.18958|0.0|8.1549|0|-0.184255041|0.0107135269999999|0.7933685340000001|-0.052826735|0.010485777|0.8301726490000001|-21.17108692|0.449323734|5.555044294|1.0|24.0|-5.83|5.99e-08|5.16|-1281.088565|8.1549
3_a3|0|212.09|316.65|0.0|0.0851|-0.20969|0.0|5.93|2|0.081380229|-0.082619043|0.8495058259999999|-0.107269779|0.012617742|0.7000038270000001|-15.98657012|0.415122657|5.025797436|1.0|20.0|-4.39|0.000218|1.92|-1592.904586|5.93
17_a20|0|365.45|543.09|3.445659565|0.2977|-0.21089|0.0|5.6478|1|-0.202695123|-0.131511077|0.71987165|-0.063665681|0.015032258|0.75430388|-20.699942|0.455285305|8.198616089|1.0|27.0|-5.08|2.9e-08|4.11|-1291.949041|5.6478
4c_a46|0|227.16|617.56|0.0|0.2083|-0.21466|2.137504882|5.6972|1|-0.083788154|0.072412685|0.65145414|-0.063644365|0.013924723|0.840753785|-18.76186479|0.450883931|7.172412106|0.0|17.0|-5.28|9.32e-06|6.38|-1245.4159619999998|5.6972
13_a47|1|307.63|404.73|2.920663104|0.3382|-0.22065|0.0|7.8|1|-0.0233277889999999|0.030290722|0.626280497|-0.081148294|0.017736598|0.688261242|-16.72368034|0.472007922|7.038683428|1.0|21.0|-4.27|4.04e-06|2.7|-1067.820961|7.8
22_a4|0|277.43|400.29|0.0|0.1293|-198.0|1.987636054|7.3279|1|0.034720243|0.086940934|0.755510052|-0.09491995|0.010702353|0.8444670409999999|-17.52572365|0.4359219589999999|5.495481464|1.0|17.0|-3.98|0.0016699999999999|3.38|-934.2706743999998|7.3279
6c_a31|0|376.01|524.56|3.423005244|0.5028|-0.19169|0.0|6.4685|2|-0.009333123|-0.078059285|0.7905201209999999|-0.120905075|0.03173578|0.7653239190000001|-28.32375523|0.4463376229999999|8.102804662|1.0|22.0|-4.94|7.9e-06|5.08|-1691.984862|6.4685
12w_a36|0|318.88|552.55|3.3131307480000003|0.4508|-0.21034|0.0|7.6383|1|-0.3344729369999999|-0.098657593|0.624142499|-0.086826396|0.021104445|0.70536279|-29.58856606|0.4672300679999999|8.365472166|0.0|17.0|-5.07|3.37e-05|4.86|-1645.202839|7.6383
28_a34|0|289.3|417.28|0.0|0.2043|-0.21698|1.767685185|5.4179|1|-0.311884247|0.092890802|0.7829667309999999|-0.1306693569999999|0.03768308|0.7298701059999999|-24.6708914|0.454339954|5.613534285|1.0|17.0|-3.25|0.00535|4.11|-1100.797628|5.4179
34_a47|1|294.66|436.88|0.0|0.1718|-0.21536|1.883479676|8.7|1|-0.317014709|0.046668352|0.609110565|-0.061957581|0.019723558|0.653993216|-16.25230464|0.45489212|7.066583143|1.0|21.0|-3.9|1.17e-05|2.41|-1162.4815230000002|8.7
30_a47|1|333.66|478.04|0.0|0.3566|-0.20813|1.435022468|7.9|1|-0.079370393|-0.1340278869999999|0.651797437|-0.108232368|0.022747897|0.679447569|-22.9932445|0.4680850139999999|6.886726437999999|1.0|21.0|-4.1|2.28e-05|3.89|-1696.12008|7.9
31_a47|1|311.96|508.69|0.0|83.0|-0.20463|1.441825189|7.8|1|-0.076351692|-0.1978980839999999|0.6463892179999999|-0.10715233|0.021401336|0.70664003|-23.31144534|0.4741051329999999|8.214180216|1.0|21.0|-4.39|9.95e-06|4.2|-1735.435432|7.8
5a_a40|0|326.96|353.51|0.0|0.4461|-0.21644|1.688148148|7.0915|2|0.007301856|-0.442215721|0.5263598389999999|-0.078132307|0.020641204|0.8224652720000001|-16.10801287|0.4889874279999999|5.507689573|0.0|14.0|-3.67|0.0241|4.36|-1177.598691|7.0915
8c_a12|0|284.38|402.43|0.0|0.1355|-0.2227699999999999|0.0|7.3979|0|-0.370782022|-0.10899871|0.845077891|-0.067004282|0.019604202|0.764449832|-19.51587692|0.472503372|5.670223821|1.0|18.0|-3.72|2.28e-05|2.76|-1022.77302|7.3979
18a_a30|0|357.18|508.08|0.0|0.3781|-0.19785|0.0|7.6108|1|-0.094526372|0.003991162|0.7961424690000001|-0.072474599|0.017060045|0.7904991659999999|-23.02866795|0.445995681|7.050626413|0.0|17.0|-4.85|9.21e-05|3.82|-1575.786909|7.6108
11b_a5|0|275.55|511.28|2.943854668|0.2013|-0.21291|0.0|7.7212|1|-0.017658026|-0.0497097529999999|0.682032125|-0.07633373|0.016373566|0.66824472|-17.60913884|0.456131351|8.936258446|1.0|23.0|-4.69|2.68e-07|3.31|-1564.761898|7.7212
18_a47|1|290.58|487.81|2.969619451|0.0516|-0.22313|0.0|8.6|1|-0.053119347|-0.059779939|0.630969651|-0.078937385|0.014741763|0.7327484470000001|-19.03697822|0.432077184|7.018342267|1.0|27.0|-5.37|1.78e-08|3.32|-1354.221126|8.6
12c_a30|0|245.12|541.39|0.0|0.1568|-0.2038599999999999|0.0|7.9914|1|-0.090173435|-0.031986012|0.7463962120000001|-0.076777688|0.01588025|0.8061287690000001|-24.42511853|0.452966315|7.652098812999999|0.0|17.0|-5.44|2.61e-05|4.45|-2035.373591|7.9914
9o_a24|0|210.85|432.84|2.9340792330000003|0.0288|-0.22353|0.0|6.3507|1|0.00294424|-0.0062180169999999|0.7086274779999999|-0.088586421|0.018492771|0.668046377|-19.05574986|0.4861134689999999|6.080741586|0.0|23.0|-4.4|5.23e-06|4.41|-1388.147972|6.3507
47t_a18|0|397.84|601.36|0.0|0.5502|-0.19514|0.0|6.1068|0|-0.104274108|0.005590928|0.688453085|-0.119202068|0.014067024|0.804531523|-27.16032544|0.49779009|8.780037801|0.0|18.0|-4.77|1.36e-05|9.4|-1470.873743|6.1068
17b_a50|1|292.09|647.75|0.0|0.1758|-0.19879|4.35392516|6.9136|2|-0.357011777|-0.1585336269999999|0.748900413|-0.047785496|0.0128994089999999|0.803386523|-18.65764227|0.4835366239999999|8.324966952|1.0|20.0|-4.91|1.22e-05|3.77|-1337.1910779999998|6.9136
47o_a18|0|385.04|706.49|0.0|0.5065|-0.18223|0.0|7.3279|0|-0.156998637|0.001673737|0.733228144|-0.077288013|0.008692675|0.872753077|-25.08909125|0.493146875|9.808930716|1.0|18.0|-5.08|1.93e-07|7.62|-1455.574672|7.3279
3f_a32|1|348.58|488.74|3.553167045|293.0|-0.2006099999999999|0.0|8.0458|3|-0.133675401|-0.110248899|0.786074011|-0.073433055|0.011897886|0.78919828|-16.99267001|0.435176082|6.153728636|1.0|19.0|-5.4|1.73e-05|3.92|-1712.0610190000002|8.0458
12t_a30|0|244.58|527.87|0.0|0.1561|-0.20571|0.0|8.0496|1|-0.145315868|-0.003937967|0.591758164|-0.090535776|0.018862708|0.745705883|-24.17113783|0.445760296|7.957774504|0.0|17.0|-5.17|3e-05|4.32|-1774.2421780000002|8.0496
26_a47|1|258.5|443.78|0.0|77.0|-0.22921|1.06819297|7.9|1|-0.079370393|-0.11288313|0.651797437|-0.098127284|0.020884606|0.717639177|-22.50824805|0.474969855|6.945070057000001|1.0|21.0|-4.56|2.37e-05|4.37|-1696.096597|7.9
13a_a6|0|206.87|571.9|3.417162147|0.2697|-0.19987|0.0|7.3372|1|-0.180339002|0.090839165|0.8013954109999999|-0.094081761|0.031866842|0.759912392|-26.70706346|0.467070451|8.038453162|1.0|23.0|-4.99|4e-07|4.04|-1350.085889|7.3372
25b_a34|0|293.43|562.84|0.0|0.2259|-0.21103|1.94553288|5.6819|1|-0.435821207|0.08214612|0.787858064|-0.1030760719999999|0.030138301|0.76274549|-26.50275222|0.419904835|6.383564979|1.0|17.0|-3.69|0.00015|5.06|-1313.388114|5.6819
36_a18|0|388.57|636.33|0.0|0.4674|-0.18124|0.0|7.4949|0|-0.12139648|-0.010091893|0.721836103|-0.07777765|0.009440278|0.812056067|-22.73046122|0.4751830729999999|9.560644525|1.0|18.0|-5.28|3.210000000000001e-07|7.75|-1493.686737|7.4949
7a_a8|0|270.66|494.48|3.1730222510000003|0.1575|-0.20505|1.4494883790000002|4.6068|1|-0.032195997|0.033708575|0.681200974|-0.102174163|0.035405618|0.733884399|-25.04740346|0.477611327|7.699041907000001|0.0|23.0|-4.64|2.05e-05|5.2|-1291.313963|4.6068
8_a10|0|264.0|416.69|0.0|0.0916|-0.21789|2.071128354|6279.0|1|-0.132343104|-0.015871527|0.616731847|-0.059655303|0.015758182|0.722649449|-16.36478554|0.431797417|6.112185271|0.0|21.0|-4.62|9.59e-06|4.58|-1257.84172|6279.0
19f_a38|0|233.07|495.68|3.3320764830000003|0.0019|-0.20104|0.0|7.1397|1|-0.217394466|-0.075025988|0.698414933|-0.085318318|0.02107583|0.734437553|-24.1763087|0.453960261|6.164440995|1.0|17.0|-4.17|5.610000000000001e-05|3.41|-1332.190216|7.1397
12ad_a36|0|216.26|588.2|3.428443248|0.2532|-0.21044|0.0|7.7696|1|-0.227404687|0.1563642469999999|0.7767870459999999|-0.082404548|0.030769062|0.656407461|-25.88878839|0.477102332|8.770308295|0.0|17.0|-4.08|0.000106|4.5|-1460.8311199999998|7.7696
14t_a23|1|311.09|534.86|0.0|0.0003|-0.22291|3.410065804|8.3979|2|-0.136106024|0.113493155|0.6906097959999999|-0.0553915009999999|0.017433037|0.799945841|-21.69314909|0.465981891|7.55064865|0.0|26.0|-5.25|7.03e-06|3.79|-1669.240512|8.3979
12y_a30|0|238.56|585.59|0.0|0.1489|-0.19815|0.0|7.6576|1|-0.0922059569999999|-0.05346283|0.803183654|-0.070903795|0.0149823289999999|0.820108145|-23.38859815|0.445723724|8.067590558|0.0|17.0|-5.46|1.76e-05|4.45|-1654.41361|7.6576
25_a12|0|290.68|442.64|0.0|0.1897|-0.19655|0.0|7.6576|0|-0.0861945369999999|-0.2430098439999999|0.806844014|-0.054734834|0.004952762|0.917298637|-17.31450713|0.448858246|5.34703037|1.0|22.0|-5.25|5.12e-07|4.73|-974.6569575|7.6576
3a_a49|0|240.06|449.68|0.0|0.0793|-0.2171|2.09865947|7.1938|1|0.003978478|0.012813604|0.7476073409999999|-0.094437035|0.016205613|0.689774813|-17.97906469|0.474653816|6.566343333|1.0|21.0|-3.3|2.51e-05|3.16|-1254.012043|7.1938
9d_a31|0|322.22|630.49|3.456767212|0.2611|-0.19426|0.0|6.2218|2|-0.214049412|-0.030275712|0.771222772|-0.098210975|0.029032453|0.6636195229999999|-23.07536346|0.457506946|9.436176796|1.0|16.0|-4.39|9.69e-06|5.0|-1657.471475|6.2218
12ak_a36|0|320.09|584.05|3.501132553|0.0001|-0.20204|0.0|7.3372|1|-0.163978382|0.051506104|0.860667615|-0.069176342|0.019931266|0.737439195|-23.5478668|0.423822657|7.98672125|0.0|17.0|-4.86|1.7800000000000002e-05|4.21|-1350.900117|7.3372
1e_a5|0|261.24|427.87|2.953259375|0.1355|-0.22291|0.0|6719.0|1|0.0578378779999999|0.045376705|0.6977404359999999|-0.06795194|0.008587563|0.7473936259999999|-14.48881117|0.482579989|6.41473183|1.0|23.0|-4.45|1.21e-06|3.17|-990.6320386|6719.0
18_a15|0|272.91|535.02|0.0|0.0066|-0.19371|0.0|6.8894|0|-0.145790726|-0.0374132629999999|0.645117465|-0.067562078|0.007146033|0.867430881|-21.51621375|0.415796832|5.990767063|1.0|24.0|-5.93|4.01e-08|5.65|-1265.810138|6.8894
17b_a25|0|228.6|654.18|0.0|0.1741|-0.21939|1.785120622|6.9957|1|-0.073994564|0.068812225|0.636746066|-0.068207754|0.015879547|0.724866184|-22.17876359|0.476276266|9.700133933|1.0|27.0|-5.07|4.16e-08|5.89|-1483.873254|6.9957
12h_a40|0|298.7|435.95|0.0|0.3693|-0.18432|1.760542171|6.0846|2|0.224167029|0.116873629|0.6948809659999999|-0.0954337969999999|0.0117142839999999|0.844008584|-20.51086984|0.4958138139999999|7.989299324|0.0|20.0|-5.58|5.2e-05|4.14|-2153.207198|6.0846
12p_a30|0|238.79|526.91|0.0|0.1527|-0.19992|0.0|7.7721|1|-0.09353607|-0.051402518|0.7991060659999999|-0.074356395|0.015107947|0.8199554720000001|-23.33022469|0.469983155|7.392482526|0.0|17.0|-5.15|4.02e-05|4.14|-1615.094336|7.7721
12v_a30|0|349.18|573.82|0.0|0.1601|-0.20681|0.0|7.6596|1|-0.0857954809999999|-0.029852321|0.711738503|-0.077138874|0.015823709|0.806069067|-25.48342433|0.478535287|8.114588039|0.0|17.0|-6.04|7.39e-06|5.08|-2494.963646|7.6596
35_a18|0|385.69|657.07|0.0|0.4981|-0.18079|0.0|7.6198|0|-0.117857059|-0.032017257|0.7277482059999999|-0.081822342|0.008853796|0.874573807|-24.64522632|0.465531336|9.184536969|1.0|18.0|-5.53|1.35e-07|8.09|-1533.002975|7.6198
13c_a6|0|206.92|596.15|3.441255118|0.28|-0.1999|0.0|7.1367|1|-0.174259072|0.085414885|0.7995080809999999|-0.093635525|0.030547186|0.772032541|-27.1440571|0.466844407|8.038175951|1.0|23.0|-5.27|1.68e-07|4.5|-1389.39897|7.1367
3e_a32|1|348.38|456.76|3.501917045|0.2914|-0.20098|0.0|8.0862|3|-0.1395294259999999|-0.061561535|0.77923808|-0.073411249|0.0124235339999999|0.7752553659999999|-16.59123638|0.4513338939999999|5.863649531|1.0|19.0|-5.18|4.13e-05|3.52|-1672.748189|8.0862
14e_a23|1|334.8|571.39|0.0|0.3178|-0.2342199999999999|3.052208981|8.5214|2|-0.226146643|0.133270225|0.5415996160000001|-0.073376247|0.018022127|0.796525872|-27.39493099|0.49543439|8.020794334|0.0|26.0|-5.79|2.85e-06|4.2|-1966.96594|8.5214
7_a1|0|306.1|365.53|0.0|0.2961|-0.19167|2.307091837|6.3372|1|-0.391298966|-0.048198584|0.729621031|-0.083362936|0.035937867|0.603382856|-14.95535873|0.452829665|5.07667644|1.0|17.0|-3.71|0.000698|2.76|-1009.509475|6.3372
4a_a46|0|272.77|467.4|0.0|0.1694|-0.21988|2.180332577|6.7423|1|-0.129430244|-0.215877982|0.683616517|-0.05488948|0.00935578|0.742626378|-11.49234623|0.4289963579999999|5.613813876|1.0|17.0|-4.31|4.86e-05|3.4|-994.237445|6.7423
7e_a8|0|325.06|544.55|3.038052327|0.1522|-0.2054699999999999|1.3496955309999998|4.4547|1|0.07125309|-0.023521398|0.577394732|-0.08608941|0.0215993429999999|0.776001552|-22.39586026|0.4742828629999999|7.70387217|0.0|23.0|-5.41|1.95e-06|6.32|-1300.495519|4.4547
9_a4|0|262.21|430.12|0.0|0.0584|-0.22204|2.130445484|7.3188|1|-0.076824065|-0.151437311|0.58669472|-0.052625548|0.009037784|0.792890434|-14.08655666|0.43745176|5.744374392999999|0.0|21.0|-5.15|2.49e-06|3.87|-1489.554198|7.3188
18a_a22|0|246.91|531.16|0.0|0.0354|-0.21148|1.854982521|7.8861|1|-0.147724859|-0.042139855|0.722009212|-0.050645213|0.01713283|0.710467198|-19.86401135|0.487405342|7.037677899|1.0|27.0|-5.16|1.73e-07|3.69|-1691.3151059999998|7.8861
16c_a32|1|341.89|508.43|3.329674745|0.2955|-0.20047|0.0|8.3468|3|-0.229450999|0.0482801729999999|0.764217655|-0.088841599|0.025791147|0.6846367059999999|-22.77882371|0.463897164|6.313526111|0.0|19.0|-4.41|4.13e-05|4.12|-1916.6792|8.3468
