molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|BCUTs-1|AATSC1c|SRW07|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|MATS8s|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA3|PNSA5|RNCS|TPSA_x|FNSA4|WPSA3|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
17c_a50|0.0|0|1|1|0.0|2|7.934155233999999|2|1.347835869|-0.002676029|5.82008293|0.031870748|0.021572081|2.193763306|-0.1766179239999999|0.01130519|-0.120904775|2|0.012222674|0.034485992|-0.233451925|-0.373205592|-0.2256811219999999|-0.139943634|1|0.89719894|-0.073693343|0.446454378|0.021675174|-35.70979598|-50.69922125|133.46240020000002|70.72462009999998|-0.021745577|10.25908547|-24.567468100000003|66.7258111|50.6217864|0.49503436|617.2509739|-912.5859825|2014.72331|-10.29240792|0.430249571|8.310163601000001|0.98033276|6438.380804|-627.8368834|26.25785813|-95.97318605|1601.729346|0.0|1.0|1.0|0.0|4.12|3.61|0.35|-6.79|3.59|3.53|61.0|1.91|1.0|134.28|1.0|-3.8|33.0|5.0|-6.96|0.0|0.0|3.1|-4.43|0.000158|0.0698|3.75e-05|0.0165|0.0|7.08e-05|-0.03121|4.2397|2.74|-1411.157813|746.5|0.1814|292.44|0.63122|0.1801|6.3989|-0.19818|0.02957871|-1410.902767|8.5146|7.1612|7.1612
5_a47|0.0|0|0|0|0.0|0|0.0|0|1.304329328|-0.009295857|0.0|0.037492877|0.003858593|1.284688504|-0.390426|-0.012670377|0.045246333|0|-0.011237954|0.0083528919999999|-0.019811664|-0.0428873159999999|-0.454659897|0.065981732|1|0.807957755|-0.1001981959999999|0.526509524|0.009936558|-46.33853208|-52.90420509|104.9032216|101.3974575|-0.038537768|2.770107005|-24.46654029|62.14504725|51.58499074|0.4736061789999999|426.5981263000001|-793.5630764|1349.003107|-10.74353333|0.218428796|5.861037845|0.8997183470000001|5501.708422|-418.9977997|26.03444329|-297.3367046|1015.343288|1.0|0.0|1.0|2.0|2.67|2.79|0.0|-8.68|4.73|5.96|58.04|3.26|2.0|101.51|1.0|-5.65|26.0|4.0|-5.19|1.0|1.0|4.29|-5.5|2.25e-06|0.000824|3.18e-06|0.00116|0.0|7.590000000000001e-07|-0.05535|3.7083|4.37|-1569.333281|561.61|0.2108|334.35|0.69291|0.2108|2.9121|-0.20954|0.03591467|-1569.258939|3.8816|7.7|7.7
1c_a5|0.0|1|0|0|2.955525321|0|6.605297921|0|1.424607938|-0.001983746|4.59511985|0.0248765429999999|-0.080321049|0.0|-0.085301064|0.008031558|-0.058823529|1|0.007357977|-0.133677441|0.034752304|0.0578378779999999|-0.20172074|0.128385959|0|0.88631419|-0.070346332|0.436308619|0.008349498|-34.82350689|-35.99212225|160.5407184|58.16640976|-0.0281385329999999|2.185709046|-17.81716094|43.86175561|39.09545876|0.476413155|453.4753671|-575.8739559999999|873.709445|-7.366029352999999|0.246972732|6.063350238|0.909902834|4387.398857|-294.64117410000006|19.11862892|-258.918642|764.7451566000001|1.0|0.0|1.0|1.0|2.78|2.09|0.05|-8.41|4.99|4.51|54.46|2.13|0.0|95.45|1.0|-4.25|24.0|3.0|-5.77|0.0|1.0|3.43|-4.45|5.5700000000000005e-05|0.0174|3.5600000000000005e-05|0.0111|0.0|1.21e-06|-0.03965|4.8783|3.17|-990.5931502|556.84|271.0|254.15|0.4444899999999999|0.1076|1.7105|-0.22684|0.029157178|-990.516371|2.6801|5.4|5.4
11b_a50|0.0|0|1|1|0.0|2|7.927685046000001|1|1.3979498330000002|-0.002908227|5.82008293|0.038040936|-0.007722567|2.114272566|-0.13377846|0.011959339|-0.133073229|2|0.012037198|-0.013155246|-0.162848233|-0.277408878|-0.266743077|-0.146696566|1|0.931316325|-0.069841183|0.229754094|0.019455771|-23.23499995|-36.43643854|7.949039772000001|35.832562100000004|-0.02494328|5.295379767|-12.12179711|47.72173991|33.38515735|0.42907551|485.8716402|-546.5465781|1650.235214|-6.788943965|0.357948005|5.697537591000001|0.751545111|4884.730303|-285.1356465|20.26785036|-148.2182458|851.2497152000001|0.0|1.0|1.0|0.0|3.44|2.84|0.15|-5.87|3.09|3.73|48.53|2.25|0.0|99.65|2.0|-3.58|25.0|3.0|-6.24|0.0|1.0|2.96|-4.16|0.000263|0.0862|6.97e-05|0.0228|0.0|0.000441|-0.02817|4.6471|3.05|-1045.961211|560.06|195.0|266.8|0.53885|0.0711|2.7805|-0.19501|0.02113855|-1045.849774|3.7922|5.7696|5.7696
12_a4|-3.2834578760000004|0|0|0|0.0|1|7.535296702|1|0.295190368|-0.0021497879999999|5.4161004020000005|0.0381179139999999|-0.0334644329999999|1.587386096|-0.113938738|0.005795666|0.028152112|1|0.009024784|-0.055590089|-0.051501982|-0.085553511|-0.220286906|-0.036425699|1|0.805238097|-0.074699711|0.636722126|0.01168879|-41.69390404|-44.33087544|15.80191019|115.5823166|-0.025916226|4.116653575|-24.74343259|53.59101661|48.6306683|0.470780296|477.8721263000001|-753.6248824|1962.933988|-9.127388465|0.282227427|6.223583758999999|0.889574393|6390.233612|-447.2420348|21.42753878|-258.476202|1049.9494|1.0|1.0|1.0|0.0|3.41|2.94|0.23|-7.84|3.69|4.98|86.12|2.17|1.0|113.02|1.0|-4.18|29.0|5.0|-6.84|0.0|1.0|3.3|-4.33|6.57e-05|0.0266|4.64e-05|0.0188|0.0|5.85e-06|-0.06898|4.8592|6.12|-1617.826064|640.67|0.1194|255.16|0.63967|0.0464|7.8701|-0.2312199999999999|0.03555871|-1617.634733|10.1971|5032.0|5032.0
12p_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.604984421|-0.0063403159999999|5.351858133|0.040899471|-0.062956958|0.0|-0.3550576729999999|0.005613018|-0.128484994|1|0.005965451|-0.109773594|-0.053644471|-0.09353607|-0.456474815|-0.051402518|0|0.843381594|-0.094870978|0.371591982|0.015107947|-47.54197452|-60.65858419|75.21136863|100.1386407|-0.0364888379999999|6.176226649|-30.39737673|68.98315679|57.20168999|0.469983155|539.2411292|-1213.171684|2326.5244390000003|-14.91687369|0.180044528|7.392482526|0.886732486|6166.812731|-775.6774321|28.4530386|-409.146112|1479.558007|1.0|1.0|0.0|1.0|4.76|0.0|0.17|-7.01|4.35|2.93|81.65|3.04|2.0|132.24|1.0|-5.66|30.0|4.0|-5.81|0.0|1.0|2.91|-5.15|2.21e-06|0.0009119999999999|7.05e-06|0.00291|0.0|4.02e-05|-0.05169|5.1922|4.14|-1615.0623480000002|685.08|0.1768|238.79|0.33929|0.1527|4.0456|-0.19992|0.03198743|-1614.890598|4.6103|7.7721|7.7721
12aw_a36|0.0|1|0|0|3.28940051|0|7.412764017000001|2|1.297044239|-0.008293935|5.351858133|0.043383838|0.066435701|0.0|-0.4478724979999999|-0.006877664|-0.034663063|1|-0.004358975|0.169961228|-0.098027247|-0.250781298|-0.4191703539999999|-0.022464907|0|0.706174871|-0.114701005|0.373775982|0.023038651|-56.73814908|-73.52224315|54.50894809|188.3390873|-0.041292362|9.4658605|-36.36860892|87.37742985|71.5057033|0.47322369|452.6513136|-1323.400377|2380.579051|-16.96573876|0.250947713|7.545677222999999|0.898338973|6370.06138|-848.2869380000001|35.33532702|-319.2802512|1766.7663510000002|1.0|0.0|0.0|2.0|4.73|0.0|0.14|-7.12|3.55|3.0|69.2|2.78|1.0|123.67|1.0|-3.99|31.0|6.0|-6.8|0.0|0.0|2.44|-4.32|0.000102|0.0424|4.81e-05|0.0201|0.0|3.17e-05|-0.05513|5.2313|3.66|-1431.373326|666.09|0.4088|237.0|0.38905|0.3892|4.8181|-0.21201|0.03134789|-1431.239759|6.5278|8.0458|8.0458
8h_a8|0.0|1|0|0|2.975382653|1|7.05012252|0|1.3918396709999998|-0.010324979|4.844187086|0.046205674|0.008138299|0.0|-0.485274006|-0.007796225|0.007079485|1|-0.007036544|0.021094825|0.09830823|0.254819201|-0.53822084|0.111824921|0|0.602405134|-0.11302328|0.273425421|0.0111998669999999|-72.14530885|-66.4523265|316.4918269|233.7669182|-0.048805507|3.871662077|-42.41801879|70.94463092|78.73029948|0.451435543|354.18563860000006|-1262.594204|2019.780061|-16.87148841|0.081684095|7.453557203|0.822939833|5956.417906000001|-742.3454901|31.2477685|-491.8998117|1374.901814|0.0|0.0|0.0|2.0|3.11|2.73|0.0|-7.95|4.69|4.72|80.88|4.11|2.0|105.27|1.0|-5.21|29.0|4.0|-5.98|0.0|0.0|4.01|-5.0|6.11e-06|0.0023899999999999|1.01e-05|0.00395|0.0|4.43e-06|-0.06344|4801.0|7.71|-1361.618499|608.39|0.3011|258.25|0.56196|272.0|3.4779|-0.21819|0.03330037|-1361.5113789999998|4.4356|4.9359|4.9359
20a_a10|0.0|0|0|0|0.0|1|7.535296702|1|1.343837243|-0.0034618129999999|5.4161004020000005|0.036415094|-0.035536682|1.896409603|-0.197323337|0.008214031|0.011011878|1|0.008297595|-0.058994157|-0.049146504|-0.081587712|-0.281099208|0.036092601|1|0.913681336|-0.072821454|0.591835899|0.013618456|-43.19189039|-47.37850712|66.52185003|56.1599532|-0.028008251|5.764636687|-28.10115947|58.1398225|52.05222074|0.452402751|594.4519837|-947.5701424|2021.669282|-11.8557778|0.266548108|8.419180593|0.826159649|6729.996773999999|-616.5004457|24.84485067|-303.7731758|1291.932235|1.0|1.0|1.0|0.0|3.48|3.63|0.11|-9.44|5.06|5.77|76.62|2.53|2.0|126.35|1.0|-5.68|33.0|5.0|-5.82|0.0|1.0|4.27|-5.59|2.07e-06|0.000888|2.56e-06|0.0011|0.0|1.55e-07|-0.06611|4.7841|3.98|-1389.1321289999998|696.63|0.2738|259.16|0.50193|107.0|2.9429|-0.2274199999999999|0.03217287|-1388.957848|3.2116|5.9208|5.9208
12bh_a36|0.0|1|0|0|3.50075137|0|7.412764017000001|2|1.297043258|-0.006687484|5.351858133|0.044197531|0.001012669|0.0|-0.401249012|0.003676818|-0.035747988|1|0.0045625|0.0016901289999999|-0.101854847|-0.169994208|-0.43574839|-0.211972014|0|0.833491953|-0.09959401|0.317612728|0.017627098|-47.04367494|-66.28126709|83.08294358|110.81353529999998|-0.035569289|7.807212275|-31.30825225|76.46867897|58.77476595|0.482052584|554.7010591|-1325.625342|2437.805332|-15.75398235|0.216705778|7.545637217999999|0.930697921|5957.443236|-882.2230117|30.2209316|-377.0728785|1692.3721690000002|1.0|0.0|0.0|2.0|4.95|0.0|0.21|-7.34|3.76|2.5|69.2|2.45|1.0|133.68|1.0|-4.54|31.0|4.0|-6.38|0.0|1.0|2.42|-4.6|2.8600000000000004e-05|0.0117|2.5e-05|0.0102|0.0|1.86e-05|-0.0525299999999999|3.8811|3.79|-1311.558898|715.94|0.4386|319.46|0.69377|11.0|5.8338|-0.20168|0.03071385|-1311.356102|7.7975|7.8539|7.8539
