molecula|SddssS|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|MATS8s|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA5|PPSA3|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|GRAVp|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|Fraction Csp3|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|E solv. Water  (Hartree)|pIC50
19j_a38|0.0|1|0|0.0|0|7.412764017000001|2|1.29704352|0.0|-0.089207643|5.351858133|2|0.105682345|0.0|-0.438688445|1|1|-0.002443797|0.23209815|-0.09493054|-0.20848518|-0.42133715|1|-0.001131945|-0.060360554|0|0.8071763829999999|-0.0844479869999999|-0.108006563|0.0250587|-73.92901683|17.15233756|0.192823617|131.9851314|-50.60340201|11.74054073|29.18585028|0.714369845|-1.944118135|-39.565701700000005|90.05233553|-26.09259418|2969.234865|-1330.722303|3109.238056|7.506210369|12.69084117|6704.612831|195.5099392|-910.8612362|36.5253298|0.023555355|-293.4664598|1862.79182|640.025745|0.0|0.13|3.17|105.02|1.76|130.41|5.0|-4.35|5.0|-7.13|426.45|0.0|0.0|4.46e-05|0.0|1.2099999999999998e-07|5.14e-05|-0.06447|6.0361|3.23|3.6886|686.26|1163.3|336.13|354.0|205.41|0.30419|0.69435|-1424.183388|0.03678378|8.1146
6e_a31|0.0|1|0|0.0|0|7.773594467000001|1|0.61015618|0.0|0.06650322|5.733341277|0|0.132664341|0.0|-0.784597028|2|2|-0.008439437|0.225356759|-0.002840672|-0.004825446|-0.579941248|0|-0.071378445|-0.072882794|0|0.623340994|-0.122985602|-0.130898441|0.032627586|-79.81721349|19.89514173|0.376659006|229.6732654|-48.66969791|12.13134981|99.0823033|0.7604979040000001|-2.0943750530000003|-45.72760428|93.68572477|-28.37945369|2776.836977|-1277.075416|2188.417358|7.513687859|14.40145519|6053.812282|146.03985980000002|-778.7151665|37.31693873|0.022744048|-317.6847132|1679.262243|536.6368656000001|1.0|0.1|5.19|131.36|1.36|109.69|4.0|-5.63|5.0|-6.5|404.44|0.0|1.0|2.34e-06|0.0|4.67e-08|1.89e-05|-0.05426|3.3083|4.31|3.3083|634.34|1077.48|374.76|0.5103|374.76|0.70391|0.70391|-1652.445002|0.03676794|6.4318
13g_a6|0.0|1|0|0.0|0|6.842683282|0|1.424099171|0.0|-0.0961994219999999|4.727387819|2|0.03536788|1.648997541|-0.381325604|1|1|-0.000644109|0.061423911|-0.12414699|-0.215607882|-0.46487852|2|0.095969451|-0.144664763|1|0.871972049|-0.074216821|-0.091949419|0.017637229|-64.02222283|12.28038897|0.128027951|89.14285747|-44.57717132|8.550546653|0.0|0.7357333540000001|-1.747038966|-35.98038956|76.50577593|-22.52633766|2929.039254|-1216.422234|3916.754765|7.968172425|14.34268783|6332.20768|184.0026638|-846.9662551000001|30.61752948|0.017929016|-328.2712049|1653.346592|744.1359788|1.0|0.12|5.41|103.17|1.13|128.63|6.0|-5.56|5.0|-6.31|431.49|0.0|1.0|2.77e-06|0.0|2.67e-11|1.15e-08|-0.07536|5.9869|3.83|3.2472|739.55|1253.71|381.82|0.8442|207.09|0.38325|0.7034100000000001|-1386.3020800000002|0.03802398|6.9245
6a_a40|0.0|0|0|0.0|1|8.421342866|2|0.604893625|1.78213955|0.117890918|6.401917197|0|-0.146542353|0.775942224|-0.68730803|2|2|-0.001171195|-0.272320301|-0.021759541|-0.040435852|-0.620787469|0|-0.012261923|-0.340539542|1|0.733750993|-0.109047987|-0.117413572|0.016399125|-73.33687786|10.24294396|0.266249007|166.2999483|-45.80643937|6.397774285|36.84483305|0.8678518190000001|-2.113444291|-42.542782200000005|81.37714586|-30.69915817|2936.1501780000003|-1320.063801|2536.88262|6.945713476|11.8691482|7059.617542|82.54016015|-824.5159087000001|35.37373259|0.012872604|-459.522754|1521.070502|557.4018948|0.0|0.21|4.38|173.43|1.62|120.14|5.0|-7.11|5.0|-6.32|442.53|0.0|1.0|7.85e-08|1.0|8.950000000000001e-05|0.0396|-0.0926|2.9836|7.73|2.9836|649.48|1103.4|415.55|0.4015|415.55|0.6782699999999999|0.6782699999999999|-2371.3827|0.01952089|7.3979
18_a4|0.0|0|0|0.0|1|7.535296702|1|1.3998285519999998|1.904090136|-0.181683336|5.4161004020000005|1|0.049240675|0.0|-0.181355303|1|1|0.00042|0.108754635|0.006968314|0.015390457|-0.319213511|1|0.102914528|-0.105846349|0|0.7755960390000001|-0.094231531|-0.085817825|0.017694182|-42.33787448|8.729352711|0.224403961|110.7087804|-20.88721799|4.306590617|0.0|0.769438308|-1.287267373|-22.93503169|50.98777224|-17.16400317|2069.649003|-635.0681172000001|1573.744396|6.133421395|10.31843368|4381.693113|113.7466718|-313.3082699|22.30718562|0.0175331289999999|-265.85258480000005|825.3658678999999|337.0066459|1.0|0.11|3.46|50.94|2.2|86.22|3.0|-2.95|4.0|-6.58|307.32|1.0|1.0|0.00113|0.0|2.96e-06|0.0009109999999999|-0.03538|4.5152|3.02|4.2045|523.81|870.74|294.88|0.2083|274.59|0.52475|0.57777|-1033.349218|0.02525528|5.5817
12ay_a36|0.0|1|0|0.0|0|7.412764017000001|2|1.2970434|0.0|-0.05976542|5.351858133|2|0.1012005419999999|0.0|-0.404030255|1|1|0.0045625|0.1689021819999999|-0.101854847|-0.169994208|-0.438622276|1|-0.109624825|-0.111814717|0|0.829406408|-0.074251203|-0.098945129|0.018016934|-64.13591431|11.67851857|0.170593592|110.578217|-41.57269314|7.569978132|8.677627506|0.778164805|-1.978902589|-31.1973159|74.29343346|-22.90568368|2766.899844|-1282.718286|3238.138932|6.466730436000001|11.82248632|6204.216872999999|143.79285900000002|-831.4538627999999|29.43551742|0.015670425|-360.6110621|1648.388976|729.1873176|0.0|0.21|3.76|69.2|2.45|133.68|5.0|-4.54|4.0|-6.38|409.49|1.0|1.0|2.8600000000000004e-05|0.0|4.55e-08|1.86e-05|-0.0526|3.9348|3.79|3.6561|674.33|1184.45|339.12|0.2939|315.09|0.6727|0.6914|-1311.282556|0.02880431|7.7447
1o_a5|0.0|1|0|0.0|0|6.605297921|0|1.427566509|0.0|-0.266637757|4.59511985|2|-0.033273504|0.0|-0.1079910069999999|1|1|0.0051989459999999|-0.05876042|0.038275248|0.06759341|-0.231165601|2|-0.003561205|-0.016408975|0|0.88430372|-0.079346457|-0.072886362|0.01325562|-39.1638643|7.122612351|0.11569628|62.16682117|-21.04383087|3.827177229|1.01402588|0.699913551|-1.093295425|-22.90899675|50.11479279|-15.45942012|2238.291862|-587.4579645|833.537568|7.522366517000001|14.20898333|4572.818263|161.2447749|-315.657463|22.08761368|0.020380352|-214.8381946|839.3293197999999|393.5487205|1.0|0.0|4.48|78.25|1.23|95.2|3.0|-4.08|4.0|-6.3|323.35|0.0|1.0|8.329999999999999e-05|0.0|7.85e-09|2.54e-06|-0.07037|4.5011|2.66|4.1692|561.04|938.37|297.38|0.3966|275.45|0.4988899999999999|0.5492100000000001|-1043.422345|0.04126499|7.4559
7b_a10|0.0|0|0|0.0|0|7.535296702|2|1.186434511|0.0|-0.170920618|5.4161004020000005|2|-0.060829392|2.079721225|-0.07459988|0|0|0.010068964|-0.0982988509999999|-0.051052176|-0.082499103|-0.1874708719999999|2|-0.108464916|0.065705128|1|0.92441666|-0.0590666679999999|-0.0720417159999999|0.009734392|-37.45675757|5.061217187|0.07558334|39.29815915|-19.47494818|2.6314862480000003|56.22969776|0.781045839|-1.152667458|-15.96741933|43.9185573|-14.26924098|2290.380138|-599.3081212000001|2150.375871|4.854451707|8.771658176|5212.568172|113.8411654|-311.5991709|18.26940272|0.012428175|-292.2491701|767.3149142000001|459.0250226|0.0|0.25|4.34|41.38|3.04|105.44|2.0|-5.28|3.0|-5.09|346.81|1.0|1.0|5.29e-06|0.0|1.0200000000000001e-07|3.54e-05|-0.05377|6.0231|3.44|3.6426|562.31|951.55|340.37|0.1488|205.85|0.4195399999999999|0.66228|-1450.075119|0.02946054|4.7033
41_a47|0.0|0|1|0.0|1|6.842683282|0|1.420292383|1.840145925|-0.225923786|4.727387819|3|-0.080388467|1.601942802|-0.187859623|1|1|0.0047106|-0.178132441|-0.1430639269999999|-0.317014709|-0.276217719|3|0.08640454|0.123676975|1|0.823168463|-0.061101947|-0.0899793719999999|0.018348892|-50.81597048|10.36256127|0.1768315369999999|99.86584673|-28.69838714|5.852270304|0.0|0.653147815|-1.259711209|-19.48810377|63.84353454|-16.54473457|2374.594252|-711.4235867000001|1073.170368|7.168742909|12.96444871|5042.636398|195.8852341|-401.77742|25.33076615|0.023067788|-172.98086630000003|1089.222944|439.9906467|1.0|0.16|3.34|68.52|1.75|99.09|4.0|-3.57|5.0|-6.66|348.38|1.0|1.0|0.000267|0.0|3.36e-08|1.17e-05|-0.05053|4.0167|2.41|3.7144|603.1|995.43|333.8|0.2849|308.67|0.6779|0.68638|-1162.288187|0.02982752|8.0
14s_a23|0.0|0|1|0.0|2|7.423568444|0|1.197958333|3.336763335|0.020458621|5.351858133|2|0.049317519|0.740898446|-0.298573309|2|2|0.009263715|0.0909774219999999|-0.071484865|-0.13187015|-0.457212212|2|0.096014944|-0.1050445769999999|1|0.92763624|-0.055037441|-0.080500435|0.019970955|-51.64162341|12.81151517|0.07236376|46.42188642|-33.12848261|8.218681552|82.55990607|0.7748161659999999|-1.610008704|-22.64965286|62.75905983|-21.9751589|2954.0751370000003|-1032.832468|2316.634024|7.548546899|14.26730044|6938.271179|144.457092|-662.5696522999999|28.36177131|0.017330177|-352.5931977|1333.003252|633.3278634|0.0|0.05|4.0|105.02|3.51|125.29|5.0|-6.13|4.0|-6.03|445.93|0.0|0.0|7.49e-07|0.0|1.02e-08|4.55e-06|-0.07783|3.6828|4.1|3.6828|668.66|1164.32|336.66|0.3669|336.66|0.60323|0.60323|-2089.2914530000003|0.02112956|8.5482
