molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nARing|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|PNSA3|PNSA5|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|DPSA5|PNSA4|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
19f_a38|0.0|1|0|0|3.3320764830000003|0.0|0|2|0.0|-0.036714749|-0.007831113|-0.084341564|2|0.041808786|-0.008118156|0.0|-0.4228801179999999|-0.002526241|1|-0.000673716|-0.017421394|-0.101303149|-0.217394466|-0.4288343429999999|0.724208473|0.819222745|-0.075025988|0.8741648479999999|0.698414933|0|-54.50401599|-71.10679028|0.249124013|159.14822980000002|-0.037844587|-45.42524686|8.601162122|12.14075726|-1.892229356|84.35196967|-24.1763087|2776.145209|479.6831205|-1208.815435|2846.860803|0.265562447|6.164440995|11.28936331|6115.273372|169.6496169|32.91812709|-299.5321167|1645.906354|1.0|1.0|1.0|3.0|17.0|3.13|2.55|2.4|1.0|0.0|0.0|1.0|5.0|-4.14|30.0|4.0|-6.77|0.0|0.0|1.0|7.209999999999999e-05|29.0|6.77e-05|0.0272|2.78|0.0|5.610000000000001e-05|-0.05735|5.3197|3.4422|1105.62|360.19|233.07|495.68|0.7056100000000001|-1331.945195|0.0019|-0.14369|5.3152|-0.20104|0.02936908|-1332.004601|73.0|7.1397|7.1397
12y_a36|0.0|1|0|0|3.479963309|0.0|0|2|0.0|-0.061103469|-0.00707164|-0.065314765|2|0.041767677|0.036174187|0.0|-0.410155116|0.002782748|1|0.003724542|0.06152178|-0.095253274|-0.1619981409999999|-0.434990282|0.90500247|0.820226782|0.046673879|0.873588247|0.856135378|0|-51.48548385|-66.24017399|0.16295867|109.55137340000002|-0.036493654|-44.53093547|8.769742642|14.40618351|-1.970657299|78.8341402|-24.53339777|2793.629988|562.7133986|-1324.80348|2304.463084|0.244264266|7.589386902|14.80236899|6082.16777|164.2102614|32.46293206|-343.8442493|1752.9983309999998|1.0|0.0|0.0|2.0|17.0|3.62|2.42|2.38|1.0|0.0|0.0|1.0|6.0|-4.58|31.0|4.0|-6.34|0.0|1.0|0.0|2.6e-05|0.0106|2.82e-05|0.0115|3.45|0.0|3.94e-05|-0.05002|3.8794|3.8794|1183.75|319.6|319.6|532.91|0.66796|-1310.077567|0.4358|-0.15671|6.1376|-0.20673|0.03583863|-1310.137888|12.0|7.9208|7.9208
8e_a46|0.0|0|0|0|0.0|0.252655541|1|1|2.161814059|-0.205882192|-0.001015139|0.000950213|2|0.043238095|-0.126773923|0.0|-0.046696417|0.012911107|1|0.0123581919999999|-0.203086023|-0.08488645|-0.135984209|-0.132524216|0.669602597|0.789844634|-0.241393458|0.837678812|0.668786636|0|-27.16690715|-33.59778824|0.078647648|40.04689925|-0.023017086|-17.10778729|2.482871976|53.05984592|-0.989734694|39.62167507|-11.72015869|1982.950764|469.146955|-503.9668235|1415.320228|0.2507580889999999|5.504080656|9.911785304|4239.252176|127.6844779|15.64268965|-253.8248986|672.6356549999999|0.0|0.0|1.0|0.0|17.0|4.09|3.9|2.13|0.0|0.0|0.0|1.0|2.0|-3.59|23.0|3.0|-6.02|0.0|1.0|1.0|0.0002569999999999|0.0782|9.15e-05|0.0279|3.01|0.0|6.57e-05|-0.03175|4.5092|4.5092|933.3|274.96|274.96|457.96|0.6967|-954.743261|0.2162|-0.18835|3.2194|-0.2201|0.024010215|-954.793305|406.0|6.3915|6.3915
15_a31|0.0|1|0|0|3.155574452|0.0|0|1|0.0|0.1893807519999999|-0.018913735|-0.134784483|0|0.038809524|-0.0302581979999999|0.0|-0.775463115|-0.011797858|2|-0.007631228|-0.052339921|-0.157560864|-0.272545088|-0.6215974160000001|0.8314086070000001|0.8022000659999999|-0.0869591359999999|0.8582665429999999|0.782925607|0|-61.76522754|-70.00513464|0.4328912239999999|230.1075793|-0.041588706|-37.21191643|10.88541717|514.6215199|-1.58037081|88.05886218|-22.10688462|2351.566145|301.452236|-840.0616157|1675.977147|0.358466423|6.148947296|11.51842782|5087.628096|190.5463457|34.45943505|-150.46712390000002|1309.458532|0.0|1.0|1.0|2.0|16.0|4.12|3.0|0.41|0.0|0.0|0.0|2.0|4.0|-4.28|24.0|5.0|-6.84|0.0|0.0|1.0|5.27e-05|18.0|0.000272|0.0931|2.18|0.0|0.000749|-0.04192|4569.0|4569.0|925.93|271.36|271.36|452.98|0.5241899999999999|-1460.736142|348.0|-0.15202|5.5793|-0.19394|0.03843988|-1460.790873|1.1|5.9586|5.9586
19_a47|0.0|0|1|1|0.0|0.0|1|0|1.445775615|-0.038804671|-0.00973456|-0.227538423|2|0.032764858|0.027033021|1.174354482|-0.4380552029999999|-0.013020816|1|-0.010153352|0.074201869|-0.046265509|-0.126992366|-0.439165562|0.635684951|0.823945134|-0.024256505|0.8873627890000001|0.614975047|1|-58.28861174|-57.87554797|0.360357109|199.6541807|-0.037307124|-32.06567824|8.228498913|66.13355777|-1.566899206|76.13237258|-20.66983856|2612.978054|354.3911695|-868.1332196000001|1238.799875|0.362167395|7.06969105|13.17443625|5846.960345|200.6571609|32.40636867|-152.7310283|1361.067484|0.0|1.0|1.0|2.0|21.0|2.49|3.84|1.67|1.0|0.0|0.0|1.0|5.0|-3.67|28.0|6.0|-7.22|0.0|0.0|1.0|0.000214|0.0816|0.000217|0.0824|1.97|0.0|4.59e-05|-0.05326|3.8423|3.8423|974.59|322.68|322.68|412.31|0.68924|-1335.580357|0.3243|-0.15845|5.1151|-0.2117099999999999|0.03178118|-1335.634976|0.05|7.3|7.3
14f_a23|0.0|0|1|1|0.0|0.0|2|0|3.366063739|-0.002304087|-0.006791105|-0.027380305|2|0.04255787|0.056215377|0.745818086|-0.373510774|0.010561248|2|0.010508236|0.101910723|-0.110069159|-0.199540201|-0.399688849|0.756252127|0.796412133|0.070514687|0.854683662|0.71381683|1|-40.51498423|-57.07376861|0.105837608|71.55380685|-0.031450478|-38.58595734|12.40242234|96.60179161|-1.603974359|74.08536976|-21.26277654|3014.916135|604.5178506|-1084.401604|2322.5224120000003|0.334221706|8.124287407|15.58565565|6768.918745|225.9578225|31.93672236|-224.1560124|1628.77284|0.0|1.0|1.0|1.0|26.0|3.42|4.03|2.72|2.0|1.0|0.0|1.0|6.0|-5.63|32.0|5.0|-6.47|0.0|0.0|0.0|2.32e-06|0.0010199999999999|9.57e-06|0.0042299999999999|3.55|0.0|1.3699999999999998e-05|-0.07163|5.8184|3.5753|1210.19|346.78|213.09|572.35|0.6733399999999999|-1744.182678|0.1699|-0.1458|6.3534|-0.21743|0.02255331|-1744.2443850000002|2.0|8.6459|8.6459
4f_a46|0.0|0|0|0|0.0|0.2096617139999999|1|1|2.190536659|-0.2265364489999999|-0.001035775|-0.001868546|2|0.045958333|-0.099507167|0.0|-0.053860324|0.012332859|1|0.011806162|-0.154986658|-0.079238184|-0.123416853|-0.150189733|0.6901151990000001|0.74106323|-0.2076648489999999|0.7796270059999999|0.69830739|0|-30.29079362|-36.60887321|0.065026794|35.27635517|-0.022035297|-19.85993046|2.570614463|56.50645576|-1.079729539|42.21890747|-11.95391778|2103.214727|507.213176|-585.7419712999999|1563.375755|0.240157725|5.654067072999999|9.828175385|4661.569032|130.2830519|15.73210412|-281.9234274|770.8731021000001|1.0|1.0|1.0|0.0|17.0|4.56|4.71|2.58|1.0|0.0|0.0|1.0|3.0|-4.38|25.0|3.0|-5.65|0.0|1.0|1.0|4.18e-05|0.0139|2.62e-05|0.00872|3.77|0.0|2.04e-05|-0.02947|4548.0|4548.0|1020.33|272.61|272.61|493.53|0.69208|-1033.315821|0.1719|-0.19079|3.2783|-0.2202599999999999|0.02238723|-1033.36869|183.0|6.7375|6.7375
22_a20|0.0|0|0|0|0.0|0.0|1|0|1.915285809|-0.238401323|-0.00147607|0.023539095|2|0.0388043479999999|0.09301076|2.041494094|-0.079707783|0.009265667|1|0.008780074|0.155407313|-0.036258691|-0.060582944|-0.177976478|0.616352201|0.7478675859999999|-0.044184455|0.809440795|0.607038752|1|-39.00017609|-44.14650378|0.053484974|34.8271111|-0.027118811|-28.7463017|5.21001405|54.71081293|-1.3559405430000002|52.90592556|-17.65860151|2738.108259|616.3298149|-882.9300756000001|2396.806062|0.22936173|7.408914181|14.17638345|5924.626340999999|149.350479|22.91425458|-352.4559681|1145.712729|1.0|1.0|1.0|0.0|27.0|5.33|5.39|2.61|2.0|0.0|0.0|1.0|4.0|-5.6|31.0|4.0|-5.58|0.0|0.0|1.0|2.48e-06|0.000997|2.98e-06|0.0012|4.47|0.0|8.199999999999999e-08|-0.0568|5.5591|3.9732|1181.95|312.05|223.03|563.43|0.66063|-1275.598059|0.0015|-0.16176|4.8308|-0.21856|0.03226475|-1275.657902|231.0|6.6364|6.6364
4S4l_a46|0.0|0|0|0|0.0|0.171853072|1|1|2.155247543|-0.058870177|-0.004736212|-0.075241716|1|0.049498645|-0.067419714|0.0|-0.255755434|0.0066560469999999|1|0.006162668|-0.1012114369999999|0.0071939419999999|0.010799648|-0.3888343979999999|0.7940662409999999|0.726535412|-0.001318857|0.762625193|0.7936534740000001|0|-49.45536962|-46.10883478|0.105217893|57.30330315|-0.029881089|-25.11158939|2.117940478|0.0|-1.523935543|49.6055056|-16.27370639|2166.052483|487.3122681|-829.959026|1744.8220399999998|0.1220608659999999|5.668394116|10.68377935|4920.211524|66.47624804|18.5362581|-411.6630752|945.3491632|1.0|1.0|1.0|1.0|17.0|4.64|5.02|3.06|1.0|0.0|0.0|1.0|3.0|-5.28|26.0|3.0|-5.23|0.0|1.0|1.0|5.25e-06|0.00182|7.78e-06|0.0027|4.49|0.0|3.47e-05|-0.02015|5.2929|4.1414|1040.96|299.38|234.25|500.66|0.6763600000000001|-1092.489558|0.0614|-0.17632|2.5083|-0.19647|0.02696794|-1092.543641|261.0|6.5834|6.5834
17_a47|0.0|1|1|1|3.011740664|0.0|0|0|0.0|-0.181485377|-0.003764469|-0.019259259|3|0.031802469|-0.105849578|1.699575434|-0.2032813319999999|0.0042378929999999|1|0.004477366|-0.180898239|-0.0184347939999999|-0.031505291|-0.3004189439999999|0.8007970640000001|0.75807704|-0.034891905|0.814790949|0.7666613659999999|1|-43.82821253|-50.62550618|0.147717593|90.10552332|-0.02987808|-30.88080199|4.806157636|0.0|-1.493904005|60.33408274|-18.22518223|2672.497352|519.8795281|-911.2591113|1573.836082|0.2542482339999999|7.055517075|13.10144249|5854.9736840000005|155.087622|24.43867122|-299.80980739999995|1221.9335609999998|1.0|0.0|1.0|2.0|27.0|5.12|5.44|2.26|2.0|0.0|0.0|0.0|4.0|-5.4|30.0|4.0|-5.83|0.0|0.0|1.0|3.98e-06|0.00156|6.11e-06|0.0024|4.03|0.0|3.12e-08|-0.04873|4.2784|4.2784|1127.7|289.79|289.79|477.67|0.6844100000000001|-1254.737546|0.4308|-0.17606|3.4454|-0.22479|0.04130125|-1254.795084|5.0|8.3|8.3
