molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|BCUTs-1|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|n6aHRing|MATS8s|GATS1pe|RASA|FNSA3|FNSA5|PNSA3|PNSA5|PPSA3|TPSA_x|WPSA3|RPCS|FNSA1|DPSA5|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
10_a4|0.0|0|0|0.0|0.0|1|7.535296702|1.343863662|5.4161004020000005|0.005483539|0.038699764|2.149387791|-0.159792527|0.01107733|10.92992762|1|1|0.011142889|0.014917047|-0.083887216|2|-0.120059574|0.6799081490000001|0.921653019|-0.051015897|-0.079432495|-29.52653193|-45.97324097|8.440134933|45.34497624|4.884907049|64.26218096|0.744529685|54.09964719|0.4858700179999999|533.4262268|2064.276654|-9.046715915|0.255470315|11.20225306|0.945033425|5598.949417|147.85886159999998|-283.0534799|1049.716502|8.126406226|1.0|1.0|1.0|1.0|3.46|3.38|-8.07|4.93|4.81|52.83|2.53|2.0|111.38|0.0|-4.66|4.0|-5.83|370.45|0.0|1.0|1.0|3.9|0.00818|1.4e-05|0.00519|3.85|0.0|-0.04689|4.9674|3.6465|-1183.812875|619.99|1083.65|340.01|0.1792|249.6|470.02|0.4662|-1183.54701|0.0176|-0.2025|0.02232068|-1183.602045|2.2386|88.0|7.0555
5_a18 (BIBF0775)|0.0|0|0|0.0|0.0|0|7.03438793|1.251175715|4.844187086|-0.015946718|0.035478927|0.0|-0.391512249|0.002526619|10.94702058|0|0|0.0036739159999999|-0.054916741|-0.144352593|0|-0.001626287|0.7061155790000001|0.8432358679999999|-0.068989967|-0.078246932|-52.09190866|-59.08151918|6.418873637000001|118.3671077|4.846666751|50.25564119|0.8159410579999999|67.25977848|0.483962172|636.6978809999999|1645.395714|-16.96451322|0.184058942|18.98829281|0.937842434|7221.114573000001|138.97646310000002|-477.1120625|1955.044427|8.178259299999999|0.0|0.0|1.0|1.0|4.42|0.0|-9.21|4.09|3.69|76.5|3.52|3.0|155.95|0.0|-6.07|3.0|-5.96|494.63|0.0|1.0|0.0|3.2|0.000425|1.91e-06|0.000946|4.73|0.0|-0.04938|3.2027|3.2027|-1572.313227|817.02|1446.02|378.13|0.4825|378.13|691.68|0.69298|-1571.843719|0.4825|-0.18092|0.02305362|-1571.914419|2.8009|34.0|7.4685
14_a4|0.0|0|0|0.0|0.0|1|7.535296702|1.399909181|5.4161004020000005|-0.04986736|0.0409444439999999|0.0|-0.069682036|0.009588001|10.94612798|1|1|0.008943549|-0.031578333|-0.016862096|1|0.158051825|0.500893739|0.8510382459999999|-0.065776751|-0.071074269|-29.91067393|-32.31961528|5.933038407000001|67.73740575|2.697931638|85.72299913|0.768457211|39.49511556|0.40126838|386.9927769|1378.961008|-6.23496557|0.231542789|8.859498364|0.6701974079999999|3944.638539|105.2894945|-244.1511936|588.8091192|7.175500282000001|1.0|0.0|1.0|0.0|3.14|2.39|-5.71|3.59|4.09|30.71|2.82|0.0|80.09|0.0|-3.4|3.0|-5.8|277.3|0.0|1.0|1.0|3.2|0.11|0.000106|0.0295|3.09|0.0|-0.03639|4.5233|4.2312|-918.9507745|475.32|794.51|293.02|0.1864|274.1|353.16|0.53298|-918.851356|0.1067|-0.2102|0.020300099|-918.896242|3.3312|1.32|5.8794
18d_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|0.6049874|5.351858133|-0.064217094|0.040899471|0.0|-0.385441836|0.001139238|10.31163881|1|1|0.002064369|-0.159104532|-0.0541804029999999|1|-0.001699165|0.64876559|0.803280262|-0.07812727|-0.103191184|-49.44608411|-65.3088221|11.29282624|124.5022473|7.147133584|0.0|0.783284395|75.80070349|0.443774287|508.389239|2894.162522|-15.18369704|0.216715605|12.69833771|0.797831306|6367.958933|137.15746130000002|-358.5765637|1500.807121|10.49188139|1.0|1.0|1.0|0.0|4.75|0.0|-6.9|4.25|3.18|81.65|3.2|2.0|127.24|0.0|-5.39|5.0|-6.02|416.47|0.0|0.0|0.0|2.92|0.00171|9.71e-06|0.00405|3.97|0.0|-0.05506|5.0125|3.4682|-1675.020297|669.66|1129.46|357.49|0.3856|247.35|508.7|0.4325|-1674.785879|0.3788|-0.19673|0.03258724|-1674.8453470000002|6.2946|21.0|7.6737
13b_a5|0.0|0|0|2.948625157|0.0|0|7.153833802|1.338814635|5.209486153|0.011339656|0.02468599|0.0|-0.251535058|0.0064510459999999|10.94530329|1|1|0.0066003869999999|-0.010368468|-0.055701188|2|0.03431921|0.653356347|0.831557236|-0.0694958329999999|-0.074710354|-44.93506461|-48.3067033|8.980592802|108.9128108|5.806729729|46.77748445|0.654076389|62.24204745|0.455921715|537.6736515|1177.571784|-11.0239272|0.345923611|15.48959317|0.837970799|5678.380299|223.6695238|-199.2474147|1329.387016|13.93534415|0.0|1.0|1.0|1.0|2.97|2.64|-8.36|4.64|4.06|74.77|1.96|1.0|119.8|0.0|-4.24|4.0|-6.58|395.46|0.0|1.0|1.0|3.26|0.0225|3.75e-05|0.0148|3.01|0.0|-0.05177|4.6733|4.1793|-1276.066049|672.43|1138.73|296.66|0.5528|265.31|503.93|0.32779|-1275.806761|0.3064|-0.22451|0.035153|-1275.865034|4.7964|0.11|6.9586
22_a10|0.0|0|0|0.0|0.0|1|7.535296702|1.343837143|5.4161004020000005|-0.017163935|0.036101695|1.880539113|-0.332316729|0.008350227|10.92966136|1|1|0.008903905|-0.042831367|-0.129989728|2|-0.02603707|0.646474494|0.8698299140000001|-0.053881447|-0.0649866779999999|-41.96631248|-50.61577509|13.023146|101.3847763|10.14325785|60.10354816|0.564323334|71.13124588|0.422182297|677.4790907|2668.5420940000004|-13.57178303|0.435676666|15.30289992|0.730649641|7414.102179|339.3328129|-100.1982412|1883.550109|20.51547079|1.0|1.0|1.0|1.0|3.74|4.14|-9.37|4.64|5.6|73.14|2.8|2.0|139.53|0.0|-5.34|5.0|-6.29|475.54|0.0|0.0|0.0|4.26|0.00217|2.95e-06|0.0014|4.1|0.0|-0.05712|4.8251|3.8517|-1544.237634|770.92|1339.48|321.89|0.2624|256.95|602.93|0.4483899999999999|-1543.893507|0.1922|-0.2180699999999999|0.03366599|-1543.959333|6.5841|1.1|5.9586
2_a49|0.0|0|0|0.0|0.0|1|7.535296702|1.3438506419999998|5.4161004020000005|-0.03981057|0.038726287|1.999073077|-0.189189114|0.004524556|10.92973199|1|1|0.004580676|-0.170631119|0.032521855|2|0.084099874|0.7701578720000001|0.81348014|-0.08647612|-0.079176085|-44.066695|-40.34672657|5.634353797999999|95.04720801|2.871166625|0.0|0.7154059890000001|49.26352575|0.454163307|414.5350312|1550.010086|-7.34284831|0.284594011|10.38394173|0.8320497920000001|4874.364109|145.02405359999997|-219.534132|845.9544764000001|8.91679918|0.0|0.0|1.0|1.0|3.09|2.5|-6.82|3.28|3.7|69.62|1.88|0.0|99.52|0.0|-3.53|3.0|-6.57|327.38|0.0|1.0|1.0|2.76|0.0955|0.000129|0.0421|2.43|0.0|-0.04372|5.4614|3743.0|-1046.018455|553.52|941.6|331.24|0.2988|227.02|371.96|0.34449|-1045.810794|0.0572|-0.19923|0.0366366999999999|-1045.8595810000002|6.7117|59.0|7.2291
6_a15|0.0|0|0|0.0|0.0|0|0.0|1.419941278|0.0|-0.048804012|0.042926829|0.0|-0.513693384|0.001080419|10.95880677|0|0|0.003942615|0.153430865|-0.195267558|1|0.0371776429999999|0.810779115|0.859308431|-0.07051817|-0.123000073|-41.14459066|-71.76572566|17.20414198|82.0880213|10.03794313|55.65697829|0.581974721|88.94853813|0.3902945579999999|501.3728188|1971.005637|-10.46812265|0.4180252789999999|10.02135591|0.640136254|5589.043165|243.9013805|-95.65807914|1603.08412|17.18281248|1.0|1.0|0.0|1.0|3.29|4.03|-7.95|4.43|5.26|61.84|2.18|2.0|109.7|0.0|-5.66|5.0|-5.33|380.44|0.0|1.0|1.0|4.11|0.000823|7.32e-06|0.00278|4.64|0.0|-0.02419|4.3423|3.7696|-1263.0243449999998|612.22|1092.02|328.9|0.2616|285.52|545.21|0.65191|-1262.75978|0.0113|-0.18133|0.01711539|-1262.820532|1.9421|35.0|7.4559
3d_a12|0.0|0|0|0.0|0.0|0|0.0|1.28383852|0.0|-0.053022041|0.038787879|0.0|-0.360215148|-0.00259095|10.95472859|0|0|-0.000643935|-0.282667477|-0.1394967999999999|2|-0.097468573|0.8605417409999999|0.8547246829999999|-0.066850425|-0.0958414059999999|-34.34601551|-49.24083018|5.717316796|74.63869204|2.9374091630000003|0.0|0.77428353|57.52228251|0.472404561|439.1353855|1205.356874|-9.255608086|0.22571647|10.96674758|0.89539167|4509.417998|115.96727140000002|-281.8395348|953.9302134|8.281452338|1.0|1.0|0.0|1.0|3.98|2.71|-7.51|3.37|2.19|50.17|2.26|0.0|100.28|0.0|-3.52|4.0|-6.22|313.36|0.0|1.0|1.0|2.67|0.0945|0.000123|0.0385|2.81|0.0|-0.06842|4.2114|3.7719|-1006.727999|548.21|918.3|328.71|0.3336|294.4|411.35|0.53114|-1006.556654|0.1583|-0.22229|0.02399772|-1006.606666|3.0037|25.0|7.6021
4m_a46|0.0|0|0|0.0|0.16407746|1|7.825245291|1.134637002|5.587248657999999|0.051308728|0.041865079|0.0|-0.0329557579999999|0.011122528|10.94319657|1|1|0.010359417|-0.487230027|-0.017992096|1|-0.099662698|0.626578283|0.948973877|-0.067320375|-0.0672468|-35.4774406|-35.43866734|5.74716122|26.89046601|3.028720082|35.77391986|0.733236381|41.88525631|0.463006576|500.1036387|1639.260563|-6.225322922999999|0.266763619|9.923886653|0.8622201970000001|4750.325312|140.5828543|-245.828396|724.9776792|6.446588969|1.0|1.0|1.0|1.0|3.59|2.9|-6.88|4.25|4.63|54.5|2.5|1.0|98.69|0.0|-4.52|3.0|-5.68|328.41|0.0|1.0|1.0|3.59|0.00981|2.68e-05|0.0088|3.69|0.0|-0.04808|6.0419|4.3476|-1031.138426|558.63|975.72|285.18|0.2465|205.21|468.63|0.38389|-1030.929791|0.1557|-0.23116|0.02920209|-1030.980844|5.2326|1288.0|5.8901
