molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|BCUTs-1|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|GATS1are|nFaHRing|PBF|PNSA3|PPSA3|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GRAV|PPSA1|WNSA2|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50
12e_a40|0|0|0|0.0|0.0|1|0.604990524|-0.015461694|5.4161004020000005|-0.262526337|0.04020202|0.665270062|-0.556620974|0.130516751|-0.192362496|2|2|-0.014780739|0.103406816|0.172778196|-0.520457262|0.889386453|1|0.284429447|-71.78145688|8.195398107|0.220121216|119.4966772|-0.048387621|-36.19867792|4.4490161310000005|0.0|0.790818822|-1.596791495|79.97685498|2391.0322170000004|423.3709264|-866.8463724999999|694.2415706|-14.26008524|0.209181178|5478.52313|113.5576846|-470.5828129|0.021118537|-315.75223450000004|348.3847394|11.46456937|1.0|0.0|1.0|0.0|2.0|3.27|0.0|20.0|-6.04|4.34|4.84|98.89|2.93|0.0|95.8|0.0|1.0|2.0|-6.53|24.0|4.0|-5.26|1.0|3.98|0.000113|0.00086|0.000346|-0.07296|4.3236|4.66|-2248.276958|409.82|0.4494|286.76|0.6826|0.70157|-2248.154966|284.0|-0.12616|2.5946|-0.19912|-2248.206714|1.17|5.9318
8e_a8|1|0|0|3.01599663|0.0|1|1.394799502|-0.010579355|4.844187086|-0.205927741|0.0427891159999999|0.0|-0.539547088|-0.102167262|-0.051339286|1|1|-0.004224671|0.090898585|0.183313231|-0.475941912|0.650073857|0|0.280304418|-70.49962428|12.87136047|0.338509724|206.4920729|-0.04393787|-39.238709|7.851573274|76.40535608|0.803307236|-2.109017754|83.37098475|2692.975753|403.5112981|-1286.50794|2080.07805|-16.34946208|0.196692764|6095.6213210000005|119.9832494|-784.77418|0.0184428869999999|-370.0368722|561.882658|11.25022336|0.0|0.0|1.0|0.0|2.0|3.2|0.04|23.0|-7.78|4.33|4.17|90.11|3.4|0.0|111.81|0.0|1.0|5.0|-5.27|30.0|4.0|-6.14|0.0|3.71|0.00215|0.00504|6.63e-06|-0.06253|4.6303|7.22|-1376.957298|378.73|0.3731|267.77|0.50055|0.7013|-1376.708067|0.1671|-0.13719|6.1505|-0.19972|-1376.766245|19.89|4.7014
GW6604_a52|1|0|0|2.944144148|0.0|0|1.427583999|-0.002149879|4.59511985|-0.005328809|0.021346801|0.0|-0.085995143|-0.118272803|-0.028376521|1|1|0.0070554269999999|0.039867344|0.067497086|-0.201462112|0.709088617|0|0.38374044|-35.51891876|4.459510077|0.12653545|62.55188751|-0.029217264|-17.61190876|2.204526664|0.2386028039999999|0.73529506|-1.081038779|39.97842884|2044.612273|431.7909048|-534.4037285|799.8313017999999|-7.13996301|0.26470494|4168.525878|130.8549791|-264.17863140000003|0.01768964|-232.6328342|359.1060668|8.744745933999999|1.0|1.0|0.0|1.0|1.0|2.68|0.0|23.0|-8.03|4.49|4.2|54.46|1.91|0.0|90.49|0.0|1.0|3.0|-3.87|23.0|3.0|-5.95|1.0|3.08|0.0402|0.0207|2.78e-06||||||||||||||||107.0|6.9706
3_a4|0|0|0|0.0|0.0|1|1.343866299|-0.001141383|5.4161004020000005|0.03287721|0.033760684|2.180369373|-0.0502208409999999|-0.010537082|0.050638298|1|1|0.011276682|-0.048796855|-0.08121207|-0.133874898|0.637819558|1|0.462670692|-25.5405205|5.133610255|0.080195284|38.95587796|-0.024645574|-15.5080075|2.493716402|40.30885999|0.7196876640000001|-0.985822953|30.67413075|2159.04913|446.8068266|-478.8760237|1602.411021|-5.815502811|0.280312336|4677.30755|136.1652785|-232.6201124|0.015358792|-213.4321476|409.0289917|7.460728516|1.0|1.0|0.0|1.0|0.0|2.99|0.15|21.0|-7.19|4.02|4.11|43.6|2.44|0.0|95.12|0.0|1.0|2.0|-3.7|24.0|3.0|-5.99|1.0|3.31|0.0617|0.0173|2.03e-05|-0.04964|4.9088|2.66|-990.6395508|305.09|0.1415|252.57|0.58445|0.58615|-990.467184|0.0871|-0.17005|2681.0|-0.21969|-990.514888|104.0|6983.0
18b_a25|0|0|0|0.0|0.0|1|1.194228955|-0.003259453|4.727387819|0.0131826839999999|0.038137255|2.003993644|-0.189048258|0.014055398|0.0009956189999999|1|1|0.00598031|-0.034703635|-0.061048368|-0.303383008|0.721100414|1|0.348987182|-44.30110081|8.972372556|0.063746107|44.73187305|-0.0305838929999999|-38.7252349|6.296086869|0.0|0.7847794690000001|-1.6515302369999998|53.27347337|3051.645565|656.9874135|-1158.910619|2327.4502850000003|-15.05981357|0.215220531|6973.180791|151.02439719999998|-813.229933|0.013724883|-399.6704921|809.2903831|9.631015182|1.0|1.0|1.0|1.0|1.0|3.58|0.07|27.0|-9.84|5.93|5.59|111.51|2.2|1.0|138.56|0.0|1.0|6.0|-6.54|34.0|4.0|-5.93|1.0|4.35|0.000132|0.000899|6.690000000000001e-08|-0.07066|5.5437|4.32|-1767.52411|336.67|0.2658|223.65|0.36733|0.54166|-1767.2232149999998|0.0468|-0.15079|2.8141|-0.22145|-1767.286778|51.0|7.2924
12b_a36 (EW-7197)|1|0|0|3.3685352889999995|0.0|0|1.2970445309999998|-0.008137593|5.351858133|-0.082283951|0.040899471|0.0|-0.439429998|-0.098032695|-0.056994595|1|1|-0.000673716|-0.101303149|-0.217394466|-0.442656599|0.724208473|0|0.458627252|-50.90136206|13.41367899|0.236481628|147.9542111|-0.039120289|-42.53627024|8.392238798|5.958751634|0.746747352|-1.956014468|64.31504105|2772.832013|477.6935927|-1223.776156|2338.370858|-15.31305729|0.253252648|6096.459089|158.4469629|-765.6528642999999|0.020730147|-308.7538779|595.8790650000001|12.96977113||||||||||||||||||||||||||||-0.04975|3.8475|3.41|-1332.180029|328.66|0.4491|322.25|0.6824899999999999|0.69991|-1331.9479310000002|0.0197|-0.15571|5432.0|-0.20546|-1332.005651|7.0|8.1549
14ad_a23|0|1|1|0.0|0.0|2|1.197962774|-0.00790478|5.351858133|-0.028065075|0.0444129979999999|0.735584095|-0.4663820279999999|-0.05348283|-0.031279567|2|2|0.009675528|-0.143336826|-0.253318853|-0.376350719|0.7763406840000001|1|0.224009311|-42.29008971|24.18091285|0.112868365|80.67170209999999|-0.029653934|-43.85199724|17.28310144|114.237062|0.575880959|-1.630966366|66.47100256|3209.330728|634.0697778|-1165.7193140000002|2339.533586|-15.14887177|0.424119041|7308.229822|303.1354708|-833.1879476|0.033365494|-108.4705382|770.8206617000001|23.84770234|0.0|0.0|1.0|1.0|1.0|3.73|0.12|26.0|-7.6|3.48|4.03|123.48|2.42|1.0|133.27|0.0|1.0|7.0|-5.8|34.0|6.0|-6.68|0.0|3.39|0.000753|0.0038799999999999|1.17e-05|-0.06925|3.3867|2.99|-1858.957788|366.09|0.4106|366.09|0.6956600000000001|0.6956600000000001|-1858.668058|0.4106|-0.13734|5.2331|-0.20659|-1858.733603|4.0|8.3595
21a_a23|0|1|1|0.0|0.0|2|1.197963603|-0.005708466|5.4161004020000005|-0.038876045|0.042862319|0.773970837|-0.3082571839999999|-0.133417036|-0.083864151|2|2|0.01180744|-0.074441567|-0.136106024|-0.484404194|0.725800261|1|0.224766417|-34.01266735|7.634348008|0.073461531|48.49696614|-0.03458322|-35.88602363|5.039953753|82.08958626|0.842121383|-1.729161021|41.64701536|2880.257677|611.67123|-1141.537112|2272.736256|-15.07212993|0.157878617|6464.524241|104.2264415|-753.6064963|0.011178565|-451.7153132|666.0036144999999|7.379733085|0.0|0.0|1.0|1.0|1.0|3.53|0.09|26.0|-7.78|3.88|4.33|105.02|3.24|1.0|125.25|0.0|1.0|5.0|-5.89|31.0|4.0|-6.07|0.0|3.78|0.000552|0.00225|7.03e-06|-0.07243|3.6993|3.75|-1669.250866|335.16|0.3692|335.16|0.60824|0.60824|-1668.989671|0.3692|-0.15024|5.3733|-0.2226699999999999|-1669.0502720000002|102.0|6.9914
19i_a38|1|0|0|3.169368622|0.0|0|1.297043925|-0.008447598|5.351858133|-0.115864198|0.043197531|0.0|-0.4561702689999999|-0.074033381|-0.053762162|1|1|-0.004358975|-0.098027247|-0.250781298|-0.430016467|0.653741315|0|0.4748744179999999|-51.15830416|13.83587388|0.252841593|154.953787|-0.040770109|-42.53502816|8.479305267|10.71501217|0.7419238420000001|-2.038505453|64.99417804|2896.470706|457.89548719999993|-1249.2965869999998|2335.0953870000003|-15.31261014|0.258076158|6744.7785650000005|158.161786|-765.6305068|0.022159015|-296.5257022|593.6088758|13.5801364|1.0|1.0|1.0|1.0|3.0|4.8|0.14|17.0|-7.12|3.55|3.11|81.23|2.78|0.0|125.65|0.0|1.0|5.0|-4.25|31.0|5.0|-6.81|1.0|3.04|0.0238|0.0196|3.19e-05|-0.0564799999999999|5.7041|3.66|-1431.415351|343.17|0.2156|217.36|0.4342|0.69267|-1431.181148|0.1886|-0.14872|6.6636|-0.2052|-1431.239177|13.0|7.9031
16j_a32|1|1|1|3.359912013|-0.082980188|0|0.609420735|-0.0139074189999999|5.733341277|-0.086195934|0.046788618|2.076106145|-0.778815477|-0.135618491|0.021997616|3|3|-0.00030659|-0.117577419|-0.202656848|-0.704356423|0.79965447|1|0.509776381|-54.71915795|16.63953228|0.174011588|124.4493461|-0.034287782|-54.6758122|11.90023573|45.81893652|0.699790508|-1.817252458|71.35869023|2830.682695|590.7291534|-1299.659886|3448.428146|-17.53752467|0.3002094919999999|6507.757122|214.7033741|-929.4888072999998|0.021655546|-285.7717513|701.9321161|15.48758085|1.0|0.0|1.0|1.0|2.0|3.86|0.33|19.0|-7.77|6.49|5.24|149.27|1.57|0.0|121.3|1.0|1.0|8.0|-7.45|30.0|5.0|-5.73|0.0|4.25|1.57e-05|0.00172|7.5e-06|-0.05016|3629.0|5.5|-2034.621888|341.65|0.2907|341.65|0.70207|0.70207|-2034.344833|0.2907|-0.15012|3.4656|-0.2002799999999999|-2034.408854|9.0|8.0315
