molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|GATS1are|BIC2|SIC2|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PPSA3|RPSA|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA3|GeomPetitjeanIndex|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
22_a20|0.0|0|0|0.0|1|6.842683282|0|0|-0.238401323|-0.00147607|4.727387819|0.023539095|2|0.0388043479999999|0.09301076|-0.079707783|-0.066832578|10.93106272|-0.038668966|1|0.008780074|0.155407313|-0.036258691|0.616352201|0.7478675859999999|0.809440795|0.946515026|-0.059893667|-0.067797027|0.0122876139999999|-39.00017609|8.001165067999999|0.053484974|-28.7463017|5.21001405|54.71081293|0.77063827|-25.39523478|47.00134116|0.477376285|2396.806062|-11.49852068|0.22936173|7.408914181|14.17638345|5924.626340999999|149.350479|-574.9260339|0.01345209|1145.712729|664.4562602999999|8.759421782|1.0|1.0|1.0|0.0|3.41|0.08|27.0|-9.69|5.33|5.39|67.39|0.0|4.0|4.0|401.46|0.0|1.0|-5.53|2.48e-06|0.000997|4.47|0.0|8.199999999999999e-08|-0.0568|5.5591|4.07|3.9732|-1275.816275|694.15|1181.95|0.2636|0.38233|0.66063|0.0015|-0.21856|0.03226475|6.6364|6.6364
9n_a24|0.0|0|0|0.0|0|6.605297921|0|0|-0.2452954769999999|-0.003323852|4.59511985|0.001099755|2|0.024179894|-0.141205159|-0.182811885|-0.036651001|10.94875265|-0.03088354|1|0.008809179|-0.22754075|-0.12451554|0.786587307|0.7584388259999999|0.804201677|0.904556598|-0.052106597|-0.0777274979999999|0.017608478|-35.21502941|11.90027964|0.095443402|-35.50139138|8.042526681|24.72120326|0.652126509|-23.79925701|47.11530904|0.4331595789999999|1361.307012|-12.28894317|0.347873491|8.232847909|14.52410167|5356.5828|235.1021924|-639.0250449|0.021951174|1449.942171|631.9206508|14.83518955|1.0|1.0|1.0|1.0|2.6|0.17|23.0|-8.64|4.41|4.14|66.93|0.0|7.0|5.0|385.46|1.0|0.0|-4.29|7.2e-05|0.0278|3.07|0.0|8.909999999999999e-07|-0.03818|4.9139|2.59|4.1028|-1239.095611|686.19|1155.03|0.2522|0.44042|0.63085|0.0334|-0.20399|0.03188309|7.7212|7.7212
14a_a23|0.0|1|1|0.0|2|7.423568444|0|0|0.050806184|-0.0056795759999999|5.351858133|-0.0246126279999999|2|0.042992424|0.0446402609999999|-0.289658385|-0.0518554529999999|10.31321831|-0.071842463|2|0.011363191|0.083206288|-0.073893976|0.72792508|0.7556436440000001|0.816237166|0.918677038|-0.055677662|-0.08032517|0.019504497|-35.20994211|12.33442989|0.081322962|-32.12331106|7.800158102999999|80.54176247|0.7807587890000001|-22.26638099|47.54437201|0.462434482|2173.7139190000003|-13.66949407|0.219241211|7.668841725|14.2658736|6269.28943|138.6457355|-642.4662212000001|0.016707951|1301.215093|601.8533922|10.56592489|1.0|0.0|1.0|1.0|2.86|0.05|26.0|-7.41|3.36|4.02|105.02|0.0|5.0|4.0|411.48|0.0|0.0|-4.96|3.38e-06|0.00139|3.58|0.0|1.6100000000000002e-05|-0.07379|3.7119|3.47|3.7119|-1629.90669|665.5|1134.02|0.3764|0.6289100000000001|0.6289100000000001|0.3764|-0.2238099999999999|0.0216412|8.5498|8.5498
12bd_a36|0.0|0|0|0.0|0|7.412764017000001|2|2|-0.051990612|-0.006695407|5.351858133|-0.045630197|2|0.04625323|0.025649557|-0.4017244129999999|-0.030990165|10.94639828|-0.0288761339999999|1|0.0045625|0.042808724|-0.101854847|0.902377067|0.78699829|0.833398429|0.832478093|-0.071083327|-0.099460046|0.0177487689999999|-46.92083391|11.7156452|0.167521907|-43.33557909|7.733288012999999|0.0|0.78244124|-30.9716039|58.63647911|0.475272043|2403.371086|-15.47699253|0.21755876|8.050812711|15.34283166|5957.939097|143.6066496|-866.7115819|0.015363883|1678.127264|729.1873176|10.14142465|1.0|0.0|1.0|2.0|0.0|0.21|17.0|-7.34|3.76|2.5|69.2|0.0|5.0|4.0|409.49|1.0|1.0|-4.6|2.8600000000000004e-05|0.0117|3.41|0.0|1.86e-05|-0.05236|3.8786|3.79|3544.0|-1311.560669|706.26|1200.23|0.4467|0.69411|0.7044100000000001|0.0058|-0.19826|0.03110617|7.7696|7.7696
19_a3|0.0|0|0|0.0|0|6.605297921|0|0|-0.206312209|-0.003417504|4.59511985|-0.030657|3|0.0386379929999999|-0.008897473|-0.129865138|0.156485495|10.96959256|0.036226415|1|0.006731579|-0.015805561|-0.037291767|0.718266758|0.758995484|0.8264237520000001|0.853017902|-0.067674689|-0.087730634|0.0116401719999999|-31.50932639|5.419662458|0.146982098|-19.01853079|2.523394126|0.0|0.75798185|-14.67073822|36.92898885|0.476813896|869.7868956|-7.064025721|0.24201815|5.342307798999999|10.21110415|4138.413977|112.6836188|-247.2409002|0.016552404|700.5653624|314.0966684|7.706796952|1.0|1.0|1.0|1.0|1.6|0.06|21.0|-7.21|3.9|3.39|67.35|0.0|2.0|4.0|287.32|1.0|1.0|-3.58|0.000578|166.0|2.19|0.0|1.7800000000000002e-05|-0.05757|3945.0|2.43|3945.0|-929.2608626|499.93|832.23|0.3006|0.67351|0.67351|0.3006|-0.2206|0.020989746|7.6383|7.6383
16a_a32|0.0|1|1|0.0|0|7.765993078999999|0|0|0.205693867|-0.014399612|5.733341277|-0.0848387459999999|0|0.03995614|-0.053745649|-0.6911813920000001|-0.062610718|10.31100271|-0.058518519|3|-0.005552127|-0.0999399409999999|-0.107321286|0.859696525|0.8567078770000001|0.909908319|0.756542831|-0.090389538|-0.119471489|0.020664867|-56.2527503|12.86051026|0.2434571689999999|-46.27170107|8.003570876|66.13699638|0.6968200370000001|-35.00816569|69.11326055|0.450892763|2992.60858|-14.39564033|0.303179963|7.183246604|13.08168264|5746.082161|188.6800971|-647.803815|0.023475264|1493.816582|532.685565|14.6095244|1.0|0.0|1.0|3.0|2.66|0.22|19.0|-7.3|5.32|3.79|152.07|1.0|7.0|4.0|398.51|0.0|1.0|-4.04|3.2e-06|0.00128|2.65|0.0|2.01e-05|-0.0567299999999999|3.6314|3.9|3.6314|-1896.770883|664.67|1096.48|0.2859|0.70245|0.70245|0.2859|-0.20718|0.04088655|7.9586|7.9586
3_a4|0.0|0|0|0.0|1|7.535296702|1|1|-0.241609351|-0.001141383|5.4161004020000005|0.03287721|2|0.033760684|-0.07806942|-0.0502208409999999|-0.010537082|10.92992985|0.050638298|1|0.011276682|-0.129930078|-0.048796855|0.637819558|0.773786787|0.8367373309999999|0.919804716|-0.052578183|-0.06572153|0.010568144|-25.5405205|5.133610255|0.080195284|-15.5080075|2.493716402|40.30885999|0.7196876640000001|-12.40663231|30.67413075|0.430553837|1602.411021|-5.815502811|0.280312336|4.832514477|8.486341272999999|4677.30755|136.1652785|-232.6201124|0.015358792|665.3942366|409.0289917|7.460728516|1.0|1.0|1.0|0.0|2.86|0.15|21.0|-7.19|4.02|4.11|43.6|0.0|2.0|3.0|312.37|1.0|1.0|-4.26|0.000198|0.0617|3.12|0.0|2.03e-05|-0.04964|4.9088|2.66|4.0639|-990.6149055|535.44|905.23|0.1415|0.58445|0.58615|0.0871|-0.21969|0.024645265|6983.0|6983.0
6e_a40|0.0|0|0|0.0|1|8.421342866|1|2|0.128035402|-0.0148450439999999|6.401917197|-0.074872854|0|0.039160494|-0.15110197|-0.69771706|0.103594243|10.30179954|-0.205140551|2|-0.002992481|-0.276969278|-0.020200684|0.685858263|0.8361555479999999|0.8988141140000001|0.74620476|-0.107312598|-0.1164147119999999|0.015875595|-70.52033811|10.43262695|0.25379524|-50.27304895|6.85578763|35.33106374|0.866991176|-46.34235117|80.95296505|0.441911406|3854.417113|-21.04453212|0.133008824|6.972949117000001|12.49434084|7585.605268000001|87.40658058|-904.9148811|0.012858969|1588.2884390000002|587.7345677999999|8.450255075|1.0|0.0|0.0|1.0|3.16|0.21|14.0|-4.63|5.02|3.72|173.43|1.0|5.0|5.0|476.98|0.0|1.0|-5.58|1.74e-08|8.31e-06|4.4|0.0|0.0112|-0.09682|2.9549|8.35|2.9549|-2831.156883|671.95|1149.77|0.3625|0.67187|0.67187|0.3625|-0.2164|0.03482243|7.7447|7.7447
14a_a22|0.0|0|0|0.0|1|6.842683282|0|0|-0.136588366|-0.0050042229999999|4.727387819|-0.052476637|2|0.038167849|0.021482585|-0.280236463|-0.057308195|10.9464374|-0.015194063|1|0.005757758|0.036467904|-0.097476465|0.6819423609999999|0.7392451729999999|0.794858486|0.864077619|-0.062215607|-0.081479363|0.021268761|-42.39063895|14.49148204|0.135922381|-37.82586486|9.873779458|60.38977977|0.7007904070000001|-28.88288575|56.88212098|0.446584227|2169.870866|-14.54840956|0.299209593|8.052850876|14.55117701|6348.976909|203.8666248|-756.5172972|0.021742777|1584.38271|684.5377542|14.81445329|1.0|1.0|1.0|1.0|2.86|0.08|27.0|-9.21|3.87|4.31|85.59|0.0|6.0|5.0|420.47|0.0|1.0|-4.68|2.25e-05|0.00945|3.18|0.0|2.56e-07|-0.06145|5.0653|4.98|3.5707|-1368.321586|695.62|1191.81|0.3051|0.45928|0.63156|0.0578|-0.21174|0.03539365|7.4202|7.4202
5_a27|0.0|0|0|0.0|2|6.823286122000001|0|0|0.126882432|-0.0063562359999999|4.727387819|-0.068518519|2|0.048947368|-0.149034787|-0.286030638|-0.125237927|10.93772408|-0.013448351|1|0.010329671|-0.250776983|-0.2030237389999999|0.639413469|0.760083119|0.8149212259999999|0.8531787759999999|-0.055979434|-0.085078576|0.01695771|-29.50048722|8.936508815|0.146821224|-23.6277072|4.709432444|56.35994804|0.741481472|-15.54640123|38.43699603|0.439066197|1254.531539|-8.438466859|0.258518528|6.160679036|10.98289851|4943.51602|136.2361487|-354.41560810000004|0.016479312|907.0095354|424.8821143|8.684398894|0.0|0.0|0.0|0.0|3.11|0.16|21.0|-6.22|2.94|2.8|65.6|0.0|2.0|4.0|331.37|1.0|1.0|-4.01|0.000248|0.0821|2.58|0.0|0.0002|-0.04554|4.0989|4.9|4.0989|-1083.124207|566.68|955.22|0.2448|0.64548|0.64548|0.2448|-0.21506|0.01903872|8.5229|8.5229
