molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|GATS1are|BIC2|SIC2|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PPSA3|RPSA|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA3|GeomPetitjeanIndex|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
5d_a40|0.0|0|0|0.0|1|8.149890544|0|1|-0.071479892|-0.005662681|6.167516491000001|0.0418378229999999|0|0.044526749|-0.1031436519999999|-0.1868684619999999|0.2078052269999999|10.31198333|0.029272031|2|0.006642869|-0.259985037|-0.0038660009999999|0.496945486|0.8092726020000001|0.877722972|0.754010052|-0.086193996|-0.094277694|0.022027556|-39.55506228|10.10860823|0.245989948|-19.85450535|4.638915105|53.85026982|0.8111805740000001|-18.15211073|49.66367051|0.479931934|511.3769101|-7.94180214|0.188819426|6.288958592999999|12.09256826|4051.712713|86.65063178|-238.2540642|0.014630084|640.0261471|243.4287716|6.713853887999999|1.0|0.0|0.0|0.0|2.56|0.21|14.0|-4.32|4.08|3.64|75.5|0.0|3.0|4.0|287.31|1.0|1.0|-3.82|5.9e-05|17.0|2.98|0.0|0.0137|-0.06796|3.7374|4.61|3.7374|-1276.817151|473.48|765.69|0.4493|0.69613|0.69613|0.4493|-0.2164699999999999|0.01667985|7.7212|7.7212
6b_a40|0.0|0|0|0.0|1|8.421342866|1|2|0.135693438|-0.014861289|6.401917197|-0.069975812|0|0.039863946|-0.137534783|-0.698480566|0.0986825569999999|10.30179924|-0.226457281|2|-0.004728928|-0.248560671|-0.018582337|0.691778838|0.842573207|0.90571269|0.753431574|-0.107699967|-0.118488624|0.014588568|-72.13527644|9.771129787|0.246568426|-53.15460718|6.544506614|34.43877986|0.878140798|-48.31476032|81.90640622|0.442509019|4049.386572|-22.2507658|0.1218592019999999|6.976123351|12.51342818|8482.600495|81.61884754|-956.7829293|0.011838681|1626.736212|618.8882797|7.929311055|1.0|0.0|0.0|1.0|3.36|0.21|14.0|-5.21|5.67|4.38|173.43|1.0|5.0|5.0|511.42|0.0|1.0|-6.18|3.86e-09|1.98e-06|5.03|1.0|0.00318|-0.09533|3.1026|8.98|3.1026|-3290.745084|687.2|1183.07|0.4962|0.69429|0.69429|0.4962|-0.21904|0.03026498|7.5229|7.5229
13d_a6|0.0|0|0|0.0|0|7.412764017000001|1|1|-0.045686501|-0.010665225|5.351858133|-0.0122495089999999|1|0.041728395|0.077158715|-0.607917822|-0.042531782|10.95129636|-0.10528143|1|-0.000899678|0.126028544|-0.106686991|0.845481322|0.786837131|0.841971795|0.78862121|-0.092581323|-0.110731261|0.030793771|-63.04181168|20.96853949|0.21137879|-51.34295409|14.27820079|564.780402|0.769432845|-42.92734103|84.01035117|0.4128711229999999|3075.022992|-18.40596467|0.230567155|9.086171078|15.47559904|6185.117192000001|157.0011174|-975.5161277|0.018542644|1861.908905|692.8471883999999|12.62632467|1.0|1.0|1.0|2.0|3.03|0.16|23.0|-9.4|5.38|4.57|95.85|0.0|6.0|5.0|423.47|0.0|1.0|-5.27|1.11e-06|0.000471|4.23|0.0|1.68e-07|-0.05252|4.85|4.5|3.6298|-1389.374844|723.61|1219.11|0.7905|0.58381|0.7007399999999999|0.2513|-0.20146|0.02846332|6.4437|6.4437
12am_a36|0.0|0|0|-4.723487246|0|7.412764017000001|2|2|0.088482802|-0.015884751|5.351858133|-0.297354748|2|0.044036281|0.122824831|-0.921315581|-0.050505733|10.9602097|-0.037654321|1|-0.007897954|0.345949079|-0.1187503719999999|0.647732719|0.8344566859999999|0.885733922|0.814986544|-0.091472759|-0.118101664|0.017590648|-63.19394154|12.15249658|0.185013456|-56.3667958|8.395550408|1.038361162|0.788334835|-43.65752487|75.34643812|0.484558903|2603.072527|-21.92042059|0.211665165|8.772646622|17.01968794|7238.033439|146.228847|-1183.702712|0.020179019|2173.44302|672.4630346|13.94067198|1.0|0.0|1.0|2.0|0.0|0.17|17.0|-7.14|3.31|4.04|78.43|0.0|7.0|8.0|465.43|0.0|0.0|-5.07|6.26e-06|0.00291|3.86|0.0|3.37e-05|-0.0569799999999999|5.2317|4.86|3.8606|-1645.169789|714.21|1206.77|0.4894|0.40752|0.6805100000000001|0.2987|-0.21356|0.03550681|7.2218|7.2218
8a_a12|0.0|0|0|0.0|0|0.0|1|1|0.082323047|-0.00771093|0.0|-0.052287869|3|0.0420317459999999|-0.205012437|-0.362413703|-0.050603335|10.95472846|-0.084035283|0|0.000249868|-0.3422915179999999|-0.135424346|0.913877696|0.763500863|0.8157289759999999|0.892656426|-0.05926895|-0.093050281|0.010336879|-30.69873711|5.354053791|0.107343574|-24.96342938|2.773166902|0.0|0.791430726|-15.90061008|36.0527909|0.46777503|2093.2274030000003|-9.077610683|0.208569274|5.113243051|9.607296424|4806.044707999999|108.02980890000002|-399.41487|0.014012546|974.3568539|464.1781753|7.257889351|1.0|1.0|0.0|1.0|3.06|0.15|18.0|-7.89|3.87|2.5|50.17|0.0|3.0|4.0|327.38|1.0|1.0|-4.21|0.000125|0.0408|3.18|0.0|4.2e-06|-0.06246|3.9091|3.41|3.9091|-1046.0210880000002|556.3|952.71|0.2486|0.6309100000000001|0.6309100000000001|0.2486|-0.2194199999999999|0.02180654|6.7011|6.7011
4d_a49|0.0|0|0|0.0|1|7.535296702|1|1|-0.06085453|-0.006135653|5.4161004020000005|-0.058204482|2|0.036555556|-0.090862681|-0.343596561|-0.053327669|10.92777282|0.013451218|1|0.001356445|-0.151004418|0.000511959|0.7745859279999999|0.783870915|0.834151595|0.752634646|-0.089942837|-0.085966608|0.013625199|-55.40321178|8.392883773|0.2473653539999999|-32.61868996|5.16986937|57.16412513|0.654728051|-34.12740785|63.79609555|0.470013152|1640.195062|-10.66380249|0.3452719489999999|7.998287218|15.09148245|5915.214567|212.6814716|-554.5177292999999|0.022019681|1374.947536|641.1445234|13.56373757|0.0|1.0|1.0|2.0|2.68|0.22|21.0|-7.58|3.16|2.8|98.72|0.0|6.0|5.0|398.46|0.0|1.0|-3.35|0.000743|296.0|1.45|0.0|1.05e-05|-0.06309|5.7447|2.99|3.8047|-1293.29417|668.09|1144.04|0.2549|0.40593|0.6782100000000001|0.0879|-0.2219699999999999|0.0395418|7.7447|7.7447
3k_a32|0.0|1|1|0.0|0|7.97831097|0|1|-0.001009768|-0.005745086|5.973809612|-0.001250803|0|0.0381981979999999|-0.047167919|-0.270019022|-0.0902541999999999|10.31100271|-0.077097565|3|0.002509816|-0.084055305|-0.050938823|0.816196288|0.779649252|0.8306695270000001|0.8777482409999999|-0.0711378679999999|-0.090839907|0.0123637989999999|-40.10830541|6.970844822|0.122251759|-28.87643819|3.930238317|0.0|0.78057227|-22.61349991|47.07915023|0.472646737|1970.06814|-9.40163104|0.21942773|6.153598893|11.6688363|5259.698672|123.7157466|-404.2701347|0.012327787|918.5970998|506.658189|6.9505405620000005|1.0|1.0|1.0|1.0|3.48|0.32|19.0|-7.23|7.12|5.78|110.94|0.0|3.0|3.0|366.5|0.0|1.0|-5.61|9.16e-08|3.3600000000000004e-05|4.97|0.0|2.15e-05|-0.05321|3.5363|3.81|3.5363|-1750.1383649999998|611.65|1022.89|0.3082|0.70268|0.70268|0.3082|-0.19988|0.02654958|8.0605|8.0605
14e_a25|0.0|0|0|0.0|1|6.842683282|0|0|0.039261746|-0.008591251|4.727387819|-0.138693649|2|0.0389622639999999|0.0065927719999999|-0.524066339|0.002856489|10.93106299|0.011176663|1|-0.0005394919999999|0.010976703|0.015497482|0.717460414|0.776960216|0.8322445820000001|0.7240504329999999|-0.1011107469999999|-0.1004553119999999|0.015024526|-73.99302943|10.99497534|0.275949567|-53.79722636|8.046143033|97.78313402|0.806446896|-54.14823405|84.98800478|0.491527882|2620.6698690000003|-20.76384175|0.1935531039999999|8.459867391|16.63781964|6952.485076999999|141.642515|-1183.53898|0.015154859|2005.4567600000005|811.3237836|11.09035375|1.0|1.0|1.0|2.0|2.72|0.07|27.0|-9.14|3.65|4.02|115.79|0.0|7.0|5.0|462.5|0.0|0.0|-4.73|7.29e-06|0.00337|3.04|0.0|3.38e-07|-0.0538|5.8431|6.51|3.9613|-1520.964156|760.96|1300.08|0.2409|0.31019|0.69958|0.0007|-0.2116699999999999|0.04875868|7.1249|7.1249
15c_a10|0.0|0|0|0.0|1|7.535296702|2|2|-0.236118846|-0.002218445|5.4161004020000005|0.040869377|3|0.034807692|-0.06400528|-0.153072705|-0.1036030219999999|10.92970798|0.0123939039999999|1|0.012271987|-0.101214571|-0.226679901|0.7655272009999999|0.7351096359999999|0.772328328|0.904458517|-0.046967376|-0.072537853|0.014703076|-32.5870313|10.2013281|0.095541483|-34.91899195|7.077912953999999|136.2098503|0.528228415|-22.60962187|42.7883594|0.449308156|1817.047455|-9.275357237|0.471771585|8.639636218|15.6886947|6673.826433|327.3258326|-593.6228632|0.023432886|1619.721543|924.9341455|16.25826809|0.0|1.0|1.0|0.0|4.09|0.37|21.0|-7.79|3.77|2.97|59.31|0.0|6.0|6.0|454.57|1.0|0.0|-4.57|0.0001419999999999|0.0646|2.94|0.0|7.3e-06|-0.04724|5.5913|2.2|3.6709|-1450.500669|762.21|1318.35|0.3939999999999999|-0.26999|0.70511|0.0|-0.19463|-0.25919486|7.0|7.0
3o_a32|0.0|1|1|0.0|0|7.773594467000001|1|1|-0.022603806|-0.006253394|5.733341277|-0.014299905|1|0.035643275|-0.064818511|-0.306416317|-0.117781901|10.3110027|-0.090297882|3|0.000243592|-0.117744493|-0.061774721|0.90022001|0.8214857240000001|0.872498916|0.8377808240000001|-0.073742105|-0.095457829|0.012519666|-42.51640563|7.218280399|0.162219176|-31.73171751|4.161738248|0.0|0.7850948190000001|-24.51306152|49.73468603|0.455089918|2469.87467|-10.57723917|0.214905181|6.392329273|11.73098001|5488.777096|123.9047338|-475.9757626|0.0130649069999999|1051.530112|541.0877621000001|7.532642302|1.0|1.0|1.0|2.0|3.06|0.32|19.0|-7.27|6.39|4.2|122.97|0.0|3.0|4.0|381.52|0.0|1.0|-4.73|1.89e-06|0.00072|3.46|0.0|2.04e-05|-0.05413|3.5333|2.35|3.5333|-1805.473626|620.56|1049.14|0.2851|0.70216|0.70216|0.2851|-0.20065|0.03088166|6.6198|6.6198
13h_a6|0.0|0|0|0.0|0|6.842683282|0|0|-0.094781725|-0.006619944|4.727387819|0.004767264|2|0.04393617|0.060987639|-0.3839567379999999|-0.01698365|10.95053423|-0.090944829|1|-0.000644109|0.105918119|-0.12414699|0.836982172|0.780222427|0.8391892870000001|0.867910741|-0.074151997|-0.091977068|0.017441348|-51.85624128|12.1971464|0.132089259|-44.98170701|8.529752344|0.0|0.736918588|-36.26429338|64.05338768|0.461667017|2829.19698|-15.82689691|0.263081412|9.11292243|16.928040300000003|6302.785260000001|183.9790404|-854.6524332|0.017825256|1658.40973|744.1359788|12.4656221|1.0|1.0|1.0|2.0|3.03|0.12|27.0|-10.57|5.41|4.79|103.17|0.0|6.0|5.0|431.49|0.0|1.0|-5.06|2.77e-06|0.0012|3.7|0.0|1.15e-08|-0.07435|4.8701|3.83|3392.0|-1386.569017|738.61|1253.92|1.0978|0.50716|0.69001|0.2121|-0.2153199999999999|0.04469058|7.3279|7.3279
14o_a23|0.0|1|1|-4.758526534|2|7.423568444|0|0|0.18835477|-0.014680137|5.351858133|-0.301504331|2|0.046090147|0.135737344|-0.807407518|-0.029012777|10.3132174|-0.049105045|2|-0.0004039459999999|0.416392114|-0.0962526|0.598213287|0.802854174|0.861597051|0.904077943|-0.072435569|-0.094138958|0.018054548|-51.49843925|12.835973699999998|0.0959220569999999|-47.58321438|9.125801389|0.8929505459999999|0.800301554|-36.61307972|64.33441296|0.48945652|2297.392496|-21.45909668|0.199698446|9.016411722|17.66041891|7967.617129|141.97663490000002|-1094.413931|0.019295686|1923.471511|676.4530574|13.71836682|0.0|0.0|0.0|1.0|3.62|0.09|26.0|-7.95|3.97|6.18|114.25|0.0|7.0|8.0|495.48|0.0|0.0|-6.0|1.29e-07|6.38e-05|4.76|0.0|5.57e-06|-0.08059|3.6989|5.17|3.6989|-2042.161288|729.11|1236.72|385.0|0.58581|0.58581|385.0|-0.23229|0.02299729|8.4815|8.4815
2_a27|0.0|0|0|0.0|2|6.605297921|0|0|0.09890645|-0.0065894809999999|4.59511985|-0.0609613559999999|2|0.0427777779999999|-0.196529806|-0.276758209|0.11675125|10.93783218|0.017751479|1|0.00988756|-0.337316432|-0.21066171|0.639024713|0.796022385|0.8585302370000001|0.8468699609999999|-0.058444848|-0.081513931|0.019809599|-29.42169804|9.972342226|0.153130039|-20.65736087|5.020172886|53.58106492|0.6684621829999999|-14.81116546|39.39404027|0.4424192289999999|1270.627585|-7.415462877|0.331537817|5.312170441|9.527176544|4774.521748|166.89932209999998|-289.2030522|0.022639983|859.4181658|373.9912084|11.39718489|0.0|0.0|0.0|0.0|3.06|0.11|21.0|-5.84|2.43|2.49|65.6|0.0|2.0|4.0|317.34|1.0|1.0|-3.7|0.000644|204.0|2.18|0.0|0.0004599999999999|-0.04933|4.1624|4.32|4.1624|-1043.7984|538.57|906.48|0.3217|0.55857|0.55857|0.3217|-0.21702|0.02268519|7.8861|7.8861
6c_a31|0.0|0|0|0.0|0|7.78113851|1|1|0.047405064|-0.015192833|5.733341277|-0.151732713|0|0.038901235|0.137523742|-0.790027307|-0.00219333|10.31169965|-0.107687565|2|-0.00668344|0.2301743489999999|-0.0055763209999999|0.831901219|0.790900932|0.846458013|0.641197273|-0.120905075|-0.126324613|0.03173578|-76.54198229|20.09112958|0.358802727|-50.62888027|12.71919216|105.7632176|0.7653239190000001|-48.45681657|96.63311186|0.4463376229999999|2357.829685|-17.93106176|0.234676081|8.102804662|14.63492011|6283.091868|148.5675636|-860.6909647|0.0212421629999999|1776.424619|597.3075924999999|13.44788285|1.0|1.0|1.0|2.0|3.13|0.14|22.0|-7.72|5.58|4.26|131.36|0.0|5.0|5.0|418.47|0.0|1.0|-4.94|8.179999999999999e-07|0.000343|3.64|0.0|7.9e-06|-0.0581799999999999|3.2974|5.08|3.2974|-1691.948653|667.01|1125.85|0.5028|0.7014699999999999|0.7014699999999999|0.5028|-0.19169|0.03620884|6.4685|6.4685
12m_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.096631895|-0.01047558|5.351858133|0.024086432|2|0.040839506|-0.1305457069999999|-0.57615692|0.0488832779999999|10.31162838|-0.0547272029999999|1|0.0026474159999999|-0.236661357|-0.084317059|0.817497287|0.832758813|0.893689741|0.783260049|-0.085422479|-0.103359773|0.027352277|-57.96147772|18.55926485|0.216739951|-47.58675592|12.59296644|237.0982213|0.773732767|-39.32844052|76.52074257|0.44976016|2370.879718|-18.66147291|0.226267233|9.025816604|16.40342255|6658.711303|153.52847759999997|-951.7351184|0.019500715|1812.833129|683.7405759|13.2317657|1.0|0.0|1.0|1.0|0.0|0.13|17.0|-6.42|3.4|2.48|114.67|0.0|6.0|6.0|439.49|0.0|0.0|-5.01|1.01e-06|0.000444|3.89|0.0|0.000165|-57.0|5.0617|3.88|3.5496|-1743.174906|714.92|1204.39|255.0|0.33392|0.68404|0.1615|-0.20742|0.04041755|7.5114|7.5114
12aj_a36|0.0|0|0|0.0|0|7.412764017000001|2|2|-0.056210607|-0.00706023|5.351858133|-0.045035034|2|0.043848238|0.064171987|-0.402433117|-0.103202936|10.95354213|-0.042227364|1|0.003962098|0.1087087|-0.104118159|0.90414347|0.812278823|0.8632656809999999|0.8269863129999999|-0.073002742|-0.10279655|0.018305468|-46.79363201|11.73352271|0.173013687|-42.23511741|7.521007149|0.0|0.77492734|-29.99399664|58.52715472|0.47532973|2275.825451|-15.14089115|0.22507266|8.056502837|15.35536375|5763.333098|144.26810480000003|-802.4672307|0.016684569|1615.543812|662.0530478999999|10.69455126|1.0|0.0|1.0|2.0|0.0|0.17|17.0|-6.97|3.24|2.19|69.2|0.0|5.0|4.0|395.46|1.0|0.0|-4.3|6.929999999999999e-05|0.0274|3.04|0.0|4.270000000000001e-05|-0.05275|5.2301|3.48|3.6017|-1272.241135|682.84|1157.64|0.5616|0.4112|0.70423|0.0082|-0.20093|0.03225532|7.7696|7.7696
27b_a34|0.0|0|0|0.0|1|7.412764017000001|1|1|-0.056026127|-0.010183855|5.351858133|-0.016803292|1|0.042739018|-0.106245942|-0.549928192|-0.029622037|10.95430634|-0.027175221|1|0.001228116|-0.175834895|-0.194619338|0.820914556|0.7722228729999999|0.8299950709999999|0.783431788|-0.08757938|-0.109683855|0.031021066|-57.66200309|20.42417736|0.2165682119999999|-47.54648562|13.44721755|540.9533124|0.712312759|-37.9644911|78.08618045|0.4072752529999999|2431.595232|-16.16580511|0.287687241|9.124440695|15.39406063|6032.666081|189.4124225|-808.2902556|0.022820627|1723.489976|627.4287311|15.02503259|1.0|1.0|1.0|1.0|3.66|0.12|23.0|-8.19|3.94|4.11|84.99|0.0|5.0|5.0|409.44|0.0|1.0|-4.96|5.92e-06|0.00243|3.75|0.0|2.67e-06|-0.04121|4.8168|4.33|4.0935|-1350.018975|691.97|1174.68|0.3621|0.47412|0.70001|0.0252|-0.20649|0.03640275|6.1871|6.1871
12ak_a36|0.0|0|0|0.0|0|7.412764017000001|2|2|-0.052930979|-0.006465433|5.351858133|-0.0407717229999999|2|0.041728395|0.12041792|-0.407322296|-0.116440196|10.95268014|-0.015708652|1|0.005035022|0.198260132|-0.099596099|0.901715152|0.815627016|0.860939187|0.848705143|-0.069176342|-0.091761476|0.019931266|-49.87483724|14.3700664|0.151294857|-47.69888026|10.36054668|25.9007405|0.737439195|-35.95881638|64.24490364|0.423822657|2735.7986920000003|-16.97756755|0.262560805|7.98672125|13.86156772|6240.396899|189.3013851|-1001.676485|0.018055095|1883.984673|799.5563855|13.01738243|1.0|0.0|1.0|2.0|0.0|0.24|17.0|-7.38|3.85|3.01|69.2|0.0|6.0|4.0|423.51|1.0|1.0|-4.86|1.13e-05|0.0047799999999999|3.8|0.0|1.7800000000000002e-05|-0.04929|3.8734|4.21|3.6895|-1350.865407|730.3|1247.89|0.4514|0.69463|0.7034699999999999|0.0001|-0.20204|0.03471045|7.3372|7.3372
15a_a22|0.0|0|0|0.0|1|6.842683282|0|0|-0.136588366|-0.0050042229999999|4.727387819|-0.052476637|2|0.038167849|0.021482585|-0.280236463|-0.057308195|10.9464374|-0.015194063|1|0.005757758|0.036467904|-0.097476465|0.6819423609999999|0.7392451729999999|0.794858486|0.86664032|-0.061755825|-0.081705465|0.02126757|-41.92018177|14.43653926|0.13335968|-37.6479704|9.799599501|65.53409434|0.702735071|-28.45564196|56.35672103|0.444668211|2169.226845|-14.47998862|0.297264929|8.157552588|14.6895113|6322.278103000001|201.7850124|-752.9594081|0.0216014629999999|1578.4640869999998|684.5377542|14.66318798|1.0|1.0|1.0|1.0|2.86|0.08|27.0|-9.21|3.87|4.31|85.59|0.0|6.0|5.0|420.47|0.0|1.0|-4.68|2.25e-05|0.00945|3.18|0.0|2.56e-07|-0.0600399999999999|5.0577|4.98|3.6496|-1368.321775|696.57|1189.31|312.0|0.41078|0.69076|0.0955|-0.21285|0.03153544|6.8447|6.8447
12bf_a36|0.0|0|0|0.0|0|7.412764017000001|2|2|-0.024689509|-0.00832865|5.351858133|-0.119979424|2|0.044197531|0.140577067|-0.4497470879999999|-0.096665166|10.96022305|-0.0206090089999999|1|-0.004358975|0.359635716|-0.098027247|0.653741315|0.836170906|0.892249657|0.6791406640000001|-0.090461753|-0.110255801|0.0217611939999999|-58.26326838|14.01562806|0.320859336|-45.73631152|9.026978489|0.0|0.7054709690000001|-37.52534442|72.27889645|0.474826911|2522.341812|-15.55034592|0.294529031|7.546900716000001|14.37031118|6271.550446|189.6959033|-777.5172959|0.02371294|1711.2011699999998|593.6088758|15.27267945|1.0|0.0|1.0|2.0|0.0|0.14|17.0|-7.12|3.55|3.0|69.2|0.0|5.0|6.0|417.41|1.0|0.0|-4.32|0.000102|0.0424|2.88|0.0|3.17e-05|-0.0571299999999999|5.2319|3.66|3874.0|-1431.380702|670.85|1120.94|0.4518|0.40663|0.69292|0.4006|-0.2139|0.03299488|8.2218|8.2218
12i_a36|0.0|0|0|-4.787087299|0|7.412764017000001|2|2|0.043792895|-0.016027043|5.351858133|-0.29543904|2|0.0438779959999999|0.048138468|-0.929568494|0.128325344|10.96020192|-0.009876543|1|-0.007897954|0.135587069|-0.1187503719999999|0.647732719|0.820041835|0.87043328|0.830964232|-0.0850745409999999|-0.117424873|0.01973953|-54.81607619|12.71877085|0.169035768|-48.75024044|8.195085212|0.52902639|0.7691298590000001|-35.3196406|67.53484704|0.460246812|2351.232652|-18.95842684|0.230870141|7.549683919|13.98728916|7707.634338|148.7565508|-1023.755049|0.022430221|2065.79896|672.4630346|14.45246358|1.0|0.0|1.0|2.0|0.0|0.17|17.0|-7.14|3.31|4.04|78.43|0.0|7.0|8.0|465.43|0.0|0.0|-5.07|6.26e-06|0.00291|3.86|0.0|3.37e-05|-0.05065|5.2297|4.86|3.7496|-1645.171438|666.79|1172.5|0.5402|0.34255|0.70134|0.1516|-0.20475|0.03165678|7.9208|7.9208
4g_a49|0.0|0|0|0.0|2|8.228176896|2|2|-0.087219006|-0.003686314|6.107022888|-0.008414823|4|0.036761229|-0.085731041|-0.328081947|0.003456679|10.92777048|0.08591712|2|0.007845545|-0.146265064|-0.038698906|0.651833607|0.7559263270000001|0.81242269|0.8601878270000001|-0.061465364|-0.0666753309999999|0.018944337|-61.24875669|18.87757641|0.139812173|-66.20622488|18.81105094|74.95505057|0.6273572239999999|-61.03291321|80.12633309|0.48934952|4747.967275999999|-24.82733433|0.372642776|9.28937554|18.19125978|11516.07629|371.3295653|-1986.186746|0.023762615|3177.154639|1714.878736|23.67887448|0.0|0.0|1.0|1.0|4.36|0.1|42.0|-13.67|6.09|7.56|116.3|0.0|7.0|7.0|663.73|0.0|0.0|-7.43|3.3700000000000004e-08|2.24e-05|5.28|1.0|1.4199999999999998e-11|-0.06458|4.3116|6.35|3.6269|-2147.66293|985.89|1766.47|0.1389|0.33449|0.69238|0.0265|-0.21545|0.05838924|6.9747|6.9747
2_a47|0.0|0|0|0.0|0|0.0|0|0|-0.002024001|-0.008527649|0.0|-0.13117284|2|0.027058824|-0.004557357|-0.3581612489999999|0.107297513|10.93671092|-0.013580367|0|-0.006079384|-0.007299676|-0.017113434|0.916092248|0.671819147|0.728066943|0.847324011|-0.083455669|-0.095655954|0.008511123|-41.57671973|4.240150185|0.152675989|-23.74109633|2.112397382|0.958043241|0.784978115|-20.71307621|45.81686991|0.433425706|1242.745585|-9.131190896|0.215021885|5.308758149|9.369924133|4559.060763|107.1215986|-356.116445|0.016376351|910.626111|392.6099255|8.158522603|1.0|1.0|1.0|2.0|2.54|0.0|22.0|-7.82|3.7|4.75|58.04|0.0|3.0|3.0|313.35|1.0|1.0|-5.11|3.46e-06|0.00109|4.52|0.0|4.73e-06|-0.05285|3.7181|3.49|3.7181|-1010.505024|536.13|902.07|0.2143|0.69102|0.69102|0.2143|-0.20731|0.03544055|6.2|6.2
20_a4|0.0|0|0|0.0|1|7.535296702|1|1|-0.203359312|-0.003103385|5.4161004020000005|-0.00123671|1|0.039635417|-0.061689675|-0.124135414|-0.1473674569999999|10.9459449|-0.059498265|1|0.012025268|-0.098992154|-0.064248765|0.691307598|0.7797803109999999|0.8404413829999999|0.918147288|-0.060595472|-0.072188305|0.022933651|-29.16642156|11.03865532|0.081852712|-16.72448692|5.313236547|68.49419443|0.6435852470000001|-14.03867522|40.20507689|0.421704107|1379.418733|-6.32818424|0.356414753|5.543543957000001|9.58599918|4085.683488|171.5531319|-234.1428169|0.024334176|755.8433223999999|338.71903330000004|11.71277006|1.0|1.0|1.0|0.0|3.06|0.11|17.0|-5.55|3.2|3.54|39.94|0.0|3.0|3.0|289.33|1.0|1.0|-3.87|0.000346|0.1|2.96|0.0|0.000806|-0.03048|5.1778|2.73|4.0419|-934.2266312|517.72|861.05|0.2364|0.5152|0.66028|0.1415|-0.19747|0.022349042|6.1898|6.1898
4d_a46|0.0|0|0|0.173086735|1|7.825245291|1|1|-0.1397563859999999|-0.001749881|5.587248657999999|-0.017469934|2|0.047736111|-0.131948546|-0.085744171|-0.111025108|10.96333164|-0.076521434|1|0.010756749|-0.206000242|-0.0814707009999999|0.6535171|0.764741337|0.8075680409999999|0.936057958|-0.056384895|-0.070772596|0.008652238|-30.95621863|4.750218646|0.063942042|-21.33218735|2.607946825|74.62074724|0.813427965|-16.99546444|35.70643728|0.441136013|2233.65548|-7.419891252999999|0.186572035|5.757075209|10.30138878|4993.774007|102.4310631|-341.3149976|0.0086574759999999|764.2776167999999|509.0572545|4.753094337|1.0|0.0|1.0|0.0|3.5|0.35|17.0|-7.41|4.81|5.11|43.6|0.0|2.0|3.0|352.86|1.0|1.0|-5.11|1.18e-05|0.00416|4.3|0.0|1.3699999999999998e-05|-0.0396399999999999|4.4265|4.18|4.4265|-1453.817782|588.18|1009.78|0.1313|0.69884|0.69884|0.1313|-0.22603|0.02292966|6.2865|6.2865
12x_a36|0.0|0|0|0.0|0|7.412764017000001|2|2|-0.058295476|-0.007008724|5.351858133|-0.046532211|2|0.041767677|0.021670322|-0.40650598|-0.054184069|10.33556641|-0.023932402|1|0.003710345|0.038200407|-0.07550872|0.906423012|0.828393514|0.8792981679999999|0.836402835|-0.0737521679999999|-0.104368092|0.017625524|-49.60929169|11.85578416|0.163597165|-47.22198284|7.974776509|0.8295471390000001|0.7768535409999999|-33.36962015|61.46507585|0.458792701|2391.802689|-16.61514211|0.223146459|8.770758009|16.20591229|6193.10485|150.09915149999998|-897.2176739|0.016274369|1717.000548|725.9470896|10.94693123|1.0|0.0|1.0|2.0|0.0|0.17|17.0|-7.05|3.33|2.61|94.5|0.0|6.0|4.0|427.52|0.0|0.0|-4.51|1.4300000000000002e-05|0.0061|3.19|0.0|3.83e-05|-0.05311|3.8776|3.37|3.7364|-1670.419519|719.63|1209.23|0.3901|0.6853600000000001|0.68112|0.0199|-0.2048199999999999|0.03331471|8.1549|8.1549
