molecula|SddssS|n9FaHRing|SaaNH|SssssC|NaasN|nARing|MATS2c|AATSC1c|n6HRing|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC1pe|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FNSA3|PBF|FPSA3|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Brenk|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|pIC50|pIC50
47c_a18|0.0|0|0.0|0.0|0|1|0.02368001|-0.007068829|0|0.032688172|0.047739847|0.0007979619999999|-0.058748345|10.94702285|0.002674691|-0.212991596|-0.320309303|-0.455055055|0.784328127|0.758269842|-0.027873485|0.050944273|0.7912974190000001|0.7601847759999999|-0.0715759629999999|0.246894346|0.015864085|12.75381432|67.68084951|0.1871383589999999|150.4485025|10.25333491|103.416376|-2.350000928|-46.26124419|-25.88035487|0.489290189|3228.879782|-1889.265906|2027.892739|0.251001849|18.73268473|0.958059115|201.7910841|-1518.861384|34.55329606|0.016406766|-400.3604527|2522.390613|1167.054827|1.0|1.0|0.0|1.0|4.61|0.0|0.3|2.84|2.87|2.0|1.0|12.0|4.0|-6.61|0.0|0.0|2.42|-5.09|0.000947|8.12e-06|1.0|1.0|6.67e-10|3.42e-07|-0.0449|3.1096|7.72|3.1096|-1664.721977|850.89|1505.09|398.71|0.5869|398.71|0.6983199999999999|-0.12841|3.3075|0.03115159|8.5229|8.5229
15c_a22|0.0|0|0.0|0.0|1|0|-0.134137693|-0.005236206|2|0.038137255|-0.026986769|0.003784292|-0.023927419|10.9464374|0.004362505|-0.0917078119999999|-0.160566657|-0.364626967|0.667111824|0.773044788|-0.096749121|0.010828071|0.8353837409999999|0.639264982|-0.067475429|0.615901609|0.024561528|17.68362419|36.22825261|0.133414786|96.05497587|12.731723|78.22334636|-1.60176404|-34.97658951|-21.75898206|0.462157867|3079.491787|-1153.226049|2092.620825|0.338224886|16.03890406|0.859281634|243.5126145|-830.2910335|32.87972244|0.0248073129999999|-232.9472639|1742.625289|731.8178649|0.0|1.0|1.0|1.0|3.49|2.85|0.08|3.9|4.18|0.0|0.0|6.0|6.0|-6.96|0.0|0.0|2.98|-4.62|0.00618|2.4e-05|0.0|0.0|5.269999999999997e-10|2.35e-07|-0.07399|5.7361|4.79|3674.0|-1460.571156|715.42|1241.07|337.46|0.5082|216.15|0.69113|-0.15408|7.382000000000001|0.03150096|6.1325|6.1325
14g_a23|0.0|1|0.0|-4.794439428|2|0|0.180361525|-0.014609495|2|0.0422736629999999|0.058422864|-0.002390707|-0.031968899|10.3132174|-0.0004039459999999|-0.0962526|-0.2952674819999999|-0.648987099|0.598213287|0.796412133|0.010202051|-0.044895912|0.854683662|0.575188253|-0.072819606|0.297855753|0.018341721|13.05300369|95.64648102|0.092665527|65.94601775|9.289253982|1.5679977319999998|-2.118336119|-36.87984398|-29.55936307|0.461846955|3400.464046|-1507.527516|2531.8503170000004|0.219684185|16.32997765|0.8582074559999999|156.3396622|-1072.841648|37.88128151|0.020564836|-398.9771038|1931.945357|676.4530574|0.0|0.0|1.0|1.0|3.61|3.79|0.09|3.97|6.18|1.0|0.0|7.0|8.0|-5.94|1.0|0.0|4.35|-6.0|6.38e-05|1e-06|0.0|0.0|1.12e-08|5.57e-06|-0.08011|3.7042|5.17|3.7042|-2042.161409|730.13|1233.48|334.71|0.3478|334.71|0.56658|-0.1519|7.2913|0.0221162|8.0|8.0
36_a18|0.0|0|0.0|0.0|0|2|0.050448408|-0.006407141|1|0.036625514|-0.05224259|-0.000451777|-0.0077246719999999|10.94702093|0.000825855|-0.079721028|-0.12139648|-0.493920601|0.7343989059999999|0.741135729|-0.010091893|0.0059061|0.780206307|0.721836103|-0.07777765|0.3847791889999999|0.009440278|6.722004572|110.8288932|0.195706133|139.3536816|4.786442152|83.34177364|-2.074949798|-39.43509046|-22.73046122|0.4751830729999999|2979.013751|-1477.479979|1547.485543|0.187943933|18.21710397|0.905426346|133.8265619|-1052.048147|27.99124609|0.0123136069999999|-444.4026478999999|1819.430996|975.4099618|1.0|1.0|0.0|1.0|4.19|0.0|0.28|3.73|2.96|1.0|0.0|7.0|3.0|-6.18|0.0|1.0|2.8|-5.28|0.000975|5.19e-06|0.0|0.0|6.87e-10|3.210000000000001e-07|-0.04991|3.1908|7.75|3.1908|-1493.661092|769.73|1350.57|388.57|0.4674|388.57|0.69372|-0.13133|1.9944|0.02564498|7.4949|7.4949
12_a1|0.0|0|3.3894574360000003|0.0|0|1|-0.0455890429999999|-0.011221829|1|0.036382114|0.076867966|-0.0038943009999999|-0.0811332759999999|10.94945122|-0.001416381|-0.104622651|-0.173618873|-0.487073772|0.8016064479999999|0.749817035|-0.045776997|-0.093957115|0.817998205|0.7534284040000001|-0.0964711209999999|0.210514881|0.033770552|19.60151089|133.6600817|0.234878615|136.3310784|11.37734536|477.1158679|-1.675584287|-32.50125347|-23.15625812|0.46449367|2592.245875|-972.562841|1825.150911|0.275333347|14.34104294|0.867391557|159.81230209999998|-564.5066541|31.95435864|0.024485753|-260.8074567|1342.083063|473.040639|1.0|1.0|1.0|1.0|3.29|2.72|0.05|4.87|4.41|0.0|0.0|3.0|5.0|-6.02|0.0|1.0|3.44|-4.75|0.00379|1.77e-05|0.0|0.0|6.28e-09|2.3e-06|-0.07042|3734.0|3.67|3.1744|-1216.099134|607.42|1018.84|390.57|0.5867|332.04|0.69763|-0.12874|7.7454|0.0296752|5.5302|5.5302
14c_a22|0.0|0|0.0|0.0|1|0|-0.134137693|-0.005236206|2|0.038137255|-0.026986769|0.003784292|-0.023927419|10.9464374|0.004362505|-0.0917078119999999|-0.160566657|-0.364626967|0.667111824|0.773044788|-0.096749121|0.010828071|0.8353837409999999|0.639264982|-0.067475189|0.6160012029999999|0.024569649|17.68831053|36.22825261|0.133423541|96.05497587|12.73426132|78.22334636|-1.60155147|-34.9718749|-21.75466672|0.462147828|3079.4894480000003|-1152.997336|2092.7515510000003|0.33831271|16.03849168|0.8592469290000001|243.5598613|-830.0718911|32.87756477|0.024813755|-232.8055235|1742.5109329999998|731.8178649|0.0|1.0|1.0|1.0|3.49|2.85|0.08|3.9|4.18|0.0|0.0|6.0|6.0|-6.96|0.0|0.0|2.98|-4.62|0.00618|2.4e-05|0.0|0.0|5.269999999999997e-10|2.35e-07|-0.07399|5.7361|4.79|3.6741|-1460.571156|715.52|1241.55|337.45|0.5079|216.15|0.69113|-0.15408|7.3824|0.03150011|6.8153|6.8153
18d_a25|0.0|0|0.0|0.0|1|0|-0.0881447869999999|-0.0029605|2|0.042843137|-0.031867489|0.006452854|-0.070413428|10.31285314|0.0062422|-0.035684977|-0.061965108|-0.292727912|0.722349659|0.780221059|-0.03671629|0.029728702|0.838260077|0.696372329|-0.061527513|0.278576218|0.011158458|8.39885106|70.58850837|0.062186295|46.80695276|6.3217245360000005|0.389087507|-1.602893201|-34.85786147|-21.166323|0.476833495|3113.122552|-1206.480411|2625.142499|0.24206301|18.11893325|0.911437354|182.1982146|-908.1047824|27.92623037|0.014219928|-388.2927768|1591.795131|883.4030667999999|1.0|1.0|1.0|1.0|3.66|3.57|0.11|6.33|5.98|1.0|0.0|7.0|4.0|-6.21|1.0|1.0|4.5|-5.54|0.00026|2.86e-06|0.0|0.0|5.92e-11|2.81e-08|-0.07287|5.6512|4.56|3.6392|-1806.812778|792.79|1358.25|340.69|0.3986|219.39|0.6823899999999999|-0.14723|3.2353|0.03560672|6.6345|6.6345
19_a4|-3.21497177|0|0.0|0.0|1|1|-0.121320311|-0.0023503029999999|1|0.040511696|-0.052325802|0.006243904|-0.211341677|10.30966825|0.009687676|-0.0255403279999999|-0.042058265|-0.245630631|0.55269662|0.774746438|0.152550043|-0.190513834|0.834377354|0.514505012|-0.070677568|0.285282038|0.013022539|7.168604362000001|15.411502800000004|0.1792349369999999|98.66465411|3.946149569|13.25878373|-1.215721775|-21.41704046|-15.93396412|0.460486754|2558.336814|-669.2264932|1697.595595|0.235119747|11.01887515|0.85352261|129.4279389|-368.3935819|20.83197214|0.0143733|-291.6208078|874.9428297000001|450.6848883|1.0|0.0|1.0|1.0|3.46|2.52|0.16|2.97|4.32|0.0|0.0|3.0|4.0|-6.58|0.0|1.0|2.92|-3.97|0.0547|0.000106|0.0|0.0|8.070000000000001e-07|0.0002839999999999|-0.05294|4.1858|6.67|4.1858|-1446.909868|583.39|983.4|296.2|0.3806|296.2|0.67535|-0.17004|5.8295|0.02985188|4.71|4.71
12b_a36 (EW-7197)|0.0|0|3.3685352889999995|0.0|0|2|-0.104514139|-0.008137593|2|0.040899471|0.027495626|-0.002526241|-0.098032695|10.96052467|-0.000673716|-0.101303149|-0.217394466|-0.442656599|0.724208473|0.819222745|-0.001567914|-0.097861598|0.8741648479999999|0.698414933|-0.081357853|0.458627252|0.021439664|13.41367899|81.63796416|0.236481628|147.9542111|8.392238798|5.958751634|-1.956014468|-31.84632538|-24.47552312|0.45988432|2772.832013|-1223.776156|2338.370858|0.253252648|12.52485821|0.851455231|158.4469629|-765.6528642999999|32.77617664|0.020730147|-308.7538779|1638.808832|595.8790650000001|||||||||||||||||||||||||-0.04975|3.8475|3.41|3.7725|-1332.147999|659.48|1104.61|328.66|0.4491|322.25|0.69991|-0.15571|5432.0|0.03202977|8.1549|8.1549
47n_a18|0.0|0|0.0|0.0|0|1|0.0487694459999999|-0.007614955|0|0.032169312|0.017491759|0.000271488|-0.003276575|10.94702025|0.001705837|-0.172015161|-0.258092915|-0.529441732|0.722991132|0.696612213|-0.09714337|-0.083719099|0.726888951|0.711628292|-0.079299822|0.288989992|0.0106152389999999|8.759783644|61.29571241|0.207570604|171.2889916|7.228646444|47.476904100000006|-2.4620167580000003|-54.00070374|-26.38541222|0.482565384|3349.802294|-2031.676741|2052.393389|0.216078071|20.17045476|0.932611327|178.30942439999998|-1676.556573|33.65821422|0.01357247|-468.58948260000005|2591.682495|1306.125688|1.0|1.0|0.0|1.0|4.69|0.0|0.31|3.67|3.31|1.0|1.0|13.0|4.0|-6.68|0.0|0.0|2.76|-5.24|0.000511|5.7e-06|0.0|1.0|1.7500000000000002e-10|9.44e-08|-0.0525299999999999|3.2028|9.78|3.2028|-1743.299948|879.92|1565.37|387.11|0.5056|387.11|0.6914600000000001|-0.13138|2.4754|0.02839695|7.1938|7.1938
