molecula|NaaNH|SaaNH|SssssC|nAHRing|BCUTs-1|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|GATS1are|MATS8s|SIC2|GATS1pe|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|WNSA5|WPSA3|FNSA1|WNSA3|PNSA4|TASA|PNSA2|GeomRadius|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
LY580276_a4|0|0.0|0.0|1|1.344599701|-0.020236527|1|0.044357639|0.0295482979999999|0.0|0.010217376|-0.172607392|10.94681614|0.011772853|1|1|0.009622161|-0.019747846|-0.042912895|-0.191806286|0.5162208110000001|0.035666446|0.847526918|0.518109998|-0.071023484|0.243350596|0.008729943|-27.6229776|-34.22831819|4.207217677|11.22286434|63.36073061|-16.49563923|2.027582675|0.8478469959999999|-13.31233017|-13.51117823|418.5688558|-513.4247728|5.456603642999999|0.7764939829999999|4098.640927|73.32703409|15.93586849|0.008312438|605.5630025|4.0060099860000005|1.0|1.0|0.0|1.0|1.0|0.0|3.01|0.22|-6.56|4.49|30.71|3.13|0.0|0.0|84.74|1.0|-3.67|22.0|3.0|1.0|-4.21|0.000213|0.0624|6.18e-05|0.0181|3.35|0.0|0.0|2.75e-07|8.08e-05|-0.0225|5.2983|4.4918|-959.4958788|-959.4723321|519.23|276.03|234.01|402.99|-959.356125|2.5355|0.023546627|-959.404416|3.2891|175.0|6757.0|6757.0
4_a4|0|0.0|0.0|1|1.343865392|0.0159331539999999|2|0.036775068|-0.0214610589999999|2.183056868|0.011760626|-0.110597574|10.92992837|-0.037623601|1|1|0.0112367389999999|-0.048056862|-0.078747188|-0.157959343|0.646069495|-0.168712277|0.8306695270000001|0.636572383|-0.06873731|0.456474074|0.008570112|-25.64211031|-35.41518716|4.4155367960000005|13.70182982|34.37786704|-18.24679326|2.274995377|0.793717973|-13.21145879|-13.17774406|480.8472306|-566.6429946000001|5.326452915|0.66251148|4878.070704|106.2816773|16.60255217|0.010586293|713.9097433|5.454324025|1.0|1.0|0.0|1.0|1.0|0.0|3.15|0.19|-7.57|4.52|43.6|2.66|1.0|0.0|100.08|1.0|-4.12|25.0|3.0|1.0|-4.57|7.59e-05|0.0248|2.69e-05|0.00877|3.52|0.0|0.0|2.71e-08|8.85e-06|-0.04865|5.382000000000001|4.0261|-1029.960398|-1029.93716|566.84|307.95|230.37|394.06|-1029.763465|2.6814|0.02323788|-1029.813844|3.1195|78.0|7.1079|7.1079
9o_a24|1|2.9340792330000003|0.0|1|1.294229152|-0.044044637|3|0.028472222|-0.087807028|0.0|0.0012214139999999|-0.097596429|10.94506726|-0.000236595|1|1|0.002019902|0.00177843|0.00294424|-0.38043264|0.738419215|-0.0062180169999999|0.846075714|0.7086274779999999|-0.08834189|0.6253256110000001|0.018492771|-51.29122728|-51.14964436|10.7072496|32.50178358|133.0106596|-29.61546471|6.1994599720000005|0.668046377|-29.69744072|-19.05574986|445.9858336|-971.8432428|6.080741586|0.945954873|6697.297449000001|192.1999837|28.52459128|0.026064002|1454.754155|15.09096602|1.0|0.0|1.0|1.0|1.0|2.0|3.96|0.04|-7.91|3.75|92.79|1.23|1.0|0.0|120.73|1.0|-4.49|32.0|5.0|0.0|-4.4|3.2500000000000004e-05|0.0137|3.9500000000000005e-05|0.0167|2.88|0.0|0.0|1.24e-08|5.23e-06|-0.04527|5.8802|4.2643|-1388.147972|-1388.094657|611.03|290.75|210.85|432.84|-1387.887227|4.3816|0.0533144|-1387.945865|5.9089|446.0|6.3507|6.3507
17b_a25|0|0.0|0.0|0|1.3732004619999998|-0.002108117|2|0.042843137|-0.026412432|1.968416259|0.005120507|-0.100018134|10.93106294|0.016982601|1|1|0.005244553|-0.044156525|-0.073994564|-0.366585181|0.653180996|0.068812225|0.838260077|0.636746066|-0.079392561|0.410780725|0.015879547|-51.71860811|-60.19950116|12.04068508|99.61874923|89.34443096|-45.64634114|9.129863339|0.724866184|-39.21569422|-22.17876359|668.9067217|-1264.189524|9.700133933|0.909403632|6674.061446|208.6205329|30.59704545|0.0175785369999999|1744.031591|13.32894629|1.0|1.0|1.0|1.0|1.0|1.0|3.56|0.11|-10.04|4.88|96.49|2.0|2.0|0.0|135.78|0.0|-5.32|35.0|5.0|0.0|-5.07|4.75e-06|0.00218|8.59e-06|0.00394|3.61|0.0|0.0|9.08e-11|4.16e-08|-0.05531|5.4236|3961.0|-1483.873254|-1483.830524|781.08|313.02|228.6|654.18|-1483.563965|3.5074|0.04272963|-1483.630939|5.2142|101.0|6.9957|6.9957
12t_a36|1|3.500121488|0.0|2|1.297042607|-0.034194893|2|0.041767677|0.035510516|0.0|0.003676818|-0.030990165|10.95395385|-0.0288761339999999|1|1|0.0045625|-0.101854847|-0.169994208|-0.436022708|0.902377067|-0.009662203|0.878510663|0.857993338|-0.100615514|0.318666358|0.017627553|-48.97252784|-67.01551397|11.7409283|86.12920631|110.727965|-44.63604995|7.820109571000001|0.78316808|-32.61842026|-23.93411213|555.3275093999999|-1340.3102789999998|7.960344391|0.930112292|5936.009091|144.422087|30.56063281|0.01547607|1711.395437|10.30792105|1.0|0.0|0.0|1.0|0.0|2.0|4.94|0.21|-7.36|3.62|69.2|2.45|1.0|0.0|133.52|1.0|-4.61|31.0|4.0|1.0|-4.57|2.48e-05|0.0102|2.6600000000000003e-05|0.0109|3.47|0.0|0.0|4.38e-08|1.7899999999999998e-05|-0.05302|3.8844|3.6694|-1311.585049|-1311.552739|713.6|337.89|319.18|562.72|-1311.287803|5.9081|0.03230976|-1311.349439|7.9104|8.0|8.0969|8.0969
28_a34|0|0.0|0.0|1|1.454781307|-0.206909349|1|0.04515873|-0.201047053|0.0|-0.012039484|-0.15803127|10.9595763|-0.0500053959999999|1|1|-0.007544188|-0.189821204|-0.311884247|-0.5437894289999999|0.8318609690000001|0.092890802|0.8582665429999999|0.7829667309999999|-0.140864841|0.316156689|0.03768308|-66.89539627|-72.11491331|19.29162755|144.3404619|232.4555747|-36.91879876|9.876233397|0.7298701059999999|-34.24669822|-24.6708914|279.4884473|-937.4938731|5.613534285|0.832642882|4803.256974|138.2913845|33.80175623|0.0271102189999999|1284.466737|13.87891455|0.0|1.0|1.0|1.0|1.0|1.0|3.02|0.12|-4.78|1.99|92.26|0.88|0.0|0.0|85.92|2.0|-3.27|24.0|5.0|0.0|-3.25|0.000533|172.0|0.000565|182.0|1.72|0.0|0.0|1.66e-05|0.00535|-0.03896|4.2857|4.2857|-1100.797628|-1100.760824|544.24|289.3|289.3|417.28|-1100.6525880000002|6.4596|0.03680411|-1100.704833|8.5886|3.82|5.4179|5.4179
12bf_a36|1|3.31325137|0.0|2|1.297043948|-0.119979424|2|0.044197531|0.140577067|0.0|-0.006877664|-0.096665166|10.96022305|-0.0206090089999999|1|1|-0.004358975|-0.098027247|-0.250781298|-0.433281391|0.653741315|-0.0480253509999999|0.892249657|0.632625562|-0.110255801|0.356652646|0.0217611939999999|-58.26326838|-71.01192632|14.01562806|87.14111344|206.6543367|-45.73631152|9.026978489|0.7054709690000001|-37.52534442|-24.14405495|437.4108773|-1207.2027480000002|7.546900716000001|0.904134124|6271.550446|189.6959033|34.22402339|0.02371294|1711.2011699999998|15.27267945|1.0|0.0|0.0|1.0|0.0|2.0|4.72|0.14|-7.12|3.55|69.2|2.78|1.0|0.0|123.67|1.0|-3.99|31.0|6.0|1.0|-4.32|0.000102|0.0424|4.81e-05|0.0201|2.88|0.0|0.0|7.599999999999999e-08|3.17e-05|-0.0571299999999999|5.2319|3874.0|-1431.413697|-1431.380702|670.85|320.04|236.98|517.66|-1431.187555|5.4787|0.03299488|-1431.246893|7.5932|6.0|8.2218|8.2218
6_a27|1|2.6137160880000003|0.0|0|1.404458667|-0.072298665|2|0.042942943|-0.237047381|1.221528093|0.00526746|0.075248207|10.93737136|0.081320966|1|1|0.0058042269999999|-0.1044763|-0.179319226|-0.541168953|0.678057835|-0.1322552659999999|0.849515128|0.650575651|-0.090025109|0.344065059|0.020552125|-38.92545695|-44.56839492|10.17466399|125.8234721|106.4156743|-22.06430895|5.03713293|0.774820398|-19.27068071|-17.14169035|388.6505938|-668.5259238|5.010042219|0.896201262|4761.820508|111.4788253|22.12343713|0.01635203|862.8140479|8.095338503999999|0.0|0.0|0.0|0.0|0.0|1.0|3.0|0.11|-6.67|3.48|76.46|2.42|0.0|0.0|92.65|1.0|-3.62|24.0|4.0|1.0|-3.82|0.000242|0.0768|0.000153|0.0485|2.37|0.0|0.0|2.16e-07|6.86e-05|-0.04793|5.5447|4.1391|-1043.831559|-1043.806618|526.9|299.55|223.61|401.49|-1043.678244|2.7521|0.02494141|-1043.728133|4.0597|1.0|9.0|9.0
1_a3|0|0.0|0.0|1|0.6195934120000001|-0.073036903|2|0.034166667|-0.004409693|2.194605012|-0.006610844|0.038572075|10.33805862|0.032569462|0|0|-0.005006707|0.05038525|0.08803837|-0.486774367|1.005427002|-0.126299711|0.8457792829999999|0.943582278|-0.0925710269999999|0.521474118|0.008036786|-45.44133321|-42.54530997|3.693677623|289.8942564|102.8341051|-19.55367089|1.697600903|0.7920857179999999|-20.88467272|-15.67458788|356.76228530000003|-595.6343396000001|4.984064981|0.8151164259999999|4510.611026|95.55665364|19.78900457|0.014174378|751.9821735|6.514493077999999|1.0|1.0|0.0|1.0|1.0|1.0|3.83|0.18|-5.77|2.28|77.1|1.52|0.0|0.0|91.52|2.0|-3.07|22.0|4.0|0.0|-3.3|0.0008529999999999|261.0|0.000503|154.0|1.83|0.0|0.0|1.69e-06|0.000518|-53.0|5.8805|3.8645|-1273.316428|-1273.290432|496.09|320.83|210.84|316.61|-1273.1763970000002|2.2332|0.02599563|-1273.22339|3.4319|724.0|6.1403|6.1403
20_a4|0|0.0|0.0|1|1.399905568|-0.00123671|1|0.039635417|-0.061689675|0.0|0.012265062|-0.1473674569999999|10.9459449|-0.059498265|1|1|0.012025268|-0.064248765|-0.103098674|-0.211751813|0.691307598|0.246357638|0.8404413829999999|0.665774148|-0.072188305|0.210083785|0.022933651|-29.16642156|-34.74640079|11.03865532|63.27373076|39.3981702|-16.72448692|5.313236547|0.6435852470000001|-14.03867522|-13.14728679|441.9318823|-486.4496111|5.543543957000001|0.729218575|4085.683488|171.5531319|20.4281979|0.024334176|755.8433223999999|11.71277006|1.0|1.0|1.0|1.0|1.0|0.0|3.23|0.11|-5.55|3.2|39.94|2.09|0.0|0.0|86.62|2.0|-3.46|22.0|3.0|1.0|-3.87|0.000346|0.1|0.000134|0.0388|2.96|0.0|0.0|2.79e-06|0.000806|-0.03048|5.1778|4.0419|-934.2489802|-934.2266312|517.72|306.74|239.45|402.27|-934.103809|4.0681|0.022349042|-934.150871|5.5779|646.0|6.1898|6.1898
