molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|SaasN|SRW07|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC1pe|AATSC7i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|RPSA|WNSA5|FNSA1|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
14c_a22|0|0|0|0.0|0.0|6.842683282|0|0|1.42291727|1.596256692|4.727387819|-0.026986769|1.568396937|-0.298463715|0.003784292|10.9464374|0.004362505|-0.047249795|-0.364626967|2|0.667111824|0.773044788|-0.096749121|0.010828071|0.639264982|1|-0.067475189|-0.080077573|0.024569649|-48.57709197|-57.64986681|36.22825261|0.133423541|-41.50359456|0.66168729|75.5139152|-21.75466672|0.462147828|3079.4894480000003|2092.7515510000003|-15.66173379|0.8592469290000001|6882.45|243.5598613|-830.0718911|-232.8055235|731.8178649|17.86404838|0.0|1.0|1.0|1.0|1.0|3.49|2.85|0.08|27.0|-9.28|1.08|0.0|128.77|0.0|1.0|6.0|-6.96|0.0|0.0|0.0|-4.62|1.39e-05|0.00618|2.4e-05|0.0107|2.9|5.269999999999997e-10|2.35e-07|-0.07399|3.6741|-1460.571156|715.52|1241.55|337.45|216.15|575.8|0.3078|0.69113|0.0694|0.03150011|-1460.38772|153.0|6.8153|6.8153
18_a20|1|0|0|3.463603867|0.0|6.842683282|0|0|1.400923654|0.0|4.727387819|0.163548857|1.983673343|-0.5039851160000001|-0.005614194|10.93301779|-0.004071701|0.268927191|-0.597167441|2|0.809917509|0.7602869659999999|-0.107446431|-0.090732503|0.778639593|1|-0.0927760219999999|-0.095227339|0.0108136339999999|-61.73239771|-63.36348363|318.5587088|0.23863824|-42.1615378|0.8109110409999999|72.31812218|-23.91074854|0.483668611|2809.844943|1822.210286|-15.91001426|0.936740671|6206.896662|125.81822920000002|-843.230756|-413.7552685|712.1606951|8.954638548|1.0|1.0|1.0|1.0|2.0|3.48|2.76|0.08|27.0|-10.0|2.06|0.0|125.07|0.0|0.0|4.0|-6.13|0.0|0.0|1.0|-5.16|2.54e-06|0.00107|6.91e-06|0.0029|3.85|9.93e-11|4.17e-08|-0.05604|3.5355|-1352.32685|703.24|1204.88|350.69|207.41|531.11|0.31154|0.6953699999999999|0.2011|0.03787435|-1352.135304|34.0|7.4685|7.4685
3l_a32|1|1|1|3.672194822|0.0|7.773594467000001|0|1|0.609420748|0.0|5.733341277|-0.039331295|2.259257465|-0.270019992|0.0016954029999999|10.31100268|0.002942329|-0.068876714|-0.524711546|0|0.820540279|0.751853889|-0.136589369|-0.184582641|0.776480242|1|-0.069304303|-0.088417589|0.012244965|-40.30321333|-51.41835077|61.72183119|0.114441512|-29.90181954|0.788236719|58.10243176|-16.76685351|0.453630671|2453.759435|2415.340446|-9.750593329|0.8302637909999999|5429.531532999999|123.148785|-448.5272931|-335.2422712|565.7000781|6.6840809960000005|1.0|0.0|1.0|1.0|1.0|3.58|3.54|0.35|19.0|-7.5|2.64|0.0|110.16|0.0|1.0|3.0|-4.71|1.0|0.0|1.0|-6.01|2.52e-08|9.59e-06|9.7e-07|0.0003689999999999|5.51|3.16e-08|1.2e-05|-0.0529799999999999|3.5319|-1789.4501510000002|629.26|1062.47|351.04|351.04|468.81|0.70282|0.70282|0.2876|0.02547484|-1789.298086|12.0|7.9208|7.9208
9a_a36|1|0|0|3.4090209280000003|0.0|7.412764017000001|2|2|1.297044807|0.0|5.351858133|0.095192109|0.0|-0.41624054|0.0034852859999999|10.96066876|0.00484375|0.160672128|-0.398235589|1|0.839235677|0.7885597609999999|-0.019008343|-0.1177413269999999|0.79302567|0|-0.073689118|-0.10869601|0.0236784079999999|-45.04449811|-66.44342306|49.52042402|0.1734403769999999|-40.61536816|0.7638345870000001|78.37175688|-24.40778806|0.453098452|2682.572663|2167.77208|-14.91993116|0.828482664|5693.562367|144.36259840000002|-731.0766269999999|-322.5522826|578.2841135|11.92833382|1.0|0.0|0.0|1.0|1.0|4.69|0.0|0.14|17.0|-6.28|2.02|0.0|120.94|0.0|1.0|5.0|-6.74|0.0|1.0|0.0|-3.99|0.000197|0.0753|0.000102|0.0391|2.66|5.26e-07|0.0002009999999999|-0.05044|3.8677|-1252.77514|648.41|1092.66|320.56|320.56|495.18|0.68682|0.68682|0.4811|0.02701893|-1252.636005|13.0|7.8861|7.8861
12b_a36 (EW-7197)|1|0|0|3.3685352889999995|0.0|7.412764017000001|2|2|1.2970445309999998|0.0|5.351858133|0.027495626|0.0|-0.439429998|-0.002526241|10.96052467|-0.000673716|0.059005046|-0.442656599|1|0.724208473|0.819222745|-0.001567914|-0.097861598|0.698414933|0|-0.081357853|-0.10866747|0.021439664|-50.90136206|-67.98756422|81.63796416|0.236481628|-42.53627024|0.746747352|80.95733534|-24.47552312|0.45988432|2772.832013|2338.370858|-15.31305729|0.851455231|6096.459089|158.4469629|-765.6528642999999|-308.7538779|595.8790650000001|12.96977113|||||||||||||||||||||||||||||-0.04975|3.7725|-1332.147999|659.48|1104.61|328.66|322.25|486.64|0.6824899999999999|0.69991|0.0197|0.03202977|-1332.005651|7.0|8.1549|8.1549
4b_a46|0|0|0|0.0|0.206072846|7.825245291|1|1|1.1346370890000002|2.189591837|5.587248657999999|-0.082722572|0.0|-0.058945144|0.012332859|10.96200942|0.011806162|-0.128843936|-0.16915334|2|0.6901151990000001|0.7306307590000001|-0.263387881|-0.153841155|0.69830739|0|-0.0524080009999999|-0.070236212|0.007568202|-28.58477842|-38.30877966|7.986637869|0.064754938|-20.89467173|0.8104680259999999|42.65239101|-12.50898928|0.428987199|2105.172229|1750.333702|-6.822749952000001|0.751274223|4681.895329999999|103.3759991|-334.31474760000003|-338.6757579|538.4165208|4.343611349|1.0|0.0|0.0|1.0|0.0|3.9|3.03|0.38|17.0|-7.2|2.58|0.0|101.7|0.0|1.0|3.0|-5.67|0.0|1.0|1.0|-4.63|4.49e-05|0.0149|2.35e-05|0.00782|3.74|6.38e-08|2.12e-05|-0.02729|4.5515|-1033.535029|588.79|1020.9|272.4|272.4|508.79|0.68682|0.68682|0.1784|0.02176759|-1033.378455|548.0|6.2612|6.2612
36_a18|0|0|0|0.0|0.0|7.03438793|2|2|1.25117638|0.0|4.844187086|-0.05224259|0.0|-0.442092758|-0.000451777|10.94702093|0.000825855|-0.079553246|-0.493920601|0|0.7343989059999999|0.741135729|-0.010091893|0.0059061|0.721836103|0|-0.07777765|-0.079805761|0.009440278|-55.38202488|-56.82615305|110.8288932|0.195706133|-40.46339026|0.812056067|65.59412783|-22.73046122|0.4751830729999999|2979.013751|1547.485543|-16.1853561|0.905426346|6799.65027|133.8265619|-1052.048147|-444.4026478999999|975.4099618|8.767974776|1.0|1.0|0.0|1.0|3.0|4.19|0.0|0.28|18.0|-9.16|3.13|1.0|146.24|0.0|1.0|3.0|-6.18|0.0|0.0|1.0|-5.28|2.09e-06|0.000975|5.19e-06|0.00242|4.18|6.87e-10|3.210000000000001e-07|-0.04991|3.1908|-1493.661092|769.73|1350.57|388.57|388.57|636.33|0.69372|0.69372|0.4674|0.02564498|-1493.333297|32.0|7.4949|7.4949
21_a12|0|0|0|0.0|0.0|6.605297921|1|1|0.609915045|0.0|4.59511985|-0.213225401|0.0|-0.362168355|-0.003879878|10.31140747|-0.001825446|-0.388196876|-0.522951134|2|0.923855679|0.835359152|-0.061915124|-0.099516604|0.859899236|0|-0.068775342|-0.100098765|0.012230115|-34.60932333|-50.37198585|75.46830038|0.15172224|-25.34833425|0.770818357|59.10840872|-18.55810005|0.473492395|2185.835701|1080.052791|-9.338859985|0.8993077970000001|4652.242111|115.3294396|-354.8766794|-272.5639702|380.2468615|8.736422872|1.0|1.0|1.0|0.0|1.0|4.05|2.81|0.12|17.0|-6.78|1.82|0.0|98.16|0.0|1.0|4.0|-6.45|0.0|0.0|1.0|-3.76|0.00015|48.0|0.000173|0.0551|2.53|1.67e-07|5.3200000000000006e-05|-0.0546899999999999|3.9971|-1327.451966|539.67|893.17|310.18|264.64|397.31|0.59386|0.57644|0.1668|0.02758166|-1327.397348|22.0|7.6576|7.6576
7c_a10|0|0|0|0.0|0.0|7.535296702|1|1|1.343178184|2.1219657030000003|5.4161004020000005|-0.1122332619999999|1.798334646|-0.206388032|0.01006918|10.92926158|0.0107756969999999|-0.176560297|-0.215874011|2|0.725146704|0.7928588059999999|-0.087063341|-0.105104647|0.6952665379999999|1|-0.05074318|-0.0876410609999999|0.027436939|-29.66615908|-51.2378943|87.99694927|0.093723511|-29.95538587|0.52630639|67.01436709|-13.06063972|0.4675549639999999|2616.8970870000003|1881.379304|-7.635686595|0.8781281320000001|6034.895823|276.93712|-389.4200163|-30.75918962|611.4957509|15.7764728|1.0|1.0|1.0|1.0|0.0|3.48|3.49|0.26|21.0|-7.78|1.99|0.0|113.07|0.0|1.0|5.0|-6.2|0.0|1.0|1.0|-4.69|3.59e-05|0.0139|2.05e-05|0.00793|3.46|1.66e-08|6.4e-06|-0.04004|3.8357|-1258.985004|635.47|1102.43|323.24|228.47|488.89|0.41348|0.68708|0.0921|0.02659395|-1258.801509|3.81|5.4191|5.4191
14b_a23|0|1|1|0.0|0.0|7.423568444|0|0|1.197963628|3.2475997860000003|5.351858133|0.0519489729999999|0.716540473|-0.318684138|0.007671236|10.31321824|0.0075222369999999|0.121308009|-0.4557487779999999|2|0.616699629|0.793551289|-0.00399443|-0.077808321|0.5935522360000001|1|-0.063267638|-0.082441268|0.020454632|-41.01458464|-53.44429544|40.76245006|0.153740341|-34.64639496|0.774359705|64.97993029|-22.74225338|0.450973737|2943.803333|2280.830615|-14.74314679|0.821406493|6622.129837|146.2760938|-692.9278992000001|-355.71896410000005|599.5697147999999|11.53563485|0.0|0.0|1.0|1.0|1.0|3.42|3.44|0.05|26.0|-7.67|3.4|1.0|120.24|0.0|1.0|5.0|-6.31|0.0|0.0|0.0|-5.11|2.66e-06|0.00114|7.73e-06|0.00332|3.68|2.14e-08|9.18e-06|-0.07803|3706.0|-1729.139722|673.05|1142.37|334.55|334.55|525.66|0.58097|0.58097|0.3603|0.02188578|-1728.9893510000002|4.0|8.3536|8.3536
