molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|MATS7i|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|MATS8d|GATS1pe|nFaHRing|RASA|PBF|FPSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|TASA|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
14a_a5|0.0|0|0|2.948727373|0.0|0|6.605297921|1|1.226142247|-0.056730193|-0.0053665219999999|4.59511985|-0.005002101|-0.132625457|0.0|-0.316624785|10.9488747|0.024793388|1|0.003668464|-0.016337128|-0.36152442|2|0.047169811|0.71006207|0|0.7909255559999999|0.4398855029999999|0.0173669719999999|11.74431806|134.62273080000003|0.209074444|141.38542919999998|-0.0271808479999999|-35.98151967|0.629783335|-1.494946644|-36.98479273|-18.38089729|2836.468636|534.8590069|1315.573182|8.424031251|15.89694877|0.88709518|6177.303329|250.3569601|-683.6488737000001|29.18606491|-175.53051609999997|1605.23357|16.50789498|0.0|1.0|2.0|3.24|2.41|23.0|-8.84|4.56|123.0|0.0|6.0|-4.15|32.0|5.0|-7.08|425.48|0.0|0.0|1.0|3.05|-4.22|0.0304|0.0256|2.55|0.0|1.45e-09|6.16e-07|-0.0507699999999999|4.1501|-1390.592722|692.8|298.75|298.75|0.65789|0.65789|0.5853|2.7115|-0.2183699999999999|0.04629687|-1390.352729|6.9508
12ax_a36|0.0|0|0|3.429529478|0.0|0|7.412764017000001|2|1.280791885|-0.0943348109999999|-0.007681676|5.351858133|-0.040458296|0.075802407|0.0|-0.414810497|10.958822|-0.034663063|1|-0.00097037|-0.1716508239999999|-0.440372791|1|-0.056676035|0.771220556|0|0.846837721|0.375647684|0.019128091|12.79462904|36.17982162|0.153162279|102.4490387|-0.038813619|-48.23849712|0.7648530440000001|-1.940680931|-32.99232962|-25.96212292|2926.929456|566.4430628|2471.295987|7.563197245|14.78635841|0.955040697|6741.969187999999|157.28794140000002|-868.2929481000001|33.94393618|-354.3162187|1697.196809|12.47158322|1.0|0.0|2.0|4.74|0.0|17.0|-7.76|3.99|133.77|0.0|5.0|-5.08|31.0|4.0|-6.26|450.32|0.0|1.0|1.0|2.82|-5.18|0.00372|0.00295|3.93|0.0|1.74e-08|7.83e-06|-0.05596|5.2372|-2152.130959|699.67|318.82|236.74|0.39564|0.69348|0.4167|4.5001|-0.21324|0.03044421|-2151.971761|7.9208
5b_a49|0.0|0|0|0.0|0.0|1|7.853604813|2|1.343848745|0.1108916119999999|-0.007610481|5.777652323|0.006327273|-0.072128552|1.926253727|-0.418576471|10.9297646|0.059834711|1|0.006696215|-0.230763367|-0.515894968|2|0.099724518|0.666573331|1|0.7969332440000001|0.615864196|0.020319986|11.94347454|170.0796998|0.203066756|119.3565117|-0.026008|-26.42668087|0.608694741|-1.300400018|-24.11745318|-15.28671785|2764.188493|468.4133145|1956.050085|6.270195553|11.94760614|0.905459892|6225.302624|229.9974239|-449.2535747|25.1139312|-127.7749783|1255.69656|14.88971719|0.0|1.0|1.0|3.34|2.9|21.0|-7.24|2.98|122.26|0.0|3.0|-3.3|30.0|4.0|-7.24|396.44|0.0|1.0|1.0|2.58|-3.93|0.1969999999999999|0.0468|2.08|0.0|5.79e-08|2.3e-05|-0.04453|5.1653|-1292.139616|633.92|316.21|240.03|0.39241|0.65269|0.0747|4.3767|-0.20701|0.03937634|-1291.929428|7.5528
12g_a31|0.0|0|0|3.42813681|0.0|0|7.765993078999999|1|0.6101363000000001|0.0716209459999999|-0.01500347|5.733341277|-0.1044685569999999|0.045747231|0.0|-0.7501734859999999|10.31169877|-0.082116813|2|-0.0054114869999999|-0.081426376|-0.57758443|0|-0.1386819869999999|0.7983388929999999|0|0.58271093|0.325789284|0.030961426|19.01411466|152.7424573|0.41728907|256.26669530000004|-0.039059048|-49.45404266|0.6886488690000001|-1.835775276|-48.43898314|-23.98704875|2514.363249|357.8560168|1859.940155|8.098256552|15.28679013|0.887664343|5398.678971|191.2078009|-692.3565973|34.8320455|-231.70711040000003|1637.106139|15.44590447|1.0|1.0|2.0|3.61|2.51|16.0|-6.45|5.19|103.26|0.0|7.0|-4.92|27.0|5.0|-6.86|384.45|0.0|0.0|1.0|2.9|-3.79|0.00457|0.0627|2.52|0.0|3.55e-07|0.000136|-0.03324|3.8349|-1578.846191|664.44|323.3|323.3|0.70068|0.70068|265.0|1.6279|-0.19241|0.04532186|-1578.66792|6.9586
12n_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|0.604984682|0.0304762079999999|-0.007311044|5.351858133|-0.064217094|-0.1144447669999999|0.0|-0.387485343|10.31162898|-0.087019298|1|0.002064369|-0.120380857|-0.464204099|1|-0.149451598|0.64876559|0|0.7781502140000001|0.390449649|0.017064818|10.77573511|85.87072848|0.221849786|140.0890685|-0.038674741|-41.97990569|0.799403208|-1.895062322|-33.14358793|-24.42151771|2848.910641|491.3700419|2349.172094|7.385790169|13.93957316|0.887350282|6353.890039|126.6686716|-755.6383024|30.54968688|-378.1217671|1496.934657|9.686460958|1.0|0.0|1.0|4.66|0.0|17.0|-6.9|4.25|127.24|0.0|5.0|-5.39|30.0|5.0|-6.02|416.47|0.0|0.0|0.0|2.92|-5.01|0.00171|0.00405|3.97|0.0|1.26e-07|5.260000000000001e-05|-0.05076|5.1999|-1675.011418|669.57|355.67|238.43|0.27009|0.6854|0.1489|5.3143|-0.19876|0.0334036|-1674.83759|7983.0
14g_a23|0.0|1|1|0.0|-4.794439428|2|7.423568444|0|1.197957711|0.180361525|-0.014609495|5.351858133|-0.301504331|0.058422864|0.653317181|-0.803522236|10.3132174|-0.030586527|2|-0.0004039459999999|-0.2952674819999999|-0.648987099|2|-0.044895912|0.575188253|1|0.907334473|0.297855753|0.018341721|13.05300369|95.64648102|0.092665527|65.94601775|-0.041536002|-48.76552945|0.780315815|-2.118336119|-36.87984398|-29.55936307|3400.464046|645.7104105000001|2531.8503170000004|8.788027188|16.32997765|0.8582074559999999|8005.353973|156.3396622|-1072.841648|37.88128151|-398.9771038|1931.945357|14.63509796|0.0|1.0|1.0|3.61|3.79|26.0|-7.95|3.97|126.97|0.0|7.0|-6.89|35.0|8.0|-5.94|495.48|1.0|0.0|0.0|4.35|-6.0|6.38e-05|0.0004969999999999|4.76|0.0|1.12e-08|5.57e-06|-0.08011|3.7042|-2042.1835260000005|730.13|334.71|334.71|0.56658|0.56658|0.3478|7.2913|-0.23201|0.0221162|-2042.000034|8.0
7_a47|0.0|0|0|0.0|0.0|0|0.0|0|1.304326965|0.00763426|-0.008206422|0.0|-0.143650735|-0.128433676|1.303301032|-0.3939082339999999|10.93671034|-0.0781924059999999|0|-0.00794321|-0.04311702|-0.46105149|2|-0.124285418|0.671549194|1|0.8473227320000001|0.427432212|0.008915606|5.027768049|103.5602725|0.152677268|86.09912617|-0.036250645|-30.51603217|0.816979353|-1.631279045|-25.84337052|-20.44278719|2491.885862|477.8297898|1968.695833|6.485224033|10.90440708|0.681423344|5958.904826|103.2106353|-518.7725468|25.02240371|-357.5076454|1126.008167|7.36009799|1.0|1.0|2.0|2.96|3.14|22.0|-9.45|5.63|111.28|0.0|4.0|-6.47|28.0|4.0|-4.8|393.84|1.0|0.0|1.0|4.89|-6.06|0.000134|0.000345|5.49|0.0|3.52e-10|1.3900000000000001e-07|-0.05297|3.7203|-1647.996662|604.84|333.26|333.26|0.69314|0.69314|0.2144|3406.0|-0.2073699999999999|0.03348545|-1647.841533|7.6
16_a3|0.0|0|0|0.0|0.0|0|6.823286122000001|0|0.605020428|0.183636734|-0.010031024|4.727387819|-0.186717242|0.027762972|1.614080058|-0.371147877|10.31163046|-0.018884246|1|-0.008409607|0.008045619|-0.614173961|2|-0.031683873|0.640070307|1|0.6974791290000001|0.252612735|0.012203576|6.027544549|248.6415425|0.302520871|149.4199775|-0.041233465|-24.42909382|0.8296818009999999|-1.401937796|-26.57128935|-20.36587865|2184.788331|344.4962834|1290.305313|5.780331402000001|11.22152755|0.941329444|4733.033232|84.12292796|-342.00731349999995|24.54661368|-325.670405|834.5848652000001|7.107249553|1.0|1.0|1.0|3.13|2.59|21.0|-7.16|4.74|90.44|0.0|2.0|-4.98|23.0|4.0|-5.89|322.36|0.0|0.0|1.0|3.5|-4.49|0.0033799999999999|0.0104|3.35|0.0|6.97e-08|2.25e-05|-0.07095|3.2208|-1371.388717|520.28|384.94|384.94|0.6944100000000001|0.6944100000000001|0.3866|2.8688|-0.2029|0.02847445|-1371.297964|7.3768
8h_a8|0.0|0|0|2.975382653|0.0|1|7.05012252|0|1.3918396709999998|0.038482973|-0.010324979|4.844187086|-0.249095464|0.008138299|0.0|-0.485274006|10.94341368|0.007079485|1|-0.007036544|0.254819201|-0.53822084|0|0.010682683|0.56916135|0|0.602405134|0.273425421|0.0111998669999999|6.58499063|316.4918269|0.397594866|233.7669182|-0.048805507|-39.07081527|0.918315905|-2.147442322|-42.41801879|-28.69532281|2623.688756|354.18563860000006|2019.780061|7.453557203|13.58738632|0.822939833|5956.417906000001|48.02637252|-742.3454901|31.2477685|-491.8998117|1374.901814|4.492304417|0.0|0.0|2.0|3.11|2.73|23.0|-7.95|4.69|105.27|0.0|4.0|-5.21|29.0|4.0|-5.98|391.37|0.0|0.0|0.0|4.01|-5.0|0.0023899999999999|0.00395|3.82|0.0|1.13e-08|4.43e-06|-0.06344|4801.0|-1361.651799|608.39|332.16|258.25|0.56196|0.69844|272.0|3.4779|-0.21819|0.03330037|-1361.5113789999998|4.9359
9_a47|0.0|0|0|0.0|0.0|0|0.0|0|1.3818994059999998|0.00410268|-0.008501246|0.0|-0.1789147139999999|-0.043270202|1.323246814|-0.382556052|10.93671087|0.045804989|0|-0.007880155|-0.045757939|-0.4477815529999999|2|0.075092937|0.689770023|1|0.805149969|0.492394184|0.009540986|4.991260197|107.3271659|0.194850031|101.9336202|-0.036925422|-26.52703503|0.790651977|-1.550867715|-23.08946904|-19.3171225|2292.652212|421.2052248|1333.091472|5.653392499|10.93281031|0.93384951|5212.504394|109.5180831|-424.4325604|24.43189048|-304.1026787|1026.1394|8.262317504|1.0|1.0|2.0|2.87|2.78|22.0|-8.47|4.61|101.46|0.0|3.0|-5.37|26.0|4.0|-5.26|345.37|0.0|0.0|1.0|4.09|-5.2|0.00148|0.00218|4.43|0.0|3.4000000000000003e-09|1.17e-06|-0.05037|5.7429|-1149.090086|566.1|333.44|215.89|0.3885099999999999|0.69084|0.2208|2.2966|-0.20488|0.03463008|-1148.949486|7.6
14ad_a23|0.0|1|1|0.0|0.0|2|7.423568444|0|1.197962774|-0.1101542319999999|-0.00790478|5.351858133|-0.028065075|0.118047355|0.735584095|-0.4663820279999999|10.31321689|-0.031279567|2|0.009675528|-0.253318853|-0.376350719|2|-0.050707765|0.7317531540000001|1|0.887131635|0.224009311|0.033831691|24.18091285|52.63180108|0.112868365|80.67170209999999|-0.029653934|-43.85199724|0.575880959|-1.630966366|-30.226481300000003|-21.19489662|3209.330728|634.0697778|2339.533586|8.661363236|16.34071148|0.8866211979999999|7308.229822|303.1354708|-833.1879476|36.80430179|-108.4705382|2024.236598|23.84770234|0.0|1.0|1.0|3.73|3.49|26.0|-7.6|3.48|133.27|0.0|7.0|-5.8|34.0|6.0|-6.68|471.53|0.0|0.0|0.0|3.39|-5.08|0.000753|0.0038799999999999|3.52|0.0|2.49e-08|1.17e-05|-0.06925|3.3867|-1858.957788|747.83|366.09|366.09|0.6956600000000001|0.6956600000000001|0.4106|5.2331|-0.20659|0.01481488|-1858.733603|8.3595
17d_a50|0.0|1|1|0.0|0.0|2|8.105609402|2|1.338814635|-0.152030219|-0.002166617|6.042632834|0.03538699|0.006071856|2.234730384|-0.140830095|10.94500663|-0.125540541|2|0.01245647|-0.323333765|-0.2294807539999999|1|-0.2177003589999999|0.7276268779999999|1|0.929886823|0.8020670809999999|0.0152123589999999|10.55016861|5.007868064|0.070113177|48.62532158|-0.025589979|-33.56790124|0.75405703|-1.535398758|-21.24595322|-17.74731987|2824.70142|644.9008302|2950.99157|6.996105516|12.62170017|0.8041037459999999|6281.764548|170.5678813|-738.4938272999999|23.53577933|-352.3903892|1412.14676|9.139672835|0.0|1.0|0.0|4.07|3.68|20.0|-7.07|4.0|133.19|0.0|6.0|-4.5|32.0|4.0|-6.25|424.54|0.0|1.0|0.0|3.68|-4.88|0.0135|0.00557|3.72|0.0|8.55e-08|3.63e-05|-0.03251|4.0506|-1335.989008|727.15|306.09|306.09|0.66103|0.66103|0.1819|5.6557|-0.19967|0.02625058|-1335.713194|7.1308
6c_a31|0.0|0|0|3.423005244|0.0|0|7.78113851|1|0.6101347220000001|0.047405064|-0.015192833|5.733341277|-0.151732713|0.137523742|0.0|-0.790027307|10.31169965|-0.107687565|2|-0.00668344|-0.009333123|-0.582545668|0|-0.172780048|0.7905201209999999|0|0.641197273|0.138124296|0.03173578|20.09112958|163.6316745|0.358802727|227.1490414|-0.044739967|-50.62888027|0.7653239190000001|-2.147518413|-48.45681657|-28.32375523|2837.949799|405.9259734|2357.829685|8.102804662|14.63492011|0.8061548709999999|6283.091868|148.5675636|-860.6909647|37.00884624|-335.9398876|1776.424619|13.44788285|1.0|1.0|2.0|3.67|3.13|22.0|-7.72|5.58|114.5|0.0|5.0|-6.09|30.0|5.0|-6.27|418.47|0.0|0.0|1.0|3.64|-4.94|0.000343|0.0048|3.64|0.0|1.89e-08|7.9e-06|-0.0581799999999999|3.2974|-1691.984862|667.01|376.01|376.01|0.7014699999999999|0.7014699999999999|0.5028|5.9253|-0.19169|0.03620884|-1691.794585|6.4685
12ab_a36|0.0|0|0|3.458948649|0.0|0|7.412764017000001|2|1.297042596|-0.064515677|-0.007034881|5.351858133|0.000258844|0.035377607|0.0|-0.408023082|10.9540584|-0.029080933|1|0.002112069|-0.169341326|-0.4186639029999999|1|-0.051707317|0.8196353679999999|0|0.8410557559999999|0.452078227|0.024102201|16.62527454|116.6804416|0.158944244|109.6369437|-0.033434841|-45.21303385|0.679025324|-1.805481415|-37.68448987|-23.06276515|2902.39241|580.1454645|2390.849902|7.821826146|15.18764075|0.941700118|6314.697413|221.4026852|-859.0476432|33.96451406|-246.9770378|1834.083759|16.81984117|1.0|0.0|2.0|4.86|0.0|17.0|-7.05|3.14|133.27|0.0|6.0|-3.92|32.0|5.0|-7.21|420.47|0.0|0.0|0.0|1.8|-3.91|0.0503|0.0515|2.33|0.0|8.95e-08|3.76e-05|-0.0523799999999999|3.8845|-1364.509957|712.73|319.17|319.17|0.69294|0.69294|0.4451|3.6976|-0.2093699999999999|0.04167456|-1364.300531|7.9586
20_a47|0.0|1|1|0.0|0.0|1|6.86171134|0|1.408721455|0.055662511|-0.011237762|4.727387819|-0.161476442|0.031814023|1.010373001|-0.505699304|10.95058273|0.071506228|1|-0.006342241|-0.297094867|-0.5332051720000001|2|0.113432542|0.59534794|1|0.6888286020000001|0.213977589|0.023587109|12.85623208|43.63174229999999|0.311171398|169.6050003|-0.032859105|-27.33327788|0.595234209|-1.38008239|-24.89884887|-17.90996366|2630.63609|375.4483088|1219.306754|7.022502229|13.10815891|0.86659377|5896.060936|220.6189341|-409.9991682|30.08893541|-103.815441|1263.735287|18.94506718|0.0|1.0|2.0|3.19|2.96|21.0|-7.31|2.56|99.68|0.0|5.0|-4.06|28.0|6.0|-6.75|380.35|0.0|0.0|1.0|3.09|-4.08|0.0332|0.0316|2.63|0.0|4.89e-08|1.86e-05|-0.06357|3.9808|-1335.742176|557.84|311.45|311.45|0.68219|0.68219|0.2807|3.1747|-0.22734|0.03389691|-1335.620783|8.6
8_a27|0.0|0|0|2.599100867|0.0|1|6.605297921|0|1.406757715|0.188762686|-0.008444078|4.59511985|-0.077396262|-0.14212377|1.21499748|-0.329319041|10.93783465|0.067074515|1|0.004801929|-0.187486926|-0.535352745|2|0.11158995|0.64927069|1|0.776384028|0.3608031339999999|0.021852066|10.41179748|122.0597403|0.223615972|106.5457267|-0.035880862|-20.94612822|0.751701834|-1.291711016|-17.86879446|-17.09606174|2132.9321670000004|369.9216992|989.0070768|5.016799703|9.642697094|0.92208134|4522.989286999999|118.305988|-293.2457951|22.74314225|-239.8554499|818.753121|9.240677197|0.0|0.0|1.0|2.79|2.28|21.0|-6.28|2.98|87.68|0.0|2.0|-3.23|23.0|4.0|-6.73|303.32|0.0|1.0|1.0|2.38|-3.52|178.0|0.0907|2.0|0.0|5.2e-07|0.000158|-0.05015|4.1276|-1004.515654|507.76|300.38|300.38|0.64893|0.64893|0.2336|3.0415|-0.21973|0.02665292|-1004.432889|8.2218
13_a15|0.0|0|0|0.0|0.0|0|0.0|1|1.4356889940000002|-0.139434143|-0.006348913|0.0|-0.031457366|-0.006938727|0.0|-0.393632585|10.95980212|0.005149745|0|0.003766915|-0.272482143|-0.357554652|2|0.009456191|0.796300317|0|0.8854875790000001|0.708462114|0.016196467|10.21906987|142.67217639999998|0.114512421|72.25096855|-0.033811561|-39.03420883|0.755283433|-1.961070565|-27.279882500000003|-21.33321476|3028.485145|558.6934137000001|3581.589629|5.21465994|10.07307988|0.931684902|7196.400881999999|154.4025434|-780.6841766|28.24531009|-322.1392954|1638.227985|10.55004024|1.0|0.0|1.0|4.13|4.19|24.0|-8.9|4.33|138.24|0.0|6.0|-6.32|34.0|4.0|-5.26|448.52|1.0|0.0|0.0|4.61|-6.1|0.000214|0.000357|5.32|0.0|1.27e-09|5.7e-07|-0.03946|3942.0|-1450.756042|674.36|482.03|314.52|0.63827|0.70626|0.0003|3.5479|-0.15229|0.02844037|-1450.462642|8.2218
14e_a25|0.0|0|0|0.0|0.0|1|6.842683282|0|1.4200152069999998|0.039261746|-0.008591251|4.727387819|-0.138693649|0.0065927719999999|1.906869097|-0.524066339|10.93106299|0.011176663|1|-0.0005394919999999|0.025802692|-0.50909623|2|0.018432983|0.6954126970000001|1|0.7240504329999999|0.448918026|0.015024526|10.99497534|372.1805977|0.275949567|201.94039730000003|-0.038772226|-53.79722636|0.806446896|-2.2100168680000003|-54.14823405|-28.3735856|3126.080106|529.8614286999999|2620.6698690000003|8.459867391|16.63781964|0.966676175|6952.485076999999|141.642515|-1183.53898|35.18345194|-448.516796|2005.4567600000005|11.09035375|1.0|1.0|2.0|3.62|2.72|27.0|-9.14|3.65|134.35|0.0|7.0|-5.14|35.0|5.0|-6.96|462.5|0.0|0.0|0.0|3.02|-4.73|0.00337|0.0085799999999999|3.04|0.0|7.31e-10|3.38e-07|-0.0538|5.8431|-1521.012915|760.96|312.99|212.19|0.31019|0.69958|0.0007|5.3651|-0.2116699999999999|0.04875868|-1520.767443|7.1249
6a_a31|0.0|0|0|3.3855253210000003|0.0|0|7.703007682000001|1|0.610184884|0.038376178|-0.01694403|5.6869753560000005|-0.181987023|0.08881108|0.0|-0.779425376|10.31170939|-0.026103465|2|-0.010591881|0.001117583|-0.568500407|0|-0.0436046509999999|0.803505125|0|0.57216168|0.259133072|0.034212524|20.08876284|157.9971748|0.42783832|251.216265|-0.045153913|-43.59027182|0.6927462990000001|-1.896464366|-45.56491046|-26.51328079|2713.694431|335.9594356|1671.917893|7.516549303|14.408653400000002|0.916923952|5908.282843|180.411907|-653.8540772999999|38.27271371|-226.3518866|1607.453976|18.29245122|1.0|1.0|2.0|3.42|2.51|22.0|-6.96|4.68|104.73|0.0|4.0|-5.22|28.0|5.0|-6.69|390.42|0.0|0.0|1.0|2.96|-4.34|0.00238|0.0178|2.8|0.0|1.11e-07|4.3200000000000007e-05|-0.05563|3.5428|-1613.34153|607.79|349.96|349.96|0.70416|0.70416|0.6404|7.7514|-0.19843|0.04606915|-1613.198178|5.9586
12r_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|0.604984545|-0.015167821|-0.007553813|5.351858133|-0.093024002|-0.093079817|0.0|-0.400352091|10.31162892|-0.0646674999999999|1|-0.001131023|-0.145315868|-0.44083509|1|-0.105767484|0.591758164|0|0.72072745|0.451652492|0.019137908|12.36992712|90.4724548|0.27927255|180.5098625|-0.040404659|-45.9515743|0.790065337|-1.979828309|-37.69583567|-26.11584816|2976.944611|465.8474777|2433.580273|7.467190577999999|13.94386247|0.867350555|6735.090739|135.6928105|-827.1283373|33.05530181|-374.9717191|1619.709789|10.96881384|1.0|0.0|1.0|4.66|0.0|17.0|-7.16|4.67|127.19|0.0|5.0|-5.49|31.0|6.0|-6.06|434.46|0.0|0.0|0.0|3.21|-5.17|0.00141|0.00291|4.07|0.0|6.900000000000002e-08|3e-05|-0.05244|5067.0|-1774.236548|679.64|353.12|244.69|0.32409|0.68476|0.1522|5.2021|-0.20138|0.03388131|-1774.070699|7.5317
14_a15|0.0|0|0|0.0|0.0|0|0.0|0|1.43568901|-0.058775738|-0.006678826|0.0|-0.0455566929999999|-0.033982971|0.0|-0.374014235|10.9597359|-0.015736888|0|0.0034254209999999|-0.184255041|-0.3848940629999999|2|-0.028227917|0.7933685340000001|0|0.8870890459999999|0.7461324029999999|0.014672137|9.403293601|92.51564418|0.112910954|72.36402409|-0.032888795|-37.68282812|0.770309725|-1.743106111|-26.20964538|-21.0782518|2612.691478|568.5306056|2731.841165|6.040010666000001|10.18067005|0.685538423|5861.387612|147.2072638|-715.9737342999999|27.36334635|-346.4801021|1450.257357|9.797353271|1.0|1.0|1.0|3.56|3.72|24.0|-9.82|5.32|119.95|0.0|6.0|-6.22|30.0|4.0|-4.97|397.47|1.0|0.0|1.0|4.7|-5.83|0.0002379999999999|0.000584|5.29|0.0|1.51e-10|5.99e-08|-0.0338199999999999|4.4518|-1281.105795|689.8|342.41|278.5|0.65079|0.7055899999999999|0.0054|3.3596|-0.18379|0.03885834|-1280.87015|7.5229
3a_a12|0.0|0|0|0.0|0.0|0|0.0|1|1.28383802|0.13714555|-0.007671441|0.0|-0.042445446|-0.1231529169999999|0.0|-0.322200517|10.95455336|-0.0161799839999999|0|-0.001011111|-0.1213636769999999|-0.5274624179999999|1|-0.032466697|0.8847197109999999|0|0.871985494|0.241900756|0.009433302|4.615711776|71.11710277|0.128014506|62.63745781|-0.034924502|-21.73969523|0.781050096|-1.362055589|-17.05063286|-17.08854808|2045.857684|426.6622302|1050.730179|5.924949067000001|11.01449587|0.859002624|4230.717811|107.1321197|-326.0954285|21.87893986|-275.0354486|853.2786545|7.784386645|1.0|1.0|1.0|3.84|2.74|18.0|-7.5|3.43|97.52|0.0|3.0|-3.6|23.0|3.0|-5.88|298.34|0.0|1.0|1.0|2.98|-4.06|0.0745|0.0263|3.15|0.0|3.13e-08|9.33e-06|-0.06829|4.2336|-951.3711872|528.84|332.36|292.86|-0.34688|0.66895|128.0|1.3824|-0.22157|0.023184956|-951.264072|6.7122
12u_a36|0.0|0|0|3.508898495|0.0|0|7.412764017000001|2|1.270259304|-0.054501792|-0.006461999|5.351858133|-0.0407717229999999|0.033763276|0.0|-0.407105926|10.95266014|-0.010669561|1|0.005035022|-0.163978382|-0.438988314|1|-0.018047007|0.860667615|0|0.842227829|0.3765068079999999|0.017639065|12.27663887|86.1184622|0.157772171|109.8080843|-0.03452119|-46.98143813|0.77938748|-2.036750221|-35.17050511|-24.02645378|2831.106839|586.1833819|2455.7556010000003|7.65672775|14.90088936|0.946117173|6127.402572|153.5444314|-986.6102007|30.82735404|-388.9026034|1818.813889|10.55929252|1.0|1.0|2.0|5.05|0.0|17.0|-7.38|3.85|138.33|0.0|6.0|-4.95|32.0|4.0|-6.19|423.51|0.0|1.0|1.0|2.66|-4.86|0.0047799999999999|0.00589|3.8|0.0|4.2e-08|1.7800000000000002e-05|-53.0|3.8847|-1350.8981130000002|739.12|337.37|319.16|0.69258|0.70272|0.0176|5.8702|-0.20409|0.03260752|-1350.638138|7.7959
12p_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|0.604984421|0.038440292|-0.0063403159999999|5.351858133|-0.031328052|-0.062956958|0.0|-0.3550576729999999|10.31162861|-0.128484994|1|0.005965451|-0.09353607|-0.456474815|1|-0.2210072669999999|0.7991060659999999|0|0.843381594|0.371591982|0.015107947|9.659715461|75.21136863|0.156618406|100.1386407|-0.0364888379999999|-38.78387161|0.8199554720000001|-1.897419563|-30.39737673|-23.33022469|2783.628159|539.2411292|2326.5244390000003|7.392482526|13.94763694|0.886732486|6166.812731|115.116829|-775.6774321|28.4530386|-409.146112|1479.558007|8.3245726|1.0|0.0|1.0|4.76|0.0|17.0|-7.01|4.35|132.24|0.0|5.0|-5.66|30.0|4.0|-5.81|412.51|0.0|0.0|1.0|2.91|-5.15|0.0009119999999999|0.00291|4.23|0.0|9.75e-08|4.02e-05|-0.05169|5.1922|-1615.094336|685.08|354.69|238.79|0.33929|0.68561|0.1527|4.0456|-0.19992|0.03198743|-1614.890598|7.7721
11_a1|0.0|0|0|3.3361517380000003|0.0|0|7.423568444|1|1.430935838|0.033732316|-0.018080197|5.351858133|-0.196819043|0.08043435|0.0|-0.867849442|10.94957487|-0.044235537|1|-0.009578125|-0.117419838|-0.563650254|1|-0.075188762|0.7846345840000001|0|0.5955245029999999|0.2027328789999999|0.034974992|20.62225192|274.39137789999995|0.404475497|238.4902806|-0.048723884|-43.84323456|0.751878145|-2.143850877|-45.88191258|-28.7289904|2697.640232|351.1382199|1885.148133|7.43666407|14.2257294|0.912918113|5798.645137|146.29971719999998|-745.3349875|38.20963621|-297.0290662|1681.223993|15.44994131|1.0|1.0|2.0|3.25|2.31|23.0|-7.47|4.28|105.71|0.0|4.0|-5.07|29.0|6.0|-6.27|385.37|0.0|0.0|1.0|3.22|-4.66|0.00327|0.00838|3.35|0.0|3.35e-08|1.29e-05|-0.06546|3.7383|-1312.462371|614.86|388.38|331.66|0.68162|0.69914|0.3201|5.0526|-0.19462|0.03413353|-1312.2963630000002|6.7696
