molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|MATS7i|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|MATS8d|GATS1pe|nFaHRing|RASA|PBF|FPSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|TASA|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
15a_a22|0.0|0|0|0.0|0.0|1|6.842683282|0|1.4229176680000002|-0.136588366|-0.0050042229999999|4.727387819|-0.052476637|0.021482585|1.614660505|-0.280236463|10.9464374|-0.015194063|1|0.005757758|-0.165471815|-0.360663314|2|-0.027029438|0.655865336|1|0.86664032|0.410151945|0.02126757|14.43653926|96.58317516|0.13335968|90.52525878|-0.031425179|-37.6479704|0.702735071|-1.634109304|-28.45564196|-21.33157831|2884.815511|588.2800507999999|2169.226845|8.157552588|14.6895113|0.800725296|6322.278103000001|201.7850124|-752.9594081|30.3550786|-275.2352849|1578.4640869999998|14.66318798|1.0|1.0|1.0|3.42|2.86|27.0|-9.21|3.87|124.05|0.0|6.0|-4.65|32.0|5.0|-6.61|420.47|0.0|0.0|1.0|3.19|-4.68|0.00945|0.00881|3.18|0.0|6.1e-10|2.56e-07|-0.0600399999999999|5.0577|-1368.35331|696.57|339.72|245.14|0.41078|0.69076|0.0955|5.2588|-0.21285|0.03153544|-1368.1368730000002|6.8447
19i_a38|0.0|0|0|3.169368622|0.0|0|7.412764017000001|2|1.297043925|-0.125335237|-0.008447598|5.351858133|-0.115864198|0.08414367|0.0|-0.4561702689999999|10.96052467|-0.053762162|1|-0.004358975|-0.250781298|-0.430016467|1|-0.087904124|0.632625562|0|0.747158407|0.4748744179999999|0.022576308|13.83587388|137.7658863|0.252841593|154.953787|-0.040770109|-42.53502816|0.7419238420000001|-2.038505453|-31.35232957|-24.98593175|2896.470706|457.89548719999993|2335.0953870000003|6.690507557999999|12.04523072|0.800346329|6744.7785650000005|158.161786|-765.6305068|33.67721904|-296.5257022|1683.860952|13.5801364|1.0|1.0|3.0|4.8|2.88|17.0|-7.12|3.55|125.65|0.0|5.0|-4.25|31.0|5.0|-6.81|419.43|0.0|0.0|1.0|3.04|-4.33|0.0238|0.0196|2.88|0.0|7.599999999999999e-08|3.19e-05|-0.0564799999999999|5.7041|-1431.415351|641.31|343.17|217.36|0.4342|0.69267|0.1886|6.6636|-0.2052|0.03110827|-1431.239177|7.9031
10_a15|0.0|0|0|0.0|0.0|0|0.0|0|1.4356889780000002|-0.137104477|-0.006872984|0.0|-0.0435725659999999|-0.0869138469999999|0.0|-0.384887119|10.95972828|0.010152859|0|0.0034254209999999|-0.184255041|-0.391156537|2|0.018211609|0.7933685340000001|0|0.933136945|0.640780603|0.010485777|6.101312009|6.497096666|0.066863055|38.90530741|-0.036384844|-34.36276159|0.8301726490000001|-1.928396745|-17.88541558|-21.17108692|2605.82709|542.9602292000001|2305.991259|5.555044294|10.08767698|0.815948972|6204.37804|98.81668286|-652.8924702|25.50202895|-384.2321709|1351.607534|6.751174337|1.0|1.0|1.0|3.58|3.64|24.0|-9.82|5.32|119.95|0.0|6.0|-6.22|30.0|4.0|-4.97|397.47|1.0|0.0|1.0|4.69|-5.83|0.0002379999999999|0.000584|5.29|0.0|1.51e-10|5.99e-08|-0.03581|4.4682|-1281.088565|631.2|340.17|277.48|0.66799|0.70313|0.0042|1.6654|-0.18958|0.02738146|-1280.862627|8.1549
11_a27|0.0|0|0|2.680511093|0.0|0|7.535296702|1|1.1606177359999998|0.100091619|-0.0067474069999999|5.4161004020000005|-0.003527607|-0.080272515|1.3706083080000002|-0.344117757|10.93910312|-0.027287578|0|0.005111147|-0.067428705|-0.488734846|2|-0.043616687|0.7146215429999999|1|0.7645505|0.349764196|0.016171515|8.553922917000001|143.3238715|0.2354494999999999|124.5410133|-0.034296948|-26.52978026|0.8088958709999999|-1.611956546|-22.36099135|-18.14137056|2339.465471|404.4089873|1646.903525|5.231762955|9.562117063|0.82770457|5186.240841|101.0845293|-451.0062644|22.42732497|-326.780942|1054.084273|6.714661907000001|1.0|0.0|1.0|3.95|0.0|16.0|-6.09|2.72|106.33|0.0|2.0|-3.68|26.0|4.0|-6.47|345.4|0.0|1.0|0.0|2.04|-4.02|0.0716|0.0326|2.73|0.0|8.2e-07|0.000283|-0.05985|3.3426|-1122.456105|571.4|499.21|370.92|0.6125|0.59222|0.0793|3.1278|-0.16205|0.0226944|-1122.242519|8301.0
12k_a36|0.0|0|0|3.483171769|0.0|0|7.412764017000001|2|1.297043952|-0.076124222|-0.0071232019999999|5.351858133|-0.063399056|0.096315593|0.0|-0.413145744|10.94908765|-0.058284869|1|0.003724542|-0.1619981409999999|-0.4373676689999999|1|-0.102077284|0.856135378|0|0.8427704640000001|0.367754573|0.018067063|11.90012613|46.79001927|0.157229536|103.5614526|-0.037758075|-44.22843899|0.7806817009999999|-2.038936068|-32.84907515|-24.86988906|2792.202559|555.1026569|2294.707886|7.241602627000001|13.89698356|0.919048073|6027.033337|144.457092|-884.5687799000001|31.85663123|-369.7499256|1720.258086|11.0965905|1.0|0.0|2.0|4.89|0.0|17.0|-7.01|3.62|133.84|0.0|6.0|-4.58|31.0|4.0|-6.34|407.47|0.0|1.0|0.0|2.37|-4.55|0.0106|0.0115|3.45|0.0|9.66e-08|3.94e-05|-0.0497|5053.0|-1310.3453949999998|697.92|338.46|245.37|0.5249199999999999|0.70031|0.0908|5.7818|-0.20023|0.03274587|-1310.134752|7.8539
19c_a38|0.0|0|0|3.332128134|0.0|0|7.412764017000001|2|1.297043851|-0.085545751|-0.008177185|5.351858133|-0.04575843|0.02192428|0.0|-0.449745181|10.95429182|-0.0431896509999999|1|-0.002443797|-0.20848518|-0.434836855|1|-0.071918235|0.6885713729999999|0|0.7591916240000001|0.396635872|0.024315945|15.30924906|139.1570837|0.240808376|151.612258|-0.038224114|-42.92996714|0.7187071909999999|-1.949429829|-36.38913762|-24.06579196|2967.98627|477.9848537|2660.812979|6.97753104|13.36189552|0.914989047|6618.350708|177.10114030000005|-772.7394084|33.48483537|-275.39483110000003|1707.726604|14.55670345|1.0|1.0|3.0|4.84|3.0|17.0|-6.92|3.17|130.41|0.0|5.0|-4.35|32.0|5.0|-7.13|426.45|0.0|0.0|0.0|2.57|-4.12|19.0|0.0322|2.5|0.0|1.2099999999999998e-07|5.14e-05|-0.05691|5.8832|-1424.42734|652.09|323.53|210.74|0.2597|0.6279899999999999|0.1417|2495.0|-0.21303|0.03740877|-1424.247603|8.0348
47i_a18|0.0|0|0|0.0|0.0|0|7.03438793|1|1.251177255|0.053794607|-0.006882626|4.844187086|-0.066917145|-0.037689885|0.0|-0.440488042|10.94702091|-0.040514277|0|0.000427479|-0.162274487|-0.499939719|0|-0.068524374|0.727767462|0|0.8030751740000001|0.279553995|0.009745543|6.787641686000001|72.81110823|0.196924826|137.1555392|-0.035256027|-43.46880696|0.8608685909999999|-2.150617629|-37.84973202|-24.55535669|2795.907966|559.3312455|1333.332089|9.573882864|18.67881257|0.951017454|6353.6617320000005|96.90318745|-1043.251367|28.52393145|-502.6804099|1739.959818|6.542785417999999|1.0|1.0|3.0|4.05|0.0|18.0|-8.98|3.28|134.83|0.0|8.0|-5.18|33.0|3.0|-6.36|440.54|0.0|0.0|1.0|2.5|-4.78|0.0029|0.00735|3.7|0.0|1.04e-09|4.6e-07|-0.05062|3.2321|-1416.260696|744.95|383.61|383.61|0.69175|0.69175|0.5085|2.7749|-0.18299|0.02671774|-1415.944522|7.7212
9g_a24|0.0|0|0|2.931798469|0.0|1|7.273092596000001|0|1.427608366|-0.318471716|-0.00106361|5.283203728999999|0.001126633|-0.162313932|0.0|-0.0425444|10.96318169|-0.02471184|2|0.013119312|-0.049325609|-0.079421802|2|-0.045107345|0.657503038|0|0.8671367529999999|0.383340003|0.01876163|9.283063574|174.88817269999998|0.132863247|65.73938109|-0.021297745|-16.07665151|0.4819264479999999|-0.788016565|-15.87288497|-10.53790724|2123.257348|429.0504306|1196.910121|6.124370267000001|10.69818114|0.746821416|4355.725609|256.3375151|-192.9198181|21.8662148|17.88521849|809.0499476|16.76589519|0.0|1.0|1.0|2.8|1.78|22.0|-6.43|2.91|87.53|0.0|3.0|-2.49|23.0|4.0|-7.17|302.33|0.0|1.0|0.0|1.93|-3.09|977.0|247.0|1.37|0.0|3.720000000000001e-07|0.000113|-0.03585|5.2521|-984.5891383|524.03|289.67|236.07|0.4227399999999999|0.64993|0.1023|2.9691|-0.21391|0.032630457|-984.497752|7.1675
14q_a23|0.0|1|1|0.0|0.0|2|7.423568444|0|1.19796338|0.141057047|-0.0101981219999999|5.351858133|-0.130330047|0.064903564|0.720966302|-0.5608967029999999|10.31321757|-0.056324491|2|0.002496501|-0.033435987|-0.573130981|2|-0.089657283|0.7333675390000001|1|0.773194598|0.227948491|0.02158178|14.81701129|350.836102|0.226805402|155.7136729|-0.039682061|-45.42467289|0.777340899|-2.023785094|-42.23665548|-27.24379301|3097.399651|530.8381985000001|2213.1193780000003|8.732265278|16.53853737|0.893957277|6982.066379000001|152.86702240000002|-953.9181308|35.04742005|-380.8178266000001|1787.418422|13.26616596|0.0|0.0|2.0|3.52|2.66|26.0|-6.96|2.57|128.38|1.0|6.0|-5.21|33.0|5.0|-7.33|454.51|1.0|0.0|0.0|2.62|-4.39|0.00278|0.0183|2.46|0.0|1.11e-07|5.03e-05|-0.08159|3.6431|-1798.645459|714.22|340.33|340.33|0.5949|0.5949|0.4943|8375.0|-0.23013|0.03458552|-1798.433122|7.8069
8a_a31|0.0|0|0|3.28085223|0.0|0|7.765993078999999|1|0.610138387|-0.039027368|-0.015034136|5.733341277|-0.158899731|-0.1480271209999999|0.0|-0.586331322|10.31170053|-0.01861065|2|-0.009293513|-0.094359203|-0.520051508|0|-0.030149254|0.883113019|0|0.594139864|0.272259026|0.0375544779999999|18.56711239|131.2406629|0.405860136|200.6591816|-0.0416959379999999|-33.35560699|0.666437359|-1.501053781|-29.89286568|-20.61467025|2128.209198|293.7455749|1443.955093|5.83708559|10.63792161|0.822471411|4538.505909|164.9149565|-366.9116769|30.93264504|-164.57484340000002|1113.575221|14.85788369|0.0|1.0|2.0|3.34|2.05|16.0|-5.33|4.16|83.83|0.0|3.0|-3.57|22.0|5.0|-7.11|314.36|0.0|0.0|1.0|2.13|-3.11|0.0846|243.0|1.56|0.0|4.62e-06|0.00145|-0.02993|3.8097|-1347.541429|538.75|325.45|325.45|0.7027100000000001|0.7027100000000001|0.2604|3.7141|-0.18869|0.03432763|-1347.446223|6.1024
