molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SRW07|AATSC1s|JGI4|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|PNSA4|DPSA3|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|P-gp substrate|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
12c_a5|0.0|1|0|0|2.977832018|0.0|0|6.605297921|1|1|4.59511985|0.020594766|0.0252713179999999|-0.16115723|0.0054189009999999|-0.096073591|10.9455378|0.0072946769999999|1|1|0.00586291|-0.1386392109999999|-0.01261147|0.014673577|0.782051277|0|0.841092921|-0.070873852|0.450827114|-46.62294305|-43.47195613|10.77147171|143.44655559999998|0.158907079|104.5338363|-0.022421317|-28.59715492|7.085796743|-14.74941369|57.39441476|-825.9671665|2045.184304|7.293547043999999|13.53008071|0.855075538|5877.765289|273.9296719|-543.3459436|0.024214085|-109.9706106|1415.330929|735.3048881|1.0|1.0|2.78|0.24|23.0|-9.31|75.72|1.57|0.0|121.26|0.0|1.0|6.0|-4.09|31.0|5.0|-6.79|411.5|0.0|0.0|4.64e-05|2.84|4.93e-10|2.03e-07|-0.04565|4.6671|2.06|694.24|1200.02|309.06|0.1513|265.66|519.21|0.52074|-1316.244961|-0.16563|3.0135|-0.21128|0.02242648|-1316.305277|3.5993|47.0|7.3279
7h_a8|0.0|1|0|0|2.99743835|0.0|1|7.05012252|0|0|4.844187086|-0.073219554|0.04737037|-0.23505152|0.00112124|-0.0873792009999999|10.94341365|0.0260356679999999|1|1|0.00084936|-0.043606497|0.052081992|0.041366689|0.507325475|0|0.771011027|-0.093181899|0.314190914|-53.71230941|-53.88211443|6.71377223|70.28953528|0.228988973|131.9948047|-0.041038456|-31.05895923|3.86998135|-23.65556243|60.42608164|-969.8780597|1919.19991|7.589672923999999|13.42380338|0.768693264|5657.402114|61.77519141|-559.0612661|0.00878112|-452.8739011|1086.29603|446.5544107|0.0|0.0|3.2|0.0|23.0|-8.46|61.58|4.27|0.0|101.89|0.0|1.0|3.0|-5.68|28.0|4.0|-5.27|373.35|0.0|1.0|3.16e-06|4.66|3.5e-09|1.31e-06|-0.06799|3.9282|6.81|593.53|999.62|315.62|0.3885|315.62|500.94|0.6963199999999999|-1285.017252|-0.16076|7.0847|-0.22875|0.03092828|-1285.0707960000002|9.1188|10.5|4.9788
21_a34|0.0|0|0|0|0.0|0.0|1|8.002694162000001|2|2|5.860786223|-0.091664226|0.036880342|-0.7020096440000001|-0.001643445|-0.004734657|10.94874873|-0.009996155|1|1|0.00130996|-0.201539853|-0.254686357|-0.015568862|0.660871869|0|0.676390843|-0.09533089|0.527371706|-63.96857813|-79.03896823|22.9240533|168.9671187|0.323609157|217.1470086|-0.041572921|-53.03643341|15.38241267|-27.89610644|86.89263143|-1422.701428|2429.6035|7.253455092999999|13.65523159|0.882583047|7048.305909000001|182.341897|-954.6558014|0.023973624|-306.332473|1953.562249|659.7484451|0.0|1.0|3.52|0.12|23.0|-7.68|86.55|1.72|1.0|122.59|0.0|1.0|4.0|-4.5|33.0|6.0|-6.83|438.43|0.0|0.0|1.94e-05|3.02|2.07e-08|9.06e-06|-0.07534|4.3011|7.78|698.17|1182.6|401.11|0.2174|288.26|530.93|0.6893199999999999|-1483.057743|-0.13338|5.3432|-0.20872|0.03023936|-1483.12009|7.9399|3.36|5.4737
13_a1|0.0|1|0|0|3.409865599|0.0|0|7.423568444|1|1|5.351858133|-0.144782061|0.036382114|-0.597786194|-0.008672236|-0.0594321759999999|10.94989555|-0.084271845|1|1|-0.005924486|0.1769162319999999|-0.07665159|-0.150485437|0.833702788|0|0.6794604670000001|-0.111667908|0.207843387|-64.94184903|-62.04288975|19.62059449|148.7311076|0.320539533|186.4137189|-0.040302516|-36.08180773|11.41059871|-23.43842502|84.56244352|-1054.729126|1786.445642|7.493979856|14.33466671|0.912824292|5456.353212|169.6632599|-613.3907313999999|0.026679865|-242.2358135|1489.177255|505.2124255|1.0|1.0|2.83|0.09|23.0|-7.94|80.26|1.74|0.0|104.88|0.0|1.0|4.0|-4.29|28.0|5.0|-6.48|371.39|0.0|1.0|4.58e-05|2.94|1.14e-08|4.24e-06|-0.04962|4.0783|3.17|613.52|1035.04|359.55|0.5339|304.01|472.52|0.65363|-1238.174491|-0.13921|2.7595|-0.18883|0.0284695999999999|-1238.22919|3.9446|0.26|6585.0
14n_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|0|0|5.351858133|-0.027380305|0.045165485|-0.376950283|0.010561248|-0.049694913|10.3132176|-0.059870135|2|2|0.010508236|0.144230149|-0.110069159|-0.099694124|0.71381683|1|0.89327435|-0.058928845|0.209387766|-39.82324087|-55.70499288|18.26553926|97.93357279|0.10672565|72.12361433|-0.032325501|-37.64460956|12.34358104|-21.84509525|58.08878013|-1114.099858|2195.877777|8.662092555|16.33144958|0.885393105|6740.54932|211.642042|-752.8921912999999|0.0242495529999999|-252.5011125|1622.112023|683.7405759|0.0|1.0|3.66|0.09|26.0|-7.51|114.25|2.72|1.0|126.78|0.0|1.0|6.0|-5.63|32.0|5.0|-6.47|441.51|0.0|0.0|9.57e-06|3.55|3.11e-08|1.3699999999999998e-05|-0.06951|3.4217|3.23|710.48|1209.95|362.35|0.4229|362.35|575.71|0.6955|-1744.1828670000002|-0.1382|5.2196|-0.2077099999999999|0.02300614|-1744.244532|7.2975|1.0|9.2441
12h_a36|0.0|1|0|0|3.468184524|0.0|0|7.412764017000001|2|2|5.351858133|-0.041228471|0.039061728|-0.503153567|0.00127667|-0.003014954|10.96020037|-0.051080247|1|1|0.003077071|0.100530266|-0.1430106119999999|-0.089459459|0.84179881|0|0.819614525|-0.073572836|0.3726296|-48.17643878|-70.19826261|18.27258858|82.11195464|0.180385475|118.1187282|-0.035734517|-45.96672487|11.96512593|-23.39942087|66.44902736|-1263.568727|2391.856014|7.428908584|13.87400978|0.8675704009999999|6159.17335|219.1956304|-827.4010477|0.026971557|-216.42159590000003|1899.376328|679.7230552999999|0.0|1.0|0.0|0.17|17.0|-6.69|78.43|1.72|0.0|130.24|0.0|1.0|6.0|-3.95|31.0|5.0|-6.93|411.46|0.0|0.0|8.499999999999999e-05|2.65|2.03e-07|8.340000000000001e-05|-0.05013|5.1998|2.92|697.29|1177.89|358.81|0.5756|238.44|535.67|0.34589|-1347.199963|-0.14247|6754.0|-0.1926|0.02925492|-1347.260478|8.7377|14.0|7.8539
12c_a31|0.0|1|0|0|3.387641566|0.0|0|7.765993078999999|1|1|5.733341277|-0.055520387|0.040982906|-0.690412101|-0.003618466|-0.094991098|10.311698300000002|-0.056866055|2|2|-0.000813398|-0.048694677|-0.138799714|-0.098452311|0.770283733|0|0.665463503|-0.104643824|0.343619017|-66.41224264|-82.33748068|19.38414321|153.400467|0.334536497|212.313715|-0.036326291|-52.25551342|12.30215386|-23.05449459|85.79638585|-1152.7247289999998|1894.297124|8.091269314|14.67172662|0.813278739|5676.394271|202.0036947|-731.5771879|0.023556702|-230.6429907|1690.934456|583.9691392000001|1.0|1.0|3.1|0.35|16.0|-7.24|117.37|1.08|0.0|108.16|0.0|1.0|8.0|-5.23|28.0|5.0|-6.53|398.48|0.0|1.0|6.94e-05|3.1|5.79e-08|2.31e-05|-0.0338399999999999|3.8328|4.6|679.71|1138.89|323.48|0.2625|323.48|578.69|0.7007399999999999|-1617.888981|-0.15904|1.6786|-0.19288|0.04023903|-1617.951882|2.2908|0.38|6.4202
4l_a46|0.0|0|0|0|0.0|0.171853072|1|7.825245291|1|1|5.587248657999999|-0.075241716|0.049498645|-0.255755434|0.0066560469999999|-0.060895366|10.94631401|-0.161358058|1|1|0.006162668|-0.1012114369999999|0.0071939419999999|-0.229089688|0.7936534740000001|0|0.892158627|-0.09094885|0.291762764|-51.45056667|-48.19533497|3.721888783|177.7681018|0.107841373|61.00681586|-0.030068681|-27.26452605|2.10550531|-17.01011822|55.17245545|-867.5160294|2087.583804|5.80829255|9.833034117|0.692930243|4865.794981|65.93290984|-490.7614689|0.006130523|-433.8429998|981.9630347|579.2365607|1.0|1.0|3.19|0.36|17.0|-7.0|50.94|3.06|0.0|105.77|0.0|1.0|3.0|-5.28|26.0|3.0|-5.23|347.45|0.0|1.0|7.78e-06|4.49|9.980000000000001e-08|3.47e-05|-0.01784|5.4011|4.99|612.39|1057.06|278.36|0.2504|229.55|526.77|0.3756|-1092.484863|-0.18567|2.6588|-0.20351|0.03506136|-1092.53932|3.7624|98.0|7.0088
12bh_a36|0.0|1|0|0|3.50075137|0.0|0|7.412764017000001|2|2|5.351858133|-0.047482048|0.044197531|-0.401249012|0.003676818|0.075747971|10.94728093|-0.035747988|1|1|0.0045625|0.0016901289999999|-0.101854847|-0.0591586759999999|0.857993338|0|0.833491953|-0.070687668|0.317612728|-47.04367494|-66.28126709|11.73109101|83.08294358|0.166508047|110.81353529999998|-0.035569289|-44.11115058|7.807212275|-23.6718811|58.77476595|-1325.625342|2437.805332|7.545637217999999|14.56834609|0.930697921|5957.443236|144.22085800000002|-882.2230117|0.015307571|-377.0728785|1692.3721690000002|729.1873176|0.0|1.0|0.0|0.21|17.0|-7.34|69.2|2.45|0.0|133.68|0.0|1.0|5.0|-4.54|31.0|4.0|-6.38|409.49|0.0|1.0|2.5e-05|3.41|4.55e-08|1.86e-05|-0.0525299999999999|3.8811|3.79|715.94|1208.61|341.97|0.4386|319.46|575.23|0.69377|-1311.293683|-0.14915|5.8338|-0.20168|0.03071385|-1311.356102|7.7975|14.0|7.8539
13a_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|2|5.351858133|-0.118776867|0.042560386|-0.627166322|-0.003436924|0.0317047379999999|10.31162842|-0.0351777|1|1|-0.002215642|-0.065043716|0.003429114|-0.058608635|0.802578397|0|0.6963945559999999|-0.109682335|0.478381813|-74.02777574|-76.60916637|12.53013554|381.9643801|0.303605444|204.9120824|-0.042832838|-51.70573895|8.456950359|-28.90911938|86.55791128|-1532.183327|2520.165025|8.066980235|15.1104742|0.873126469|6675.344631|135.07860209999998|-1034.114779|0.017212819|-404.771677|1915.558478|713.7769663|0.0|1.0|0.0|0.13|17.0|-6.19|124.74|2.06|0.0|135.37|0.0|1.0|6.0|-5.01|32.0|5.0|-7.05|441.51|0.0|0.0|5e-05|2.74|6.520000000000001e-07|0.000288|-0.0555|5.0535|4.54|721.66|1211.54|351.35|0.1788|245.34|541.59|0.26119|-1744.217986|-0.14953|0.7158|-0.20503|0.04590378|-1744.281248|1.4855|14.0|7.8665
