molecula|SddssS|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|BIC2|MATS8s|MATS8d|SIC2|RASA|PBF|FPSA3|PNSA5|RPSA|TPSA_x|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|DPSA4|FPSA5|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
1l_a5|0.0|0|2.964063799|0.0|0|6.605297921|0|0|0.0|4.59511985|-0.0052651969999999|2|0.025672515|-0.111303801|0.0|-0.019865028|-0.05139414|1|1|0.007613233|0.0271820189999999|0.043915678|0.7656671279999999|-0.174469948|-0.091849662|0.818803517|0.890289002|0.357062421|0.0078543119999999|-38.27406105|0.109710998|61.974288|2.506287665|0.0|0.769406114|-1.219595099|-21.91725365|45.64819758|0.47265823|502.9124512|-688.9330988|903.1631908|0.230593886|7.401206343999999|14.03493287|0.896303416|19.46541135|0.013054186|7.374136537999999|1.0|0.0|1.0|1.0|1.0|2.98|0.14|23.0|5.56|54.46|1.0|0.0|1.0|26.0|-5.4|340.42|0.0|1.0|4.06|-4.98|0.00308|1.04e-05|0.00356|0.0|0.0|1.4800000000000003e-09|-0.04149|4.3664|-1069.229786|267.19|486.81|0.57392|-1069.047151|-0.1779|2.1987|-0.21939|0.03182983|-1069.101032|32.0|7.4949|7.4949
12d_a30|0.0|0|0.0|0.0|0|7.412764017000001|2|2|0.0|5.351858133|-0.033312179|2|0.042804233|-0.092984185|0.0|0.036688757|-0.075816941|1|1|0.005965451|-0.053644471|-0.09353607|0.8017873000000001|-0.0430927579999999|-0.130412856|0.8532172109999999|0.843009925|0.366319099|0.015567102|-60.88281322|0.156990075|101.4221952|6.497247279|0.0|0.8143892140000001|-1.884794029|-30.81433963|69.55534551|0.4572733479999999|544.6198897999999|-1217.656264|2323.480646|0.185610786|7.557073995|13.92427286|0.84254817|28.75340957|0.013424098|8.672532296|0.0|1.0|1.0|0.0|1.0|4.75|0.17|17.0|4.35|81.65|2.0|0.0|1.0|30.0|-5.81|412.51|0.0|0.0|2.91|-5.15|0.0009119999999999|7.05e-06|0.00291|0.0|0.0|9.75e-08|-0.05119|3.4821|-1615.063947|356.06|545.94|0.68608|-1614.831682|-0.1479099999999999|4434.0|-0.1991|0.03187624|-1614.894406|11.0|7.9508|7.9508
6d_a40|0.0|0|0.0|0.0|1|8.421342866|1|2|1.695192271|6.401917197|-0.091548968|0|0.039160494|-0.104206961|0.683786612|0.086704068|-0.205140551|2|2|-0.00448098|-0.025143559|-0.0603134|0.8361555479999999|-0.039077432|-0.289988439|0.8988141140000001|0.663670372|0.372705643|0.017359149|-76.51205671|0.336329628|215.22657540000003|7.108696385|38.04267542|0.86005241|-2.15214542|-47.09642482|85.47607798|0.428134701|424.7009165|-1377.2170210000002|3212.360755|0.13994759|6.908972922999999|12.08146906|0.7486635420000001|37.23994308|0.01400787|8.964021265|0.0|1.0|0.0|1.0|1.0|3.98|0.21|14.0|4.8|173.43|2.0|2.0|2.0|30.0|-6.36|460.52|1.0|0.0|3.43|-5.15|2.85e-05|7.1e-06|0.00327|1.0|0.0|4.9e-05|-0.09462|2.9559|-2470.793925|419.45|511.88|0.6624800000000001|-2470.62267|-0.11938|7.8884|-214.0|0.03556489|-2470.684323|1.0|8.9208|8.9208
13e_a6|0.0|0|3.433539068|0.0|0|6.842683282|0|0|0.0|4.727387819|-0.008507023|2|0.044021739|0.018376555|1.643912856|0.0266218529999999|-0.037793156|1|1|-0.001446486|-0.126749697|-0.223618825|0.765593573|0.102257199|-0.067328767|0.827254552|0.861676601|0.175643236|0.0183790889999999|-62.36320497|0.138323399|92.4587065|8.211609879|0.0|0.722530518|-1.679379203|-33.17101912|75.42629799|0.4442079679999999|575.965487|-1122.537689|3457.565879|0.277469482|7.973429837999999|14.346067199999998|0.799234143|30.46313253|0.019543118|13.06309302|1.0|1.0|1.0|1.0|2.0|3.51|0.08|27.0|5.01|103.17|1.0|0.0|0.0|32.0|-6.52|417.47|0.0|0.0|3.31|-4.78|0.00323|1.65e-05|0.00688|0.0|0.0|6.59e-11|-0.07534|3.2475|-1347.25954|207.04|567.24|0.7034199999999999|-1347.014564|-0.1327|10.1884|-0.20804|0.03809808|-1347.074898|12.0|7.9208|7.9208
17b_a25|0.0|0|0.0|0.0|1|6.842683282|0|0|1.785120622|4.727387819|-0.002108117|2|0.042843137|-0.026412432|1.968416259|-0.100018134|0.016982601|1|1|0.005244553|-0.044156525|-0.073994564|0.780221059|0.068812225|0.029728702|0.838260077|0.882170399|0.410780725|0.015879547|-60.19950116|0.1178296009999999|89.34443096|9.129863339|87.61586206|0.724866184|-1.6672437880000002|-39.21569422|73.52844745|0.476276266|668.9067217|-1264.189524|2514.295488|0.275133816|9.700133933|18.52147096|0.909403632|30.59704545|0.0175785369999999|13.32894629|1.0|1.0|1.0|1.0|1.0|3.56|0.11|27.0|4.88|96.49|2.0|0.0|0.0|35.0|-6.53|458.51|0.0|0.0|3.78|-5.07|0.00218|8.59e-06|0.00394|0.0|0.0|9.08e-11|-0.05531|3961.0|-1483.830524|228.6|654.18|0.6594800000000001|-1483.563965|-0.16408|3.5074|-0.21939|0.04272963|-1483.630939|101.0|6.9957|6.9957
10_a15|0.0|0|0.0|0.0|0|0.0|0|0|0.0|0.0|-0.0435725659999999|2|0.037209302|-0.0869138469999999|0.0|-0.077096984|0.010152859|0|0|0.0034254209999999|-0.120626133|-0.184255041|0.713794823|0.0107135269999999|0.018211609|0.7585998270000001|0.933136945|0.640780603|0.010485777|-59.05618983|0.066863055|38.90530741|3.550143186|0.0|0.8301726490000001|-1.928396745|-17.88541558|65.80736417|0.449323734|542.9602292000001|-1122.067607|2305.991259|0.169827351|5.555044294|10.08767698|0.815948972|25.50202895|0.0116026369999999|6.751174337|1.0|1.0|1.0|1.0|1.0|3.58|0.12|24.0|5.32|56.27|2.0|0.0|1.0|30.0|-4.97|397.47|1.0|0.0|4.69|-5.83|0.0002379999999999|1.47e-06|0.000584|0.0|0.0|1.51e-10|-0.03581|3.6448|-1281.061184|277.48|487.16|0.70313|-1280.804272|-0.15377|1.6654|-0.18958|0.02738146|-1280.862627|7.0|8.1549|8.1549
14z_a23|0.0|1|0.0|0.0|2|7.423568444|0|0|3.305974434|5.351858133|-0.024897956|2|0.04314059|0.038811869|0.729326158|-0.0438568409999999|-0.0229244|2|2|0.007229683|-0.069023218|-0.125978901|0.802520527|0.10796308|-0.035965909|0.8668730109999999|0.925301102|0.228957475|0.018337664|-55.54823244|0.074698898|52.02674091|8.895469235|79.960755|0.785604449|-1.595099623|-28.25118461|66.77741935|0.474697407|644.4593172|-1110.964649|2692.627452|0.214395551|7.834464959|14.91419434|0.903664694|30.08835522|0.01612263|11.22918692|0.0|1.0|0.0|1.0|1.0|3.42|0.05|26.0|4.64|105.02|2.0|1.0|1.0|32.0|-5.8|480.37|0.0|0.0|4.49|-6.13|8.18e-05|7.37e-07|0.000354|0.0|0.0|2.6899999999999996e-09|-0.08503|3.6632|-2549.0953670000004|307.5|586.28|0.69913|-2548.895003|-0.15195|5.9301|-0.23698|0.01238131|-2548.957384|5.0|8.2941|8.2941
12at_a36|0.0|0|3.4361495580000003|0.0|0|7.412764017000001|2|2|0.0|5.351858133|-0.073048351|2|0.039952719|0.054794728|0.0|-0.076129505|-0.037590959|1|1|0.000906224|-0.136151085|-0.227404687|0.8384626709999999|-0.08859337|-0.063825255|0.890810337|0.751856692|0.301423347|0.029516069|-76.61315774|0.248143308|171.8311073|14.1532755|80.75773169|0.6744421970000001|-2.102121151|-40.6250081|95.60375457|0.49342323|520.6361161|-1455.649997|2388.600265|0.325557803|8.837213274|17.44496351|0.974034457|38.54110857|0.027424543|18.99059683|0.0|0.0|1.0|0.0|2.0|4.9|0.17|17.0|2.7|95.5|1.0|0.0|1.0|33.0|-7.18|439.47|0.0|0.0|1.76|-4.08|0.0289|8.36e-05|0.0367|0.0|0.0|2.42e-07|-0.05703|3.8408|-1460.797444|263.05|589.75|0.6802600000000001|-1460.549244|-0.15607|6.4676|-0.2131|0.03651452|-1460.61293|78.0|7.1079|7.1079
12a_a32|0.0|1|3.442930603|0.0|0|7.765993078999999|0|0|0.0|5.733341277|-0.057200812|0|0.036711712|-0.0134169989999999|2.136609567|-0.031249617|-0.074344282|3|3|-0.001662219|-0.0852122769999999|-0.1534110109999999|0.845443342|-0.018578911|-0.125149165|0.8966299409999999|0.788702323|0.288267255|0.016535497|-68.06885478|0.211297677|131.7691491|6.430656017|62.28768050000001|0.667706375|-1.4189685719999998|-33.18255791|81.41372467|0.456641145|491.8493928|-884.8951120999999|3030.946307|0.332293625|7.083688576|13.03685125|0.840404348|28.81034388|0.021399091|13.34486989|1.0|1.0|1.0|1.0|2.0|3.45|0.26|19.0|6.49|140.04|1.0|0.0|1.0|27.0|-6.32|397.52|1.0|0.0|3.6|-4.5|0.000389|3.17e-05|0.0126|0.0|0.0|2.23e-08|-0.05222|3576.0|-1880.734215|346.71|548.66|0.7025600000000001|-1880.539078|-0.14827|3.0517|-0.20049|0.03682626|-1880.600043|25.0|7.6021|7.6021
9d_a40|0.0|0|0.0|0.0|1|7.515889085|0|0|1.839557351|5.4161004020000005|-0.022152094|0|0.045555556|0.153818743|0.89023715|0.15723868|-0.137738587|2|2|0.010101686|0.0116099239999999|0.019621984|0.7572844040000001|-0.3969541689999999|-0.223631751|0.8221990920000001|0.941627612|0.002088915|0.010749826|-36.92750973|0.058372388|30.08152399|2.854868966|50.47044708|0.8664205709999999|-1.074852592|-16.01918037|41.42218692|0.467275972|485.2567189|-553.912646|336.6614768|0.133579429|8.023385851|15.06105494|0.87714454|18.80327978|0.0087217999999999|4.49467719|0.0|1.0|0.0|0.0|0.0|3.25|0.06|20.0|5.2|58.43|1.0|0.0|1.0|22.0|-4.62|325.82|0.0|1.0|4.63|-5.65|0.0002399999999999|2.23e-06|0.000727|0.0|0.0|1.01e-07|-0.06906|3.3464|-1677.540538|269.1|446.84|0.69986|-1677.429981|-0.13875|6.2032|-0.20781|0.01113991|-1677.48058|107.0|6.9706|6.9706
