molecula|NaaNH|n9FaHRing|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|AATSC8d|n5aRing|AATSC7i|AATSC1i|n6aHRing|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|FPSA3|PNSA3|PNSA5|FNSA4|WPSA3|RPCS|FNSA2|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
4_a38 (LY-2157299)|0|0|0|1|7.535296702|1|1|1.343847059|-0.00638266|5.4161004020000005|-0.080432741|2|0.041252955|-0.0501467259999999|1.721297609|-0.159241692|-0.020954339|1|-0.083399128|0.0481706809999999|2|-0.041794304|0.868207983|0.6848692759999999|1|0.754313773|-0.089446059|0.01243241|-52.90108631|-51.11565158|-0.03235283|4.060137052|71.22674185|-1.520583011|2501.945802|431.0669496|-868.9660769|1686.693134|-10.56568487|6.54753874|12.76426621|0.949475478|5566.495502000001|122.2274724|-496.5871888|23.51893991|-327.0140711|1105.390176|542.7276591|7.880803302999999|1.0|1.0|1.0|1.0|3.27|0.18|21.0|3.69|86.69|1.84|108.18|0.0|1.0|3.0|-6.86|369.42|0.0|0.0|2.81|-3.99|0.0001409999999999|2.39|0.0|0.0|-0.06|3.95|3.78|617.61|1048.31|327.69|0.2|449.44|0.68|0.06|-0.16|5.9043|0.03652312|7.6529|69.0|7.1586
5e_a40|0|0|0|1|8.149890544|0|1|0.604912776|-0.004925115|6.167516491000001|0.0601021459999999|0|0.044526749|-0.106497535|0.7768055559999999|0.158430496|0.029272031|2|-0.184667138|0.010397494|0|-0.402340487|0.877722972|0.5087199929999999|1|0.864422751|-0.089724264|0.019851304|-36.56222854|-42.66853738|-0.035889706|4.489363277|51.7148695|-1.076691165|1986.384601|411.0778166|-512.0224486000001|512.5703164|-8.116440327000001|6.533857846|12.51197289|0.914944155|4158.984115|84.47727896|-243.4932098|20.75420252|-306.597267|622.6260756|264.9899736|6.144645946|0.0|1.0|0.0|0.0|3.03|0.21|14.0|4.3|75.5|2.37|79.16|0.0|2.0|3.0|-5.66|303.77|0.0|1.0|3.33|-4.25|1.66e-05|3.51|0.0|0.0|-0.07231|4.99|3.7138|493.19|802.38|333.85|0.5262|390.33|0.69675|0.5262|-0.14786|7.87|0.01659566|10282.0|25.0|7.6021
13i_a6|1|0|0|0|7.412764017000001|1|1|1.430639411|-0.0149593219999999|5.351858133|-0.154502515|1|0.042560386|0.035242754|0.0|0.034304189|-0.032549318|1|0.057038772|-0.073507141|1|0.145878803|0.8287956870000001|0.830577798|0|0.624046118|-0.129526268|0.031178586|-80.75190740000001|-86.83156133|-0.046433945|14.01186473|116.5456632|-2.460999087|2906.257489|418.3467934|-1649.799665|2880.134143|-20.86772478|8.294136887|14.54375165|0.753497905|6306.951561999999|145.07130039999998|-1105.989413|39.72483975|-380.2354072|2105.416507|673.8038326000001|13.40049533|1.0|1.0|1.0|1.0|3.59|0.12|23.0|4.16|115.15|1.18|120.17|0.0|1.0|6.0|-6.81|427.46|0.0|0.0|2.91|-4.48|9.32e-06|2.95|0.0|0.0|-0.0481399999999999|4.94|3.5614|703.43|1196.21|348.14|0.2903|553.67|0.70517|19.0|-0.1464|7.8342|0.03191957|10.1375|21.0|7.6778
17_a12|0|0|0|0|6.823286122000001|1|1|0.610029543|-0.00864055|4.727387819|-0.058347964|3|0.035816993|-0.210594127|0.0|-0.072956553|-0.070249784|1|-0.3748198379999999|-0.202276514|2|-0.043392747|0.87653892|0.859088647|0|0.858119365|-0.096209886|0.011226177|-36.25249721|-50.13411606|-0.035198739|3.048310481|0.0|-1.443148294|2246.161353|447.1583691000001|-752.0117408|1470.257187|-9.557722681|5.669161963|10.61752641|0.8728564259999999|4866.339908|111.1480977|-391.8666299|23.31475957|-298.7949107|955.9051425|431.5987143|7.842053909|1.0|1.0|0.0|1.0|4.13|0.17|17.0|4.51|78.41|2.47|103.12|0.0|1.0|3.0|-6.07|333.41|0.0|1.0|3.14|-4.24|3.1e-05|3.19|0.0|0.0|-0.06322|2.87|3.7723|560.09|933.62|328.67|0.2213|419.49|0.62783|148.0|-0.15459|2128.0|0.02800938|2.9806|16.0|7.7959
6b_a31|1|0|0|0|7.773594467000001|1|1|0.610136262|-0.016070861|5.733341277|-0.178758575|0|0.037803618|0.11647286|0.0|-0.032090772|-0.053655833|2|0.1978523089999999|-0.004825446|0|-0.068433069|0.841537966|0.795570315|0|0.627853074|-0.1284626569999999|0.032992761|-73.70779766|-78.37648097|-0.045675611|12.28107483|101.4993391|-2.055402513|2776.92804|383.0600707|-1254.023695|2063.736075|-17.0020813|7.513612533|14.46878435|0.925676135|6099.567787|155.0167518|-765.0936586|37.35947255|-300.0775025|1681.1762649999998|536.6368656000001|14.72939894|1.0|1.0|1.0|1.0|3.55|0.1|22.0|5.19|131.36|1.36|109.69|0.0|1.0|4.0|-6.5|404.44|0.0|0.0|3.3|-4.66|2.34e-06|3.2|0.0|0.0|-0.05835|4.61|3.2949|637.06|1077.19|376.29|0.4967|492.36|0.7013199999999999|0.4967|-0.13345|5.9085|0.03623358|8.8379|54.0|7.2676
5b_a50|0|1|1|2|7.927685046000001|1|1|1.397278957|-0.00141071|5.82008293|-0.003549558|1|0.034845679|-0.052494624|2.473508677|-0.137595558|-0.113846154|2|-0.0873662269999999|-0.175158017|1|0.019856551|0.855527513|0.6642694929999999|1|0.958606481|-0.061164973|0.012204641|-20.90908698|-31.07327358|-0.02140774|3.149876031|60.5565203|-0.8563096170000001|2183.545404|486.9950914|-435.0258302|1452.442728|-5.525088972000001|5.543302677000001|10.01036188|0.8058479690000001|4577.809819|208.925351|-221.0035589|18.47246431|-90.17329003|738.8985723999999|409.0289917|11.68741316|1.0|0.0|1.0|1.0|3.37|0.1|20.0|3.15|35.64|2.4|96.89|0.0|2.0|2.0|-6.03|312.37|0.0|1.0|3.11|-4.19|0.000335|3.06|0.0|0.0|-0.0256899999999999|2.81|4.0222|547.35|922.49|308.25|0.2749|411.9|0.66968|0.1094|-0.16683|4.4181|0.02651535|6.1284|12.23|4.9126
21a_a23|0|1|1|2|7.525639975|0|0|1.197963603|-0.005708466|5.4161004020000005|-0.038876045|2|0.042862319|0.071115216|0.773970837|-0.133417036|-0.083864151|2|0.130024255|-0.136106024|2|0.1022509819999999|0.79188323|0.6906097959999999|1|0.926538469|-0.082341001|0.011564247|-34.01266735|-54.35891011|-0.03458322|5.039953753|82.08958626|-1.729161021|2880.257677|611.67123|-1141.537112|2272.736256|-15.07212993|7.950891003|15.66066298|0.969673962|6464.524241|104.2264415|-753.6064963|27.11098744|-451.7153132|1355.5493720000002|666.0036144999999|7.379733085|0.0|1.0|1.0|1.0|3.53|0.09|26.0|3.88|105.02|3.24|125.25|0.0|1.0|5.0|-6.07|425.51|0.0|0.0|3.78|-5.28|1.3e-06|3.98|0.0|0.0|-0.07243|3.75|3.6993|701.01|1189.63|335.16|0.3692|558.61|0.60824|0.3692|-0.15024|5.3733|0.0203361|7.9309|102.0|6.9914
1m_a5|1|0|0|0|6.605297921|0|0|1.3047206409999998|-0.002410445|4.59511985|-0.005518104|2|0.026339869|-0.07112464|0.0|-0.10797859|-0.011848312|1|-0.118494698|0.07132816|2|0.077347244|0.851987765|0.63664685|0|0.8823955520000001|-0.071478865|0.009030414|-37.380714700000006|-37.65438054|-0.028977918|2.506013299|0.235629561|-1.072182971|2183.167528|464.8375158|-564.8157081|841.0375686000001|-8.041608085|6.911100301|13.35855701|0.932913201|4584.808374|137.7695311|-297.5394992|20.67140479|-251.2513491|764.8419772000001|383.4128238|9.092103139|1.0|0.0|1.0|1.0|2.69|0.0|23.0|5.11|54.46|2.4|95.5|0.0|1.0|3.0|-5.71|332.79|0.0|1.0|3.63|-4.74|2.99e-05|3.69|0.0|0.0|-0.0507699999999999|3.48|4.3983|553.42|926.13|281.89|0.5497|423.2|0.45426|0.2373|-0.1778|1939.0|0.03223201|2.4582|43.0|7.3665
7b_a8|1|0|0|1|7.535296702|1|1|1.395658671|-0.009659873|5.4161004020000005|-0.038810124|1|0.040873016|-0.024156447|0.0|-0.052309137|-0.0254956129999999|1|-0.039357491|-0.035044152|1|0.048462902|0.8453887859999999|0.677544268|0|0.7223476129999999|-0.1000685009999999|0.033167971|-60.75943432|-59.93853201|-0.041332642|11.89970852|75.93423425|-1.901301524|2776.185773|432.6681725|-1138.832108|1780.952171|-14.82895606|7.698000901|14.76972982|0.918644854|6185.0105140000005|147.3863936|-682.1319788|32.83731114|-304.2022276|1510.516312|545.9267515|13.76608164|0.0|1.0|1.0|1.0|3.49|0.09|23.0|4.48|92.93|2.23|110.8|0.0|1.0|3.0|-6.15|396.4|0.0|0.0|3.5|-4.94|5.64e-06|3.61|0.0|0.0|-0.06833|5.51|3.26|621.4|1067.73|380.32|0.2517|506.21|0.7025100000000001|139.0|-0.13639|9.9463|0.0273745|12.7344|13.53|4.8687
25b_a34|0|0|0|1|7.412764017000001|1|1|1.290860233|-0.015658012|5.351858133|-0.0929479709999999|1|0.04037037|-0.150946163|0.0|-0.112970844|-0.061390533|1|-0.2360985169999999|-0.435821207|1|0.08214612|0.83883012|0.787858064|0|0.656573108|-0.137924163|0.030138301|-64.37123451|-86.13394472|-0.042438204|11.75402804|49.2835599|-2.206786613|2611.55928|410.0313565|-1378.143115|2671.608537|-16.55102732|6.383564979|11.00434095|0.723855085|5786.015654|148.1659658|-860.6534206|34.74652105|-328.1702779|1806.819095|595.8522372|11.90766609|1.0|1.0|1.0|1.0|3.53|0.29|17.0|2.63|90.3|1.56|108.21|0.0|1.0|7.0|-7.07|393.44|0.0|0.0|2.58|-3.69|0.00015|2.29|0.0|0.0|-0.03539|5.06|4.2253|668.48|1136.16|293.43|0.2259|562.84|0.6925600000000001|0.2259|-0.17564|7.0586|0.02655501|9.0174|2.08|5.6819
