molecula|SddssS|n9FaRing|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|WPSA3|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|pIC50
9i_a40|0.0|0|0.0|1|7.515889085|0|0.604992808|1.841293462|0.074116257|-0.0071562119999999|5.4161004020000005|-0.105556952|0|0.045555556|10.31197226|-0.1788455119999999|2|2|0.004019925|0.333430103|0.105172175|0.187399127|-0.542471361|-0.154977678|0.824009442|0.7947633409999999|1|0.830980762|-0.092881258|-0.088485615|0.006324687|-46.80087537|-44.58600513|5.548036224|85.16517222|-0.036869006|2.795536563|-1.327284222|-23.58195819|-18.57750214|52.34891159|0.477626156|2056.370683|335.9672843|7.700852478|14.74203307|0.91433781|71.03556427|-336.98898810000003|21.62632891|0.010372658|-361.8074422|778.5478408|351.4600612|1.0|1.0|1.0|3.25|2.9|0.06|20.0|-6.03|4.02|84.45|2.99|1.0|91.11|0.0|1.0|2.0|22.0|2.0|0.0|1.0|3.52|0.00147|1.97e-05|0.00603|0.0|0.0|0.000285|4.3611|3.2|2.8936|-1273.31399|0.70339|-1273.167389|0.3362|-0.11967|-0.17956|5.9031
7b_a10|0.0|0|0.0|0|7.535296702|2|1.186434511|0.0|-0.170920618|-0.001621737|5.4161004020000005|0.037541178|2|0.037804233|10.93274506|0.039221939|0|0|0.010068964|-0.0982988509999999|-0.051052176|-0.082499103|-0.1874708719999999|-0.108464916|0.8200487120000001|0.586354126|1|0.92441666|-0.0590666679999999|-0.0720417159999999|0.5113525529999999|-30.71062112|-37.45675757|5.061217187|39.29815915|-0.027444463|2.6314862480000003|-1.152667458|-15.96741933|-14.26924098|35.77183831|0.446575367|2290.380138|2150.375871|4.854451707|8.771658176|0.8069307729999999|113.8411654|-311.5991709|18.26940272|0.012428175|-292.2491701|767.3149142000001|459.0250226|1.0|0.0|0.0|3.9|0.0|0.25|16.0|-6.99|3.03|41.38|3.04|1.0|105.44|0.0|1.0|2.0|25.0|3.0|0.0|1.0|3.02|0.00183|5.25e-06|0.00182|0.0|0.0|3.54e-05|6.0231|3.44|3.6426|-1450.06366|0.66228|-1450.075119|0.0899|-0.1584799999999999|-0.21225|4.7033
12d_a31|0.0|0|0.0|0|7.765993078999999|1|0.61013528|0.0|0.039097757|-0.012448252|5.733341277|-0.043220149|0|0.0359583329999999|10.31169788|-0.032270224|2|2|0.000127275|-0.067477864|-0.134504227|-0.214049412|-0.550805937|-0.00658148|0.873955169|0.771222772|0|0.7054497479999999|-0.0938723509999999|-0.11498416|0.3996192999999999|-66.58534562|-81.56033123|21.06095035|208.9297871|-0.032542687|14.93891054|-1.724762406|-47.23018217|-23.08311261|87.64629597|0.389382761|2653.867767|2434.226776|9.445278138|15.46841054|0.63768714|256.5143096|-867.7831284|36.15974873|0.02571268|-196.2893506|1916.466682|647.1500428999999|1.0|1.0|2.0|3.76|3.9|0.38|16.0|-7.63|4.09|117.37|1.31|0.0|112.97|0.0|1.0|9.0|29.0|5.0|0.0|1.0|3.76|0.0010199999999999|4.06e-05|0.0167|0.0|0.0|9.69e-06|3.8477|5.0|3.8477|-1657.428467|0.7006600000000001|-1657.1792779999998|0.2566|-0.15968|-0.19096|6.2924
12q_a30|0.0|0|-4.76444841|0|7.412764017000001|2|0.60498366|0.0|0.144208934|-0.015322396|5.351858133|-0.27228842|2|0.0438779959999999|10.31162828|-0.021542639|1|1|-0.004395528|-0.0483777279999999|-0.077457998|-0.226973911|-0.636798458|0.01661722|0.867367115|0.593245722|0|0.845745827|-0.087348134|-0.115589613|0.596557166|-59.52322773|-78.7683329|10.07866809|105.1162273|-0.045799658|6.868090132000001|-2.427381881|-40.56199584|-31.21009417|69.60189582|0.473741611|3305.289025|2844.418547|7.346842839|13.96052394|0.900207238|122.2240555|-1127.2072970000002|38.03137394|0.016579022|-437.0000797|2015.662819|696.6414817000001|1.0|0.0|1.0|4.73|0.0|0.17|17.0|-7.18|4.78|90.88|2.82|0.0|133.96|0.0|1.0|7.0|34.0|8.0|0.0|0.0|3.42|9.63e-05|1.2e-06|0.000579|0.0|0.0|3.19e-05|5.0573|5.52|3.4834|-1987.999444|0.68516|-1987.781386|0.1515|-0.14792|-0.19897|7.4449
16_a3|0.0|0|0.0|0|6.823286122000001|0|0.605020428|0.0|0.183636734|-0.010031024|4.727387819|-0.186717242|2|0.045993266|10.31163046|-0.018884246|1|1|-0.008409607|0.069124437|0.0032314229999999|0.008045619|-0.614173961|-0.142670655|0.838125715|0.640070307|1|0.6974791290000001|-0.108919585|-0.100138414|0.252612735|-53.7971544|-49.45999101|6.027544549|149.4199775|-0.041233465|2.977102266|-1.401937796|-26.57128935|-20.36587865|59.82469895|0.484889078|2184.788331|1290.305313|5.780331402000001|11.22152755|0.941329444|84.12292796|-342.00731349999995|24.54661368|0.0143895839999999|-325.670405|834.5848652000001|328.71459869999995|1.0|1.0|1.0|3.13|2.59|0.0|21.0|-7.16|4.57|92.93|2.26|0.0|90.44|0.0|1.0|2.0|23.0|4.0|0.0|1.0|3.5|0.0033799999999999|3.2200000000000003e-05|0.0104|0.0|0.0|2.25e-05|3.2208|3.19|3.2208|-1371.360243|0.6944100000000001|-1371.250459|0.3866|-0.13195|-0.2029|7.3768
14e_a23|0.0|1|-4.45581912|2|7.423568444|0|1.197957573|3.052208981|0.059967018|-0.008865361|5.351858133|-0.272389934|2|0.044241453|10.3132176|-0.009871698|2|2|0.001951778|0.072830644|-0.07256543|-0.226146643|-0.5232404310000001|0.133270225|0.8510270329999999|0.5415996160000001|1|0.925392058|-0.073376247|-0.089453046|0.267882223|-51.07141556|-62.2612068|12.5437807|51.92870134|-0.03935934|8.73073591|-1.96796702|-35.54678231|-27.39493099|63.61519626|0.49543439|3255.313968|2428.874279|8.020794334|15.89643482|0.981902808|141.6222839|-953.3724859|34.39302091|0.017954325|-412.7765217|1719.6510460000002|658.8108151|0.0|0.0|1.0|3.54|3.62|0.09|26.0|-8.23|6.19|105.02|3.82|1.0|125.29|0.0|1.0|6.0|34.0|7.0|1.0|0.0|4.5|0.000198|1.61e-06|0.000773|0.0|0.0|2.85e-06|3.7033|4.2|3.7033|-1966.943431|0.63922|-1966.720803|0.3178|-153.0|-0.2342199999999999|8.5214
12t_a36|0.0|0|0.0|0|7.412764017000001|2|1.297042607|0.0|-0.058770337|-0.00673635|5.351858133|-0.034194893|2|0.041767677|10.95395385|-0.0288761339999999|1|1|0.0045625|0.059266516|-0.101854847|-0.169994208|-0.436022708|-0.009662203|0.878510663|0.857993338|0|0.8337556420000001|-0.0735262|-0.100615514|0.318666358|-48.97252784|-67.01551397|11.7409283|110.727965|-0.035934112|7.820109571000001|-2.012310282|-32.61842026|-23.93411213|60.71345614|0.48189543|2771.211293|2320.375227|7.960344391|15.36435856|0.930112292|144.422087|-892.7209991000001|30.56063281|0.01547607|-377.2113003|1711.395437|729.1873176|1.0|0.0|2.0|4.94|0.0|0.21|17.0|-7.36|2.45|69.2|2.45|0.0|133.52|0.0|1.0|6.0|31.0|4.0|0.0|0.0|2.4|0.0102|2.6600000000000003e-05|0.0109|0.0|0.0|1.7899999999999998e-05|3.8844|3.87|3.6694|-1311.552739|0.70313|-1311.287803|0.0155|-0.15088|-0.2039|8.0969
12q_a36|0.0|0|0.0|0|7.412764017000001|2|1.29701394|0.0|-0.0543475329999999|-0.00761082|5.351858133|-0.043678703|2|0.042804233|10.9598352|-0.0433009009999999|1|1|0.0010871589999999|0.1161527719999999|-0.103922055|-0.177407665|-0.441747876|-0.017640538|0.8839272779999999|0.8065052890000001|0|0.82911927|-0.07607684|-0.1060430969999999|0.324924033|-49.18227989|-68.5549152|12.00048565|110.4712541|-0.038175515|7.758093617|-1.908775752|-31.79544084|-24.67976947|61.18276554|0.486620426|2786.514757|2380.245597|7.546533709|14.69971555|0.947876484|149.536123|-797.7508892000001|32.10617123|0.017949083|-347.4093916|1605.308562|629.5017194000001|1.0|0.0|2.0|4.74|0.0|0.14|17.0|-7.18|2.54|69.2|2.51|0.0|128.76|0.0|1.0|5.0|30.0|4.0|0.0|1.0|2.34|0.0151|2.55e-05|0.0106|0.0|0.0|2.77e-05|5.2375|3.79|3.8653|-1692.5102989999998|0.6863199999999999|-1692.3116350000005|0.3419|-0.1566|-0.2126199999999999|8.2218
18c_a30|0.0|0|0.0|0|7.412764017000001|2|0.604986846|0.0|0.12157783|-0.0109670669999999|5.351858133|-0.118776867|2|0.042560386|10.31163825|-0.0351777|1|1|-0.002215642|0.0211588229999999|0.003429114|0.006103754|-0.562807327|0.034468997|0.885516463|0.802578397|0|0.717052026|-0.105618255|-0.1115683|0.42531141|-71.31647561|-75.33411705|13.07260474|191.0545887|-0.042101245|8.826997739|-2.2313660090000003|-48.15493021|-28.4279687|84.38908035|0.448899917|3002.59061|3094.729399|7.646050338999999|13.8741593|0.81455244|144.5043388|-1017.355139|36.16826708|0.018410634|-386.2200097|1916.918155|713.7769663|1.0|0.0|2.0|4.85|0.0|0.13|17.0|-6.19|1.72|124.74|2.06|0.0|135.37|0.0|1.0|6.0|32.0|5.0|0.0|0.0|1.91|0.00427|5e-05|0.0221|0.0|0.0|0.000288|3.4848|4.54|3.4848|-1744.455795|0.69123|-1744.2261030000002|0.3879|-0.14225|-198.0|7.9208
5g_a40|0.0|0|0.0|1|8.149890544|0|0.604913142|1.534673091|0.0094595959999999|-0.016033575|6.167516491000001|-0.190406197|0|0.044946237|10.31198315|-0.091116241|2|2|-0.012008571|-0.104356485|0.07917206|0.137067086|-0.4748772539999999|0.006643696|0.882781953|0.7733200179999999|1|0.67772744|-0.153687065|-0.14338431|0.245639795|-72.93994279|-68.05025116|11.83520323|152.9506864|-0.049288357|5.616992201|-1.577227413|-34.61732609|-23.39227384|84.77514603|0.488538966|2054.810452|593.8133184|6.193485364|12.10939827|0.955183157|120.8573152|-355.2634413|31.38430965|0.025660198|-232.8857705|1004.297909|266.8102663|0.0|0.0|2.0|3.13|1.96|0.21|14.0|-2.89|2.5|115.96|0.74|1.0|78.2|0.0|3.0|3.0|21.0|5.0|0.0|1.0|2.01|0.0174|0.000426|128.0|0.0|0.0|391.0|3.48|4.02|3.48|-1328.015099|0.6563|-1327.9345529999998|261.0|-0.14505|-0.19908|6.9101
