molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC7i|n6aHRing|GATS1are|SIC2|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RPSA|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
12c_a31|1|0|3.387641566|0.0|0|7.765993078999999|1|0.6101358029999999|0.0|0.046986783|-0.013026643|-0.055520387|0.040982906|-0.030192572|-0.690412101|-0.003618466|-0.094991098|10.311698300000002|2|-0.048694677|0|0.8083148840000001|0.8856644770000001|0|0.665463503|-0.104643824|-0.129736755|0.030543026|-66.41224264|-82.33748068|0.334536497|-52.25551342|553.8695417|0.6817087|-1.816314565|-42.14855504|97.28775086|-23.05449459|85.79638585|0.448512808|2592.4503010000003|422.3366652|-1152.7247289999998|1894.297124|0.3182913|0.813278739|5676.394271|-731.5771879|33.81868912|0.023556702|1690.934456|583.9691392000001|1.0|1.0|1.0|2.0|3.69|16.0|3.7|117.37|108.16|0.0|1.0|8.0|-5.23|28.0|5.0|-6.53|398.48|0.0|3.32|-4.16|0.00233|6.94e-05|0.0277|3.1|0.0|2.31e-05|-0.0338399999999999|3.8328|4.6|1138.89|323.48|0.2625|323.48|578.69|0.7007399999999999|0.7007399999999999|-1617.888981|0.2625|-0.15904|1.6786|-0.19288|0.04023903|2.2908|0.38|6.4202|6.4202
47t_a18|0|0|0.0|0.0|0|7.03438793|1|1.25117758|0.0|0.1115820769999999|-0.0128248239999999|-0.161517185|0.03672956|0.018018036|-0.756664598|-0.006573438|-0.011641394|10.94702032|0|0.027313444|0|0.704602886|0.796935152|0|0.67203319|-0.119202068|-0.103295568|0.014067024|-79.78154029|-69.13537385|0.32796681|-46.27207168|78.43695402|0.804531523|-2.272502492|-53.39751484|80.00407742|-27.16032544|89.19655162|0.49779009|2872.533415|449.789539|-1520.978225|1326.524873|0.195468477|0.991199259|6603.597038|-1017.985577|33.75918118|0.016238994|1890.514146|747.6927426|0.0|1.0|0.0|3.0|3.86|18.0|2.93|110.56|129.21|0.0|1.0|7.0|-5.58|33.0|4.0|-6.46|441.48|0.0|2.15|-4.77|0.00117|1.7100000000000002e-05|0.0075299999999999|3.57|0.0|1.36e-05|-0.06822|3.1164|9.4|1218.95|397.84|0.5502|397.84|601.36|0.6895100000000001|0.6895100000000001|-1470.528808|0.5502|-0.12692|7.7656|-0.19514|0.03767603|9.6938|782.0|6.1068|6.1068
16h_a32|1|1|3.340888605|0.0|0|7.765993078999999|0|0.609420754|0.0|0.217139852|-0.015656019|-0.098975084|0.039958333|-0.069213021|-0.7828009570000001|-0.0048042729999999|0.061727488|10.31100268|3|-0.1234671109999999|0|0.804503712|0.881181048|1|0.7991915079999999|-0.081151869|-0.121464999|0.02096013|-51.56009529|-77.17316899|0.200808492|-49.03221545|35.90298920000001|0.7359051059999999|-1.821974989|-32.75886858|90.15529448|-24.62973479|64.87717961|0.459750275|2709.44587|507.7688359|-1157.597535|3282.554439|0.2640948939999999|0.850995852|6151.056721|-735.4832318|33.46862873|0.020432929|1573.02555|573.3529948|0.0|1.0|1.0|2.0|3.61|19.0|4.6|149.27|111.95|1.0|1.0|7.0|-6.48|28.0|5.0|-6.22|413.52|0.0|3.74|-4.75|0.000136|1.7800000000000002e-05|0.0073599999999999|3.66|0.0|4.09e-05|-0.05028|3.6182|4.54|1130.4|342.67|0.2914|342.67|556.05|0.70219|0.70219|-1955.772465|0.2914|-0.14972|3516.0|-0.2|0.02818755|4.2275|9.0|8.0655|8.0655
16g_a32|1|1|3.363965155|0.0|0|7.765993078999999|0|0.609420729|0.0|0.1739995319999999|-0.013775701|-0.0429252429999999|0.03898374|-0.049658216|-0.771439265|-0.002456725|-0.029193403|10.31100263|3|-0.085591073|0|0.79965447|0.8821580379999999|1|0.8206422409999999|-0.078387439|-0.105500574|0.023959586|-57.77542509|-77.75914881|0.1793577589999999|-57.31234426|43.37912747|0.6863323440000001|-1.79350976|-42.58335004|94.54074206|-24.94161377|75.43482709|0.3972359179999999|2833.521937|604.8539801|-1321.90553|3497.469035|0.313667656|0.65902387|6372.261243999999|-974.3098525|36.34043182|0.02276861|1926.042887|701.9321161|1.0|1.0|1.0|2.0|3.87|19.0|5.38|149.27|121.56|1.0|1.0|10.0|-7.51|30.0|5.0|-5.69|441.57|0.0|4.37|-5.32|1.36e-05|4.83e-06|0.00213|4.65|0.0|3.04e-06|-0.05|3.6161|5.38|1245.25|342.86|0.2879|342.86|639.49|0.70222|0.70222|-2034.342619|0.2879|-0.14968|3.7346|-0.19968|0.02895494|4.3204|11.0|7.9586|7.9586
14w_a23|0|1|0.0|0.0|2|7.423568444|0|1.197963556|3.132012648|0.013971812|-0.006481882|-0.109136569|0.046678487|0.045196333|-0.330575965|0.003379755|-0.042151195|10.31321817|2|0.126238077|2|0.5788469970000001|0.8668730109999999|1|0.7880718659999999|-0.070714528|-0.088508061|0.022440155|-46.76570273|-58.53311596|0.211928134|-38.70975831|90.15900589|0.743451788|-1.681653166|-30.92760432|72.23920014|-23.66232347|61.60607046|0.4972095239999999|3071.908367|521.1762769999999|-1112.129203|2283.383402|0.256548212|0.988900044|6998.078982999999|-735.4854078|31.82765022|0.020725002|1495.89956|597.2903597999999|0.0|1.0|0.0|1.0|3.42|26.0|5.14|105.02|120.2|0.0|1.0|5.0|-5.68|32.0|6.0|-6.35|447.46|0.0|4.05|-5.27|0.0009369999999999|5.41e-06|0.00242|3.78|0.0|5.23e-06|-0.0798|3.6632|3.97|1150.31|338.46|0.3855|338.46|535.54|0.6219399999999999|0.6219399999999999|-1828.161957|0.3855|-0.14844|7.0157|-0.22824|0.02204118|9.8981|2.0|8.6737|8.6737
18b_a25|0|0|0.0|0.0|1|6.842683282|0|1.194228955|1.824998189|-0.147813831|-0.003259453|0.0131826839999999|0.038137255|-0.018632104|-0.189048258|0.006181503|0.014055398|10.31286058|1|-0.032776381|2|0.721100414|0.8333962429999999|1|0.936253893|-0.063132226|-0.078644297|0.01278627|-44.30110081|-55.18621997|0.063746107|-38.7252349|0.0|0.7847794690000001|-1.6515302369999998|-31.08693686|64.81723515|-21.46130777|53.27347337|0.493622561|3051.645565|656.9874135|-1158.910619|2327.4502850000003|0.215220531|0.974811521|6973.180791|-813.229933|27.34692815|0.013724883|1476.7341199999998|809.2903831|1.0|1.0|1.0|1.0|3.58|27.0|5.59|111.51|138.56|0.0|1.0|6.0|-6.54|34.0|4.0|-5.93|460.55|0.0|4.35|-5.71|0.000132|1.95e-06|0.000899|4.48|0.0|6.690000000000001e-08|-0.07066|5.5437|4.32|1284.89|336.67|0.2658|223.65|612.24|0.36733|0.54166|-1767.2232149999998|0.0468|-0.15079|2.8141|-0.22145|0.03002332|2752.0|51.0|7.2924|7.2924
9_a1|1|0|3.358585365|0.0|0|6.86171134|0|1.432397289|0.0|0.020428974|-0.00614716|-0.1075163359999999|0.037578348|-0.110185988|-0.282769361|-0.00314411|-0.079063236|10.94877277|1|-0.232860777|1|0.582499378|0.7964939409999999|0|0.755276458|-0.080888063|-0.085722429|0.011266799|-46.63553015|-49.42275468|0.244723542|-28.49439431|0.0|0.7816897429999999|-1.371558857|-26.88743664|57.60218193|-18.38986221|53.13133578|0.452572261|2387.143654|435.4501351|-790.7640749|1739.0376789999998|0.2183102569999999|0.826725116|5063.330971|-455.910309|23.52578164|0.014186995|1011.608611|472.9447227|1.0|1.0|1.0|1.0|2.78|23.0|5.57|58.64|102.84|0.0|1.0|4.0|-4.68|27.0|4.0|-5.81|357.38|0.0|4.12|-4.79|0.00739|1.62e-05|0.0057799999999999|3.76|0.0|3.7100000000000003e-07|-0.07602|3343.0|5.6|1007.04|370.88|0.5409|370.88|487.19|0.70296|0.70296|-1187.011122|0.5409|-0.13413|4.1623|-0.21015|0.03294951|6.4447|6.0|5.2218|5.2218
7e_a8|1|0|3.038052327|0.0|1|7.05012252|0|1.394799915|1.3496955309999998|-0.150447714|-0.006027596|-0.052939815|0.043758865|-0.03633378|-0.289324602|0.0024398329999999|-0.11032771|10.94332434|1|-0.075638618|0|0.5897105770000001|0.790500031|0|0.8291560379999999|-0.08608941|-0.0886889709999999|0.0215993429999999|-51.4880895|-53.04282692|0.170843962|-31.72369068|63.5628736|0.776001552|-1.6850904519999998|-30.79383811|64.23177694|-22.39586026|64.40615805|0.4742828629999999|2605.914474|495.8990914|-1007.813711|2032.501296|0.223998448|0.902163597|5808.479788000001|-602.7501229|28.86058693|0.018708212|1298.726412|519.5762494|0.0|0.0|0.0|1.0|3.2|23.0|4.94|70.81|108.43|0.0|1.0|4.0|-5.75|29.0|4.0|-5.43|385.39|0.0|4.31|-5.41|0.000686|3.87e-06|0.00149|4.54|0.0|1.95e-06|-0.0697|3.8142|6.32|1060.05|383.1|0.3461|325.06|544.55|0.6998300000000001|0.70177|-1300.271093|0.1522|-0.13577|9.0006|-0.2054699999999999|0.02845071|11.4436|35.1|4.4547|4.4547
4b_a46|0|0|0.0|0.206072846|1|7.825245291|1|1.1346370890000002|2.189591837|-0.155670183|-0.00113356|-0.022119857|0.047736111|-0.082722572|-0.058945144|0.012332859|-0.135121207|10.96200942|1|-0.128843936|2|0.6901151990000001|0.768651645|0|0.935245062|-0.0524080009999999|-0.070236212|0.007568202|-28.58477842|-38.30877966|0.064754938|-20.89467173|56.7922535|0.8104680259999999|-1.123779397|-15.59093155|42.65239101|-12.50898928|32.7126858|0.428987199|2105.172229|510.1086157|-612.9404746|1750.333702|0.189531974|0.751274223|4681.895329999999|-334.31474760000003|15.43427855|0.007963679|756.2796491|538.4165208|0.0|1.0|1.0|0.0|3.9|17.0|4.77|43.6|101.7|0.0|1.0|2.0|-4.35|25.0|3.0|-5.67|332.44|1.0|3.76|-4.63|0.0149|2.35e-05|0.00782|3.74|0.0|2.12e-05|-0.02729|4.5515|3.98|1020.9|272.4|0.1784|272.4|508.79|0.68682|0.68682|-1033.3243619999998|0.1784|-0.19082|3127.0|-0.21811|0.02176759|3.7571|548.0|6.2612|6.2612
5e_a40|0|0|0.0|0.0|1|8.149890544|1|0.604912776|1.661964758|-0.091305805|-0.004925115|0.0601021459999999|0.044526749|-0.106497535|-0.162528785|0.009890343|0.158430496|10.31198323|2|-0.184667138|0|0.535506399|0.877722972|1|0.864422751|-0.076883794|-0.089724264|0.019851304|-36.56222854|-42.66853738|0.135577249|-20.29110082|51.7148695|0.8223594679999999|-1.076691165|-17.38723451|48.81318333|-17.06741495|46.00255248|0.47779156|1986.384601|411.0778166|-512.0224486000001|512.5703164|0.177640532|0.914944155|4158.984115|-243.4932098|20.75420252|0.012921086|622.6260756|264.9899736|0.0|0.0|0.0|0.0|3.03|14.0|3.74|75.5|79.16|0.0|2.0|3.0|-4.78|20.0|3.0|-5.66|303.77|1.0|3.33|-4.25|0.00505|5.56e-05|0.0169|3.51|0.0|0.00678|-0.07231|3.7138|4.99|802.38|333.85|0.5262|333.85|390.33|0.69675|0.69675|-1637.115238|0.5262|-0.14786|7.87|-0.2201699999999999|0.01659566|10282.0|25.0|7.6021|7.6021
